"license_number","licensee_name","contact_name","mailingaddr","expiry_date","annual_service","recharge","hydro_test"
"148","K&D Pratt Group Inc.","Shaun Kenney","21 Frazee Ave., Dartmouth, NS, B3B 1Z4","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"151","MCS Sanitation","Brian Biddington","691 Malenfant Blvd, Dieppe NB  E1A 5T8","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"154","Priority Fire Equipment Inc./Equipement d'lncendie Priorite","Cynthia Attardo","7528 Cote-de Liesse, St-Laurent, QC H4T 1E7","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"165","Beacon Fire and Safety","David Arthur Brown","2395 Roosevelt Drive, Halifax, NS   B3L 3H8","2022-12-31T00:00:00.000","Yes","No","No"
"163","The Extinguisher - Fire Sales and Inspection Services Limited","Richard Nickerson","856 Campbell Road, Balls Creek, NS  B2A 4M2","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"172","St. Elmo's Fire Extinguisher Service Ltd.","Ronald Douglas Pierce","8484 Highway #3 Charlesville, NS  B0W 2A0","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"181","Maritime Custom Restaurant Hoods","Larry Walsh","53 Silas Lewis Rd, Second North River, NB, E1E 4P7","2022-12-31T00:00:00.000","Yes","No","No"
"184","Guardian Fire And Protection","Neil Winch","2 Elmwood Dr Amherst, NS B4H 2G6","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"185","H. Dugas Fire Extinguisher Service","Harold Dugas","21 Third Ave, P.O. Box 283, Digby NS B0V 1A0","2022-12-31T00:00:00.000","Yes","Yes","No"
"186","Island Alarm Testing Limited","Michael Gaetan","40 Cadegan Dr, Glace Bay, NS B1A 5V6","2022-12-31T00:00:00.000","Yes","No","No"
"187","G & P Safety Consulting Services","Gary Slauenwhite","1461 Sarah Dr. Coldbrook, NS B4R 1A1","2022-12-31T00:00:00.000","Yes","No","No"
"188","Valley Sprinklers Incorporated","Robert Ritcey","1683 Torbrook Rd, Torbrook Mines, NS B0P 1W0","2022-12-31T00:00:00.000","Yes","No","No"
"189","Trinity Energy Group","Rodney Misener","102 MacGregor Ave, P.O. Box 2070 Stellarton, NS B0K 1S0","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"175","Viking Fire Protection Inc.","Colin Sharp","78 Trider Crescent, Dartmouth B3B 1R6","2022-12-31T00:00:00.000","Yes","No","No"
"147","Levitt Safety Limited","James Smearer","20 Driscoll Crescent, Moncton, NB E1E 3R8","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"170","Night Hawk Maintenance Inc","Dennis MacKeigan","PO Box 701, Lower Sackville, NS   B4C 3J1","2022-12-31T00:00:00.000","Yes","No","No"
"190","Chandler Sales","Mark Stevens","14 Akerley Blvd, Suite 14-A Dartmouth, NS B3B 1J3","2022-12-31T00:00:00.000","Yes","No","No"
"179","Terry Sprinkler Limited","John Terry","43 Brunswick St Truro, NS B2N 2G8","2022-12-31T00:00:00.000","Yes","Yes","Yes"
"191","Safety Source Industrial Inc","Adam Thornton","121 Ilsley Ave, Unit 4 Dartmouth, NS B3B 1S4","2022-12-31T00:00:00.000","Yes","No","No"
"70","Fraser Maintenance & Equipment","Peter Fraser","RR# 1 7268 Highway #4, Thorburn, NS  B0K 1W0","2022-12-31T00:00:00.000","Yes","Yes","No"
"171","Life Safety Systems","David R Vincent","9 Ralston Ave, Dartmouth NS B3B 1H5","2022-12-31T00:00:00.000","Yes","No","No"
