"year","grade_level","assessment","program","board","sex","adaptation","exemption","eligible","reading_score","reading_level","writing_ideas","writing_organization","writing_language_use","writing_conventions"
"2018-19","10","Eng10","English","AVRCE","M",,,"Yes","426.1","Level 2","Not enough evidence","Not enough evidence","Not enough evidence","Not enough evidence"
"2018-19","10","Eng10","English","CCRCE","F",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","375.63","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","F","Yes",,"Yes","437.24","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","M","Yes",,"Yes","429.3","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","421.37","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","TCRCE","F",,,"Yes","349.46","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","AVRCE","M",,,"Yes","481.38","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","678.12","Level 4","Level 4","Level 4","Level 4","Level 4"
"2018-19","10","Eng10","English","CBVRCE","M","Yes",,"Yes","537.65","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CBVRCE","F",,,"Yes","518.34","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","396.56","Level 2","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","F",,,"Yes","626.26","Level 4","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","TCRCE","F",,,"Yes","446.43","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","AVRCE","F",,,"Yes","515.75","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","489.11","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","624.42","Level 4","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","446.75","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","602.46","Level 3","Level 4","Level 4","Level 4","Level 4"
"2018-19","10","Eng10","English","CBVRCE","M",,,"Yes","416.91","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","SRCE","M",,,"Yes","524.69","Level 3","Not enough evidence","Not enough evidence","Not enough evidence","Not enough evidence"
"2018-19","10","Eng10","English","CSAP","F","Yes",,"Yes","347.54","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","TCRCE","F",,,"Yes","380.63","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","612.44","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","AVRCE","M",,,"Yes","545.41","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","651.09","Level 4","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","AVRCE","M","Yes",,"Yes","331.38","Level 1","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","M","Yes",,"Yes","549.16","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","F",,,"Yes","585.53","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","490.48","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","SSRCE","M",,,"Yes","347.01","Level 2","Level 1","Level 1","Level 1","Level 1"
"2018-19","10","Eng10","English","CBVRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","SSRCE","F",,,"Yes","486.06","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M","Yes",,"Yes","541.75","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","492.88","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","513.55","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","375.61","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","F","Yes",,"Yes","519.11","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","480.26","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","390.01","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","331.47","Level 1","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","F",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","CBVRCE","F",,,"Yes","382.5","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M","Yes",,"Yes","531.49","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","508.41","Level 3","Level 4","Level 4","Level 4","Level 4"
"2018-19","10","Eng10","English","TCRCE","F",,,"Yes","304.2","Level 1","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","TCRCE","F","Yes",,"Yes","412.55","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","561.76","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","AVRCE","M",,,"Yes","491.32","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CBVRCE","M",,,"Yes","523.39","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","601.76","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","AVRCE","F",,,"Yes","337.2","Level 1","Not enough evidence","Not enough evidence","Not enough evidence","Not enough evidence"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","424.7","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","467.72","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CBVRCE","F",,,"Yes","598.39","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","SSRCE","F",,,"Yes","467.08","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","F",,,"Yes","369.25","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","AVRCE","F",,,"Yes","556.42","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M","Yes",,"Yes","513.94","Level 3","Not enough evidence","Not enough evidence","Not enough evidence","Not enough evidence"
"2018-19","10","Eng10","English","AVRCE","M",,,"Yes","382.3","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","AVRCE","M",,,"Yes","643.5","Level 4","Level 4","Level 4","Level 4","Level 4"
"2018-19","10","Eng10","English","SSRCE","F",,,"Yes","488.74","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","F","Yes",,"Yes","428.76","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","544.95","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","393.69","Level 2","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","452.9","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","408.58","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","529.01","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","SSRCE","M",,,"Yes","427.87","Level 2","Level 4","Level 4","Level 4","Level 4"
"2018-19","10","Eng10","English","HRCE","F","Yes",,"Yes","204.48","Level 1","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","AVRCE","M",,,"Yes","586.07","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","SRCE","M","Yes",,"Yes","600.52","Level 3","Not enough evidence","Not enough evidence","Not enough evidence","Not enough evidence"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","436.98","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CSAP","M","Yes",,"Yes","607.16","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CBVRCE","F",,,"Yes","394.96","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","569.33","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","518.49","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","500.66","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","384.97","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","AVRCE","M",,,"Yes","258.13","Level 1","Level 1","Level 1","Level 1","Level 1"
"2018-19","10","Eng10","English","CCRCE","F",,,"Yes","358.62","Level 2","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","F","Yes",,"Yes","501.85","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","F",,,"Yes","477.27","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","AVRCE","F",,,"Yes","200","Level 1","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","AVRCE","F",,,"Yes","495.23","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","492.64","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","456.75","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","F",,,"Yes","478.91","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","504.05","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","F",,,"Yes","446.3","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","SRCE","F",,,"Yes","448.8","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","SSRCE","M","Yes",,"Yes","425.69","Level 2","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","TCRCE","M","Yes",,"Yes","381.08","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","413.33","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","492.4","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","570.26","Level 3","Not enough evidence","Not enough evidence","Not enough evidence","Not enough evidence"
"2018-19","10","Eng10","English","HRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","CCRCE","F",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","CBVRCE","M","Yes",,"Yes","306.69","Level 1","Not enough evidence","Not enough evidence","Not enough evidence","Not enough evidence"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","504.34","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","AVRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","CBVRCE","F",,,"Yes","325.18","Level 1","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","SSRCE","M",,,"Yes","528.49","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","F",,,"Yes","509.66","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","442.97","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","355.87","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","F","Yes",,"Yes","526.92","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","M","Yes",,"Yes","417.69","Level 2","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","489.25","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","AVRCE","M","Yes",,"Yes","496.45","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","406.03","Level 2","Level 1","Level 1","Level 1","Level 1"
"2018-19","10","Eng10","English","SRCE","M",,,"Yes","469.6","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","545.54","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","SSRCE","M",,,"Yes","437.86","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","AVRCE","M",,,"Yes","200","Level 1","Level 1","Level 1","Level 1","Level 1"
"2018-19","10","Eng10","English","CCRCE","M","Yes",,"Yes","373.67","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CBVRCE","F",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","HRCE","M","Yes",,"Yes","416.81","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","601.33","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","358.09","Level 2","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","612.62","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","445.45","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","AVRCE","F",,,"Yes","483.69","Level 3","Level 1","Level 1","Level 1","Level 1"
"2018-19","10","Eng10","English","CCRCE","F",,,"Yes","527.14","Level 3","Level 4","Level 4","Level 4","Level 4"
"2018-19","10","Eng10","English","HRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","483.14","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M","Yes",,"Yes","495.54","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CBVRCE","F",,,"Yes","499.98","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CBVRCE","F","Yes",,"Yes","478.39","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","SSRCE","M",,,"Yes","367.58","Level 2","Level 1","Level 1","Level 1","Level 1"
"2018-19","10","Eng10","English","CBVRCE","F",,,"Yes","616.34","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CBVRCE","F",,,"Yes","546.67","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","605.79","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","467.8","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","287.01","Level 1","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CBVRCE","F",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","556.12","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","445.36","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","548.21","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CBVRCE","M",,,"Yes","618.59","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","460.6","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","638.25","Level 4","Level 4","Level 4","Level 4","Level 4"
"2018-19","10","Eng10","English","TCRCE","M","Yes",,"Yes","359.63","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","TCRCE","F",,,"Yes","389.99","Level 2","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","F",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","AVRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","CCRCE","F",,,"Yes","490.88","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","F","Yes",,"Yes","407.81","Level 2","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","M",,,"Yes","591.13","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","F",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","AVRCE","M",,,"Yes","468.76","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","SRCE","M",,,"Yes","480.87","Level 3","Level 1","Level 1","Level 1","Level 1"
"2018-19","10","Eng10","English","AVRCE","F",,,"Yes","577.15","Level 3","Level 4","Level 4","Level 4","Level 4"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","542.25","Level 3","Not enough evidence","Not enough evidence","Not enough evidence","Not enough evidence"
"2018-19","10","Eng10","English","SSRCE","M",,,"Yes","436.67","Level 2","Level 4","Level 4","Level 4","Level 4"
"2018-19","10","Eng10","English","SSRCE","M",,,"Yes","603.96","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","TCRCE","M","Yes",,"Yes","436.96","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","546.47","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CBVRCE","M","Yes",,"Yes","423.39","Level 2","Level 1","Level 1","Level 1","Level 1"
"2018-19","10","Eng10","English","CCRCE","F",,,"Yes","575.54","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","509.55","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M","Yes",,"Yes","375.23","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","346.93","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","465.23","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","527.2","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","635.41","Level 4","Level 4","Level 4","Level 4","Level 4"
"2018-19","10","Eng10","English","CSAP","F","Yes",,"Yes","316.18","Level 1","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CCRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","557.31","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","F",,,"Yes","625.61","Level 4","Level 4","Level 4","Level 4","Level 4"
"2018-19","10","Eng10","English","CBVRCE","F","Yes",,"Yes","462.82","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","TCRCE","M",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","567.07","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CCRCE","F",,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2018-19","10","Eng10","English","SRCE","F",,,"Yes","545.47","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","SRCE","M",,,"Yes","560.21","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","423.43","Level 2","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","SRCE","M","Yes",,"Yes","525.13","Level 3","Not enough evidence","Not enough evidence","Not enough evidence","Not enough evidence"
"2018-19","10","Eng10","English","HRCE","F","Yes",,"Yes","398.77","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","HRCE","F",,,"Yes","486.74","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","HRCE","M",,,"Yes","370.11","Level 2","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","614.12","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","525.82","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CBVRCE","M",,,"Yes","486.44","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CBVRCE","M","Yes",,"Yes","448.3","Level 3","Level 2","Level 2","Level 2","Level 2"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","687.92","Level 4","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","598.7","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","403.9","Level 2","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","M",,,"Yes","509.16","Level 3","Level 3","Level 3","Level 3","Level 3"
"2018-19","10","Eng10","English","CSAP","F",,,"Yes","453.99","Level 3","Level 3","Level 3","Level 3","Level 3"
