"name","employer","client_name","status"
"Lambert, Janet ","Rx&D",,"Active"
"Lambert, Jean ","Parabellum Communication Inc","Bell Helicopter Textron Canada Ltd","Active"
"Lancaster, John ","Canadian Bankers Association",,"Active"
"Landrigan, David ","Nova Scotia Power Inc.",,"Active"
"Landry, Marlene ","Insurance Bureau of Canada",,"Active"
"Lane, Lisa ","Nova Scotia Power Inc. ",,"Active"
"Langley, Nick ","Canadian Federation of Independent Business",,"Active"
"Langley, Nick J","Canadian Cancer Society",,"Active"
"Laursen, Rick ","Canadian Association of Petroleum Producers",,"Active"
"Lavoie, Martin ","Canadian Bankers Association",,"Active"
"Leamen, Nancy ","Canadian Bankers Association",,"Active"
"Lefebvre, Anne ","Canadian Bankers Association",,"Active"
"Lelievre, France ","Purdue Pharma",,"Active"
"Lemay, Jacques ","Investment Industry Association of Canada",,"Active"
"Leonard, Angie ","Canadian Association of Petroleum Producers",,"Active"
"Leve, Jennifer ","Canadian Bankers Association",,"Active"
"Levesque, Tom ","Insurance Bureau of Canada",,"Active"
"Levo, Aaron ","Canadian Cancer Society",,"Active"
"Lockhart, Andrew ","Canadian Bankers Association",,"Active"
"Loney, Robert A","Johnson & Johnson Inc.",,"Active"
"Lord, Bernard ","Canadian Wireless Telecommunication Association",,"Active"
"MacCready-Williams, Nancy L","Doctors Nova Scotia",,"Active"
"MacDonald, Lisa ","Nova Scotia Power Inc.",,"Active"
"MacDuff, James A.","PORT HAWKESBURY PAPER LP","PORT HAWKESBURY PAPER LP","Active"
"MacGougan, Morag ","Investment Industry Association of Canada",,"Active"
"MacInnes, Christopher D.","Group M5","Louisbourg Seafoods Limited","Active"
"MacInnes, Christopher D.","Group M5","Shoppers Drug Mart","Active"
"MacMillan, Janet ","NATIONAL Public Relations","Cooke Aquaculture","Active"
"MacMillan, Janet ","NATIONAL Public Relations","Atlantic Policy Congress of First Nation Chiefs","Active"
"MacMillan, Janet ","NATIONAL Public Relations","Port Hawkesbury Paper/Stern Partners","Active"
"MacNeil, Jamie D","Cape Consulting Group","EC Petroleum","Active"
"MacNeil, Jamie D","m5 Public Affairs","Vulcan Materials","Active"
"Majewski, Kasia ","Canadian Wireless Telecommunication Association",,"Active"
"Mallam, Katie J","Doctors Nova Scotia",,"Active"
"Mandal, Marina ","Canadian Bankers Association",,"Active"
"Marchand, Bruce ","Emera Incorporated",,"Active"
"Masterson, John ","Canadian Association of Petroleum Producers",,"Active"
"Matthews, Jennifer ","Canadian Association of Petroleum Producers",,"Active"
"Maynard, Brian ","Canadian Association of Petroleum Producers",,"Active"
"McCarron, Alice ","Colour","Bear Head LNG Corporation","Active"
"McCarron, Alice ","Colour","Heritage Gas","Active"
"McCarron, Alice ","Colour","MAXIMUS Canada Services, Inc.","Active"
"McFarland, Peggy ","Canadian Life and Health Insurance Association Inc",,"Active"
"McIntosh, Keith ","Canadian Wireless Telecommunication Association",,"Active"
"McKeen, Dan ","BCE",,"Active"
"McLaughlin, David ","Canadian Wireless Telecommunication Association",,"Active"
"McMillan, Tim ","Canadian Association of Petroleum Producers",,"Active"
"Meek, Jim D","public affairs atlantic inc","Terra Firma Development Corporation","Active"
"Merrithew, Lisa ","BCE",,"Active"
"Michell, Karen ","Canadian Bankers Association",,"Active"
"Mizzen, Brent ","Canadian Life and Health Insurance Association Inc",,"Active"
"Monteith, Glenn ","Rx&D",,"Active"
"Morin, Emmanuel ","Canadian Wireless Telecommunication Association",,"Active"
"Morin, Richard ","Investment Industry Association of Canada",,"Active"
"Muldoon, Dan ","Emera Incorporated",,"Active"
"Murray, Justin ","Insurance Bureau of Canada",,"Active"
"Myrick, Jeff ","Emera Incorporated",,"Active"
"Nathalie, Clark ","Canadian Bankers Association",,"Active"
"Neapole, Chantale ","Canadian Wireless Telecommunication Association",,"Active"
"Nessim, Doris ","GS1 Canada",,"Active"
"Novikov, Jelena ","Canadian Bankers Association",,"Active"
"O'Connor, Wayne ","Nova Scotia Power Incorporated",,"Active"
"O'Dea Dawson, Shannon ","Canadian Association of Petroleum Producers",,"Active"
"Olmstead, Steve ","Insurance Bureau of Canada",,"Active"
"O'Rafferty, Aileen ","Rx&D",,"Active"
"O'Reilly, Mary Lou ","Insurance Bureau of Canada",,"Active"
"Osmond, Nicole ","Futurpreneur Canada",,"Active"
"Parker, Jennifer ","Nova Scotia Power Incorporated",,"Active"
"Parker, John W","The Investment Funds Institute of Canada",,"Active"
"Patrick, James ","Canadian Wireless Telecommunication Association",,"Active"
"Patten, Mitch ","Emera",,"Active"
"Patterson, Alana M","Doctors Nova Scotia",,"Active"
"Perry, Anita ","BP Exploration (Canada) Limited",,"Active"
"Perry, Ned ","NATIONAL Public Relations","Cooke Aquaculture","Active"
"Perry, Ned ","NATIONAL Public Relations","Northern Pulp Nova Scotia Corporation","Active"
"Phillips, Rick","DAIRY FARMERS OF CANADA",,"Active"
"Piccott, Jill ","Canadian Association of Petroleum Producers",,"Active"
"Polci, Anthony ","Canadian Bankers Association",,"Active"
"Polczynski, Maja ","Canadian Bankers Association",,"Active"
"Preiss, Katherine ","Global Public Affairs","CSA Group","Active"
"Prokop, Vivian L.","Futurpreneur Canada",,"Active"
"Pryce, David ","Canadian Association of Petroleum Producers",,"Active"
"Pyra, Karen ","Doctors Nova Scotia",,"Active"
"Radeczy, Bryan ","Canadian Bankers Association",,"Active"
"Ralhan, Naina ","Canadian Bankers Association",,"Active"
"Randle, William ","Canadian Bankers Association",,"Active"
"Rando, Jack ","Investment Industry Association of Canada",,"Active"
"Rayner, Duncan R","Temple Scott Assocaites Inc.","Imperial Tobacco Canada Limited","Active"
"Reid, Aurora ","Canadian Association of Petroleum Producers",,"Active"
"Rendell, Brian ","Emera Incorporated",,"Active"
"Reynolds, Kelly ","Canadian Association of Petroleum Producers",,"Active"
"Robinson, Gregor ","Insurance Bureau of Canada",,"Active"
"Robinson, Walter ","Rx&D",,"Active"
"Rodier, Sara ","Canadian Bankers Association",,"Active"
"Routledge, Linda ","Canadian Bankers Association",,"Active"
"Roy, Nathalie ","DAIRY FARMERS OF CANADA",,"Active"
"Russell, Ian CW","Investment Industry Association of Canada",,"Active"
"Saati, Elizabeth ","The Investment Funds Institute of Canada",,"Active"
"Sadiwynk, Mike ","GS1 Canada",,"Active"
"Sampson, Noel F","Public Affairs Atlantic Inc","Terra Firma Development Corporation Ltd","Active"
"Sampson, Noel F","Public Affairs Atlantic Inc.","Maritimes & Northeast Pipeline","Active"
"Sanderson, Ron ","Canadian Life and Health Insurance Association Inc",,"Active"
"Savage, Brigid ","Canadian Cancer Society",,"Active"
"Schultz, Nick ","Canadian Association of Petroleum Producers",,"Active"
"Shea, Walter ","Canadian Bankers Association",,"Active"
"Shepherd, Robert ","Merck Canada Inc.",,"Active"
"Sidebottom, Mark ","Nova Scotia Power Inc.",,"Active"
"Simon, Noeline ","Canadian Life and Health Insurance Association Inc",,"Active"
"Simpkins, William C.",,"Canadian Petroleum Products Institute","Active"
"Sinigagliese, Annie ","Investment Industry Association of Canada",,"Active"
"Smith, Annie ","Investment Industry Association of Canada",,"Active"
"Smith, Brad ","Mainland NS Building & Construction Trades Council",,"Active"
"Smith, Graham ","The Investment Funds Institute of Canada",,"Active"
"Solomon, Naomi ","Investment Industry Association of Canada",,"Active"
"Somerville, Sheri ","Canadian Association of Petroleum Producers",,"Active"
"Sommerville, Devan ","Counsel Public Affairs","Airbnb Ireland","Active"
"St. Pierre, Nathalie ","Retail Council of Canada",,"Active"
"St-Amour, Marcel ","Investment Industry Association of Canada",,"Active"
"Stead-Coyle, Barbara ","Canadian Cancer Society",,"Active"
"Stephens, Sandy ","Canadian Bankers Association",,"Active"
"Strauss, Steven A","Never Forgotten National Memorial Foundation",,"Active"
"Sulzenko-Laurie, Barbara ","Insurance Bureau of Canada",,"Active"
"Summers, Maureen ","Canadian Cancer Society",,"Active"
"Surani, Alykhan ","The Investment Funds Institute of Canada",,"Active"
"Sutherland, Robert (Bobby) ","Rx&D",,"Active"
"Swedlove, Frank ","Canadian Life and Health Insurance Association Inc",,"Active"
"Taylor, Andrea ","Investment Industry Association of Canada",,"Active"
"Taylor, Andrea L","Investment Industry Association of Canada",,"Active"
"Thompson, Michael JL","Canadian Payday Loan Association",,"Active"
"Thurlow, Scott ","Temple Scott Associates Inc.","Imperial Tobacco Canada Limited","Active"
"Toner, Terry ","Nova Scotia Power Incorporated",,"Active"
"Tower, Nancy ","Emera Incorporated",,"Active"
"Trifonopoulos, Helen ","Merck Canada Inc.",,"Active"
"Trigiani, Tony P","Never Forgotten National Memorial Foundation",,"Active"
"Tucker, Michael A","GSK",,"Active"
"Variyan, Carlene ","Indivior Canada Ltd.",,"Active"
"Voin, Karen ","Canadian Life and Health Insurance Association Inc",,"Active"
"Voll, Jane ","Insurance Bureau of Canada",,"Active"
"Von Bargen, Alissa ","Hill+Knowlton Strategies","Social Change Rewards","Active"
"Vrana, Ivan R","Rx&D",,"Active"
"Waley, Tasmin ","Canadian Bankers Association",,"Active"
"Walser, Vanessa ","Canadian Bankers Association",,"Active"
"Guy, Peter W","Bastionhost Ltd.",,"Inactive"
"Walsh, Debora ","Canadian Association of Petroleum Producers",,"Active"
"Wang, Charles ","The Investment Funds Institute of Canada",,"Active"
"Wark, Ed ","Colour Creative Persuasion Inc","Canadian Tire Corporation Ltd.","Active"
"Wark, Ed J","Colour","Pharmasave Atlantic","Active"
"Wasslen, Yamile ","Canadian Consumer Specialty Products Association",,"Active"
"Wejdan, Qumers ","Canadian Bankers Association",,"Active"
"Wells, Derek M","Welland and Associates Limited","Nova Scotia College of Chiropractors","Active"
"Wemekamp, Greta ","Canadian Bankers Association",,"Active"
"Weseen, Gerald ","Emera Incorporated",,"Active"
"White, Karen ","NATIONAL Public Relations","Alton Natural Gas Storage LP","Active"
"White, Karen L","NATIONAL Public Relations","Northern Pulp Nova Scotia Corporation","Active"
"White, Katrina ","Futurpreneur Canada",,"Active"
"Whitelaw, Robert A","Canadian Payday Loan Association",,"Active"
"Wilkes, David ","Retail Council of Canada",,"Active"
"Williams, Duncan ","Construction Association of Nova Scotia",,"Active"
"Williams, Russell T","Rx&D",,"Active"
"Williston, Karen ","Canadian Bankers Association",,"Active"
"Wilson, Fiona ","Futurpreneur Canada",,"Active"
"Wilson, Jane ","Canadian Cancer Society",,"Active"
"Wise, Deborah ","Investment Industry Association of Canada",,"Active"
"Witt, Brenda ","Futurpreneur Canada",,"Active"
"Wright, Hugh H.","McInnes Cooper","Scotia Investments Limited","Active"
"Wrobel, Marion ","Canadian Bankers Association",,"Active"
"Yakabuski, Mark ","Insurance Bureau of Canada",,"Active"
"Yakabuski, Mark I","Insurance Bureau of Canada",,"Active"
"Zatylny, Wendy ","Rx&D",,"Active"
"Zinatelli, Frank ","Canadian Life and Health Insurance Association Inc",,"Active"
"Adams, David C.","Assn. of Int'l Auto Mfrs of Canada",,"Inactive"
"Allain, Stephen ","AstraZeneca Canada Inc.",,"Inactive"
"Ashmore, Brandon ","Canadian Beverage Association",,"Inactive"
"Askheim, Roar ","Bastionhost Ltd.",,"Inactive"
"Aston, Mark ","Rick Hansen Institute",,"Inactive"
"Backs, Gerry ","Canadian Cancer Society-Nova Scotia Division",,"Inactive"
"Baert-Wilson, Christina ","VON Canada",,"Inactive"
"Baldassarre, Juan Cruz ","Bastionhost Ltd.",,"Inactive"
"Barrable, Bill ","Rick Hansen Institute",,"Inactive"
"Bate, Adam ","Bastionhost Ltd.",,"Inactive"
"Batherson, Rob ","CCL","McCain Foods Limited","Inactive"
"Batherson, Rob ","COLOUR CREATIVE PERSUASION INC.","Canadian Payday Loan Association","Inactive"
"Batherson, Robert ",,"Pharmasave Atlantic","Inactive"
"Batherson, Robert ",,"Pfizer Canada Inc.","Inactive"
"Batherson, Robert K","Colour Creative Persuasion Incorporated","BELL ALIANT REGIONAL COMMUNICATIONS LP","Inactive"
"Batherson, Robert K","Colour","Cherubini Group of Companies","Inactive"
"Batherson, Robert K","Colour Creative Persuasion Incorporated","Equifax Canada Incorporated","Inactive"
"Batherson, Robert K","Colour Creative Persuasion Incorporated","Southwest Properties Limited","Inactive"
"Batherson, Robert K","Colour Creative Persuasion Incorporated","Great Northern Timber","Inactive"
"Batherson, Robert K","Colour Creative Persuasion Incorporated","Aliant Inc.","Inactive"
"Batherson, Robert K","Colour Creative Persuasion Incorporated","Canadian Tire Corporation","Inactive"
"Batherson, Robert K","Colour Creative Persuasion Incorporated","Farmers Dairy","Inactive"
"Battcock, Albertine (Tina) V","El Paso Canada Pipeline Company",,"Inactive"
"Berg, Pamela ","Rick Hansen Institute",,"Inactive"
"Best, Stephan ","Animal Alliance of Canada-Environment Voters",,"Inactive"
"Bigsby, Stephen A","Association of Canadian Pension Management",,"Inactive"
"Bilhan, Hande ","Sage Public Affairs","Primerica ","Inactive"
"Blomeley, Joe ","Canadian Council of Chief Executives",,"Inactive"
"Boutziouvis, Sam ","Canadian Council of Chief Executives",,"Inactive"
"Boyle, Megan ","Canadian Beverage Association",,"Inactive"
"Boyle, Megan ","Global Public Affairs","BioMarin Pharmaceutical Inc.","Inactive"
"Boyle, Megan ","Global Public Affairs","Intermune","Inactive"
"Boyle, Megan ","Global Public Affairs Inc.","BioMarin Pharmaceutical Inc","Inactive"
"Brenton, John ","Amgen Canada",,"Inactive"
"Brian, Maloney ","AstraZeneca Canada Inc.",,"Inactive"
"Brisebois, Diane J","Retail Council of Canada",,"Inactive"
"Buchanan, Senator John ","Bastionhost Ltd.",,"Inactive"
"Burgess, Tracy ","Heart and Stroke Foundation of Canada",,"Inactive"
"Burke, Joseph F","Cox & Palmer","Yorkville University","Inactive"
"Burke, Joseph F","Cox & Palmer","Polaris Industries Inc.","Inactive"
"Burke, Stephen M","GlaxoSmithKline Inc",,"Inactive"
"Burnham, Libby ","Morrison Brown Sosnovitch LLP","Shoppers Drug Mart Inc.","Inactive"
"Bushell, Alex J","Environics Communications","Save Your Skin Foundation","Inactive"
"Cameron, Tzigany ","Bastionhost Ltd.",,"Inactive"
"Campbell, Daniel M","Cox & Palmer","Canadian Medical Protective Associations","Inactive"
"Campbell, Daniel M","Cox Hanson O'Reilly Matheson","Dalhousie University","Inactive"
"Campbell, James V.","BP Canada Energy Company",,"Inactive"
"Campbell, Michael J.","McCain Foods Limited",,"Inactive"
"Campbell, Sherry ","Frontier College",,"Inactive"
"Caven, Andrea M","Canadian Cancer Society-Nova Scotia Division",,"Inactive"
"Checkland, Claire ","Canadian Cancer Society-Nova Scotia Division",,"Inactive"
"Chipman, James L.","Stewart McKelvey","Canadian Convenience Store Association","Inactive"
"Chown, David A","David Chown Consulting","Genzyme Canada Inc.","Inactive"
"Chown, David A","David Chown Consulting","Canadian Association of Chain Drug Stores","Inactive"
"Clausen, Larry ","Cohn & Wolfe West","Energy Policy Institute of Canada","Inactive"
"Clermont, Sylvain ","sanofi-aventis Canada Inc.",,"Inactive"
"Coady, Moses ","Coady & Associates","Alva Construction Limited","Inactive"
"Coady, Moses ","Coady & Associates","Groupe Savoie Inc.","Inactive"
"Coady, Moses ","Coady & Associates","Allianceof Nova Scotia Sawmillers","Inactive"
"Coady, Moses ","Coady & Associates","Statia Terminals Canada Partnership","Inactive"
"Cole, Cordell ","International Brotherhood of Electrical Workers ",,"Inactive"
"Cole, Gabe ","Bastionhost Ltd.",,"Inactive"
"Connor, Donald E","CGA Nova Scotia",,"Inactive"
"Cook, Robert A","Nova Scotia Association of Health Organizations",,"Inactive"
"Crooks, Timothy M","Phoenix Youth Programs",,"Inactive"
"Cruickshanks, Heather B","Merit Contractors Association of Nova Scotia",,"Inactive"
"Cruikshank, Jeanne I","CANADIAN COUNCIL OF GROCERY DISTRIBUTORS",,"Inactive"
"Cunningham, Rob ","Canadian Cancer Society-Nova Scotia Division",,"Inactive"
"Davenport, Gerry ","Retail Council of Canada",,"Inactive"
"Demers, Dan ","Canadian Cancer Society-Nova Scotia Division",,"Inactive"
"DeRabbie, Doug ","Retail Council of Canada",,"Inactive"
"DeRosenroll, Michael C","Canadian Cancer Society-Nova Scotia Division",,"Inactive"
"Derrah, Rachel C","Bastionhost Ltd.",,"Inactive"
"Deveaux, Kevin E.","N/A","Eastern Passage High School Committee","Inactive"
"Devins, William F","The Devins Network Inc.","Molson Coors Canada","Inactive"
"Dibert, Stephen ","MEDEC",,"Inactive"
"Dickson, Fred J.","McInnes Cooper","Xstrata Coal Donkin Management Ltd.","Inactive"
"Dillman, Elwood L","Dillman Consulting Services","Titanium Corporation Inc.","Inactive"
"Dillon, John ","Canadian Council of Chief Executives",,"Inactive"
"Donovan, Thomas P.","Cox Hanson O'Reilly Matheson","Nova Scotia Association of Optometrists","Inactive"
"Droesbeck, Catherine ","Heart and Stroke Foundation of Canada",,"Inactive"
"Dunlop, Richard M",,"Merit Contractors Association of Nova Scotia","Inactive"
"Dwyer, Peter ","William Alexander & Associates Ltd.","Nova Scotia Dental Association","Inactive"
"Dybka, Ed ","AstraZeneca Canada Inc.",,"Inactive"
"Ed, Wark ","Colour Creative Persuasion Inc","Watts Wind Energy Inc","Inactive"
"English, Jennifer ","Heart and Stroke Foundation of Canada",,"Inactive"
"Farwell Scarfone, Sandra E.","Seafood Producers Association of Nova Scotia",,"Inactive"
"Fisher, Brenda E","Janssen-Ortho Inc.",,"Inactive"
"Flukinger, Scott P.","Flukinger Law Firm","RTMS Global LLC","Inactive"
"Foote, George R",,"Port Hawkesbury Paper LP","Inactive"
"Fox, Brian C","Janssen Ortho",,"Inactive"
"Fraser, David T",,"Canadian Medical Imaging Limited","Inactive"
"Fraser, David TS","Bastionhost Ltd.",,"Inactive"
"Fraser, Hugh R","Bristol","Bilcon of Nova Scotia Corporation","Inactive"
"Gillan, Alison L","Cape Consulting Group","Merck","Inactive"
"Gillespie, Jenn ","Atlantic Provinces Trucking Association",,"Inactive"
"Godin, Robert ","AstraZeneca Canada Inc.",,"Inactive"
"Goetz, Jim ","Canadian Beverage Association",,"Inactive"
"Goguen, Chris P","GlaxoSmithKline",,"Inactive"
"Goodwin, Damon AM","Boehringer Ingelheim (Canada) Ltd.",,"Inactive"
"Grant, Robert G.","Stewart McKelvey","Municipal Enterprises Limited","Inactive"
"Griffiths, Tom N","International Brotherhood of Electrical Workers ",,"Inactive"
"Hamm, John F","Northern Pulp Nova Scotia",,"Inactive"
"Hann, Ann Marie ","The Coal Association of Canada",,"Inactive"
"Harmolin, Scott ","Bastionhost Ltd.",,"Inactive"
"Hilley, Ian ","MYLAN PHARMACEUTICALS, INC.",,"Inactive"
"Hinds, Nadia ","MT&L Public Relations","Shear Wind Inc.","Inactive"
"Holt, David ","Bastionhost Ltd.",,"Inactive"
"Holz, Chris ","Campbell Strategies","Shopper Drug Mart","Inactive"
"Hubberstey, Caroline ","The Canadian Bankers' Association",,"Inactive"
"Ian, Capstick M","MediaStyle","Greg Monforton and Partners","Inactive"
"Jefferson, Glen E","Exhibitions Association of Nova Scotia","Exhibitions Association of Nova Scotia","Inactive"
"Johnson, Keith L","Northern Pulp Nova Scotia",,"Inactive"
"Jones, Janet L","Bastionhost Ltd.",,"Inactive"
"Joseph, Richard J","NS Environmental Industry Association",,"Inactive"
"Kagan, Rachel ","Retail Council of Canada",,"Inactive"
"Keller, Wade ","Labatt Breweries of Canada",,"Inactive"
"Kennelly, Jo ","Canadian Cancer Society-Nova Scotia Division",,"Inactive"
"Kenney, Douglas B.","Bastionhost Ltd.",,"Inactive"
"Kenny, Mary E","Atlantic Home Building & Renovation Sector Council",,"Inactive"
"Kiedrowski, John S","Canadian Home Wine Trade Association",,"Inactive"
"Kiley, Laura ","CCL","Siskind, Cromerty, Ivey and Dowler LLP","Inactive"
"Kiley, Laura ","Colour Creative Persuasion Inc.","Canadian Payday Loan Association","Inactive"
"Kiley, Laura E","CCL","McCain Foods Limited","Inactive"
"Kinley, Shona E","Bayer Inc.",,"Inactive"
