"facility_type","fiscal_year","quarter","referrals","investigations","founded_cases"
"Residential Care Facility (RCF)","2019-20","Q1 Apr-June","5","2","1"
"Residential Rehabilitation Centre (RRC)","2019-20","Q1 Apr-June","14","4","0"
"Small Options Home","2019-20","Q1 Apr-June","12","2","1"
"Adult Residential Centre (ARC)","2019-20","Q2 Jul-Sep","13","4","3"
"Developmental Residence","2019-20","Q2 Jul-Sep","8","1","0"
"Group Home","2019-20","Q2 Jul-Sep","1","0","0"
"Residential Care Facility (RCF)","2019-20","Q2 Jul-Sep","4","0","0"
"Residential Rehabilitation Centre (RRC)","2019-20","Q2 Jul-Sep","7","2","0"
"Small Options Home","2019-20","Q2 Jul-Sep","10","1","2"
"Adult Residential Centre (ARC)","2019-20","Q3 Oct-Dec","7","4","1"
"Developmental Residence","2019-20","Q3 Oct-Dec","2","0","2"
"Group Home","2019-20","Q3 Oct-Dec","8","2","0"
"Other","2019-20","Q3 Oct-Dec","1","0","0"
"Residential Care Facility (RCF)","2019-20","Q3 Oct-Dec","0","0","1"
"Residential Rehabilitation Centre (RRC)","2019-20","Q3 Oct-Dec","9","1","0"
"Small Options Home","2019-20","Q3 Oct-Dec","6","1","1"
"Adult Residential Centre (ARC)","2019-20","Q4 Jan-Mar","10","3","3"
"Developmental Residence","2019-20","Q4 Jan-Mar","7","3","1"
"Group Home","2019-20","Q4 Jan-Mar","3","0","0"
"Other","2019-20","Q4 Jan-Mar","1","0","0"
"Residential Care Facility (RCF)","2019-20","Q4 Jan-Mar","1","0","0"
"Residential Rehabilitation Centre (RRC)","2019-20","Q4 Jan-Mar","8","1","5"
"Small Options Home","2019-20","Q4 Jan-Mar","9","7","0"
"Adult Residential Centre (ARC)","2020-21","Q1 Apr-June","6","4","2"
"Developmental Residence","2020-21","Q1 Apr-June","7","4","0"
"Group Home","2020-21","Q1 Apr-June","3","1","0"
"Other","2020-21","Q1 Apr-June","1","1","0"
"Residential Care Facility (RCF)","2020-21","Q1 Apr-June","5","1","0"
"Residential Rehabilitation Centre (RRC)","2020-21","Q1 Apr-June","5","2","0"
"Small Options Home","2020-21","Q1 Apr-June","8","4","1"
"Adult Residential Centre (ARC)","2020-21","Q2 Jul-Sep","6","1","3"
"Developmental Residence","2020-21","Q2 Jul-Sep","6","0","2"
"Group Home","2020-21","Q2 Jul-Sep","6","2","1"
"Other","2020-21","Q2 Jul-Sep","0","0","0"
"Residential Care Facility (RCF)","2020-21","Q2 Jul-Sep","5","2","1"
"Residential Rehabilitation Centre (RRC)","2020-21","Q2 Jul-Sep","4","2","2"
"Small Options Home","2020-21","Q2 Jul-Sep","6","3","2"
"Adult Residential Centre (ARC)","2020-21","Q3 Oct-Dec","10","2","1"
"Developmental Residence","2020-21","Q3 Oct-Dec","8","3","2"
"Group Home","2020-21","Q3 Oct-Dec","5","1","0"
"Other","2020-21","Q3 Oct-Dec","1","0","1"
"Residential Care Facility (RCF)","2020-21","Q3 Oct-Dec","3","0","0"
"Residential Rehabilitation Centre (RRC)","2020-21","Q3 Oct-Dec","5","3","0"
"Small Options Home","2020-21","Q3 Oct-Dec","9","4","3"
"Adult Residential Centre (ARC)","2020-21","Q4 Jan-Mar","9","0","0"
"Developmental Residence","2020-21","Q4 Jan-Mar","10","3","2"
"Group Home","2020-21","Q4 Jan-Mar","2","0","2"
"Other","2020-21","Q4 Jan-Mar","0","0","0"
"Residential Care Facility (RCF)","2020-21","Q4 Jan-Mar","6","2","0"
"Residential Rehabilitation Centre (RRC)","2020-21","Q4 Jan-Mar","4","1","0"
"Small Options Home","2020-21","Q4 Jan-Mar","8","1","2"
"Adult Residential Centre (ARC)","2021-22","Q1 Apr-June","5","1","0"
"Developmental Residence","2021-22","Q1 Apr-June","5","1","0"
"Group Home","2021-22","Q1 Apr-June","2","0","0"
"Other","2021-22","Q1 Apr-June","0","0","0"
"Residential Care Facility (RCF)","2021-22","Q1 Apr-June","3","0","2"
"Residential Rehabilitation Centre (RRC)","2021-22","Q1 Apr-June","2","1","1"
"Small Options Home","2021-22","Q1 Apr-June","8","2","2"
"Adult Residential Centre (ARC)","2021-22","Q2 Jul-Sep","7","2","0"
"Developmental Residence","2021-22","Q2 Jul-Sep","5","0","2"
"Group Home","2021-22","Q2 Jul-Sep","4","1","0"
"Other","2021-22","Q2 Jul-Sep","0","0","0"
"Residential Care Facility (RCF)","2021-22","Q2 Jul-Sep","2","0","0"
"Residential Rehabilitation Centre (RRC)","2021-22","Q2 Jul-Sep","5","4","0"
"Small Options Home","2021-22","Q2 Jul-Sep","11","2","1"
"Adult Residential Centre (ARC)","2021-22","Q3 Oct-Dec","7","4","1"
"Developmental Residence","2021-22","Q3 Oct-Dec","7","3","0"
"Group Home","2021-22","Q3 Oct-Dec","0","0","0"
"Other","2021-22","Q3 Oct-Dec","0","0","0"
"Residential Care Facility (RCF)","2021-22","Q3 Oct-Dec","6","0","1"
"Residential Rehabilitation Centre (RRC)","2021-22","Q3 Oct-Dec","1","0","1"
"Small Options Home","2021-22","Q3 Oct-Dec","11","6","2"
"Adult Residential Centre (ARC)","2021-22","Q4 Jan-Mar","8","1","0"
"Developmental Residence","2021-22","Q4 Jan-Mar","1","1","0"
"Group Home","2021-22","Q4 Jan-Mar","7","3","1"
"Other","2021-22","Q4 Jan-Mar","0","0","0"
"Residential Care Facility (RCF)","2021-22","Q4 Jan-Mar","3","1","0"
"Residential Rehabilitation Centre (RRC)","2021-22","Q4 Jan-Mar","3","1","1"
"Small Options Home","2021-22","Q4 Jan-Mar","13","4","0"
"Adult Residential Centre (ARC)","2022-23","Q1 Apr-June","5","2","0"
"Developmental Residence","2022-23","Q1 Apr-June","6","1","0"
"Group Home","2022-23","Q1 Apr-June","0","0","0"
"Other","2022-23","Q1 Apr-June","0","0","0"
"Residential Care Facility (RCF)","2022-23","Q1 Apr-June","4","0","0"
"Residential Rehabilitation Centre (RRC)","2022-23","Q1 Apr-June","1","0","0"
"Small Options Home","2022-23","Q1 Apr-June","4","0","0"
