"program","name","services_and_programs","civic_address","community","postal_code","phone","fax","email","website","geocoded_column"
"Transition Houses; Domestic Violence Support","Willow House - Cape Breton Transition House Association","24 hour crisis lines; referals; a variety of confidential services to women who have chosen to remove themselves and their children from traumatic situations.","Sydney","Sydney","B1P 6H4","24 Hour Help Line: (902) 539-2945; Toll Free 1-800-563-2945; Outreach phone: (902) 562-3045",,"cbtransitionhousefoundation@outlook.com","https://transitionhousefoundation.com/",
"Mental Health","Mobile Mental Health Crisis Team","24/7 telephone crisis support and mobile response.  Crisis support is given over the phone or in person—they will come to you in the Halifax area. 
 
When you call, the crisis team will: 

provide immediate crisis support and triage over the phone and visit you in person in the Halifax area, if necessary 
assess your situation, current supports, and resources 
help you access follow-up services 
consult with your existing supports and services 
provide short-term crisis management","No physical address","Halifax",,"(902) 429-8167; Toll Free: 1-888-429-8167",,,"https://www.halifax.ca/fire-police/police/programs-services/mental-health-crisis-support-halifax",
"Women's Centres; Domestic Violence Support; Counselling; Legal Support","Strait Area Women's Place","24-hour crisis support telephone line.
Support counselling, someone to listen and help you consider your options
Help in understanding the legal and social services systems; Someone to go with you to appointments; Referral and follow-up to other social services programs; Space to meet with other women and share your experiences; Support group; Outreach worker who will meet with you in your own community","609 Church Street, Suite 104","Port Hawkesbury","B9A 2W2","(902) 625-1614",,"straitareawomensplace@gmail.com","https://www.facebook.com/StraitAreaWomensPlace/","609 Church Street, Suite 104
Port Hawkesbury, NS B9A 2W2
(45.614965, -61.355683)"
"Transition Houses; Aboriginal Health Services; Domestic Violence Support; Support Services","Mi'kmaw Family Healing Centre - Mainland NS","24-hour crisis support telephone line; support and information to women, men, and children to enable them to develop and maintain a healthful and violent-free lifestyle; individual and Group Counselling for women, men, and children; outreach services to women, men, and children; referral and follow-up to other social services programs","348 Abenaki Road","Truro","B2N 6Y7","24 Hour Help Line: (902) 893-8483","(902) 89302987","beverly.walker@novascotia.ca","thans.ca/get-help/find-a-shelter/millbrook-family-healing-centre","348 Abenaki Road
Truro, NS B2N 6Y7
(45.339793, -63.302246)"
"Transition Houses; Domestic Violence Support; counselling; sexual violence navigators; Sexual Assault Centre; SANE Program","Alice House","24-hour distress line;  24 hour emergency services for women, with or without children, escapting domestic violence; women's supportive counselling; educational group sessions","Dartmouth","Dartmouth","B2Y 3Y5","(902) 466-8459",,"livesafe@alicehouse.ca","https://alicehouse.ca/",
"Transition Houses; Domestic Violence Support; counselling; sexual violence navigators; Sexual Assault Centre; SANE Program","Bryony House","24-hour distress line;  24 hour emergency services for women, with or without children, escapting domestic violence; women's supportive counselling; educational group sessions","Halifax","Halifax","B3L 3B5","Distress line: (902) 422-7650; Shelter line: (902) 423-7183; Text: (902) 422-7650",,"staff@bryonyhouse.ca","http://www.bryonyhouse.ca/",
"Family Resource Centres; Support Services","Maggie's Place  - A Resource Centre for Families","A community-based family support program promoting optimal growth of children and youth through purposeful, goal-based home visitation.
Serving Colchester and Cumberland County families with children ages 3-16 years who are facing a variety of behavioral, social, school and environmental challenges.","11 Elmwood Dr","Amherst","B4H 4L2","(902) 667-7250",,"cumberland@maggiesplace.ca","maggiesplace.ca","11 Elmwood Dr
Amherst, NS B4H 4L2
(45.836868, -64.201134)"
"Men's Programs; Counselling","Man Talk","A confidential, emotionally supportive group for male victims of sexual abuse.  Meets on the 1st and 3rd Wednesday evening of the month.  GBTIQ, African Nova Scotia, Aboriginal, and other men representign diverse communities are encouraged to join.  New members always welcome.","200-5435 Portland Place","Halifax","B3K 6R7","(902) 832-1593",,"info@robertswright.ca","http://www.robertswright.ca/mantalk","200-5435 Portland Place
Halifax, NS B3K 6R7
(44.651765, -63.581403)"
"Youth Services","Phoenix Youth Programs - Halifax  (change to: Phoenix Centre For Youth)","A walk-in center that helps youth in their day-to-day lives. The services offered are confidential, non-judgmental and include: housing support, advocacy, crisis intervention, counseling, parenting support, referral to community and internal resources, health services, financial advocacy, food, clothing, shower and laundry facilities, computer and phone access.","6035 Coburg Road","Halifax","B3H 1Y8","(902) 420-0676 or Toll Free: 1-866-620-0676",,"pcfy@phoenixyouth.ca","http://phoenixyouth.ca/","6035 Coburg Road
Halifax, NS B3H 1Y8
(44.639898, -63.587682)"
"Youth Services","SHYFT Youth Services Society","Access to a safe and friendly environment; Programs and workshops as determined by youth; Referrals to other service.  Serving the tri-counties of Yarmouth, Shelburne, and Digby.","6 Trinity Place","Yarmouth","B5A 1P4","(902) 881-3111; 1-855-781-3111","(902) 881-3115","ed@shyft.ca","http://www.shyft.ca/","6 Trinity Place
Yarmouth, NS B5A 1P4
(43.827351, -66.119662)"
"Transition Houses; Second-Stage Housing; Domestic Violence Support; Support Services; Counselling; Legal Support","Adsum House","Adsum offers a range of services and support to women, families, youth and trans* persons during periods of homelessness. Adsum operates four Halifax locations: an emergency shelter, second-stage housing and two apartments complexes where housing is supportive and affordable.","Halifax","Halifax","B3K 2Z4","Immediate assistance: (902) 423-4443; General inquiries: (902) 423-5049",,"adsum@adsumforwomen.org","http://www.adsumforwomen.org/",
"Women's Centres","Tri-County Women's Centre - Digby Outreach","Advocacy; referals; wellness clinic; sexual violence toolkit; trauma-informed care","126 Water Street","Digby","B0V 1A0","(902) 245-6866; toll-free: 1-877-742-0085",,"http://www.tricountywomenscentre.org/contact-us.html","http://www.tricountywomenscentre.org","126 Water Street
Digby, NS B0V 1A0
(44.258172, -66.347954)"
"Women's Centres","Tri-County Women's Centre - Shelburne Outreach","Advocacy; referals; wellness clinic; sexual violence toolkit; trauma-informed care","25B King Street","Shelburne","B0T 1W0","(902) 875-4777; toll-free: 1-877-742-0085",,"http://www.tricountywomenscentre.org/contact-us.html","http://www.tricountywomenscentre.org","25B King Street
Shelburne, NS B0T 1W0
(43.763495, -65.322705)"
"Women's Centres","Tri-County Women's Centre - Yarmouth","Advocacy; referals; wellness clinic; sexual violence toolkit; trauma-informed care","12 Cumberland Street","Yarmouth","B5A 3K3","(902) 742-0085; toll-free:  1-877-742-0085","(902) 742-6068","http://www.tricountywomenscentre.org/contact-us.html","http://www.tricountywomenscentre.org/","12 Cumberland Street
Yarmouth, NS B5A 3K3
(43.833712, -66.118799)"
"Transition Houses","Autumn House","Autumn House offers services to women who have been abused by an intimate partner (husband, boyfriend, common law spouse, same sex partner). The shelter is staffed 24 hours a day, 365 days a year and our phone lines are always open.  

Services are offered at no cost and are completely confidential.
Offers: shelter for women and children; counselling and information on abuse and its effects advocacy; help in accessing community resources such as financial assistance, police, lawyers, children’s services, etc.;  accompaniment to court and professional appointments Ourselves support group. Outreach Services:  Autumn House offers outreach services to reach victims of abuse in the community. If you require this support we can arrange to meet with you in your community.","Amherst","Amherst","B4H 2S5","24 Hour Help Line: (902) 667-1200; Phone: (902) 667-1344",,"http://autumnhouse.ca/contact/","http://autumnhouse.ca/",
"Health Services","Sheet Harbour Sexual Health Centre","Clinical services; sexual health and sexuality education","22673, Highway 7","Sheet Harbour","B0J 3B0","(902) 885-3639",,"sheetharbourshc@hotmail.com","https://shns.ca/member-centres/sheet-harbour-sexual-health-centre/","22673, Highway 7
Sheet Harbour, NS B0J 3B0
(44.918838, -62.531994)"
"Youth Services","Halifax Sexual Health Centre","Clinical services; sexual health and sexuality education","7071 Bayers Road, Suite 302","Halifax","B3L 2C2","(902) 455-9656",,,"http://hshc.ca/","7071 Bayers Road, Suite 302
Halifax, NS B3L 2C2
(44.653682, -63.627016)"
"Transition Houses; Second-Stage Housing; Domestic Violence Support; Support Services; Counselling; Legal Support","Naomi Society (Antigonish County)","Confidential support; safety planning; crisis intervention and ongoing support and advocacy; counselling for women, children, and adolescents; Skilled and supportive counsellors; Information on available options and services: counselling, medical, shelter, legal, financial; Referrals / advocacy with other community agencies; Accompaniment to appointments and / or court","Antigonish","Antigonish","B2G 2E3","(902) 863-3807","(902) 863-6008","info@NaomiSociety.ca","www.naomisociety.ca",
"Transition Houses; Second-Stage Housing; Domestic Violence Support; Support Services; Counselling; Legal Support","Naomi Society (Guysborough County)","Confidential support; safety planning; crisis intervention and ongoing support and advocacy; counselling for women, children, and adolescents; Skilled and supportive counsellors; Information on available options and services: counselling, medical, shelter, legal, financial; Referrals / advocacy with other community agencies; Accompaniment to appointments and / or court","Antigonish","Antigonish","B2G 2E3","(902) 863-3807","(902) 863-6008","info@NaomiSociety.ca","www.naomisociety.ca",
"Youth Services","IWK-SeaStar Child and Youth Advocacy Centre","Coordinated, one-stop services
Welcoming environment, designed specifically for children and youth
Calm, comfortable interview room
Specialized medical assessment (if needed)
Personalized, ongoing support from a child and youth advocate
Free workshops
Accredited facility dog support
Help assessing options for mental health services
Enhanced communication across agencies","IWK Health Centre, 5850/5980 University Ave.","Halifax","B3K 6R8","(902) 470-7357",,"SeaStarWorkshops@iwk.nshealth.ca","https://www.seastarcyac.ca",
"Women's Centre; Legal Support","The Lotus Centre","Crisis Counselling & One-on-One Support Services, by appointment; Personal Development Programs & Workshops Designed to Empower Women; Referral Services; Social Advocacy & Outreach; Community Education & Development; Accompaniment & Support for women facing legal systems, family services or any other agency","67 Dominion Street","Truro","B2N 3P2","(902) 895-4295",,"coordinator@thelotuscentre.net","http://thelotuscentre.net/","67 Dominion Street
Truro, NS B2N 3P2
(45.362877, -63.283896)"
"Youth Services","Family Service of Eastern Nova Scotia - Pictou County","Drop in for Youth-at-risk  where they can feel safe and build trusting relationships; Crisis Management-support for Youth in addressing and/or problem-solving crisis situations; supportive counselling (individual/group); Mentoring: opportunities for mentoring by caring, responsible adults  to act as role models and develop trusting relationships;  accompaniment and support for Youth in navigating systems and services","68 Provost St.","New Glasgow","B2H 2P4","(902) 752-7562;
Toll-free: 1-866-330-5962","(902) 752-1554","Contact form: http://ensfamilyservice.ca/contact/","http://ensfamilyservice.ca/","68 Provost St.
New Glasgow, NS B2H 2P4
(45.588605, -62.644664)"
"Youth Services","Portal Youth Outreach Associaton","Drop-in; Help for youth & families deal with a crisis; Someone to talk to/supportive counseling; Programs/workshops for resiliency; Mentoring: youth/ adult partnership; Advocacy; Support for families in transition; Connection to transitional housing","440 Main St","Kentville","B4N 1K8","(902) 365-3773; toll-free: 1-855-261-3773",,"info@portalyouth.ca","http://www.portalyouth.ca/","440 Main St
Kentville, NS B4N 1K8
(45.077318, -64.497425)"
"Youth Services; Domestic Violence Support; Sexual Health","Sexual Health Centre for Cumberland County","Education and prevention; 'Girls World' program to promote self-confidence (July -August).   Each program activity has been planned to: increase self esteem and self confidence; help girls learn to deal with pressures that girls have at this age and through the teen years;  It Matters Media
It Matters Media is a youth leadership programs that leverages technology, humor and the facts to break stigma surrounding sexual health while providing youth directed, respectful and appropriate information;  our summer camps and March break programs educate, engage, and provide leadership opportunities for children and youth.","82 Church St","Amherst","B4H 3B2","(902) 667-7500",,"sexualhealthcumberland@gmail.com","https://sexualhealthmatters.ca/","82 Church St
Amherst, NS B4H 3B2
(45.831705, -64.209176)"
"Youth Services","Pheonix Youth & Employment Centre","Finding a job can be very tough. How can you get a job if you don’t have experience?  At Phoenix, we can make a plan and make it happen!

Through a variety of programs as well as personalized career counselling, we provide access to:

One-on-one job support
Career exploration and pathing
Resume development
Interview support
Certificate training
Job Coaching
Employability programming
Work skills
Work placements
Connections to employers
Phoenix listens and connects youth and families with the services they need, either at Phoenix or in the larger community.","6169 Quinpool Rd. Suite 220","Halifax","B3L 4P8","902-431-9111",,"plec@phoenixyouth.ca","https://phoenixyouth.ca/","6169 Quinpool Rd. Suite 220
Halifax, NS B3L 4P8
(44.645996, -63.595321)"
"Transition Houses; Domestic Violence Support; Support Services","Chrysalis House (Kentville)","Free confidential services
24-hour crisis line
24-hour staffing
A safe, comfortable living environment for up to six weeks
Supportive counselling for women and children
Help in understanding the legal and social services systems
Advocacy
Group support
A space for women to share their experiences and to gain confidence in their own abilities","Kentville","Kentville",,"Distress Lines
Local: (902) 679-1922
Toll Free: 1-800-264-8682",,"ed@chrysalishouseassociation.org","www.chrysalishouseassociation.org/",
"Transition Houses; Domestic Violence Support; Support Services","Chrysalis House  (West Hants)","Free confidential services
24-hour crisis line
24-hour staffing
A safe, comfortable living environment for up to six weeks
Supportive counselling for women and children
Help in understanding the legal and social services systems
Advocacy
Group support
A space for women to share their experiences and to gain confidence in their own abilities","West Hants","West Hants",,"Distress Lines
Local: (902) 679-1922
Toll Free: 1-800-264-8682",,"ed@chrysalishouseassociation.org","www.chrysalishouseassociation.org/",
"Transition Houses; Domestic Violence Support; Support Services","Chrysalis House  (Annapolis County)","Free confidential services
24-hour crisis line
24-hour staffing
A safe, comfortable living environment for up to six weeks
Supportive counselling for women and children
Help in understanding the legal and social services systems
Advocacy
Group support
A space for women to share their experiences and to gain confidence in their own abilities","West Hants","West Hants",,"Distress Lines
Local: (902) 679-1922
Toll Free: 1-800-264-8682",,"ed@chrysalishouseassociation.org","www.chrysalishouseassociation.org/",
"Transition Houses; Domestic Violence Support; Support Services","Chrysalis House (King's County)","Free confidential services
24-hour crisis line
24-hour staffing
A safe, comfortable living environment for up to six weeks
Supportive counselling for women and children
Help in understanding the legal and social services systems
Advocacy
Group support
A space for women to share their experiences and to gain confidence in their own abilities","King's County","King's County",,"Distress Lines
Local: (902) 679-1922
Toll Free: 1-800-264-8682",,"ed@chrysalishouseassociation.org","www.chrysalishouseassociation.org/",
"Legal Support; Legal Aid","Nova Scotia Legal Aid","Free legal services to help adults and youth facing a range of legal issues.","15 Dorchester Street, Unit 401","Sydney","B1P 5Y9","(902) 563-2295; toll-free: 1-877-563-2295","(902) 539-0489","https://www.nslegalaid.ca/contact-us/","https://www.nslegalaid.ca/legal-aid-offices/","15 Dorchester Street, Unit 401
Sydney, NS B1P 5Y9
(46.140712, -60.196174)"
"Legal Support; Legal Aid","Nova Scotia Legal Aid","Free legal services to help adults and youth facing a range of legal issues.","15 Kennedy Street, Unit 302","Port Hawksbury","B9A 2Y1","(902) 625-4047; toll-free: 1-888-817-0116","(902) 625-5216","https://www.nslegalaid.ca/contact-us/","https://www.nslegalaid.ca/legal-aid-offices/","15 Kennedy Street, Unit 302
Port Hawksbury, NS B9A 2Y1
(45.612432, -61.358505)"
"Legal Support; Legal Aid","Nova Scotia Legal Aid","Free legal services to help adults and youth facing a range of legal issues.","56 St. Anthony Street","Annapolis Royal","B0S 1A0","(902) 532-2311; toll-free: 1-866-532-2311","(902) 532-7488","https://www.nslegalaid.ca/contact-us/","https://www.nslegalaid.ca/legal-aid-offices/","56 St. Anthony Street
Annapolis Royal, NS B0S 1A0
(44.747994, -65.514004)"
"Legal Support; Legal Aid","Nova Scotia Legal Aid","Free legal services to help adults and youth facing a range of legal issues.","70 West Steet, Suite 2","Antigonish","B2G 2X7","(902) 863-3350; toll-free: 1-866-439-1544","(902) 863-7598","https://www.nslegalaid.ca/contact-us/","https://www.nslegalaid.ca/legal-aid-offices/",
"Legal Support; Legal Aid","Nova Scotia Legal Aid (Family)","Free legal services to help adults and youth facing a range of legal issues.","99 Wyse Road, Suite 1210","Dartmouth","B3A 4S5","902-420-7921; toll-free: 1-855-420-7921","(902) 420-7804","https://www.nslegalaid.ca/contact-us/","https://www.nslegalaid.ca/legal-aid-offices/","99 Wyse Road, Suite 1210
Dartmouth, NS B3A 4S5
(44.669201, -63.576321)"
"Legal Support; Legal Aid","Nova Scotia Legal Aid","Free legal services to help adults and youth facing a range of legal issues.","116 George Street","New Glasgow","B2H 2K6","(902)755-7020; toll-free: 1-877-755-7020","(902) 752-8733","https://www.nslegalaid.ca/contact-us/","https://www.nslegalaid.ca/legal-aid-offices/","116 George Street
New Glasgow, NS B2H 2K6
(45.589438, -62.645298)"
"Legal Support; Legal Aid","Nova Scotia Legal Aid","Free legal services to help adults and youth facing a range of legal issues.","141 High Street, Suite 202","Bridgewater","B4V 1W2","(902) 543-4658; toll-free 1-866-543-4658","(902) 543-3044","https://www.nslegalaid.ca/contact-us/","https://www.nslegalaid.ca/legal-aid-offices/","141 High Street, Suite 202
Bridgewater, NS B4V 1W2
(44.373435, -64.529376)"
"Legal Support; Legal Aid","Nova Scotia Legal Aid","Free legal services to help adults and youth facing a range of legal issues.","204-164 Main Street","Yarmouth","B5A 1C2","(902) 742-7827; 1-866-742-3300","(902) 742-0676","https://www.nslegalaid.ca/contact-us/","https://www.nslegalaid.ca/legal-aid-offices/","204-164 Main Street
Yarmouth, NS B5A 1C2
(43.830244, -66.120357)"
"Legal Support; Legal Aid","Nova Scotia Legal Aid","Free legal services to help adults and youth facing a range of legal issues.","202-14 Court Street","Truro","B2N 3H7","(902) 893-5920; Toll free: 1-877-777-5920","(902) 893-6112","https://www.nslegalaid.ca/contact-us/","https://www.nslegalaid.ca/legal-aid-offices/","202-14 Court Street
Truro, NS B2N 3H7
(45.366448, -63.287155)"
"Legal Support; Legal Aid","Nova Scotia Legal Aid","Free legal services to help adults and youth facing a range of legal issues.","55 Church Street","Amherst","B4H 3A7","(902) 667-7544; Toll Free: 1-866-999-7544","(902) 667-0030","https://www.nslegalaid.ca/contact-us/","https://www.nslegalaid.ca/legal-aid-offices/","55 Church Street
Amherst, NS B4H 3A7
(45.832456, -64.210831)"
"Legal Support; Referrals","Nova Scotia Legal Aid (Family)","Free legal services to help adults and youth facing a range of legal issues.","7001 Mumford Road, Suite 100","Halifax","B3L 4R3","(902) 420-3450",,"https://www.nslegalaid.ca/contact-us/","https://www.nslegalaid.ca/legal-aid-offices/","7001 Mumford Road, Suite 100
Halifax, NS B3L 4R3
(44.648019, -63.620189)"
"Legal Support; Legal Aid","Nova Scotia Legal Aid","Free legal services to help adults and youth facing a range of legal issues.  Although some services are based on financial need, some services are available to all Nova Scotians.","325 Main Street, Salon B","Kentville","B4N 1K5","(902) 679-6110 ; Toll Free: 1-866-679-6110","(902) 679-6177","https://www.nslegalaid.ca/contact-us/","https://www.nslegalaid.ca/legal-aid-offices/","325 Main Street, Salon B
Kentville, NS B4N 1K5
(45.076693, -64.493816)"
"Youth Services","Big Brothers Big Sisters of Colchester","Go Girls! Healthy Bodies, Healthy Minds; Game On! Group Mentoring (boys/young men); Big Brother/Big Sister mentoring","390-HWY 311","North River","B6L 6G9","(902) 895-4562",,"winbig@bbbscolchester.ca","https://colchester.bigbrothersbigsisters.ca/",
"Youth Services","Big Brothers Big Sisters of Pictou County","Go Girls! Healthy Bodies, Healthy Minds; Game On! Group Mentoring (boys/young men); Big Brother/Big Sister mentoring","323 MacGregor Street","New Glasgow","B2H 5G2","(902) 752-6260",,"bigbrothers@bellaliant.com","https://pictoucounty.bigbrothersbigsisters.ca/","323 MacGregor Street
New Glasgow, NS B2H 5G2
(45.578246, -62.643386)"
"Youth Services","Big Brothers Big Sisters of South Shore","Go Girls! Healthy Bodies, Healthy Minds; Game On! Group Mentoring (boys/young men); Big Brother/Big Sister mentoring","821 King Street, Unit 7","Bridgewater","B4V 1B7","(902) 543-4435","(902) 543-8571","southshore@bigbrothersbigsisters.ca","https://southshore.bigbrothersbigsisters.ca/","821 King Street, Unit 7
Bridgewater, NS B4V 1B7
(44.381264, -64.522621)"
"Youth Services","Big Brothers Big Sisters of the Annapolis Valley","Go Girls! Healthy Bodies, Healthy Minds; Game On! Group Mentoring (boys/young men); Big Brother/Big Sister mentoring","136 Exhibition Street","Kentville","B4N 4E5","(902) 678-8641; 1-877-328-8671",,"annapolis.valley@bigbrothersbigsisters.ca","https://annapolisvalley.bigbrothersbigsisters.ca/","136 Exhibition Street
Kentville, NS B4N 4E5
(45.084065, -64.499778)"
"Youth Services","Big Brothers Big Sisters - Halifax/ Dartmouth","Go Girls! is a group mentoring program for girls ages 12-14 that focuses on physical activity, balanced eating and self-esteem; mentoring program","86 Ochterloney Street","Dartmouth","B2Y 1C4","(902) 466-5437","(902) 465-4281","halifax@bigbrothersbigsisters.ca","https://halifax.bigbrothersbigsisters.ca/","86 Ochterloney Street
Dartmouth, NS B2Y 1C4
(44.667684, -63.567142)"
"Youth Services","Big Brothers Big Sisters of Cape Breton - Sydney","Go Girls! is a group mentoring program for girls ages 12-14 that focuses on physical activity, balanced eating and self-esteem; mentoring program","700 Victoria Road","Sydney","B1N 1J2","(902) 564-5437",,"capebretonmentoring@gmail.com","https://capebreton.bigbrothersbigsisters.ca/","700 Victoria Road
Sydney, NS B1N 1J2
(46.154776, -60.182451)"
"Youth Services","The Youth Project","Health nurse; referrals; Connect the Dots - Social Support program for LGBTQ youth ages 18 and under","2281 Brunswick St.","Halifax","B3K 2Y9","(902) 429-5429",,"carmel@youthproject.ns.ca","http://www.youthproject.ns.ca/","2281 Brunswick St.
Halifax, NS B3K 2Y9
(44.654391, -63.583761)"
"Women's Centre; Referral; Domestic Violence Support; Sexual Violence Navigator","Strait Area Women's Place","Individual support counselling and crisis intervention; advocacy and accompaniment; information and referrals; programs; community education; community development initiatives and networks.","609 Church Street, Suite 104","Port Hawkesbury","B9A 2W2","(902) 625-1614; Sexual Trauma Counselling booking: (902) 863-6221",,"straitareawomensplace@gmail.com","https://www.facebook.com/StraitAreaWomensPlace/","609 Church Street, Suite 104
Port Hawkesbury, NS B9A 2W2
(45.614965, -61.355683)"
"Youth Services","Boys and Girls Club - Cape Breton","Keystone Club: Boys and Girls Clubs of Canada’s national leadership development program for youth aged 14 to 18; Kid Tech Program: aims to increase children's exposure to digital skills, coding concepts, internet safety, and computational thinking through a pan-Canadian, community-based program and a national media campaign.","111 West Street","Sydney","B1N 1S2","(902) 567-0240",,"chester@bgccb.ca","https://www.bgccb.ca/","111 West Street
Sydney, NS B1N 1S2
(46.159689, -60.181206)"
