"age_group","year","disease","number_of_cases","rate_per_100_000_population"
"5 to 14","2014","Group A Streptococcal Disease Invasive -> Severe","0","0"
"15-24","2014","Group A Streptococcal Disease Invasive -> Severe","1","0.9"
"25-39","2014","Group A Streptococcal Disease Invasive -> Severe","1","0.6"
"40-59","2014","Group A Streptococcal Disease Invasive -> Severe","2","0.7"
"60+","2014","Group A Streptococcal Disease Invasive -> Severe","3","1.3"
"All","2014","Group A Streptococcal Disease Invasive -> Severe","8","0.9"
"0-4","2014","Group A Streptococcal Disease Invasive -> non-Severe","2","5.1"
"5 to 14","2014","Group A Streptococcal Disease Invasive -> non-Severe","1","1.1"
"15-24","2014","Group A Streptococcal Disease Invasive -> non-Severe","0","0"
"25-39","2014","Group A Streptococcal Disease Invasive -> non-Severe","0","0"
"25-39","2014","Q-Fever","0","0"
"40-59","2014","Group A Streptococcal Disease Invasive -> non-Severe","3","1.1"
"60+","2014","Group A Streptococcal Disease Invasive -> non-Severe","8","3.3"
"All","2014","Group A Streptococcal Disease Invasive -> non-Severe","14","1.5"
"0-4","2014","Group B Streptococcal Disease of the Newborn","1","2.5"
"5 to 14","2014","Group B Streptococcal Disease of the Newborn","0","0"
"15-24","2014","Group B Streptococcal Disease of the Newborn","0","0"
"25-39","2014","Group B Streptococcal Disease of the Newborn","0","0"
"40-59","2014","Group B Streptococcal Disease of the Newborn","0","0"
"60+","2014","Group B Streptococcal Disease of the Newborn","0","0"
"All","2014","Group B Streptococcal Disease of the Newborn","1","0.1"
"0-4","2014","Influenza","26","66.2"
"5 to 14","2014","Influenza","11","12.3"
"15-24","2014","Influenza","5","4.3"
"25-39","2014","Influenza","18","10.5"
"40-59","2014","Influenza","49","17.4"
"60+","2014","Influenza","163","68.1"
"All","2014","Influenza","272","29"
"0-4","2014","Legionellosis","0","0"
"5 to 14","2014","Legionellosis","0","0"
"15-24","2014","Legionellosis","0","0"
"25-39","2014","Legionellosis","0","0"
"40-59","2014","Legionellosis","3","1.1"
"60+","2014","Legionellosis","0","0"
"All","2014","Legionellosis","3","0.3"
"0-4","2014","Meningitis - Bacterial","1","2.5"
"5 to 14","2014","Meningitis - Bacterial","0","0"
"15-24","2014","Meningitis - Bacterial","0","0"
"25-39","2014","Meningitis - Bacterial","1","0.6"
"40-59","2014","Meningitis - Bacterial","0","0"
"60+","2014","Meningitis - Bacterial","0","0"
"All","2014","Meningitis - Bacterial","2","0.2"
"0-4","2014","Meningitis - Viral","6","15.3"
"5 to 14","2014","Meningitis - Viral","1","1.1"
"15-24","2014","Meningitis - Viral","1","0.9"
"25-39","2014","Meningitis - Viral","4","2.3"
"40-59","2014","Meningitis - Viral","3","1.1"
"60+","2014","Meningitis - Viral","0","0"
"All","2014","Meningitis - Viral","15","1.6"
"0-4","2014","Meningococcal Disease Invasive","1","2.5"
"5 to 14","2014","Meningococcal Disease Invasive","0","0"
"15-24","2014","Meningococcal Disease Invasive","1","0.9"
"25-39","2014","Meningococcal Disease Invasive","0","0"
"40-59","2014","Meningococcal Disease Invasive","1","0.4"
"60+","2014","Meningococcal Disease Invasive","0","0"
"All","2014","Meningococcal Disease Invasive","3","0.3"
"0-4","2014","Methicillin Resistant Staphylococcus Aureus","18","45.8"
"5 to 14","2014","Methicillin Resistant Staphylococcus Aureus","13","14.5"
"15-24","2014","Methicillin Resistant Staphylococcus Aureus","30","25.7"
"25-39","2014","Methicillin Resistant Staphylococcus Aureus","56","32.6"
"40-59","2014","Methicillin Resistant Staphylococcus Aureus","117","41.5"
"60+","2014","Methicillin Resistant Staphylococcus Aureus","409","170.8"
"All","2014","Methicillin Resistant Staphylococcus Aureus","644","68.6"
"0-4","2014","Pneumococcal Disease Invasive","0","0"
"5 to 14","2014","Pneumococcal Disease Invasive","0","0"
"15-24","2014","Pneumococcal Disease Invasive","2","1.7"
"25-39","2014","Pneumococcal Disease Invasive","5","2.9"
"40-59","2014","Pneumococcal Disease Invasive","24","8.5"
"60+","2014","Pneumococcal Disease Invasive","35","14.6"
"All","2014","Pneumococcal Disease Invasive","66","7"
"0-4","2014","Tuberculosis","0","0"
"5 to 14","2014","Tuberculosis","0","0"
"15-24","2014","Tuberculosis","1","0.9"
"25-39","2014","Tuberculosis","5","2.9"
"40-59","2014","Tuberculosis","1","0.4"
"60+","2014","Tuberculosis","0","0"
"All","2014","Tuberculosis","7","0.7"
"0-4","2014","Vancomycin Resistant Enterococcus","0","0"
"5 to 14","2014","Vancomycin Resistant Enterococcus","0","0"
"40-59","2014","Q-Fever","0","0"
"15-24","2014","Vancomycin Resistant Enterococcus","0","0"
"25-39","2014","Vancomycin Resistant Enterococcus","1","0.6"
"40-59","2014","Vancomycin Resistant Enterococcus","5","1.8"
"60+","2014","Vancomycin Resistant Enterococcus","11","4.6"
"All","2014","Vancomycin Resistant Enterococcus","17","1.8"
"0-4","2014","Amebiasis","0","0"
"5 to 14","2014","Amebiasis","0","0"
"15-24","2014","Amebiasis","0","0"
"25-39","2014","Amebiasis","0","0"
"40-59","2014","Amebiasis","2","0.7"
"60+","2014","Amebiasis","1","0.4"
"All","2014","Amebiasis","3","0.3"
"0-4","2014","Botulism","0","0"
"5 to 14","2014","Botulism","0","0"
"15-24","2014","Botulism","0","0"
"25-39","2014","Botulism","0","0"
"40-59","2014","Botulism","0","0"
"60+","2014","Botulism","0","0"
"All","2014","Botulism","0","0"
"0-4","2014","Campylobacteriosis","10","25.5"
"5 to 14","2014","Campylobacteriosis","8","8.9"
"15-24","2014","Campylobacteriosis","26","22.2"
"25-39","2014","Campylobacteriosis","37","21.5"
"40-59","2014","Campylobacteriosis","61","21.7"
"60+","2014","Campylobacteriosis","38","15.9"
"All","2014","Campylobacteriosis","180","19.2"
"0-4","2014","Cryptosporidiosis","2","5.1"
"5 to 14","2014","Cryptosporidiosis","4","4.5"
"15-24","2014","Cryptosporidiosis","7","6"
"25-39","2014","Cryptosporidiosis","9","5.2"
"40-59","2014","Cryptosporidiosis","8","2.8"
"60+","2014","Cryptosporidiosis","2","0.8"
"All","2014","Cryptosporidiosis","32","3.4"
"0-4","2014","Cyclosporiasis","0","0"
"5 to 14","2014","Cyclosporiasis","0","0"
"15-24","2014","Cyclosporiasis","0","0"
"25-39","2014","Cyclosporiasis","1","0.6"
"40-59","2014","Cyclosporiasis","0","0"
"60+","2014","Cyclosporiasis","0","0"
"All","2014","Cyclosporiasis","1","0.1"
"0-4","2014","Giardiasis","5","12.7"
"5 to 14","2014","Giardiasis","6","6.7"
"15-24","2014","Giardiasis","9","7.7"
"25-39","2014","Giardiasis","22","12.8"
"40-59","2014","Giardiasis","31","11"
"60+","2014","Giardiasis","17","7.1"
"All","2014","Giardiasis","90","9.6"
"0-4","2014","Hepatitis A","0","0"
"5 to 14","2014","Hepatitis A","0","0"
"15-24","2014","Hepatitis A","3","2.6"
"25-39","2014","Hepatitis A","0","0"
"40-59","2014","Hepatitis A","0","0"
"60+","2014","Hepatitis A","0","0"
"All","2014","Hepatitis A","3","0.3"
"0-4","2014","Hepatitis E","0","0"
"5 to 14","2014","Hepatitis E","0","0"
"15-24","2014","Hepatitis E","0","0"
"25-39","2014","Hepatitis E","0","0"
"40-59","2014","Hepatitis E","0","0"
"60+","2014","Hepatitis E","0","0"
"All","2014","Hepatitis E","0","0"
"0-4","2014","Listeriosis - Invasive","1","2.5"
"5 to 14","2014","Listeriosis - Invasive","0","0"
"15-24","2014","Listeriosis - Invasive","0","0"
"25-39","2014","Listeriosis - Invasive","0","0"
"40-59","2014","Listeriosis - Invasive","0","0"
"60+","2014","Listeriosis - Invasive","4","1.7"
"All","2014","Listeriosis - Invasive","5","0.5"
"0-4","2014","Salmonellosis","16","40.7"
"5 to 14","2014","Salmonellosis","17","19"
"15-24","2014","Salmonellosis","20","17.1"
"25-39","2014","Salmonellosis","32","18.6"
"40-59","2014","Salmonellosis","64","22.7"
"60+","2014","Salmonellosis","55","23"
"All","2014","Salmonellosis","204","21.7"
"0-4","2014","Shellfish Poisoning","0","0"
"5 to 14","2014","Shellfish Poisoning","0","0"
"15-24","2014","Shellfish Poisoning","0","0"
"25-39","2014","Shellfish Poisoning","0","0"
"40-59","2014","Shellfish Poisoning","0","0"
"60+","2014","Shellfish Poisoning","0","0"
"All","2014","Shellfish Poisoning","0","0"
"0-4","2014","Shigellosis","0","0"
"5 to 14","2014","Shigellosis","0","0"
"15-24","2014","Shigellosis","2","1.7"
"25-39","2014","Shigellosis","2","1.2"
"40-59","2014","Shigellosis","4","1.4"
"60+","2014","Shigellosis","1","0.4"
"All","2014","Shigellosis","9","1"
"0-4","2014","Typhoid","0","0"
"5 to 14","2014","Typhoid","1","1.1"
"15-24","2014","Typhoid","0","0"
"25-39","2014","Typhoid","0","0"
"40-59","2014","Typhoid","0","0"
"60+","2014","Typhoid","1","0.4"
"All","2014","Typhoid","2","0.2"
"0-4","2014","Verotoxigenic E.coli","0","0"
"5 to 14","2014","Verotoxigenic E.coli","0","0"
"15-24","2014","Verotoxigenic E.coli","0","0"
"25-39","2014","Verotoxigenic E.coli","0","0"
"40-59","2014","Verotoxigenic E.coli","1","0.4"
"60+","2014","Verotoxigenic E.coli","1","0.4"
"All","2014","Verotoxigenic E.coli","2","0.2"
"0-4","2014","Yersiniosis","0","0"
"5 to 14","2014","Yersiniosis","0","0"
"15-24","2014","Yersiniosis","0","0"
"25-39","2014","Yersiniosis","0","0"
"40-59","2014","Yersiniosis","1","0.4"
"60+","2014","Yersiniosis","1","0.4"
"All","2014","Yersiniosis","2","0.2"
"0-4","2014","Chlamydia","1","2.5"
"5 to 14","2014","Chlamydia","14","15.6"
"15-24","2014","Chlamydia","1805","1543.6"
"25-39","2014","Chlamydia","725","422.2"
"40-59","2014","Chlamydia","81","28.7"
"60+","2014","Chlamydia","2","0.8"
"All","2014","Chlamydia","2628","279.9"
"0-4","2014","Gonorrhea","0","0"
"5 to 14","2014","Gonorrhea","0","0"
"15-24","2014","Gonorrhea","61","52.2"
"25-39","2014","Gonorrhea","42","24.5"
"40-59","2014","Gonorrhea","10","3.5"
"60+","2014","Gonorrhea","0","0"
"All","2014","Gonorrhea","113","12"
"0-4","2014","Lymphogranuloma Venereum","0","0"
"5 to 14","2014","Lymphogranuloma Venereum","0","0"
"15-24","2014","Lymphogranuloma Venereum","0","0"
"25-39","2014","Lymphogranuloma Venereum","0","0"
"40-59","2014","Lymphogranuloma Venereum","0","0"
"60+","2014","Lymphogranuloma Venereum","0","0"
"All","2014","Lymphogranuloma Venereum","0","0"
"0-4","2014","Syphilis - Infectious","0","0"
"5 to 14","2014","Syphilis - Infectious","0","0"
"15-24","2014","Syphilis - Infectious","19","16.2"
"25-39","2014","Syphilis - Infectious","27","15.7"
"40-59","2014","Syphilis - Infectious","15","5.3"
"60+","2014","Syphilis - Infectious","2","0.8"
"All","2014","Syphilis - Infectious","63","6.7"
"0-4","2014","Syphilis - Non-Infectious or Stage Pending","0","0"
"5 to 14","2014","Syphilis - Non-Infectious or Stage Pending","0","0"
"15-24","2014","Syphilis - Non-Infectious or Stage Pending","6","5.1"
"25-39","2014","Syphilis - Non-Infectious or Stage Pending","14","8.2"
"40-59","2014","Syphilis - Non-Infectious or Stage Pending","13","4.6"
"60+","2014","Syphilis - Non-Infectious or Stage Pending","4","1.7"
"All","2014","Syphilis - Non-Infectious or Stage Pending","37","3.9"
"0-4","2014","Acute Flaccid Paralysis","1","2.5"
"5 to 14","2014","Acute Flaccid Paralysis","0","0"
"15-24","2014","Acute Flaccid Paralysis","0","0"
"25-39","2014","Acute Flaccid Paralysis","0","0"
"40-59","2014","Acute Flaccid Paralysis","0","0"
"60+","2014","Acute Flaccid Paralysis","0","0"
"All","2014","Acute Flaccid Paralysis","1","0.1"
"0-4","2014","Haemophilus influenzae Type b Invasive Disease","0","0"
"5 to 14","2014","Haemophilus influenzae Type b Invasive Disease","0","0"
"15-24","2014","Haemophilus influenzae Type b Invasive Disease","0","0"
"25-39","2014","Haemophilus influenzae Type b Invasive Disease","0","0"
"40-59","2014","Haemophilus influenzae Type b Invasive Disease","0","0"
"60+","2014","Haemophilus influenzae Type b Invasive Disease","0","0"
"All","2014","Haemophilus influenzae Type b Invasive Disease","0","0"
"0-4","2014","Mumps","0","0"
"5 to 14","2014","Mumps","0","0"
"15-24","2014","Mumps","1","0.9"
"25-39","2014","Mumps","0","0"
"40-59","2014","Mumps","0","0"
"60+","2014","Mumps","0","0"
"All","2014","Mumps","1","0.1"
"0-4","2014","Pertussis","6","15.3"
"5 to 14","2014","Pertussis","0","0"
"15-24","2014","Pertussis","2","1.7"
"25-39","2014","Pertussis","0","0"
"40-59","2014","Pertussis","3","1.1"
"60+","2014","Pertussis","0","0"
"All","2014","Pertussis","11","1.2"
"0-4","2014","Rubella","0","0"
"5 to 14","2014","Rubella","0","0"
"15-24","2014","Rubella","0","0"
"25-39","2014","Rubella","0","0"
"40-59","2014","Rubella","0","0"
"60+","2014","Rubella","0","0"
"All","2014","Rubella","0","0"
"0-4","2014","Tetanus","0","0"
"5 to 14","2014","Tetanus","0","0"
"15-24","2014","Tetanus","0","0"
"25-39","2014","Tetanus","0","0"
"40-59","2014","Tetanus","0","0"
"60+","2014","Tetanus","0","0"
"All","2014","Tetanus","0","0"
"0-4","2014","Lyme Disease - Confirmed","0","0"
"5 to 14","2014","Lyme Disease - Confirmed","7","7.8"
"15-24","2014","Lyme Disease - Confirmed","2","1.7"
"25-39","2014","Lyme Disease - Confirmed","8","4.7"
"40-59","2014","Lyme Disease - Confirmed","20","7.1"
"60+","2014","Lyme Disease - Confirmed","31","12.9"
"All","2014","Lyme Disease - Confirmed","68","7.2"
"0-4","2014","Lyme Disease - Probable","2","5.1"
"5 to 14","2014","Lyme Disease - Probable","5","5.6"
"15-24","2014","Lyme Disease - Probable","3","2.6"
"25-39","2014","Lyme Disease - Probable","7","4.1"
"40-59","2014","Lyme Disease - Probable","11","3.9"
"60+","2014","Lyme Disease - Probable","19","7.9"
"All","2014","Lyme Disease - Probable","47","5"
"0-4","2015","Lyme Disease - Confirmed","4","9.3"
"All","2017","Hepatitis B - Acute","6","0.6"
"15-24","2015","Lyme Disease - Confirmed","12","10.4"
"5 to 14","2017","Tetanus","0","0"
"40-59","2017","Group A Streptococcal Disease Invasive -> Severe","3","1.1"
"5 to 14","2017","Malaria","0","0"
"40-59","2017","Pneumococcal Disease Invasive","9","3.3"
"0-4","2015","Lyme Disease - Probable","5","11.6"
"15-24","2017","Lyme Disease - Probable","9","8"
"All","2017","Shigellosis","10","1"
"25-39","2015","Lyme Disease - Probable","15","8.7"
"5 to 14","2017","Mumps","0","0"
"All","2017","Verotoxigenic E.coli","21","2.2"
"60+","2017","Lyme Disease - Probable","132","50.8"
"0-4","2014","Malaria","0","0"
"5 to 14","2014","Malaria","0","0"
"15-24","2014","Malaria","0","0"
"25-39","2014","Malaria","3","1.7"
"40-59","2014","Malaria","0","0"
"60+","2014","Malaria","0","0"
"All","2014","Malaria","3","0.3"
"0-4","2014","Q-Fever","0","0"
"5 to 14","2014","Q-Fever","0","0"
"15-24","2014","Q-Fever","0","0"
"60+","2014","Q-Fever","0","0"
"All","2014","Q-Fever","0","0"
"0-4","2014","Toxoplasmosis","0","0"
"5 to 14","2014","Toxoplasmosis","0","0"
"15-24","2014","Toxoplasmosis","1","0.9"
"25-39","2014","Toxoplasmosis","1","0.6"
"40-59","2014","Toxoplasmosis","0","0"
"60+","2014","Toxoplasmosis","1","0.4"
"All","2014","Toxoplasmosis","3","0.3"
"0-4","2014","West Nile Virus","0","0"
"5 to 14","2014","West Nile Virus","0","0"
"15-24","2014","West Nile Virus","0","0"
"25-39","2014","West Nile Virus","0","0"
"40-59","2014","West Nile Virus","0","0"
"60+","2014","West Nile Virus","0","0"
"All","2014","West Nile Virus","0","0"
"0-4","2016","Lyme Disease - Confirmed","5","11.4"
"15-24","2015","Typhoid","0","0"
"0-4","2016","Meningococcal Disease Invasive","0","0"
"0-4","2016","Influenza","29","66.1"
"5 to 14","2016","Gonorrhea","1","1.1"
"5 to 14","2015","Acquired Immune Deficiency Syndrome","0","0"
"15-24","2015","Creutzfeldt-Jakob Disease - Classic","0","0"
"0-4","2016","Malaria","1","2.3"
"All","2016","Vancomycin Resistant Enterococcus","13","1.4"
"All","2015","Giardiasis","87","9.2"
"5 to 14","2015","Verotoxigenic E.coli","0","0"
"40-59","2015","Syphilis - Infectious","9","3.2"
"60+","2016","Botulism","0","0"
"5 to 14","2016","Pneumococcal Disease Invasive","1","1.1"
"5 to 14","2015","Mumps","1","1.1"
"15-24","2015","Acute Flaccid Paralysis","0","0"
"All","2016","West Nile Virus","0","0"
"60+","2016","Campylobacteriosis","34","13.4"
"15-24","2016","Malaria","0","0"
"15-24","2016","Mumps","1","0.9"
"0-4","2015","Chlamydia","2","4.6"
"60+","2015","Campylobacteriosis","33","13.4"
"40-59","2016","Group B Streptococcal Disease of the Newborn","0","0"
"0-4","2015","Meningitis - Bacterial","0","0"
"15-24","2015","Meningitis - Bacterial","0","0"
"60+","2015","Rubella","0","0"
"All","2015","Meningococcal Disease Invasive","7","0.7"
"0-4","2015","Hepatitis B - Chronic","0","0"
"5 to 14","2015","Pertussis","36","40.3"
"25-39","2016","West Nile Virus","0","0"
"25-39","2015","Botulism","0","0"
"25-39","2015","Rubella","0","0"
"5 to 14","2015","Hepatitis C","0","0"
"60+","2016","Chlamydia","4","1.6"
"5 to 14","2015","Listeriosis - Invasive","0","0"
"60+","2015","Legionellosis","5","2"
"40-59","2016","Syphilis - Infectious","4","1.5"
"0-4","2016","West Nile Virus","0","0"
"5 to 14","2016","Group B Streptococcal Disease of the Newborn","0","0"
"15-24","2015","Legionellosis","0","0"
"40-59","2016","Hepatitis B - Chronic","1","0.4"
"15-24","2016","Legionellosis","0","0"
"15-24","2015","Pertussis","16","13.9"
"0-4","2015","Rubella","0","0"
"60+","2015","Giardiasis","20","8.1"
"25-39","2015","Verotoxigenic E.coli","2","1.2"
"60+","2015","Hepatitis B - Acute","2","0.8"
"All","2016","Verotoxigenic E.coli","5","0.5"
"15-24","2016","Hepatitis B - Acute","1","0.9"
"All","2015","Listeriosis - Invasive","8","0.8"
"25-39","2016","Syphilis - Non-Infectious or Stage Pending","5","2.9"
"15-24","2016","Haemophilus influenzae Type b Invasive Disease","0","0"
"25-39","2016","Rubella","0","0"
"All","2015","Mumps","6","0.6"
"60+","2016","Cyclosporiasis","0","0"
"25-39","2016","Hepatitis B - Chronic","9","5.2"
"15-24","2016","Group A Streptococcal Disease Invasive -> Severe","0","0"
"25-39","2016","Hepatitis A","2","1.1"
"25-39","2016","Pneumococcal Disease Invasive","6","3.4"
"15-24","2016","Pneumococcal Disease Invasive","3","2.6"
"All","2016","Giardiasis","100","10.5"
"60+","2015","Mumps","0","0"
"25-39","2015","Tuberculosis","3","1.7"
"All","2016","Rubella","0","0"
"25-39","2016","Lyme Disease - Probable","18","10.3"
"5 to 14","2016","Group A Streptococcal Disease Invasive -> non-Severe","1","1.1"
"40-59","2015","Pneumococcal Disease Invasive","15","5.4"
"0-4","2016","Verotoxigenic E.coli","2","4.6"
"60+","2016","Meningococcal Disease Invasive","1","0.4"
"60+","2015","Clostridium difficile","503","204.3"
"0-4","2016","Human Immunodeficiency Virus","0","0"
"40-59","2016","Tetanus","0","0"
"40-59","2016","Salmonellosis","44","16.1"
"40-59","2016","Group A Streptococcal Disease Invasive -> Severe","1","0.4"
"40-59","2015","Shigellosis","3","1.1"
"5 to 14","2016","West Nile Virus","0","0"
"40-59","2015","Group A Streptococcal Disease Invasive -> Severe","5","1.8"
"All","2015","Cyclosporiasis","3","0.3"
"25-39","2016","Lyme Disease - Confirmed","19","10.9"
"40-59","2016","Haemophilus influenzae Type b Invasive Disease","0","0"
"All","2016","Gonorrhea","202","21.3"
"All","2015","Shellfish Poisoning","0","0"
"15-24","2016","Verotoxigenic E.coli","1","0.9"
"25-39","2016","Mumps","0","0"
"5 to 14","2016","Malaria","0","0"
"All","2016","Acute Flaccid Paralysis","0","0"
"40-59","2016","Hepatitis B - Acute","4","1.5"
"0-4","2016","Tuberculosis","0","0"
"25-39","2016","Influenza","20","11.5"
"60+","2015","Cyclosporiasis","1","0.4"
"All","2016","Cryptosporidiosis","27","2.8"
"40-59","2015","Rubella","0","0"
"25-39","2015","Hepatitis B - Acute","2","1.2"
"60+","2015","Haemophilus influenzae Type b Invasive Disease","0","0"
"0-4","2016","Clostridium difficile","12","27.3"
"40-59","2015","Hepatitis A","0","0"
"0-4","2015","Creutzfeldt-Jakob Disease - Classic","0","0"
"0-4","2015","Acute Flaccid Paralysis","0","0"
"5 to 14","2015","Tuberculosis","0","0"
"25-39","2015","Mumps","1","0.6"
"15-24","2016","Syphilis - Non-Infectious or Stage Pending","2","1.8"
"5 to 14","2015","Meningitis - Bacterial","0","0"
"60+","2015","Cryptosporidiosis","1","0.4"
"60+","2016","Cryptosporidiosis","3","1.2"
"25-39","2015","Creutzfeldt-Jakob Disease - Classic","0","0"
"0-4","2016","Meningitis - Bacterial","0","0"
"25-39","2016","Hepatitis B - Acute","3","1.7"
"40-59","2015","Acquired Immune Deficiency Syndrome","1","1.1"
"60+","2015","West Nile Virus","0","0"
"0-4","2015","Influenza","26","60.3"
"40-59","2015","Group B Streptococcal Disease of the Newborn","0","0"
"15-24","2015","Shellfish Poisoning","0","0"
"0-4","2016","Cyclosporiasis","0","0"
"0-4","2015","Legionellosis","0","0"
"5 to 14","2015","Hepatitis B - Acute","0","0"
"40-59","2015","Pertussis","14","5"
"40-59","2015","Gonorrhea","20","7.2"
"All","2016","Chlamydia","2931","308.7"
"15-24","2015","Acquired Immune Deficiency Syndrome","0","0"
"60+","2016","Mumps","0","0"
"5 to 14","2016","Lyme Disease - Confirmed","24","26.7"
"25-39","2015","Shigellosis","1","0.6"
"40-59","2016","Meningitis - Bacterial","0","0"
"15-24","2015","Mumps","4","3.5"
"25-39","2015","Group A Streptococcal Disease Invasive -> non-Severe","4","2.3"
"40-59","2015","Malaria","1","0.4"
"25-39","2016","Syphilis - Infectious","10","5.7"
"60+","2016","West Nile Virus","0","0"
"25-39","2016","Tuberculosis","1","0.6"
"All","2015","Legionellosis","7","0.7"
"All","2015","Malaria","4","0.4"
"15-24","2016","Lyme Disease - Confirmed","8","7.1"
"0-4","2016","Mumps","0","0"
"All","2016","Syphilis - Non-Infectious or Stage Pending","17","1.8"
"40-59","2015","Creutzfeldt-Jakob Disease - Classic","0","0"
"25-39","2015","Syphilis - Infectious","16","9.3"
"25-39","2015","Hepatitis A","1","0.6"
"25-39","2016","Pertussis","9","5.2"
"40-59","2016","Acquired Immune Deficiency Syndrome","1","0.4"
"60+","2016","Lyme Disease - Confirmed","62","24.4"
"15-24","2016","Group A Streptococcal Disease Invasive -> non-Severe","0","0"
"25-39","2016","Vancomycin Resistant Enterococcus","0","0"
"5 to 14","2016","Haemophilus influenzae Type b Invasive Disease","0","0"
"5 to 14","2016","Lyme Disease - Probable","15","16.7"
"All","2016","Human Immunodeficiency Virus","16","1.7"
"5 to 14","2016","Verotoxigenic E.coli","2","2.2"
"5 to 14","2015","Human Immunodeficiency Virus","0","0"
"15-24","2015","Giardiasis","9","7.8"
"15-24","2015","Shigellosis","0","0"
"5 to 14","2015","Haemophilus influenzae Type b Invasive Disease","0","0"
"40-59","2016","Lyme Disease - Probable","43","15.7"
"15-24","2016","Lyme Disease - Probable","12","10.6"
"40-59","2015","Tetanus","0","0"
"0-4","2015","Hepatitis A","0","0"
"0-4","2016","Syphilis - Non-Infectious or Stage Pending","0","0"
"All","2015","Verotoxigenic E.coli","5","0.5"
"40-59","2015","Listeriosis - Invasive","2","0.7"
"60+","2015","Group A Streptococcal Disease Invasive -> Severe","2","0.8"
"40-59","2015","Legionellosis","2","0.7"
"15-24","2015","Hepatitis B - Acute","1","0.9"
"15-24","2015","Syphilis - Infectious","18","15.7"
"0-4","2015","Giardiasis","3","7"
"60+","2016","Group A Streptococcal Disease Invasive -> non-Severe","4","1.6"
"15-24","2016","Clostridium difficile","35","30.9"
"5 to 14","2015","Influenza","25","28"
"0-4","2015","Listeriosis - Invasive","0","0"
"5 to 14","2016","Tetanus","0","0"
"5 to 14","2015","Hepatitis A","0","0"
"40-59","2015","Mumps","0","0"
"5 to 14","2015","Group B Streptococcal Disease of the Newborn","0","0"
"60+","2016","Meningitis - Bacterial","0","0"
"0-4","2015","Salmonellosis","8","18.6"
"All","2016","Pertussis","63","6.6"
"0-4","2015","Hepatitis C","0","0"
"40-59","2016","Gonorrhea","21","7.7"
