"parkname","state","country","adult","child","partysize","ratetype","bookingtype","equipment","bookingstartdate","bookingenddate","night","permits"
"Thomas Raddall","NS ","CANADA ","1","5","6","Full","CampsitePermit","Tents","2016-08-31T00:00:00.000","2016-09-02T00:00:00.000","2","1"
"Graves Island","NB ","CANADA ","1",,"1","Full","CampsitePermit","Single Tent","2016-09-17T00:00:00.000","2016-09-18T00:00:00.000","1","1"
"Rissers Beach","BC ","CANADA ","2",,"2","Senior","CampsitePermit","Less than 20ft","2016-07-18T00:00:00.000","2016-07-19T00:00:00.000","1","1"
"Graves Island","NS ","CANADA ","2","3","5","Full","CampsitePermit","Less than 30ft","2016-09-09T00:00:00.000","2016-09-11T00:00:00.000","2","1"
"Thomas Raddall","SWITZERLAND ","OTHER","2",,"2","Full","CampsitePermit","Less than 20ft","2016-07-05T00:00:00.000","2016-07-06T00:00:00.000","1","1"
"Caribou Munroes","NB ","CANADA ","4",,"4","Full","CampsitePermit","Single Tent","2016-08-09T00:00:00.000","2016-08-11T00:00:00.000","2","1"
"Battery","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-06-30T00:00:00.000","2016-07-01T00:00:00.000","1","1"
"Graves Island","NS ","CANADA ","2","2","4","Full","CampsitePermit","Less than 20ft","2016-09-23T00:00:00.000","2016-09-25T00:00:00.000","2","1"
"Mira River","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-08-19T00:00:00.000","2016-08-21T00:00:00.000","2","1"
"Mira River","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-07-17T00:00:00.000","2016-07-21T00:00:00.000","4","1"
"Battery","AB ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-08-01T00:00:00.000","2016-08-06T00:00:00.000","5","1"
"Amherst Shore","BC ","CANADA ","1",,"1","Full","CampsitePermit","Single Tent","2016-08-24T00:00:00.000","2016-08-25T00:00:00.000","1","1"
"Cape Chignecto","MA ","USA ","4",,"4","Full","BackcountryPermit","Single Tent","2016-07-02T00:00:00.000","2016-07-04T00:00:00.000","2","1"
"Whycocomagh","ISLE OF MAN ","OTHER","2",,"2","Full","CampsitePermit","Less than 30ft","2016-09-08T00:00:00.000","2016-09-09T00:00:00.000","1","1"
"Graves Island","NS ","CANADA ","1","2","3","Full","CampsitePermit","Single Tent","2016-09-16T00:00:00.000","2016-09-18T00:00:00.000","2","1"
"Battery","QC ","CANADA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-08-29T00:00:00.000","2016-08-30T00:00:00.000","1","1"
"Laurie","NS ","CANADA ","6",,"6","Full","CampsitePermit","Tents","2016-07-23T00:00:00.000","2016-07-24T00:00:00.000","1","1"
"Graves Island","NS ","CANADA ","1",,"1","Full","CampsitePermit","Single Tent","2016-08-17T00:00:00.000","2016-08-19T00:00:00.000","2","1"
"Dollar Lake","NS ","CANADA ","2","4","6","Full","CampsitePermit","Tents","2016-08-19T00:00:00.000","2016-08-21T00:00:00.000","2","1"
"Amherst Shore","MI ","USA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-09-26T00:00:00.000","2016-09-27T00:00:00.000","1","1"
"Graves Island","NS ","CANADA ","1","1","2","Full","CampsitePermit","Single Tent","2016-08-18T00:00:00.000","2016-08-19T00:00:00.000","1","1"
"The Islands","BC ","CANADA ","2",,"2","Senior","CampsitePermit","Less than 20ft","2016-08-07T00:00:00.000","2016-08-08T00:00:00.000","1","1"
"Five Islands","NB ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-06-24T00:00:00.000","2016-06-25T00:00:00.000","1","1"
"Five Islands","NB ","CANADA ","6",,"6","Full","CampsitePermit","Tents","2016-07-30T00:00:00.000","2016-08-01T00:00:00.000","2","1"
"Salsman","NS ","CANADA ","2","1","3","Full","CampsitePermit","Single Tent","2016-08-07T00:00:00.000","2016-08-08T00:00:00.000","1","1"
"Battery","QC ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-08-31T00:00:00.000","2016-09-01T00:00:00.000","1","1"
"Rissers Beach","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-08-07T00:00:00.000","2016-08-12T00:00:00.000","5","1"
"Battery","ON ","CANADA ","2","1","3","Full","CampsitePermit","Less than 30ft","2016-08-02T00:00:00.000","2016-08-03T00:00:00.000","1","1"
"Five Islands","NS ","CANADA ","2",,"2","Senior","CampsitePermit","Less than 20ft","2016-09-02T00:00:00.000","2016-09-03T00:00:00.000","1","1"
"Rissers Beach","NS ","CANADA ","4","2","6","Full","CampsitePermit","Tents","2016-07-29T00:00:00.000","2016-07-31T00:00:00.000","2","1"
"Mira River","NS ","CANADA ","2","2","4","Full","CampsitePermit","Less than 30ft","2016-09-09T00:00:00.000","2016-09-11T00:00:00.000","2","1"
"The Islands","NS ","CANADA ","2","2","4","Full","CampsitePermit","Single Tent","2016-08-01T00:00:00.000","2016-08-02T00:00:00.000","1","1"
"Five Islands","NS ","CANADA ","1",,"1","Full","CampsitePermit","Single Tent","2016-08-19T00:00:00.000","2016-08-20T00:00:00.000","1","1"
"Porters Lake","NS ","CANADA ","2",,"2","Senior","CampsitePermit","Less than 20ft","2016-08-02T00:00:00.000","2016-08-06T00:00:00.000","4","1"
"Thomas Raddall","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-08-09T00:00:00.000","2016-08-15T00:00:00.000","6","1"
"Caribou Munroes","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-10-08T00:00:00.000","2016-10-10T00:00:00.000","2","1"
"The Islands","NS ","CANADA ","4",,"4","Full","CampsitePermit","Less than 20ft","2016-07-28T00:00:00.000","2016-07-29T00:00:00.000","1","1"
"Graves Island","NS ","CANADA ","2","1","3","Full","CampsitePermit","Single Tent","2016-09-17T00:00:00.000","2016-09-18T00:00:00.000","1","1"
"Valleyview","NS ","CANADA ","2","1","3","Full","CampsitePermit","Single Tent","2016-08-05T00:00:00.000","2016-08-07T00:00:00.000","2","1"
"Graves Island","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-04T00:00:00.000","2016-07-08T00:00:00.000","4","1"
"Caribou Munroes","ME ","USA ","1",,"1","Full","CampsitePermit","Single Tent","2016-08-29T00:00:00.000","2016-08-30T00:00:00.000","1","1"
"Smileys","NS ","CANADA ","2",,"2","Veteran","CampsitePermit","Less than 30ft","2016-09-11T00:00:00.000","2016-09-12T00:00:00.000","1","1"
"Salsman","ON ","CANADA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-07-01T00:00:00.000","2016-07-02T00:00:00.000","1","1"
"Whycocomagh","ON ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-28T00:00:00.000","2016-07-29T00:00:00.000","1","1"
"Rissers Beach","QC ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-23T00:00:00.000","2016-07-25T00:00:00.000","2","1"
"Ellenwood Lake","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-06-30T00:00:00.000","2016-07-03T00:00:00.000","3","1"
"Mira River","NS ","CANADA ","2","1","3","Full","CampsitePermit","Less than 30ft","2016-08-02T00:00:00.000","2016-08-05T00:00:00.000","3","1"
"Thomas Raddall","NS ","CANADA ","4","2","6","Full","CampsitePermit","Tents","2016-08-03T00:00:00.000","2016-08-05T00:00:00.000","2","1"
"Rissers Beach","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-07-20T00:00:00.000","2016-07-22T00:00:00.000","2","1"
"Caribou Munroes","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-07-15T00:00:00.000","2016-07-17T00:00:00.000","2","1"
"Porters Lake","SD ","USA ","1",,"1","Full","CampsitePermit","Single Tent","2016-08-09T00:00:00.000","2016-08-10T00:00:00.000","1","1"
"Five Islands","NB ","CANADA ","4",,"4","Senior","CampsitePermit","Tents","2016-07-08T00:00:00.000","2016-07-10T00:00:00.000","2","1"
"Five Islands","AB ","CANADA ","2",,"2","Senior","CampsitePermit","Single Tent","2016-08-01T00:00:00.000","2016-08-03T00:00:00.000","2","1"
"Thomas Raddall","ON ","CANADA ","1",,"1","Full","CampsitePermit","Single Tent","2016-09-23T00:00:00.000","2016-09-24T00:00:00.000","1","1"
"Smileys","NS ","CANADA ","2","2","4","Full","CampsitePermit","Less than 30ft","2016-07-29T00:00:00.000","2016-08-01T00:00:00.000","3","1"
"Mira River","QC ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-22T00:00:00.000","2016-07-24T00:00:00.000","2","1"
"Salsman","NS ","CANADA ","2",,"2","Senior","CampsitePermit","Less than 30ft","2016-07-17T00:00:00.000","2016-07-20T00:00:00.000","3","1"
"Rissers Beach","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-08-26T00:00:00.000","2016-08-28T00:00:00.000","2","1"
"Amherst Shore","NJ ","USA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-09-02T00:00:00.000","2016-09-03T00:00:00.000","1","1"
"Caribou Munroes","NS ","CANADA ","2","3","5","Full","CampsitePermit","Less than 40ft","2016-09-16T00:00:00.000","2016-09-18T00:00:00.000","2","1"
"Mira River","NS ","CANADA ","2","2","4","Full","CampsitePermit","Less than 30ft","2016-06-17T00:00:00.000","2016-06-20T00:00:00.000","3","1"
"Blomidon","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-07-10T00:00:00.000","2016-07-17T00:00:00.000","7","1"
"Laurie","NS ","CANADA ","4",,"4","Full","CampsitePermit","Tents","2016-07-02T00:00:00.000","2016-07-03T00:00:00.000","1","1"
"Amherst Shore","ON ","CANADA ","1",,"1","Full","CampsitePermit","Single Tent","2016-07-13T00:00:00.000","2016-07-14T00:00:00.000","1","1"
"Thomas Raddall","NS ","CANADA ","2",,"2","Senior","CampsitePermit","Less than 30ft","2016-08-04T00:00:00.000","2016-08-07T00:00:00.000","3","1"
"Laurie","NB ","CANADA ","4",,"4","Full","CampsitePermit","Less than 20ft","2016-06-17T00:00:00.000","2016-06-19T00:00:00.000","2","1"
"Rissers Beach","NS ","CANADA ","2","2","4","Full","CampsitePermit","Less than 40ft","2016-07-22T00:00:00.000","2016-07-24T00:00:00.000","2","1"
"Porters Lake","NS ","CANADA ","2",,"2","Veteran","CampsitePermit","Less than 30ft","2016-07-21T00:00:00.000","2016-07-22T00:00:00.000","1","1"
"Mira River","ON ","CANADA ","4",,"4","Full","CampsitePermit","Less than 40ft","2016-07-04T00:00:00.000","2016-07-05T00:00:00.000","1","1"
"Porters Lake","QC ","CANADA ","5",,"5","Full","CampsitePermit","Single Tent","2016-08-02T00:00:00.000","2016-08-03T00:00:00.000","1","1"
"Five Islands","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-08-09T00:00:00.000","2016-08-10T00:00:00.000","1","1"
"Blomidon","ON ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-08-24T00:00:00.000","2016-08-26T00:00:00.000","2","1"
"Graves Island","NS ","CANADA ","2","2","4","Full","CampsitePermit","Less than 30ft","2016-09-02T00:00:00.000","2016-09-05T00:00:00.000","3","1"
"Valleyview","NS ","CANADA ","2",,"2","Senior","CampsitePermit","Single Tent","2016-07-13T00:00:00.000","2016-07-14T00:00:00.000","1","1"
"Smileys","NS ","CANADA ","2",,"2","Senior","CampsitePermit","Less than 30ft","2016-08-12T00:00:00.000","2016-08-15T00:00:00.000","3","1"
"Smileys","NS ","CANADA ","2","2","4","Full","CampsitePermit","Less than 20ft","2016-08-18T00:00:00.000","2016-08-21T00:00:00.000","3","1"
"Smileys","NB ","CANADA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-08-07T00:00:00.000","2016-08-08T00:00:00.000","1","1"
"Rissers Beach","NS ","CANADA ","4",,"4","Full","CampsitePermit","Less than 20ft","2016-08-28T00:00:00.000","2016-08-29T00:00:00.000","1","1"
"Graves Island","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-29T00:00:00.000","2016-07-31T00:00:00.000","2","1"
"Graves Island","ON ","CANADA ","2",,"2","Senior","CampsitePermit","Less than 20ft","2016-07-20T00:00:00.000","2016-07-21T00:00:00.000","1","1"
"Graves Island","NS ","CANADA ","2",,"2","Senior","CampsitePermit","Less than 30ft","2016-10-07T00:00:00.000","2016-10-10T00:00:00.000","3","1"
"Ellenwood Lake","NS ","CANADA ","2","2","4","Full","CampsitePermit","Single Tent","2016-07-26T00:00:00.000","2016-07-29T00:00:00.000","3","1"
"Whycocomagh","QC ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-07-28T00:00:00.000","2016-07-29T00:00:00.000","1","1"
"Five Islands","NS ","CANADA ","2","1","3","Full","CampsitePermit","Tents","2016-08-05T00:00:00.000","2016-08-07T00:00:00.000","2","1"
"Rissers Beach","NS ","CANADA ","2",,"2","Full","CampsitePermit","Tents","2016-05-20T00:00:00.000","2016-05-23T00:00:00.000","3","1"
"Graves Island","NS ","CANADA ","2",,"2","Senior","CampsitePermit","Single Tent","2016-08-08T00:00:00.000","2016-08-10T00:00:00.000","2","1"
"Mira River","NS ","CANADA ","1","2","3","Full","CampsitePermit","Single Tent","2016-07-21T00:00:00.000","2016-07-24T00:00:00.000","3","1"
"Blomidon","NS ","CANADA ","1","1","2","Full","CampsitePermit","Single Tent","2016-06-10T00:00:00.000","2016-06-12T00:00:00.000","2","1"
"Caribou Munroes","ON ","CANADA ","3",,"3","Full","CampsitePermit","Less than 30ft","2016-07-31T00:00:00.000","2016-08-01T00:00:00.000","1","1"
"The Islands","FL ","USA ","2",,"2","Senior","CampsitePermit","Less than 20ft","2016-08-02T00:00:00.000","2016-08-03T00:00:00.000","1","1"
"Rissers Beach","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-06-24T00:00:00.000","2016-06-26T00:00:00.000","2","1"
"Graves Island","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 40ft","2016-09-23T00:00:00.000","2016-09-25T00:00:00.000","2","1"
"Battery","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-09-22T00:00:00.000","2016-09-23T00:00:00.000","1","1"
"Graves Island","QC ","CANADA ","2",,"2","FULL","CampsitePermit","Less than 30ft","2016-07-24T00:00:00.000","2016-07-28T00:00:00.000","4","1"
"Graves Island","ON ","CANADA ","2","2","4","Full","CampsitePermit","Less than 30ft","2016-08-02T00:00:00.000","2016-08-04T00:00:00.000","2","1"
"Caribou Munroes","QC ","CANADA ","1",,"1","Senior","CampsitePermit","Less than 20ft","2016-09-09T00:00:00.000","2016-09-10T00:00:00.000","1","1"
"Dollar Lake","FL ","USA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-08-20T00:00:00.000","2016-08-22T00:00:00.000","2","1"
"Caribou Munroes","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-08-07T00:00:00.000","2016-08-10T00:00:00.000","3","1"
"Mira River","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-09-09T00:00:00.000","2016-09-11T00:00:00.000","2","1"
"Graves Island","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-08-24T00:00:00.000","2016-08-25T00:00:00.000","1","1"
"Caribou Munroes","NS ","CANADA ","3","3","6","Veteran","CampsitePermit","Less than 30ft","2016-08-07T00:00:00.000","2016-08-09T00:00:00.000","2","1"
"Blomidon","NS ","CANADA ","2",,"2","Full","CampsitePermit","Tents","2016-06-17T00:00:00.000","2016-06-19T00:00:00.000","2","1"
"Whycocomagh","PE ","CANADA ","1",,"1","Full","CampsitePermit","Single Tent","2016-09-09T00:00:00.000","2016-09-10T00:00:00.000","1","1"
"Five Islands","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-04T00:00:00.000","2016-07-05T00:00:00.000","1","1"
"Battery","NS ","CANADA ","2","1","3","Full","CampsitePermit","Single Tent","2016-09-12T00:00:00.000","2016-09-13T00:00:00.000","1","1"
"Laurie","NS ","CANADA ","1","2","3","Full","CampsitePermit","Single Tent","2016-06-25T00:00:00.000","2016-06-26T00:00:00.000","1","1"
"Caribou Munroes","NS ","CANADA ","4",,"4","Full","CampsitePermit","Less than 20ft","2016-08-18T00:00:00.000","2016-08-22T00:00:00.000","4","1"
"Graves Island","NS ","CANADA ","4",,"4","Full","CampsitePermit","Single Tent","2016-07-17T00:00:00.000","2016-07-20T00:00:00.000","3","1"
"Rissers Beach","MD ","USA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-17T00:00:00.000","2016-07-20T00:00:00.000","3","1"
"Mira River","ON ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-22T00:00:00.000","2016-07-23T00:00:00.000","1","1"
"Blomidon","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-08-19T00:00:00.000","2016-08-21T00:00:00.000","2","1"
"Mira River","NB ","CANADA ","2",,"2","Full","CampsitePermit","Less than 20ft","2016-08-08T00:00:00.000","2016-08-10T00:00:00.000","2","1"
"Cape Chignecto","NS ","CANADA ","1",,"1","Full","BackcountryPermit","Single Tent","2016-09-02T00:00:00.000","2016-09-04T00:00:00.000","2","1"
"Thomas Raddall","GERMANY ","OTHER","2",,"2","Full","CampsitePermit","Single Tent","2016-07-25T00:00:00.000","2016-07-30T00:00:00.000","5","1"
"Mira River","NS ","CANADA ","2","2","4","Full","CampsitePermit","Less than 40ft","2016-09-02T00:00:00.000","2016-09-05T00:00:00.000","3","1"
"Caribou Munroes","QC ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-08-28T00:00:00.000","2016-08-29T00:00:00.000","1","1"
"Rissers Beach","NS ","CANADA ","4",,"4","Full","CampsitePermit","Less than 20ft","2016-08-03T00:00:00.000","2016-08-05T00:00:00.000","2","1"
"Five Islands","NB ","CANADA ","4",,"4","Full","CampsitePermit","Less than 20ft","2016-07-14T00:00:00.000","2016-07-17T00:00:00.000","3","1"
"Battery","GERMANY ","OTHER","2","3","5","Full","CampsitePermit","Less than 30ft","2016-08-21T00:00:00.000","2016-08-22T00:00:00.000","1","1"
"Ellenwood Lake","NS ","CANADA ","2",,"2","Full","CampsitePermit","Tents","2016-07-03T00:00:00.000","2016-07-04T00:00:00.000","1","1"
"Caribou Munroes","QC ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-08-26T00:00:00.000","2016-08-27T00:00:00.000","1","1"
"Caribou Munroes","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-10-07T00:00:00.000","2016-10-10T00:00:00.000","3","1"
"Mira River","QC ","CANADA ","2","2","4","Full","CampsitePermit","Less than 30ft","2016-07-29T00:00:00.000","2016-07-31T00:00:00.000","2","1"
"Dollar Lake","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-09-16T00:00:00.000","2016-09-18T00:00:00.000","2","1"
"Graves Island","NS ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-06-24T00:00:00.000","2016-06-26T00:00:00.000","2","1"
"Mira River","NS ","CANADA ","2","2","4","Full","CampsitePermit","Tents","2016-07-28T00:00:00.000","2016-08-01T00:00:00.000","4","1"
"Caribou Munroes","NS ","CANADA ","2","1","3","Full","CampsitePermit","Less than 20ft","2016-09-16T00:00:00.000","2016-09-19T00:00:00.000","3","1"
"Rissers Beach","PE ","CANADA ","2",,"2","Full","CampsitePermit","Less than 30ft","2016-07-25T00:00:00.000","2016-07-26T00:00:00.000","1","1"
"Blomidon","QC ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-08-21T00:00:00.000","2016-08-22T00:00:00.000","1","1"
"Rissers Beach","NS ","CANADA ","2",,"2","Full","CampsitePermit","Single Tent","2016-07-17T00:00:00.000","2016-07-18T00:00:00.000","1","1"
