"facility_identifier","facility_name","facility_type","county","phone","email","annual_inspection","annual_unannounced_inspection","probationary_expiry_date","age_range","prog_full_day","prog_part_day","prog_school_age","family_home","age_infant","age_toddler","age_preschool","age_school_age","address","city","postal","total_licence_capacity","location1"
"3725593","Barrington Street Children's Centre","Day Care Facility","Halifax County","902-405-2722","Barringtonstreetcc@eastlink.ca","December 29, 2021","September 16, 2021",,"6 months - 5 years","Yes","No","No","No","Yes","Yes","Yes","No","1233 BARRINGTON ST.","HALIFAX","B3J 1Y2","68","POINT (-63.5707 44.640612)"
"3726465","Mount Pleasant School Age Program","Day Care Facility","Colchester County","902-895-6521","mountpleasant1977.pat@gmail.com","January 14, 2022","October 6, 2021",,"4 years - 12 years","No","No","Yes","No","No","No","No","Yes","169 GLENWOOD DR.","TRURO","B2N 1P5","30","POINT (-63.283763 45.352021)"
"3737663","Step Above Childcare Centre","Day Care Facility","Halifax County","902-495-3831/ (902) 412-6263","m.yassin@stepabovechildcare.ca","February 16, 2022","August 27, 2021",,"3 months - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","650 WASHMILL LAKE DR.","HALIFAX","B3S 0H8","81","POINT (-63.652079 44.649754)"
"3743919","Lantz Pre-School","Day Care Facility","Hants County","902-883-2486","lantzpreschool@gmail.com","February 25, 2022","November 30, 2021",,"3 years - 5 years","No","Yes","No","No","No","No","Yes","No","14 CHURCH ST.","LANTZ","B2S 1P3","20","POINT (-63.482353 44.985405)"
"3743945","Kids & Company, Bedford","Day Care Facility","Halifax County","902-832-7902","bedford@kidsandcompany.com","March 9, 2022","October 13, 2020",,"3 months - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","65 DELLRIDGE LANE UNIT","BEDFORD","B4A 0H2","179","POINT (-63.688903 44.701042)"
"3818582","Willowbrae Childcare Academy (Site 2)","Day Care Facility","Halifax County","902-442-9244","4001admin@willowbraechildcare.com","June 15, 2021","April 21, 2021",,"4 months - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","94 GARLAND AVE.","DARTMOUTH","B3B 0A7","132","POINT (-63.581664 44.705923)"
"3878771","Waverley Road Children's Center","Day Care Facility","Halifax County","902-462-5838",,"July 8, 2021","February 23, 2022",,"4 months - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","194 WAVERLEY RD.","DARTMOUTH","B2X 2C1","75","POINT (-63.544796 44.692799)"
"3882074","Chebucto Family Centre Home Daycare Agency","Family Home Day Care Agency","Halifax County","902-479-3031 ext: 310, 303","jane@hgahfx.ca","August 25, 2021","March 5, 2021",,,"No","No","No","Yes","No","No","No","No","3 SYLVIA AVE.","HALIFAX","B3R 1J7",,"POINT (-63.611307 44.603606)"
"3882317","Down by the Bay Early Childhood Program","Day Care Facility","Shelburne County","902-745-3710 - school, 902-320-1245 - cell in classroom","csiafterschool@hotmail.com","October 27, 2021","June 16, 2021",,"Pre-primary - 12 years","No","No","Yes","No","No","No","No","Yes","29 SCHOOL ST.","CLARK'S HARBOUR","B0W 1P0","30","POINT (-65.636207 43.448548)"
"3883127","Home Away From Home Child Care Program- ERMES Location","Day Care Facility","Shelburne County","902-745-3663 - FHDC office, 902-637-7266 - Krista cell","ermesafterschool@eastlink.ca","October 21, 2021","April 23, 2021",,"Pre-Primary to 12 Years","Yes","No","Yes","No","No","No","No","Yes","5961 HIGHWAY 3 HWY.","SHAG HARBOUR","B0W 3B0","20","POINT (-65.727309 43.496757)"
"3883131","Busy Bee Day Care (Porters Lake)","Day Care Facility","Halifax County","902-827-3456","email@busybeedaycare.com","September 28, 2021","August 7, 2020",,"4 months - 12 years","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","95 WEST PORTERS LAKE RD.","PORTERS LAKE","B3E 1K2","48","POINT (-63.308992 44.733737)"
"3885120","Giant Steps St. Nicholas","Day Care Facility","Halifax County","902-820-3236","giantstepsns@gmail.com","August 25, 2021","February 12, 2021",,"4 years - 12 years","No","No","Yes","No","No","No","No","Yes","29 WESTWOOD BLVD.","UPPER TANTALLON","B3Z 1H4","60","POINT (-63.859853 44.706815)"
"3886763","East Hants Childcare Centre","Day Care Facility","Hants County","902-259-3313","ffleasthants2021@gmail.com","August 25, 2021","April 27, 2021",,"18 months - 12 years","Yes","Yes","Yes","No","No","Yes","Yes","Yes","248 HIGHWAY 2 HWY.","ENFIELD","B2T 1C9","99","POINT (-63.535876 44.942027)"
"3941417","Kingston Before and After School Program","Day Care Facility","Kings County","902-765-8797","ab.patey@ns.sympatico.ca","October 21, 2021","June 21, 2021",,"4 years - 12 years","No","No","Yes","No","No","No","No","Yes","630 PINE RIDGE AVE.","KINGSTON","B0P 1R0","25","POINT (-64.943106 44.993256)"
"3950206","East Hants Family Home Day Care Agency","Family Home Day Care Agency","Hants County","902-259-3313","ehcc2013@gmail.com","November 25, 2020","September 11, 2020",,,"No","No","No","Yes","No","No","No","No","73 RENFREW RD.","ENFIELD",,,"POINT (-63.546632 44.962195)"
"3958837","Kids and Company, Larry Uteck","Day Care Facility","Halifax County","902-832-7852","larryuteck@kidsandcompany.com","December 21, 2021","August 7, 2020",,"3 months - 5 years","Yes","No","No","No","Yes","Yes","Yes","No","540 SOUTHGATE DR. UNIT 103","BEDFORD","B4A 0C9","76","POINT (-63.67804 44.701469)"
"3958896","Kids and Company, Hammonds Plains, School Age","Day Care Facility","Halifax County","902-405-5437","hammondsplains@kidsandcompany.com","January 5, 2022","July 28, 2021",,"3 months - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","1378 HAMMONDS PLAINS RD.","HAMMONDS PLAINS","B4B 1P6","46","POINT (-63.746325 44.72763)"
"3958915","Kids and Company, Hammonds Plains","Day Care Facility","Halifax County","902-405-5437","hammondsplains@kidsandcompany.com","February 14, 2022","July 28, 2021",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","1376 HAMMONDS PLAINS RD.","HAMMONDS PLAINS","B4B 1P6","108","POINT (-63.746206 44.727592)"
"3958960","Centre de la Petite Enfance de la Rive-Sud","Day Care Facility","Lunenburg County","902-527-2741
cell 902-298-5251","cperivesud@gmail.com","December 7, 2021","June 18, 2021",,"18 months - 12 years","Yes","Yes","Yes","No","No","Yes","Yes","Yes","20 PETITE EVANGELINE CRT. A","COOKVILLE","B4V 7P8","42","POINT (-64.541362 44.404344)"
"3981227","Friends for Life Beaverbank Inc.","Day Care Facility","Halifax County","902-865-7003","fflbeaverbank@gmail.com","March 2, 2022","September 28, 2020",,"3 months - 5 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","289 BEAVER BANK RD.","BEAVER BANK","B4E 1K1","60","POINT (-63.68899 44.797775)"
"3984313","Tiny Angels Early Education","Day Care Facility","Halifax County","782-414-6506/ 902 835-2333","bliu_blin@yahoo.com","March 16, 2021","September 21, 2021",,"18 months-5 years","Yes","Yes","No","No","No","Yes","Yes","No","114 OCEANVIEW DR.","BEDFORD","B4A 4C5","14","POINT (-63.682937 44.707292)"
"3984632","Bright Side Early Learning Centre","Day Care Facility","Halifax County","902-407-7267","brightside.elc@outlook.com","January 20, 2022","November 1, 2021",,"18 months - 5 years","Yes","No","No","No","No","Yes","Yes","No","479 ARKLOW DR.","COLE HARBOUR","B2W 4S1","34","POINT (-63.483307 44.677984)"
"3986849","Elmwood Child Care Centre (Infants) Ltd","Day Care Facility","Hants County","902-883-1214","elmwoodcc@eastlink.ca","March 1, 2022","November 22, 2021",,"3 months - 2 years","Yes","No","No","No","Yes","Yes","No","No","753 HIGHWAY 2 HWY.","ELMSDALE","B2S 1A8","16","POINT (-63.505576 44.966831)"
"3986898","Elmwood Child Care Centre (Elmsdale Location)","Day Care Facility","Hants County","902-883-1066","elmwoodcc@eastlink.ca","February 25, 2021","November 30, 2021",,"18 months - 8 years","Yes","No","Yes","No","No","Yes","Yes","Yes","583 HIGHWAY 2 HWY. 1","ELMSDALE","B2S 1A4","28","POINT (-63.517724 44.959189)"
"3986916","Elmwood Child Care Centre (Lantz) Ltd","Day Care Facility","Hants County","902-883-1066","elmwoodcc@eastlink.ca","February 11, 2021","December 9, 2020",,"18 months - 12 years","Yes","Yes","Yes","No","No","Yes","Yes","Yes","1208 HIGHWAY 2 HWY.","LANTZ","B2S 1T5","64","POINT (-63.475856 44.988175)"
"3990284","Jubilee Road Children's Centre","Day Care Facility","Halifax County","902-429-6406","info@jubileeroadchildrenscentre.ca","February 15, 2022","October 18, 2021",,"18 months - 5 years","Yes","No","No","No","No","Yes","Yes","No","6117 JUBILEE RD.","HALIFAX","B3H 2E8","28","POINT (-63.591701 44.642677)"
"3990295","Peter Pan Day Care Centre","Day Care Facility","Cape Breton County","902-564-9281","peterpandaycare@ns.aliantzinc.ca","February 3, 2021","September 24, 2020",,"3 months - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","77 JAMES ST.","SYDNEY","B1N 2S3","59","POINT (-60.189437 46.162872)"
"4013004","Smiles and Chuckles Children's Centre","Day Care Facility","Colchester County","902-639-2305","smilesandchuckleschildrens@gmail.com","August 18, 2021","February 11, 2022",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","54 MAIN ST. E","STEWIACKE","B0N 2J0","28","POINT (-63.350697 45.138696)"
"4025155","Tree House Early Learning Center","Day Care Facility","Cape Breton County","902-539-5700","treehouseearlylearning@outlook.com","June 22, 2021","January 24, 2022",,"18 months - 5 years","Yes","No","No","No","No","Yes","Yes","No","864 GEORGE ST.","SYDNEY","B1P 1L9","26","POINT (-60.186529 46.12954)"
"4025164","North Preston Day Care Centre","Day Care Facility","Halifax County","902-435-5008","npdaycare@eastlink.ca","June 15, 2021","December 16, 2021",,"5 months - 10 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","52 CAIN ST.","NORTH PRESTON","B2Z 1A2","62","POINT (-63.466844 44.744599)"
"4049205","Societe de la Garderie Le Petit Voilier","Day Care Facility","Halifax County","902-832-2747","jane.williamson@petitvoilier.ca","August 16, 2021","February 4, 2022",,"18 months- 12 years","Yes","Yes","Yes","No","No","No","Yes","Yes","1326 BEDFORD HWY.","BEDFORD","B4A 1C9","96","POINT (-63.665799 44.727019)"
"4049469","A Tiny Lab for Early Learning, Ltd.","Day Care Facility","Halifax County","902-429-2539, 902-220-4545","jillian@atinylab.ca","August 25, 2021","March 4, 2022",,"18 months - 5 years","Yes","No","No","No","No","Yes","Yes","No","2236 MAITLAND ST.","HALIFAX","B3K 2Z9","84","POINT (-63.583784 44.653238)"
"4056485","Bayers Westwood Day Care Centre","Day Care Facility","Halifax County","902-454-6833","clamb@ns.aliantzinc.ca","July 26, 2021","January 13, 2022",,"18 months - 8 years","Yes","No","No","No","No","Yes","Yes","Yes","6724 CHISHOLM AVE.","HALIFAX","B3L 2R9","21","POINT (-63.621822 44.658008)"
"4056843","Whitney Pier Day Care Centre","Day Care Facility","Cape Breton County","902-564-6344","wpdaycare@ns.aliantzinc.ca","July 8, 2021","January 28, 2022",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","253 HENRY ST.","SYDNEY","B1N 2H7","69","POINT (-60.179279 46.155891)"
"4056898","YMCA Purdy's Wharf Child Care Centre","Day Care Facility","Halifax County","902-492-3622","tl.johannesson@halifax.ymca.ca","October 28, 2021","January 31, 2022",,"3 months - 6 years","Yes","No","No","No","Yes","Yes","Yes","No","1969 UPPER WATER  ST.","HALIFAX","B3J 3R7","62","POINT (-63.575819 44.651839)"
"4089121","Carmie's Pre-School & Day Care","Day Care Facility","Hants County","902-883-9898","carmieskids@gmail.com","October 1, 2021","March 7, 2022",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","402 HIGHWAY 214 HWY.","ELMSDALE","B2S 2L7","45","POINT (-63.511372 44.983984)"
"4089127","South End Community Day Care Centre","Day Care Facility","Halifax County","902-420-1618",,"July 27, 2021","February 1, 2021",,"3 months - 12 years","Yes","No","No","No","Yes","Yes","Yes","No","5594 MORRIS ST.","HALIFAX","B3J 1C2","81","POINT (-63.575637 44.640623)"
"4089370","Evangeline Child Care Centre","Day Care Facility","Kings County","902-678-9402","e.simpson@ns.sympatico.ca","July 8, 2021","March 4, 2021",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","85 RIVER ST.","KENTVILLE","B4N 1G8","40","POINT (-64.497815 45.079837)"
"4089436","Jane Norman College Family Home Child Care Agency","Family Home Day Care Agency","Colchester County","902-893-3342","kim.elliott@janenorman.ca","July 9, 2021","December 14, 2020",,,"No","No","No","Yes","No","No","No","No","60 LORNE ST.","TRURO","B2N 3K3",,"POINT (-63.279615 45.367908)"
"4089452","Mary Lee Pre-School","Day Care Facility","Cape Breton County","902-567-2040","maryleepreschoolstaff@gmail.com","July 27, 2021","January 24, 2022",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","1559 KINGS RD.","SYDNEY RIVER","B1S 1E8","52","POINT (-60.231786 46.101799)"
"4089462","Mount St. Vincent Child Study Centre","Day Care Facility","Halifax County","902-457-6287","Annette.comeau5@msvu.ca","July 15, 2021","February 1, 2022",,"18 months - 5 years","Yes","No","No","No","No","Yes","Yes","No","166 BEDFORD HWY.","HALIFAX","B3M 2J6","40","POINT (-63.644385 44.672888)"
"4089479","Through The Years Day Care and Community Centre","Day Care Facility","Lunenburg County","902-857-1777","throughtheyears-director@hotmail.com","July 12, 2021","February 24, 2021",,"5 months - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","20 PTE. RICHARD GREEN LANE","HUBBARDS","B0J 1T0","100","POINT (-64.07124 44.635411)"
"4089503","St. Joseph's Children's Centre (Damascus Road)","Day Care Facility","Halifax County","902-422-8441 ext: 196, ext: 194","damascus@stjcc.ca","October 21, 2021","February 7, 2022",,"3 months - 6 years","Yes","No","No","No","Yes","Yes","Yes","No","30 DAMASCUS RD.","BEDFORD","B4A 0C2","104","POINT (-63.640547 44.750007)"
"4090657","Kids and Company (Eastern Passage)","Day Care Facility","Halifax County","902-431-6845","easternpassage@kidsandcompany.com","September 27, 2021","August 7, 2020",,"18 months - 12 years","Yes","Yes","Yes","No","No","Yes","Yes","Yes","86 COW BAY RD.","EASTERN PASSAGE","B3G 1A2","150","POINT (-63.489254 44.612526)"
"4093443","Munro Academy Early Learning Centre","Day Care Facility","Cape Breton County","902-241-5085 /902 241-5090","elc@munroacademy.org","September 14, 2021","January 27, 2022",,"3 months to 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","2 SCHOOL ST.","SYDNEY MINES","B1V 2R3","80","POINT (-60.235816 46.238914)"
"4096847","Top of the Hill Day Care","Day Care Facility","Halifax County","902-434-3639","twofast4u@me.com","August 19, 2021","April 19, 2021",,"5 years - 12 years","No","No","Yes","No","No","No","No","Yes","35 ANDOVER ST.","DARTMOUTH","B2X 2M1","60","POINT (-63.551022 44.70362)"
"4096857","Explore and Discover Early Learning Centre - North Sydney","Day Care Facility","Cape Breton County","902-241-3075,","exploreanddiscov@eastlink.ca","October 19, 2021","February 22, 2021",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","258 HIGHWAY 105 HWY.","NORTH SYDNEY","B2H 3H5","30","POINT (-60.25298 46.225861)"
"4096864","Windsor Street Childcare Centre","Day Care Facility","Halifax County","902-406-8001","windsorchildcare@eastlink.ca","July 20, 2021","January 11, 2021",,"4 months - 8 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","2770 WINDSOR ST.","HALIFAX","B3K 5E4","44","POINT (-63.602121 44.653969)"
"4099262","Town Daycare Centre","Day Care Facility","Cape Breton County","902-849-6086","towndaycare@gmail.com","September 16, 2021","January 27, 2021",,"18 months - 12 years","Yes","No","Yes","No","No","Yes","Yes","Yes","15 SECOND ST.","GLACE BAY","B1A 4E7","94","POINT (-59.963213 46.211249)"
"4099266","Garderie le Petit Voilier (Le) (Carrefour & Pavillon)","Day Care Facility","Halifax County","902-435-1332","info@petitvoilier.ca","January 17, 2022","December 9, 2020",,"3 months - 12 years","Yes","No","Yes","No","Yes","Yes","Yes","Yes","201 AVENUE DU PORTAGE","DARTMOUTH","B2X 3T4","102","POINT (-63.531924 44.704472)"
"4099400","Garderie le Petit Voilier de Bois-Joli (Le)","Day Care Facility","Halifax County","902-435-1332","info@petitvoilier.ca","January 17, 2022","December 9, 2020",,"18 months - 12 years","Yes","Yes","Yes","No","No","Yes","Yes","Yes","211 AVENUE DU PORTAGE","DARTMOUTH","B2X 3T4","140","POINT (-63.53125 44.707058)"
"4100990","YMCA of Cape Breton Early Learning Centre (After School Program)","Day Care Facility","Cape Breton County","902-562-9622 ext: 2223","kim.macphee@cb.ymca.ca","November 12, 2021","August 7, 2020",,"4 years - 12 years","No","No","Yes","No","No","No","No","Yes","153 COTTAGE RD.","SYDNEY","B1P 2E5","28","POINT (-60.181923 46.129999)"
"4100993","Ponderosa Play and Learn After School Program","Day Care Facility","Antigonish County","902-863- 3994","effievincent@hotmail.com","September 2, 2021","January 22, 2020",,"Pre-primary - 12 years","No","No","Yes","No","No","No","No","Yes","17 APPLESEED DR. UNIT B","POST ROAD","B2G 3B7","30","POINT (-62.009426 45.617167)"
