"board_code","school_board","school_code","school_name","mail_address_line_1","mail_address_line_2","mail_postal_code","civic_address_line_1","civic_address_line_2","civic_postal_code","telephone","fax","email","grade_level","early_immersion","middle_immersion","late_immersion","intensive_french","integrated_french","location"
"53","CHIGNECTO-CENTRAL REGIONAL    ","40","UNIACKE DISTRICT SCHOOL                                     ","                              ","                              ","       ","551 HWY 1                     ","MOUNT UNIACKE NS      ","B0N 1Z0","9028665100  ","9028665105  ","WHELANSM@CCRSB.CA                     ","ELEMENTARY/JUNIOR             ",,,,"Intensive French",,"551 HWY 1
MOUNT UNIACKE NS, NS B0N 1Z0
(44.887241, -63.823825)"
"51","CAPE BRETON-VICTORIA REGIONAL ","107","CABOT EDUCATION CENTRE                                      ",,"                              ","       ","32039 CABOT TRAIL             ","NEIL'S HARBOUR NS     ","B0C 1N0","9023362266  ","9023362525  ","SIMMSDJ@GNSPES.CA                                 ","ELEMENTARY/JUNIOR/SENIOR      ",,,,,,"32039 CABOT TRAIL
NEIL'S HARBOUR NS, NS B0C 1N0
(46.824105, -60.360426)"
"54","HALIFAX REGIONAL              ","322","BELL PARK ACADEMIC CENTRE                                   ","                              ","                              ","       ","4 THOMAS ST                   ","LAKE ECHO NS          ","B3E 1M6","9028292388  ","9028292402  ","BPAC@HRSB.CA                                   ","ELEMENTARY                    ","Early Immersion",,,,,"4 THOMAS ST
LAKE ECHO NS, NS B3E 1M6
(44.732169, -63.403739)"
"54","HALIFAX REGIONAL              ","284","TANTALLON SENIOR ELEMENTARY SCHOOL                          ","                              ","                              ","       ","3 FRENCH VILLAGE STN RD       ","UPPER TANTALLON NS    ","B3Z 1E4","9028261200  ","9028261206  ","TANTALLON@HRSB.CA                                 ","ELEMENTARY                    ","Early Immersion",,,,,"3 FRENCH VILLAGE STN RD
UPPER TANTALLON NS, NS B3Z 1E4
(44.690896, -63.875845)"
"54","HALIFAX REGIONAL              ","968","LOCKVIEW HIGH SCHOOL                                        ","                              ","                              ","       ","148 LOCKVIEW RD               ","FALL RIVER NS         ","B2T 1J1","9028606000  ","9028606005  ","LHS@HRSB.CA                                    ","JUNIOR/SENIOR                 ","Early Immersion",,"Late Immersion",,,"148 LOCKVIEW RD
FALL RIVER NS, NS B2T 1J1
(44.822552, -63.616245)"
"54","HALIFAX REGIONAL              ","614","ELIZABETH SUTHERLAND SCHOOL                                 ","                              ","                              ","       ","66 ROCKINGSTONE RD            ","HALIFAX NS            ","B3R 2C9","9024794427  ","9024794430  ","ESS@HRSB.CA                                    ","ELEMENTARY/JUNIOR             ","Early Immersion",,,,,"66 ROCKINGSTONE RD
HALIFAX NS, NS B3R 2C9
(44.603923, -63.618601)"
"59","TRI-COUNTY REGIONAL           ","704","YARMOUTH CENTRAL SCHOOL                                     ","                              ","                              ","       ","53 PARADE ST                  ","YARMOUTH NS           ","B5A 3B1","9027492860  ","9027492866  ","YCES@TCRSB.CA                                     ","ELEMENTARY                    ","Early Immersion",,,,,"53 PARADE ST
YARMOUTH NS, NS B5A 3B1
(43.837071, -66.113642)"
"53","CHIGNECTO-CENTRAL REGIONAL    ","7","BIBLE HILL JUNIOR HIGH SCHOOL                               ",,"                              ","       ","741 COLLEGE RD                ","TRURO NS              ","B2N 5Y9","9028965500  ","9028965504  ","HAZELTOND@CCRSB.CA                                ","JUNIOR HIGH                   ",,,"Late Immersion",,"Integrated French","741 COLLEGE RD
TRURO NS, NS B2N 5Y9
(45.377949, -63.233258)"
"52","STRAIT REGIONAL               ","974","CAPE BRETON HIGHLANDS EDUCATION CENTRE/ACADEMY              ","PO BOX 3                      ","TERRE NOIRE NS                ","B0E 2B0","11070 CABOT TRAIL             ","MARGAREE HARBOUR NS   ","B0E 1C0","9022357500  ","9022357504  ","PETER.GOOSENS@SRSB.CA                             ","ELEMENTARY/JUNIOR/SENIOR      ","Early Immersion",,,,,"11070 CABOT TRAIL
MARGAREE HARBOUR NS, NS B0E 1C0
(46.461887, -61.08991)"
"53","CHIGNECTO-CENTRAL REGIONAL    ","432","EAST PICTOU MIDDLE SCHOOL                                   ","                              ","                              ","       ","163 SCHOOL RD RR1             ","THORBURN NS           ","B0K 1W0","9029223800  ","9029223808  ","DOYLENM@CCRSB.CA                                  ","JUNIOR HIGH                   ",,"Middle Immersion",,,,"163 SCHOOL RD RR1
THORBURN NS, NS B0K 1W0
(45.592034, -62.505678)"
"51","CAPE BRETON-VICTORIA REGIONAL ","101","BRAS D'OR ELEMENTARY SCHOOL                                 ","536 OAK PARK RD               ","                              ","       ","10 ALDER PT RD                ","BRAS D'OR NS          ","B1Y 2K1","9027364000  ","9027361091  ","KUBLEKS@GNSPES.CA                                 ","ELEMENTARY                    ",,,,,,"10 ALDER PT RD
BRAS D'OR NS, NS B1Y 2K1
(46.251634, -60.289052)"
"54","HALIFAX REGIONAL              ","299","SUNNYSIDE ELEMENTARY SCHOOL  (MAIN BLDG) /FORT SACKVILLE (OTHER SITE)                              ","                              ","                              ","       ","210 EAGLEWOOD DR (2-6)/ 21 PERTH STREET (P-1)           ","BEDFORD NS            ","B4A 3E3","9028328983  ","9028328422  ","SUNNYSIDE@HRSB.CA                              ","ELEMENTARY                    ","Early Immersion",,,,,"210 EAGLEWOOD DR (2-6)/ 21 PERTH STREET (P-1)
BEDFORD NS, NS B4A 3E3"
"55","ANNAPOLIS VALLEY REGIONAL     ","994","WEST HANTS MIDDLE SCHOOL                                    ",,"                              ","       ","8009 HWY 14                   ","NEWPORT NS            ","B0N 2A0","9027574100  ","9027574111  ","WHMS@AVRSB.CA                                     ","ELEMENTARY/JUNIOR/SENIOR      ",,,"Late Immersion",,"Integrated French","8009 HWY 14
NEWPORT NS, NS B0N 2A0
(45.013706, -64.008873)"
"59","TRI-COUNTY REGIONAL           ","167","BARRINGTON MUNICIPAL HIGH SCHOOL                            ","PO BOX 40                     ","BARRINGTON                    ","       ","536 OAK PARK RD               ","BARRINGTON NS         ","B0W 1E0","9026374310  ","9026374320  ","BMHS@TCRSB.CA                                     ","JUNIOR/SENIOR                 ",,,"Late Immersion",,,"536 OAK PARK RD
BARRINGTON NS, NS B0W 1E0
(43.578679, -65.615808)"
"54","HALIFAX REGIONAL              ","1183","CHARLES P. ALLEN HIGH SCHOOL                                ","                              ","                              ","       ","200 INNOVATION DR             ","BEDFORD NS            ","B4B 0G4","9028328964  ","9028328981  ","CPAH@HRSB.CA                                   ","SENIOR HIGH                   ","Early Immersion",,"Late Immersion",,,"200 INNOVATION DR
BEDFORD NS, NS B4B 0G4
(44.722058, -63.699033)"
"54","HALIFAX REGIONAL              ","745","MILLWOOD HIGH SCHOOL                                        ","                              ","                              ","       ","141 MILLWOOD DR               ","MIDDLE SACKVILLE NS   ","B4E 0A1","9028647535  ","9028647567  ","MWHS@HRSB.CA                                   ","JUNIOR/SENIOR                 ",,,"Late Immersion",,,"141 MILLWOOD DR
MIDDLE SACKVILLE NS, NS B4E 0A1
(44.791095, -63.708923)"
"59","TRI-COUNTY REGIONAL           ","928","MEADOWFIELDS COMMUNITY SCHOOL                               ","                              ","                              ","       ","106 PROSPECT ST               ","YARMOUTH NS           ","B5A 4J2","9027492880  ","9027492888  ","MCS@TCRSB.CA                                      ","ELEMENTARY                    ","Early Immersion",,,,,"106 PROSPECT ST
YARMOUTH NS, NS B5A 4J2
(43.857109, -66.103042)"
"54","HALIFAX REGIONAL              ","749","ASTRAL DRIVE JUNIOR HIGH SCHOOL                             ","                              ","                              ","       ","238 ASTRAL DR                 ","DARTMOUTH NS          ","B2V 1B8","9024628700  ","9024626047  ","ADJH@HRSB.CA                                   ","JUNIOR HIGH                   ","Early Immersion",,"Late Immersion",,,"238 ASTRAL DR
DARTMOUTH NS, NS B2V 1B8
(44.653121, -63.478874)"
"54","HALIFAX REGIONAL              ","596","CHEBUCTO HEIGHTS ELEMENTARY SCHOOL                          ","                              ","                              ","       ","230 COWIE HILL RD             ","HALIFAX NS            ","B3P 2M3","9024794298  ","9024794408  ","CHES@HRSB.CA                                   ","ELEMENTARY                    ","Early Immersion",,,,,"230 COWIE HILL RD
HALIFAX NS, NS B3P 2M3
(44.629917, -63.623639)"
"53","CHIGNECTO-CENTRAL REGIONAL    ","639","A.G. BAILLIE MEMORIAL SCHOOL                                ",,"                              ","       ","477 VICTORIA AVE EXT          ","NEW GLASGOW NS        ","B2H 1X1","9027558240  ","9027558255  ","BOUDREAUND@CCRSB.CA                               ","ELEMENTARY                    ","Early Immersion","Middle Immersion",,,,"477 VICTORIA AVE EXT
NEW GLASGOW NS, NS B2H 1X1
(45.595085, -62.657203)"
"59","TRI-COUNTY REGIONAL           ","1178","YARMOUTH CONSOLIDATED MEMORIAL HIGH SCHOOL                  ","                              ","                              ","       ","146 FOREST ST                 ","YARMOUTH NS           ","B5A 0B3","9027492810  ","9027492811  ","YCMHS@TCRSB.CA                                    ","JUNIOR/SENIOR                 ","Early Immersion",,"Late Immersion",,,"146 FOREST ST
YARMOUTH NS, NS B5A 0B3
(43.832303, -66.102774)"
"54","HALIFAX REGIONAL              ","1109","CITADEL HIGH SCHOOL                                         ","                              ","                              ","       ","1855 TROLLOPE ST              ","HALIFAX NS            ","B3H 0A4","9024914444  ","9024911700  ","CHS@HRSB.CA                                    ","SENIOR HIGH                   ","Early Immersion",,,,,"1855 TROLLOPE ST
HALIFAX NS, NS B3H 0A4
(44.64761, -63.585665)"
"53","CHIGNECTO-CENTRAL REGIONAL    ","1146","TRURO ELEMENTARY SCHOOL                                     ","                              ","                              ","       ","125 CURTIS DR                 ","TRURO NS              ","B2N 0C5","9028965755  ","9028965786  ","LYNDSJN@CCRSB.CA                                  ","ELEMENTARY                    ","Early Immersion",,,,,"125 CURTIS DR
TRURO NS, NS B2N 0C5
(45.347039, -63.28404)"
"55","ANNAPOLIS VALLEY REGIONAL     ","73","NEW MINAS ELEMENTARY SCHOOL                                 ","                              ","                              ","       ","34 JONES RD                   ","NEW MINAS NS          ","B4N 3N1","9026814900  ","9026814904  ","NMES@AVRSB.CA                                     ","ELEMENTARY                    ","Early Immersion",,,,,"34 JONES RD
NEW MINAS NS, NS B4N 3N1
(45.068648, -64.449968)"
"53","CHIGNECTO-CENTRAL REGIONAL    ","658","SPRINGHILL JUNIOR-SENIOR HIGH SCHOOL                        ","PO BOX 1060                   ","SPRINGHILL NS                 ","B0M 1X0","84 CHURCH ST                  ","SPRINGHILL NS         ","B0M 1X0","9025974250  ","9025974251  ","CONRONB@CCRSB.CA                                  ","JUNIOR/SENIOR                 ",,,,,"Integrated French","84 CHURCH ST
SPRINGHILL NS, NS B0M 1X0
(45.64527, -64.057157)"
"51","CAPE BRETON-VICTORIA REGIONAL ","667","WHITNEY PIER MEMORIAL MIDDLE SCHOOL                         ","                              ","                              ","       ","199 JAMIESON ST               ","WHITNEY PIER NS       ","B1N 2P7","9025626130  ","9025626720  ","DMACDONALD1@GNSPES.CA                             ","ELEMENTARY/JUNIOR             ",,,"Late Immersion","Intensive French",,"199 JAMIESON ST
WHITNEY PIER NS, NS B1N 2P7
(46.160115, -60.181582)"
"59","TRI-COUNTY REGIONAL           ","199","PLYMOUTH SCHOOL                                             ","RR 1                          ","PLYMOUTH NS                   ","B0W 1B0","849 HWY 334                   ","ARCADIA NS            ","B0W 1B0","9026632000  ","9026632005  ","PS@TCRSB.CA                                       ","ELEMENTARY                    ","Early Immersion",,,,,"849 HWY 334
ARCADIA NS, NS B0W 1B0
(43.812867, -66.017882)"
"54","HALIFAX REGIONAL              ","619","J. L. ILSLEY HIGH SCHOOL                                    ","                              ","                              ","       ","38 SYLVIA AVE                 ","HALIFAX NS            ","B3R 1J9","9024794612  ","9024794635  ","JLI@HRSB.CA                                    ","SENIOR HIGH                   ","Early Immersion",,"Late Immersion",,,"38 SYLVIA AVE
HALIFAX NS, NS B3R 1J9
(44.605788, -63.608559)"
"54","HALIFAX REGIONAL              ","85","TALLAHASSEE COMMUNITY SCHOOL                                ",,"                              ","       ","168 REDOUBT WAY               ","EASTERN PASSAGE NS    ","B3G 1M5","9024658650  ","9024658010  ","TCS@HRSB.CA                                    ","ELEMENTARY                    ","Early Immersion",,,,,"168 REDOUBT WAY
EASTERN PASSAGE NS, NS B3G 1M5
(44.608116, -63.478916)"
"54","HALIFAX REGIONAL              ","317","ASH LEE JEFFERSON ELEMENTARY SCHOOL                         ","                              ","                              ","       ","10 LOCKVIEW RD                ","FALL RIVER NS         ","B2T 1J1","9028604163  ","9028604191  ","ALJS@HRSB.CA                                   ","ELEMENTARY                    ","Early Immersion",,,,,"10 LOCKVIEW RD
FALL RIVER NS, NS B2T 1J1
(44.8176, -63.615876)"
"51","CAPE BRETON-VICTORIA REGIONAL ","202","MALCOLM MUNROE MEMORIAL MIDDLE SCHOOL                       ",,"                              ","       ","125 KENWOOD DR                ","SYDNEY NS             ","B1S 1T8","9025644587  ","9025641666  ","SMCAMPBELL@GNSPES.CA                              ","ELEMENTARY/JUNIOR             ",,,"Late Immersion","Intensive French",,"125 KENWOOD DR
SYDNEY NS, NS B1S 1T8
(46.107504, -60.210418)"
"52","STRAIT REGIONAL               ","152","ST. ANDREW JUNIOR SCHOOL                                    ","                              ","                              ","       ","2 APPLESEED DR                ","ANTIGONISH NS         ","B2G 3B6","9028633046  ","9028632273  ","GLENN.AUSTEN@SRSB.CA                              ","ELEMENTARY/JUNIOR             ","Early Immersion",,,"Intensive French",,"2 APPLESEED DR
ANTIGONISH NS, NS B2G 3B6
(45.617377, -62.009365)"
"54","HALIFAX REGIONAL              ","1187","ROCKY LAKE JUNIOR HIGH SCHOOL                               ","                              ","                              ","       ","670 ROCKY LAKE DR             ","BEDFORD NS            ","B4A 2T6","9028328952  ","9028328962  ","RLJH@HRSB.CA                                   ","JUNIOR HIGH                   ","Early Immersion",,"Late Immersion",,,"670 ROCKY LAKE DR
BEDFORD NS, NS B4A 2T6
(44.74461, -63.637051)"
"53","CHIGNECTO-CENTRAL REGIONAL    ","988","NORTH NOVA EDUCATION CENTRE                                 ","                              ","                              ","       ","343 PARK ST                   ","NEW GLASGOW NS        ","B2H 6B2","9027558180  ","9027558185  ","FINDLAYAL@CCRSB.CA                                ","JUNIOR/SENIOR                 ",,"Middle Immersion",,,,"343 PARK ST
NEW GLASGOW NS, NS B2H 6B2
(45.567511, -62.633439)"
"54","HALIFAX REGIONAL              ","318","GRAHAM CREIGHTON JUNIOR HIGH SCHOOL                         ","                              ","                              ","       ","72 CHERRY BROOK RD            ","CHERRY BROOK NS       ","B2Z 1A8","9024645164  ","9024645173  ","GCJH@HRSB.CA                                   ","JUNIOR HIGH                   ","Early Immersion",,"Late Immersion",,,"72 CHERRY BROOK RD
CHERRY BROOK NS, NS B2Z 1A8
(44.705358, -63.473031)"
"52","STRAIT REGIONAL               ","707","DR. JOHN HUGH GILLIS REGIONAL HIGH SCHOOL                   ","                              ","                              ","       ","105 BRAEMORE AVE              ","ANTIGONISH NS         ","B2G 1L3","9028631620  ","9028638284  ","WANDA.FOUGERE@SRSB.CA                             ","JUNIOR/SENIOR                 ","Early Immersion",,,,,"105 BRAEMORE AVE
ANTIGONISH NS, NS B2G 1L3
(45.624067, -62.004327)"
"51","CAPE BRETON-VICTORIA REGIONAL ","995","BROOKLAND ELEMENTARY SCHOOL                                 ","                              ","                              ","       ","153 COTTAGE RD                ","SYDNEY NS             ","B1P 2E5","9025620768  ","9025634560  ","JLIVELY@GNSPES.CA                                 ","ELEMENTARY                    ",,,,,,"153 COTTAGE RD
SYDNEY NS, NS B1P 2E5
(46.129966, -60.181853)"
"53","CHIGNECTO-CENTRAL REGIONAL    ","1104","CUMBERLAND NORTH ACADEMY                                    ","                              ","                              ","       ","879 HWY 204 RR 3              ","BROOKDALE NS          ","B4H 3Y1","9026612464  ","9026612438  ","WELLSK@CCRSB.CA                                   ","ELEMENTARY                    ","Early Immersion",,,,,"879 HWY 204 RR 3
BROOKDALE NS, NS B4H 3Y1
(45.801407, -64.157401)"
"54","HALIFAX REGIONAL              ","297","SACKVILLE HIGH SCHOOL                                       ","                              ","                              ","       ","1 KINGFISHER WAY              ","LOWER SACKVILLE NS    ","B4C 2Y9","9028646700  ","9028646710  ","SHS@HRSB.CA                                    ","JUNIOR/SENIOR                 ","Early Immersion",,"Late Immersion",,,"1 KINGFISHER WAY
LOWER SACKVILLE NS, NS B4C 2Y9
(44.774066, -63.674537)"
"54","HALIFAX REGIONAL              ","740","HAROLD T. BARRETT JUNIOR HIGH SCHOOL                        ","                              ","                              ","       ","862 BEAVER BANK RD            ","BEAVER BANK NS        ","B4G 1A9","9028647500  ","9028647502  ","HTBAR@HRSB.CA                                  ","JUNIOR HIGH                   ",,,"Late Immersion",,,"862 BEAVER BANK RD
BEAVER BANK NS, NS B4G 1A9
(44.82029, -63.682486)"
"54","HALIFAX REGIONAL              ","357","COLE HARBOUR DISTRICT HIGH SCHOOL                           ","                              ","                              ","       ","2 CHAMEAU CRES                ","COLE HARBOUR NS       ","B2W 4X4","9024645220  ","9024645241  ","CHDHS@HRSB.CA                                  ","SENIOR HIGH                   ","Early Immersion",,"Late Immersion",,,"2 CHAMEAU CRES
COLE HARBOUR NS, NS B2W 4X4
(44.681349, -63.490544)"
"54","HALIFAX REGIONAL              ","290","BEECHVILLE LAKESIDE TIMBERLEA SENIOR ELEMENTARY SCHOOL      ","                              ","                              ","       ","24 JAMES ST                   ","TIMBERLEA NS          ","B3T 1G9","9028763230  ","9028767909  ","BLT@HRSB.CA                                       ","ELEMENTARY                    ","Early Immersion",,,,,"24 JAMES ST
TIMBERLEA NS, NS B3T 1G9
(44.658829, -63.742841)"
"54","HALIFAX REGIONAL              ","320","SIR ROBERT BORDEN JUNIOR HIGH SCHOOL                        ","                              ","                              ","       ","16 EVERGREEN DR               ","DARTMOUTH NS          ","B2W 4A7","9024645140  ","9024645150  ","SRBJH@HRSB.CA                                  ","JUNIOR HIGH                   ",,,"Late Immersion",,,"16 EVERGREEN DR
DARTMOUTH NS, NS B2W 4A7
(44.674987, -63.496488)"
"52","STRAIT REGIONAL               ","484","EAST RICHMOND EDUCATION CENTRE                              ","PO BOX 219                    ","ST. PETER'S NS                ","B0E 3B0","9359 PEPPERELL ST             ","ST. PETER'S NS        ","B0E 3B0","9025352066  ","9025353166  ","TANYA.CARTER@SRSB.CA                              ","ELEMENTARY/JUNIOR             ","Early Immersion",,,,,"9359 PEPPERELL ST
ST. PETER'S NS, NS B0E 3B0
(45.658212, -60.876333)"
"54","HALIFAX REGIONAL              ","314","GEORGES P. VANIER JUNIOR HIGH SCHOOL                        ","                              ","                              ","       ","1410 FALL RIVER RD            ","FALL RIVER NS         ","B2T 1J1","9028604182  ","9028604188  ","VANIER@HRSB.CA                                 ","JUNIOR HIGH                   ","Early Immersion",,"Late Immersion",,,"1410 FALL RIVER RD
FALL RIVER NS, NS B2T 1J1
(44.815751, -63.616313)"
"51","CAPE BRETON-VICTORIA REGIONAL ","640","BRETON EDUCATION CENTRE                                     ","                              ","                              ","       ","667 EIGHTH ST                 ","NEW WATERFORD NS      ","B1H 3T4","9028626432  ","9028627330  ","DAUCOIN@GNSPES.CA                                 ","ELEMENTARY/JUNIOR/SENIOR      ",,,,"Intensive French","Integrated French","667 EIGHTH ST
NEW WATERFORD NS, NS B1H 3T4
(46.24192, -60.089423)"
"54","HALIFAX REGIONAL              ","288","FIVE BRIDGES JUNIOR HIGH SCHOOL                             ","                              ","                              ","       ","66 HUBLEY RD                  ","HUBLEY NS             ","B3Z 1B9","9028762026  ","9028767177  ","FBJH@HRSB.CA                                   ","JUNIOR HIGH                   ","Early Immersion",,"Late Immersion",,,"66 HUBLEY RD
HUBLEY NS, NS B3Z 1B9
(44.676429, -63.814624)"
"54","HALIFAX REGIONAL              ","294","WILLIAM KING ELEMENTARY SCHOOL                              ","                              ","                              ","       ","91 ST. PAUL'S AVE             ","HERRING COVE NS       ","B3V 1H6","9024794200  ","9024794208  ","WKES@HRSB.CA                                   ","ELEMENTARY                    ",,,"Intensive French",,,"91 ST. PAUL'S AVE
HERRING COVE NS, NS B3V 1H6
(44.569498, -63.562542)"
"51","CAPE BRETON-VICTORIA REGIONAL ","8","GLACE BAY HIGH SCHOOL                                       ","                              ","                              ","       ","201 RESERVE ST                ","GLACE BAY NS          ","B1A 4W3","9028494247  ","9028492700  ","TMMACPHE@GNSPES.CA                                ","JUNIOR/SENIOR                 ",,,,,"Integrated French","201 RESERVE ST
GLACE BAY NS, NS B1A 4W3
(46.191149, -59.979407)"
"52","STRAIT REGIONAL               ","934","ANTIGONISH EDUCATION CENTRE                                 ","                              ","                              ","       ","30 APPLESEED DR               ","ANTIGONISH NS         ","B2G 3B6","9028678800  ","9028678804  ","APRIL.WEAVER@SRSB.CA                              ","ELEMENTARY                    ","Early Immersion",,,,,"30 APPLESEED DR
ANTIGONISH NS, NS B2G 3B6
(45.614857, -62.010624)"
"55","ANNAPOLIS VALLEY REGIONAL     ","966","PINE RIDGE MIDDLE SCHOOL                                    ",,,"       ","625 PINE RIDGE AVE            ","KINGSTON NS           ","B0P 1R0","9027657570  ","9027657572  ","PRMS@AVRSB.CA                                     ","ELEMENTARY/JUNIOR             ","Early Immersion",,,"Intensive French","Integrated French","625 PINE RIDGE AVE
KINGSTON NS, NS B0P 1R0
(44.992621, -64.944225)"
"53","CHIGNECTO-CENTRAL REGIONAL    ","31","ELMSDALE DISTRICT ELEMENTARY SCHOOL                         ","                              ","                              ","       ","75 MACMILLAN DR               ","ELMSDALE NS           ","B2S 1A5","9028835350  ","9028835353  ","ALLEYM@CCRSB.CA                                   ","ELEMENTARY                    ","Early Immersion",,,,,"75 MACMILLAN DR
ELMSDALE NS, NS B2S 1A5
(44.960086, -63.523525)"
"54","HALIFAX REGIONAL              ","353","LESLIE THOMAS JUNIOR HIGH SCHOOL                            ","                              ","                              ","       ","100 METROPOLITAN AVE          ","LOWER SACKVILLE NS    ","B4C 2Z8","9028646785  ","9028646797  ","LTJH@HRSB.CA                                   ","ELEMENTARY/JUNIOR             ","Early Immersion",,"Late Immersion",,,"100 METROPOLITAN AVE
LOWER SACKVILLE NS, NS B4C 2Z8
(44.780952, -63.673193)"
"54","HALIFAX REGIONAL              ","1186","TANTALLON JUNIOR ELEMENTARY SCHOOL                          ",,"                              ","       ","1 FRENCH VILLAGE STN RD       ","UPPER TANTALLON NS    ","B3Z 1E4","9028261204  ","9028261369  ","TANTALLONJR@HRSB.CA                               ","ELEMENTARY                    ","Early Immersion",,,,,"1 FRENCH VILLAGE STN RD
UPPER TANTALLON NS, NS B3Z 1E4
(44.690524, -63.874799)"
"53","CHIGNECTO-CENTRAL REGIONAL    ","20","CENTRAL COLCHESTER JUNIOR HIGH SCHOOL ",,,,"61 ONSLOW RD","CENTRAL ONSLOW NS","B6L 5K4","902 896 5570","902 896 5575","MACPHERSONC@CCRSB.CA","JUNIOR HIGH                   ",,,,,"Inregrated French","61 ONSLOW RD
CENTRAL ONSLOW NS, NS B6L 5K4
(45.379049, -63.323538)"
