"year","grade_level","assessment","program","board","sex","adaptation","ipp","exemption","eligible","reading_score","reading_level","writing_ideas","writing_organization","writing_language_use","writing_conventions"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","455.64","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","371.38","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","423.58","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CCRCE","M",,,,"Yes","419","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SSRCE","M",,,,"Yes","332.74","Level 1","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","F",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","French Imm","TCRCE","M",,,,"Yes","405.28","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","514.95","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","578.1","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","HRCE","M","Yes",,,"Yes","456.49","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SRCE","F",,,,"Yes","566.63","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SSRCE","F","Yes",,,"Yes","358.35","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","530.11","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","French Imm","HRCE","M",,,,"Yes","648.14","Level 4","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","HRCE","M",,,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","458.47","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","330.04","Level 1","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","563.83","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","AVRCE","F",,,,"Yes","398.79","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","541.64","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","517.79","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","AVRCE","M","Yes",,,"Yes","389.06","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","French Imm","HRCE","F",,,,"Yes","314.03","Level 1","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","CCRCE","M",,,,"Yes","492.66","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","F",,,,"Yes","580.85","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F","Yes",,,"Yes","245.3","Level 1","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","427.68","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","TCRCE","F",,,,"Yes","454.11","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","F",,,,"Yes","521.46","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","410.22","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","497.11","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","CSAP","CSAP","F",,,,"Yes","435.87","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","549.75","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","F","Yes",,,"Yes","379.11","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","CSAP","CSAP","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","CCRCE","F",,,,"Yes","486.94","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","F",,,,"Yes","526.03","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","M","Yes",,,"Yes","404.24","Level 2","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","465.43","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","449.49","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","471","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","588.99","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","CBVRCE","F",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","549.07","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","394.61","Level 2","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","491.55","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","CCRCE","M",,,,"Yes","421.15","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CCRCE","F",,,,"Yes","522.16","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","SSRCE","M",,,,"Yes","303.24","Level 1","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","M",,,"Yes","No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","SSRCE","F",,,,"Yes","532.28","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SSRCE","M","Yes",,,"Yes","561.69","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","French Imm","TCRCE","F",,,,"Yes","635.13","Level 4","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","French Imm","TCRCE","F","Yes",,,"Yes","443.33","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","TCRCE","F",,,,"Yes","514.09","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","475.48","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","559.94","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","560.01","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","599.33","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","570.19","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","567.73","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","AVRCE","M",,,,"Yes","615.25","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","SRCE","F",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","CCRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","SSRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","HRCE","F",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","675.45","Level 4","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","SSRCE","M",,,,"Yes","474.51","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","French Imm","HRCE","M",,,,"Yes","477.26","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","583.29","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","HRCE","F","Yes",,,"Yes","488.74","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","536.28","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","571.61","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","553.67","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M","Yes",,,"Yes","394.21","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","AVRCE","F",,,,"Yes","506.97","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CCRCE","M",,,,"Yes","430.52","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","544.04","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","French Imm","HRCE","F",,,,"Yes","533.83","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","655.86","Level 4","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M","Yes",,,"Yes","364.4","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","645.67","Level 4","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F","Yes",,,"Yes","297.29","Level 1","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","388.77","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","555.85","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","533.83","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","377.35","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","488.46","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","CSAP","CSAP","F",,,,"Yes","496.5","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F","Yes",,,"Yes","380.98","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","TCRCE","F",,,,"Yes","364.2","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","HRCE","M","Yes",,,"Yes","402.77","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","F",,,,"Yes","636.43","Level 4","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","CBVRCE","M","Yes",,,"Yes","446.32","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SRCE","M",,,,"Yes","528","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","415.09","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","343.62","Level 1","Level 1","Level 1","Level 1","Level 1"
"2019-20","6","RW","French Imm","TCRCE","F",,,,"Yes","429.56","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M","Yes",,,"Yes","358.37","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","M","Yes",,,"Yes","401.19","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","560.83","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","CSAP","CSAP","F",,,,"Yes","430.18","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","612.41","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","F",,,,"Yes","615.73","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","M","Yes",,,"Yes","432.97","Level 3","Not enough evidence","Not enough evidence","Not enough evidence","Not enough evidence"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","595.77","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","F",,,,"Yes","409.05","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","F",,,,"Yes","559.84","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M","Yes",,,"Yes","362.07","Level 2","Level 1","Level 1","Level 1","Level 1"
"2019-20","6","RW","English","CCRCE","M",,,,"Yes","550.77","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","HRCE","F",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","409.12","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","M","Yes",,,"Yes","567.02","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","552.23","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","CSAP","CSAP","M",,,,"Yes","471.64","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","516.49","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CCRCE","M",,,,"Yes","429.39","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","479.36","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","553.9","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","284.35","Level 1","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M","Yes",,,"Yes","443.84","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","525.75","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","388.27","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","427.2","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M","Yes",,,"Yes","400.51","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","415.05","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","AVRCE","F",,,,"Yes","543.2","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","514.71","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","365.56","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","551.69","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","468.23","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CCRCE","F",,,,"Yes","689.36","Level 4","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CCRCE","M",,,,"Yes","582.13","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CCRCE","F","Yes",,,"Yes","384.55","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","SSRCE","F",,,,"Yes","502.74","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,"Yes",,"No",,"Did not participate","Did not participate","Did not participate","Did not participate","Did not participate"
"2019-20","6","RW","English","SSRCE","F",,,,"Yes","599.58","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","474.19","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SSRCE","F","Yes",,,"Yes","558.57","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","SSRCE","M",,,,"Yes","427.03","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SSRCE","F",,,,"Yes","521.88","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","SSRCE","M",,,,"Yes","409.04","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","TCRCE","F",,,,"Yes","643.68","Level 4","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SSRCE","F",,,,"Yes","489.37","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","French Imm","TCRCE","F","Yes",,,"Yes","372.57","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","TCRCE","M",,,,"Yes","385.5","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","TCRCE","M",,,,"Yes","619.79","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SSRCE","F",,,,"Yes","485.55","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","443.98","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F","Yes",,,"Yes","382.4","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","591.47","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","483.52","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","511.12","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","French Imm","HRCE","M",,,,"Yes","564.97","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M","Yes",,,"Yes","576.36","Level 3","Not enough evidence","Not enough evidence","Not enough evidence","Not enough evidence"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","648.84","Level 4","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","406.4","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","589.96","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","430.23","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","French Imm","HRCE","F",,,,"Yes","583.55","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","557.57","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","AVRCE","F",,,,"Yes","612.43","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","583.56","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","SRCE","F",,,,"Yes","608.7","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SRCE","F",,,,"Yes","510.33","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SSRCE","F",,,,"Yes","574.86","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","SSRCE","M","Yes",,,"Yes","430.06","Level 2","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","SSRCE","M","Yes",,,"Yes","326.94","Level 1","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","SSRCE","M","Yes",,,"Yes","323.76","Level 1","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","French Imm","HRCE","F",,,,"Yes","440.7","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","484.41","Level 3","Level 2","Level 2","Level 2","Level 2"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","454.28","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","F",,,,"Yes","422.46","Level 2","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SSRCE","M",,,,"Yes","493.6","Level 3","Level 4","Level 4","Level 4","Level 4"
"2019-20","6","RW","English","HRCE","F",,,,"Yes","573.23","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","SSRCE","F",,,,"Yes","593.71","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M",,,,"Yes","484.85","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","HRCE","M","Yes",,,"Yes","500.48","Level 3","Level 3","Level 3","Level 3","Level 3"
"2019-20","6","RW","English","CBVRCE","M",,,,"Yes","495.99","Level 3","Level 2","Level 2","Level 2","Level 2"
