"fiscal_year","facility_name","company","description"
"2019-2020","The Labs at Innovacorp","Solid State Pharma","Crystallization engineering services for the pharmaceutical industry"
"2019-2020","The Labs at Innovacorp","Sparrow Acoustics","Electronic stethoscope software for cardiologists to quickly analyze heart sounds"
"2019-2020","The Labs at Innovacorp","TablePlus","Database management solution"
"2019-2020","Start-Up Yard at COVE","Acoubit Communications","Acoustic data communications technology for ocean management and monitoring"
"2019-2020","Start-Up Yard at COVE","Ashored Innovations","Buoy systems to protect endangered marine life and collect data to increase fisher efficiency"
"2019-2020","Start-Up Yard at COVE","Copsys Industries","Corrosion management technology to protect assets and reduce maintenance"
"2019-2020","Start-Up Yard at COVE","Impactful Health R&D","Compostable packaging to prolong the shelf life of fresh fish"
"2019-2020","Start-Up Yard at COVE","Marimetrics Technologies","Trace gas analyzer for measuring chemical compounds in the ocean"
"2019-2020","Start-Up Yard at COVE","Ocean Protection Engineering Group","All-weather emergency system to tow ships in distress"
"2019-2020","Start-Up Yard at COVE","Planetary Hydrogen","Hydrogen production technology with planet-saving carbon dioxide removal"
"2019-2020","Start-Up Yard at COVE","Resqunit","Floatation device that secures fishing gear"
"2019-2020","Start-Up Yard at COVE","SeaChange Biochemistry","Chemicals for industry from sustainably harvested seaweed"
"2019-2020","Start-Up Yard at COVE","Sedna Technologies","Environmental sensors, real-time monitoring and data analytics to reduce waste and increase profits across seafood supply chains"
"2019-2020","The Bays at Innovacorp (formerly the Technology Innovation Centre)","BioPolynet","Technology for the design of biopolymers that can control the behavior of solids in water"
"2019-2020","The Bays at Innovacorp","Conquer Experience","Digital platform development and game design for workplace training"
"2019-2020","The Bays at Innovacorp","DMF Medical","Technology to remove carbon dioxide from anesthesia for improved patient safety"
"2019-2020","The Bays at Innovacorp","Graphite Innovation & Technologies","Graphene-related products customized for specific applications, such as underwater vessels"
"2019-2020","The Bays at Innovacorp","Green Power Labs","Predictive analytics for green and renewable energy applications"
"2019-2020","The Bays at Innovacorp","GSTS (Global Spatial Technology Solutions)","Technology to collect and analyze ocean-related data to give route suggestions, security insights and other advice to marine clients"
"2019-2020","The Bays at Innovacorp","Jetasonic Technologies","Underwater acoustic instrumentation"
"2019-2020","The Bays at Innovacorp","Metamaterial Technologies","Technology that uses metamaterials to block, enhance and absorb light"
"2019-2020","The Bays at Innovacorp","Prism Lighting","Technology that enables exhibitors to drastically reduce electrical costs of lighting displays"
"2019-2020","The Bays at Innovacorp","Rimot.io","Technologies for monitoring and managing remote business-critical infrastructure (e.g., radio towers) to minimize downtime, disruptions and maintenance costs"
"2019-2020","The Bays at Innovacorp","Salient Energy","Zinc-ion batteries for non-portable applications"
"2019-2020","The Bays at Innovacorp","Sona Nanotech","Methods for manufacturing toxin-free rod-shaped gold nanoparticles for use in diagnostic testing for diseases and medical applications"
"201-2020","The Bays at Innovacorp","SURU","Zero-emission, electric-powered bicycles"
"2019-2020","The Bays at Innovacorp","Tesla Motors Canada","Battery-related research and development"
"2020-2021","The Labs at Innovacorp (formerly  the Innovacorp Enterprise Centre)","3D BioFibR","Technology to manufacture protein fibers to enable engineering solutions otherwise impossible"
"2020-2021","The Labs at Innovacorp","Adaptiiv Medical Technologies","Software for clinics to 3D print patient-specific devices for use in radiation therapy"
"2020-2021","The Labs at Innovacorp","AGADA Biosciences","Services that accelerate orphan drug development"
"2020-2021","The Labs at Innovacorp","Alentic Microscience","Pocket-sized diagnostic device that can generate test results in under five minutes, from any location, using only a drop of blood"
"2020-2021","The Labs at Innovacorp","Appili Therapeutics","Drugs to fight infectious disease"
"2020-2021","The Labs at Innovacorp","Audioptics Medical","Microscope that can see through the eardrum to image middle ear structures"
"2020-2021","The Labs at Innovacorp","ColourSmith Labs","Optical filtering technology for eyewear"
"2020-2021","The Labs at Innovacorp","Covina Biomedical","Glass-based bone cement to improve the longevity of orthopedic implants"
"2020-2021","The Labs at Innovacorp","Densitas","Technology to improve breast screening"
"2020-2021","The Labs at Innovacorp","Eadie Technologies","Wearable visual field testing device for eye clinics"
"2020-2021","The Labs at Innovacorp","Electric Puppets","Virtual reality software that tracks eye movement for diagnosis and research"
"2020-2021","The Labs at Innovacorp","Emagix","Technology for diagnosis of retinal disorders"
"2020-2021","The Labs at Innovacorp","growNSdrinks Analytics","Software to automate reporting sales statistics from the beverage industry"
"2020-2021","The Labs at Innovacorp","IR Scientific","Inorganic polymers for use in oral cosmetic and health products"
"2020-2021","The Labs at Innovacorp","Novagevity","Plant-based meal replacement beverage"
"2020-2021","The Labs at Innovacorp","NovaResp Technologies","Patient-specific breathing support devices for patients with sleep apnea"
"2020-2021","The Labs at Innovacorp","PhotoDynamics","Product that uses natural extracts to erase plaque buildup on teeth"
"2020-2021","The Labs at Innovacorp","Proteoform Scientific","Technology to simplify protein sample preparation in proteomics"
"2020-2021","The Labs at Innovacorp","Rayleigh Solar Tech","Perovskite solar cell technology"
"2020-2021","The Labs at Innovacorp","Reach Orthopaedics","Orthopedic shoulder implant to correct joint imbalance of a rotator cuff tear and lessen the risk of progressive osteoarthritis"
"2020-2021","Start-Up Yard at COVE","Ashored Innovations","Buoy systems to protect endangered marine life and collect data to increase fisher efficiency"
"2020-2021","Start-Up Yard at COVE","Clean Catch Baits","100 per cent biodegradable fishing lures"
"2020-2021","Start-Up Yard at COVE","Glas Ocean","Electric propulsion systems for workboats and vessel-to-grid energy storage"
"2020-2021","Start-Up Yard at COVE","Kavacha","Coatings from fish waste that can protect marine vessels and structures in harsh environments."
"2020-2021","Start-Up Yard at COVE","Marecomms","Underwater communications system to deliver information using data collected in the ocean"
"2020-2021","Start-Up Yard at COVE","Marimetrics Technologies","Trace gas analyzer for measuring chemical compounds in the ocean"
"2020-2021","Start-Up Yard at COVE","Ocean Protection Engineering Group","All-weather emergency system to tow ships in distress"
"2020-2021","Start-Up Yard at COVE","Resqunit","Floatation device that secures fishing gear"
"2020-2021","Start-Up Yard at COVE","Sedna Technologies","Technology to monitor the conditions of live seafood as it moves through the supply chain"
"2020-2021","The Bays at Innovacorp (formerly the Technology Innovation Centre)","Conquer Experience","Digital platform development and game design for workplace training"
"2020-2021","The Bays at Innovacorp","DMF Medical","Technology to remove carbon dioxide from anesthesia for improved patient safety"
"2020-2021","The Bays at Innovacorp","Graphite Innovation & Technologies","Graphene-related products customized for specific applications, such as underwater vessels"
"2020-2021","The Bays at Innovacorp","Green Power Labs","Predictive analytics for green and renewable energy applications"
"2020-2021","The Bays at Innovacorp","GSTS (Global Spatial Technology Solutions)","Technology to collect and analyze ocean-related data to give route suggestions, security insights and other advice to marine clients"
"2020-2021","The Bays at Innovacorp","Jetasonic Technologies","Underwater acoustic instrumentation"
"2020-2021","The Bays at Innovacorp","Metamaterial","Technology that uses metamaterials to block, enhance and absorb light"
"2020-2021","The Bays at Innovacorp","Prism Lighting","Technology that enables exhibitors to drastically reduce electrical costs of lighting displays"
"2020-2021","The Bays at Innovacorp","Rimot.io","Technologies for monitoring and managing remote business-critical infrastructure (e.g., radio towers) to minimize downtime, disruptions and maintenance costs"
"2020-2021","The Bays at Innovacorp","Salient Energy","Zinc-ion batteries for non-portable applications"
"2020-2021","The Bays at Innovacorp","Sona Nanotech","Methods for manufacturing toxin-free rod-shaped gold nanoparticles for use in diagnostic testing for diseases and medical applications"
"2020-2021","The Bays at Innovacorp","Tesla Motors Canada","Battery-related research and development"
"2021-2022","The Labs at Innovacorp","3D BioFibR","Proprietary ""dry-spinning” process (mimicking spiders) to produce low denier multifilament fibers from proteins (e.g., collagen and spider silk)"
"2021-2022","The Labs at Innovacorp","Adaptiiv Medical Technologies","Software for clinics to 3D print patient-specific devices for use in radiation therapy"
"2021-2022","The Labs at Innovacorp","AGADA Biosciences","Services that accelerate orphan drug development for neuromuscular disease"
"2021-2022","The Labs at Innovacorp","Alentic","Small, light-weight, lens-free devices that can capture images at high resolution for many clinical and industrial analysis applications"
"2021-2022","The Labs at Innovacorp","Appili Therapeutics","Drugs to fight infectious disease"
"2021-2022","The Labs at Innovacorp","Audioptics Medical","Microscope that can see through the eardrum to image middle ear structures"
"2021-2022","The Labs at Innovacorp","ColourSmith Labs","Optical filtering technology for contact lenses and eyeglasses"
"2021-2022","The Labs at Innovacorp","Covina Biomedical","Injectable glass-based bone cement to enhance the longevity of orthopaedic implants"
"2021-2022","The Labs at Innovacorp","Densitas","Artificial intelligence solutions for mammography and breast cancer screening to improve care and reduce costs"
"2021-2022","The Labs at Innovacorp","Emagix","Technology for detecting vascular pathology in the retina"
"2021-2022","The Labs at Innovacorp","growNSdrinks Analytics","Software to automate reporting sales statistics from the beverage industry"
"2021-2022","The Labs at Innovacorp","IR Scientific","Oral health technologies based on naturally sourced and 100 per cent degradable biomaterials"
"2021-2022","The Labs at Innovacorp","Novagevity","Plant-based meal replacement beverage"
"2021-2022","The Labs at Innovacorp","NovaResp Technologies","Technology that helps patients suffering from sleep apnea to breathe easier"
"2021-2022","The Labs at Innovacorp","PhotoDynamics","Antibacterial oral hygiene product that eliminates the negative effects of bacteria on the surface of teeth"
"2021-2022","The Labs at Innovacorp","Proteoform Scientific","Technology to simplify protein sample preparation in proteomics"
"2021-2022","Start-Up Yard at COVE","Ashored Innovations","System to reduce the amount of ghost gear (i.e., discarded, lost or abandoned fishing gear) in the ocean"
"2021-2022","Start-Up Yard at COVE","Blue Lion Labs","Technology that detects and quantifies algae in water and aquaculture systems"
"2021-2022","Start-Up Yard at COVE","Clean Catch Baits","100 per cent biodegradable fishing lures"
"2021-2022","Start-Up Yard at COVE","Glas Ocean Electric","Electric boat kits to convert existing and new boats to electric propulsion and solutions to dual-purpose boat batteries as energy storage"
"2021-2022","Start-Up Yard at COVE","IntelliReef","Structures that mimic coral reefs to build an ocean infrastructure that improves resistance to climate stressors and diseases"
"2021-2022","Start-Up Yard at COVE","Kavacha","Coatings from fish waste that can protect marine vessels and structures in harsh environments."
"2021-2022","Start-Up Yard at COVE","Marecomms","Underwater communications system to deliver information using data collected in the ocean"
"2021-2022","Start-Up Yard at COVE","Marimetrics Technologies","Instruments for measuring hydrocarbons, greenhouse gases and other chemical compounds in the ocean and atmosphere"
"2021-2022","Start-Up Yard at COVE","Ocean Protection Group","Remotely operated automatic emergency towing system for ships"
"2021-2022","Start-Up Yard at COVE","Resqunit Canada","Floatation device attached to lobster traps and other equipment to ensure they are not lost on the ocean floor"
"2021-2022","Start-Up Yard at COVE","Sedna Technologies","Technology to monitor the conditions of live seafood as it moves through the supply chain"
"2021-2022","Start-Up Yard at COVE","Wittaya-Aqua","Technology to help aquaculture farmers track, visualize and analyze production data"
"2021-2022","The Bays at Innovacorp","DMF Medical","Carbon dioxide filtration device to improve safety for patients undergoing general anesthesia"
"2021-2022","The Bays at Innovacorp","Graphite Innovation & Technologies","Graphene coatings to reduce corrosion and biofouling in water"
"2021-2022","The Bays at Innovacorp","GSTS (Global Spatial Technology Solutions)","Artificial intelligence and big data analytics that enable the safe, efficient and environmentally sound marine transport of people and goods"
"2021-2022","The Bays at Innovacorp","Jetasonic Technologies","Underwater acoustic instrumentation"
"2021-2022","The Bays at Innovacorp","Meta Materials (META)","Advanced materials that can alter the properties of light, by amplifying, bending, absorbing or blocking it"
"2021-2022","The Bays at Innovacorp","Prism Lighting Group","Rechargeable lithium-ion packs for the exhibit industry"
"2021-2022","The Bays at Innovacorp","Rayleigh Solar Tech","Perovskite solar cell technology"
"2021-2022","The Bays at Innovacorp","Rimot","Technologies for monitoring and managing remote business-critical infrastructure (e.g., radio towers) to minimize downtime, disruptions and maintenance costs"
"2021-2022","The Bays at Innovacorp","Sona Nanotech","Bio-compatible gold nanorod technology for use in diagnostic testing for diseases and other medical applications"
"2021-2022","The Bays at Innovacorp","Tesla Motors Canada","Battery-related research and development"
