"service","region","office_address","postal_code","tollfree","phone","fax"
"Debtor Assistance","Port Hawkesbury","218 MacSween Street, Suite 22, Provincial Building","B9A 2J9","1-800-670-4357","n/a","n/a"
"Consumer Complaints and Information","Port Hawkesbury","218 MacSween Street, Suite 22, Provincial Building","B9A 2J9","1-800-670-4357","n/a","n/a"
"Vital Statistics","Port Hawkesbury","218 MacSween Street, Suite 22, Provincial Building","B9A 2J9","1-800-670-4357","n/a","n/a"
"Residential Tenancies","Port Hawkesbury","218 MacSween Street, Suite 22, Provincial Building","B9A 2J9","1-800-670-4357","n/a","n/a"
"Registry of Motor Vehicles","Port Hawkesbury","218 MacSween Street, Suite 22, Provincial Building","B9A 2J9","1-800-898-7668","n/a","n/a"
"Registry of Motor Vehicles","Port Hawkesbury","218 MacSween Street, Suite 22, Provincial Building","B9A 2J9","1-800-898-7668","n/a","n/a"
"Road Test","Port Hawkesbury","218 MacSween Street, Suite 22, Provincial Building","B9A 2J9","1-800-898-7668","n/a","n/a"
"Road Test","Port Hawkesbury","218 MacSween Street, Suite 22, Provincial Building","B9A 2J9","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Port Hawkesbury","218 MacSween Street, Suite 22, Provincial Building","B9A 2J9","1-800-898-7668","n/a","n/a"
"Driver Examination & Testing","Port Hood","n/a","n/a","n/a","n/a","n/a"
"Road Test","Saulnierville","n/a","n/a","1-800-898-7668","n/a","n/a"
"Registry of Motor Vehicles","Sheet Harbour","22756 #7 Highway, Suite 212","B0J 3B0","1-800-898-7668","n/a","n/a"
"Road Test","Sheet Harbour","22756 #7 Highway, Suite 212","B0J 3B0","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Sheet Harbour","22756 #7 Highway, Suite 212","B0J 3B0","1-800-898-7668","n/a","n/a"
"Registry of Motor Vehicles","Shelburne","136 Hammond Street, 3rd Floor, Shelburne, NS","B0T 1W0","1-800-898-7668","902-875-8659","n/a"
"Road Test","Shelburne","136 Hammond Street, 3rd Floor, Shelburne, NS","B0T 1W0","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Shelburne","136 Hammond Street, 3rd Floor, Shelburne, NS","B0T 1W0","1-800-898-7668","n/a","n/a"
"Road Test","Springhill","Town of Springhill Office, 4 3 Main Street","B0M 1X0","1-800-898-7668","n/a","n/a"
"Registry of Joint Stock Companies","Stellarton","94 Lawrence Blvd","B0K 1S0","1-800-670-4357","n/a","n/a"
"Business Licensing and Registration","Stellarton","94 Lawrence Blvd","B0K 1S0","1-800-670-4357","n/a","n/a"
"Debtor Assistance","Stellarton","94 Lawrence Blvd","B0K 1S0","1-800-670-4357","n/a","n/a"
"Consumer Complaints and Information","Stellarton","94 Lawrence Blvd","B0K 1S0","1-800-670-4357","n/a","n/a"
"Vital Statistics","Stellarton","94 Lawrence Blvd","B0K 1S0","1-800-670-4357","n/a","n/a"
"Residential Tenancies","Stellarton","94 Lawrence Blvd","B0K 1S0","1-800-670-4357","n/a","n/a"
"Registry of Motor Vehicles","Stellarton","94 Lawrence Blvd","B0K 1S0","1-800-898-7668","n/a","n/a"
"Registry of Motor Vehicles","Stellarton","94 Lawrence Blvd","B0K 1S0","1-800-898-7668","n/a","n/a"
"Road Test","Stellarton","94 Lawrence Blvd","B0K 1S0","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Stellarton","94 Lawrence Blvd","B0K 1S0","1-800-898-7668","n/a","n/a"
"Registry of Joint Stock Companies","Sydney","Moxham Centre, 380 King's Road","B1S 1A8","1-800-670-4357","n/a","n/a"
"Business Licensing and Registration","Sydney","Moxham Centre, 380 King's Road","B1S 1A8","1-800-670-4357","n/a","n/a"
"Debtor Assistance","Sydney","Moxham Centre, 380 King's Road","B1S 1A8","1-800-670-4357","n/a","n/a"
"Consumer Complaints and Information","Sydney","Moxham Centre, 380 King's Road","B1S 1A8","1-800-670-4357","n/a","n/a"
"Vital Statistics","Sydney","Moxham Centre, 380 King's Road","B1S 1A8","1-800-670-4357","n/a","n/a"
"Residential Tenancies","Sydney","Moxham Centre, 380 King's Road","B1S 1A8","1-800-670-4357","n/a","n/a"
"Land Registration","Sydney","Moxham Centre, 380 King's Road","B1S 1A8","1-800-670-4357","902-563-0503","n/a"
"Registry of Motor Vehicles","Sydney","Moxham Centre, 380 King's Road","B1S 1A8","1-800-898-7668","902-563-0504","n/a"
"Registry of Motor Vehicles","Sydney","Moxham Centre, 380 King's Road","B1S 1A8","1-800-898-7668","n/a","n/a"
"Road Test","Sydney","Moxham Centre, 380 King's Road","B1S 1A8","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Sydney","Moxham Centre, 380 King's Road","B1S 1A8","1-800-898-7668","n/a","n/a"
"Registry of Joint Stock Companies","Truro","15 Alderbrook Drive","B6L 0C4","1-800-670-4357","n/a","n/a"
"Business Licensing and Registration","Truro","15 Alderbrook Drive","B6L 0C4","1-800-670-4357","n/a","n/a"
"Debtor Assistance","Truro","15 Alderbrook Drive","B6L 0C4","1-800-670-4357","n/a","n/a"
"Consumer Complaints and Information","Truro","15 Alderbrook Drive","B6L 0C4","1-800-670-4357","n/a","n/a"
"Vital Statistics","Truro","15 Alderbrook Drive","B6L 0C4","1-800-670-4357","n/a","n/a"
"Residential Tenancies","Truro","15 Alderbrook Drive","B6L 0C4","1-800-670-4357","n/a","n/a"
"Registry of Motor Vehicles","Truro","15 Alderbrook Drive","B6L 0C4","1-800-898-7668","902-893-6147","n/a"
"Registry of Motor Vehicles","Truro","15 Alderbrook Drive","B6L 0C4","1-800-898-7668","902-893-6147","n/a"
"Road Test","Truro","15 Alderbrook Drive","B6L 0C4","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Truro","15 Alderbrook Drive","B6L 0C4","1-800-898-7668","n/a","n/a"
"Registry of Motor Vehicles","Windsor","80 Water Street","B0N 2T0","1-800-898-7668","n/a","n/a"
"Road Test","Windsor","80 Water Street","B0N 2T0","1-800-898-7668","n/a","n/a"
"Registry of Joint Stock Companies","Yarmouth","10 Starrs Road, Suite 127, Provincial Building","B5A 2T1","1-800-670-4357","n/a","n/a"
"Business Licensing and Registration","Yarmouth","10 Starrs Road, Suite 127, Provincial Building","B5A 2T1","1-800-670-4357","n/a","n/a"
"Debtor Assistance","Yarmouth","10 Starrs Road, Suite 127, Provincial Building","B5A 2T1","1-800-670-4357","n/a","n/a"
"Consumer Complaints and Information","Yarmouth","10 Starrs Road, Suite 127, Provincial Building","B5A 2T1","1-800-670-4357","n/a","n/a"
"Vital Statistics","Yarmouth","10 Starrs Road, Suite 127, Provincial Building","B5A 2T1","1-800-670-4357","n/a","n/a"
"Residential Tenancies","Yarmouth","10 Starrs Road, Suite 127, Provincial Building","B5A 2T1","1-800-670-4357","n/a","n/a"
"Registry of Motor Vehicles","Yarmouth","10 Starrs Road, Suite 127, Provincial Building","B5A 2T1","1-800-898-7668","902-742-0755","n/a"
"Registry of Motor Vehicles","Yarmouth","10 Starrs Road, Suite 127, Provincial Building","B5A 2T1","1-800-898-7668","902-742-0755","n/a"
"Road Test","Yarmouth","10 Starrs Road, Suite 127, Provincial Building","B5A 2T1","1-800-898-7668","n/a","n/a"
"Learner's / Knowledge Test","Yarmouth","10 Starrs Road, Suite 127, Provincial Building","B5A 2T1","1-800-898-7668","n/a","n/a"
