"fund_name","revenue_category","org_description","object_description","original_budget","revised_budget","fiscal_year","id"
"Electric Fund","Sales - Commercial","Elec Rev Comm/Industrial Sales","Sales Commercial Taxable","29867597.00","29867597.00","2016","2016-5211-500-80045-00000000-442     -4220"
"Electric Fund","Sales - Commercial","Electric Fd Revenue","Sales Commercial Nontaxable","11311487.00","11311487.00","2016","2016-5211-500-80045-00000000-00000000-4221"
"Electric Fund","Sales - Residential","Elec Rev Residential Sales","Sales Residential Taxable","56467738.00","56467738.00","2016","2016-5211-500-80045-00000000-440     -4210"
"Electric Fund","Transfers In-CIP","Electric Fd Revenue","Transfer In Electric CIP Fd","12231000","12231000","2016","2016-5211-500-80045-00000000-00000000-4890"
"Electric Projects Fund","Investment Earnings","Electric CIP Fd Non Dept Rev","Investment Income","10000.00","10000.00","2016","2016-4237-910-89000-00000000-00000000-4030"
"Employee Benefits Fund","Investment Earnings","Empl Ben Ins Fd Revenue","Investment Income","16391.00","16391.00","2016","2016-2222-100-80010-00000000-00000000-4030"
"Employee Benefits Fund","Other Revenue","Empl Ben Ins Fd Revenue","Misc Operating Revenues","20000.00","20000.00","2016","2016-2222-100-80010-00000000-00000000-4590"
"Employee Benefits Fund","Premiums - City","Empl Ben Ins Fd Revenue","Ins Premiums AD&D","48373.00","48373.00","2016","2016-2222-100-80010-00000000-00000000-4671"
"Employee Benefits Fund","Premiums - City","Empl Ben Ins Fd Revenue","Ins Premiums Health City Paid","7576140.00","7576140.00","2016","2016-2222-100-80010-00000000-00000000-4674"
"Employee Benefits Fund","Premiums - City","Empl Ben Ins Fd Revenue","Ins Premiums Life Insurance","297767.00","297767.00","2016","2016-2222-100-80010-00000000-00000000-4677"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Accident Ins","100636.00","100636.00","2016","2016-2222-100-80010-00000000-00000000-4670"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Cobra","25000.00","25000.00","2016","2016-2222-100-80010-00000000-00000000-4672"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Critical Illness","90224.00","90224.00","2016","2016-2222-100-80010-00000000-00000000-4673"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Health Dependents","1792985.00","1792985.00","2016","2016-2222-100-80010-00000000-00000000-4675"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Life Ins Depends","30224.00","30224.00","2016","2016-2222-100-80010-00000000-00000000-4678"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Long Term Care","2861.00","2861.00","2016","2016-2222-100-80010-00000000-00000000-4679"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums ST Disability","69122.00","69122.00","2016","2016-2222-100-80010-00000000-00000000-4681"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Vision","88836.00","88836.00","2016","2016-2222-100-80010-00000000-00000000-4683"
"Equipment Replacement Fund","Gain (loss) on asset","Equip Repl Fd Non Dept Rev","Proceeds from Sale of Property","100000","100000","2016","2016-2225-910-89000-00000000-00000000-4770"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Copier Repl","55659.00","55659.00","2016","2016-2225-910-89000-00000000-00000000-4650"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Drainage","152400.00","152400.00","2016","2016-2225-910-89000-00000000-00000000-4651"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Electric","565465.00","565465.00","2016","2016-2225-910-89000-00000000-00000000-4652"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Fleet Maint","19775.00","19775.00","2016","2016-2225-910-89000-00000000-00000000-4653"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept General Fund","3676781.00","3676781.00","2016","2016-2225-910-89000-00000000-00000000-4654"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept MDT Replace","123476.00","123476.00","2016","2016-2225-910-89000-00000000-00000000-4655"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Mob Vid Cam","70985.00","70985.00","2016","2016-2225-910-89000-00000000-00000000-4656"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept NG Parking","6375.00","6375.00","2016","2016-2225-910-89000-00000000-00000000-4657"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Sanitation","979121.00","979121.00","2016","2016-2225-910-89000-00000000-00000000-4658"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept UCS","34825.00","34825.00","2016","2016-2225-910-89000-00000000-00000000-4659"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept UPS Replace","40449.00","40449.00","2016","2016-2225-910-89000-00000000-00000000-4660"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Virtual Serv","85056.00","85056.00","2016","2016-2225-910-89000-00000000-00000000-4664"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Wastewater","394077.00","394077.00","2016","2016-2225-910-89000-00000000-00000000-4661"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Water","198475.00","198475.00","2016","2016-2225-910-89000-00000000-00000000-4662"
"Equipment Replacement Fund","Investment Earnings","Equip Repl Fd Non Dept Rev","Investment Income","20600.00","20600.00","2016","2016-2225-910-89000-00000000-00000000-4030"
"Fleet Maintenance Fund","Interdept Charges","Fleet Fd Revenue","Charges Interdept Fleet Maint","2033608.00","2033608.00","2016","2016-2227-440-80040-00000000-00000000-4653"
"Fleet Maintenance Fund","Investment Earnings","Fleet Fd Revenue","Investment Income","404.00","404.00","2016","2016-2227-440-80040-00000000-00000000-4030"
"Fleet Maintenance Fund","Other Revenue","Fleet Fd Revenue","Other Fees","100000.00","100000.00","2016","2016-2227-440-80040-00000000-00000000-4280"
"General Fund","Ad Valorem Taxes","Genl Fd GG Revenue","Tax Current Ad Valorem","18155815.00","18155815.00","2016","2016-1001-100-80010-00000000-00000000-4110"
"General Fund","Ad Valorem Taxes","Genl Fd GG Revenue","Tax Delinquent Ad Valorem","70000.00","70000.00","2016","2016-1001-100-80010-00000000-00000000-4111"
"General Fund","Ad Valorem Taxes","Genl Fd GG Revenue","Tax Penal/Interest Ad Valorem","42000.00","42000.00","2016","2016-1001-100-80010-00000000-00000000-4112"
"General Fund","Charges for Services","Genl Fd Adamson Lagoon","Concessions Adamson Pool","10000","10000","2016","2016-1001-530-81125-AQ733   -00000000-4580"
"General Fund","Charges for Services","Genl Fd Adamson Lagoon","PARD Recreation Programs","200000.00","200000.00","2016","2016-1001-530-81125-AQ733   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Adult Kickball","PARD Recreation Programs","21000.00","21000.00","2016","2016-1001-530-81125-SP758   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Adult Softball","Concessions Adult Softball","15000","15000","2016","2016-1001-530-81125-SP752   -00000000-4581"
"General Fund","Charges for Services","Genl Fd Adult Softball","PARD Recreation Programs","95000.00","95000.00","2016","2016-1001-530-81125-SP752   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Adult Volleyball","PARD Recreation Programs","19000.00","19000.00","2016","2016-1001-530-81125-SP753   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Aquatics Admin","PARD Aquatics Jr Lifeguard","1000.00","1000.00","2016","2016-1001-530-81125-AQ730   -00000000-4481"
"General Fund","Charges for Services","Genl Fd Aquatics Admin","PARD Aquatics Lifeguard Train","7500.00","7500.00","2016","2016-1001-530-81125-AQ730   -00000000-4482"
"General Fund","Charges for Services","Genl Fd Challenger Sports","PARD Recreation Programs","1000.00","1000.00","2016","2016-1001-530-81125-SP759   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Administration Fees","1061.00","1061.00","2016","2016-1001-420-80025-00000000-00000000-4360"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Auto Fire Alarm","5306.00","5306.00","2016","2016-1001-420-80025-00000000-00000000-4361"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Auto Hood Test","1433.00","1433.00","2016","2016-1001-420-80025-00000000-00000000-4362"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Daycare Centers","902.00","902.00","2016","2016-1001-420-80025-00000000-00000000-4363"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire EMS Athletic Standbys","20210.00","20210.00","2016","2016-1001-420-80025-00000000-00000000-4350"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire EMS Transport (County)","163200.00","163200.00","2016","2016-1001-420-80025-00000000-00000000-4354"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire EMS Transport   Emergicon","1683000.00","1683000.00","2016","2016-1001-420-80025-00000000-00000000-4352"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire EMS Transport   NRS","31.00","31.00","2016","2016-1001-420-80025-00000000-00000000-4353"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Fire Sprinkler/Standpipe","13265.00","13265.00","2016","2016-1001-420-80025-00000000-00000000-4364"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Foster Homes","583.00","583.00","2016","2016-1001-420-80025-00000000-00000000-4365"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Fuel Line Leak","1274.00","1274.00","2016","2016-1001-420-80025-00000000-00000000-4366"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Health Care Facilities","1274.00","1274.00","2016","2016-1001-420-80025-00000000-00000000-4368"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Mowing Charges","3714.00","3714.00","2016","2016-1001-420-80025-00000000-00000000-4369"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Nursing Homes","318.00","318.00","2016","2016-1001-420-80025-00000000-00000000-4370"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Revenue Rescue","20400.00","20400.00","2016","2016-1001-420-80025-00000000-00000000-4371"
"General Fund","Charges for Services","Genl Fd GG Revenue","CSO Certificate Searches","46920.00","46920.00","2016","2016-1001-100-80010-00000000-00000000-4390"
"General Fund","Charges for Services","Genl Fd GG Revenue","CSO Notary Fee","53.00","53.00","2016","2016-1001-100-80010-00000000-00000000-4391"
"General Fund","Charges for Services","Genl Fd GG Revenue","CSO Postage/Certificate Mail","520.00","520.00","2016","2016-1001-100-80010-00000000-00000000-4392"
"General Fund","Charges for Services","Genl Fd GG Revenue","CSO Xerox/Repro Charges","265.00","265.00","2016","2016-1001-100-80010-00000000-00000000-4393"
"General Fund","Charges for Services","Genl Fd Lincoln Center","PARD Recreation Programs","25000.00","25000.00","2016","2016-1001-530-81125-CT850   -00000000-4480"
"General Fund","Charges for Services","Genl Fd PARD Revenue","Concessions WPC","3130","3130","2016","2016-1001-530-80060-00000000-00000000-4585"
"General Fund","Charges for Services","Genl Fd PARD Revenue","PARD Grave Open/Close Fee","155.00","155.00","2016","2016-1001-530-80060-00000000-00000000-4492"
"General Fund","Charges for Services","Genl Fd PARD Revenue","PARD Heritage Programs","2000.00","2000.00","2016","2016-1001-530-80060-00000000-00000000-4490"
"General Fund","Charges for Services","Genl Fd PARD Revenue","PARD Post Burial Fees","32000.00","32000.00","2016","2016-1001-530-80060-00000000-00000000-4493"
"General Fund","Charges for Services","Genl Fd PARD Revenue","PARD Tournament Fees","75000.00","75000.00","2016","2016-1001-530-80060-00000000-00000000-4483"
"General Fund","Charges for Services","Genl Fd PARD Revenue","PARD WPC Ticket Sales (NT)","6000.00","6000.00","2016","2016-1001-530-80060-00000000-00000000-4494"
"General Fund","Charges for Services","Genl Fd PD Revenue","False Alarms","26010.00","26010.00","2016","2016-1001-410-80020-00000000-00000000-4312"
"General Fund","Charges for Services","Genl Fd PD Revenue","Police Arrest Fees","92700.00","92700.00","2016","2016-1001-410-80020-00000000-00000000-4310"
"General Fund","Charges for Services","Genl Fd PD Revenue","Police Escort Services","27540.00","27540.00","2016","2016-1001-410-80020-00000000-00000000-4311"
"General Fund","Charges for Services","Genl Fd PD Revenue","Police Fingerprinting","3672.00","3672.00","2016","2016-1001-410-80020-00000000-00000000-4313"
"General Fund","Charges for Services","Genl Fd PD Revenue","Police Police Reports","7650.00","7650.00","2016","2016-1001-410-80020-00000000-00000000-4315"
"General Fund","Charges for Services","Genl Fd PD Revenue","Police Records Check","530.00","530.00","2016","2016-1001-410-80020-00000000-00000000-4317"
"General Fund","Charges for Services","Genl Fd P&DS Revenue","P&DS Misc Fees","373553.00","373553.00","2016","2016-1001-430-80030-00000000-00000000-4479"
"General Fund","Charges for Services","Genl Fd Southwood Pool","PARD Recreation Programs","60000.00","60000.00","2016","2016-1001-530-81125-AQ731   -00000000-4480"
"General Fund","Charges for Services","Genl Fd SW Center   Senior","PARD Recreation Programs","8500.00","8500.00","2016","2016-1001-530-81125-CT830   -00000000-4480"
"General Fund","Charges for Services","Genl Fd SW Center   Teen","PARD Recreation Programs","650.00","650.00","2016","2016-1001-530-81125-CT840   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Swim Lessons","PARD Recreation Programs","100000.00","100000.00","2016","2016-1001-530-81125-AQ736   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Swim Team","PARD Recreation Programs","30000.00","30000.00","2016","2016-1001-530-81125-AQ738   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Tennis Instruction","PARD Recreation Programs","10000.00","10000.00","2016","2016-1001-530-81125-SP760   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Thomas Pool","PARD Recreation Programs","20000.00","20000.00","2016","2016-1001-530-81125-AQ732   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Water Fitness","PARD Recreation Programs","1000.00","1000.00","2016","2016-1001-530-81125-AQ737   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Xtra Education","PARD Recreation Programs","55000.00","55000.00","2016","2016-1001-530-81125-XT794   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Youth Basketball","PARD Recreation Programs","55000.00","55000.00","2016","2016-1001-530-81125-SP754   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Youth Flag Football","PARD Recreation Programs","25000.00","25000.00","2016","2016-1001-530-81125-SP755   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Youth Volleyball","PARD Recreation Programs","15000.00","15000.00","2016","2016-1001-530-81125-SP757   -00000000-4480"
"General Fund","Contribution Revenue","Genl Fd Fire Revenue","Contributions/Sponsorships","520.00","520.00","2016","2016-1001-420-80025-00000000-00000000-4573"
"General Fund","Contribution Revenue","Genl Fd PARD Revenue","Contributions/Sponsorships","5121.00","5121.00","2016","2016-1001-530-80060-00000000-00000000-4573"
"General Fund","Contribution Revenue","Genl Fd PD Revenue","Contributions/Sponsorships","5306.00","5306.00","2016","2016-1001-410-80020-00000000-00000000-4573"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court City Omni","19633.00","19633.00","2016","2016-1001-300-80015-00000000-00000000-4410"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court Court Dismissal Fees","10404.00","10404.00","2016","2016-1001-300-80015-00000000-00000000-4411"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court Expungement Fee","212.00","212.00","2016","2016-1001-300-80015-00000000-00000000-4412"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court FTA Warrant Services","416.00","416.00","2016","2016-1001-300-80015-00000000-00000000-4413"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court General Admin Fees","47858.00","47858.00","2016","2016-1001-300-80015-00000000-00000000-4414"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court Notary Fees","212.00","212.00","2016","2016-1001-300-80015-00000000-00000000-4416"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court Teen Court Admin Fees","1062.00","1062.00","2016","2016-1001-300-80015-00000000-00000000-4417"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court Time Pmt Fee/Unreserved","31836.00","31836.00","2016","2016-1001-300-80015-00000000-00000000-4419"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court Warrant Service Fee","122039.00","122039.00","2016","2016-1001-300-80015-00000000-00000000-4421"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties Bond Forfeits","3745.00","3745.00","2016","2016-1001-300-80015-00000000-00000000-4430"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties ChldSafeT Seat","33293.00","33293.00","2016","2016-1001-300-80015-00000000-00000000-4432"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties Chld Safety Fd","32252.00","32252.00","2016","2016-1001-300-80015-00000000-00000000-4431"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties CityPrkg Fines","106.00","106.00","2016","2016-1001-300-80015-00000000-00000000-4433"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties CivilPrkg Fine","1062.00","1062.00","2016","2016-1001-300-80015-00000000-00000000-4434"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties Miscellaneous","93840.00","2643840.00","2016","2016-1001-300-80015-00000000-00000000-4435"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties Traffic Fines","31212.00","31212.00","2016","2016-1001-300-80015-00000000-00000000-4437"
"General Fund","Intergovernmental","Genl Fd Fire Revenue","Grants Federal","317003.00","317003.00","2016","2016-1001-420-80025-00000000-00000000-4610"
"General Fund","Intergovernmental","Genl Fd Fire Revenue","Grants State","196200.00","196200.00","2016","2016-1001-420-80025-00000000-00000000-4620"
"General Fund","Intergovernmental","Genl Fd Fire Revenue","Other Intergovtal Reimb Costs","40000.00","40000.00","2016","2016-1001-420-80025-00000000-00000000-4636"
"General Fund","Intergovernmental","Genl Fd SW Center   Senior","Grants Federal","7000.00","7000.00","2016","2016-1001-530-81125-CT830   -00000000-4610"
"General Fund","Investment Earnings","Genl Fd GG Revenue","Investment Income","62220.00","62220.00","2016","2016-1001-100-80010-00000000-00000000-4030"
"General Fund","Licenses & Permits","Genl Fd Fire Revenue","License/Permit Ambulance Lic","1236.00","1236.00","2016","2016-1001-420-80025-00000000-00000000-4450"
"General Fund","Licenses & Permits","Genl Fd GG Revenue","License/Permit Mixed Drink","36050.00","36050.00","2016","2016-1001-100-80010-00000000-00000000-4462"
"General Fund","Licenses & Permits","Genl Fd PD Revenue","License/Permit Child Safe Prog","100000.00","100000.00","2016","2016-1001-410-80020-00000000-00000000-4453"
"General Fund","Licenses & Permits","Genl Fd PD Revenue","License/Permit Itinerant Vend","4120.00","4120.00","2016","2016-1001-410-80020-00000000-00000000-4455-"
"General Fund","Licenses & Permits","Genl Fd PD Revenue","License/Permit Wrecker Lic","2780.00","2780.00","2016","2016-1001-410-80020-00000000-00000000-4466"
"General Fund","Licenses & Permits","Genl Fd P&DS Revenue","P&DS Contractor Reg","27873.00","27873.00","2016","2016-1001-430-80030-00000000-00000000-4451"
"General Fund","Licenses & Permits","Genl Fd P&DS Revenue","P&DS Permits","904760.00","904760.00","2016","2016-1001-430-80030-00000000-00000000-4452"
"General Fund","Licenses & Permits","Genl Fd P&DS Revenue","Rental Registration","82000.00","82000.00","2016","2016-1001-430-80030-00000000-00000000-4465"
"General Fund","Misc Non-Operating","Genl Fd Fire Revenue","Reimbursed Expenses","18000.00","18000.00","2016","2016-1001-420-80025-00000000-00000000-4545"
"General Fund","Misc Non-Operating","Genl Fd Fiscal Dept Rev","Collection Service Fees","795.00","795.00","2016","2016-1001-300-80015-00000000-00000000-4020"
"General Fund","Misc Non-Operating","Genl Fd GG Revenue","Cash Over/Short","1530.00","1530.00","2016","2016-1001-100-80010-00000000-00000000-4010"
"General Fund","Misc Non-Operating","Genl Fd GG Revenue","Misc Nonoperating Revenue","74201.00","74201.00","2016","2016-1001-100-80010-00000000-00000000-4790"
"General Fund","Misc Non-Operating","Genl Fd GG Revenue","Reimbursed Expenses","5202.00","5202.00","2016","2016-1001-100-80010-00000000-00000000-4545"
"General Fund","Misc Non-Operating","Genl Fd GG Revenue","Sale of Scrap Metal","10925.00","10925.00","2016","2016-1001-100-80010-00000000-00000000-4781"
"General Fund","Misc Non-Operating","Genl Fd IT Revenue","Reimbursed Expenses","1061.00","1061.00","2016","2016-1001-600-80065-00000000-00000000-4545"
"General Fund","Misc Non-Operating","Genl Fd PARD Revenue","Reimbursed Expenses","8000.00","8000.00","2016","2016-1001-530-80060-00000000-00000000-4545"
"General Fund","Other Revenue","Genl Fd Fire Revenue","Restitution","4700.00","4700.00","2016","2016-1001-420-80025-00000000-00000000-4550"
"General Fund","Other Revenue","Genl Fd Fiscal Dept Rev","Misc Operating Revenues","2550000.00","0.00","2016","2016-1001-300-80015-00000000-00000000-4590"
"General Fund","Other Revenue","Genl Fd Fiscal Dept Rev","Other Fees Credit Card Conven","58262","58262","2016","2016-1001-300-80015-00000000-00000000-4281"
"General Fund","Other Revenue","Genl Fd GG Revenue","Misc Operating Revenues","640.00","640.00","2016","2016-1001-100-80010-00000000-00000000-4590"
"General Fund","Other Revenue","Genl Fd PARD Revenue","Misc Operating Revenues","3000.00","3000.00","2016","2016-1001-530-80060-00000000-00000000-4590"
"General Fund","Other Revenue","Genl Fd PD Revenue","Misc Operating Revenues","411793.00","101793.00","2016","2016-1001-410-80020-00000000-00000000-4590"
"General Fund","Other Revenue","Genl Fd PD Revenue","Other Fees Credit Card Conven","51","51","2016","2016-1001-410-80020-00000000-00000000-4281"
"General Fund","Other Revenue","Genl Fd PD Revenue","Police SRO Reimb","0.00","310000.00","2016","2016-1001-410-80020-00000000-00000000-4319-"
