"the_geom","block_face","globalidte","globalid","globalid_1","ns_ew","street_1","from_sor_1","to_nore_1","side_1","location_i","total_sp_1","spaces_by_","space_reg","order_","metered","limits","reg_code","definition","enforce_be","enforce_en","enforce_da","meter_rate","permit_typ","notes","feet","enforcebeg","enforceend","parkingt"
"MULTILINESTRING ((-122.2640123621766 37.79971716290259, -122.26420263793017 37.79979098605333))","130772","{C42E4F97-B594-4923-89AD-D689302E31D9}","{69A3F518-2BFF-4721-B18D-1C73E21EDF0A}","{69A3F518-2BFF-4721-B18D-1C73E21EDF0A}_4","E-W","12th","MADISON","OAK","South","12th from MADISON to OAK , South","12.0","2.0","Yellow Curb","4.0",,,,,,,,,,,"61.1953521412","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26825907132537 37.79967029832342, -122.26831680784541 37.79969393433257, -122.26856163119537 37.79978952909014))","130779","{1AD39C8C-3FE6-4F8D-B382-25F4D0B89F86}","{4D74C419-8B02-4B52-B9D5-918E6BC6BD47}","{4D74C419-8B02-4B52-B9D5-918E6BC6BD47}_4","E-W","10th","HARRISON","ALICE","South","10th from HARRISON to ALICE , South","8.0","3.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"97.6070074742","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26474348535537 37.800153642257996, -122.26422528663952 37.79995247319439))","130834","{26F3EDB3-CA6A-47F2-A322-9E39227E9E93}","{F27FF5E0-7F62-4339-B6FA-250777D94FCA}","{F27FF5E0-7F62-4339-B6FA-250777D94FCA}_3","E-W","12th","OAK","MADISON","North","12th from OAK to MADISON , North","9.0","8.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"166.678384086","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26922003062592 37.80020145332237, -122.26835907496647 37.799863691699876))","130842","{06D046BD-7E01-4073-9F29-058B22A6CF7C}","{DF0AA709-87E3-483E-9F37-6A264EB228FB}","{DF0AA709-87E3-483E-9F37-6A264EB228FB}_1","E-W","10th","ALICE","HARRISON","North","10th from ALICE to HARRISON , North","20.0","20.0","Meter","1.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"277.493574232","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26704406486941 37.80005952810841, -122.26744706815836 37.80021595348296))","130912","{5CB726C1-6346-4962-9128-5371F31E9049}","{A9B84888-7199-4DA6-A2B8-3F732A788A3B}","{A9B84888-7199-4DA6-A2B8-3F732A788A3B}_2","E-W","11th","ALICE","JACKSON","South","11th from ALICE to JACKSON , South","11.0","7.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"129.621889463","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26760082900441 37.80042854275079, -122.26699906286694 37.80019494581714))","130953","{5C478DE8-EC35-45CC-B89B-FC371AD5A5AA}","{01A2CDB0-8BBE-4640-87AA-101FF44F2898}","{01A2CDB0-8BBE-4640-87AA-101FF44F2898}_3","E-W","11th","JACKSON","ALICE","North","11th from JACKSON to ALICE , North","11.0","6.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"193.555073175","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.2654345929007 37.800272081863504, -122.26591398434819 37.80046137717625))","130990","{CB358AA2-9C6B-496D-A5F8-FB09ECDAB7FC}","{25D022CC-B05F-4FD4-AA3C-921C810DC06A}","{25D022CC-B05F-4FD4-AA3C-921C810DC06A}_2","E-W","12th","JACKSON","MADISON","South","12th from JACKSON to MADISON , South","10.0","6.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"154.709760137","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26957588475098 37.800189589617425, -122.26979333364362 37.8002767417378))","131011","{858CA43B-A188-454E-88EC-017CDF28C9AD}","{79D8A65F-7C83-4E60-96DC-F7C01DD92E40}","{79D8A65F-7C83-4E60-96DC-F7C01DD92E40}_5","E-W","10th","WEBSTER ST","HARRISON","South","10th from WEBSTER ST to HARRISON , South","13.0","3.0","Yellow Curb","5.0",,,,,,,,,,,"70.3858164864","","",
"MULTILINESTRING ((-122.2659302606699 37.800621095236195, -122.26511071520648 37.8002956729623))","131049","{ABAA2FAF-36BE-44B3-A3C7-13A0F5A1404F}","{947B420D-2E40-4ED2-981D-7ACB15D4ED73}","{947B420D-2E40-4ED2-981D-7ACB15D4ED73}_2","E-W","12th","MADISON","JACKSON","North","12th from MADISON to JACKSON , North","11.0","10.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"264.778966515","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26993412839471 37.800488175507546, -122.2693762988578 37.800261820911444))","131072","{484EB437-CBA7-4F94-AF9F-167DB681D7E5}","{0EAB120D-C6A0-45D9-B90F-909F1020EEFA}","{0EAB120D-C6A0-45D9-B90F-909F1020EEFA}_1","E-W","10th","HARRISON","WEBSTER","North","10th from HARRISON to WEBSTER , North","12.0","7.0","Meter","1.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"181.021675287","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26796395490052 37.80041922897081, -122.26853091865279 37.800638865515914))","131119","{19C02D8C-8081-47AB-A9DE-B62F48D03192}","{7D4189D5-4740-4110-851A-532B7A1ED6C1}","{7D4189D5-4740-4110-851A-532B7A1ED6C1}_2","E-W","11th","HARRISON","ALICE","South","11th from HARRISON to ALICE , South","8.0","8.0","Meter","2.0","Y","2-hr",,,,,"Mon - Sat","$2.00 per hour",,,"182.28858684","","",
"MULTILINESTRING ((-122.26877964054103 37.800888013910004, -122.26815896307019 37.80064430233009))","131174","{BF990BB5-0C04-4E8B-8AD9-6BB85CCC4D86}","{237CA7C5-6CEB-4D2D-A8D3-F02942E0B9C0}","{237CA7C5-6CEB-4D2D-A8D3-F02942E0B9C0}_3","E-W","11th","ALICE","HARRISON","North","11th from ALICE to HARRISON , North","9.0","6.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"200.082691152","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26730168697578 37.800915381097184, -122.26753762084607 37.80053141176356))","131236","{B1DC0BDA-6435-4213-8118-96F68CA4B17E}","{D119F2EF-337A-48E5-B8AA-07C97C6F50AE}","{D119F2EF-337A-48E5-B8AA-07C97C6F50AE}_2","N-S","ALICE","11th","12th","East","ALICE from 11th to 12th , East","8.0","7.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"155.544380115","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26626967723342 37.80060372545416, -122.26702030260537 37.800909525177794))","131237","{CAF9C919-4954-4C12-8757-629A7684DF56}","{4802277B-3BE9-4A6C-90BD-0E308A7654A7}","{4802277B-3BE9-4A6C-90BD-0E308A7654A7}_2","E-W","12th","ALICE","JACKSON","South","12th from ALICE to JACKSON , South","10.0","10.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"243.786415536","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26759563160893 37.800749495448315, -122.26740304782658 37.80106373244708))","131265","{EEB90F6D-E722-44AE-AD42-087BC6B78B6F}","{EACC73A9-0095-4689-9839-D706C5A8061D}","{EACC73A9-0095-4689-9839-D706C5A8061D}_1","N-S","ALICE","12th","11th","West","ALICE from 12th to 11th , West","8.0","6.0","Meter","1.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"127.232505855","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.266997401938 37.801054534307646, -122.26637674771492 37.800801690369504))","131290","{89C91D6D-796D-4CE0-BC5E-BBF13CA2FBC5}","{99C84167-1E9E-4473-A96C-C9B8CC068077}","{99C84167-1E9E-4473-A96C-C9B8CC068077}_2","E-W","12th","JACKSON","ALICE","North","12th from JACKSON to ALICE , North","10.0","10.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"201.57324507","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.2647166044879 37.80085217370278, -122.2649159872525 37.800929124380616))","131315","{32A66E69-1A55-4392-B062-7BAF26F9EE82}","{FC82F333-8519-48C0-B001-D5B54BDF5B01}","{FC82F333-8519-48C0-B001-D5B54BDF5B01}_7","E-W","13th","JACKSON","MADISON","South","13th from JACKSON to MADISON , South","7.0","3.0","Meter","7.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"64.0587348117","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.2690123077929 37.80082590924141, -122.26955242716191 37.80103602358684))","131324","{A9B0E81D-557F-4947-AE8D-F9DAEF691457}","{92ECCD8F-897C-4F21-9BDD-880C031F93FA}","{92ECCD8F-897C-4F21-9BDD-880C031F93FA}_3","E-W","11th","WEBSTER ST","HARRISON","South","11th from WEBSTER ST to HARRISON , South","12.0","7.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"173.797249131","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26548426341016 37.80130668070363, -122.26471167045811 37.8010038640642))","131359","{80AE11A6-C736-42BB-8FF2-1E3239D0B23B}","{FF397D9F-97F5-4FA8-A8C8-612CE8FDBCCC}","{FF397D9F-97F5-4FA8-A8C8-612CE8FDBCCC}_2","E-W","13th","MADISON","JACKSON","North","13th from MADISON to JACKSON , North","13.0","13.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"248.965408558","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26996746936649 37.8013560565386, -122.26893486852383 37.80094870034757))","131372","{8609E4D6-1E09-4826-BA4F-56363642E9E6}","{12BE2436-8C8F-4695-B835-724A9709E588}","{12BE2436-8C8F-4695-B835-724A9709E588}_","E-W","11th","HARRISON","WEBSTER","North","11th from HARRISON to WEBSTER , North","9.0","9.0","Meter","0.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"333.177269125","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26321265112169 37.80112484226711, -122.26379655192063 37.80134957379555))","131405","{E4ECAABF-0651-4449-9F25-0A4654F2F082}","{90172484-65C8-4734-8592-4222F05F0E24}","{90172484-65C8-4734-8592-4222F05F0E24}_3","E-W","14th","MADISON","LAKESIDE/OAK","South","14th from MADISON to LAKESIDE/OAK , South","10.0","9.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"187.499072072","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26847491890719 37.80138255390436, -122.26877964054103 37.800888013910004))","131410","{00045104-6538-4A0C-A0DA-86C2CDF115E9}","{A0A6E2AC-5066-48B3-A29B-AAAAD08B7EF7}","{A0A6E2AC-5066-48B3-A29B-AAAAD08B7EF7}_1","N-S","HARRISON","11th","12th","East","HARRISON from 11th to 12th , East","4.0","4.0","Meter","1.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"200.443194662","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26791511987788 37.80126099785264, -122.26842806329502 37.80145859633471))","131411","{2C7CF851-2978-4883-88E5-C93CC8B5CB95}","{3BFE1432-AE3B-4870-ADBE-82F33AD221A6}","{3BFE1432-AE3B-4870-ADBE-82F33AD221A6}_1","E-W","12th","HARRISON","ALICE","South","12th from HARRISON to ALICE , South","12.0","6.0","Meter","1.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"164.741540068","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26893486852383 37.80094870034757, -122.26858342512678 37.801519067236036))","131434","{9C29D518-261A-4612-8924-282D6437E25A}","{579D6014-51D2-4EE2-8746-8307004F4712}","{579D6014-51D2-4EE2-8746-8307004F4712}_","N-S","HARRISON","12th","11th","West","HARRISON from 12th to 11th , West","5.0","5.0","Meter","0.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"231.176638981","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26377721938097 37.801498621548085, -122.26334830803309 37.801331692224586))","131452","{1439BEA2-D10D-4F08-B917-4123D13168B4}","{3498799E-65D2-4B82-A077-E92D6E08BB03}","{3498799E-65D2-4B82-A077-E92D6E08BB03}_4","E-W","14th","LAKESIDE/OAK","MADISON","North","14th from LAKESIDE/OAK to MADISON , North","11.0","7.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"138.024764112","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26800013302882 37.801446379638534, -122.26744223847574 37.8012314630789))","131456","{2539BD26-FB0B-490A-906C-376D237FDC54}","{194565AE-C1F8-4F2C-B576-1E1F825ABB84}","{194565AE-C1F8-4F2C-B576-1E1F825ABB84}_2","E-W","12th","ALICE","HARRISON","North","12th from ALICE to HARRISON , North","8.0","7.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"179.178777961","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26689805251345 37.80159760121465, -122.26703676878354 37.80135405178442))","131506","{BA5EE2A5-A509-4B79-8495-1C367DC4BB06}","{94DBDB90-1D33-4AEE-A4BC-D0CE84B05F01}","{94DBDB90-1D33-4AEE-A4BC-D0CE84B05F01}_3","N-S","ALICE","12th","13th","East","ALICE from 12th to 13th , East","6.0","5.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"97.317561975","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26588538274285 37.80131295840384, -122.2666322283683 37.801615068835474))","131507","{BBACDAF3-D4D7-4171-8CE5-4CAEB7DC6D7E}","{94B0A650-87EA-42E7-B221-9480A8173C29}","{94B0A650-87EA-42E7-B221-9480A8173C29}_2","E-W","13th","ALICE","JACKSON","South","13th from ALICE to JACKSON , South","12.0","12.0","Meter","2.0","Y","1-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"242.200534832","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.27076676428396 37.80151736896005, -122.27122490954163 37.80169934752464))","131509","{C1FD95CC-6441-4795-96AA-CEABE55AC437}","{13014575-2FE5-4872-AC07-09E31410A0FC}","{13014575-2FE5-4872-AC07-09E31410A0FC}_1","E-W","11th","FRANKLIN","WEBSTER ST","South","11th from FRANKLIN to WEBSTER ST , South","9.0","0.0","Bus Stop","1.0",,,,,,,,,,,"148.025616219","","",
"MULTILINESTRING ((-122.26727595672659 37.80127850368779, -122.26704655449673 37.801672215525834))","131532","{3951A997-6ABB-483B-86B4-344F1D5E56F0}","{C4E70D21-F4C1-43D7-867E-54C47EE29A83}","{C4E70D21-F4C1-43D7-867E-54C47EE29A83}_2","N-S","ALICE","13th","12th","West","ALICE from 13th to 12th , West","7.0","7.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"157.939219507","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.2665468118328 37.80173463738818, -122.26594293585337 37.80149036047456))","131560","{39B3D5D2-7063-4F68-8C1D-7AD69A578643}","{3467F321-2901-4E3C-B0B4-E42DD4006DAA}","{3467F321-2901-4E3C-B0B4-E42DD4006DAA}_2","E-W","13th","JACKSON","ALICE","North","13th from JACKSON to ALICE , North","7.0","7.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"195.835436769","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.27081619295858 37.80169118640065, -122.27033502404815 37.80150036700808))","131561","{85AAA8F0-CD17-4B1C-9781-36558D8C782A}","{36AF395D-33B3-42A5-BA3F-7EE05C41CDE4}","{36AF395D-33B3-42A5-BA3F-7EE05C41CDE4}_3","E-W","11th","WEBSTER","FRANKLIN","North","11th from WEBSTER to FRANKLIN , North","12.0","7.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"155.414949841","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26418724529778 37.80150685665355, -122.26457698122792 37.80165912540795))","131587","{223D25CE-F7AD-48FF-824E-32C4E006F1F7}","{4B9E822F-DE5B-4770-B253-72B45E086BF8}","{4B9E822F-DE5B-4770-B253-72B45E086BF8}_5","E-W","14th","JACKSON","MADISON","South","14th from JACKSON to MADISON , South","9.0","4.0","Meter","5.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"125.51193656","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26972292818316 37.80174594677397, -122.26984880864194 37.80154047423845))","131593","{8A8C4386-4585-40EB-8B31-FA5E348AC99A}","{C5E9911E-A385-4F92-A1FF-FEB218918462}","{C5E9911E-A385-4F92-A1FF-FEB218918462}_3","N-S","WEBSTER","11th","12th","East","WEBSTER from 11th to 12th , East","6.0","2.0","Yellow Curb","3.0",,,,,,,,,,,"83.1885560372","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26858342512678 37.801519067236036, -122.26929767381255 37.80179994911461))","131594","{E52A0FF6-EAFF-4DE0-80C0-17F0AE85087A}","{A512BE03-E057-41B3-AA54-7380AD6F2A1E}","{A512BE03-E057-41B3-AA54-7380AD6F2A1E}_3","E-W","12th","WEBSTER ST","HARRISON","South","12th from WEBSTER ST to HARRISON , South","14.0","10.0","Meter","3.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"230.313609733","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.27007435649139 37.80149382053806, -122.2699384735059 37.801710466184886))","131618","{6E067474-5521-409A-8F29-4870777C84F5}","{49BC76A4-E4D1-46E4-BED8-DED740AF26FF}","{49BC76A4-E4D1-46E4-BED8-DED740AF26FF}_4","N-S","WEBSTER","12th","11th","West","WEBSTER from 12th to 11th , West","9.0","4.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"88.1148039404","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26492996868743 37.801952956097935, -122.26422930142515 37.8016767531021))","131637","{E0A39726-15B6-4B90-9745-E9C92CED5AF2}","{8346ED41-5B41-4BAD-BBF2-DCBD745510B1}","{8346ED41-5B41-4BAD-BBF2-DCBD745510B1}_2","E-W","14th","MADISON","JACKSON","North","14th from MADISON to JACKSON , North","10.0","10.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"226.040982557","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.269492719263 37.80202982333833, -122.26912476280431 37.80188450733187))","131643","{348F3794-A1E2-42B7-BDD0-9CBD33012573}","{A66B0640-D75A-451F-89EB-18EF580A678E}","{A66B0640-D75A-451F-89EB-18EF580A678E}_4","E-W","12th","HARRISON","WEBSTER","North","12th from HARRISON to WEBSTER , North","10.0","6.0","Meter","4.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"118.748961659","8:00 AM","6:00 PM",
"MULTILINESTRING ((-122.26802228799299 37.802159681688025, -122.26831656215715 37.801648020398694))","131687","{9F4A5439-6028-4020-BE74-91AD8F53473E}","{2CDAAABD-DF6A-447D-B530-842EC4D47E12}","{2CDAAABD-DF6A-447D-B530-842EC4D47E12}_2","N-S","HARRISON","12th","13th","East","HARRISON from 12th to 13th , East","8.0","8.0","Meter","2.0","Y","2-hr",,,"1899-12-30T00:00:00.000","1899-12-30T00:00:00.000","Mon - Sat","$2.00 per hour",,,"204.790293373","8:00 AM","6:00 PM",
