"fiscal_year","request","dp_department","dv_division","bb_dp_dept","department_name","bb_sa_sort","service_area","or_org_number","org_number_and_name","fd_fund_number","fund_fund_numer","fund_number","fund_name","fund_number_and_name","fund_fund_number_and_name","pj_project","project_name","pg_program_number","program_number_and_name","order_account_category","category_name","expenditure_type","rev_or_exp","acct_number_and_name","ac_account_number","value"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30243","30243 - Right of Way Management","FD_4100","Fund 4100","4100","Equipment","4100 - Equipment","Fund 4100 - Equipment","PJ_1000725","1000725 - FUEL MGMT SYSTM MSC PLCE STN","PG_0000","PG_0000","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-547054.77"
"2015-2016","Existing","DP900 - Non Departmental and Port","DV904 - Debt Service","DP23 - Non-Departmental","Non-Departmental","DP2301","Debt/Lease Payments","OR_90411","90411 - Debt Service","FD_3100","Fund 3100","3100","Sewer Service Fund","3100 - Sewer Service Fund","Fund 3100 - Sewer Service Fund","PJ_1000021","1000021 - DP900 Administrative Project","PG_0000","PG_0000","16 - Debt Payments","Debt Payments","Non-Personnel Expenditures","Expense","58215 - Interest on Long-Term Debt","AC_58215","-385644.47"
"2015-2016","Existing","DP080 - Finance Department","DV087 - Treasury Division","DP09 - Finance Department","Finance Department","DV0904","Treasury","OR_08741","08741 - Treasury: Payroll","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000007","1000007 - DP080 Administrative Project","PG_IP59","IP59 - FINANCIAL MANAGEMENT","21 - Recoveries","Recoveries","Non-Personnel Expenditures","Expense","62236 - City Accounting Recoveries","AC_62236","-35050"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108010","108010 - District Command Administration","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS11","PS11 - PATROL AREA 1","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-363730.4"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2103","Environmental Services","OR_30689","30689 - Environmental Services: Energy Group","FD_7760","Fund 7760","7760","Grant Clearing","7760 - Grant Clearing","Fund 7760 - Grant Clearing","PJ_1001411","1001411 - PROJECT MGT CLEARING","PG_SC26","SC26 - SUSTAINABLE OAKLAND PROGRAM","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-359125.11"
"2015-2016","Existing","DP940 - Capital Improvement Projects","DV940 - Capital Improvement Projects: Not Public Works","DP24 - Capital Improvement Projects","Capital Improvement Projects","DV2400","Capital Improvement Projects","OR_94461","94461 - CIP Not PW: Communication and Information Services","FD_5510","Fund 5510","5510","Capital Reserves","5510 - Capital Reserves","Fund 5510 - Capital Reserves","PJ_1000437","1000437 - IBM MASTER LEASE C468130","PG_IP62","IP62 - TECHNOLOGY MANAGEMENT","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-184294.91"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2103","Environmental Services","OR_30682","30682 - Environmental Services: Recycling Solid Waste","FD_7760","Fund 7760","7760","Grant Clearing","7760 - Grant Clearing","Fund 7760 - Grant Clearing","PJ_1001411","1001411 - PROJECT MGT CLEARING","PG_SC17","SC17 - RECYCLING & SOLID WASTE","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-173553.12"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108010","108010 - District Command Administration","FD_2113","Fund 2113","2113","Department of Justice - COPS Hiring","2113 - Department of Justice - COPS Hiring","Fund 2113 - Department of Justice - COPS Hiring","PJ_1000761","1000761 - 2014 COPS HIRING PROGRAM","PG_PS11","PS11 - PATROL AREA 1","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-167598"
"2015-2016","Existing","DP850 - Economic and Workforce Development Department","DV854 - Economic Development","DP18 - Economic & Workforce Development","Economic & Workforce Development","DV1800","Business Development","OR_85411","85411 - Economic Development","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000147","1000147 - BUS IMPV DIST-NCR 1010-C138410","PG_SC11","SC11 - BUSINESS CREATION, ATTRACTION, RETENTION, & EXPANSION","21 - Recoveries","Recoveries","Non-Personnel Expenditures","Expense","62236 - City Accounting Recoveries","AC_62236","-166151"
"2015-2016","Existing","DP940 - Capital Improvement Projects","DV920 - Capital Improvement Projects: Public Works","DP24 - Capital Improvement Projects","Capital Improvement Projects","DV2400","Capital Improvement Projects","OR_92242","92242 - Engineer Design: Streets and Structures","FD_5656","Fund 5656","5656","Coliseum: TA Bonds Series 2006B-T (Taxable)","5656 - Coliseum: TA Bonds Series 2006B-T (Taxable)","Fund 5656 - Coliseum: TA Bonds Series 2006B-T (Taxable)","PJ_1000162","1000162 - COL TRAN VILL INF 5656-C366931","PG_SC12","SC12 - COLISEUM","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-157799.4"
"2015-2016","Existing","DP940 - Capital Improvement Projects","DV920 - Capital Improvement Projects: Public Works","DP24 - Capital Improvement Projects","Capital Improvement Projects","DV2400","Capital Improvement Projects","OR_92242","92242 - Engineer Design: Streets and Structures","FD_5656","Fund 5656","5656","Coliseum: TA Bonds Series 2006B-T (Taxable)","5656 - Coliseum: TA Bonds Series 2006B-T (Taxable)","Fund 5656 - Coliseum: TA Bonds Series 2006B-T (Taxable)","PJ_1000162","1000162 - COL TRAN VILL INF 5656-C366931","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-152563.32"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30275","30275 - IPPD Plans and Programming","FD_7760","Fund 7760","7760","Grant Clearing","7760 - Grant Clearing","Fund 7760 - Grant Clearing","PJ_1001411","1001411 - PROJECT MGT CLEARING","PG_0000","PG_0000","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-151905.56"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30265","30265 - Traffic Safety Program","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1001161","1001161 - MEASURE BB STS-ROAD CATEGORY","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51111 - Civilian: Regular","AC_51111","-143584.46"
"2015-2016","Existing","DP940 - Capital Improvement Projects","DV920 - Capital Improvement Projects: Public Works","DP24 - Capital Improvement Projects","Capital Improvement Projects","DV2400","Capital Improvement Projects","OR_92242","92242 - Engineer Design: Streets and Structures","FD_2159","Fund 2159","2159","State of California Other","2159 - State of California Other","Fund 2159 - State of California Other","PJ_1000693","1000693 - 10TH ST CHANNEL IMPROVEMENTS","PG_IN14","IN14 - STORM DRAIN MANAGEMENT & MAINT","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-134801.34"
"2015-2016","Existing","DP1000 - Police Department","DV1010 - Office of the Chief of Police","DP13 - Police Department","Police Department","DV1300","Office of the Chief of Police","OR_101110","101110 - Office of Chief: Administration","FD_2159","Fund 2159","2159","State of California Other","2159 - State of California Other","Fund 2159 - State of California Other","PJ_G473910","PJ_G473910","PG_PS01","PS01 - AGENCY-WIDE ADMINISTRATION","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-8865"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2106","Parks, Grounds & Medians Maintenance","OR_30652","30652 - Landscape Maintenance","FD_2310","Fund 2310","2310","Lighting and Landscape Assessment District","2310 - Lighting and Landscape Assessment District","Fund 2310 - Lighting and Landscape Assessment District","PJ_1000010","1000010 - DP300 Administrative Project","PG_NB07","NB07 - GROUNDS","10 -  Misc. Personnel Adjustments","Misc. Personnel Adjustments","Personnel Expenditures","Expense","51915 - Severance & Settlement Payments","AC_51915","-130000"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2103","Environmental Services","OR_30682","30682 - Environmental Services: Recycling Solid Waste","FD_1710","Fund 1710","1710","Recycling Program","1710 - Recycling Program","Fund 1710 - Recycling Program","PJ_1000010","1000010 - DP300 Administrative Project","PG_SC17","SC17 - RECYCLING & SOLID WASTE","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-120000"
"2015-2016","Existing","DP080 - Finance Department","DV081 - Finance and Management: Administration","DP09 - Finance Department","Finance Department","DV0900","Administration","OR_08111","08111 - Finance and Management: Administration","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000007","1000007 - DP080 Administrative Project","PG_IP59","IP59 - FINANCIAL MANAGEMENT","21 - Recoveries","Recoveries","Non-Personnel Expenditures","Expense","62236 - City Accounting Recoveries","AC_62236","-111566.41"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102610","102610 - Criminalistics","FD_2112","Fund 2112","2112","Department of Justice","2112 - Department of Justice","Fund 2112 - Department of Justice","PJ_1000756","1000756 - FY2014 DNA BACKLOG GRANT","PG_PS05","PS05 - CRIMINALISTICS","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-92131.59"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30242","30242 - Streets and Structures","FD_2062","Fund 2062","2062","2006 FEMA: 1646 Spring Storms","2062 - 2006 FEMA: 1646 Spring Storms","Fund 2062 - 2006 FEMA: 1646 Spring Storms","PJ_G299310","PJ_G299310","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-85690.09"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30265","30265 - Traffic Safety Program","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1001161","1001161 - MEASURE BB STS-ROAD CATEGORY","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-80669.09"
"2015-2016","Existing","DP940 - Capital Improvement Projects","DV920 - Capital Improvement Projects: Public Works","DP24 - Capital Improvement Projects","Capital Improvement Projects","DV2400","Capital Improvement Projects","OR_92242","92242 - Engineer Design: Streets and Structures","FD_2163","Fund 2163","2163","Metro Transportation Com: Program Grant","2163 - Metro Transportation Com: Program Grant","Fund 2163 - Metro Transportation Com: Program Grant","PJ_G375710","PJ_G375710","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-78108.12"
"2015-2016","Existing","DP900 - Non Departmental and Port","DV904 - Debt Service","DP23 - Non-Departmental","Non-Departmental","DP2301","Debt/Lease Payments","OR_90411","90411 - Debt Service","FD_4100","Fund 4100","4100","Equipment","4100 - Equipment","Fund 4100 - Equipment","PJ_1000021","1000021 - DP900 Administrative Project","PG_0000","PG_0000","16 - Debt Payments","Debt Payments","Non-Personnel Expenditures","Expense","58215 - Interest on Long-Term Debt","AC_58215","-70429"
"2015-2016","Existing","DP850 - Economic and Workforce Development Department","DV855 - Marketing","DP18 - Economic & Workforce Development","Economic & Workforce Development","DV1803","Cultural Affairs","OR_85521","85521 - Public Art","FD_5321","Fund 5321","5321","Measure DD: 2009B Clean Water,Safe Parks & Open Space Trust Fund","5321 - Measure DD: 2009B Clean Water,Safe Parks & Open Space Trust Fund","Fund 5321 - Measure DD: 2009B Clean Water,Safe Parks & Open Space Trust Fund","PJ_1000828","1000828 - LAKE MERRITT ART-B","PG_CE01","CE01 - PUBLIC ART PROGRAM","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-66773.28"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_108140","108140 - District Area 4","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","-66139.68"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_108140","108140 - District Area 4","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","08 - Sworn Fringe Benefits","Sworn Fringe Benefits","Personnel Expenditures","Expense","51614 - Sworn: Fringe Benefits Accrual","AC_51614","-64077.45"
"2015-2016","Existing","DP900 - Non Departmental and Port","DV902 - Employee Fringe Benefits","DP23 - Non-Departmental","Non-Departmental","DP2302","Fiscal Management","OR_90271","90271 - Overhead: Recovery and Taken","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000021","1000021 - DP900 Administrative Project","PG_IP51","IP51 - FISCAL MANAGEMENT","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-62426.02"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30264","30264 - Traffic Capital Projects","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1001161","1001161 - MEASURE BB STS-ROAD CATEGORY","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51111 - Civilian: Regular","AC_51111","-60770.99"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30232","30232 - Construction Mgmt and Material Testing","FD_2415","Fund 2415","2415","Development Service Fund","2415 - Development Service Fund","Fund 2415 - Development Service Fund","PJ_1000010","1000010 - DP300 Administrative Project","PG_CONV","PG_CONV","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-57521.76"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_108150","108150 - District Area 5","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","-56819.74"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108120","108120 - District Area 2","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","-55878.19"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108110","108110 - District Area 1","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","-55853.68"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_108150","108150 - District Area 5","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","08 - Sworn Fringe Benefits","Sworn Fringe Benefits","Personnel Expenditures","Expense","51614 - Sworn: Fringe Benefits Accrual","AC_51614","-55048.1"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30265","30265 - Traffic Safety Program","FD_2216","Fund 2216","2216","Measure BB - Alameda County Transportation Commission Sales Tax","2216 - Measure BB - Alameda County Transportation Commission Sales Tax","Fund 2216 - Measure BB - Alameda County Transportation Commission Sales Tax","PJ_1001161","1001161 - MEASURE BB STS-ROAD CATEGORY","PG_NB33","NB33 - TRANSPORTATION & PEDESTRIAN SAFETY","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","-54316.69"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108120","108120 - District Area 2","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1000754","1000754 - MEASURE Y - OPD","PG_0000","PG_0000","08 - Sworn Fringe Benefits","Sworn Fringe Benefits","Personnel Expenditures","Expense","51614 - Sworn: Fringe Benefits Accrual","AC_51614","-54135.9"
