"permit_number","permit_issue_date","permit_type","property_location_and_lrsn","description","total_permit_fees","value_of_new_construction","lat_ycoord"
"B16-01129","2017-04-11T00:00:00.000","Building - Residential","1210 BETHEL AVE : 8000543","NEW SINGLE FAMILY DWELLING//MOD 1ST FL: FRAMING AN","323.29","70000","(37.039545, -76.353553)"
"B16-01132","2017-01-26T00:00:00.000","Building - Residential","727 N BACK RIVER RD : 13004495","CONSTRUCT NEW SFD// DECK PER DECK HANDOUT","3024.75","90000","(37.032571, -76.359087)"
"B16-01140","2017-04-28T00:00:00.000","Building - Residential","5005 NETCENTER WAY : 13004465","1978 MODEL NEW SINGLE FAMILY HOME// DECK PER DECK","830.75","100000","(37.02628, -76.437626)"
"B16-01164","2017-02-09T00:00:00.000","Building - Residential","24 N CYPRESS ST : 13004387","BUILD NEW SFD PER PLANS// DECK PER DECK HANDOUT.","1272.63","75000","(37.034808, -76.330034)"
"B16-01185","2017-03-06T00:00:00.000","Building - Residential","828 W QUEEN ST : 13004393","THE WEAVER - NEW CONSTRUCTION OF RESIDENTIAL SINGL","273.05","142640","(37.026353, -76.36097)"
"B16-01189","2017-03-06T00:00:00.000","Building - Residential","808 W QUEEN ST : 13004396","THE SOUTHERN GRACE - NEW SFD.","245.37","128520","(37.026279, -76.360179)"
"B16-01190","2017-03-06T00:00:00.000","Building - Residential","824 W QUEEN ST : 13004394","MARVELOUS MANOR - NEW SFD","293.76","157760","(37.026523, -76.360694)"
"B16-01191","2017-03-06T00:00:00.000","Building - Residential","812 W QUEEN ST : 13004395","INVITING CRAFTSMAN - NEW SFD.","292.31","146625","(37.026697, -76.360394)"
"B16-01215","2017-01-13T00:00:00.000","Building - Residential","705 GRIMES RD : 12004439","CONSTRUCT NEW TWO (2) STORY SFD- VAUGHAN MODEL D","401.39","90000","(37.040162, -76.314443)"
"B16-01219","2017-01-23T00:00:00.000","Building - Residential","366 WHEELER AVE : 1004192","CONSTRUCT NEW SFD","406.36","75000","(36.997916, -76.393572)"
"B16-01239","2017-01-27T00:00:00.000","Building - Residential","98 MAY ST : 13004492","BUILD NEW SFD PER PLANS","354.80","0","(36.997379, -76.384628)"
"B16-01246","2017-01-17T00:00:00.000","Building - Residential","30 OLD POND CT : 13004351","CONSTRUCT NEW SFD USING MODEL SAVOY WITH ELEVATION","341.05","180249","(37.088962, -76.420035)"
"B16-01253","2017-02-09T00:00:00.000","Building - Residential","106 BRIAR DR : 3004909","NEW SFD 2 STORY","466.12","90000","(37.02314, -76.399557)"
"B16-01268","2017-02-03T00:00:00.000","Building - Residential","33 WALLACE RD : 10000243","CONSTRUCT NEW SFD","387.42","102000","(37.076659, -76.299835)"
"B17-00003","2017-01-30T00:00:00.000","Building - Residential","66 OLD POND CT : 13004342","CONSTRUCT NEW SFD USING PALERMO MODEL, ELEVATION ""","433.52","236365","(37.090088, -76.418291)"
"B17-00011","2017-02-13T00:00:00.000","Building - Residential","53 N WILLARD AVE : 13004484","THE MAPLEWOOD ""B"" MODEL- NEW 2 STORY SFD.","426.06","90000","(37.018295, -76.315659)"
"B17-00014","2017-02-03T00:00:00.000","Building - Residential","2116 E PEMBROKE AVE : 12006497","THE VAUGHN ""C"" MODEL- 2 STORY SFD.","432.56","90000","(37.041148, -76.299939)"
"B17-00023","2017-01-20T00:00:00.000","Building - Residential","97 STONEHURST RD : 13004199","CONSTRUCT NEW MODEL 203 O/R WITH ROOM OVER GARAGE","431.59","148000","(37.038773, -76.333167)"
"B17-00056","2017-02-14T00:00:00.000","Building - Residential","61 OLD POND CT : 13004357","VENICE MODEL, ELEVATION C - NEW SFD.","363.38","183901","(37.089957, -76.418923)"
"B17-00057","2017-02-07T00:00:00.000","Building - Residential","38 OLD POND CT : 13004349","VENICE MODEL ELEVATION E WITH MORNING ROOM AND 160","410.46","211765","(37.089075, -76.419481)"
"B17-00069","2017-03-01T00:00:00.000","Building - Residential","35 OLD POND CT : 13004352","VENICE MODEL - ELEVATION B - MORNING ROOM - NEW SF","387.78","206779","(37.089403, -76.419993)"
"B17-00082","2017-04-21T00:00:00.000","Building - Residential","533 OLD POINT AVE : 12000805","CONSTRUCT NEW SFD W/ DECK PER DECK HANDOUT.","489.81","175000","(37.031682, -76.329019)"
"B17-00085","2017-03-17T00:00:00.000","Building - Residential","428 CLOVELLY LN : 2001533","CONSTRUCT NEW SFD- PLANS ARE MIRRORED","342.87","80000","(37.019148, -76.360857)"
"B17-00088","2017-03-27T00:00:00.000","Building - Residential","424 ROGERS AVE : 11002735","CONSTRUCT NEW SFD","486.24","100000","(37.050645, -76.291601)"
"B17-00097","2017-05-04T00:00:00.000","Building - Residential","8 BAXTER ST : 11000215","BUILD NEW SFD PER PLANS","297.08","188724","(37.058856, -76.306659)"
"B17-00102","2017-03-07T00:00:00.000","Building - Residential","74 OLD POND CT : 13004340","ROME MODEL , ELEVATION N, ATTIC BEDROOM. NEW SFD.","591.85","289285","(37.09048, -76.418091)"
"B17-00138","2017-02-17T00:00:00.000","Building - Residential","1115 QUASH ST : 8000415","COMPLETE CONSTRUCTION PREVIOUSLY STARTED ON PERMIT","61.00","1800","(37.037588, -76.352839)"
"B17-00144","2017-03-07T00:00:00.000","Building - Residential","75 OLD POND CT : 13004360","CONSTRUCT NEW ""ROME"" MODEL SFD WITH ELEVATION ""E""","498.63","251575","(37.090541, -76.418871)"
"B17-00145","2017-03-07T00:00:00.000","Building - Residential","70 OLD POND CT : 13004341","CONSTRUCT NEW SFD USING MODEL ""MILAN"" WITH ELEVATI","431.67","237325","(37.090263, -76.418137)"
"B17-00146","2017-03-07T00:00:00.000","Building - Residential","67 OLD POND CT : 13004358","CONSTRUCT NEW SFD USING MODEL ""MILAN"" WITH ELEVATI","427.59","254254","(37.090182, -76.418939)"
"B17-00204","2017-04-03T00:00:00.000","Building - Residential","341 WILTON AVE : 12005962","VAUGHN C MODEL - NEW SFD.","422.21","90000","(37.037224, -76.305824)"
"B17-00205","2017-03-13T00:00:00.000","Building - Residential","58 OLD POND CT : 13004344","ROME MODEL - ELEVATION C - ATTIC BEDROOM - NEW SFD","579.52","273340","(37.08962, -76.418347)"
"B17-00215","2017-03-22T00:00:00.000","Building - Residential","606 CHAPEL ST : 2001271","CONSTRUCT NEW SFD WITH DECK PER DECK AFFIDAVIT.","283.86","98000","(37.024264, -76.359506)"
"B17-00218","2017-03-22T00:00:00.000","Building - Residential","23 TALLWOOD DR : 3003475","CONSTRUCT NEW SFD (2 STORY)// VAUGHAN C MODEL","422.21","90000","(37.03352, -76.410492)"
"B17-00220","2017-03-20T00:00:00.000","Building - Residential","34 OLD POND CT : 13004350","VENICE MODEL - ELEVATION C - NEW SFD.","367.29","213050","(37.089001, -76.419739)"
"B17-00221","2017-03-20T00:00:00.000","Building - Residential","51 OLD POND CT : 13004356","MILAN MODEL - ELEVATION C - MORNING ROOM - ATTIC B","519.61","283205","(37.089811, -76.419092)"
"B17-00222","2017-03-24T00:00:00.000","Building - Residential","311 MICHAEL SELBY DR : 13004450","ROME MODEL - ELEVATION N - MORNING ROOM","519.85","284680","(37.060491, -76.438974)"
"B17-00236","2017-06-26T00:00:00.000","Building - Residential","208 N 4TH ST : 13004545","BUILD NEW SFD PER PLANS","1365.86","100000","(37.045655, -76.292898)"
"B17-00239","2017-03-24T00:00:00.000","Building - Residential","317 MICHAEL SELBY DR : 13004447","VENICE MODEL - ELEVATION C - MORNING ROOM - NEW SF","383.80","236275","(37.060177, -76.43824)"
"B17-00260","2017-03-29T00:00:00.000","Building - Residential","71 OLD POND CT : 13004359","CAROLINA PLACE MODEL - ELEVATION L - EXTENDED OWNE","389.37","301179","(37.09038, -76.418942)"
"B17-00293","2017-05-15T00:00:00.000","Building - Residential","72 S BOXWOOD ST : 12000957","CONSTRUCT NEW SFD- AMAYA MODEL WITH FLOOD RESISTAN","498.54","80000","(37.029996, -76.333801)"
"B17-00294","2017-05-08T00:00:00.000","Building - Residential","28 MITCHELL RD : 8002515","CONSTRUCT NEW 2 STORY WITH 2 CAR GARAGE SFD","397.95","130000","(37.0505, -76.344612)"
"B17-00307","2017-05-22T00:00:00.000","Building - Residential","503 CHAPEL ST : 2001215","BUILD NEW SFD","287.71","70000","(37.02358, -76.356948)"
"B17-00312","2017-05-02T00:00:00.000","Building - Residential","612 HOMESTEAD AVE : 1001669","CONSTRUCT NEW SFD","2731.88","79689","(37.018811, -76.364879)"
"B17-00316","2017-04-18T00:00:00.000","Building - Residential","2700 ROSALEE DR : 1002021","TURNER MODEL - CONSTRUCTION OF A NEW 2-STORY SFD.","426.32","90000","(37.012369, -76.381976)"
"B17-00323","2017-04-26T00:00:00.000","Building - Residential","43 OLD POND CT : 13004354","ROME MODEL - ELEVATION C - ATTIC BEDROOM - NEW SFD","575.01","272699","(37.089682, -76.419595)"
"B17-00332","2017-04-25T00:00:00.000","Building - Residential","1108 EASTERLY AVE : 13004542","NEW 2-STORY SFD PER PLANS- TURNER MODEL","1126.32","90000","(37.040629, -76.350849)"
"B17-00345","2017-04-25T00:00:00.000","Building - Residential","231 UNION ST : 13004270","CONSTRUCT NEW SFD","213.54","25000","(37.028421, -76.351331)"
"B17-00364","2017-06-12T00:00:00.000","Building - Residential","64 B BROGDEN LN #B : 13004146","THE KENSTON HOUSE - NEW TWO STORY W/ HABITABLE ATT","9662.47","170000","(37.054643, -76.43438)"
"B17-00369","2017-05-04T00:00:00.000","Building - Residential","321 MICHAEL SELBY DR : 13004445","CONSTRUCT NEW SFD USING ""FLORENCE MODEL WITH ELEVA","344.12","192185","(37.059911, -76.437889)"
"B17-00402","2017-06-01T00:00:00.000","Building - Residential","125 PATTERSON AVE : 2000281","CONSTRUCT NEW SFD","417.90","106000","(37.02765, -76.361412)"
"B17-00403","2017-06-20T00:00:00.000","Building - Residential","116 CHERRY AVE : 13004534","BUILD NEW SFD PER PLANS","363.93","145212","(36.993138, -76.389996)"
"B17-00404","2017-05-08T00:00:00.000","Building - Residential","319 MICHAEL SELBY DR : 13004446","ROME MODEL - ELEVATION N - MORNING ROOM - NEW SFD.","519.32","312675","(37.060044, -76.438065)"
"B17-00405","2017-06-20T00:00:00.000","Building - Residential","116 B CHERRY AVE : 13004535","BUILD NEW SFD - MIRRORED PLANS","5423.93","145212","(36.993209, -76.390088)"
"B17-00412","2017-05-24T00:00:00.000","Building - Residential","9 MYRTLE ST : 12000365","THE EDGEWOOD II - NEW SFD.","3079.89","90000","(37.033592, -76.335171)"
"B17-00413","2017-06-13T00:00:00.000","Building - Residential","507 HOMELAND ST : 1003725","NEW SFD.","446.97","100000","(36.999492, -76.394582)"
"B17-00447","2017-05-25T00:00:00.000","Building - Residential","304 MICHAEL SELBY DR : 13004458","CONSTRUCT NEW ""VENICE MODEL"" SFD WITH ELEVATION ""B","381.15","230110","(37.059903, -76.439723)"
"B17-00448","2017-06-08T00:00:00.000","Building - Residential","302 MICHAEL SELBY DR : 13004457","CONSTRUCT NEW ""VENICE MODEL"" SFD WITH ELEVATION ""C","372.79","206165","(37.059774, -76.440114)"
"B17-00473","2017-06-02T00:00:00.000","Building - Residential","548 SLATER AVE : 13004548","CONSTRUCT NEW 2-STORY SFD- THE MAPLEWOOD ""B"" MODEL","426.06","90000","(37.040023, -76.300067)"
"B17-00481","2017-06-01T00:00:00.000","Building - Residential","313 MICHAEL SELBY DR : 13004449","BUILD NEW SFD// ""VENICE"" MODEL - ELEVATION ""C"" W/M","387.78","221270","(37.060448, -76.438694)"
"B17-00536","2017-06-20T00:00:00.000","Building - Residential","307 MICHAEL SELBY DR : 13004452","CONSTRUCT NEW ""GENOA"" MODEL WITH ELEVATION ""B"" , M","448.77","261570","(37.060413, -76.439511)"
"B17-00537","2017-06-20T00:00:00.000","Building - Residential","305 MICHAEL SELBY DR : 13004453","CONSTRUCT NEW ""VENICE"" MODEL WITH ELEVATION ""C"" AN","384.59","203215","(37.060389, -76.439767)"
"B17-00538","2017-06-12T00:00:00.000","Building - Residential","711 MARYLAND AVE : 1002848","CONSTRUCTION OF NEW 2-STORY SFD PER PLANS- VAUGHAN","422.21","90000","(37.008107, -76.385209)"
"B17-00556","2017-06-21T00:00:00.000","Building - Residential","309 MICHAEL SELBY DR : 13004451","CONSTRUCT NEW SFD USING ""FLORENCE"" MODEL WITH ELEV","351.71","223395","(37.060451, -76.439257)"
