"company_name","address","swam_type","swam_cert","expiration_date","designation","vendor","contact_name","email","contact_numbers","nigp_code_1","nigp_code_2","nigp_code_3","nigp_code_4","nigp_code_5","nigp_code_6","nigp_code_7","nigp_code_8","nigp_code_9","nigp_code_10","nigp_code_11","nigp_code_12"
"The Office Advantage, Inc.","617 Park Avenue, SW Norton 24273","WS","647953","9/2/2017","Micro-Business","96378","Linda K. Gilliam","officead3@verizon.net","(P) (276) 679-1638 / (F) (276) 679-1639","80 Badges, emblems, name tags and plates, jewelry (office supplies)","145 Brushes (office supplies)","192 Cleaning compositions, detergents, solvents and strippers - prepackaged (office supplies)","195 Clocks, timers, watches and jewelers and watchmakers tools and equipment (office supplies)","201 Clothing accessories (office supplies)","204 Computer hardware and peripherals for microcomputers (office supplies)","206 Computer hardware and peripherals for mini and mainframe computers (office supplies and furniture)","207 Computer accessories and supplies (office supplies)",,,,
"Imorex, Inc., dba Brook Hill Electrical & Traffic Signals","P. O. Box 15725, Richmond, VA 23227","WS","658179","11/2/2019",,,"Violet R. Hubbard","bhelectric@aol.com","(P)(804) 795-2600/(F)(804) 795-1300","238210 Electric contracting","423610 Signal Systems and Devices Merchant Wholesalers",,,,,,,,,,
"BEST INK STORE, INC.","1522 BATEAU LANDING CHESAPEAKE 23321","S","659979","7/1/2018","Micro-Business","HCS","CHRISTOPHER DAILEY","CHRIS@BESTINKSTORE.COM","(P) (757)681-1747 / (F) (757)802-3933","20772 INK CARTRIDGES, TONER CARTRIDGES",,,,,,,,,,,
"Pembroke Construction Co., Inc.","802 W. Pembroke Ave. Hampton 23669","S","649768","2/27/2018",,"1796","Roxanne Barr","rbarr@pembcon.com","(P) 722-2591 / (F) 224-0646","912 Construction services general (grading)","913 Construction services heavy (curb & gutter, roadway construction, parking lot construction, sidewalks, paving, resurfacing)","750 Road and highway building materials (crushed stone and rip rap)",,,,,,,,,
"ATLANTIC COMMUNICATIONS, INC.","4811 Market Drive, NEWPORT NEWS, VA 23607","S","10286","5/5/2020","Micro-Business",,"Charles B Blount","accounting@atlanticcom.net","(P)(757) 380-8498/(F)(757) 247-0428","72600 RADIO COMMUNICATION, TELEPHONE, AND TELECOMMUNICATION EQUIPMENT, ACCESSORIES, AND SUPPLIES","72688 Two-Way Radio, Portable, Including Vehicle Radio Relay Systems","72689 Two-Way Radio Receivers, Transmitters, Transceivers: Mobile and Base Station (Audio Transfer)","72690 Two-Way Radio Supplies, Parts, and Accessories","91365 Maintenance and Repair, Antenna Tower and other Communication Equipment","92827 Communications Systems Maintenance and Repair, Vehicle (Including Installation and Removal Services)","98569 Radio and Telecommunications Equipment and Accessory Rental or Lease (Including Radio Towers)","99828 SALES & SERVICE OF WIRELESS TWO-WAY COMMUNICATIONS & INTERNET SERVICE",,,,
"American Road Markings LLC","3002 Arizona Ave., Norfolk, VA 23513","S","700541","1/28/2019",,,"Chuck Cole","chuck@americanroadmarkings.com","(P)(757) 857-0734/(F)(757) 857-0736","76543 pavement marking removal","76572 striping machines and acc","76577 sweepers","80122 signs","80150 signs","81094 signs","83248 tape","91276 striping streets","91327 Construction/Highway and Road","91371 mantinance and repair","91375 mantinance and repair",
"E. G. MIDDLETON, INC.","2510 Cromwell Road, Norfolk, VA 23509","S","671070","10/22/2022",,,"E.G.Middleton,III(Rudy)","rudy@egmiddleton.com","(P)(757) 855-3351/(F) (757) 853-7090","238210 Electrical Contractors","28000 Electrical - Installation","69000 Power Genral Equip. Installation","69100 Power Transmission Equip. Electrical","90921 Bldg. Construction","90922 Bldg. Construction","91438 Electrical Construction","96880 Traffic Signal Removal","96882 Traffic Signal Installation","99892 Electrical","99892 Electrical",
"ASK-ARK, LLC","20 TERESA DR HAMPTON 23666","MS","713977","12/30/2018",,,"LEONARD JOHNSON","LEONARDJOHNSON@ASK-ARK.COM","(P) (973) 819-2123","42500 OFFICE FURNITURE / DESKS & SEATING",,,,,,,,,,,
"JOYNER PAINT & FRAME LLC","310 W. WASHINGTON STREET PETERSBURG 23803","WS","663968","11/18/2019",,"HCS","MARK N. ZARUBA","JOYNERPAINT@VERIZON.NET","(P) (804)732-0854 / (F) (804)861-2849","63000 PAINT","96214 BLUE PRINT SERVICE","5000 ART SUPPLIES","62000 OFFICE SUPPLIES","63500 PAINT EQUIP. & ACCESS","78500 SCHOOL EQUIP. & SUPPLIES","14500 BRUSHES","5040 DRAWING & PAINTING SUPPLIES","30500 ENGINEERING EQUIP.","31500 EPOXY BASED FORMULATIONS",,
"XYLEM, INC.","208 East Plume Street, Suite 250 Norfolk 23510","S","689689","11/29/2019",,"102579","Randolph  Hoover","rhoover@xylemtree.com","(P) (757) 627-8873 / (F) (757) 392-0095","96888 TREE REMOVAL AND PRUNING",,,,,,,,,,,
"ROSENBAUM FENCING & HARDWARE CO INC.","1666 W PEMBROKE AVENUE HAMPTON 23661","S","7275","10/20/2019",,"HCS","RUSTY KELLAM","FENCEBASE@AOL.COM","(P) (757)723-3321 / (F) (757)723-0157","33000 FENCING ALL TYPES","33013","33032 WROUGHT IRON FENCES","33037 FENCING, METAL TUBULAR","33038 FENCING, PLASTIC","33045","33049 FENCING, SPLIT RAIL","33061 WINDSCREENS AND ACCESSORIES FOR FENCING",,,,
"SOUTHERN POLICE EQUIPMENT COMPANY, INC.","7609 MIDLOTHIAN TURNPIKE RICHMOND 23235","WS","6451","9/20/2019",,"2206","KAREN MILES ALLAN","KAREN@SOUTHERNPOLICEEQUIPMENT.COM","(P) (804)323-1855 / (F) (804)323-5067","68000 POLICE EQUIPMENT & SUPPLIES  HOMELAND SECURITY SUPPLIES  TRANSPORTATION SUPPLIES",,,,,,,,,,,
"Hampton Stationery Furniture & Office Supply, LLC","108 East Queen Street Hampton 23669","WS","689670","9/11/2017","Micro-Business","1063","Jane J. Ishon","jci@hamptonstationery.com","(P) (757) 722-7712 / (F) (757) 722-4317","42500 OFFICE FURNITURE","61500 OFFICE SUPPLIES","42000 OFFICE SUPPLIES","41000 SUPPLIES","42540 SUPPLIES","42541 SUPPLIES","42548 SUPPLIES","42568 SUPPLIES","6000 SUPPLIES","61573 SUPPLIES","97742 SUPPLIES",
"Business Resource Demands","924 Langley Ave, Hapton, VA 23669","MS","726459","10/17/2022","Micro-Business",,"Betty Favor","favorbj11@gmail.com","(P)(757) 329-5154","95800 Accounting Advising/Bookkeeping","96100 Accountig Reports","96100 Real Estate Marketing","96200 Journal Entries",,,,,,,,
"TAM CONSULTANTS dba TAM CONSULTANTS","PO Box 5365 Williamsburg 23188","S","663056","2/4/2017","Micro-Business","83376","Timothy Mills","mjurasek@tamconsultants.com","(P) (757) 564-4434 / (F) (757) 564-1806","92500 ENGINEERING SERVICES, PROFESSIONAL","91842 ENGINEERING CONSULTING",,,,,,,,,,
"PATRICKS GLASS INC","539 N ARMISTEAD AVE HAMPTON 23669","S","697503","1/20/2018","Micro-Business","HCS","RYAN PATRICK","ryan@patricksglass.com","(P) 757-722-5714 / (F) 757-722-0695","44000 STOREFRONTS, GLASS & GLAZING",,,,,,,,,,,
"Industrial Automation Specialists Corp. (IAS Corp.)","17 Research Drive Hampton 23666","WS","656331","10/24/2019","Micro-Business","69115","Kathy M. Burton","kathy@iascorp.net","(P) 766-7520 / (F) 766-7505","939 Electronic equipment maintenance and repair.",,,,,,,,,,,
"ANDRE MARQUEZ ARCHITECTS, INC.","6371 CENTER DRIVE, SUITE 201 NORFOLK 23502","MS","1308","10/31/2019",,"66569","JOEL ANDRE","JANDRE@AMARCHITX.COM","(P) (757)557-0630 / (F) (757)228-1053","90600 ARCHITECTURAL SERVICES","90607 ARCHITECTURAL SERIVCES, PROFESSIONAL","90610 BUILDINGS--ARCHITECTURAL DESIGN","90625 DESIGN BUILD SERVICES","90627 ENERGY MANAGEMENT--ARCHITECTURAL","90633 FORENSIC--ARCHITECTURAL","90640 GRAPHIC DESIGN ARCHITECTURAL","90648 HISTORICAL PRESERVATION","90652 INTERIRO DESIGN, SPACE PLANNING","90666 PLANNING, SITE (INSTALLATION AND PROJECT)",,
"HUBBARD BROS, INC.","7 OAKLAND DRIVE NEWPORT NEWS 23601","WS","10547","11/29/2019","Micro-Business","21048","CLAIRE S. HUBBARD","HUBBARDBROTHERS@GMAIL.COM","(P) (757)873-8525 / (F) (757)873-8388","98888 TREE TRIMMING AND PRUNING SERVICES","96888 TREE AND SHRUB REMOVAL SERVICES",,,,,,,,,,
"FACTORY DIRECT FOOD SERVICE EQUIPMENT CO. DBA N C G & J CORP.","P. O. BOX 31656 RICHMOND 23294","S","6947","12/12/2019",,"HCS","CAROL ATHAS","YIAYIAC@AOL.COM","(P) (804)359-6960 / (F) (804)359-6939","16500 CAFETERIA & KITCHEN EQUIPMENT",,,,,,,,,,,
"Anne Companion Photography","112 Kings Way Hampton 23669","WS","692862","4/10/2017",,"101055","Anne Companion","info@annecompanionphotography.com","(P) (757) 630-5860 / (F)","91572 Portrait photography; (website: www.annecompanionphotography.com)",,,,,,,,,,,
"Mizells Hauling Inc","P.O. Box 6732, Chesapeake, VA 23323","S","701875","12/22/2018","Micro-Business",,"Johnnie Mizell","mizellhauling@aol.com","(P)(757) 435-0200/(F)(757) 485-2929","98100 trucking/ dump truck hauling",,,,,,,,,,,
"Goodman Hardware Company dba Goodman Glass Co.","3325 W. Mercury Boulevard Hampton 23666","S","8618","9/21/2019","Micro-Business","41598","Vincent Behm Jr.","vbehm@goodglass.com","(P) (757) 826-1444 / (F) (757) 826-7681","92846 GLASS REPLACEMENT AUTO","91447 GLASS & GLAZING","44050 MIRROR GLASS","44077 WINDOW GLASS","44056 PLATE GLASS","44042 HEAT-TEMPERED GLASS","66518 PLEXIGLASS","44005 BULLET PROOF GLASS","55740 WINDSHIELD GLASS & MIRROR","44063 SAFETY GLASS LAMINATED","44073 THERMO GLASS (INSULATED)",
"SHADDEAU ROOFING AND CONSTRUCTION CORPORATION","522 WEST 25TH STREET Norfolk, VA 23517","S","6903","1/6/2018",,,"Cindy Shaddeau","Shadeoroof@aol.com","(P) (757) 627-8584/(F) (757) 627-8715","77000 ROOFING AND SHEETMETAL",,,,,,,,,,,
"OLEGNA Business Solutions","7 North Point Drive Portsmouth 23703","MS","626456","12/10/2016","Micro-Business","97934","Gwendolyn S. Davis","gwendavis@cox.net","(P) (757) 483-2452 / (F) (757) 483-3518","91806 RESEARCH AND PROPOSAL DEVELOPMENT","91879 PUBLIC RELATIONS & EVENT PLANNING","91835 GRANT REVIEW","91849 GRANT PROPOSAL DEVELOPMENT","91858 LOBBYING/GOVERNMENT RELATIONS","91846 FEASIBILITY STUDIES","91883 ORGANIZATIONAL DEVELOPMENT CONSULTING","91838 EDUCATION AND TRAINING CONSULTING","91826 COMMUNICATIONS PUBLIC RELATIONS CONSULTING","91875 MANAGEMENT CONSULTING","PLUMBING EQUIPMENT, FIXTURES, AND SUPPLIES",
"TRAFFIC SYSTEMS, LLC dba TRAFFIC SYSTEMS & TECHNOLOGY","7853 Coppermine Drive Manassas 20109","S","663238","10/3/2019",,"50629","Jon J. Bondanella","john@tsandt.com","(P) (703) 530-9655 / (F) (703) 530-9656","55085 TRAFFIC SIGNAL POLES, STANDARDS, AND BRACKETS","28555 LIGHTING, AREA, POLE OR STANDARD MOUNTED (PARKING LOTS, ETC.)","28580 STREET LIGHT POLES AND STANDARDS","55088 TRAFFIC SIGNALS AND EQUIPMENT, ELECTRIC SYSTEMS","55089 TRAFFIC SIGNALS AND EQUIPMENT, ELECTRIC PARTS","55750 LAMPS/LIGHTING, LENS, AND SIGNALS, INTERIOR AND EXTERIOR","99892 TRAFFIC SIGNALS AND CONTROL EQUIPMENT","29080 SOLAR POWERED ELECTRICAL SYSTEMS (FOR BATTERY CHARGING, ETC.)","84084 VIDEO AND AUDIO SYSTEMS, ACCESSORIES AND PARTS (CLOSED CIRCUIT TV) (INCLUDING SURVEILLANCE TYPE)",,,
"NewClients, Incorporated","3900 Gaskins Road, Richmond, VA 23233","SW","665270","9/26/2019",,,"Teki Hall","teki@newclients.com","(P)(804) 560-7000/(F)(804) 560-7065","03778 Souvenirs: Promotional, Advertising, etc.",,,,,,,,,,,
"TIMITRON CORPORATION","1317 DOMINION LAKES BOULEVARD CHESAPEAKE 23320","MS","695521","12/13/2017","Micro-Business/VSOB/Serive Disabled Veteran Owned",,"TIMOTHY  GOODRICH","TIM.GOODRICH@TIMITRON.COM","(P) (877)398-3877 / (F) (757)549-5103","20890 UTILITIES: BACK-UP, BATCH FILE, FIREWALL, MENUS, OPERATING SYSTEM, NETWORK","20924 BIOMETRIC AUTHENTICATION SYSTEM SOFTWARE FOR MINI/MAINFRAME COMPUTERS","20967 PROFESSIONAL: HOSPITAL/PHARMACY, LEGAL, COMPUTER TRAINING, ETC.","20866 PROFESSIONAL: COMPUTER TRAINING, HOSPITAL/PHARMACY, LEGAL, ETC.","20868 PROJECT MANAGEMENT","83883 TELECOMMUNICATION (INTERNET PROTOCOL) NETWORK MONITORING, SURVEILLANCE, INTRUSION","90740 ENGINEERING SERVICES, NON-LICENSED (NOT OTHERWISE CLASSIFIED)","91596 WEB PAGE DESIGN, MANAGEMENT AND MAINTENANCE SERVICES","91800 CONSULTING SERVICES","91828 COMPUTER HARDWARE CONSULTING","91829 COMPUTER SOFTWARE CONSULTING",
"Birsch Industries, Incorporated","476 Viking Drive, Suite 102 Virginia Beach 23452","S","6391","10/25/2019",,"3549","Jay Birsch","info@birsch.com","(P) (757) 622-0355 / (F) (757) 625-7552","48500 Janitorial supplies",,,,,,,,,,,
"ATLANTIC UNDERGROUND CONSTRUCTION LLC","PO BOX 305 DELTAVILLE 23043","WS","707922","10/20/2019",,"105275","BEVERLY KIDD","BKIDD@ATLANTICUNDERGROUND.COM","(P) (804)815-9393 / (F)","91300 CONSTRUCTION HEAVY","91200 CONSTRUCTION GENERAL",,,,,,,,,,
"Team Henry Enterprises, LLC","817 48th Street Newport News 23607","MS","652572","8/1/2018",,"71613","Angela D. Henry","ahenry@teamhenryent.com","(P) 686-4460 / (F) 483-3823","98814 Roadside services (erosion control services)","90976 Site work","91327 Construction highway & road","91310 Construction airport roadway","15500 Buildings and structures; fabricated & pre-fabricated.",,,,,,,
"DOMINION ENERGY MANAGEMENT, INC. dba DOMINION ENERGY MANAGEMENT","11250 B HOPSON ROAD ASHLAND 23005","MS","666634","8/25/2019",,,"GERALD MWANGI","GERALD.MWANGI@DEMIVA.COM","(P) (804)798-3189 / (F) (804)798-3878","3126 COMMERCIAL TEMPERATURE CONTROLS",,,,,,,,,,,
"Impact Imaging Enterprises, Inc.","8240 Cumberland Road New Kent 23124","MS","626821","8/16/2019","Micro-Business","76668","Sandra Jefferson","sssamjeff@aol.com","(P) (804) 966-8686 / (F) (804) 966-5009","61500 OFFICE SUPPLIES, GENERAL","20700 COMPUTER ACCESSORIES AND SUPPLIES","20772 PRINTER ACCESSORIES AND SUPPLIES: CHEMICALS, FORMS TRACTORS, INKS AND CARTRIDGES, LABEL SHEETS, SHEET FEEDERS, TONER CARTRIDGES, WHEELS, ETC.","20779 RECYCLED COMPUTER ACCESSORIES AND SUPPLIES","61000 OFFICE SUPPLIES: CARBON PAPER AND RIBBONS, ALL TYPES","48500 JANITORIAL SUPPLIES, GENERAL LINE","42500 FURNITURE: OFFICE","34500 FIRST AID AND SAFETY EQUIPMENT AND SUPPLIES (EXCEPT NUCLEAR AND WELDING)","95800 MANAGEMENT SERVICES","95844 FOOD MANAGEMENT SERVICES","91835 DISADVANTAGE BUSINESS ENTERPRISE (DBE) AND HISTORICALLY UNDERUTILIZED BUSINESS (HUB) CONSULTING INCLUDING TECHNICAL ASSISTANCE",
"Trophy World, Inc.","10235 Warwick Blvd. Newport News 23601","S","659849","8/4/2019","Micro-Business","39988","Robert Hilling","trophyworldinc@aol.com","(P) (757) 595-7354 / (F) (757) 595-7685","8078 ENGRAVING, PLAQUES, TROPHIES",,,,,,,,,,,
"Apollo Press, Inc.","270 Enterprise Drive Newport News 23603","S","649851","7/20/2018",,"43005","Kathy Taylor","jtaylor@apollopress.com","(P) 757-247-9002 / (F) 757-247-7662","96600 Printing and typesetting services","96657 Offset printing, general small press work (quan. up to 25,000), one or more colors,  no 4 color processes or large solids or close registration","96631 Envelope printing","96636 Forms printing (not continuous)","96663 Offset printing, booklets, saddle stitch binding (quantities up to 100,000), 4 color process or tight registration required, books, magazines, etc.","96665 Offset printing, books, perfect bound (quantity up to 10,000) 4 color process acceptable, college catalogues, telephone books, etc.","96660 Offset printing, large production runs (quantity up to 100,000), 4 color process or close registration required, color brochures, maps, etc.","96651 Letterhead printed","96618 Copying services (reproduction)","96676 Print-on-demand printing services (including print and distribute services)","96662 Offset printing, booklets, saddle stitch binding (quantity under 100,000), books and magazines",
"ENVIRONMENTAL SPECIALTIES GROUP, INC.","5007-C #211 Victory Boulevard Yorktown 23693","WS","626344","11/5/2016",,"26963","Julie Steele Walls","admin@envspgroup.com","(P) (757) 599-7051 / (F) (757) 599-7509","96132 ENVIRONMENTAL IMPACT STUDIES","92600 ENVIRONMENTAL SERVICES",,,,,,,,,,
"SOUTHWEST PLASTIC BINDING COMPANY DBA SOUTHWEST BINDING & LAMINATING COMPANY","109 MILLWELL COURT MARYLAND HEIGHTS 63043","S","8531","11/17/2017",,"HCS","DALE CHRISTIANSEN","SALES@SWBINDINGLAMINATING.COM","(P) (800)325-3628 / (F) (800)942-2010","8010 DOCUMENT BINDING EQUIPMENT & SUPPLIES, LAMINATING EQUIPMENT & SUPPLIES, SHRINKWRAP EQUIPMENT & SUPPLIES","12510","64535","66538","66542","70010","70074","70075","88088",,,
"Old Dominion Electrical Supply, Inc.","P.O. Box 25644, Richmond, VA 23260","MS","23","9/1/2017",,"87744","Phil Stitt","pstitt@netzero.net","(P) (757) 509-5706   / (F) (757) 848-5804","28500 Electrical equipment and supplies","28080 Underground cables and wires, solid and stranded, single and multiconductor, aluminum and copper: types UF, URD, USE, XLP, etc.","28024 Building cables and wires, single and multiconductor: types NM, THWN, TW, THW, THHN, XHHW, RHW, RR, ROMEX, etc.","28030 Control cables and wires, solid and stranded, single and multiconductor (up to 600V for use in boiler controls, fire alarms, motors, etc.)","28008 Appliance, fixture, and portable cables and wires (up to 600V): types S, SJ, SJO, SO, SPT, TF, TFF, etc.","28550 Lamps: fluorescent, incandescent, mercury vapor, quartz and sodium vapor","28537 Generators, portable, engine driven (including fog and mist types)","28519 Conduit and fittings, plastic/PVC","28554 Lighting fixtures, indoor: all kinds and parts (including lampholders and recycles types)","28556 Lighting fixtures, outdoor: Floodlights, spotlights, yard lights, and all other weatherproof fixtures (except streetlights)(including recycled types)","67000 PLUMBING EQUIPMENT, FIXTURES, AND SUPPLIES","55725 Electrical Accessories & Parts"
"Knihts Towing","615 Regional Dr., Hampton, VA 23661","MS","723036","2/18/2020","Micro-Business",,"Romeo Toro","Info@voes.us","(P) (757) 775-1159","96899 Towing","07360 Trailers, Various Types (Dump Truck)",,,,,,,,,,
"Rutherford Janitor Supply","2522 Hermitage Road Richmond 23220","S","647435","10/21/2017",,"104344","Dawn  Sullivan","dsullivan@rutherfordsupply.com","(P) (804) 353-0445 / (F) (804) 353-1544","48500 JANITORIAL SUPPLIES, GENERAL LINE",,,,,,,,,,,
"CecureData LLC","7092 Strath Rd., Richmond, VA 23231","MS","726763","9/11/2022","Micro-Business",,"Willie Green","willie.green@cecuredata.com","(P)(757) 609-04601","20890 Utilities: Back-up, Batch File, Firewall, Menus, Operating System, Network Operating System, Network Management, Recovery, Screen, Security, Virus Pro","25778 Security Enhancement Equipment, Cyber","91893 Personnel Services, Temporary","92000 DATA PROCESSING, COMPUTER, PROGRAMMING, AND SOFTWARE SERVICES","92400 EDUCATIONAL/TRAINING SERVICES","92416 Course Development Services, Instructional/Training","92440 Instructor-led, Classroom Training (Technical)","94620 Auditing","95823 Information Security consulting, staffing and managed services","96269 IT Consulting","99048 Identity Theft Protection and Data Security Services",
"Central Security Services, LLC","1620 Merchant Lane, Hampton, VA 23666","WS","801710","2/1/2023","Micro-Business",,"Marilyn D. Matheny","mmatheny@centralsecurityservices.net","(P)(757) 279-7332/(F)(757) 257-9231","99046","99000",,,,,,,,,,
"Glover 38th St Holdings LLC","204 Salisbury Court, Smithfield, VA 23430","MS","801609","12/11/2022",,,"Dr. Ahmad Glover","contracts@g38consulting.com","(P)(310) 722-9445","96156 Program/Project Development and Management Services",,,,,,,,,,,
"ATLANTIC RAILING, INC.","1 NEWSOME PLACE HAMPTON 23661","S","691214","12/10/2017",,,"SHARON KELLY","sharon@atlanticrailing.com","(P) (757)595-4148 / (F) (757)595-4149","54075 RAILING",,,,,,,,,,,
"Paradise All Cleaning Solutions","P.O. Box 403, Williamsburg, VA 23187","MS","720667","6/7/2019",,,"Leo Aquino","info@onestopcleaningllc.com","(P)(757) 206-4270-(F)(757) 206-4270","96221 janitorial services",,,,,,,,,,,
"WALDROUP SOMMER & ASSOCIATES, LLC","1811 BROADSTREET ROAD HAMPTON 23666","WS","691737","12/22/2017",,"103385","TAMMY L.  WALDROUP","TWALDROUP@COX.NET","(P) (757)725-1878 / (F) (757)896-9181","91875 MANAGEMENT CONSULTING SERVICES",,,,,,,,,,,
"LaRock Associates, Inc.","1816 Upper James Ct., Virginia Beach, VA 23454","WS","647459","11/15/2022","Micro-Business",,"Joan LaRock","joan.larock@verizon.net","(P) (202) 438-1920/(F) (757) 468-1514","28547 Lamps: Decorative, Household","28548 Lamps: Desk, Floor, and Table","91843 Environmental Consulting","92600 ENVIRONMENTAL AND ECOLOGICAL SERVICES","28550 Lamps: Fluorescent, Incandescent, Mercury Vapor, Quartz, and Sodium Vapor",,,,,,,
