"last_name","first_name","position","location_1","state","room_","area","work_phone","division","section"
"Trew","Mary","Judge","50 Washington St
,  ","IL","CL24","312","603-1260","Domestic Relation",
"Murphy","Thomas","Judge","10220 76th Ave
,  ","IL","104A","708","974-6534","Municipal","District 5"
"Kottaras","Demetrios","Judge","1100 Hamilton Ave
,  ","IL",,"312","433-4756","Child Protection",
"Balanoff","Robert","Judge","1100 Hamilton Ave
,  ","IL","CO21AW","312","433-4756","Child Protection",
"Van Tine","Rena","Judge","1100 Hamilton Ave
,  ","IL","G027AW","312","433-4756","Child Protection",
"Valderrama","Franklin","Judge","50 Washington St
,  ","IL","2305","312","603-6034","Chancery",
"Chiampas","Peggy","Judge","2600 California Ave
,  ","IL","100","773","674-2881","Municipal","District 1"
"Hanlon","Kay","Judge",,"IL","106","847","818-2286","Municipal","District 3"
"Sconza","Joseph","Judge","50 Washington St
,  ","IL","1103","312","603-4531","Municipal","District 1"
"Hill","Stanley","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Jagielski","Raymond","Presiding Judge","10220 76th Ave
,  ","IL","205L","708","974-6286","Municipal","District 5"
"Willis","Camille","Judge","16501 Kedzie Pkwy
,  ","IL","208","708","232-4170","Municipal","District 6"
"Joyce","Timothy","Judge","2600 California Ave
,  ","IL","3A15","773","674-3160","Criminal",
"Burke","Dennis","Judge","50 Washington St
,  ","IL","2306","312","603-6048","Law","Jury"
"Biebel","Paul","Presiding Judge","2600 California Ave
,  ","IL","101","773","674-3160","Criminal",
"Obbish","James","Judge","2600 California Ave
,  ","IL","706","773","674-3173","Criminal",
"Peters","Daniel","Judge","10220 76th Ave
,  ","IL",,"708","974-6286","Municipal","District 5"
"Rhodes","James","Judge","16501 Kedzie Pkwy
,  ","IL","106","708","232-4170","Municipal","District 6"
"Brosnahan","Mary","Judge","2600 California Ave
,  ","IL","404","773","674-7449","Criminal",
"Billik","Richard","Judge","50 Washington St
,  ","IL","2601","312","603-5415","Chancery",
"Mikva","Mary","Judge","50 Washington St
,  ","IL","2508","312","603-4890","Chancery",
"Vega","Raul","Judge","50 Washington St
,  ","IL","3001","312","603-7957","Domestic Relation",
"Castiglione","Frank","Judge","10220 76th Ave
,  ","IL","206A","708","974-6541","Municipal","District 5"
"Bartkowicz","Ronald","Judge","50 Washington St
,  ","IL","2101","312","603-5910","Law","Individual Commercial Calendar"
"Jordan","Michelle","Supervising Judge","727 111th St
,  ","IL",,"773","982-3035","Municipal","District 1"
"Sweeney","Rhoda","Judge","50 Washington St
,  ","IL","1101","312","603-4415","Municipal","District 1"
"Flood","Lawrence","Judge","2600 California Ave
,  ","IL","306","773","674-7440","Criminal",
"Ginex","Gregory","Judge","1500 Maybrook Dr
,  ","IL","287","708","865-6060","Municipal","District 4"
"Sharkey","Terrence","Judge","1100 Hamilton Ave
,  ","IL","G026S","312","433-4757","Juvenile Justice",
"Solganick","Irwin","Judge","50 Washington St
,  ","IL","2605","312","603-6551","Law","Jury"
"Kennedy","Kathleen","Judge","50 Washington St
,  ","IL","3010","312","603-4894","Domestic Relation",
"Hopkins","Vanessa","Judge","50 Washington St
,  ","IL","2309","312","603-6482","Law",
"Karnezis","Themis","Judge","160 LaSalle St
,  ","IL","N1511","312","793-5413","Appellate",
"Bernstein","Steven","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Byrne","Thomas","Judge","5555 Grand Ave
,  ","IL","BR. 23","773","804-6154","Municipal","District 1"
"Elrod","Richard","Judge","50 Washington St
,  ","IL","2501","312","603-7991","Law","Jury"
"O'Hara","James","Judge","50 Washington St
,  ","IL","2206","312","603-6348","Law","Motions"
"Roberts","Mary","Judge","2600 California Ave
,  ","IL","765","773","674-3160","Criminal",
"Hill","Arthur","Judge","2600 California Ave
,  ","IL","208","773","674-3193","Criminal",
"Luckman","Marvin","Judge",,"IL",,"312","404-3316","Municipal","District 1"
"Ocasio","Ramon","Judge","2600 California Ave
,  ","IL","100","773","674-2881","Municipal","District 1"
"Clancy","Michael","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Ramos","Sandra","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Davy","Thomas","Judge","10220 76th Ave
,  ","IL","108J","708","974-6542","Criminal","District 5"
"Mitchell","Raymond","Judge","50 Washington St
,  ","IL","2004","312","603-5918","Law","Individual Commercial Calendar"
"Boyd","William","Judge","50 Washington St
,  ","IL","1605","312","603-4836","Domestic Relation",
"Lewis","Casandra","Judge","50 Washington St
,  ","IL","409","312","603-2652","Municipal","District 1"
"Huff","John","Judge","1100 Hamilton Ave
,  ","IL",,"312","433-4756","Child Protection",
"Jones","Dorothy","Judge","50 Washington St
,  ","IL","1308","312","603-3484","Municipal","District 1"
"Riebman","Hyman","Judge",,"IL","110","847","818-2286","Municipal","District 3"
"Tolmaire","Elmer","Judge","50 Washington St
,  ","IL","2571","312","603-4467","Law","Tax & Miscellaneous Remedy"
"Larsen","Diane","Judge","50 Washington St
,  ","IL","2202","312","603-4643","Law","Motions"
"McHale","Michael","Judge","2600 California Ave
,  ","IL","765","773","674-3160","Criminal",
"Flannery","James","Judge","50 Washington St
,  ","IL","2603","312","603-6414","Law","Jury"
"Maras","Marcia","Judge","50 Washington St
,  ","IL","2006","312","603-5923","Law","Jury"
"Geanopoulos","Nicholas","Judge","1100 Hamilton Ave
,  ","IL",,"312","433-4756","Child Protection",
"Sherlock","Patrick","Judge","50 Washington St
,  ","IL","1401","312","603-4371","Municipal","District 1"
"Donnelly","Christopher","Judge","16501 Kedzie Pkwy
,  ","IL","206","708","232-4170","Municipal","District 6"
"Skryd","David","Judge",,"IL",,"773","265-8927","Municipal","District 1"
"Hartigan","Russell","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Ward Kirby","Maureen","Judge","50 Washington St
,  ","IL","1711","312","603-6194","County",
"O'Brien","Joan","Judge","10220 76th Ave
,  ","IL","202A","708","974-6826","Municipal","District 5"
"Clifford","Robert","Judge","16501 Kedzie Pkwy
,  ","IL","207","708","232-4170","Municipal","District 6"
"Logue","Patricia","Judge","50 Washington St
,  ","IL","1506","312","603-5545","Domestic Relation",
"Panarese","Joseph","Judge","50 Washington St
,  ","IL","1108","312","603-4542","Municipal","District 1"
"Griffin","John","Judge","50 Washington St
,  ","IL","2803CO","312","603-3893","Chancery",
"Walsh","Richard","Judge","1100 Hamilton Ave
,  ","IL","G028S","312","433-4757","Juvenile Justice",
"Eadie-Daniels","Loretta","Judge","16501 Kedzie Pkwy
,  ","IL","098","708","232-4170","Municipal","District 6"
"Griffin","Maxwell","Judge","1100 Hamilton Ave
,  ","IL","C025AW","312","433-4756","Child Protection",
"Wool","Leon","Judge","50 Washington St
,  ","IL","1304","312","603-5007","Municipal","District 1"
"Gamrath","Celia","Judge","50 Washington St
,  ","IL","403","312","603-7400","Domestic Relation",
"Mathein","Veronica","Judge","50 Washington St
,  ","IL","3009","312","603-4279","Domestic Relation",
"Aguilar","Carmen","Judge","1500 Maybrook Dr
,  ","IL","295","708","865-6060","Municipal","District 4"
"Mulroy","Thomas","Judge","50 Washington St
,  ","IL","2207","312","603-6058","Law","Individual Commercial Calendar"
"Propes","Lorna","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Crane","Clayton","Judge","2600 California Ave
,  ","IL","600","773","674-3176","Criminal",
"Kunkle","William","Judge","10220 76th Ave
,  ","IL","107A","708","974-6542","Criminal","District 5"
"Ponce de Leon","Edmund","Presiding Judge","50 Washington St
,  ","IL","1701","312","603-6194","County",
"Panarese","Donald","Judge","2600 California Ave
,  ","IL",,"773","674-3160","Municipal","District 1"
"MacCarthy","Terence","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Arnold","Nancy","Judge","50 Washington St
,  ","IL","2502","312","603-6008","Chancery",
"McGing","James","Judge","50 Washington St
,  ","IL","1111","312","603-4532","Municipal","District 1"
"Clay-Herron","LaGuina","Judge","50 Washington St
,  ","IL","1706","312","603-6194","County",
"Tristano","Sandra","Judge",,"IL","104","847","818-2286","Municipal","District 3"
"Garber","Sheldon","Supervising Judge","50 Washington St
,  ","IL","1404","312","603-4864","Municipal","District 1"
"Murphy","Timothy","Judge","50 Washington St
,  ","IL","401","312","603-2098","Domestic Relation",
"Donnelly","Thomas","Judge","50 Washington St
,  ","IL","1571","312","603-6075","Municipal","District 1"
"Kogan","Randye","Judge","50 Washington St
,  ","IL","2209","312","603-6056","Law","Motions"
"Tucker","Thomas","Judge","1500 Maybrook Dr
,  ","IL","281","708","865-6060","Municipal","District 4"
"Liu","Laura","Judge","50 Washington St
,  ","IL","2807CO","312","603-7554","Chancery",
"Sullivan","Laura","Judge","2600 California Ave
,  ","IL","101","773","674-3160","Municipal","District 1"
"Filan","Denise","Judge","10220 76th Ave
,  ","IL","101A","708","974-6534","Municipal","District 5"
"Santiago","Leida J.","Judge","50 Washington St
,  ","IL","1608","312","603-4832","Domestic Relation",
"Pethers","Sheryl","Judge","50 Washington St
,  ","IL","1106","312","603-4548","Municipal","District 1"
"Miranda","Daniel","Judge","1500 Maybrook Dr
,  ","IL","283","708","865-4812","Domestic Relation",
"Simko","Darryl","Judge","50 Washington St
,  ","IL","2806","312","603-3914","Chancery",
"Bowden","Darron","Judge","16501 Kedzie Pkwy
,  ","IL","104","708","232-4170","Municipal","District 6"
"Brown","James","Judge","2600 California Ave
,  ","IL","101","773","674-2881","Municipal","District 1"
"Howard","Garritt","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Municipal","District 2"
"Walker","Carl","Judge","1100 Hamilton Ave
,  ","IL","G018N","312","433-4757","Juvenile Justice",
"Pantle","Kathleen","Judge","50 Washington St
,  ","IL","2410","312","603-6025","Chancery",
"Condon","Thomas","Judge","16501 Kedzie Pkwy
,  ","IL","204Q","708","232-4170","Municipal","District 6"
"Kawamoto","Lynne","Judge","50 Washington St
,  ","IL","1807","312","603-6440","Probate",
"Wise","William","Judge","1500 Maybrook Dr
,  ","IL","119","708","865-6060","Municipal","District 4"
"Nega","Marya","Judge","50 Washington St
,  ","IL","1603","312","603-4839","Domestic Relation",
"Bertucci","Robert","Judge","50 Washington St
,  ","IL","1702","312","603-6194","County",
"Haberkorn","Catherine","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Criminal","District 2"
"Hughes","Bridget","Judge",,"IL","103","847","818-2286","Municipal","District 3"
"Brewer","Tommy","Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Egan","Lynn","Judge","50 Washington St
,  ","IL","1904","312","603-5930","Law","Individual General Calendar"
"Lustig","Patrick","Judge","50 Washington St
,  ","IL","2812","312","603-3915","Law",
"McGury","Kathleen","Judge","50 Washington St
,  ","IL","1806","312","603-6499","Probate",
"Kennedy","Kerry","Judge","10220 76th Ave
,  ","IL","102A","708","974-6534","Municipal","District 5"
"Stevens","Richard","Judge","1100 Hamilton Ave
,  ","IL","G015AW","312","433-4756","Child Protection",
"Cohen","Neil","Judge","1500 Maybrook Dr
,  ","IL","295","708","865-6060","Municipal","District 4"
"Fecarotta","Thomas","Judge",,"IL","204","847","818-2286","Municipal","District 3"
"Roti","Thomas","Judge",,"IL","203","847","818-2286","Municipal","District 3"
"Rivkin-Carothers","Anita","Judge","50 Washington St
,  ","IL","1403","312","603-4816","Municipal","District 1"
"O'Hara","Thomas","Supervising Judge","16501 Kedzie Pkwy
,  ","IL","203","708","232-4170","Municipal","District 6"
"Love","Noreen","Judge","1500 Maybrook Dr
,  ","IL","143","708","865-6060","Municipal","District 4"
"Reddick","Erica","Judge","1100 Hamilton Ave
,  ","IL",,"312","433-4756","Child Protection",
"Hooks","William","Judge","2600 California Ave
,  ","IL","501","773","674-3160","Criminal",
"Williams-Hayes","Shelli","Judge","50 Washington St
,  ","IL","1410","312","603-4871","Municipal","District 1"
"Baird","Callie","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Municipal","District 2"
"Karkula","Paul","Judge","50 Washington St
,  ","IL","1713","312","603-6194","County",
"Veal","Pamela E.","Judge","50 Washington St
,  ","IL","1102","312","603-4545","Municipal","District 1"
"Cesario","Cheryl","Judge","50 Washington St
,  ","IL","1811","312","603-5943","Probate",
"Snyder","James","Judge","50 Washington St
,  ","IL","1501","312","603-4854","Municipal","District 1"
"Ingram","Cheyrl","Presiding Judge","1500 Maybrook Dr
,  ","IL",,"708","865-6060","Municipal","District 4"
"Hamilton","R.","Judge","50 Washington St
,  ","IL","1508","312","603-4808","Domestic Relation",
"Fletcher","Kenneth","Judge",,"IL","Br. 44","773","265-8915","Municipal","District 1"
"Ross","Dominique","Judge","50 Washington St
,  ","IL","1601A","312","603-4844","Domestic Relation",
"Meyer","Barbara","Judge","50 Washington St
,  ","IL","3003","312","603-5278","Domestic Relation",
"Gillis","Susan","Judge","50 Washington St
,  ","IL","1708","312","603-6194","County",
"Lowrance","Michele","Judge","50 Washington St
,  ","IL","2002","312","603-5913","Domestic Relation",
"Schuster","Naomi","Judge","50 Washington St
,  ","IL","3007","312","603-5018","Domestic Relation",
"Daly","Noreen","Judge","10220 76th Ave
,  ","IL","201B","708","974-6536","Municipal","District 5"
"Kazmierski","Joseph","Supervising","2600 California Ave
,  ","IL","400","773","674-3042","Criminal",
"Lawrence","Jeffrey","Judge","50 Washington St
,  ","IL","2208","312","603-6068","Law","Motions"
"Fabri","Candace","Judge","1100 Hamilton Ave
,  ","IL","G021AW","312","433-4756","Child Protection",
"Walker","Debra","Judge","50 Washington St
,  ","IL","2103A","312","603-5900","Domestic Relation",
"Jacobius","Moshe","Presiding Judge","50 Washington St
,  ","IL","2403","312","603-4181","Chancery",
"Banks","Patricia","Presiding Judge","50 Washington St
,  ","IL","2505","312","603-4347","Elder Law & Misc. Remedy",
"Gomolinski","William","Judge","50 Washington St
,  ","IL","1402","312","603-4862","Municipal","District 1"
"Burch","Clarence","Judge","555 Harrison St
,  ","IL","304","312","325-9000","Municipal","District 1"
"Swanson","Alfred","Judge","50 Washington St
,  ","IL","2808CO","312","603-3914","Chancery",
"Grossi","Gilbert","Judge","1500 Maybrook Dr
,  ","IL","293","708","865-6060","Municipal","District 4"
"Cooper","Donna","Judge","176501 Kedzie Pkwy
,  ","IL","099","708","232-4170","Juvenile Justice",
"Goldfarb","Renee","Judge","50 Washington St
,  ","IL","2805","312","603-3897","Domestic Relation",
"Shapiro","James","Judge","1500 Maybrook Dr
,  ","IL","128","708","865-6060","Municipal","District 4"
"Mandeltort","Ellen","Judge",,"IL","208","847","818-2286","Municipal","District 3"
"Flanagan","Thomas","Judge","50 Washington St
,  ","IL","1610","312","603-4834","Law","Jury"
"McCarthy","James","Judge","50 Washington St
,  ","IL","1604","312","603-4824","Law","Jury"
"Allen","Thomas","Judge","50 Washington St
,  ","IL","1812","312","603-5964","Probate",
"Murphy","Allen","Judge","16501 Kedzie Pkwy
,  ","IL","105P","708","232-4170","Municipal","District 6"
"Sterba","David","Judge","160 LaSalle St
,  ","IL","N1506","312","793-5406","Appellate",
"Kulys Hoffman","Margarita","Judge",,"IL","207","847","818-2286","Municipal","District 3"
"Preston","Lee","Judge","50 Washington St
,  ","IL","2102","312","603-6039","Chancery",
"Warnick","Jeffrey","Judge","5600 Old Orchard Rd
,  ","IL",,"847","470-7200","Municipal","District 2"
"Patti","Sebastian","Presiding Judge","555 Harrison St
,  ","IL","4400","312","325-9000","Domestic Violence",
"Wright","E.","Presiding Judge","50 Washington St
,  ","IL","1303","312","603-6132","Municipal","District 1"
"Hyland","Colleen","Judge","10220 76th Ave
,  ","IL","208A","708","974-6541","Municipal","District 5"
"Brewer","Eileen","Judge","50 Washington St
,  ","IL","2204","312","603-4646","Law","Motions"
"Brim","Cynthia","Judge","16501 Kedzie Pkwy
,  ","IL","104T","708","232-4170","Municipal","District 6"
"Havis","Donald","Judge","10220 76th Ave
,  ","IL","201A","708","974-6826","Municipal","District 5"
"Mulhern","Mary","Judge","50 Washington St
,  ","IL","2105","312","603-4550","Law","Jury"
"Burrell","Anthony","Judge","50 Washington St
,  ","IL","1104","312","603-4546","Municipal","District 1"
"Howlett","Michael","Judge",,"IL",,"847","470-7200","Criminal","District 2"
"O'Brien","Gregory","Judge","50 Washington St
,  ","IL","1810","312","603-6466","Probate",
"Coghlan","Matthew","Judge","2600 California Ave
,  ","IL","305","773","674-7443","Criminal",
"Jones","Linzey","Judge","10220 76th Ave
,  ","IL","201-B","708","974-6542","Municipal","District 5"
"Panter","Michael","Judge","50 Washington St
,  ","IL","2205","312","603-6094","Law","Motions"
"Berger","Helaine","Judge","1100 Hamilton Ave
,  ","IL","G031AW","312","433-4756","Child Protection",
"Heaston","Curtis","Supervising Judge","1100 Hamilton Ave
,  ","IL","G032S","312","433-4757","Juvenile Justice",
"Thomas","Sybil","Judge","1100 Hamilton Ave
,  ","IL","G019AW","312","433-4756","Child Protection",
"Johnson","Marilyn","Judge","1100 Hamilton Ave
,  ","IL","CO31AW","312","433-4756","Child Protection",
"Katz","Stuart","Judge","1100 Hamilton Ave
,  ","IL","G022N","312","433-4757","Juvenile Justice",
"Williams","Walter","Supervising Judge","50 Washington St
,  ","IL","400","312","603-2600","Municipal","District 1"
"Bertucci Smith","Laura","Judge","555 Harrison St
,  ","IL","301","312","325-9000","Domestic Violence",
"Burns","Charles","Judge","2600 California Ave
,  ","IL","202","773","674-7428","Criminal",
"O'Neal","William","Judge","16501 Kedzie Pkwy
,  ","IL","204-Q","708","232-4170","Municipal","District 6"
"Palmer","Stuart","Judge","50 Washington St
,  ","IL","2302","312","603-6041","Chancery",
"Clay","Evelyn","Supervising Judge","2600 California Ave
,  ","IL","402","773","674-3208","Criminal",
"Garcia","Rodolfo","Judge","160 LaSalle St
,  ","IL","N1612","312","793-5424","Appellate",
"O'Brien","Patrick","Judge","50 Washington St
,  ","IL","1301","312","603-2600","Municipal","District 1"
"Kull","Geary","Judge","1500 Maybrook Dr
,  ","IL","124","708","865-6060","Municipal","District 4"
"Minella","Mary","Judge","50 Washington St
,  ","IL","1510","312","603-4805","Municipal","District 1"
"Bourgeois","Yolande","Judge","555 Harrison St
,  ","IL","401","312","325-9000","Domestic Violence",
"Zafiratos","James","Judge","50 Washington St
,  ","IL","1711","312","603-6194","County",
"Connolly","Stephen","Judge","10220 76th Ave
,  ","IL","109A","708","974-6288","Municipal","District 5"
"Wadas","Kenneth","Supervising Judge","2600 California Ave
,  ","IL","502","773","674-7452","Criminal",
"Ballard","Mark","Supervising Judge","50 Washington St
,  ","IL","1707A","312","603-6194","County",
"Turner","John","Judge","16501 Kedzie Pkwy
,  ","IL","201","708","232-4170","Municipal","District 6"
"Chambers","Timothy","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Municipal","District 2"
"Quinn","Carolyn","Judge","50 Washington St
,  ","IL","2308","312","603-6052","Chancery","Mortgage Foreclosure/Mechanics` Lien"
"Hardy-Campbell","La Quietta","Judge","50 Washington St
,  ","IL","3006","312","603-6417","Domestic Relation",
"Cannon","Diane","Judge","2600 California Ave
,  ","IL","506","773","674-3196","Criminal",
"Sarley","Bernard","Judge","1100 Hamilton Ave
,  ","IL",,"312","433-4756","Child Protection",
"Malone","Daniel","Judge","50 Washington St
,  ","IL","1105","312","603-4532","Municipal","District 1"
"Jones","Rickey","Judge","2600 California Ave
,  ","IL","304","773","674-7446","Criminal",
"Simmons","Michele","Judge","16501 Kedzie Pkwy
,  ","IL","103","708","232-4170","Municipal","District 6"
"Doody","John","Judge","2600 California Ave
,  ","IL","201","773","674-7431","Criminal",
"Howard","Carol","Judge","2600 California Ave
,  ","IL","203","773","674-7413","Criminal",
"Karahalios","James","Judge",,"IL",,"847","818-2286","Municipal","District 3"
"Winkler","Charles","Judge","50 Washington St
,  ","IL","2304","312","603-6044","Law","Jury"
"Jackson","William","Judge","5600 Old Orchard Rd
,  ","IL",,"847","470-7200","Municipal","District 2"
"Funderburk","Raymond","Judge","50 Washington St
,  ","IL","1504","312","603-4812","Municipal","District 1"
"Lipscomb","Thomas","Judge","50 Washington St
,  ","IL","2005","312","603-6343","Law","Jury"
"Myles","Raymond","Judge","2600 California Ave
,  ","IL","204","773","674-7422","Criminal",
"Demacopoulos","Anna","Judge","16501 Kedzie Pkwy
,  ","IL","205","708","232-4170","Municipal","District 6"
"Toomin","Michael","Presiding Judge","1100 Hamilton Ave
,  ","IL","8004","312","433-4757","Juvenile Justice",
"Lynch","Daniel","Judge","50 Washington St
,  ","IL","2811","312","603-7551","Law","Jury"
"Stralka","Paul","Judge","1100 Hamilton Ave
,  ","IL","G024","312","433-4757","Juvenile Justice",
"Daleo","Paula","Judge","1500 Maybrook Dr
,  ","IL","123","708","865-6060","Municipal","District 4"
"Atkins","David","Judge","50 Washington St
,  ","IL","2801","312","603-3893","Chancery",
"McDonald","Barbara","Judge","50 Washington St
,  ","IL","2401","312","603-4811","Law","Individual Commercial Calendar"
"Reyes","Jesse","Judge","50 Washington St
,  ","IL","2809","312","603-7554","Chancery",
"Brown","Michael","Judge","2600 California Ave
,  ","IL","504","773","674-3201","Criminal",
"Feerick","Maureen","Judge","10220 76th Ave
,  ","IL","105A","708","974-6534","Municipal","District 5"
"Petrone","Angela","Judge","2600 California Ave
,  ","IL","3A15","773","674-3160","Criminal",
"Murphy Gorman","Joyce","Judge","50 Washington St
,  ","IL","1110","312","603-4540","Municipal","District 1"
"Kyriakopoulos","Anthony","Judge","50 Washington St
,  ","IL","2403","312","603-4181","Chancery",
"Vazquez","Gregory","Judge","1500 Maybrook Dr
,  ","IL","299","708","865-6060","Municipal","District 4"
"Sheehan","Colleen","Judge","1100 Hamilton Ave
,  ","IL","G038S","312","433-4757","Juvenile Justice",
"Sullivan","Sharon","Judge","5600 Old Orchard Rd
,  ","IL","219","847","470-7200","Criminal","District 2"
"Flaherty","Brian","Judge","16501 Kedzie Pkwy
,  ","IL","107","708","232-4170","Municipal","District 6"
"Rivera","Elizabeth","Judge","50 Washington St
,  ","IL","1908","312","603-5938","Domestic Relation",
"Hambright","Orville","Judge","50 Washington St
,  ","IL","1408","312","603-4869","Municipal","District 1"
"Laws","Marjorie","Presiding Judge","16501 Kedzie Pkwy
,  ","IL","204Q","708","232-4170","Municipal","District 6"
"Egan","James","Judge","50 Washington St
,  ","IL","1912","312","603-5940","Law","Motions"
"Coleman","Susan","Judge","50 Washington St
,  ","IL","1801","312","603-4684","Probate",
"Martin","LeRoy","Judge","50 Washington St
,  ","IL","2008","312","603-5926","Chancery",
"McGuire","Dennis","Judge","50 Washington St
,  ","IL","1112","312","603-4539","Municipal","District 1"
"Hogan","Thomas","Judge","50 Washington St
,  ","IL","1906","312","603-5935","Law","Jury"
"Kenworthy","Diana","Judge","555 Harrison St
,  ","IL","302","312","325-9000","Domestic Violence",
"Fleming","John","Judge","50 Washington St
,  ","IL","1814","312","603-6498","Probate",
"Ruble Murphy","Lisa","Judge","50 Washington St
,  ","IL","2807","312","603-3898","Domestic Relation",
"Gordon","Robert","Judge","160 LaSalle St
,  ","IL",,"312","793-4841","Appellate",
"Washington","Edward","Judge","50 Washington St
,  ","IL","2406","312","603-6020","Law","Jury"
"Novak","Rita","Judge","50 Washington St
,  ","IL","2402","312","603-5432","Chancery",
"Lopez Cepero","Robert","Judge","50 Washington St
,  ","IL","2310","312","603-6054","Law","Jury"
"Walowski","Ursula","Judge","555 Harrison St
,  ","IL","4400","312","325-9000","Domestic Violence",
"Pileggi","William","Supervising Judge","50 Washington St
,  ","IL","1109","312","603-4532","Municipal","District 1"
"Grussel","Susan","Judge","50 Washington St
,  ","IL","2504","312","603-6014","Law","Jury"
"Paul","Alfred","Judge","50 Washington St
,  ","IL","1704","312","603-6194","County",
"Loza","Pamela","Judge","50 Washington St
,  ","IL","2108","312","603-6024","Domestic Relation",
"Alonso","Jorge","Judge","2600 California Ave
,  ","IL","207","773","674-7425","Criminal",
