"link","report_date","fiscal_year"
"DOR INovah Reconciliation Process (http://opendocs.cookcountyil.gov/auditor/reports/DOR_Audit_Report_Final.pdf)","2020-07-16T00:00:00.000","2020-01-01T00:00:00.000"
"Animal Control (http://opendocs.cookcountyil.gov/auditor/reports/Animal_Control_Audit_Report_Final.pdf)","2020-07-16T00:00:00.000","2020-01-01T00:00:00.000"
"Legal Contractual Services Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Legal-Contractual-Services-Final-Audit-Report.pdf)","2017-09-28T00:00:00.000","2017-10-01T00:00:00.000"
"Contract Compliance Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Contract-Compliance-Final-Audit-Report.pdf)","2017-09-25T00:00:00.000","2017-10-01T00:00:00.000"
"CCRD Cash Management Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/CCRD-Cash-Management-Final-Audit-Report.pdf)","2017-09-25T00:00:00.000","2017-10-01T00:00:00.000"
"PA Inventory Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/PA_Inventory_Final_Audit_Report.pdf)","2017-05-31T00:00:00.000","2017-08-01T00:00:00.000"
"FPDCC Pool Revenue Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/FPDCC-Pool-Revenue-Final-Audit-Report.pdf)","2017-04-17T00:00:00.000","2017-01-01T00:00:00.000"
"FPDCC Grants Management Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/FPDCC-Grants-Management-Final-Audit-Report.pdf)","2017-04-17T00:00:00.000","2017-01-01T00:00:00.000"
"Law Library Revenue Operations Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Law-Library-Revenue-Operations-Final-Audit-Report.pdf)","2017-03-07T00:00:00.000","2017-01-01T00:00:00.000"
"Food Service Contract Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Food-Service-Contract-Final-Audit-Report.pdf)","2017-02-28T00:00:00.000","2017-01-01T00:00:00.000"
"FPD Central Warehouse Inventory Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/FPD-Central-Warehouse-Inventory-Final-Audit-Report.pdf)","2017-01-09T00:00:00.000","2017-10-01T00:00:00.000"
"DAFSS Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/DAFSS_Final_Audit_Report.pdf)","2016-10-03T00:00:00.000","2016-11-01T00:00:00.000"
"Vendor Payment Process (http://opendocs.cookcountyil.gov/auditor/reports/Vendor-Payment-Process-Final-Audit-Report.pdf)","2016-04-18T00:00:00.000","2016-07-01T00:00:00.000"
"Sole Source and Emergency Procurements Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Sole-Source-and-Emergency-Procurements-Final-Audit-Report.pdf)","2016-03-24T00:00:00.000","2016-07-01T00:00:00.000"
"JOC Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/JOC-Final-Audit-Report.pdf)","2016-03-21T00:00:00.000","2016-07-01T00:00:00.000"
"CCFPD Golf Contract Compliance (http://opendocs.cookcountyil.gov/auditor/reports/CCFPD-Golf-Contract-Compliance-Final-Audit-Report.pdf)","2016-03-03T00:00:00.000","2016-07-01T00:00:00.000"
"Travel Expenditures Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Travel-Expenditures-Final-Audit-Report.pdf)","2016-01-26T00:00:00.000","2016-01-01T00:00:00.000"
"Software Licenses Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Software-Licenses-Final-Audit-Report.pdf)","2016-01-25T00:00:00.000","2016-01-01T00:00:00.000"
"CCC Revenue Process Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/CCC-Revenue-Process-Final-Audit-Report.pdf)","2015-10-23T00:00:00.000","2015-01-01T00:00:00.000"
"ICF Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/ICF-Final-Audit-Report.pdf)","2015-09-22T00:00:00.000","2015-01-01T00:00:00.000"
"PD - HOME Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/PD-HOME-Final-Audit-Report.pdf)","2015-09-22T00:00:00.000","2015-01-01T00:00:00.000"
"IWF Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/IWF-Final-Audit-Report.pdf)","2015-09-22T00:00:00.000","2015-01-01T00:00:00.000"
"ITF Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/ITF-Final-Audit-Report.pdf)","2015-09-22T00:00:00.000","2015-01-01T00:00:00.000"
"Utility Audit Contract Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Utility-Audit-Contract-Final-Audit-Report.pdf)","2015-09-22T00:00:00.000","2015-01-01T00:00:00.000"
"DOTH Sale of Permits Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/DOTH-Sale-of-Permits-Final-Audit-Report.pdf)","2015-05-27T00:00:00.000","2015-01-01T00:00:00.000"
"JTDC Parking Management Services Contract Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/JTDC-Parking-Management-Services-Contract-Final-Audit-Report.pdf)","2015-05-27T00:00:00.000","2015-01-01T00:00:00.000"
"FPDCC Cash Management Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/FPDCC-Cash-Management-Final-Audit-Report.pdf)","2015-04-20T00:00:00.000","2015-01-01T00:00:00.000"
"Sheriff's Office OT Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Sheriffs-Office-OT-Final-Audit-Report.pdf)","2015-04-15T00:00:00.000","2015-01-01T00:00:00.000"
"Dental Insurance Benefits Contract Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Dental-Insurance-Benefits-Contract-Final-Audit-Report1.pdf)","2015-04-09T00:00:00.000","2015-01-01T00:00:00.000"
"Court Reporting Orders Process Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Court-Reporting-Orders-Process-Final-Audit-Report.pdf)","2015-01-28T00:00:00.000","2015-01-01T00:00:00.000"
"Delinquent Home Rule Taxes Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Delinquent-Home-Rule-Taxes-Final-Audit-Report.pdf)","2015-01-28T00:00:00.000","2015-01-01T00:00:00.000"
"CDBG Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/CDBG-Final-Audit-Report.pdf)","2015-01-07T00:00:00.000","2015-01-01T00:00:00.000"
"OCPP CIP Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/OCPP-CIP-Final-Audit-Report.pdf)","2014-10-30T00:00:00.000","2014-01-01T00:00:00.000"
"Juvenile Justice Fund Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Juvenile-Justice-Fund-Audit-Report.pdf)","2014-10-21T00:00:00.000","2014-01-01T00:00:00.000"
"Fleet Fringe Benefits Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Fleet-Fringe-Benefits-Final-Audit-Report.pdf)","2014-08-25T00:00:00.000","2014-01-01T00:00:00.000"
"DHSEM Grant Inventory Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/DHSEM-Grant-Inventory-Final-Audit-Report.pdf)","2014-08-22T00:00:00.000","2014-01-01T00:00:00.000"
"Highway Construction Contract Monitoring Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Highway-Construction-Contract-Monitoring-Final-Audit-Report.pdf)","2014-08-22T00:00:00.000","2014-01-01T00:00:00.000"
"Cash Reconciliation Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Cash-Reconciliation-Final-Audit-Report.pdf)","2014-08-22T00:00:00.000","2014-01-01T00:00:00.000"
"Wage Garnishment Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Wage-Garnishment-Final-Audit-Report.pdf)","2014-07-08T00:00:00.000","2014-01-01T00:00:00.000"
"Fidlar Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Fidlar-Final-Audit-Report.pdf)","2014-07-07T00:00:00.000","2014-01-01T00:00:00.000"
"Payroll Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Payroll-Final-Audit-Report.pdf)","2014-07-07T00:00:00.000","2014-01-01T00:00:00.000"
"69 West Washington Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/69-West-Washington-Final-Audit-Report.pdf)","2014-06-06T00:00:00.000","2014-01-01T00:00:00.000"
"Motor Fuel Gas Cards Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/Motor-Fuel-Gas-Cards-Final-Audit-Report.pdf)","2014-05-05T00:00:00.000","2014-01-01T00:00:00.000"
"OPG Case Management System Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/OPG-Case-Management-System-Final-Audit-Report.pdf)","2014-04-24T00:00:00.000","2014-01-01T00:00:00.000"
"ETSB Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/ETSB-Final-Audit-Report.pdf)","2014-04-04T00:00:00.000","2014-01-01T00:00:00.000"
"VACCC Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/VACCC-Final-Audit-Report.pdf)","2014-02-11T00:00:00.000","2014-01-01T00:00:00.000"
"LCC Final Audit Report (http://opendocs.cookcountyil.gov/auditor/reports/LCC_Final_Audit_Report.pdf)","2013-08-07T00:00:00.000","2013-09-01T00:00:00.000"
