"company","doing_business_as","address_line_1","address_line_2","city","state","zip_code","registration_account","tax_type","location"
"79TH AND OAK PARK MARKET INC",,"6759 W 79TH",,"BURBANK","IL","60459","1122362","Sweetened Beverage Home Rule","6759 W 79TH
BURBANK, IL 60459
(41.748292, -87.789631)"
"79TH FRESH FOOD & MEAT MARKET INC.",,"2900 E. 79TH STREET",,"CHICAGO","IL","60649","1124955","Sweetened Beverage Home Rule","2900 E. 79TH STREET
CHICAGO, IL 60649
(41.751891, -87.553724)"
"7 AND 12 FOOD MART INCORPORATE",,"6756 W DIVERSEY AVENUE",,"CHICAGO","IL","60707","1123456","Sweetened Beverage Home Rule","6756 W DIVERSEY AVENUE
CHICAGO, IL 60707
(41.930922, -87.795117)"
"7 KIDS TREAT LLC","CREAMERY","9320 W 171 ST",,"ORLAND HILLS","IL","60487","1123895","Sweetened Beverage Home Rule","9320 W 171 ST
ORLAND HILLS, IL 60487"
"7 SEAS FOOD MART #2",,"6501 S COTTAGE AVE",,"CHICAGO","IL","60637","1122378","Sweetened Beverage Home Rule","6501 S COTTAGE AVE
CHICAGO, IL 60637"
"83RD STREET GROCERY","83RD STREET GROCERY ","8357 S BUFFALO AVE",,"CHICAGO","IL","60617","1122157","Sweetened Beverage Home Rule","8357 S BUFFALO AVE
CHICAGO, IL 60617
(41.743068, -87.544223)"
"86 FOOD SERVICE LLC","DEARBORN MARKETPLACE","2455 S. DAMEN AVE",,"CHICAGO","IL","60608","1122727","Sweetened Beverage Home Rule","2455 S. DAMEN AVE
CHICAGO, IL 60608
(41.846849, -87.675685)"
"8745 LYONS INC","POSEN SHELL ","3033 W 147TH ST",,"POSEN","IL","60469","1124303","Sweetened Beverage Home Rule","3033 W 147TH ST
POSEN, IL 60469
(41.625968, -87.695254)"
"87TH MOBIL PETROL INC",,"4000 SOUTHWEST HWY",,"HOMETOWN","IL","60456","1122150","Sweetened Beverage Home Rule","4000 SOUTHWEST HWY
HOMETOWN, IL 60456
(41.734228, -87.723288)"
"87TH STREET GAS INC","CLARK GAS STATION ","1400 E 87TH ST",,"CHICAGO","IL","60619","1122837","Sweetened Beverage Home Rule","1400 E 87TH ST
CHICAGO, IL 60619
(41.736848, -87.590098)"
"94 FUEL INC",,"7900-7910 S LAFAYETTE",,"CHICAGO","IL","60620","1122357","Sweetened Beverage Home Rule","7900-7910 S LAFAYETTE
CHICAGO, IL 60620
(41.750757, -87.625834)"
"95TH AND KING ENTERPRISES INC",,"400 E 95TH ST",,"CHICAGO","IL","60619","1123993","Sweetened Beverage Home Rule","400 E 95TH ST
CHICAGO, IL 60619
(41.721946, -87.613801)"
"95TH FUEL MART INC","95TH CAR WASH ","1839 E 9TH ST",,"CHICAGO","IL","60617","1121834","Sweetened Beverage Home Rule","1839 E 9TH ST
CHICAGO, IL 60617"
"95TH MINI MART INC","95TH CITGO","2836 E 95TH ST.",,"CHICAGO","IL","60617","1122178","Sweetened Beverage Home Rule","2836 E 95TH ST.
CHICAGO, IL 60617
(41.722706, -87.554874)"
"95TH MINI MART INC",,"2863 E 95TH ST",,"CHICAGO","IL","60617","1123929","Sweetened Beverage Home Rule","2863 E 95TH ST
CHICAGO, IL 60617
(41.722713, -87.554353)"
"A2Z PETROLEUM INC","LAKE/1ST AVE CITGO ","15 N 1ST AVE",,"MAYWOOD","IL","60153","1123928","Sweetened Beverage Home Rule","15 N 1ST AVE
MAYWOOD, IL 60153
(41.888438, -87.834379)"
"AA1 RABKA INC","BABYLON DISCOUNT FOOD","1608 EMERSON ST",,"EVANSTON","IL","60210","1123263","Sweetened Beverage Home Rule","1608 EMERSON ST
EVANSTON, IL 60210
(42.052148, -87.694941)"
"AAA FOOD MART INC",,"2700 W 25TH ST",,"CHICAGO","IL","60608","1122862","Sweetened Beverage Home Rule","2700 W 25TH ST
CHICAGO, IL 60608
(41.846508, -87.692998)"
"AA AND S INC",,"3159 W CHICAGO SVE",,"CHICAGO","IL","60608","1122370","Sweetened Beverage Home Rule","3159 W CHICAGO SVE
CHICAGO, IL 60608
(41.895566, -87.706335)"
"A & A DOLLAR PLUS INC","HAPPY DOLLAR","3821 W 26TH ST",,"CHICAGO","IL","60623","1123192","Sweetened Beverage Home Rule","3821 W 26TH ST
CHICAGO, IL 60623
(41.844317, -87.720379)"
"AAI KHODIYAR INC",,"211 E JOILET STREET",,"OTTAWA","IL","61350","1123887","Sweetened Beverage Home Rule","211 E JOILET STREET
OTTAWA, IL 61350"
"A AND A FRUIT MARKET INC","ANDYS FRUIT RANCH ","4733 N KEDZIE",,"CHICAGO","IL","60625","1121700","Sweetened Beverage Home Rule","4733 N KEDZIE
CHICAGO, IL 60625
(41.967651, -87.708464)"
"A AND A GAS FUEL MINI FOOD MAR","CLARK","6700 S ASHLAND AVENUE",,"CHICAGO","IL","60636","1122107","Sweetened Beverage Home Rule","6700 S ASHLAND AVENUE
CHICAGO, IL 60636
(41.771831, -87.664102)"
"A AND A MINI MART INC",,"1556 W 63RD ST",,"CHICAGO","IL","60636","1122963","Sweetened Beverage Home Rule","1556 W 63RD ST
CHICAGO, IL 60636
(41.779496, -87.663454)"
"A AND D WHOLESALE",,"4545 W ARMITAGE",,"CHICAGO","IL","60639","1123699","Sweetened Beverage Home Rule","4545 W ARMITAGE
CHICAGO, IL 60639
(41.917012, -87.740534)"
"A AND D WHOLESALE","A AND D WHOLESALE ","4545 W ARMITAGE",,"CHICAGO","IL","60639","1123377","Sweetened Beverage Home Rule","4545 W ARMITAGE
CHICAGO, IL 60639
(41.917012, -87.740534)"
"A AND I FOOD MARKET INC",,"342 WEST 75TH STREET",,"CHICAGO","IL","60620","1122324","Sweetened Beverage Home Rule","342 WEST 75TH STREET
CHICAGO, IL 60620
(41.758094, -87.633702)"
"A AND J MEAT MARKET INC",,"9204 S COTTAGE GROVE",,"CHICAGO","IL","60619","1123359","Sweetened Beverage Home Rule","9204 S COTTAGE GROVE
CHICAGO, IL 60619
(41.727394, -87.604693)"
"A AND J PANTRY INC","COUNTRY PANTRY","4035 W 115TH STREET",,"ALSIP","IL","60803","1121884","Sweetened Beverage Home Rule","4035 W 115TH STREET
ALSIP, IL 60803
(41.683918, -87.721588)"
"A AND M EXPRESS MART INC","BIG SAMS FOOD MART AND CELLULAR ","133 E 75TH ST",,"CHICAGO","IL","60619","1122359","Sweetened Beverage Home Rule","133 E 75TH ST
CHICAGO, IL 60619
(41.758297, -87.620498)"
"A AND N FOOD INC","KIMBALL KWIK MART ","1700 N KIMBALL",,"CHICAGO","IL","60647","1122330","Sweetened Beverage Home Rule","1700 N KIMBALL
CHICAGO, IL 60647
(41.911952, -87.711736)"
"A AND P FOOD AND LIQUORS INC","A AND P FOOD AND LIQUORS INC ","1968 W PETERSON AVE",,"CHICAGO","IL","60660","1123357","Sweetened Beverage Home Rule","1968 W PETERSON AVE
CHICAGO, IL 60660
(41.990719, -87.679377)"
"A AND S SUPERMERCADO INC","MI MEXICO ","2601 W 59TH",,"CHICAGO","IL","60601","1123000","Sweetened Beverage Home Rule","2601 W 59TH
CHICAGO, IL 60601
(41.786514, -87.688886)"
"A.ANTIQUE COFFEE SERVICE INC","BREWSMART BEVERAGE ","975 CRISS CIRCLE",,"ELK GROVE VILLAGE","IL","60007","1121822","Sweetened Beverage Home Rule","975 CRISS CIRCLE
ELK GROVE VILLAGE, IL 60007
(42.031489, -87.972442)"
"ABADA INC",,"2818 W DEVON AVE",,"CHICAGO","IL","60659","1123287","Sweetened Beverage Home Rule","2818 W DEVON AVE
CHICAGO, IL 60659
(41.997537, -87.700672)"
"A BARR DISTRIBUTION INC",,"16300 103RD ST",,"LEMONT","IL","60439","1121711","Sweetened Beverage Home Rule","16300 103RD ST
LEMONT, IL 60439
(41.70016, -88.014199)"
"ABARROTES LA ROSITA INC",,"1902 S WOLF RD",,"WHEELING","IL","60090","1124238","Sweetened Beverage Home Rule","1902 S WOLF RD
WHEELING, IL 60090
(42.09614, -87.907737)"
"ABBASCO FOOD AND LIQUOR INC","BANNER LIQUOR AND TAP","10558 S WEING AVENUE",,"CHICAGO","IL","60617","1123723","Sweetened Beverage Home Rule","10558 S WEING AVENUE
CHICAGO, IL 60617
(41.702689, -87.540103)"
"AB COMPANY INC",,"6525 PROSEL STREET",,"LINCOLNWOOD","IL","60712","1123446","Sweetened Beverage Home Rule","6525 PROSEL STREET
LINCOLNWOOD, IL 60712"
"A & BDISTRIBUTION","A & BDISTRIBUTION","900 N. HAROLD AVE",,"NORTHLAKE","IL","60164","1124624","Sweetened Beverage Home Rule","900 N. HAROLD AVE
NORTHLAKE, IL 60164
(41.929104, -87.898034)"
"ABH FOOD AND LIQUOR",,"5345 W NORTH AVENUE",,"CHICAGO","IL","60639","1122112","Sweetened Beverage Home Rule","5345 W NORTH AVENUE
CHICAGO, IL 60639
(41.909422, -87.759873)"
"ABIA CORPORATION",,"4403 N ELSTON AVE",,"CHICAGO","IL","60630","1123143","Sweetened Beverage Home Rule","4403 N ELSTON AVE
CHICAGO, IL 60630
(41.960978, -87.729736)"
"ABILITY VENDING CO INC","ABILITY VENDING CO INC ","7364 N MILWAUKEE AVENUE",,"NILES","IL","60174","1121381","Sweetened Beverage Home Rule","7364 N MILWAUKEE AVENUE
NILES, IL 60174
(42.015443, -87.804438)"
"ABSOLUTE VENDING SERVICE INC.",,"70 N. GARDEN AVE.",,"ROSELLE","IL","60172","1120967","Sweetened Beverage Home Rule","70 N. GARDEN AVE.
ROSELLE, IL 60172
(41.984826, -88.102538)"
"ABU HASAN GAS AND MININ MART I",,"8721 S COTTAGE GROVE AVE",,"CHICAGO","IL","60619","1122381","Sweetened Beverage Home Rule","8721 S COTTAGE GROVE AVE
CHICAGO, IL 60619
(41.736045, -87.604299)"
"ABU WALID INC.","FOOD BASKET","7205 S HALSTED ST.",,"CHICAGO","IL","60621","1121853","Sweetened Beverage Home Rule","7205 S HALSTED ST.
CHICAGO, IL 60621
(41.763083, -87.644374)"
"ABY AND SUMMUR INC",,"308 E 75TH STREET",,"CHICAGO","IL","60619","1121891","Sweetened Beverage Home Rule","308 E 75TH STREET
CHICAGO, IL 60619
(41.758348, -87.617731)"
"ACE HARDWARE CORPORATION",,"2200 KENSINGTON COURT",,"OAK BROOK","IL","60523","1120971","Sweetened Beverage Home Rule","2200 KENSINGTON COURT
OAK BROOK, IL 60523
(41.842965, -87.952505)"
"A CERTIFIED FOOD MART INC","A CERTIFIED FOOD MART ","115 E 154TH ST",,"HARVEY","IL","60426","1121835","Sweetened Beverage Home Rule","115 E 154TH ST
HARVEY, IL 60426
(41.609922, -87.649464)"
"ACK OPERATING COMPANY LLC","McDONALDS ","22 W 421 ARMY TRAIL RD",,"ADDISON","IL","60101","1121396","Sweetened Beverage Home Rule","22 W 421 ARMY TRAIL RD
ADDISON, IL 60101"
"ADAM AND CICERO INC","ONE STOP SHOP ","206 S CICERO AVE",,"CHICAGO","IL","60644","1122964","Sweetened Beverage Home Rule","206 S CICERO AVE
CHICAGO, IL 60644
(41.878271, -87.745222)"
"ADAMBA IMPORTS INTL INC",,"110-120 RAWLS RD",,"DES PLAINES","IL","60018","1122920","Sweetened Beverage Home Rule","110-120 RAWLS RD
DES PLAINES, IL 60018
(42.02608, -87.916664)"
"ADAM FOOD MART FMX INC",,"559 N LARAMIE AVE",,"CHICAGO","IL","60644","1122053","Sweetened Beverage Home Rule","559 N LARAMIE AVE
CHICAGO, IL 60644
(41.891119, -87.755448)"
"ADAMS FOOD AND CELLULAR INC","ADAMS FOOD MART","6810 S STONY ISLAND AVENUE",,"CHICAGO","IL","60649","1121886","Sweetened Beverage Home Rule","6810 S STONY ISLAND AVENUE
CHICAGO, IL 60649
(41.771306, -87.58628)"
"ADEEB FOOD MART INC",,"5255 W MADISON",,"CHICAGO","IL","60644","1122965","Sweetened Beverage Home Rule","5255 W MADISON
CHICAGO, IL 60644
(41.880314, -87.75718)"
"ADEN GAS INC",,"8649 S ASHLAND AVE",,"CHICAGO","IL","60620","1122382","Sweetened Beverage Home Rule","8649 S ASHLAND AVE
CHICAGO, IL 60620
(41.736292, -87.66301)"
"ADEN MINI MART INC","BP ","1812 SIBLEY BLVD",,"CALUMET CITY","IL","60409","1122328","Sweetened Beverage Home Rule","1812 SIBLEY BLVD
CALUMET CITY, IL 60409"
"ADEN SUPERMARKET INC",,"9060 S HARLEM AVE",,"BRIDGEVIEW","IL","60455","1123129","Sweetened Beverage Home Rule","9060 S HARLEM AVE
BRIDGEVIEW, IL 60455
(41.726552, -87.79892)"
"ADHARSH PARTNERS LLC","HARVEY FUELS","2 EAST 159TH ST",,"HARVEY","IL","60426","1123225","Sweetened Beverage Home Rule","2 EAST 159TH ST
HARVEY, IL 60426
(41.600841, -87.655775)"
"ADOCA INC",,"1055 N SALEM DR",,"SCHAUMBURG","IL","60194","1123054","Sweetened Beverage Home Rule","1055 N SALEM DR
SCHAUMBURG, IL 60194
(42.045776, -88.099454)"
"ADRIANS FOOD MARKET",,"3700 W. DIVERSEY AVE",,"CHICAGO","IL","60647","1124479","Sweetened Beverage Home Rule","3700 W. DIVERSEY AVE
CHICAGO, IL 60647
(41.931904, -87.71972)"
"ADRIANS FOOD MARKET #2 INC",,"3258 W. MONTROSE AVE",,"CHICAGO","IL","60618","1124480","Sweetened Beverage Home Rule","3258 W. MONTROSE AVE
CHICAGO, IL 60618
(41.961178, -87.71045)"
"AF AND AR FOOD INC.","ADAM FOODS MART PLUS","1339 S. HOMAN AVE.",,"CHICAGO","IL","60623","1122127","Sweetened Beverage Home Rule","1339 S. HOMAN AVE.
CHICAGO, IL 60623
(41.863396, -87.710468)"
"AFRA CORP","EDDYS FOOD MART ","7575 N ROGERS AVE",,"CHICAGO","IL","60626","1123144","Sweetened Beverage Home Rule","7575 N ROGERS AVE
CHICAGO, IL 60626
(42.019252, -87.668611)"
"AFRICAN SUPER MARKET AND LIWUO",,"4156 W. MADISON ST.",,"CHICAGO","IL","60624","1121867","Sweetened Beverage Home Rule","4156 W. MADISON ST.
CHICAGO, IL 60624
(41.880763, -87.727847)"
"A G FOODS INC","A G FOODS INC ","6945 S STATE ST",,"CHICAGO","IL","60637","1121371","Sweetened Beverage Home Rule","6945 S STATE ST
CHICAGO, IL 60637
(41.767563, -87.624923)"
"AGH FOOD AND LIQUOR INC","PARKSIDE FOOD AND LIQUOR INC","3215 W 71TH ST",,"CHICAGO","IL","60629","1121803","Sweetened Beverage Home Rule","3215 W 71TH ST
CHICAGO, IL 60629
(41.764381, -87.703311)"
