"project","company","category","description","start_date","end_date"
"Countywide Elevator Modernization, Bid Package 9","CC Countywide","Countywide","DESCRIPTION

Substantial Completion Date for this project was June 5, 2011. Warrantees expire on June 5, 2012.

Bid Package 9 of the County-wide Elevator Modernization Project consists of the upgrade and renovation of 28 elevators, including fire service and ADA upgrades, as required by the latest building codes, for elevators at the facilities noted below:
? Skokie (2nd District) Courthouse (5-elevators)
? Rolling Meadows (3rd District) Courthouse (10-elevators)
? Bridgeview (5th District) Courthouse (8-elevators)
? Stein Institute of Forensic Medicine (3-elevators)
? South Campus Buildings 1 & 4 at the DOC (2-elevators, 1-ea bldg.)","2010-06-21T07:00:00.000Z","2012-02-24T08:00:00.000Z"
"Countywide Emergency Power Systems Upgrades","CC Countywide","Countywide","This project will evaluate and address the need for emergency power in the various Cook County buildings. Back up power supplies and related systems will be added, upgraded, and/or replaced, including UPS systems  for mini-server farms, generator controls & monitoring devices, generators, and other back power supply devices.","2011-09-01T07:00:00.000Z","2012-12-29T08:00:00.000Z"
"Countywide Exterior Wall Repair - Group 1, Pkg 4","CC Countywide","Countywide","This project combines the exterior wall repair needs of the Hawthorne Warehouse, that were deemed imminently hazardous through a series of façade inspections by Teng and Associates, and the City of Chicago mandated maintenance for façade repair and stabilization.

The scope of this project includes: 

Removal of loose terra cotta coping and all loose masonry to match the existing façade
Installation of new support brackets to help support and secure existing terra cotta to the building
Removal and replacement of delaminated wall sections
Removal and replacement of delaminated concrete lintels
Replacement of missing bricks or terra cotta units
Window replacement",,
"Countywide Exterior Wall Repair, Group 2 (Bid Package C) - JTDC","CC JTDC (Juvenile Temporary Detention Center)","Court System & Corrections","Per City of Chicago Facade Ordinance, renovation to exterior of East, West & Parking Garage to bring properties into compliance","2010-11-01T07:00:00.000Z","2012-11-30T08:00:00.000Z"
"Electrical Upgrade at County Building","CC County Building","Corporate",,"2011-05-28T07:00:00.000Z","2012-03-30T07:00:00.000Z"
"Fire & Life Safety Upgrades Project - Cook County Building & Cook County Criminal Courts Building","CC Office of Chief Judge","Court System & Corrections","Fire & Life Safety Upgrades Project:
Fire & life safety upgrades are to be done at the following locations: The Cook County Building located at 118 North Clark St. in Chicago, Il.; Cook County Criminal Courts Building located at 2600 South California Ave., in Chicago, Il.: A life safety evaluation was prepared for both facilities and a final report was issued and submitted to the City of Chicago; the report listed recommended actions to be taken for compliance with the City of Chicago Life Safety & High Rise Ordinance.","2011-08-19T07:00:00.000Z","2012-05-16T07:00:00.000Z"
"Countywide Fire and Life Safety System Upgrades (Package 9)","CC Countywide","Countywide","The Countywide Fire & Life Safety System Upgrades Package Number 9:

This package includes the following facilities:
Div. 5, Div. 11 and South Campus Building-3 at the DOC campus; District 5/Markham, Courthouse 

The fire alarm & detection systems are over twelve (12) years old at each of the facilities; the ?Life Cycle? of fire alarm & detection systems is 12-15 years span. The current systems as a whole requires updating due to aged components and replacement parts are difficult to obtain. In addition, modifications of spaces in the facility require that system to be reconfigured to assure that all fire and supervisory alarm signals are accurately indicated on the control panels.

The project scope of work includes the following, but not limited to:
? Provide a new annunciator panel.
? Replace the fire control monitoring system, including the data gathering panels, the detection devices & supervisory systems for suppression systems to assure complete integrity of the system.
? New and/upgrading of all exit lights.
? Provide audible and visual signaling devices.
? Address interior stairs for conformance with the Chicago Stairwell Ordinance.
? Compliance with the City of Chicago for elevator recall.","2012-02-13T08:00:00.000Z","2013-06-28T07:00:00.000Z"
"Countywide Fire and Life Safety System Upgrades (Package11)","CC Rockwell Warehouse","Corporate","Countywide Fire & Life Safety System Upgrades/Package Number-11
Rockwell Warehouse

Traditional Design, Bid and Build Services as well as related services for the new Fire Alarm & Detection System at the Rockwell Warehouse Complex, 2323 South Rockwell Street., in Chicago, Illinois. The existing warehouse building is classified as an storage facility, with approximately 522,134 square feet of interior space and is six (6) stories tall (height of building is approximately 80 feet) with a basement and is connected to the North Dock, South Dock and the Sheriffs Re-cycling facility at the ground floor only. The most recent fire alarm & detection system is over twelve (12) years old; the ?Life Cycle? of fire alarm & detection systems is 12-15 years span. The current system as a whole requires updating due to aged components and replacement parts are difficult to obtain. In addition, modifications of spaces in the facility require that system to be reconfigured to assure that all fire and supervisory alarm signals are accurately indicated on the control panels.

The project scope of work includes the following, but not limited to:
? Provide a new annunciator panel.

? Replace the fire control monitoring system, including the data gathering panels, the detection devices & supervisory systems for suppression systems to assure complete integrity of the system.

? New and/upgrading of all exit lights.

? Provide audible and visual signaling devices.

? Address interior stairs for conformance with the Chicago Stairwell Ordinance.

? Compliance with the City of Chicago for elevator recall.","2012-03-01T08:00:00.000Z","2013-06-30T07:00:00.000Z"
"Countywide fire and Life Safety Systems Upgrades (package 10)","CC Countywide","Countywide","Countywide Fire & Life Safety Systems Upgrades/Package Number-10

The following facilities are included in this Package:
District-2, Skokie Courthouse
Stien Forensic Medical Institute 
Juvenile Temporary Detention Center-West

Each of the above facilities has a Halon Surpression System. This is a chemical based fire surpression system that is typical found in data centers, computer rooms, libaries or in laboratories. the surpession system is no longer manufactured and is no longer supported
The project scope of work includes the following, but not limited to:
? Provide a new annunciator panel.","2012-02-13T08:00:00.000Z","2013-06-28T07:00:00.000Z"
"Countywide Fire Escape Inspection and Repair","CC Countywide","Countywide",,"2011-12-13T08:00:00.000Z","2012-06-29T07:00:00.000Z"
"Countywide Perimeter security Enhancement Project","CC Countywide","Countywide","To fortify the ingress & egress of eight County buildings/complexes and the perimeters of these facilities","2010-04-22T07:00:00.000Z","2013-03-05T08:00:00.000Z"
"Countywide Security Systems Upgrade","CC Countywide","Countywide","This Project will replace the existing security systems at Division IX, Division X, Criminal Courts Building, the Criminal Courts Administration Building, Rockwell Warehouse, Maywood Courthouse, Skokie Courthouse, Rolling Meadows Courthouse and Bridgeview Courthouse. The Work is to consist of the replacement of the existing, outdated security systems or a completely new security system where none exist in order to meet the specific security needs of each facility.","2012-02-13T08:00:00.000Z","2013-06-28T07:00:00.000Z"
"Countywide Time and Attendance Management System","CC Countywide","Countywide","The objective of this project consists of implementing a uniform Countywide Time & Attendance system with the following requirements:

?Phasing-in a Countywide, attendance and scheduling system at all Cook County facilities.
?Establish a single system capable of combining time and effort tracking, FLSA (Fair Labor Standards Act), FMLA (Family Medical Leave Act) and personal leave reporting into one system, to significantly reduce the amount of time an employee spends reporting time. 
?Providing easier, automated access through remote availability and device driven technologies to schedule, record attendance and capture time.
?Increasing visibility and reporting of scheduling, attendance and time information for employees and managers to review.
?Planning for a system integrating with Accounting and HR/Payroll Systems.
?Producing standard reports to be exported into standard file formats to capture time data for input into payroll systems.","2010-04-01T07:00:00.000Z","2012-12-28T08:00:00.000Z"
"Countywide Window Replacement- Package 2","CC Countywide","Countywide","Skokie is a priority for this project.","2012-02-13T08:00:00.000Z","2012-10-31T07:00:00.000Z"
"Department of Corrections Powerhouse Boiler / Chiller Replacement","CC DOC (Dept. of Corrections)","Court System & Corrections",,"2012-02-14T08:00:00.000Z","2012-09-01T07:00:00.000Z"
"Design for Pump Station & Parking Garage Drainage System at Skokie","CC Office of Chief Judge","Court System & Corrections",,"2012-02-13T08:00:00.000Z","2012-12-01T08:00:00.000Z"
"Division 1 Replace Stairs Project at the DOC","CC Sheriff","Court System & Corrections","Renovate concrete stairwells A-H of Division I","2011-01-27T08:00:00.000Z","2012-09-14T07:00:00.000Z"
"DOC - Electronic Perimeter Monitoring","CC Sheriff","Court System & Corrections","Installation of turnkey electronic detention system to deter detainees from escaping incarceration.","2012-02-14T08:00:00.000Z","2012-06-30T07:00:00.000Z"
"DOC DIV I Dentention Lighting and Exit Signs","CC DOC (Dept. of Corrections)","Court System & Corrections",,,
"Exterior Concrete Repairs at Bridgeview and Rolling Meadows","CC Office of Chief Judge","Court System & Corrections","Aggregate walkways for Bridgeview, Markham and Rolling Meadows courthouses have deteriorated to an unsafe condition. Walkways  to be removed and replaced with smaller walkways which are ADA accessible with seating and landscaping","2011-11-01T07:00:00.000Z","2013-03-05T08:00:00.000Z"
"Fantus Clinic Critical Systems Repairs","CC Health & Hospitals System","Health & Hospital Systems",,,
"Green House Demo","CC Health & Hospitals System","Health & Hospital Systems","Demolition of the Greenhouse on the Oak Forest campus.

The scope of this project includes: 

?Demolish the Greenhouse on the Oak Forest campus. 

?Relocate the parking lot electrical panels (lighting) from the Greenhouse to the closest hospital building.

?Maintain the utility tunnel access","2011-08-08T07:00:00.000Z","2012-02-29T08:00:00.000Z"
"Guaranteed Energy Performance Contracting Project - JCI","CC Health & Hospitals System","Health & Hospital Systems","DESCRIPTION

This contract provides guaranteed energy performance evaluations at the Cook County John H. Stroger Hospital Campus. 

The goal of the project is to identify and implement energy conservation measures (ECMs) that will result in at least a 10% reduction in emissions and energy costs compared to a baseline year, throughout a 15 year financing period. 

Phase 1 consists of a comprehensive investment grade audit of 13 buildings on the Department of Corrections and Juvenile Temporary Detention Center East and West buildings. If the ECMs identified are determined to achieve cost savings sufficient to cover financing and implementaiton of the ECMs, the parties may negotiate Phase 2 , In Phase 2, Noresco, LLC will perform engineering and construction services to provide and implement the cost savings measures.

If adequate cost savings to cover the financing costs cannot be identified, the County has no obligation to pay for the audit. If adequate savings are identified but the County chooses not to enter into a GEPC or chooses not to finance the conservation measures, the County will pay the actual cost of the audit not to exceed a predetermined limit.",,
"Guaranteed Energy Performance Contracting Project - Noresco","CC Sheriff","Court System & Corrections","DESCRIPTION

This contract provides guaranteed energy performance evaluations at the Department of Corrections and the Juvenile Temporary Detention Center campuses. 

The goal of the project is to identify and implement energy conservation measures (ECMs) that will result in at least a 10% reduction in emissions and energy costs compared to a baseline year, throughout a 15 year financing period. 

Phase 1 consists of a comprehensive investment grade audit of 13 buildings on the Department of Corrections and Juvenile Temporary Detention Center East and West buildings. If the ECMs identified are determined to achieve cost savings sufficient to cover financing and implementaiton of the ECMs, the parties may negotiate Phase 2 , In Phase 2, Noresco, LLC will perform engineering and construction services to provide and implement the cost savings measures.

If adequate cost savings to cover the financing costs cannot be identified, the County has no obligation to pay for the audit. If adequate savings are identified but the County chooses not to enter into a GEPC or chooses not to finance the conservation measures, the County will pay the actual cost of the audit not to exceed a predetermined limit.","2011-08-25T07:00:00.000Z","2012-03-21T07:00:00.000Z"
"Hawthorne Warehouse","CC Hawthorne Warehouse","Corporate","Build-out of 371,000 square feet of space within the Hawthorne Warehouse to accommodate general storage and records management complete with administrative operations for the Clerk of the Circuit Court, County Clerk, and the Bureau of Health. Perform space programming for the space vacated by the Clerk of the Circuit Court for other Cook County agencies at the Rockwell Warehouse.

Implementation of an exhaust system for the building to equalize the temperature and optimize indoor air quality
Replacement of inoperable HVAC units to maintain the operations of the 3-story office building.  
Development of electrical as-built distribution single line diagram for use to determine abandoned systems and code compliance; and design of electrical closet placement
Replacement of existing lighting and consideration of solar panels to operate lighting
Renovated plumbing system throughout the building which will include work to make bathrooms ADA compliant.
Comprehensive security system and egress plan for means of public access and security and safety of the building.  

This project also consists of resurfacing approximately 220,000 square feet of parking lot for approximately 500 parking spaces, design of a security guard station with entrance control, lighting, signage, and landscaping.

Creation of enough parking spaces to accommodate the needs of the County Clerk, the Clerk of the Circuit Court, the Bureau of Health, Facilities Management, outside contractors and the general public.

Installation of a security guard station with the proper entrance controls in order to screen all vehicle traffic onto the premises. The station shall be completed in a way to minimize traffic congestion and allow an adequate turn radius for large trucks from the street 

For the safety of all County employees, contractors, and guests at the Hawthorne Warehouse campus, we will install a high mast lighting system utilizing high intensity discharge (HID) lamps throughout the entire parking lot.

Proper signage will be installed to correspond with striped drive lanes throughout the lot to ensure that visitors have a clear understanding of how to get to their desired location at the Warehouse.

Installation of adequate landscaping for beautification of the property.","2008-08-12T07:00:00.000Z","2012-10-31T07:00:00.000Z"
"HHS:Provident Hospital Outpatient Care Renovation","CC Health & Hospitals System","Health & Hospital Systems","Renovation of several PH patient care floors to an Outpatient Care Facility with varies clinics, radiology, phlebotomy, urinalysis","2012-01-26T08:00:00.000Z","2013-11-22T08:00:00.000Z"
"JTDC - Cell Ceiling Replacement","CC Office of Chief Judge","Court System & Corrections",,"2011-09-07T07:00:00.000Z","2012-02-29T08:00:00.000Z"
"JTDC - Install Partitions in 3rd Floor Recreation Area","CC JTDC (Juvenile Temporary Detention Center)","Court System & Corrections","Install one permanent partition in each of the two small third floor courtyards. Install multiple partitions in the large outdoor courtyard. It is necessary that the partition securely divides each courtyard area. It is necessary that the partitions are design in such a way that the height and material properties deter climbing by juveniles. Safety and security considerations will be factored in as the basis for design.","2011-10-18T07:00:00.000Z","2012-05-22T07:00:00.000Z"
"JTDC Digital Video Project","CC JTDC (Juvenile Temporary Detention Center)","Court System & Corrections","Design of a high security, video camera, digital recording and staff tour system on the residential floors, school area, outside yard, gymnasiums, lower level storage & dock areas at the Juvenile Temporary Detention Center.

The scope of this project includes: 

Design all CCTV system head-end equipment, Pan-Tilt-Zoom (PTZ) receivers, video monitors.  Install new CCTV camera cable and assemblies. The CCTV system will utilize high-resolution color cameras with approximately 450 new camera locations.  Digital video recording will be included with the new CCTV head-end matrix. Digital recording performance and equipment alternatives will be completely researched and presented to the Project Team for consideration. New cabling will be designed as required in the contract. 
Make the necessary design modifications to the Command Center for optimal monitoring conditions.  
Convert an existing conference room into a situation room that will be outfitted with network access, video conferencing, the CCTV system, and any other life safety / communication systems.
Design a staff tour system to document the required bed checks and routine staff/juvenile interactions with the capability of generating reports which accurately document the juveniles? status","2010-08-12T07:00:00.000Z","2012-10-31T07:00:00.000Z"
"Remove and Replace Switchgear System for Div I","CC DOC (Dept. of Corrections)","Court System & Corrections",,,
"Renovate Air Quality Lab at Maywood","CC Office of Chief Judge","Court System & Corrections",,"2012-01-31T08:00:00.000Z","2012-09-28T07:00:00.000Z"
"JTDC East - Remove & Replace East Gymnasium Floors","CC JTDC (Juvenile Temporary Detention Center)","Court System & Corrections","Replace existing flooring in the gymnasiums with like or similar flooring system. The floor should be replaced with safety, durability, and maintenance considerations factored in as the basis for design. Striping will be required that is consistent with the layout for the recreational activities that occur inside the gyms.

Install one sturdy partition in each gymnasium. It is necessary that the partition securely divides each gym area. Safety, security, and ease of use considerations will be factored in as the basis for design.","2011-10-18T07:00:00.000Z","2012-04-27T07:00:00.000Z"
"JTDC East Mechanical Upgrades","CC JTDC (Juvenile Temporary Detention Center)","Court System & Corrections",,"2011-11-01T07:00:00.000Z","2012-07-14T07:00:00.000Z"
"JTDC Electronic Medical Records","CC JTDC (Juvenile Temporary Detention Center)","Court System & Corrections","Installation of infrastructure wiring for fiber optic and copper backbone with category 5e wiring at the Juvenile Temporary Detention Center that will support inter-connection to a Wide Area Network (WAN) to service all departments and agencies.

?Bring existing fiber optic infrastructure up to current County wiring standards for the East and West buildings (52 total IDF closets)
?Wireless access points in the East & West buildings
?Add additional category 5e wiring to each location in the West building
?Structured wiring infrastructure to the West building Penthouse
?Two 4? conduits to tie the Switch Room to the Computer Room (East Building)
?Add approximately 30 voice/data drops in the new office areas by the elevators
?Add approximately 12 voice/data drops in the Administration Offices towards the south end of the school area
?Two 2? conduits from the satellite closets in the school to the closest IDF closets (approximately 4)

Installation of Cerner Electronic Medical records hardware and software systems.","2011-11-01T07:00:00.000Z","2012-07-31T07:00:00.000Z"
"JTDC West - Replace Fire Alarm System","CC JTDC (Juvenile Temporary Detention Center)","Court System & Corrections","Countywide Fire & Life Safety System Upgrades
Juvenile Temporary Detention Center-West

Design Build Services as well as related services for the new Fire Alarm & Detection System at the Juvenile Temporary Detention Center-West (JTDC-W), 2245 West Ogden Ave., in Chicago, Illinois. The existing JTDC/W building is classified as an office building, with approximately 412,437 square feet of interior space and is ten (10) stories tall (height of building is 145 feet) with a lower level and is connected the East building at the lower & entry level only, the structure is classified as a ?High Rise?. The facility was completed in 1994 and the fire alarm system is original to be facility; the current system as a whole requires updating due to aged components and replacement parts are difficult to obtain. In addition, modifications of spaces in the facility require that system to be reconfigured to assure that all fire and supervisory alarm signals are accurately indicated on the control panels.

The project scope of work includes the following, but not limited to:
? Provide a new annunciator panel.
? Replace the fire control monitoring system, including the data gathering panels, the detection devices & supervisory systems for suppression systems to assure complete integrity of the system.
? New and/upgrading of all exit lights.
? Provide audible and visual signaling devices.
? Address interior stairs for conformance with the Chicago Stairwell Ordinance.
? Compliance with the City of Chicago for elevator recall.","2011-08-19T07:00:00.000Z","2012-07-31T07:00:00.000Z"
"Maywood courthouse Boiler Replacement","CC Office of Chief Judge","Court System & Corrections","Critical System/Risk of Failure","2011-10-12T07:00:00.000Z","2012-10-12T07:00:00.000Z"
"Maywood Courthouse Supply Fan Repair/Replacement","CC Office of Chief Judge","Court System & Corrections","The exiting supply and return fans were installed around 1975 when the building was built. the supply and return fans have a average life expectancy of 30 years. The replacement of the internal mechanical systems within the supply fan, drip pans, dampers, coils and filter banks, will allow the units to supply air more efficiently and control temperatures more efficiently resulting in a reduced energy cost. this project has been added to the the JOC system.","2011-11-01T07:00:00.000Z","2012-08-17T07:00:00.000Z"
"Maywood Jefferson Building Emergency Generator","CC Office of Chief Judge","Court System & Corrections",,"2011-08-19T07:00:00.000Z","2012-06-01T07:00:00.000Z"
"Mechanical Upgrade at Provident Hospital","CC Health & Hospitals System","Health & Hospital Systems","Replacement of Chillers & cooling towers; replacement of emergency duress alarm system; (10) electrical ATF switches. The upgrade will repalce outdated components","2011-08-02T07:00:00.000Z","2012-12-31T08:00:00.000Z"
"New Children's Advocacy Rooms at CCAB and Rolling Meadows","CC Office of Chief Judge","Court System & Corrections",,"2012-03-19T07:00:00.000Z","2013-06-01T07:00:00.000Z"
"Underground Storage Tank Removal and Replacement at Provident","CC Health & Hospitals System","Health & Hospital Systems","Remove & replace (2) 5,000 gallon tanks; one of which is out of service due to failing tank tightness test.","2011-02-02T08:00:00.000Z","2012-06-29T07:00:00.000Z"
"New RTU/RCDC Project at the DOC","CC Sheriff","Court System & Corrections","PROJECT DESCRIPTION:

This project will provide a new 283,000 square foot Residential Treatment Unit (RTU) and Reception, Classification, Diagnostic Center (RCDC) at the Department of Corrections.

This new facility will efficiently respond to the demand of increasing numbers of detainee admissions and mental health evaluations and treatment in a secure, contemporary, well-organized intake and state of the art medical screening facility.

The facility will meet current ?Essential Standards? set by the National Commission on Correctional Health Care and the American Correctional Association as required for maintaining accreditation and recommendations by the Department of Justice

The existing RCDC and RTU facilities can no longer accommodate the volume of admissions, screenings and care required. The facilities are overcrowded, basic amenities are inadequate, building systems are outdated and detainee movement throughout the process is cumbersome due to lack of space and inefficient work and holding areas. 

The RCDC processes new admissions into the Department of Correction and detainees going to and from court for all six branches of the Circuit Courts of Cook County. The number of detainees processed through the RCDC can average 1,500 individuals on a single busy day.

The RTU provides a range of medical and mental health evaluation and treatment services for individuals within the criminal justice system, from the point of arrest through incarceration to release. New admissions receive medical and psychological screenings upon arrival in the RCDC. The RTU houses detainees who present during pre-screening in the RCDC with mental health concerns and provides residential intermediate care and twenty-four hour crisis and intervention services. The RTU also houses detainees from other divisions in the jail who develop mental health issues during incarceration.

ARCHITECT OF RECORD:
Roula Associates Architects, CHTD.

GENERAL CONTRACTOR:
Walsh Construction Company","2011-01-03T08:00:00.000Z","2013-05-01T07:00:00.000Z"
"Northwest: Cook County Health Center Construction","CC ACHN CLINICS","Health & Hospital Systems",,"2012-02-20T08:00:00.000Z","2013-10-31T07:00:00.000Z"
"Oak Forest Hospital Renovation of New E Building for ROC","CC Health & Hospitals System","Health & Hospital Systems","Renovation of ""E""building from a walk-up Pharmacy & administrative offices to a 14,000 SF Immediate Care Facility which will serve individuals, families & children. At present, County residents are using OFH's emergency room. The County serves 30,000 patients annually.","2011-09-07T07:00:00.000Z","2012-09-28T07:00:00.000Z"
"Oak Forest Immediate Care Center","CC Health & Hospitals System","Health & Hospital Systems",,,
"Renovate Lock up and Holding Area at the Criminal Court Building","CC Sheriff","Court System & Corrections","DESCRIPTION

This project will renovate all holding cells on floors two through six at the Criminal Court Building and renovatie holding cells and the intake area for the Chicago Police Department on the lower level and the first floor. 

The renovation of the holding cells behind the bond courts on floors two through six will repair locks and address inappropriate sanitary conditions, impeocw security systems and alleviate overcrowding by extending the cell spaces into the ?catwalks?. 

The renovation of the intake area will provide ADA accessibility, reconfigure the intake to keep male and female intakes separate, provide adequate sanitary facilities, alleviate overcrowded conditions and provide efficient processing of intakes. 

The project is required to comply with the DOJ mandate for safety and humane treatment of detainees.","2011-08-12T07:00:00.000Z","2014-10-27T07:00:00.000Z"
"Renovation at Forest Park TB District","CC DPH (Dept. of Public Health)","Health & Hospital Systems","Renovations @ FP: carpet, HW heater & fire suppression in server closet. Des Plaines: asphalting & striping of parking lot. Harvey: new HVAC system","2011-08-15T07:00:00.000Z","2012-05-03T07:00:00.000Z"
"Repaving  & Striping at Division XI Parking Lot","CC DOC (Dept. of Corrections)","Court System & Corrections",,,
"Replace 3 chilled Water Pumps at CCAB","CC DOC (Dept. of Corrections)","Court System & Corrections",,"2011-09-27T07:00:00.000Z","2012-05-12T07:00:00.000Z"
"Replace Pneumatic Controls & Put Division VI on Metasys Systems","CC DOC (Dept. of Corrections)","Court System & Corrections",,"2011-09-27T07:00:00.000Z","2012-05-12T07:00:00.000Z"
"Replace Variable Speed Dirves at Division IX","CC DOC (Dept. of Corrections)","Court System & Corrections",,"2011-09-27T07:00:00.000Z","2012-05-12T07:00:00.000Z"
"Replacement of Cell doors, Locks, Frames and Rotary switches","CC DOC (Dept. of Corrections)","Court System & Corrections","This project provides for the replacement of critical cell locks, door frames, retrofit control panels and rotary switches at the Cook County Department of Corrections Campus. Work will be performed in Divisions: 1, 3, 4, 5, 6, 9 & 10. 

Due to the increase in project scope, this project had to be split into two separate phases.",,
"Replacement of the Running Track at DOC Boot Camp","CC Sheriff","Court System & Corrections","This project is for the removal and replacement of approximately 29,000 sq. ft. of existing running track at the DOC Boot Camp. This running track is 15 years old and has deteriorated to the point where it poses a hazard to the staff and the detainees.

The scope of this project includes: 

Complete design for the removal and replacement of the existing track system with adequate structural support and a proper drainage system
Removal of the old rack system, loose asphalt and debris
All subsurface and preparation work
Seamless all weather resilient surface
Grade and pitch for proper drainage
Transition to concrete surface in front of the Administration Building and the Mess Hall
Removal and disposal of all debris generated by the work","2011-09-06T07:00:00.000Z","2012-06-30T07:00:00.000Z"
"RFQ: CMA for RTU-RCDC at the DOC","CC Procurement",,"DESCRIPTION

This purpose of this RFQ is to establish a pool of qualified consultants with the qualifications to provide professional construction administration services for the new RTU-RCDC building located at the Department of Corrections. 

The project is an $84 million dollar construction project currently under construction. A construction management administrator to protect the interests of the County and oversee the project (including installation of furniture and medical equipment) through to occupancy is deemed to be in the best interest of the County.",,
"RFQ: Exterior Wall & Enclosure Inspection Services","CC Procurement","RFQs_Procurement","DESCRIPTION

This purpose of this RFQ is to establish a pool of qualified consultants with the qualifications to provide inspections of exterior walls and enclosures. The County has a wide variety of building types:

Building types include, but are not limited to, small garage type storage buildings, medium/large industrial type warehouses, detention buildings, hospitals, courthouses and administration buildings.

Materials of construction vary and include, but are not, limited to masonry, limestone, concrete, terra cotta, steel, pre-cast and poured concrete panels, aluminum, glass, wood and other materials.

Building sizes vary from one hundred (100) square feet to one million five hundred thousand (1,500.000) square feet and from one (1) story to thirty six (36) stories in height.

Consultants who wish to be part of the qualified pool will need to be able to:

* Provide Visual and critical inspections and reports required by code

*Provide the equipment with which to conduct the inspections

* Provide inspections to determine unstable facade conditions, prioritization of repair

*Develop design and construction documents and perform related construction phase administration",,
"RFQ: Professional AE Services","CC Procurement",,"DESCRIPTION

This purpose of this RFQ is to establish a qualified pool of consultants to provide professional architecture, engineering, programming construction management administration and related services for the Cook County office of Capital Planning and Policy.",,
"Security Checkpoint Upgrade at DOC","CC Sheriff","Court System & Corrections",,,
