"link","report_date","fiscal_year","quarter"
"OCA FY17 3rd Quarter Open Recommendations Report (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/OCA-FY17-3rd_Quarter-Open_Recommendations_Report.pdf)","2017-09-26T00:00:00.000","2017-01-01T00:00:00.000","3"
"OCA FY17 2nd Quarter Open Recommendations Report (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/OCA-FY17-2nd_Quarter-Open_Recommendations_Report.pdf)","2017-06-14T00:00:00.000","2017-01-01T00:00:00.000","2"
"OCA FY17 1st Quarter Open Recommendations Report (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/OCA-FY17-1st_Quarter-Open_Recommendations_Report.pdf)","2017-03-07T00:00:00.000","2017-01-01T00:00:00.000","1"
"OCA FY16 4th Quarter Open Recommendations Report (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/OCA_FY16_4th_Quarter_Open_Recommendations_Report.pdf)","2016-11-30T00:00:00.000","2016-01-01T00:00:00.000","4"
"OCA FY16 3rd Quarter Open Recommendations Report (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/OCA_FY16_3rd_Quarter_Open_Recommendations_Report.pdf)","2016-10-11T00:00:00.000","2016-01-01T00:00:00.000","3"
"OCA FY16 2nd Quarter Open Findings Report (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/OCA-FY16-2nd-Quarter-Open-Findings-Report.pdf)","2016-06-15T00:00:00.000","2016-01-01T00:00:00.000","2"
"OCA FY16 1st Quarter Open Findings Report (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/OCA-FY16-1st-Quarter-Open-Findings-Report.pdf)","2016-03-21T00:00:00.000","2016-01-01T00:00:00.000","1"
"OCA FY15 4th Quarter Open Findings Report (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/OCA-FY15-4th-Quarter-Open-Findings-Report.pdf)","2016-01-27T00:00:00.000","2015-01-01T00:00:00.000","4"
"OCA FY15 3rd Quarter Open Findings Report (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/OCA-FY15-3rd-Quarter-Open-Findings-Report.pdf)","2015-09-23T00:00:00.000","2015-01-01T00:00:00.000","3"
"OCA FY15 2nd Quarter Open Findings Report (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/OCA-FY15-2nd-Quarter-Open-Findings-Report.pdf)","2015-05-27T00:00:00.000","2015-01-01T00:00:00.000","2"
"OCA FY15 1st Quarter Open Findings Report (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/OCA-FY15-1st-Quarter-Open-Findings-Report.pdf)","2015-04-15T00:00:00.000","2015-01-01T00:00:00.000","1"
"OCA FY14 4th Quarter Findings Status Report (http://opendocs.cookcountyil.gov/auditor/quarterly-open-findings/OCA-FY14-4th-Quarter-Findings-Status-Report.pdf)","2015-01-07T00:00:00.000","2014-01-01T00:00:00.000","4"
