"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type"
"2021","General Government","Information Technology","Information Technology","Travel/Trng/Dues","0","4684","Building Surcharge Fund","Non-Tax Supported Funds","Subscriptions","Operating Expense"
"2022","Public Safety","Fire","Emergency Medical Services","Contract Services","0","159566.24","General Fund","Tax Supported Funds","Consulting Services","Operating Expense"
"2021","Public Safety","Fire","Fire Suppression","Sal/Spc Comp/OT","0","402691","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","Operating Departments","Public Works","Wastewater Maintenance","Equip Maint Chgs","0","159062","Sewer Enterprise Fund","Non-Tax Supported Funds","Equip Maint Expenses","Operating Expense"
"2021","General Government","Information Technology","Information Technology","Capital","0","4461","Equipment Replacement Fund","Non-Tax Supported Funds","Improvements other than Bldg","Operating Expense"
"2013","Public Safety","Fire","Communications","Other","0.00","624.00","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2020","Public Safety","Fire","Fire Suppression","Other O&M","0","94941.45","General Fund","Tax Supported Funds","Strike Team Tools & Eqmt","Operating Expense"
"2013","Public Safety","Fire","Communications","Other","0.00","450.00","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2013","Public Safety","Fire","Communications","Other","0.00","1950.00","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2021","Public Safety","Police","Operating Bureaus","Office Supp&Exp","0","110316.04","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2021","Operating Departments","Public Works","Engineering","Contract Services","0","8669","General Fund","Tax Supported Funds","Engineering Services","Operating Expense"
"2021","Public Safety","Fire","Office of the Chief","Sal/Spc Comp/OT","0","293248","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2021","Operating Departments","Public Works","Building Maintenance","Sal/Spc Comp/OT","0","72789","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2021","General Government","Administrative Services","Art Fund","Public Notices/Ad","0","2412","Cultural Trust Fund","Non-Tax Supported Funds","Advertising and Public Relatio","Operating Expense"
"2021","General Government","Finance","Purchasing","Sal/Spc Comp/OT","0","35238","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2021","General Government","Information Technology","Information Technology","Repair-Maint","0","1269881","General Fund","Tax Supported Funds","R&M - Equipment","Operating Expense"
"2022","General Government","Administrative Services","Human Resources","Contract Services","0","45000","General Fund","Tax Supported Funds","Personnel Services","Operating Expense"
"2021","General Government","Information Technology","Information Technology","Office Supp&Exp","0","7610","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2021","Public Safety","Police","Office of the Chief","Sal/Spc Comp/OT","0","215642","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2021","Operating Departments","Public Works","Maintenance Operations","Sal/Spc Comp/OT","0","88214","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2021","Public Safety","Police","Operating Bureaus","Sal/Spc Comp/OT","0","2263701","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","General Government","Administrative Services","Risk Management","Payroll Taxes","0","3371","Risk Management Fund","Non-Tax Supported Funds","Medicare","Personnel Cost"
"2022","Operating Departments","Transportation","Transportation Admin","Other O&M","0","4876","Municipal Bus Lines Fund","Non-Tax Supported Funds","Employee Recognition Events","Operating Expense"
"2021","Operating Departments","Parks Recreation & Comm Svs","Community Events & Excursions","Contract Services","0","7014","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2022","General Government","City Attorney","City Attorney","Repair-Maint","0","370","General Fund","Tax Supported Funds","R&M - Equipment","Operating Expense"
"2021","General Government","Information Technology","Information Technology","Contract Services","0","16265","Equipment Replacement Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Public Safety","Police","Operating Bureaus","Capital","0","193790.27","General Fund","Tax Supported Funds","Furniture & Furnishings","Operating Expense"
"2021","Operating Departments","Public Works","Public Works Admin","Contract Services","0","315000","General Fund","Tax Supported Funds","Engineering Services","Operating Expense"
"2021","Operating Departments","Parks Recreation & Comm Svs","RSVP","Travel/Trng/Dues","0","2000","General Fund","Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2022","Operating Departments","Comm Improve Programs","Administration","Office Supp&Exp","0","2000","Culver City Parking Authority","Non-Tax Supported Funds","Office Expense","Operating Expense"
"2022","Operating Departments","Community Development","Economic Development","Travel/Trng/Dues","0","7500","General Fund","Tax Supported Funds","Subscriptions","Operating Expense"
"2022","Operating Departments","Community Development","Rental Assistance","Health Benefits","0","10210","Section 8 Fund","Non-Tax Supported Funds","Health","Personnel Cost"
"2022","Operating Departments","Public Works","Refuse Collection - Admin","Other","0","3900","Refuse Disposal Fund","Non-Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","Public Safety","Fire","Communications","Office Supp&Exp","0","6620","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2022","General Government","Finance","Treasury","Repair-Maint","0","5500","General Fund","Tax Supported Funds","R&M - Equipment","Operating Expense"
"2021","Operating Departments","Transportation","Bus Security Cameras (P)","Capital","0","49675","Municipal Bus Lines Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2022","Operating Departments","Public Works","Mobility & Traffic Engineering","Other","0","1500","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2022","Public Safety","Fire","Emergency Preparedness","Travel/Trng/Dues","0","300","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2022","Operating Departments","Community Development","Homeless Rental Assistance Pro","Contract Services","0","60000","Culver City Housing Authority","Non-Tax Supported Funds","Housing Services","Operating Expense"
"2013","Public Safety","Fire","Communications","Other","0.00","2675.00","General Fund","Tax Supported Funds","Uniform Allowance","Personnel Cost"
"2020","Public Safety","Police","Operating Bureaus","Repair-Maint","0","41500","General Fund","Tax Supported Funds","R&M - Building","Operating Expense"
"2020","Public Safety","Police","Operating Bureaus","Travel/Trng/Dues","0","183814.95","General Fund","Tax Supported Funds","Subscriptions","Operating Expense"
"2021","General Government","Administrative Services","Art Fund","Office Supp&Exp","0","1792.74","Cultural Trust Fund","Non-Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2022","Public Safety","Fire","Communications","Repair-Maint","0","69959.64","General Fund","Tax Supported Funds","R&M - Equipment","Operating Expense"
"2022","Operating Departments","Transportation","Transportation Operations","Travel/Trng/Dues","0","16000","Municipal Bus Lines Fund","Non-Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2022","General Government","Finance","Treasury","Workers Comp","0","36440","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2021","Public Safety","Police","Operating Bureaus","Repair-Maint","0","44526.17","General Fund","Tax Supported Funds","R&M - Building","Operating Expense"
"2021","Operating Departments","Community Development","Economic Development","Office Supp&Exp","0","11000","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2013","Public Safety","Fire","Communications","Payroll Taxes","0.00","13501.00","General Fund","Tax Supported Funds","Social Security","Personnel Cost"
"2021","Operating Departments","Parks Recreation & Comm Svs","RSVP","Office Supp&Exp","0","3262","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2014","Public Safety","Police","Animal Control","Payroll Taxes","0.00","3349.00","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2021","Operating Departments","Parks Recreation & Comm Svs","Senior and Social Services","Office Supp&Exp","0","9798","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2021","General Government","Non-Departmental","Non-Departmental","Other","0","85025","General Fund","Tax Supported Funds","Appropriated Reserve","Operating Expense"
"2021","Public Safety","Police","Operating Bureaus","Repair-Maint","0","19500","General Fund","Tax Supported Funds","R&M - Equipment","Operating Expense"
"2021","Public Safety","Fire","Fire Suppression","Other O&M","0","73801.01","General Fund","Tax Supported Funds","Strike Team Tools & Eqmt","Operating Expense"
"2022","Operating Departments","Transportation","Transportation Operations","Equip Maint Chgs","0","3162492.52","Municipal Bus Lines Fund","Non-Tax Supported Funds","Equip Maint Expenses","Operating Expense"
"2021","Operating Departments","Transportation","Bus Stop Furnishings (P)","Contract Services","0","619137.97","Municipal Bus Lines Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Operating Departments","Transportation","Bus Stop Furnishings (P)","Capital","0","708134.81","Municipal Bus Lines Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2021","Public Safety","Fire","Emergency Medical Services","Contract Services","0","91486","General Fund","Tax Supported Funds","Medical Services","Operating Expense"
"2021","Public Safety","Fire","Fire Suppression","Office Supp&Exp","0","120741.33","General Fund","Tax Supported Funds","Small Tools & Equipment","Operating Expense"
"2021","General Government","Non-Departmental","Non-Departmental","Office Supp&Exp","0","2500000","General Fund","Tax Supported Funds","Utilities","Operating Expense"
"2021","Operating Departments","Parks Recreation & Comm Svs","Rec and Enrichment Programs","Contract Services","0","352905","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Public Safety","Fire","Office of the Chief","Office Supp&Exp","0","17277","General Fund","Tax Supported Funds","Mandated Fees","Operating Expense"
"2021","Public Safety","Police","Operating Bureaus","Contract Services","0","4274822","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Operating Departments","Public Works","Refuse Collection - Admin","Cap-Rolling Stock","0","165000","Refuse Disposal Fund","Non-Tax Supported Funds","Auto-Rolling Stock & Equipment","Operating Expense"
"2021","Operating Departments","Transportation","Tactical Transit Lanes Project","Contract Services","0","811049.6","Municipal Bus Lines Fund","Non-Tax Supported Funds","Consulting Services","Operating Expense"
"2021","General Government","Finance","Budget & Accounting Operations","Capital","0","554.3","General Fund","Tax Supported Funds","Furniture & Furnishings","Operating Expense"
"2021","Operating Departments","Community Development","SB2 Planning Grants Program","Contract Services","0","82500","Operating Grants Fund","Non-Tax Supported Funds","Consulting Services","Operating Expense"
"2021","Operating Departments","Transportation","Shop Vehicle Lifts","Capital","0","1200000","Municipal Bus Lines Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2021","Public Safety","Police","Operating Bureaus","Contract Services","0","12700","General Fund","Tax Supported Funds","Personnel Services","Operating Expense"
"2021","General Government","Non-Departmental","Non-Departmental","Transfers","0","652285","General Fund","Tax Supported Funds","Trsf Out To - Fund 309","Transfers"
"2021","Operating Departments","Community Development","Housing Protections","Other O&M","0","70000","Culver City Housing Authority","Non-Tax Supported Funds","Owner Incentive - Housing","Operating Expense"
"2021","General Government","Finance","Budget & Accounting Operations","Office Supp&Exp","0","8601.75","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2021","Public Safety","Police","SelectiveTrafficEnforc:OTSFY21","Travel/Trng/Dues","0","678.81","Operating Grants Fund","Non-Tax Supported Funds","Training & Education","Operating Expense"
"2022","Public Safety","Fire","Fire Suppression","Travel/Trng/Dues","0","1750","General Fund","Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2021","Operating Departments","Community Development","Current Planning","Contract Services","0","115447.29","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Public Safety","Police","Operating Bureaus","Other O&M","0","295.42","General Fund","Tax Supported Funds","Uniforms","Operating Expense"
"2021","Operating Departments","Public Works","Streets","Other O&M","0","10720.11","General Fund","Tax Supported Funds","Uniforms","Operating Expense"
"2021","Operating Departments","Public Works","Streets","Capital","0","2169.89","General Fund","Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2020","Operating Departments","Public Works","Wastewater Maintenance","Other O&M","0","3805395.78","Sewer Enterprise Fund","Non-Tax Supported Funds","Contributions to Agencies","Operating Expense"
"2020","General Government","Administrative Services","City Clerk","Sal/Spc Comp/OT","0","30000","General Fund","Tax Supported Funds","Contract Labor","Personnel Cost"
"2020","General Government","Administrative Services","City Clerk","Sal/Spc Comp/OT","0","339282","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2014","General Government","Administration","City Manager","Travel/Trng/Dues","0","1000","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2021","General Government","Non-Departmental","Non-Departmental","Other O&M","0","86614","General Fund","Tax Supported Funds","Other Charges","Operating Expense"
"2020","Operating Departments","Public Works","Transfer Station - Admin","Contract Services","0","194877.94","Refuse Disposal Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","Operating Departments","Transportation","Transportation Operations","Other","0","39250","Municipal Bus Lines Fund","Non-Tax Supported Funds","Uniform Allowance","Personnel Cost"
"2020","Operating Departments","Parks Recreation & Comm Svs","Senior Nutrition - CI","Contract Services","0","161367.7","Operating Grants Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","Operating Departments","Public Works","Transfer Station - Admin","Other O&M","0","4358365.32","Refuse Disposal Fund","Non-Tax Supported Funds","Refuse Disp Services - Trash","Operating Expense"
"2020","Operating Departments","Transportation","Transportation Capital","Capital","0","6040977.05","Municipal Bus Lines Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2020","Operating Departments","Parks Recreation & Comm Svs","Senior Nutrition - CI","Sal/Spc Comp/OT","0","47891","Operating Grants Fund","Non-Tax Supported Funds","Regular Salaries","Personnel Cost"
"2020","Operating Departments","Parks Recreation & Comm Svs","Senior Nutrition - CI","Sal/Spc Comp/OT","0","19010","Operating Grants Fund","Non-Tax Supported Funds","Part-Time Salaries","Personnel Cost"
"2020","Operating Departments","Transportation","Transportation Operations","Other O&M","0","112978.31","Municipal Bus Lines Fund","Non-Tax Supported Funds","Uniforms","Operating Expense"
"2020","Operating Departments","Transportation","Transportation Capital","Cap-Rolling Stock","0","187708","Municipal Bus Lines Fund","Non-Tax Supported Funds","Auto-Rolling Stock & Equipment","Operating Expense"
"2020","Operating Departments","Transportation","Bus Stop Furnishings (P)","Capital","0","677277.39","Municipal Bus Lines Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2020","General Government","Finance","Treasury","Contract Services","0","50250","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","Operating Departments","Public Works","CicLAvia - Open Streets 2016","Contract Services","0","55811.12","Operating Grants Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2020","Operating Departments","Public Works","CicLAvia - Open Streets 2016","Contract Services","0","17135","Operating Grants Fund","Non-Tax Supported Funds","Traffic Engineering Services","Operating Expense"
"2020","Public Safety","Police","Operating Bureaus","Office Supp&Exp","0","135455.1","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2019","Public Safety","Police","Fed Justice Asset Seizure Fund","Travel/Trng/Dues","0","5000","Asset Seizure Fund","Non-Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2019","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","59290","Asset Seizure Fund","Non-Tax Supported Funds","IT Equipment - Hardware","Operating Expense"
"2018","Public Safety","Police","Fed Justice Asset Seizure Fund","Travel/Trng/Dues","0","7200","Asset Seizure Fund","Non-Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2015","Public Safety","Police","Fed Justice Asset Seizure Fund","Cap-Rolling Stock","0","82391.82","Asset Seizure Fund","Non-Tax Supported Funds","Auto-Rolling Stock & Equipment","Operating Expense"
"2014","Public Safety","Police","Fed Justice Asset Seizure Fund","Travel/Trng/Dues","0","6048.78","Asset Seizure Fund","Non-Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2017","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","161535","Asset Seizure Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2013","Public Safety","Police","Fed Justice Asset Seizure Fund","Repair-Maint","0","5000","Asset Seizure Fund","Non-Tax Supported Funds","R&M - Building","Operating Expense"
"2016","Public Safety","Police","Fed Justice Asset Seizure Fund","Cap-Rolling Stock","0","28682.5","Asset Seizure Fund","Non-Tax Supported Funds","Auto-Rolling Stock & Equipment","Operating Expense"
"2016","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","12646.94","Asset Seizure Fund","Non-Tax Supported Funds","IT Equipment - Hardware","Operating Expense"
"2016","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","6200","Asset Seizure Fund","Non-Tax Supported Funds","Furniture & Furnishings","Operating Expense"
"2017","Public Safety","Police","Fed Justice Asset Seizure Fund","Travel/Trng/Dues","0","6000","Asset Seizure Fund","Non-Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2017","Public Safety","Police","ST 15% Asset Seizure Funds","Office Supp&Exp","0","2970.22","Asset Seizure Fund","Non-Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2018","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","158737.48","Asset Seizure Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2020","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","295000","Asset Seizure Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2013","Public Safety","Police","Fed Justice Asset Seizure Fund","Travel/Trng/Dues","0","4500","Asset Seizure Fund","Non-Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2020","Public Safety","Police","ST 15% Asset Seizure Funds","Sal/Spc Comp/OT","0","7177.43","Asset Seizure Fund","Non-Tax Supported Funds","Salaries OT-Project","Personnel Cost"
"2020","Operating Departments","Community Development","Building Safety","Other O&M","0","580","General Fund","Tax Supported Funds","Uniforms","Operating Expense"
"2020","General Government","Administration","City Manager","Office Supp&Exp","0","500","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2020","Operating Departments","Community Development","Building Safety","Office Supp&Exp","0","11180","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2017","Public Safety","Police","Fed Justice Asset Seizure Fund","Contract Services","0","43281.22","Asset Seizure Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2015","Public Safety","Police","Fed Justice Asset Seizure Fund","Office Supp&Exp","0","21650","Asset Seizure Fund","Non-Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2020","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","40000","Asset Seizure Fund","Non-Tax Supported Funds","IT Equipment - Hardware","Operating Expense"
"2014","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","52924.89","Asset Seizure Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2015","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","1600","Asset Seizure Fund","Non-Tax Supported Funds","IT Equipment - Hardware","Operating Expense"
"2016","Public Safety","Police","Fed Justice Asset Seizure Fund","Contract Services","0","75861","Asset Seizure Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2013","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","39179.6","Asset Seizure Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2017","Public Safety","Police","Fed Justice Asset Seizure Fund","Other O&M","0","300000","Asset Seizure Fund","Non-Tax Supported Funds","Public Safety Equipment","Operating Expense"
"2013","Public Safety","Police","Fed Justice Asset Seizure Fund","Contract Services","0","25486.33","Asset Seizure Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2018","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","150000","Asset Seizure Fund","Non-Tax Supported Funds","Furniture & Furnishings","Operating Expense"
"2013","Public Safety","Police","Fed Treasury Asset Seizure Fun","Contract Services","0","2886.74","Asset Seizure Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2013","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","7027.78","Asset Seizure Fund","Non-Tax Supported Funds","IT Equipment - Hardware","Operating Expense"
"2015","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","1200","Asset Seizure Fund","Non-Tax Supported Funds","Furniture & Furnishings","Operating Expense"
"2019","Public Safety","Police","ST 15% Asset Seizure Funds","Sal/Spc Comp/OT","0","6781.79","Asset Seizure Fund","Non-Tax Supported Funds","Salaries OT-Project","Personnel Cost"
"2018","Public Safety","Police","ST 15% Asset Seizure Funds","Sal/Spc Comp/OT","0","25000","Asset Seizure Fund","Non-Tax Supported Funds","Salaries OT-Project","Personnel Cost"
"2017","Public Safety","Police","ST 15% Asset Seizure Funds","Sal/Spc Comp/OT","0","22005.25","Asset Seizure Fund","Non-Tax Supported Funds","Salaries OT-Project","Personnel Cost"
"2019","Public Safety","Police","Fed Justice Asset Seizure Fund","Cap-Rolling Stock","0","118621.7","Asset Seizure Fund","Non-Tax Supported Funds","Auto-Rolling Stock & Equipment","Operating Expense"
"2016","Public Safety","Police","Fed Justice Asset Seizure Fund","Travel/Trng/Dues","0","3500","Asset Seizure Fund","Non-Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2020","Operating Departments","Transportation","Para Transit Services","Contract Services","0","170","Operating Grants Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2017","Public Safety","Police","Fed Justice Asset Seizure Fund","Cap-Rolling Stock","0","33240","Asset Seizure Fund","Non-Tax Supported Funds","Auto-Rolling Stock & Equipment","Operating Expense"
"2017","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","15195.78","Asset Seizure Fund","Non-Tax Supported Funds","IT Equipment - Hardware","Operating Expense"
"2014","Public Safety","Police","Fed Justice Asset Seizure Fund","Cap-Rolling Stock","0","118398","Asset Seizure Fund","Non-Tax Supported Funds","Auto-Rolling Stock & Equipment","Operating Expense"
"2015","Public Safety","Police","ST 15% Asset Seizure Funds","Office Supp&Exp","0","25000","Asset Seizure Fund","Non-Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2014","Public Safety","Police","Animal Control","Payroll Taxes","0.00","783.00","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2017","Public Safety","Police","ST 15% Asset Seizure Funds","Travel/Trng/Dues","0","24.53","Asset Seizure Fund","Non-Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2019","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","150000","Asset Seizure Fund","Non-Tax Supported Funds","Furniture & Furnishings","Operating Expense"
"2018","Public Safety","Police","Fed Justice Asset Seizure Fund","Capital","0","185000","Asset Seizure Fund","Non-Tax Supported Funds","IT Equipment - Hardware","Operating Expense"
"2016","Public Safety","Police","Fed Justice Asset Seizure Fund","Office Supp&Exp","0","13578","Asset Seizure Fund","Non-Tax Supported Funds","Small Tools & Equipment","Operating Expense"
"2015","Public Safety","Police","Fed Justice Asset Seizure Fund","Contract Services","0","10000","Asset Seizure Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2014","Public Safety","Police","Fed Justice Asset Seizure Fund","Contract Services","0","10000","Asset Seizure Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2013","Public Safety","Police","Fed Justice Asset Seizure Fund","Cap-Rolling Stock","0","50112.97","Asset Seizure Fund","Non-Tax Supported Funds","Auto-Rolling Stock & Equipment","Operating Expense"
"2020","Public Safety","Police","Fed Justice Asset Seizure Fund","Cap-Rolling Stock","0","40000","Asset Seizure Fund","Non-Tax Supported Funds","Auto-Rolling Stock & Equipment","Operating Expense"
"2015","Public Safety","Police","Fed Justice Asset Seizure Fund","Travel/Trng/Dues","0","7000","Asset Seizure Fund","Non-Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2014","General Government","Administration","City Manager","Liability Reserve","0","19818","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2016","General Government","Administration","City Manager","Other","0","17680","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2014","General Government","Administration","City Manager","Other","0","11409","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2018","General Government","Administration","City Manager","Pension Expenses","0","79819","General Fund","Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
