"fiscal_year","department","program","expense_category","expense_type","adopted_budget_amount","revised_budget_amount","encumbrances_amount","actuals_amount","total_obligations_amount","fund_code","org_code","department_code"
"2020","Fire","Emergency Medical Services","Travel/Trng/Dues","Operations/Maintenance","24156","24156","0","19318.47","19318.47","101","10145300","45"
"2019","Parks Recreation & Comm Svs","PR&CS Administrative Division","Retiree Medical P","Personnel Cost","49270","49270","0","57420.96","57420.96","101","10130100","30"
"2020","Community Development","Community Development Admin","Travel/Trng/Dues","Operations/Maintenance","16000","16000","0","1138","1138","101","10150100","50"
"2022","Public Works","Wastewater Maintenance","Contract Services","Operations/Maintenance","788840","826810.4","52210.53","629311.78","681522.31","204","20460300","60"
"2020","Finance","Finance Administration","Contract Services","Operations/Maintenance","520900","615839.46","0","458852.43","458852.43","101","10114100","14"
"2020","Public Works","Building Maintenance","Other O&M","Operations/Maintenance","28055","28345.5","0","5652.62","5652.62","101","10160230","60"
"2019","Community Development","Neighborhood Preservation","Contract Services","Operations/Maintenance","0","245000","0","34875","34875","476","47650760","50"
"2020","Fire","Emergency Medical Services","Contract Services","Operations/Maintenance","246992","280003.37","0","208769.75","208769.75","101","10145300","45"
"2020","Public Works","Public Works Admin","Other O&M","Operations/Maintenance","3592","3592","0","2314.95","2314.95","101","10160100","60"
"2023","Administrative Services","Employee Disability (IOD)","Workers Comp","Personnel Cost","0","0","0","-2693.33","-2693.33","309","30922210","22"
"2023","Information Technology","Municipal Fiber Network Ops","Contract Services","Operations/Maintenance","0","0","647411.98","90288.78","737700.76","205","20524500","24"
"2020","Transportation","AQMD - AB2766","Cap-Rolling Stock","Capital/Other","0","36000","0","0","0","414","41470620","70"
"2020","Public Works","Tree Maintenance","Contract Services","Operations/Maintenance","919920","963476.7","0","954809.7","954809.7","101","10160220","60"
"2021","Fire","Communications","Travel/Trng/Dues","Operations/Maintenance","54650","54650","0","50006.5","50006.5","101","10145700","45"
"2019","Community Development","Building Safety","Retiree Medical P","Personnel Cost","22120","22120","0","24952.56","24952.56","101","10150150","50"
"2020","Community Development","Rental Assistance Payments","Contract Services","Operations/Maintenance","0","85000","0","0","0","476","47650720","50"
"2019","Fire","Community Risk Reduction","Retiree Medical P","Personnel Cost","104050","104050","0","125183.69","125183.69","101","10145600","45"
"2012","Public Works","Wastewater Maintenance","Ins Premiums","Operations/Maintenance","7680","7680","0","0","0","204","20460300","60"
"2017","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Repair-Maint","Operations/Maintenance","2000","2000","0","0","0","101","10130110","30"
"2019","Projects","Projects","Capital","Capital/Other","170940.62","415099.62","0","341099","341099","431","43180000","CP"
"2019","Community Development","Building Safety","Sal/Spc Comp/OT","Personnel Cost","1042401","1177035","0","960317.94","960317.94","101","10150150","50"
"2020","Public Works","Electrical Maintenance","Travel/Trng/Dues","Operations/Maintenance","6800","6800","0","7119.1","7119.1","101","10160240","60"
"2019","Parks Recreation & Comm Svs","Parks and Playgrounds Programs","Other O&M","Operations/Maintenance","965","0","0","0","0","101","10130211","30"
"2019","Transportation","Transportation Operations","Retiree Medical P","Personnel Cost","336410","336410","0","302919.09","302919.09","203","20370200","70"
"2021","Parks Recreation & Comm Svs","Culver City After School Progr","Capital","Capital/Other","0","6230","0","6222.52","6222.52","101","10130233","30"
"2020","City Attorney","City Attorney","Legal Services","Operations/Maintenance","1057982","1696963.55","5500","1325864.88","1331364.88","101","10113100","13"
"2020","Fire","Fire Prevention & Safety Grant","Travel/Trng/Dues","Operations/Maintenance","0","0","0","0","0","414","41445908","45"
"2020","Public Works","Parking Meters","Contract Services","Operations/Maintenance","309285","315684.4","0","246464.28","246464.28","101","10160260","60"
"2021","Fire","Fire Suppression","Contract Services","Operations/Maintenance","20200","22700","0","20775.39","20775.39","101","10145200","45"
"2020","Community Development","Homeless Services","Contract Services","Operations/Maintenance","0","0","0","7177.43","7177.43","101","10150520","50"
"2019","Community Development","Advance Planning","Sal/Spc Comp/OT","Personnel Cost","332699","339092","0","277902.34","277902.34","101","10150400","50"
"2022","Administrative Services","Risk Management","Contract Services","Operations/Maintenance","434005","761764.28","24508.37","633669.48","658177.85","309","30922200","22"
"2021","Parks Recreation & Comm Svs","Senior Nutrition - CI","Pension Expenses","Personnel Cost","17439","17439","0","0","0","414","41430410","30"
"2023","Projects","Projects","Contract Services","Operations/Maintenance","0","200000","87592.65","0","87592.65","420","42080000","CP"
"2023","Parks Recreation & Comm Svs","Senior and Social Services","Workers Comp","Personnel Cost","0","0","0","-3385.5","-3385.5","101","10130400","30"
"2020","Finance","Budget & Accounting Operations","Travel/Trng/Dues","Operations/Maintenance","3500","3500","0","1027","1027","101","10114300","14"
"2021","Non-Departmental","Non-Departmental","Transfers","Transfers","0.04","400000.04","0","400000","400000","418","41816100","16"
"2020","Parks Recreation & Comm Svs","Senior Nutrition - CII & 3B","Contract Services","Operations/Maintenance","55501","55502","0","32819.08","32819.08","414","41430415","30"
"2020","Community Development","Rental Assistance Payments","Other O&M","Operations/Maintenance","0","176148","0","227528","227528","476","47650720","50"
"2023","Administrative Services","Art Fund","Workers Comp","Personnel Cost","0","0","0","-310.58","-310.58","413","41322400","22"
