"project_id","project_name","project_description","address","current_phase","current_phase_type","project_details_url","latitude","longitude","regions"
"PF006","Wash, Grandview, VanBuren - Repairs","This project includes sidewalk replacement at multiple locations on Van Burn Place and Grand View Avenue, and a curb reconstruction on the south side of Washington Boulevard between Kenyon Avenue and Chase Avenue. Sidewalk repair locations are determined by a coordinated effort between Public Works Maintenance Operations and Engineering Divisions. Priority is assigned based upon eligibility for CDBG funding, the sidewalk’s condition, and its proximity to other needed sidewalk repairs to gain benefit from the economy of scale.  The project scope of work consisted of removing the existing sidewalk and curb, root trimming as necessary, and constructing a new 4” thick sidewalk over 4” crushed miscellaneous base and reconstructing a new curb and gutter over 6’ crushed miscellaneous base.",,,,,,,
"PL001","Citywide Traffic Signal Timing Plan","A Citywide Traffic Signal Timing Plan to be developed using Playa Vista Mitigation funds. This project was completed in FY2013-14.",,,,,,,
"PL002","Traffic Signal at Sawtelle & Hayter","This project will be used to construct a new traffic signal at the intersection of Sawtelle Blvd. & Hayter Ave. per approved traffic mitigation measures. Playa Vista traffic mitigation funds for Sunkist Park neighborhood will be used.",,,,,,,
"PL003","Traffic Signal Wash Bl/Cattaraugus","This project represents the City‘s contribution toward the construction of a new traffic signal at the intersection of Washington Blvd. & Cattaraugus Ave. as part of the Legado Development Project.",,,,,,,
"PL004","Traffic System (TMSS) Gap Closure","Funded by an LA Metro 2009 Call for Projects Grant, the Traffic Monitoring & Surveillance System (TMSS) Gap Closure project encompasses the design and implementation of fourteen (14) Closed Circuit Television (CCTV) camera traffic monitoring and surveillance systems, hub switching equipment, approximately 4 miles of fiber optic communication cables, and Emergency Operations Center (EOC) video.",,,,,,,"1, 3, 6, 7, 10, 12, 13 , 15, 17"
"PZ295","Alley Reconstruction - Citywide","This project is established for resurfacing existing asphalt alleys and improvements of dirt alleys in poor condition. Work also includes abatement of weeds and vegetation.",,,,,,,
"PZ334","Alley Revitalization",,,,,,,,
"PO001","Urban Forest Mgt & Succession Plan","In early 2013, the City secured a $75,000 grant from the California Department of Forestry and Fire Protection (CalFire) to fund the creation of an Urban Forest Management and Tree Succession Plan.  This plan will include tree-related policies and procedures, a long-term plan for the future of the City’s aging urban forest, as well as modifications to the species identified in the existing Street Tree Master Plan in order to increase species diversity and disease resistance, facilitate environmental benefits, and ensure site-specific appropriateness.  The grant will be matched with $25,000 in City resources ($15,000 hard match from Gas Tax and $10,000 of in-kind staff time).",,,,,,,
"PO002","Tree Planting Project","The project will plan 300 twenty-four inch box trees in vacant locations in parks and publicly-owned residential and commercial parkways throughout the City of Culver City and assist with the establishment costs for the first two years after planting.",,,,,,,
"PP001","Hetzler Road Pedestrian Trail","This project is to construct a separate pedestrian walking and jogging trail approximately 10 feet wide and 1500 feet long. The trail will allow pedestrians to avoid use of the portion of the roadway that is used for access to residential properties located along Hetzler Road.",,,,,,,
"PS001","Concrete Street Rehabilitation","This project is created to fund concrete street repairs by crack sealing, patching and local replacement.",,,,,,,
"PS002","City Traffic Sign Retroreflectivity","Federal and State legislation has set standards of retroreflectivity for signs in the public-right-of-way.  In order to determine which signs comply and which do not, a citywide sign survey is required.  Non-compliant signs will be replaced with compliant signs – a separate replacement budget enhancement will be requested after the survey is complete.  To this end, and for the benefits beyond meeting this requirement, a digital sign survey database needs to be built, compiled and populated.  The field data collected will include all the necessary information. A computerized sign survey system will be delivered that may be maintained by staff.    As part of the Citywide Speed survey, all speed-related signs on the arterial streets were surveyed relative to the retroreflectivity requirements.  Approximately 100 signs require removal and replacement.",,,,,,,
"PS003","Traffic Signal Left-Turn Phasing","In 2013, the City received $945,000 in federal grants from the Highway Safety Improvement Program (HSIP) to install left-turn phasing at seven signalized intersections.",,,,,,,"7, 10, 13, 15"
"PS004","Demonstration Rain Garden Projects","The purpose of this project is to construct a demonstration rain garden in the parkway of Lindblade Street adjacent to Sepulveda Blvd.",,,,,,,
"PT001","Wireless Deployment-City Facilities","Funds will be used to complete requirements/needs analysis detailing the coverage and configuration specifications for deploying wireless connectivity at the Veterans Memorial Building (VMB) and the Senior Center. The project will provide free courtesy WiFi for public access inside these City facilities. The access model will be similar to the free WiFi currently deployed in the downtown area.  This is a collaborative project with the Parks, Recreation and Community Services (PRCS) Department.",,,,,,,
"PT002","Audio/Voting Council Chambers","This project will evaluate all components of the audiovisual (microphones, cameras, lighting, electrical wiring, meeting playback systems, etc) and voting systems in the City Council Chambers.  After completing the evaluation, recommendations will be made to upgrade, replace, and integrate relevant components.  The project will result in an updated and streamlined solution that will fully support live broadcast and associated post-meeting processing of all council/board/commission meetings.",,,,,,,
"PW001","Sewer Facility Fees Update","The current Culver City sewer facility fees were adopted in 1990 and a fee study was conducted in 1997, although no fee changes were implemented.  A consultant will be hired to conduct a new study of the existing sewer facilities fees and make recommendations. The update will occur in 2014-15 after the completion of the Sewer Master Plan.",,,,,,,
"PW002","Sanitary Sewer Master Plan Update","The last update to the Sanitary Sewer Master Plan was completed in 1995.  The purpose of this task is to analyze and prioritize any capacity enhancements of the entire system.  The Study will be conducted by a consultant and will provide staff with a computerized hydraulic model that will assist with analyzing the capacity of the sewer system for potential increases in sewer flows from future developments. Updates will begin in Spring 2014.",,,,,,,
"PZ100","Gas Tax",,,,,,,,
"PZ132","Building Repairs","City-Wide Municipal Building maintenance and repairs are grouped together under this project with the intent that larger projects will produce more cost effective repair contracts such as painting, piping replacement and HVAC replacement. Maintenance projects are prioritized and completed per the recommendations in the Citywide Facilities Assessment report completed in March 2007. Scheduled repairs include replacing the Police Department boiler, Fire Station #1 skylight replacement, PW Building skylight replacement, City Hall carpet replacement, and building wash of City Hall and Fire Station #1.",,,,"https://www.culvercity.org/Government/PublicWorks/FeaturedProjects/FireStation3.aspx",,,
"PZ200","Art in Public Places Fee",,,,,,,,
"PZ230","Sewer Local & Emergency Repair","This project is used for sewer line point repairs, manhole rehabilitation, root removal and sewer emergency repairs, sewer video inspection, and sewer overflow detection devices at select manholes. Specific upcoming projects include a closed circuit television (CCTV) inspection program, an extension of sewer line at the east city limit of Jefferson Blvd. to a property that is on a septic tank, and Fay Avenue and Westwood easement diversion.",,,,,,,
"PZ248","Hyperion Payment",,,,,,,,
"PZ376","Parking Meters & Equipment",,,,,,,,
"PZ388","Technology Replacement Fund","The Technology Replacement Fund project provides for the funding of enhancements and upgrades of existing projects and hardware as well as new, small IT-related projects. This includes computer hardware, software, and telecommunications equipment. Related cabling, services, and devices are paid from this project.  Requests for IT- related equipment made by all City departments are included. The Budget and Finance office holds justification sheets for IT equipment requested by City departments.",,,,,,,
"PZ428","Curb, Gutter, Sidewalk Replacement","As identified by field inspections, this recurring capital project is established to replace uplifted sidewalks, curbs, gutters, and driveway approaches throughout the City and complement Maintenance Operations' concrete repair activities. A citywide inspection was completed In FY2011-12, to document all sidewalk displacements. Temporary repair work of all uplifted sidewalk was scheduled in FY2013-14. Replacement of significantly uplifted and damaged sidewalks is scheduled for FY2014-15.",,,,,,,
"PZ429","Traffic Signal Replace/Upgrade","As identified by field inspections, this project is established to repair and upgrade city street facilities (traffic signals and equipment, benches, trash receptacle, etc.)  on an as needed basis or in conjunction with street improvements.  Also, this project will be used to track private insurance claims reimbursements due to damages caused to City street facilities from vehicle accidents and also to conduct pole condition inspections.",,,,,,,
"PZ438","Underground Tanks-City Yard",,,,,,,,
"PZ447","Playground Equipment-Vets Park",,,,,,,,
"PZ451","Concrete Bus Stop Pads",,,,,,,,
"PZ452","Bus Shelters",,,,,,,,
"PZ456","Aerial Photography","Aerial imagery is extremely beneficial to the City for numerous reasons. Among others, aerial photos aid in verifying and identifying City assets and infrastructure that might otherwise require staff time out in the field. Updated imagery also facilitates creating building footprints for the City (emergency service access). In addition, new and updated major structures and infrastructure in our City can be viewed to aid in Planning, Redevelopment, Economic Development and Public Works efforts.    The City plans to participate in the Los Angeles Image Acquisition Regional Consortium (LARIAC-4). This is a county-wide effort where over 50 cities collaboratively obtain aerial photography and related digital products.",,,,,,,
"PZ460","Culver Blvd Realignment","This project proposes the realignment of Culver Boulevard from Commonwealth Ave to Elenda Street. The 2005 Federal Transportation Bill, SAFETEA-LU, allocated $2,192,000 to this project. Additional grant funds of $2,855,776 has been approved for FY 2013-14 and 2014-15 through the 2009 Metro TIP Call for Projects. Playa Vista Mitigation funds ($960,000) and West LA College Mitigation funds ($1,000,000) will be used for the local match. Preliminary engineering is scheduled to be completed in Summer/Fall 2013. Final design is to be completed in FY2014-15 with construction starting in FY2015-16.",,,,,,,
"PZ462","Veterans Complex Rehab",,,,,,,,
"PZ467","Rehab Engines/Transmissions",,,,,,,,
"PZ470","Culver West Rec Bldg Design",,,,,,,,
"PZ478","Expanded Bus Facilities",,,,,,,,
"PZ490","Playground Equipment-Culver West",,,,,,,,
"PZ497","Stormwater Discharge Program/NPDES","This project was established in support of the Municipal Pollution Discharge Elimination (NPDES) Permit and to comply with federal and state environmental laws. It covers all stormwater pollution prevention issues including public outreach, commercial and industrial stormwater inspections, and annual NPDES permit fees. The City was awarded a $1,252,000 Prop 50 grant from the State for design and construction of various best management practices devices to reduce storm water pollution. The City received $485,000 in Federal appropriations to complete the Prop 50 grant scope. Rain garden projects completed in 3rd Quarter FY2012-13.  Catch basin inserts are being installed.  Budget amounts include staff's best estimate of Total Maximum Daily Load (TMDL) costs based on current information provided by lead watershed agencies.",,,,,,,
"PZ502","Art Fund Administration",,,,,,,,
"PZ504","Replace Plumb/Tiles Plunge",,,,,,,,
"PZ507","Returf Four Playgrounds",,,,,,,,
"PZ521","Pump Station Improvements","Funds for this project are to be used towards ongoing improvements for Culver City's seven sewer lift stations and emergency notification and flow monitoring systems. As needed, this project also includes upgrades for wet well depth controls, facility communications installations, replacement of motor/pump sets, roofs, access doors, and rehabilitation of wet wells. In FY2014-15, improvements include moving control panels above ground at the Pump Station Building at Hayden.",,,,,,,
"PZ522","Relocate Transit Center-Mall",,,,,,,,
"PZ525","GIS Development","Funding for this project will provide for the deployment of an enterprise Geographical Information System (GIS) and to implement GIS functionality on the Internet and Intranet providing citizens and staff with geographical based information. The GIS project will also assist with analysis and tracking in the areas of asset management, mail notification and integration with permitting processes. Another important component of the GIS program is the maintenance of the City-wide address database, which is used for City notifications.",,,,,,,
"PZ526","Rehab Fire Station 3",,,,,,,,
"PZ542","Force Main Improvement",,,,,,,,
"PZ544","Smart Corridor Expansion-ATSAC",,,,,,,,
"PZ546","Pavement Management Masterplan","This project is required to receive federal funds and to prioritize the City's street improvement needs every three years, which is recommended by the Pavement Management System (PMS) program. An update to the PMS was completed in 2011.  Carryover funds are used for program updates/upgrades.",,,,,,,
"PZ554","Minor Pavement & Concrete Improve","This project is used for repairs of minor street/alley asphalt and concrete failures as necessary.",,,,,,,
"PZ556","Downtown Street Improvement",,,,,,,,
"PZ559","Art in Culver City Park",,,,,,,,
"PZ568","Culver City Park Night Lights",,,,,,,,
"PZ578","Fire Training Tower Rehab",,,,,,,,
"PZ579","Flow Monitor Upgrades",,,,,,,,
"PZ580","Sewer Gaug Station Monitor",,,,,,,,
"PZ594","Fencing Replacement at Parks","This project is for fence replacement and installation in various parks as needed and ongoing fence repair at Blanco Park.",,,,,,,
"PZ599","Neighborhood Traffic Mgmt Program","This project provides for traffic engineering designs, analysis, studies, and tools for the NTMP program, at the request of residential communities. Funds will be used citywide as needed to reduce speeding and cut- through traffic in residential neighborhoods that meets the NTMP criteria. In FY2014-15, it is anticipated that funds will be used to stripe new bike lanes and install speed feed-back signs along Buckingham Parkway, between Hannum and GVC ($25,000); for traffic data and studies ($20,000); and to fund traffic calming measure requests ($30,000).",,,,,,,
"PZ607","Reconstruct Foot Bridge",,,,,,,,
"PZ610","Vets/Lindberg Park Restrooms",,,,,,,,
"PZ611","Remediate Asbestos-VMB",,,,,,,,
"PZ612","Upgrade Park Irrigation Systems","This capital project will be used to replace out-moded components of the existing irrigation systems at various parks including electronic controls with state of the art technology; installation of master valves and flow sensors; emergency shut-off valves; rain sensors; and low-pressure compensating sprinkler heads. This project has a 5-year timeline.",,,,,,,
"R4690","SENIOR CENTER",,,,,,,,
"PZ614","Performing Arts","This program provides funding for competitive performing arts grants for Culver City and Los Angeles County based non-profit performing art organizations for performances in Culver City.  The Art in Public Places Ordinance allows for 25% of the money deposited into the Art Fund in the previous fiscal year to be spent for this purpose.",,,,,,,
"PZ615","Sports Facility Land Acquisition",,,,,,,,
"PZ623","Wastewater System Location",,,,,,,,
"PZ625","City Hall Post Move In Adjustments",,,,,,,,
"PZ626","Sepulvdea MTA ATSAC Project",,,,,,,,
"PZ633","Citywide Tree Trimming",,,,,,,,
"PZ634","Art Maintenance",,,,,,,,
"PZ635","Permit Software Enhancements","This project is purposed to expand the usage of the current permit software system to additional departments with the objective of creating a centralized database for all City permit activity. Funds will be used to implement streamlined permit processing including Internet permitting, workflow routing, remote inspection processing and GIS integration.",,,,,,,
"PZ636","Finance System Replacement","A replacement enterprise resource planning (ERP) system has been implemented to replace the aging JD Edwards OneWorld ERP. Munis by Tyler Technologies was selected as the new ERP. The new system replaces the older systems which provided: general ledger, accounts payable, accounts receivable, purchasing, cash receipts, payroll, and timekeeping functionality. The first phase of the project went live in July 2012.  HR/Payroll went live in April 2013, followed by Phase III – the Business License Module, which went live FY2013-14.",,,,,,,
"PZ637","Business License Info Systems",,,,,,,,
"PZ700","Emergency Operations Center",,,,,,,,
"PZ638","Median Island Rehabilitation","This project is to rehabilitate median islands along Washington and Culver Blvds (bikeway) for a more consistent look, including irrigation system installation, trees, shrubs, ground cover and mulch. Plans shall be prepared by a DPW consultant, per DPW Street Improvement Projects.",,,,,,,
"PZ639","Little League Field",,,,,,,,
"PZ640","Resurface/Restripe Sports Courts","This project involves striping, resurfacing and restriping sport courts at Fox Hills, Lindberg, Kronenthal, El Marino, Culver West Alexander, Blair Hills and Vet's Parks. Sports courts include tennis, paddle tennis, handball, and basketball courts.  PW/Engineering will also replace Culver West Alexander Park paddle tennis courts.",,,,,,,
"PZ643","Energy Efficiency Program",,,,,,,,
"PZ644","Downtown Art Repair",,,,,,,,
"PZ645","Washington Streetscape",,,,,,,,
"PZ651","Carson Street Reconstruction",,,,,,,,
"PZ652","Krueger Street Reconstruction",,,,,,,,
"PZ653","Cuvler Park Dr Resurface",,,,,,,,
"PZ654","Berryman Ave Reconstruction",,,,,,,,
"PZ655","Police Dept HQ Expansion",,,,,,,,
"PZ656","Jefferson Blvd Reconstruction",,,,,,,,
"PZ657","Overland Ave Reconstruction",,,,,,,,
"PZ659","Culver Blvd Reconstruction",,,,,,,,
"PZ660","W Washington Blvd Reconstrution",,,,,,,,
"PZ662","Replace Irrigation System",,,,,,,,
"PZ664","Fox Hills Park Slope Rehab",,,,,,,,
"PZ665","Document CC Fiber Phone",,,,,,,,
"PZ666","Install Fiber Net Conduit",,,,,,,,
"PZ669","Overland Ave Widening",,,,,,,,
"PZ671","Storm Drain Improvements",,,,,,,,
"PZ672","Ivy Way Storm Drain Connection",,,,,,,,
"PZ673","Jefferson Blvd ATASAC Gap",,,,,,,,
"PZ674","Traffic Signal Relocation",,,,,,,,
"PZ676","Temporary Art Displays & Exhibits","This project provides funding for Culver City to serve as a venue in exhibitions being travelled regionally and nationally.  Events include ARTTALK Culver City – a one day, multi gallery event that focuses on artists and exhibitions – as well as participation in temporary installations throughout the City.",,,,,,,
"PZ677","Senior Center Project","This project is used to track appropriations used to pay debt service on the Senior Center loan. The final loan payment is scheduled for FY2014-15.",,,,,,,
"PZ680","Year 2000 Project",,,,,,,,
"PZ681","Reroof Various Bldgs",,,,,,,,
"PZ682","Roof Replacement - Plunge",,,,,,,,
"PZ687","Leahy Street Reconstruction",,,,,,,,
"PZ689","Comonwealth Sewer Replace",,,,,,,,
"PZ690","Vinton Sewer Replacement",,,,,,,,
"PZ691","Motor Sewer Replacement",,,,,,,,
"PZ692","Mentone Sewer Replacement",,,,,,,,
"PZ693","Lebourget Sewer Replacement",,,,,,,,
"PZ694","Alley Sewer Replacement/Braddock",,,,,,,,
"PZ695","Alley Sewer Replacement/Sepulveda",,,,,,,,
"PZ696","Alley Sewer Replacement/Wash Pl",,,,,,,,
"PZ697","Washington Blvd Sewer Replacement",,,,,,,,
"PZ698","Grandview Alley Sewer Replacement",,,,,,,,
"PZ701","Network Redesign & Infrastructure","This project is used to enhance storage, network, and phone systems.  Storage systems include tape systems, online disk based storage for files, scanned images, and databases.  Network systems include the City's data backbone, servers, and attached devices.  Phone systems include phone switches, phone devices, and related software.",,,,,,,
"PZ702","Slauson Ave Reconstruction",,,,,,,,
"PZ703","Sony Art Projects",,,,,,,,
"PZ705","911 System Public Safety",,,,,,,,
"PZ716","Kronenthal Park Anti Graffiti",,,,,,,,
"PZ717","Helms Ave Rehabilitation (Z3)",,,,,,,,
"PZ718","Alley Sewer Replace-Wash/Sepulveda",,,,,,,,
"PZ720","Public Services Building Fence",,,,,,,,
"PZ721","Mid Washington Blvd Street",,,,,,,,
"PZ723","Diesel Exhaust System Fire",,,,,,,,
"PZ726","Green Valley Circle Rehab",,,,,,,,
"PZ727","Culver/Sawtelle/Elenda",,,,,,,,
"PZ728","Buckingham Parkway Rehab",,,,,,,,
"PZ729","Bankfield Ave Reconstruction",,,,,,,,
"PZ731","Lindberg Park","This project will be used to convert the former Stone House area, which is now demolished, into a passive use area with picnic tables, benches, BBQ pits and shade trees.",,,,,,,
"PZ734","Police System Conversion",,,,,,,,
"PZ741","Higuera Street Traffic Light",,,,,,,,
"PZ742","Pickford Way Resurfacing",,,,,,,,
"PZ743","Phase III EOC Automation",,,,,,,,
"PZ744","Charmock Sub-basin Remodel",,,,,,,,
"PZ745","Kinston Ave Traffic Barrier",,,,,,,,
"PZ746","Regional Airport Plan",,,,,,,,
"PZ747","East Washington Art",,,,,,,,
"PZ748","Paseo Art",,,,,,,,
"PZ749","Kronenthal Park Art Mural",,,,,,,,
"PZ750","Van Buren Sewer Improvements",,,,,,,,
"PZ752","Green Valley Metering Station Rep",,,,,,,,
"PZ753","Earthquake Gas Supply Shutoff",,,,,,,,
"PZ754","Ficus Tree Replacement","This project is to fund replacing City-wide ficus street trees with a less root-intrusive tree species to protect the City's infrastructure, including private sewer laterals. Funding will also be used toward progressive removal and replacement of diseased ficus trees.",,,,,,,
"PZ761","Parking Meter Related Equipment",,,,,,,,
"PZ762","Temporary Skateboard Park",,,,,,,,
"PZ769","Citywide Curb Cut Project",,,,,,,,
"PZ770","La Ballona Mural Project",,,,,,,,
"PZ771","Legacy 2000 Tree Project",,,,,,,,
"PZ772","Prospect Ave Streetlight Replace",,,,,,,,
"PZ773","Commonwealth Alley Replace",,,,,,,,
"PZ774","Braddock Sewer Replacement",,,,,,,,
"PZ775","Inglewood Blvd Sewer Replacement",,,,,,,,
"PZ776","Farragut Dr Sewer Replacement",,,,,,,,
"PZ777","Bus Stop Improvements",,,,,,,,
"PZ778","ADA Grass Parkway Pads",,,,,,,,
"PZ779","Culver Park Art Site",,,,,,,,
"PZ780","Bar Coding Software/Hardware",,,,,,,,
"PZ781","Finance System - Phase II",,,,,,,,
"PZ782","Higuera Street Median Improvement",,,,,,,,
"PZ783","Police Bldg Post Improvement Work",,,,,,,,
"PZ784","AB2928 Traffic Congestion Relief",,,,,,,,
"PZ785","Trunked Radio Communications Sys",,,,,,,,
"PZ786","Thermoplastic Crosswalks",,,,,,,,
"PZ787","Sawtelle/Wash Intersect Recon",,,,,,,,
"PZ788","Ped Signal Improv - Elenda/Wash",,,,,,,,
"PZ789","Sawtelle/Blanco Signal Intersect",,,,,,,,
"PZ790","Tellefson Park Rehab",,,,,,,,
"PZ791","El Marino Park Rehab",,,,,,,,
"PZ792","Duquesne Ave Sewer Replacement",,,,,,,,
"PZ793","Armory Improvements",,,,,,,,
"PZ794","Citywide Fixed Asset Inventory",,,,,,,,
"PZ795","Hirsch System Upgrade",,,,,,,,
"PZ796","Ongoing Facility Maintenance",,,,,,,,
"PZ833","IMAGING-CITY TREASURERS OFFICE",,,,,,,,
"PZ797","Sepulveda Streetscape Project"," This project was for pedestrian and commuter improvements on Sepulveda Boulevard from the intersection of Jefferson Boulevard on the north and Jefferson Boulevard/Playa Street on the south, including street furniture, lights and bus benches.  A Metro grant in the amount of $351,000 was received to fund this project. Construction was completed in 2012. ",,,,,,,
"PZ798","Art for Senior Center",,,,,,,,
"PZ799","Installation of Citywide LEDs",,,,,,,,
"PZ800","Albright Ave Streetlights",,,,,,,,
"PZ801","Ballona Creek Strormwater Qual Impr",,,,,,,,
"PZ802","Permit Streamlining",,,,,,,,
"PZ803","Blair Hills Park Rehab",,,,,,,,
"PZ804","Traffic Flow Monitoring",,,,,,,,
"PZ805","Resurface PD Parking Lot",,,,,,,,
"PZ806","Traffic Signal Modification",,,,,,,,
"PZ807","Wash Blvd Recon-Overland/Duquesne",,,,,,,,
"PZ808","Wash Blvd Recon-Ince/National",,,,,,,,
"PZ809","Tellefson Park Sewer Replace",,,,,,,,
"PZ810","Fire Station 1 Containment Equip",,,,,,,,
"PZ811","Citywide Speed Zone Study","Per the California Vehicle Code, speed zone surveys should be conducted every seven to ten years (CVC 40802) to establish speed limits and to allow for Police Department radar enforcement. The existing study was completed and adopted in August 2003. Based on the availability for an extension, the next study was to be conducted in 2012-13. This project was completed and adopted by August of 2013. Additional minor speed surveys are done on an as needed basis.    In FY2014-15, this project will fund additional Engineering and Traffic Surveys to explore speed reductions in the vicinity of one or more schools, as adopted by AB321.  A pilot location will be Elenda Street, between Culver Boulevard, and the streets in the adjacency to La Ballona Elementary School.  Funds are requested for FY 2014-15 to fund consultant work, studies and traffic data.",,,,,,,
"PZ812","La Cienega Blvd Rehab Project",,,,,,,,
"PZ813","Install Wattman Light Voltcont",,,,,,,,
"PZ814","Carlson Park Rehab",,,,,,,,
"PZ815","Recreation Office Rehab",,,,,,,,
"PZ816","Dog Park","Repair and continuation of the existing retaining wall on the North slope of the Dog Park in Culver City Park for erosion control.  Project is eligible for funding from the City’s Los Angeles County Proposition A Maintenance and Servicing Fund.",,,,,,,
"PZ817","Maintenance-City Hall, FS1, Vets",,,,,,,,
"PZ818","Battery Backup - Traffic Signals",,,,,,,,
"PZ819","Teen Center Remodel",,,,,,,,
"PZ820","Carson Streetlight Improvement",,,,,,,,
"PZ821","Orr Foundation Relocation/Upgrade",,,,,,,,
"PZ822","Historic Designation Plaques",,,,,,,,
"PZ823","Zoetrope Enhancement",,,,,,,,
"PZ824","Art Conservation Program",,,,,,,,
"PZ825","Electronic Imaging System",,,,,,,,
"R3273","CULVER HOTEL OPA",,,,,,,,
"R3275","EXPO AERIAL STATION-MATCH",,,,,,,,
"PZ826","Citywide Traffic Counts","Approximately 200 count locations are projected to have 3 weekday and one Saturday vehicular volume counts. These counts are used for analysis, reporting to agencies, for public information for grant applications, and for accident analysis. Data is available for the public on the internet and City offices. Additional minor traffic counts are done on an as-needed basis. These counts were last conducted in FY2013-14.  In FY2014-15, some streets not previously included in the Engineering and Traffic Study (E&TS) will have counts conducted.",,,,,,,
"PZ827","El Marino Ceramics Hut Rehab",,,,,,,,
"PZ828","Rehab Street Furniture Downtown",,,,,,,,
"PZ831","Syd Kronenthal Playground Improv","Los Angeles County Proposition A Cities Excess Funds have been granted for this project, enabling the City to: (a) replace the outdated playground equipment with sculptural elements that are both physically and mentally challenging; (b) replace the sand surfacing using 100% engineered wood fibar; (c) incorporate needed features such as an accessible ramp; and (d) provide a path of travel to and from the parking area to the playground area that will bring the entire playground into 100% Federal ADA compliance.",,,,,,,
"PZ832","FIRING RANGE REHAB",,,,,,,,
"PZ834","THEATRICAL UPGRADES-VETS AUD",,,,,,,,
"PZ835","Culver West Park Rehab","The City has received $147,480 in LA County Prop A Excess Funds and $123,000 in Land and Water Conservation Funding (LWCF) to rehabilitate park picnic area fields, play areas, and to create a jogging trail and distinctive entrance at the Culver West Park. Phase II of the lighting improvement project was completed during fiscal year 2009-10. In FY2010-11, Paseo (McConnell pathway) improvements were completed.  Signage and markings to extend Pooch Path to include Walking/Jogging Trail were added, per City Council direction in FY 2012-13. In FY2014-15, plans include restriping playing courts.",,,,,,,
"PZ836","BLANCO PARK REHAB",,,,,,,,
"PZ837","CULVER BLVD-KESTONE/JASMINE",,,,,,,,
"PZ838","Wash Blvd/Reid Ave Reconstruction",,,,,,,,
"PZ839","EVEWARD ROAD SEWER REPLACEMENT",,,,,,,,
"PZ840","DRAKEWOOD AVE SEWER REPLACEMENT",,,,,,,,
"PZ841","WHITBURN STREET SEWER REPLACMNT",,,,,,,,
"PZ842","FLAXTON STREET SEWER REPLACE",,,,,,,,
"PZ843","WASH BLVD-ELENDA/SEPULVEDA",,,,,,,,
"PZ844","UST Upgrades on City Property","This project will address any Regional Water Quality Control Board, Air Quality Management District (AQMD), Los Angeles County Department of Public Works, and City regulations and requirements related to underground storage tanks, associated components and fueling facilities on City property. Project also addresses unforeseen repair needs.",,,,,,,
"PZ845","Asbestos Abatement","The project is to remove and abate asbestos from all City facilities when necessary.",,,,,,,
"PZ846","Council Chambers Acoustics",,,,,,,,
"PZ847","PUBLIC ART BROCHURE",,,,,,,,
"PZ848","SCULPTURE WALK/GARDEN",,,,,,,,
"PZ849","COUNCIL CHAMBER AUDIO/VISUAL",,,,,,,,
