"incident_number","incident_date","shift_color","specific_incident_code_and","generic_incident_code","generic_incident_description","incident_category","streetnumber","streetprefix","streetname","streettype","city","civilian_casualty","firefighter_casualty","property_loss","property_value","responding_unit","responding_unit_in_or_out","responding_unit_district","responding_unit_district_1","turnout_time","travel_time","response_time_minutes","first_arriving","latitude","longitude","location","lastarrivingfirstalarm","onscndate","dispdate","citydst"
"01-000082","2001-01-03T11:49:46.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","2819",,"OCOEE","ST","Chattanooga","0","0","0","0","ENGINE 4","IN","407","Station 4","0.52","8.43","8.95","Y","35.05493897861431","-85.25000738630062","POINT (-85.250007386301 35.054938978614)","Y","2001-01-03T11:59:48.000","2001-01-03T11:50:51.000","9"
"01-000099","2001-01-03T20:16:51.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","1401",,"MUELLER","AVE","Chattanooga","0","0","0","0","ENGINE10","IN","1004","Station 10","1.43","15.22","16.65","Y","35.08376288338202","-85.25095139745768","POINT (-85.250951397458 35.083762883382)","Y","2001-01-03T20:36:07.000","2001-01-03T20:19:28.000","8"
"01-000101","2001-01-04T00:30:06.000",,"500 Service Call  other","500","Service Call","Non-Fire Call","4803",,"ROGERS","RD","Chattanooga","0","0","0","0","ENGINE 15","IN","1506","Station 15","2.57","5.1","7.67","Y","35.02354124094792","-85.22444937844094","POINT (-85.224449378441 35.023541240948)","Y","2001-01-04T00:37:49.000","2001-01-04T00:30:09.000","5"
"01-000102","2001-01-04T00:38:16.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","223",,"TIMBER KNOLL","DR","Chattanooga","0","0","0","0","ENGINE8","IN","803","Station 8","1.2","6","7.2","Y","35.01689182538832","-85.18744377624223","POINT (-85.187443776242 35.016891825388)","Y","2001-01-04T00:47:36.000","2001-01-04T00:40:24.000","6"
"01-000121","2001-01-04T15:41:44.000",,"410 Combustible/flammable gas/liquid conditn other","400","Hazardous Condition (no fire)","Non-Fire Call","8900",,"APISON","PIKE","Hamilton County","0","0","0","0","ENGINE8","OUT","1200","Station 12","2.75","7.47","10.22","Y",,,,"Y","2001-01-04T15:54:10.000","2001-01-04T15:43:57.000",
"01-000147","2001-01-05T08:46:46.000",,"110 Structure fire  other (conversion only)","100","Fire","Fire Call","7842",,"ROSEMARY","CIR","Chattanooga",,,,,"ENGINE8","OUT","601","Station 6","1.1","8.88","9.98","Y","35.0829948784976","-85.17402788116298","POINT (-85.174027881163 35.082994878498)","Y","2001-01-05T08:57:54.000","2001-01-05T08:47:55.000","5"
"01-000156","2001-01-05T14:55:05.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","7000",,"INTERSTATE 75",,"Chattanooga",,,,,"ENGINE8","IN","802","Station 8","1.7","5.63","7.33","Y",,,,"Y","2001-01-05T15:04:24.000","2001-01-05T14:57:04.000",
"01-000165","2001-01-05T21:00:58.000",,"730 System malfunction  other","700","False Alarm & False Call","Non-Fire Call","812","E","12TH","ST","Chattanooga",,,,,"SQUAD 1","OUT","701","Station 7","1.83","8.8","10.63","Y","35.038683191054446","-85.29905651715856","POINT (-85.299056517159 35.038683191054)","Y","2001-01-05T21:12:37.000","2001-01-05T21:01:59.000","8"
"01-000170","2001-01-06T02:32:53.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","1000","S","KELLEY","ST","Chattanooga","0","0","0","0","ENGINE 5","IN","502","Station 5","2.73","9.28","12.02","Y","35.02838725440203","-85.27362534567075","POINT (-85.273625345671 35.028387254402006)","Y","2001-01-06T02:45:09.000","2001-01-06T02:33:08.000","9"
"01-000171","2001-01-06T04:31:34.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","4700",,"HIGHWAY 153",,"Chattanooga","0","0","0","0","ENGINE10","IN","1005","Station 10","1.95","9.23","11.18","Y",,,,"Y","2001-01-06T04:43:10.000","2001-01-06T04:31:59.000",
"01-000176","2001-01-06T09:46:01.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","2626",,"WALKER","RD","Chattanooga","0","0","0","0","ENGINE8","IN","802","Station 8","1.83","6.02","7.85","Y","35.05502979486216","-85.13803963980594","POINT (-85.138039639806 35.055029794862)","Y","2001-01-06T09:55:13.000","2001-01-06T09:47:22.000","6"
"01-000177","2001-01-06T10:41:27.000",,"300 Rescue  EMS incident  other","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","6705",,"BONNY OAKS","DR","Chattanooga","0","0","0","0","ENGINE8","IN","801","Station 8","2.23","5.87","8.1","Y","35.07219454161183","-85.15846624074231","POINT (-85.15846624074202 35.072194541612)","Y","2001-01-06T10:53:06.000","2001-01-06T10:45:00.000","6"
"01-000183","2001-01-06T12:50:00.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","5507",,"BROWNTOWN","RD","Chattanooga","0","0","0","0","ENGINE 22","IN","2202","Station 22","2.18","6.73","8.92","Y","35.15238539048613","-85.28234452144794","POINT (-85.282344521448 35.152385390486)","Y","2001-01-06T13:00:48.000","2001-01-06T12:51:53.000","1"
"01-000197","2001-01-06T18:41:48.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","2100",,"HAMILTON PLACE","BLVD","Chattanooga","0","0","0","0","ENGINE8","IN","802","Station 8","2.07","5.67","7.73","Y","35.03559201870831","-85.16184456594797","POINT (-85.161844565948 35.035592018708)","Y","2001-01-06T18:49:56.000","2001-01-06T18:42:12.000","4"
"01-000206","2001-01-07T03:14:16.000",,"531 Smoke or odor removal","500","Service Call","Non-Fire Call","1226",,"CYPRESS STREET","CT","Chattanooga","0","0","0","0","ENGINE 1","IN","102","Station 1","2.45","5.38","7.83","Y","35.0428832984194","-85.31738144707728","POINT (-85.317381447077 35.042883298419)","N","2001-01-07T03:22:26.000","2001-01-07T03:14:36.000","7"
"01-000238","2001-01-08T07:26:05.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","217",,"BUENA VISTA","DR","Chattanooga","0","0","0","0","ENGINE 15","IN","1508","Station 15","1.97","6.03","8","Y","35.03089728502635","-85.2547690088618","POINT (-85.254769008862 35.030897285026)","Y","2001-01-08T07:35:29.000","2001-01-08T07:27:29.000","9"
"01-000259","2001-01-09T02:11:53.000",,"730 System malfunction  other","700","False Alarm & False Call","Non-Fire Call","920",,"MCCALLIE","AVE","Chattanooga","0","0","0","0","ENGINE 1","OUT","704","Station 7","3.32","4.98","8.3","Y","35.042447450501996","-85.29240772055694","POINT (-85.292407720557 35.042447450502)","N","2001-01-09T02:21:14.000","2001-01-09T02:12:56.000","8"
"01-000260","2001-01-09T04:42:00.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","4632",,"WOODMORE VIEW","CIR","Chattanooga","0","0","0","0","ENGINE 15","IN","1506","Station 15","3.67","3.43","7.1","Y","35.03587227601534","-85.21681532655842","POINT (-85.216815326558 35.035872276015)","Y","2001-01-09T04:49:57.000","2001-01-09T04:42:51.000","5"
"01-000269","2001-01-09T12:07:15.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","6115",,"VANCE","RD","Chattanooga","0","0","0","0","ENGINE8","IN","803","Station 8","2.2","5.22","7.42","Y","35.035465722296244","-85.18845590100649","POINT (-85.188455901006 35.035465722296)","Y","2001-01-09T12:15:14.000","2001-01-09T12:07:49.000","6"
"01-000274","2001-01-09T18:21:44.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","2523",,"CEDARTON","CT","Chattanooga","0","0","0","0","ENGINE8","IN","802","Station 8","1.42","6.9","8.32","Y","35.044775535790656","-85.13245639874742","POINT (-85.132456398747 35.044775535791)","Y","2001-01-09T18:34:05.000","2001-01-09T18:25:46.000","4"
"01-000275","2001-01-09T18:37:08.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","4300",,"HIGHWAY 58",,"Chattanooga","0","0","0","0","ENGINE 15","OUT","602","Station 6","1.45","10","11.45","Y","35.082759162382175","-85.20563625461475","POINT (-85.205636254615 35.082759162382)","Y","2001-01-09T18:49:00.000","2001-01-09T18:37:33.000","5"
"01-000281","2001-01-09T21:01:05.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","5700",,"INTERSTATE 75",,"Chattanooga","0","0","0","0","ENGINE13","IN","1303","Station 13","6.83","2.57","9.4","Y",,,,"Y","2001-01-09T21:16:33.000","2001-01-09T21:07:09.000",
"01-000298","2001-01-10T11:01:55.000",,"300 Rescue  EMS incident  other","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","1313",,"RADMOOR","CIR","Chattanooga","0","0","0","0","ENGINE13","OUT","2101","Station 21","4.63","7.62","12.25","Y","35.01174733776763","-85.17902755772543","POINT (-85.179027557725 35.011747337768)","Y","2001-01-10T11:24:41.000","2001-01-10T11:12:26.000","6"
"01-000309","2001-01-10T17:32:12.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","7400",,"INTERSTATE 75",,"Chattanooga",,,,,"ENGINE8","IN","802","Station 8","1.6","5.48","7.08","Y",,,,"Y","2001-01-10T17:40:51.000","2001-01-10T17:33:46.000",
"01-000324","2001-01-11T09:28:34.000",,"730 System malfunction  other","700","False Alarm & False Call","Non-Fire Call","1229",,"O GRADY","DR","Chattanooga",,,,,"ENGINE 20","IN","2001","Station 20","2.75","6.5","9.25","Y","35.059811950905484","-85.35378582772243","POINT (-85.353785827722 35.05981195090501)","Y","2001-01-11T09:39:23.000","2001-01-11T09:30:08.000","1"
"01-000328","2001-01-11T10:21:05.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","4313",,"RIGHTON","LN","Chattanooga","0","0","0","0","ENGINE 15","OUT","602","Station 6","0.88","8.6","9.48","Y","35.08034940189962","-85.19426198617667","POINT (-85.194261986177 35.0803494019)","Y","2001-01-11T10:34:12.000","2001-01-11T10:24:43.000","5"
"01-000344","2001-01-12T02:37:10.000",,"551 Assist police or other governmental agency","500","Service Call","Non-Fire Call","3529",,"BRAINERD","RD","Chattanooga","0","0","0","0","ENGINE 15","IN","1508","Station 15","2.62","8.97","11.58","Y","35.02485110680547","-85.24760045026079","POINT (-85.247600450261 35.024851106805)","Y","2001-01-12T02:49:01.000","2001-01-12T02:37:26.000","9"
"01-000347","2001-01-12T06:05:53.000",,"350 Extrication  rescue  other","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","5700",,"INTERSTATE 75",,"Chattanooga",,,,,"ENGINE8","OUT","1303","Station 13","2.22","5.33","7.55","Y",,,,"N","2001-01-12T06:14:25.000","2001-01-12T06:06:52.000",
"01-000396","2001-01-13T13:10:49.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","1012",,"BROWNS FERRY","RD","Chattanooga","0","0","0","0","ENGINE 20","IN","2001","Station 20","2.22","5.28","7.5","Y","35.049210799958615","-85.35178326577874","POINT (-85.351783265779 35.049210799959)","Y","2001-01-13T13:18:46.000","2001-01-13T13:11:16.000","1"
"01-000437","2001-01-14T18:07:03.000",,"710 Malicious  mischievous false call  other","700","False Alarm & False Call","Non-Fire Call","5000",,"INTERSTATE 24",,"Chattanooga","0","0","0","0","ENGINE13","IN","1303","Station 13","1.5","9.1","10.6","Y",,,,"Y","2001-01-14T18:19:07.000","2001-01-14T18:08:31.000",
"01-000441","2001-01-14T23:05:17.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","900",,"MOUNTAIN CREEK","RD","Chattanooga",,,,,"SQUAD 1","OUT","1701","Station 17","0.05","7.25","7.3","Y","35.102940910340806","-85.3274227444564","POINT (-85.327422744456 35.102940910341)","N","2001-01-14T23:15:12.000","2001-01-14T23:07:54.000","1"
"01-000462","2001-01-15T22:35:27.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","7401",,"OLD CLEVELAND","PIKE","Chattanooga","0","0","0","0","ENGINE8","IN","801","Station 8","2.6","4.62","7.22","Y","35.06359609056483","-85.13700476496072","POINT (-85.137004764961 35.063596090565)","Y","2001-01-15T22:43:18.000","2001-01-15T22:36:05.000","6"
"01-000475","2001-01-16T14:04:07.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","7600",,"OLD LEE","HWY","Chattanooga","0","0","0","0","ENGINE8","OUT","1200","Station 12","1.82","5.32","7.13","Y","35.063700064728636","-85.1263089454697","POINT (-85.12630894547 35.063700064729005)","Y","2001-01-16T14:12:15.000","2001-01-16T14:05:07.000","4"
"01-000480","2001-01-16T16:53:44.000",,"400 Hazardous condition  other","400","Hazardous Condition (no fire)","Non-Fire Call","890",,"RIVERFRONT","PKWY","Chattanooga","0","0","0","0","ENGINE 1","IN","101","Station 1","1.13","7.73","8.87","Y","35.049926980679444","-85.32122614187315","POINT (-85.321226141873 35.049926980679)","Y","2001-01-16T17:03:51.000","2001-01-16T16:54:59.000","7"
"01-000487","2001-01-17T00:07:40.000",,"651 Smoke scare  odor of smoke","600","Good Intent Call","Non-Fire Call","6204",,"ATLANTA","AVE","Chattanooga","0","0","0","0","ENGINE8","IN","801","Station 8","2.83","6.43","9.27","Y","35.038892909509286","-85.18559166006885","POINT (-85.18559166006901 35.038892909509)","Y","2001-01-17T00:17:07.000","2001-01-17T00:07:51.000","6"
"01-000488","2001-01-17T00:17:56.000",,"710 Malicious  mischievous false call  other","700","False Alarm & False Call","Non-Fire Call","100",,"MOCCASIN BEND","RD","Chattanooga","0","0","0","0","ENGINE 1","OUT","1701","Station 17","2.33","7.45","9.78","Y","35.02739454910373","-85.3354605521305","POINT (-85.33546055213 35.027394549104)","N","2001-01-17T00:27:45.000","2001-01-17T00:17:58.000","1"
"01-000488","2001-01-17T00:17:56.000",,"710 Malicious  mischievous false call  other","700","False Alarm & False Call","Non-Fire Call","100",,"MOCCASIN BEND","RD","Chattanooga",,,,,"LADDER 1","OUT","1701","Station 17","2.43","7.35","9.78","Y","35.02739454910373","-85.3354605521305","POINT (-85.33546055213 35.027394549104)","N","2001-01-17T00:27:45.000","2001-01-17T00:17:58.000","1"
"01-000491","2001-01-17T02:35:52.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","45",,"MYRTLE","AVE","Chattanooga","0","0","0","0","ENGINE 20","IN","2001","Station 20","2.82","4.55","7.37","Y","35.021317228134","-85.37301714154908","POINT (-85.373017141549 35.021317228134)","Y","2001-01-17T02:43:22.000","2001-01-17T02:36:00.000","1"
"01-000512","2001-01-17T20:28:25.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","2024","E","23RD","ST","Chattanooga","0","0","0","0","ENGINE 5","IN","503","Station 5","2.58","4.42","7","Y","35.019131531427114","-85.2829814198896","POINT (-85.28298141989 35.019131531427)","Y","2001-01-17T20:35:25.000","2001-01-17T20:28:25.000","8"
"01-000516","2001-01-18T03:33:03.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","3321",,"BOYDSTON","RD","Chattanooga","0","0","0","0","ENGINE 20","IN","2001","Station 20","3.07","4.98","8.05","Y","35.053391678727245","-85.3516859920986","POINT (-85.351685992099 35.053391678727)","Y","2001-01-18T03:41:21.000","2001-01-18T03:33:18.000","1"
"01-000549","2001-01-19T08:09:25.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","2929",,"KIRKMAN","RD","Chattanooga","0","0","0","0","ENGINE8","IN","801","Station 8","2.02","6.18","8.2","Y","35.063236059173505","-85.14416625184829","POINT (-85.144166251848 35.063236059174)","Y","2001-01-19T08:19:14.000","2001-01-19T08:11:02.000","6"
"01-000556","2001-01-19T10:06:02.000",,"444 Power line down","400","Hazardous Condition (no fire)","Non-Fire Call","6500",,"SANDSWITCH","RD","Chattanooga","0","0","0","0","ENGINE 22","IN","2202","Station 22","2.13","6.78","8.92","Y","35.16296880845441","-85.23818486439806","POINT (-85.238184864398 35.162968808454)","Y","2001-01-19T10:16:36.000","2001-01-19T10:07:41.000","3"
"01-000560","2001-01-19T11:30:33.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","4401",,"DODDS","AVE","Chattanooga","0","0","0","0","ENGINE 9","IN","902","Station 9","2.72","5.1","7.82","Y","34.9913763881979","-85.28647840035919","POINT (-85.286478400359 34.991376388198)","Y","2001-01-19T11:38:52.000","2001-01-19T11:31:03.000","7"
"01-000563","2001-01-19T12:22:37.000",,"410 Combustible/flammable gas/liquid conditn other","400","Hazardous Condition (no fire)","Non-Fire Call","2600",,"INTERSTATE 24",,"Chattanooga",,,,,"ENGINE 9","IN","901","Station 9","2","5.75","7.75","Y",,,,"Y","2001-01-19T12:30:36.000","2001-01-19T12:22:51.000",
"01-000592","2001-01-20T10:16:23.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","108",,"HEMPHILL","AVE","Chattanooga","0","0","0","0","ENGINE 15","IN","1506","Station 15","1.68","5.42","7.1","Y","35.02173266760005","-85.23874944140928","POINT (-85.238749441409 35.0217326676)","Y","2001-01-20T10:24:12.000","2001-01-20T10:17:06.000","5"
"01-000607","2001-01-21T01:47:17.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","510",,"CENTRAL","DR","Chattanooga","0","0","0","0","ENGINE13","IN","1303","Station 13","2.18","5.17","7.35","Y","35.02224292898506","-85.19558508635261","POINT (-85.195585086353 35.022242928985)","Y","2001-01-21T01:54:38.000","2001-01-21T01:47:17.000","6"
"01-000609","2001-01-21T02:39:52.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","4309",,"KEMP","DR","Chattanooga","0","0","0","0","ENGINE 15","IN","1506","Station 15","2.57","4.48","7.05","Y","35.02842184123158","-85.23392287331026","POINT (-85.23392287331 35.028421841232)","Y","2001-01-21T02:47:46.000","2001-01-21T02:40:43.000","5"
"01-000619","2001-01-21T14:18:33.000",,"130 Mobile property (vehicle) fire  other","100","Fire","Fire Call","3546",,"COTTONWOOD","LN","Chattanooga","0","0","0","0","ENGINE13","OUT","1506","Station 15","1.88","6.75","8.63","Y","35.05157206382429","-85.23221526107072","POINT (-85.232215261071 35.051572063824)","Y","2001-01-21T14:27:36.000","2001-01-21T14:18:58.000","5"
"01-000630","2001-01-21T15:54:31.000",,"730 System malfunction  other","700","False Alarm & False Call","Non-Fire Call","900",,"MOUNTAIN CREEK","RD","Chattanooga","0","0","0","0","ENGINE17","IN","1701","Station 17","2.58","5.38","7.97","Y","35.102940910340806","-85.3274227444564","POINT (-85.327422744456 35.102940910341)","Y","2001-01-21T16:09:30.000","2001-01-21T16:01:32.000","1"
"01-000637","2001-01-22T02:37:40.000",,"730 System malfunction  other","700","False Alarm & False Call","Non-Fire Call","6300",,"ENTERPRISE PARK","DR","Chattanooga",,,,,"ENGINE8","OUT","601","Station 6","2.48","7.35","9.83","Y","35.06941057278072","-85.17968097350085","POINT (-85.179680973501 35.069410572781)","Y","2001-01-22T02:48:37.000","2001-01-22T02:38:47.000","5"
"01-000646","2001-01-22T09:03:10.000",,"651 Smoke scare  odor of smoke","600","Good Intent Call","Non-Fire Call","924",,"BRYNWOOD","DR","Chattanooga","0","0","0","0","LADDER3","OUT","1602","Station 16","2.25","10.75","13","Y","35.120053823642905","-85.2649203059203","POINT (-85.26492030592 35.120053823643)","Y","2001-01-22T09:16:39.000","2001-01-22T09:03:39.000","2"
"01-000648","2001-01-22T09:17:04.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","5733",,"HIXSON","PIKE","Chattanooga","0","0","0","0","ENGINE 22","OUT","1902","Station 19","2.28","10.45","12.73","Y","35.15197075765983","-85.21695517229624","POINT (-85.216955172296 35.15197075766)","Y","2001-01-22T09:30:08.000","2001-01-22T09:17:24.000","3"
"01-000651","2001-01-22T09:54:17.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","514",,"TERRELL","ST","Chattanooga","0","0","0","0","ENGINE 15","IN","1506","Station 15","0.2","7.28","7.48","Y","35.03230913133297","-85.24149083306465","POINT (-85.24149083306501 35.032309131333)","Y","2001-01-22T10:02:34.000","2001-01-22T09:55:05.000","9"
"01-000671","2001-01-22T22:44:24.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","3501",,"MYRTLE","PL","Chattanooga","0","0","0","0","ENGINE 20","IN","2001","Station 20","1.62","7.12","8.73","Y","35.02106302886001","-85.3737558824289","POINT (-85.373755882429 35.02106302886)","Y","2001-01-22T22:54:06.000","2001-01-22T22:45:22.000","1"
"01-000672","2001-01-23T00:41:13.000",,"110 Structure fire  other (conversion only)","100","Fire","Fire Call","801",,"BARTON","AVE","Chattanooga","0","0","0","0","LADDER3","OUT","1201","Station 12","2.95","5.3","8.25","Y","35.06625303221356","-85.29153112323239","POINT (-85.291531123232 35.066253032214)","Y","2001-01-23T00:49:35.000","2001-01-23T00:41:20.000","2"
"01-000685","2001-01-23T11:02:04.000",,"652 Steam  vapor  fog or dust thought to be smoke","600","Good Intent Call","Non-Fire Call","1117","E","8TH","ST","Chattanooga",,,,,"LADDER 1","OUT","704","Station 7","0.65","6.72","7.37","Y","35.04166314294206","-85.29292480116456","POINT (-85.292924801165 35.041663142942)","N","2001-01-23T11:09:40.000","2001-01-23T11:02:18.000","8"
"01-000693","2001-01-23T13:15:34.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","6703",,"BONNY OAKS","DR","Chattanooga","0","0","0","0","ENGINE8","IN","801","Station 8","1.87","9","10.87","Y","35.07220696707873","-85.15850893113864","POINT (-85.158508931139 35.072206967079)","Y","2001-01-23T13:28:22.000","2001-01-23T13:17:30.000","6"
"01-000698","2001-01-23T16:11:35.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","2800",,"INTERSTATE 24",,"Chattanooga",,,,,"ENGINE 9","IN","901","Station 9","1.37","7.43","8.8","Y",,,,"Y","2001-01-23T16:23:21.000","2001-01-23T16:14:33.000",
"01-000699","2001-01-23T16:12:53.000",,"320 Emergency medical service  other (conversion o","300","Rescue & Emergency Medical Service (EMS)","Non-Fire Call","3823",,"MISSION VIEW","AVE","Chattanooga","0","0","0","0","ENGINE 15","IN","1504","Station 15","2.6","7.67","10.27","Y","35.01371848148446","-85.24563147825698","POINT (-85.245631478257 35.013718481484)","Y","2001-01-23T16:29:50.000","2001-01-23T16:19:34.000","6"
