"supplier_name","supplier_number","payment_number","payment_date","invoice_number","invoice_date","payment_total","po_number","receipt_number","department","account_description","fund_description","cost_center_description","minority_owned","small_business","women_owned","city","state","zip","country","vendor_id","days_to_pay","compliant_indicator"
"Atlanta Gas Light Co","012570","2067221","2012-09-12T00:00:00.000","0493480032-0812","2012-09-04T00:00:00.000","419.38",,,"Parks Management","Natural Gas","General Fund","Parks Admin","No","No","No","Knoxville,","TN,","37950-9004","US","53","8","Yes"
"Coca Cola Bottling Co","353640","2131136","2015-10-23T00:00:00.000","20960715058","2015-10-16T00:00:00.000","282.95","528670","123980","General Services","Cafeteria Inventory","Municipal Golf Courses","Brainerd Golf Concessions","No","No","No","Birmingham,","AL,","35246-0962","US","678","7","Yes"
"Mountain City Service Inc","746208","4000580","2013-09-17T00:00:00.000","90080-H-31504","2013-07-31T00:00:00.000","547","0033037","71638","Youth & Family Development","HVAC","Human Services Program","HSD - Occupancy","No","No","No","Signal Mtn,","TN,","37377","US","4434","48","No"
"General Pension Fund","671770","5003537","2016-10-06T00:00:00.000","3rdM-04-OCT-16-211302-407513","2016-10-04T00:00:00.000","40",,,"Undefined","AP General Pension Employee","General Fund","Not Required","No","No","No",".,","TN,","00000","US","1882","2","Yes"
"Alternative Actions Inc","599465","1694","2018-06-27T00:00:00.000","541464COR","2018-05-31T00:00:00.000","0",,,"General Gov't & Agencies","CIP Building Renovations","Gen Government Capital Projects","GG Cap - Library - Central HVAC & Lighting","No","No","No","Hixson,","TN,","37343","US","1478","27","Yes"
"MC Properties I Ltd","751686","2199595","2019-11-04T00:00:00.000","135MDB009-17","2019-10-30T00:00:00.000","9242.83",,,"Undefined","AP Treasurer's System Refunds Due","General Fund","Not Required","No","No","No","Chattanooga,","TN,","37402","US","5938","5","Yes"
"UniFirst Corp","740751","2217715","2021-04-29T00:00:00.000","266 0386956","2021-04-20T00:00:00.000","21.84","558743","319560","Fire","Clothing & Linen Service","General Fund","Fire Station # 14","No","No","No","Rossville,","GA,","30741","US","3591","9","Yes"
"Tenn American Water Co","068508","2071075","2012-11-07T00:00:00.000","2601048636 1012","2012-11-02T00:00:00.000","879.75",,,"Police","Water","General Fund","Police Facilities & Security","No","No","No","Pittsburgh,","PA,","15250-7880","US","217","5","Yes"
"Canon Solutions America","866161","2153027","2016-12-23T00:00:00.000","16527359","2016-09-30T00:00:00.000","134.58","526878","153886","Economic & Community Development","Office Machine Rental","General Fund","Land Development Office","No","No","No","Chicago,","IL,","60693","US","190422","84","No"
"Lee-Smith Inc","039980","2181561","2018-08-31T00:00:00.000","0106150053","2018-07-30T00:00:00.000","14.34","534257","217186","Public Works","Vehicle Parts","Municipal Garage","Rep & Maint - Amnicola Garage","No","No","No","Chattanooga,","TN,","37407","US","156","32","No"
"Fimco Services LLC","753207","2062284","2012-06-27T00:00:00.000","9063147","2012-06-07T00:00:00.000","182.96","510359","46460","Public Works","Painting","Interceptor Sewer Operations","Pump Stat - Big Ridge","No","No","No","Chattanooga,","TN,","37412","US","7280","20","Yes"
"Kleen-A-Matic Rental Uniforms","040348","2138640","2016-03-28T00:00:00.000","446987","2016-03-08T00:00:00.000","12.39","527781","134944","Fire","Clothing & Linen Service","General Fund","Fire Station # 4","No","No","No","Rossville,","GA,","30741","US","157","20","Yes"
"Kirklands Pest Control LLC","866397","2095461","2013-12-16T00:00:00.000","13189491","2013-11-13T00:00:00.000","19","520051","77511","Fire","Exterminating Service","General Fund","Fire Station # 6","No","No","No","Fayetteville,","TN,","37334","US","198528","33","No"
"Mostellers Wrecker Inc","047888","2202830","2020-01-31T00:00:00.000","167417","2020-01-09T00:00:00.000","48","545892","273329","Public Works","Wrecker Service","Municipal Garage","Rep & Maint - Amnicola Garage","No","Yes","Yes","Cleveland,","TN,","37320","US","176","22","Yes"
"Keefe Plumbing & Heating Co., Inc","199697","5005003","2018-08-23T00:00:00.000","9922","2018-08-15T00:00:00.000","68","543278","216046","Public Works","Plumbing","Interceptor Sewer Operations","ISS Plant Maintenance","No","Yes","Yes","Chattanooga,","TN,","37404","US","389","8","Yes"
"Republic Services of Chattanooga","301173","2136254","2016-02-11T00:00:00.000","0997-001502071","2016-01-26T00:00:00.000","117.45","519823","131735","Youth & Family Development","Waste Disposal","YFD Recreation-2016 CACFP After School Care","YFD Recreation-2016 CACFP After School Care","No","No","No","Louisville,","KY,","40290-1099","US","555","16","Yes"
"UniFirst Corp","740751","2215464","2021-02-23T00:00:00.000","266 0369337","2021-02-09T00:00:00.000","151.56","548408","312439","Public Works","Floor Mat / Scrapper Rental","Interceptor Sewer Operations","ISS Sewer Maintenance","No","No","No","Rossville,","GA,","30741","US","3591","14","Yes"
"Tenn American Water Co","068508","2076312","2013-02-04T00:00:00.000","2600043232 0113","2013-01-28T00:00:00.000","16.33",,,"Public Works","Water","Interceptor Sewer Operations","Pump Stat - North Chattanooga","No","No","No","Pittsburgh,","PA,","15250-7880","US","217","7","Yes"
"Republic Services of Chattanooga","301173","2220643","2021-07-20T00:00:00.000","0997-002247797","2021-06-15T00:00:00.000","85.88","561652","328487","Youth & Family Development","Waste Disposal","2021 Head Start","Head Start Centers","No","No","No","Louisville,","KY,","40290-1099","US","555","35","No"
"Kirklands Pest Control LLC","866397","2113526","2014-12-04T00:00:00.000","13278785","2014-11-05T00:00:00.000","19","520051","99659","General Services","Exterminating Service","General Fund","Building Maintenance","No","No","No","Fayetteville,","TN,","37334","US","198528","29","Yes"
"Unum Life Insurance Co of America","754639","2205445","2020-04-02T00:00:00.000","6421297-002 FEB","2020-02-17T00:00:00.000","34288.91","551611","279058","Human Resources","Supplemental Life","Health Insurance Employees","Health Insurance Employees","No","No","No","Atlanta,","GA,","30384-6946","US","8581","45","No"
"Lancaster, Lisa","871718","2148857","2016-09-27T00:00:00.000","12-10500","2016-09-15T00:00:00.000","44.22",,,"Undefined","AP Property Tax Bankruptcy Suspense","General Fund","Not Required","No","No","No","Chattanooga,","TN,","37407-1722","US","737709","12","Yes"
"Amtec Surveying Inc","747563","2201095","2019-12-18T00:00:00.000","ASI_CHAT/047_2019","2019-12-12T00:00:00.000","10576.46","547282","269345","Public Works","Pipeline Inspection Services","Interceptor Sewer Operations","ISS Sewer Maintenance","No","No","No","Atlanta,","GA,","30326","US","4687","6","Yes"
"Mayer Electric Supply Company, Inc","869427","2147897","2016-09-09T00:00:00.000","20912402","2016-08-01T00:00:00.000","60.79","536973","145504","General Services","Electrical Supplies, Bulbs, Etc","General Fund","Building Maintenance","No","No","Yes","Birmingham,","AL,","35287-1440","US","530701","39","No"
"Aaron's Pest Control","741400","2080979","2013-04-17T00:00:00.000","41972","2013-02-13T00:00:00.000","75","520405","63083","Parks Management","Exterminating Service","General Fund","Rec Ctr - Hixson","No","No","No","Chattanooga,","TN,","37412","US","3657","63","No"
"Pioneer Title Agency Inc","400184","2099709","2014-03-14T00:00:00.000","TUBMAN-EARNEST","2014-03-14T00:00:00.000","250000","525412","82787","Economic & Community Development","Land Purchase","Econ & Comm Development Capital Projects","NS Cap - ECD Development Site:  Tubman","No","No","No","Chattanooga,","TN,","37403","US","813","0","Yes"
"UniFirst Corp","740751","2212722","2020-11-23T00:00:00.000","2660348845","2020-11-19T00:00:00.000","12.88","548408","303797","Public Works","Clothing & Linen Service","Municipal Golf Courses","Brainerd Golf Course","No","No","No","Rossville,","GA,","30741","US","3591","4","Yes"
"Oce Imagistics Inc","421292","2058538","2012-05-02T00:00:00.000","417322032","2012-04-07T00:00:00.000","165","510094","41520","Education, Arts & Culture","Equipment Rental","General Fund","Arts & Culture North River","No","No","No","Louisville,","KY,","40285-6193","US","866","25","Yes"
"Electric Motor Sales & Supply","021720","2107949","2014-08-19T00:00:00.000","1650239057","2014-07-24T00:00:00.000","22.22","512650","93160","Public Works","Electrical Supplies, Bulbs, Etc","Interceptor Sewer Operations","Pump Stat - 19th Street","No","No","No","Chattanooga,","TN,","37408","US","93","26","Yes"
"North Shore Acquisition LLC","866611","2171601","2018-02-01T00:00:00.000","BOLIVER 1217","2018-01-29T00:00:00.000","525","547311","192990","Youth & Family Development","Supportive Services Rents","2018 Community Services Block Grant","CSBG - Employment","No","No","No","Chattanooga,","TN,","37415","US","200682","3","Yes"
"Union Security Insurance Company","730716","2068859","2012-10-04T00:00:00.000","3rdM-04-OCT-12-211613-146143","2012-10-04T00:00:00.000","715.26",,,"Undefined","AP Voluntary Dental","General Fund","Not Required","No","No","No","Kansas City,","MO,","64180-9003","US","2356","0","Yes"
"Belson Outdoors Inc","866838","2130658","2015-10-14T00:00:00.000","132088","2015-09-23T00:00:00.000","848.51","534589","123235","Public Works","Recreational Supplies","Public Works Capital Projects","Parks Mgmt Cap - Playground Improvements","No","No","No","Chicago,","IL,","60678-1368","US","226590","21","Yes"
"Pit Stop Portables","868224","2109229","2014-09-12T00:00:00.000","84328","2014-08-31T00:00:00.000","8.39","527194","94890","Public Works","Equipment Rental","Water Quality Mgmt Operations","Water Quality Maintenance & Operation","No","Yes","No","Chattanoga,","TN,","37404","US","375669","12","Yes"
"Certified Door & Dock Services LLC","735641","2124411","2015-06-26T00:00:00.000","12775","2015-05-23T00:00:00.000","75","519099","114735","Public Works","Maintenance Services","Interceptor Sewer Operations","ISS Landfill Handling","No","Yes","No","Chattanooga,","TN,","37421","US","2961","34","No"
"Aramark Uniform & Career Apparel","285523","4000413","2013-06-14T00:00:00.000","523-7767147","2013-05-01T00:00:00.000","13","520414","65632","Parks Management","Clothing & Linen Service","Municipal Golf Courses","Brainerd Golf Course","No","No","No","Charlotte,","NC,","28290-4035","US","537","44","No"
"Lee-Smith Inc","039980","2140309","2016-04-27T00:00:00.000","AI74238","2016-04-13T00:00:00.000","28.23","534257","137613","General Services","Vehicle Parts","Municipal Garage","Rep & Maint - Amnicola Garage","No","No","No","Chattanooga,","TN,","37407","US","156","14","Yes"
"Ace Hardware Co","371722","914","2013-03-19T00:00:00.000","E61231/HCOR","2013-02-07T00:00:00.000","0",,,"General Gov't & Agencies","Other Equipment (Under 5000)","Gen Government Capital Projects","GG Cap - Police Station at Farmer's Market","No","No","No","Chattanooga,","TN,","37416","US","721","40","No"
"Hagan & Stone Wholesale Inc","874140","2202271","2020-01-17T00:00:00.000","428650","2020-01-05T00:00:00.000","360.97","553173","272232","Public Works","Pipe & Fittings","Water Quality Mgmt Operations","Water Quality Maintenance & Operation","No","Yes","No","Tompkinsville,","KY,","42167","US","1174774","12","Yes"
"Lee-Smith Inc","039980","2151644","2016-11-28T00:00:00.000","AI08421","2016-10-13T00:00:00.000","70.15","534257","151645","General Services","Vehicle Parts","Municipal Garage","Rep & Maint - Amnicola Garage","No","No","No","Chattanooga,","TN,","37407","US","156","46","No"
"Atlanta Gas Light Co","012570","2061092","2012-06-12T00:00:00.000","4059076143-0512","2012-05-30T00:00:00.000","31.22",,,"Police","Natural Gas","General Fund","Police Patrol Alpha","No","No","No","Knoxville,","TN,","37950-9007","US","53","13","Yes"
"Vulcan Materials Company","074642","2086177","2013-07-10T00:00:00.000","30307095","2013-06-18T00:00:00.000","5686.54","507476","67788","Public Works","Gravel, Sand, Stone, Chert, Salt","Interceptor Sewer Operations","ISS Sewer Maintenance","No","No","No","Knoxville,","TN,","37901","US","240","22","Yes"
"Ooltewah Clearing & Grinding","873119","2198687","2019-10-11T00:00:00.000","465","2019-10-02T00:00:00.000","13760.27",,,"Public Works","Contracted Operations","Solid Waste Operations","Compost Waste Center","No","No","Yes","Apison,","TN,","37302","US","957738","9","Yes"
"Mostellers Wrecker Inc","047888","2098544","2014-02-19T00:00:00.000","138316","2014-02-04T00:00:00.000","149","511699","81246","General Services","Wrecker Service","Municipal Garage","Rep & Maint - 12th & Park Garage","No","Yes","Yes","Cleveland,","TN,","37320","US","176","15","Yes"
"Modern Law Enforcement TRNG","875122","2209033","2020-07-21T00:00:00.000","2004-014","2020-07-17T00:00:00.000","558","558464","291349","Police","Local Registration Fees","Narcotics Program","Narcotics Program","No","No","No","Knoxville,","TN,","37909","US","1437811","4","Yes"
"OutSource Staffing LLC","744900","2166417","2017-10-04T00:00:00.000","37064","2017-10-03T00:00:00.000","70.4","535195","180836","Public Works","Employment Agencies","Interceptor Sewer Operations","ISS Laboratory","No","No","No","Chattanooga,","TN,","37424","US","4198","1","Yes"
"Unum - Voluntary Benefits","754640","2204160","2020-02-27T00:00:00.000","3rdM-27-FEB-20-211614-655578","2020-02-27T00:00:00.000","1329.4",,,"Undefined","AP USAble Cafeteria Insurance","General Fund","Not Required","No","No","No","Atlanta,","GA,","30384-3748","US","8582","0","Yes"
"Ward, Chip","520757","2054139","2012-02-24T00:00:00.000","020812 WARD C","2012-02-13T00:00:00.000","217",,,"Parks Management","Hotels","Municipal Golf Courses","Brainerd Golf Course","No","No","No",".,","TN,","00000","US","1175","11","Yes"
"Lee-Smith Inc","039980","2067172","2012-09-11T00:00:00.000","AI38084","2012-08-22T00:00:00.000","-460",,,"General Services","Vehicle Parts","Municipal Garage","Rep & Maint - Amnicola Garage","No","No","No","Chattanooga,","TN,","37407-2843","US","156","20","Yes"
"Nationwide Recovery Service","863997","2125013","2015-07-07T00:00:00.000","229387","2015-06-25T00:00:00.000","559.35","510246","115119","Finance & Admin","Collection Expense","General Fund","City Court Clerk's Office","No","No","No","Norcross,","GA,","30092","US","91770","12","Yes"
"Zee Medical Service","229005","2076460","2013-02-05T00:00:00.000","0134295931","2013-01-03T00:00:00.000","38.7","519401","59007","Public Works","Medical Supplies (First Aid)","Interceptor Sewer Operations","ISS Admin","No","No","No","Indianapolis,","IN,","46278-8592","US","426","33","No"
"Invasive Plant Control Inc","872778","2223","2021-08-21T00:00:00.000","2021151C","2021-06-30T00:00:00.000","0",,,"Public Works","Other Contracted Service","Interceptor Sewer Consent Decree","ISS CD-Agawela Dr Stream Restoration W-12-018","No","No","No","Nashville,","TN,","37205","US","895729","52","No"
"Tri-State Elec Contractors LLC","870815","5003761","2017-02-02T00:00:00.000","2953","2017-01-24T00:00:00.000","1451.58","537494","158713","Public Works","Electrical","Interceptor Sewer Operations","ISS Liquid Handling","No","Yes","No","Chattanooga,","TN,","37410","US","666707","9","Yes"
"United Parcel Service","090686","2082114","2013-05-07T00:00:00.000","37822E173","2013-04-27T00:00:00.000","74.14","520548","64175","General Services","Postage","General Fund","Purchasing","No","No","No","Carol Stream,","IL,","60132-0577","US","277","10","Yes"
"Electric Motor Sales & Supply","021720","2081564","2013-04-26T00:00:00.000","1650163500","2013-04-05T00:00:00.000","52.36","512650","63723","Public Works","Electrical Supplies, Bulbs, Etc","Interceptor Sewer Operations","ISS Liquid Handling","No","No","No","Chattanooga,","TN,","37408","US","93","21","Yes"
"Amer Paper & Twine Co","548828","5011323","2021-04-29T00:00:00.000","3949483","2021-04-19T00:00:00.000","52.19","561128","319421","Youth & Family Development","Kitchen & Dining Room Supplies","2021 Head Start","Early Head Start - CACFP","No","No","No","Nashville,","TN,","37209","US","1292","10","Yes"
"A-1 Lock & Security","872198","2170413","2018-01-05T00:00:00.000","116742","2017-11-14T00:00:00.000","30","542340","190060","Public Works","Locksmith","General Fund","Park Mgmt - City-Wide Park Maintenance","No","No","No","Dalton,","GA,","30720","US","812722","52","No"
"Aramark Uniform & Career Apparel","285523","4000458","2013-07-03T00:00:00.000","523-7858779","2013-06-28T00:00:00.000","9.12","502115","66462","Public Works","Equipment Rental","Interceptor Sewer Operations","ISS Liquid Handling","No","No","No","Charlotte,","NC,","28290-4035","US","537","5","Yes"
"United Way","394978","2153895","2017-01-19T00:00:00.000","3rdM-19-JAN-17-211636-429550","2017-01-19T00:00:00.000","137.5",,,"Undefined","AP United Way","General Fund","Not Required","No","No","No","Chattanooga,","TN,","37405","US","793","0","Yes"
"Action Alarms Of Chattanooga Inc","548908","2204414","2020-03-09T00:00:00.000","248582","2020-03-01T00:00:00.000","30","543750","277373","Public Works","Alarm Monitoring","General Fund","Park Mgmt - Playgrounds & Facilities","Yes","Yes","Yes","Fort Oglethorpe,","GA,","30742","US","1293","8","Yes"
"Gordon Food Service Inc","863679","2088758","2013-08-26T00:00:00.000","152677062","2013-08-08T00:00:00.000","791.49","508857","70457","Youth & Family Development","Food & Ice","2014 Head Start","Early Head Start","No","No","No","Palatine,","IL,","60055-0490","US","71707","18","Yes"
"Tenn American Water Co","068508","2131361","2015-10-29T00:00:00.000","08594778 1015","2015-10-16T00:00:00.000","242.42",,,"Public Works","Water","General Fund","Park Mgmt - City-Wide Park Maintenance","No","No","No","Pittsburgh,","PA,","15250-7880","US","217","13","Yes"
"Francois, Alisha","873177","2197346","2019-09-09T00:00:00.000","0719 VGREEN","2019-09-05T00:00:00.000","350","555359","258605","Youth & Family Development","Supportive Services Rents","2019 Community Services Block Grant (CSBG)","CSBG - Housing","No","No","No","Chattanooga,","TN,","37405","US","971738","4","Yes"
"CDW Government Inc","735492","2146","2021-03-02T00:00:00.000","4479312COR","2021-01-21T00:00:00.000","0",,,"General Gov't & Agencies","Equipment Purchase","Gen Government Capital Projects","GG Cap - Library Security Network Switch Replacement","No","No","No","Chicago,","IL,","60675-1515","US","2945","40","No"
"Kirklands Pest Control LLC","866397","2158660","2017-04-28T00:00:00.000","38554","2017-04-25T00:00:00.000","19","520051","166189","Youth & Family Development","Exterminating Service","General Fund","Rec Ctr - John A. Patten","No","No","No","Chattanooga,","TN,","37412","US","198528","3","Yes"
"Sara Lee Bakery Group","014153","2058039","2012-04-25T00:00:00.000","02053409434","2012-04-03T00:00:00.000","67.5","502261","42398","Human Services","Food & Ice","2012 Head Start","Head Start Centers","No","No","No","Bridgeton,","MO,","63044-0412","US","64","22","Yes"
"Lee-Smith Inc","039980","2057414","2012-04-17T00:00:00.000","AI93037","2012-03-26T00:00:00.000","32.75","505134","41915","General Services","Vehicle Parts","General Fund","Rep & Maint - 12th & Park Garage","No","No","No","Chattanooga,","TN,","37407-2843","US","156","22","Yes"
"Nationwide Recovery Service","863997","2059689","2012-05-18T00:00:00.000","219305","2012-04-26T00:00:00.000","192.7","510246","43631","Finance & Admin","Collection Expense","General Fund","City Court Clerk's Office","No","No","No","Norcross,","GA,","30092","US","91770","22","Yes"
"Southern Ionics","675605","2133785","2015-12-17T00:00:00.000","427531","2015-12-02T00:00:00.000","4319.06","535345","127843","Public Works","Dechlorination Chemicals","Interceptor Sewer Operations","ISS Liquid Handling","No","No","No","Atlanta,","GA,","31193-4557","US","1909","15","Yes"
"Mayfield Dairy Farms Inc","735642","2219994","2021-06-29T00:00:00.000","210893804","2021-06-01T00:00:00.000","-16.59",,,"Youth & Family Development","Food & Ice","2021 Head Start","Early Head Start - CACFP","No","No","No","Atlanta,","GA,","31193-3321","US","2962","28","Yes"
"Martin, Michael R","866555","2081257","2013-04-22T00:00:00.000","CR5039517","2013-02-02T00:00:00.000","50",,,"Undefined","AP Coolidge Park Deposits","General Fund","Not Required","No","No","No","Chattanooga,","TN,","37406","US","200626","79","No"
"Atlas Bolt Co Inc","864109","2196139","2019-08-12T00:00:00.000","374676","2019-07-30T00:00:00.000","30","540974","255315","Public Works","Hardware, Nails, Small Tools","General Fund","CWS Admin","No","No","No","Chattanooga,","TN,","37407","US","95859","13","Yes"
"City Disposal Services LLC","751425","4000208","2013-03-04T00:00:00.000","418275","2013-01-19T00:00:00.000","108.56","0028194","60537","Police","Dumpster Rental","General Fund","Police Facilities & Security","No","No","No","Chattanooga,","TN,","37406","US","5707","44","No"
"Lee-Smith Inc","039980","2060237","2012-05-29T00:00:00.000","AI18826","2012-05-04T00:00:00.000","494.71","505161","44405","General Services","Vehicle Parts","Municipal Garage","Rep & Maint - 12th & Park Garage","No","No","No","Chattanooga,","TN,","37407-2843","US","156","25","Yes"
"Blue Cross-Blue Shield Of Tenn","006630","5006447","2019-10-10T00:00:00.000","10/5/19-10/11/19","2019-10-09T00:00:00.000","586500.59","545837","262362","Human Resources","Health Insurance Cobra","Health Insurance Employees","COBRA","No","No","No",".,","TN,","00000","US","23","1","Yes"
"Parman Lubricants","742509","2060454","2012-05-31T00:00:00.000","0208403-IN","2012-01-23T00:00:00.000","31.93","507140","44665","Public Works","Hardware, Nails, Small Tools","General Fund","Traffic Operations","No","No","No","Nashville,","TN,","37241-5000","US","3817","129","No"
"Kleen-A-Matic Rental Uniforms","040348","2111093","2014-10-20T00:00:00.000","0331833","2014-09-08T00:00:00.000","12.39","527781","97174","Fire","Clothing & Linen Service","General Fund","Fire Station # 6","No","No","No","Rossville,","GA,","30741","US","157","42","No"
"Ready Mix USA","747933","4000648","2013-11-12T00:00:00.000","9427182073","2013-10-10T00:00:00.000","298","516260","74999","Public Works","Concrete, Clay Pipe, & Fittings","Water Quality Mgmt Operations","Water Quality Maintenance & Operation","No","No","No","Knoxville,","TN,","37901","US","4758","33","No"
"Electric Power Board","021685","2082352","2013-05-13T00:00:00.000","1500619008A0413","2013-05-07T00:00:00.000","287.08",,,"Human Services","Supportive Services Electricity","2013 Community Services Block Grant","CSBG - Employment","No","No","No","Chattanooga,","TN,","37422","US","92","6","Yes"
"Aramark Uniform & Career Apparel","285523","2059818","2012-05-22T00:00:00.000","523-7227816","2012-05-02T00:00:00.000","12.13","502115","43925","Public Works","Equipment Rental","Interceptor Sewer Operations","ISS Admin","No","No","No","Charlotte,","NC,","28290-4035","US","537","20","Yes"
"Industrial Boiler Mechanic Co","521565","2199026","2019-10-21T00:00:00.000","41028","2019-09-30T00:00:00.000","224","550985","263274","Public Works","Furnace Boiler","Interceptor Sewer Operations","ISS Plant Maintenance","No","No","No","Chattanooga,","TN,","37406","US","1181","21","Yes"
"Lee-Smith Inc","039980","2065318","2012-08-10T00:00:00.000","AI30873","2012-07-17T00:00:00.000","1028.34","505134","49240","General Services","Vehicle Parts","Municipal Garage","Rep & Maint - 12th & Park Garage","No","No","No","Chattanooga,","TN,","37407-2843","US","156","24","Yes"
"Midwest Tape","735040","2129230","2015-09-17T00:00:00.000","93136341","2015-08-20T00:00:00.000","25.19","534259","121124","General Gov't & Agencies","Books Library","Public Library","Library - Downtown Branch-Central Office","No","No","No","Holland,","OH,","43528","US","2884","28","Yes"
"Olin Corporation","860551","2167770","2017-11-02T00:00:00.000","2419512","2017-10-31T00:00:00.000","3059.73","541661","183929","Public Works","Chlorine","Interceptor Sewer Operations","ISS Liquid Handling","No","No","No","Atlanta,","GA,","30384-2766","US","13183","2","Yes"
"Canon Solutions America","866161","2205291","2020-04-02T00:00:00.000","21265214","2020-03-31T00:00:00.000","133.41","552282","280130","Human Resources","Office Machine Rental","On-site Medical Clinics & Wellness","WellAdvantage Center","No","No","No","Chicago,","IL,","60693-0149","US","190422","2","Yes"
"Allied Universal Corporation","870541","2148106","2016-09-14T00:00:00.000","I1355677","2016-09-02T00:00:00.000","3338.5","536402","147945","Public Works","Chlorine","Interceptor Sewer Operations","ISS Liquid Handling","No","No","No","Miami,","FL,","33178","US","627707","12","Yes"
"Grainger  Inc","030006","2143136","2016-06-15T00:00:00.000","9134568915","2016-06-09T00:00:00.000","44.28","538588","141623","Undefined","AP Inventory Accrual","Interceptor Sewer Operations","Not Required","No","No","No","Kansas City,","MO,","64141-6267","US","123","6","Yes"
"Motorola Solutions Inc","049494","2199434","2019-10-30T00:00:00.000","8230230376","2019-07-17T00:00:00.000","125133","556030","264233","Fire","Radio Maintenance","General Fund","Fire Operations Division","No","No","No","Chicago,","IL,","60693","US","181","105","No"
