"name","description","street","direction","type","estimated_closure","estimated_open","time","day_of_week","geometry"
"Georgia & Oak","Resurfacing utility cut","Georgia Ave","one","construction","2020-04-27T00:00:00.000","2020-05-27T00:00:00.000","8:30-4",,"LINESTRING (-85.3064867 35.0488644, -85.3064411 35.0489193)"
"Jenkins Road - SOUTHBOUND TRAFFIC ONLY PERMITTED","Jenkins Road from Standifer Gap to Igou Gap northbound is closed for debris removal","Jenkins Road","Northbound lane closed","Debris removal","2020-04-16T00:00:00.000",,,,"LINESTRING (-85.1333201 35.0343356, -85.1357532 35.0315834, -85.1370703 35.0298505, -85.1380707 35.0283824, -85.1413025 35.0206588, -85.1465469 35.0109538, -85.1506165 35.0123926, -85.1531588 35.0080362)"
"Georgia Ave & 6th","Comlink resurfacing","Georgia Ave","one","construction","2020-04-27T00:00:00.000","2020-05-30T00:00:00.000","8:3-4",,"LINESTRING (-85.306028 35.049791, -85.3060709 35.0497032, -85.3060012 35.0496768, -85.3059529 35.0497603)"
"S Germantown & Brainerd Rd storm pipe","Roadway on the South side of the intersection is messed up from storm water issues during the heavy rain event 4/13/20","S Germantown Rd","both","Hazard/construction","2020-04-13T00:00:00.000","2020-05-08T00:00:00.000",,,"LINESTRING (-85.246831 35.0242859, -85.2463483 35.024075, -85.2464663 35.0241102, -85.24652 35.0240135)"
"110 E 7th Street","Sidewalk and single lane closure for construction","E 7th Street","Left lane only","Construction","2020-05-20T00:00:00.000","2020-05-24T00:00:00.000",,,"LINESTRING (-85.3083223 35.0483871, -85.3074895 35.048409)"
"Gray Road","Gray Road is closed for power restoration efforts. Officers will assist local residents to navigate Gray Road","Gray Road","Full closure","Power restoration","2020-04-22T00:00:00.000","2020-04-23T00:00:00.000",,,"LINESTRING (-85.1463679 35.0225676, -85.1506165 35.0123926)"
"Conc restoration Georgia Ave","concrete restoration","Georgia Ave","one","construction","2020-04-27T00:00:00.000","2020-05-27T00:00:00.000","8:30-4",,"LINESTRING (-85.306079 35.0496856, -85.3067925 35.0484735)"
"Cumberland St.","Overhead lines put underground by directional bore ","Cumberland St","one lane w/ flaggers","Construction","2020-05-27T00:00:00.000","2020-06-20T00:00:00.000","8:30AM-4PM",,"LINESTRING (-85.2805815 35.0448079, -85.2798466 35.0461848)"
"10th & Lindsay to Warehouse row","Directional bore 2 way maintained with flagging.","Lindsay St","one","Construction","2020-04-27T00:00:00.000","2020-05-15T00:00:00.000","8:30AM-4PM",,"LINESTRING (-85.3075436 35.0441586, -85.3075436 35.0441235, -85.3079728 35.0434383, -85.3083376 35.0428059, -85.3084556 35.0427444)"
"University St - apartment complex remodeling ","loading, unloading staging for re","University St","both","Construction","2020-04-20T00:00:00.000","2020-07-17T00:00:00.000","8:30-4",,"LINESTRING (-85.3008496 35.0445827, -85.3013217 35.043634)"
"Cherokee Blvd","1 lane closure SB ","Cherokee Blvd","SB","Construction","2019-07-15T00:00:00.000","2020-05-08T00:00:00.000","intermittent  9 am - 4pm",,"LINESTRING (-85.3157911 35.0675999, -85.3175399 35.069084)"
"Hamm Rd test patches","temp test (6) 3'x5'","Hamm Rd","one","Construction testing","2020-04-24T00:00:00.000","2020-04-28T00:00:00.000","8:30-4",,"LINESTRING (-85.3246436 35.0589775, -85.3247294 35.0583452, -85.3243431 35.0575021, -85.3247294 35.0564833, -85.3252015 35.0560617, -85.3282484 35.0540944, -85.3297934 35.0531108, -85.3309092 35.0528648, -85.3327116 35.0530054)"
"1010 Market St","Communication lines from manhole to manhole. ","Georgia Ave & E 10th St","both","Construction","2020-05-23T00:00:00.000","2020-06-04T00:00:00.000",,,"LINESTRING (-85.3087813 35.0447137, -85.3088296 35.0447313, -85.3089798 35.0445293, -85.3090281 35.0445468)"
"Riverside Drive","Narrowing of number of lanes due to gas line replacement","Wilcox Blvd  Riverside Drive","Right lane","Construction","2020-04-24T00:00:00.000","2020-05-03T00:00:00.000",,,"LINESTRING (-85.2775354 35.057084, -85.2765215 35.0578459, -85.2757008 35.0585704, -85.2754057 35.0588383, -85.2752743 35.0589327, -85.2748586 35.0592961, -85.2745716 35.0596507, -85.2743409 35.0600349)"
"US-27 (I-124) widening","HAMILTON COUNTY US-27 (I-124) widening from I-24/US-27 interchange to north of the Olgiati Bridge over the Tennessee River, including widening the Olgiati Bridge: Work on this project continues. The contractor has closed the 12th Street tie-in ramp to US-27 South. This closure will be in place through 06/18. Traffic from 12th Street will be detoured to Carter Street and then to westbound MLK Blvd. where motorists may access the US-27 South on-ramp. Detours are posted.Motorists should exercise caution when traveling through the construction zone and pay close attention to the detour signageposted. The speed limit on US-27 in the construction zone remains 45 MPH. On Tuesday, May 29th, the contractor will implement a temporary left lane closure for US-27 North, from I-24 to the Olgiati Bridge, from 7 PM to 6 AM, for setting the Phase 2 Beams at the 6th Street Bridge. During this time, 6th Street will be closed at the bridge, and traffic will be detoured using Gateway Ave / Martin Luther King Blvd / Pine Street. At the same time, the US-27 North off-ramp to 4th Street (Exit 1C) will be temporarily closed from 7 PM to 10 PM, to remove barrier rail. Traffic will be detoured using MLK (Exit 1B) to Chestnut Street. Weather permitting, the contractor may implement temporary lane/shoulder closures on weeknights between the hours of 7 PM and 6 AM. At least one lane will remain open in each direction on US-27. THP will assist with traffic control on the project as necessary RESTRICTIONS: I-124 (US-27) Northbound Exit 1C 4th Street Off Ramp. No oversize/over-dimensional loads. Width Limit is 11 feet. Estimated project completion date is January 2020.[Dement Construction Company, LLC/Micka/CNP230]","I-24/US-27",,"construction",,"2020-10-31T00:00:00.000",,,"LINESTRING (-85.317678 35.062074, -85.315661 35.055575, -85.314932 35.053748, -85.313945 35.052554, -85.313773 35.051535, -85.314331 35.05006, -85.314116 35.043736, -85.314717 35.041944, -85.315833 35.040644, -85.317893 35.039695, -85.319138 35.038606, -85.319696 35.036989, -85.318708 35.032878)"
"Cherry St","Closure through duration of the construction project, with sidewalk closures along 4th cherry and E 3rd St","Cherry St","Both","Construction","2019-11-04T00:00:00.000","2020-06-01T00:00:00.000",,,"LINESTRING (-85.3086185 35.0535098, -85.308581 35.052469)"
"Shepherd Rd Sidewalk","Add sidewalk on Westside of the roadway","Shepherd Rd","Lane shifts","Construction","2020-03-16T00:00:00.000","2020-05-05T00:00:00.000","8:30AM-4PM",,"LINESTRING (-85.1917819 35.0356317, -85.1884988 35.0409375)"
"Georgia & Patten intersection","closed - Utility tie-in and intersection upgrades","Georgia Ave","both","Construction","2020-03-27T00:00:00.000","2020-05-08T00:00:00.000",,,"LINESTRING (-85.3078118 35.0465039, -85.3080103 35.0461701)"
"Riverfront Parkway","Riverfront Parkway and the ramp from Veterans Bridge to Riverfront Parkway will be closed due to crane installation and lift at the Aquarium","Riverfront Parkway","Full closure","Construction","2020-04-24T00:00:00.000","2020-04-26T00:00:00.000","2PM FRI - 5PM SUN","Fri, Sat, Sun","LINESTRING (-85.3118403 35.0561889, -85.3110089 35.0564348, -85.3103008 35.0566105, -85.3097321 35.0566412, -85.3091581 35.0566105, -85.3084178 35.0565358, -85.3079136 35.0563646, -85.3075327 35.0561538, -85.3072216 35.0558596, -85.3070285 35.0554336, -85.3067978 35.0550999, -85.3066154 35.0551899, -85.306205 35.0546799, -85.3058885 35.0543786, -85.3054312 35.0540575, -85.3048451 35.0538593, -85.3041129 35.0538912, -85.3037844 35.0541157, -85.3035416 35.0543578)"
"River Gorge Drive at Aetna Mountain Road","Barricade end of River Gorge Drive to secure construction area of new hiking/biking path and new mountain road","Aetna Mountain Road","Both","Construction","2020-01-02T00:00:00.000","2020-12-01T00:00:00.000",,,"LINESTRING (-85.4029686 35.0066207, -85.4033442 35.0066866, -85.4037787 35.0066339, -85.4043151 35.0064801, -85.4047228 35.0062296, -85.4051037 35.0058737, -85.4054148 35.0054739)"
"W Main ramp to Hwy 27","Ramp Closed","W Main ramp to Hwy 27","both","construction",,,,,"LINESTRING (-85.3185157 35.0401286, -85.3195243 35.0384245)"
"Granada Drive","Granada Drive is closed due to slope failure. Length of closure unknown as of 2/7/2020 while failure is under evaluation.","Granada Drive","Both","Slope Failure","2020-02-07T00:00:00.000",,,,"LINESTRING (-85.2419555 35.0206333, -85.24158 35.0205366, -85.2413922 35.0204619, -85.2412259 35.020295, -85.241124 35.0201412, -85.2411133 35.0199787, -85.2411186 35.0198381)"
"Southbound on ramp","The southbound on-ramp from 4th Street is closed","Southbound 27 4th St on ramp","one","construction","2019-07-09T00:00:00.000","2020-01-01T00:00:00.000",,,"LINESTRING (-85.3129666 35.0522675, -85.3138785 35.0522323, -85.3143398 35.0522367, -85.3146295 35.0520852, -85.3147368 35.0517844, -85.314608 35.0514682, -85.3144686 35.0511169, -85.3144256 35.0502123)"
"2547 Avalon Cir","gas service","Avalon Cir","one","constru;ction","2020-04-20T00:00:00.000","2020-05-01T00:00:00.000",,,"LINESTRING (-85.29447 35.0908025, -85.2939872 35.0907673)"
"1321 N. Glenn Dr","sewer line replacement","N. Glenn Dr",,,,,,,"LINESTRING (-85.2563812 35.1384468, -85.25651 35.1382011)"
"2105 Bailey Ave","Sewer connections right lane closed Westbound","Bailey Ave","one lane","Construction","2020-04-14T00:00:00.000","2020-05-01T00:00:00.000","8:30AM-4PM",,"LINESTRING (-85.2728159 35.0322804, -85.2721346 35.0320256)"
"Belvoir Ave - Bridge closure","TDOT remove and replace bridge","Belvoir Ave","both","construction","2020-04-20T00:00:00.000","2020-12-01T00:00:00.000",,,"LINESTRING (-85.2440335 35.010833, -85.243776 35.0113426)"
"E 3rd Street","Closure of E 3rd Street between Wiehl St and Hampton St for crane lift; Closure begins 6PM opens 5AM overnight","E 3rd Street","Both","Construction","2020-05-04T00:00:00.000","2020-05-05T00:00:00.000","6PM-5AM",,"LINESTRING (-85.2918246 35.0482735, -85.2905479 35.0477949)"
"Market Street","Southbound right lane closure due to building construction","Market Street","Southbound","Construction","2020-01-06T00:00:00.000","2020-04-30T00:00:00.000",,,"LINESTRING (-85.3075121 35.038448, -85.3074638 35.0378023)"
"MLK westboound off ramp","The Exit Ramp to Westbound MLK Blvd is closing on 9/20/19. Traffic to WB MLK will be exit off of the Olgiati Bridge to 6th street then west on Gateway Ave to MLK.","Exit Ramp to Westbound MLK Blvd ","one","construction","2019-09-20T00:00:00.000","2020-01-01T00:00:00.000",,,"LINESTRING (-85.3144149 35.0488772, -85.3145329 35.048438, -85.3147904 35.0481131, -85.3152196 35.0478056, -85.3155951 35.0475158, -85.3160993 35.0474543)"
"W 14th / Williams St Sidewalk Closure","Sidewalk closed on south side of W 14th and west side of Williams St for building renovation","W 14th St / Williams St",,"Construction","2019-11-13T00:00:00.000","2020-07-31T00:00:00.000",,,"LINESTRING (-85.3089857 35.0384037, -85.308468 35.0384081, -85.3086383 35.0380798)"
"104 Ruth Street","Single lane closure with flagging","Ruth Street","Westbound","Construction","2020-04-20T00:00:00.000","2020-04-27T00:00:00.000","9AM-4PM",,"LINESTRING (-85.3073145 35.0711212, -85.3069364 35.0709747, -85.3067888 35.070894, -85.3066118 35.070849)"
"617 North Crest","North Crest Road is closed due to power lines and trees down","North Crest Road","Full closure","Trees across roadway","2020-04-15T00:00:00.000",,,,"LINESTRING (-85.2432237 35.0630497, -85.2429072 35.0630936, -85.2424351 35.0633483)"
"E 10th St & Houston St","Closure at intersection of E 10th St and Houston St for EBP work","E 10th St & Houston St","Both","Construction","2019-11-20T00:00:00.000","2020-04-24T00:00:00.000","Full","Mon- Sun","LINESTRING (-85.3060077 35.0439482, -85.3063175 35.0433657, -85.3061445 35.0436616, -85.3066581 35.0438718, -85.3054766 35.0434233)"
"2365 E 5th Street","Single lane closure for water tap","E 5th Street","Single lane","Construction","2020-04-22T00:00:00.000","2020-04-24T00:00:00.000",,,"LINESTRING (-85.2662303 35.0367723, -85.2653881 35.0365087)"
"Ashford entrance","new entrance into Ashford (Callio earthwork)","Shallowford Rd","lane shift","Construction","2020-05-01T00:00:00.000","2020-05-05T00:00:00.000","8:30AM-4PM",,"LINESTRING (-85.1424734 35.0375768, -85.1415078 35.0371903)"
"1917 e 17th st","Sewer tap","E 17th St","one","Construction","2020-03-30T00:00:00.000","2020-04-03T00:00:00.000",,,"LINESTRING (-85.2817153 35.0243518, -85.2814202 35.0242464)"
"E 1st Street","E 1st Street is closed due to construction","E 1st Street","Both","Construction","2020-04-20T00:00:00.000","2020-12-31T00:00:00.000",,,"LINESTRING (-85.3096676 35.0556994, -85.3086913 35.0557082)"
"Carroll Lane","Single lane closure on Carroll Lane for water line replacement","Carroll Lane","One","Construction","2020-03-31T00:00:00.000","2020-05-08T00:00:00.000","8am-4pm",,"LINESTRING (-85.2937112 35.0634931, -85.2930568 35.0622373, -85.292987 35.0621319, -85.2928529 35.0620572, -85.2926437 35.0620089, -85.2924559 35.0620441, -85.2920107 35.0621626, -85.2915118 35.0623031)"
"1601 Bennett Ave","sewer service","Bennett Ave","one","construction","2020-04-22T00:00:00.000","2020-04-24T00:00:00.000","8:30-4",,"LINESTRING (-85.2823808 35.0309169, -85.2822091 35.0312068, -85.2817156 35.0310223)"
"1813 E 13th Street","Single lane closure with flagging","E 13th Street","One","Construction","2020-04-23T00:00:00.000","2020-04-27T00:00:00.000",,,"LINESTRING (-85.2797105 35.0278483, -85.2792358 35.0276759)"
"5703 & 5711 Grubb Rd","Gas service line","GrubB Rd","one","construction","2020-04-20T00:00:00.000","2020-05-01T00:00:00.000","8:30-4",,"LINESTRING (-85.2412371 35.1509889, -85.2404861 35.1502169)"
"E MLK under HWY 27","North Side of the MLK closed. Maintain 2 way on the South Side. no left turn onto Pine","E MLK Blvd",,"Construction","2020-04-04T00:00:00.000","2020-05-16T00:00:00.000",,,"LINESTRING (-85.3157804 35.0473786, -85.3127334 35.0461489)"
"115 & 119 Sawyer St","gas connection","Sawyer Dr","one","construction","2020-04-22T00:00:00.000","2020-05-01T00:00:00.000","8:30-4",,"LINESTRING (-85.3104824 35.0745873, -85.3102249 35.0745698)"
"Hamill Road at Cassandra Smith and Fairview Road - FLOODING","Hamill Road closed due to flooding","Hamill Road","Full closure","Flooding","2020-04-13T00:00:00.000",,,,"LINESTRING (-85.2114782 35.1290871, -85.2110061 35.1290695, -85.2106735 35.1291924, -85.2104911 35.1298329, -85.2103087 35.1307542, -85.2099547 35.1312544, -85.2096972 35.1315527, -85.2093002 35.1318247, -85.2088174 35.1321845, -85.2084741 35.1326057, -85.2084204 35.1327548, -85.208163 35.1327548, -85.2079376 35.1326144, -85.207766 35.1323161, -85.2077016 35.131737, -85.2074548 35.1304735, -85.2073368 35.1300611, -85.207133 35.1301488, -85.2069506 35.1303155, -85.2068218 35.1301576, -85.206736 35.1299909, -85.2067575 35.1298154, -85.2068218 35.1296311)"
"1301Hamiton Ave","Sewer service","Hamiton Ave","one","construction","2020-04-20T00:00:00.000","2020-04-22T00:00:00.000","8:30-4",,"LINESTRING (-85.30749 35.0773283, -85.3075276 35.0771043, -85.3081659 35.0771351)"
"W Main and Williams Street","E Main & Slayton to WIlliams to 28th directional bore","E Main & Williams","lane shift","Construction","2020-03-20T00:00:00.000","2020-06-01T00:00:00.000",,,"LINESTRING (-85.2973854 35.0322666, -85.3092713 35.0367955, -85.3163094 35.0240041)"
"3043-3061 Merrydale Dr","gas line","Merrydale Dr","one w/ flagging","Construction","2020-04-20T00:00:00.000","2020-05-01T00:00:00.000","8:30AM-4:00PM",,"LINESTRING (-85.2485951 35.0414296, -85.2487882 35.041166, -85.2490886 35.0409552)"
"Center Street at Moss Ave N","One lane closure with flagging for TAW water main replacement; All residents notified, will maintain access to driveways","Center Street","One","Construction","2020-02-12T00:00:00.000","2020-05-29T00:00:00.000",,,"LINESTRING (-85.3679342 35.0243629, -85.3692726 35.0248791, -85.3709543 35.0255709, -85.3721882 35.0252898, -85.3724081 35.0251844)"
"Tree down Corbly dr","Large tree removed but debris causing only single lane access","Corbly Dr","both","hazard","2020-04-16T00:00:00.000",,,,"LINESTRING (-85.2409209 35.0217887, -85.2399822 35.0215251, -85.2397086 35.0215602, -85.239494 35.0218238, -85.2392902 35.0221664, -85.239097 35.0222279, -85.2386357 35.0220698)"
"Curtis & Wilder St","new glass main 2 way maintained by flagging","Curtis St","one","Construction","2020-03-23T00:00:00.000","2020-04-20T00:00:00.000","8:30-4",,"LINESTRING (-85.2510786 35.0736706, -85.251143 35.0735477)"
"1333 N Concord Rd","Gas service line maintain 2 way traffic with flagging still has plates","N Concord Rd","one lane","Construction","2020-03-25T00:00:00.000","2020-04-10T00:00:00.000","8:30AM-4PM",,"LINESTRING (-85.1732499 35.0153652, -85.1735289 35.0149259)"
"Broad Street","Right lane closed for sidewalk and curb rebuilding","Broad Street","Southbound right lane","Construction","2020-03-25T00:00:00.000","2020-04-06T00:00:00.000",,,"LINESTRING (-85.3212168 35.0196447, -85.3218257 35.0185135)"
"1201 Hamiton Ave sewer","sewer service","Hamiton Ave","one","Construction","2020-04-21T00:00:00.000","2020-04-23T00:00:00.000","8:30-4",,"LINESTRING (-85.3080265 35.0762395, -85.3075758 35.0762307, -85.3075651 35.0764414)"
"309 Thompson St","TAW service tie-in by Hiwassee","Thompson St","one","Construction","2020-03-30T00:00:00.000","2020-04-03T00:00:00.000","8:30-4",,"LINESTRING (-85.3016918 35.0634175, -85.30196 35.0631453)"
"245 Walnut Street","Sidewalk and curbside parking closure on Walnut Street 200 block","Walnut Street","Sidewalk and parking only","Construction","2020-04-27T00:00:00.000","2020-06-01T00:00:00.000",,,"LINESTRING (-85.3076276 35.0547918, -85.3076008 35.0535842)"
"Lake Resort Drive","Lake Resort Drive will be temporarily operating as a one-lane road between the roundabout at Hwy 153 and Lake Resort Terrace. Traffic signals are in place to allow one direction through at a time. CDOT engineers will continue to monitor use of this westbound lane while working to repair the closed eastbound lane. The road may be closed to all traffic if conditions warrant. Hamill Road and Highway 153 should be used as the detour and to avoid congestion.","Lake Resort Dr","one","construction","2020-01-01T00:00:00.000","2020-12-31T00:00:00.000",,,"LINESTRING (-85.228052 35.109689, -85.224126 35.107881, -85.223053 35.107705, -85.221336 35.108074, -85.220306 35.10846, -85.219426 35.10918)"
"Frost Street","Single lane closure of Frost Street for installation of new water main","Frost Street","One lane","Construction","2020-04-20T00:00:00.000","2020-05-25T00:00:00.000","9AM-4PM",,"LINESTRING (-85.2439524 35.0690406, -85.2442635 35.0684172, -85.2443762 35.0682415, -85.2445318 35.0681581, -85.2448161 35.0680352, -85.2451057 35.0679781, -85.2452291 35.0679035, -85.2452667 35.0677454, -85.2452828 35.0674995)"
"W 12th Street on ramp to US-27","The 12th Street tie-in ramp to US-27 South has been temporarily closed. This closure will be in place through 12/18/2019.","US-27 South","one","construction",,"2020-02-28T00:00:00.000",,,"LINESTRING (-85.31623 35.044289, -85.315796 35.045005, -85.315576 35.045404, -85.31534 35.045589, -85.315157 35.045519)"
"220 Morningside Dr","gas connect","Morningside Dr","one","construction","2020-04-27T00:00:00.000","2020-05-08T00:00:00.000","8:30-4",,"LINESTRING (-85.2848285 35.023266, -85.2846891 35.0232309, -85.2846354 35.0233012)"
"4917 Bal Harbor","gas service connection","Bal Harbor Dr","one","construction","2020-04-20T00:00:00.000","2020-05-01T00:00:00.000","8:30-4",,"LINESTRING (-85.1929323 35.0997861, -85.192707 35.0999266)"
