"objectid","oirid","oddside","leftfrom","leftto","rightfrom","rightto","minaddress","maxaddress","typeprefix","dirprefix","name","typesuffix","dirsuffix","fullname","streetstatus","ownership","functclass","featuretype","city_l","city_r","blockid","streetid","facility_id","lastaccess","geometry"
"412","HAMILTON_16910","L","2311","2399","2310","2398","2310","2399",,,"Ocoee","St",,"Ocoee St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","3219","5100","FID3219","20151110083535","MULTILINESTRING ((-85.257256 35.05473, -85.25719 35.054703, -85.25684 35.054577, -85.256775 35.05455, -85.25661 35.054485, -85.25634 35.05439, -85.25625 35.054356))"
"413","HAMILTON_17579","R","200","298","201","299","200","299",,,"Thornton","Ave",,"Thornton Ave","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","6640","5696","FID6640","20151110083535","MULTILINESTRING ((-85.24015 35.015278, -85.240166 35.01523, -85.240204 35.015156, -85.24028 35.015007, -85.24029 35.015, -85.240364 35.014824, -85.24044 35.014652, -85.24052 35.014473, -85.24066 35.01417, -85.240776 35.013927, -85.24086 35.013756, -85.24095 35.01355, -85.24096 35.013485))"
"414","HAMILTON_21605","L","1701","1705","1700","1704","1700","1705",,,"Arbor Landing","Dr",,"Arbor Landing Dr","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","11541","3853","FID11541","20151110083535","MULTILINESTRING ((-85.21633 35.157345, -85.21627 35.15733, -85.21618 35.15729, -85.21598 35.157207, -85.2158 35.157104, -85.21565 35.157024, -85.21562 35.157005))"
"415","HAMILTON_21947","L","6301","6499","6300","6498","6300","6499",,,"Babe","Ln",,"Babe Ln","Open Private","Private","Local Street","Road","Chattanooga","Chattanooga","20490","9169","FID20490","20151110083535","MULTILINESTRING ((-85.22229 35.158695, -85.222275 35.15873, -85.222176 35.158913, -85.22207 35.159134, -85.221825 35.15969, -85.22172 35.159924, -85.221596 35.160217))"
"416","HAMILTON_13451","R","4500","4612","4501","4613","4500","4613",,,"Kellys Ferry","Rd",,"Kellys Ferry Rd","Open Public","Hamilton County","Local Street","Road","Hamilton County","Hamilton County","16972","6610","FID16972","20151110083535","MULTILINESTRING ((-85.40726 35.028305, -85.407265 35.02836, -85.4073 35.02855, -85.40731 35.02867, -85.407295 35.028793, -85.407295 35.028893))"
"417","HAMILTON_13792","L","6101","6321","6100","6320","6100","6321",,,"Pringle","Dr",,"Pringle Dr","Open Public","Hamilton County","Local Street","Road","Hamilton County","Hamilton County","16849","6552","FID16849","20151110083535","MULTILINESTRING ((-85.09821 35.105453, -85.09811 35.105415, -85.09775 35.105286, -85.09749 35.105186, -85.0973 35.105118, -85.09727 35.10511))"
"418","HAMILTON_16422","L","313","321","312","320","312","321",,,"Bass","Rd",,"Bass Rd","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","9580","3563","FID9580","20151110083535","MULTILINESTRING ((-85.19761 35.0134, -85.19767 35.01329, -85.19767 35.013287, -85.197716 35.013138, -85.197754 35.013035, -85.19777 35.012978, -85.19783 35.01282, -85.19788 35.012665, -85.19794 35.0125, -85.19799 35.012344, -85.19803 35.0122))"
"419","HAMILTON_27505","L","801","899","800","898","800","899",,,"Lynnstone","Dr",,"Lynnstone Dr","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","20608","9222","FID20608","20151110083535","MULTILINESTRING ((-85.31368 35.11578, -85.31329 35.115894, -85.31324 35.115913, -85.31319 35.115925, -85.31313 35.115932, -85.31307 35.115932, -85.312965 35.11593, -85.312294 35.115883))"
"420","HAMILTON_29260","L","1701","1799","1700","1798","1700","1799",,,"Sholar","Ave",,"Sholar Ave","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","3161","5060","FID3161","20151110083535","MULTILINESTRING ((-85.26724 35.058636, -85.26716 35.058784, -85.266914 35.059204, -85.26667 35.05963))"
"421","HAMILTON_20407","L","4001","4099","4000","4098","4000","4099",,,"Shady Oak","Dr",,"Shady Oak Dr","Open Public","Hamilton County","Local Street","Road","Hamilton County","Hamilton County","5166","3166","FID5166","20151110083535","MULTILINESTRING ((-85.11496 35.049934, -85.11448 35.050835, -85.11418 35.051373))"
"422","HAMILTON_24411","R","2456","2578","2455","2579","2455","2579",,,"Chestnut","St",,"Chestnut St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","3065","4904","FID3065","20151110083535","MULTILINESTRING ((-85.31843 35.029305, -85.318436 35.029293, -85.31853 35.029133, -85.31863 35.02895, -85.31873 35.02875, -85.318825 35.028595, -85.3189 35.02847, -85.318794 35.02841))"
"423","HAMILTON_25789","L","7501","7599","7500","7598","7500","7599",,,"Bleen","Pl",,"Bleen Pl","Open Private","Private","Local Street","Road","Chattanooga","Chattanooga","20981","9585","FID20981","20151110083535","MULTILINESTRING ((-85.17167 35.003937, -85.17155 35.003876, -85.171486 35.003853, -85.171425 35.00383, -85.17134 35.003807, -85.171265 35.00378, -85.17122 35.003765, -85.17118 35.003746, -85.17113 35.00371, -85.17107 35.00367, -85.171 35.00364, -85.17097 35.003628, -85.17094 35.003628, -85.1709 35.00363, -85.170876 35.003643, -85.17085 35.003654, -85.170815 35.00369, -85.17078 35.003727, -85.17074 35.00376, -85.170715 35.003777, -85.1707 35.003784, -85.17069 35.003788, -85.17068 35.003788, -85.17065 35.003777))"
"424","HAMILTON_26135","L","1601","1609","1600","1608","1600","1609",,,"Wilson","St",,"Wilson St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","3227","4655","FID3227","20151110083535","MULTILINESTRING ((-85.270355 35.0542, -85.26984 35.054012))"
"425","HAMILTON_16399","R","1308","1328","1307","1329","1307","1329",,,"Reserve","Way",,"Reserve Way","Open Private","Private","Local Street","Road","Chattanooga","Chattanooga","19043","8346","FID19043","20190204091525","MULTILINESTRING ((-85.15976 35.007397, -85.15969 35.007557, -85.15968 35.00757, -85.159676 35.00758, -85.15967 35.00759, -85.15965 35.007603, -85.159645 35.007614, -85.15963 35.007626, -85.15962 35.007633, -85.15961 35.00764, -85.15959 35.00765, -85.15958 35.007656, -85.15915 35.0078, -85.15858 35.007996, -85.15841 35.008045, -85.158394 35.00805, -85.15839 35.008053, -85.15838 35.008057, -85.15837 35.008064, -85.15837 35.008068, -85.15836 35.008076, -85.158356 35.008083, -85.158356 35.00809, -85.158356 35.0081, -85.158356 35.008106, -85.158356 35.008114, -85.158356 35.00812, -85.158356 35.00813, -85.15852 35.008476))"
"426","HAMILTON_20430","R","1200","1298","1201","1299","1200","1299",,"S","Kelley","St",,"S Kelley St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","5882","5276","FID5882","20151110083535","MULTILINESTRING ((-85.27436 35.02713, -85.27483 35.026268))"
"427","HAMILTON_23686","R","4000","4088","4001","4089","4000","4089",,,"Alabama","Ave",,"Alabama Ave","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","8097","5515","FID8097","20151110083535","MULTILINESTRING ((-85.33017 35.007153, -85.329994 35.006985, -85.32989 35.006886))"
"428","HAMILTON_25412","B","18081","18119","18080","18118","18080","18119",,,"Interstate 24",,"EB","Interstate 24 EB","Open Public","Federal","Urban Interstate","Interstate","Chattanooga","Chattanooga","21446","9939","FID21446","20140630083512","MULTILINESTRING ((-85.28446 35.017605, -85.282585 35.017056, -85.28052 35.01644, -85.2784 35.01582, -85.27743 35.015526, -85.27695 35.01538))"
"429","HAMILTON_29290","L","401","505","400","504","400","505",,,"Fleetwood","Dr",,"Fleetwood Dr","Open Public","Lookout Mountain","Urban Major Collector","Road","Lookout Mountain","Lookout Mountain","10083","6058","FID10083","20151110083535","MULTILINESTRING ((-85.34854 34.988853, -85.34862 34.988686, -85.34863 34.98866, -85.34864 34.988636, -85.348656 34.988613, -85.34867 34.988586, -85.34869 34.988564, -85.3487 34.98854, -85.34872 34.988518, -85.34873 34.988495, -85.348755 34.988472, -85.34877 34.98845, -85.34893 34.988266, -85.34908 34.988113, -85.349236 34.98798, -85.34945 34.987827, -85.34956 34.987732))"
"430","HAMILTON_12358","R","2900","3098","2901","3099","2900","3099",,,"McCallie","Ave",,"McCallie Ave","Open Public","State","Urban Principal Arterial","Major Road","Chattanooga","Chattanooga","4862","4949","FID4862","20151110083535","MULTILINESTRING ((-85.26069 35.03079, -85.26061 35.030758, -85.26024 35.03063, -85.260025 35.030552, -85.25992 35.030514, -85.25989 35.030502, -85.25969 35.03043, -85.25929 35.030285, -85.258995 35.030144, -85.25844 35.029793, -85.25751 35.02924, -85.25747 35.029213))"
"431","HAMILTON_10386","L","2101","2199","2100","2198","2100","2199",,,"Wilder","St",,"Wilder St","Open Public","Chattanooga","Urban Major Collector","Road","Chattanooga","Chattanooga","15346","4188","FID15346","20151110083535","MULTILINESTRING ((-85.25113 35.073513, -85.25101 35.073467, -85.25085 35.073402, -85.25064 35.07333, -85.250435 35.07325, -85.25043 35.073246, -85.25013 35.073135, -85.24988 35.073044, -85.24973 35.072987))"
"432","HAMILTON_11286","L","1501","1599","1500","1598","1500","1599",,"E","23rd","St",,"E 23rd St","Open Public","State","Urban Minor Arterial","Major Road","Chattanooga","Chattanooga","6027","1103","FID6027","20151110083535","MULTILINESTRING ((-85.28971 35.021534, -85.289444 35.021442, -85.289185 35.021355, -85.288925 35.021263, -85.288704 35.021187))"
"433","HAMILTON_12789","L","401","499","400","498","400","499",,"E","2nd","St",,"E 2nd St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","14686","4895","FID14686","20151110083535","MULTILINESTRING ((-85.30553 35.054882, -85.30536 35.054882, -85.30518 35.054882, -85.30507 35.054886, -85.30489 35.054893, -85.304726 35.054893, -85.30456 35.05489, -85.30452 35.054882, -85.3045 35.054867, -85.30448 35.054844, -85.30448 35.054768, -85.30447 35.054596, -85.30447 35.054386, -85.30446 35.05424, -85.30445 35.054176, -85.304436 35.05414, -85.30438 35.054058))"
"434","HAMILTON_11035","B","381","419","380","418","350","419",,,"Highway 27",,"SB","Highway 27 SB","Open Public","State","Other Freeways and Expressways","Highway","Red Bank","Red Bank","21654","590","FID21654","20161108122406","MULTILINESTRING ((-85.32339 35.083927, -85.32351 35.084305, -85.323685 35.084873))"
"435","HAMILTON_29315","R","900","1098","901","1099","900","1099",,,"Hiram","Ave",,"Hiram Ave","Open Public","Red Bank","Local Street","Road","Red Bank","Red Bank","12433","1895","FID12433","20151110083535","MULTILINESTRING ((-85.31503 35.07731, -85.31501 35.077305, -85.31496 35.0773, -85.31491 35.077293, -85.31486 35.077286, -85.31481 35.07728, -85.314766 35.07727, -85.31471 35.07726, -85.31467 35.077248, -85.31423 35.077133, -85.31413 35.077106, -85.31394 35.077045))"
"436","HAMILTON_30544","L","8331","8509","8330","8508","8200","8509",,,"Old Cleveland","Pike",,"Old Cleveland Pike","Open Public","Hamilton County","Local Street","Road","Hamilton County","Hamilton County","13974","6373","FID13974","20191022111816","MULTILINESTRING ((-85.09085 35.07764, -85.090836 35.07765, -85.09075 35.077698, -85.09056 35.077827, -85.09038 35.077934, -85.09035 35.077953, -85.09025 35.07801, -85.09019 35.078053, -85.090126 35.078087, -85.090065 35.07812, -85.09001 35.07815, -85.08995 35.078186, -85.0899 35.07821, -85.08986 35.078228, -85.08983 35.078243, -85.08979 35.07826, -85.08975 35.078274, -85.08971 35.07829, -85.08967 35.0783, -85.08963 35.078312, -85.08957 35.07833, -85.0895 35.078346, -85.08944 35.07836, -85.08938 35.078377, -85.08932 35.07839, -85.08905 35.078465, -85.08882 35.078533, -85.088615 35.078594, -85.08834 35.07869, -85.08808 35.078773, -85.087845 35.078854, -85.087654 35.078915, -85.08746 35.07898, -85.087326 35.079025, -85.08718 35.079075, -85.08713 35.079094, -85.08705 35.079117, -85.086975 35.079144, -85.08685 35.079174, -85.086754 35.079197, -85.0867 35.079212, -85.086655 35.07922, -85.08661 35.079227, -85.08656 35.079235, -85.08652 35.079243, -85.08647 35.079247, -85.086426 35.079254, -85.08638 35.079254, -85.086334 35.079258, -85.08629 35.079258, -85.08607 35.079266, -85.085976 35.07927, -85.085815 35.079277, -85.08573 35.07928, -85.08565 35.07928, -85.085556 35.07929, -85.08547 35.079292, -85.08539 35.0793, -85.0853 35.079304, -85.08522 35.07931, -85.08517 35.079315, -85.08515 35.07932, -85.085075 35.079327, -85.08501 35.079334, -85.08481 35.079357, -85.08465 35.079376, -85.0846 35.079384))"
"437","HAMILTON_23857","R","1500","1598","1501","1599","1500","1599",,"W","47th","St",,"W 47th St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","6989","5784","FID6989","20151110083535","MULTILINESTRING ((-85.32878 34.996292, -85.3288 34.9963, -85.32882 34.996307, -85.328835 34.996315, -85.32886 34.996323, -85.32887 34.99633, -85.32889 34.996338, -85.32892 34.99635, -85.32894 34.996357, -85.329025 34.996387, -85.32905 34.9964, -85.32908 34.99641, -85.32911 34.99642, -85.32917 34.996445, -85.3292 34.99646, -85.32923 34.99647, -85.329254 34.99648, -85.329285 34.99649, -85.32936 34.996517, -85.32939 34.996525, -85.329414 34.996536, -85.3295 34.996567, -85.32952 34.99658, -85.32955 34.99659, -85.32957 34.996593, -85.32961 34.99661, -85.32963 34.996613, -85.329636 34.99662, -85.32966 34.996628))"
"438","HAMILTON_25217","L","1769","1799","1768","1798","1768","1799",,,"Cleveland","Ave",,"Cleveland Ave","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","14861","5147","FID14861","20151110083535","MULTILINESTRING ((-85.27305 35.043842, -85.27261 35.043705, -85.272484 35.043663, -85.272255 35.04357))"
"439","HAMILTON_25388","L","101","179","100","178","100","179",,,"Council Fire","Dr",,"Council Fire Dr","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","9323","3622","FID9323","20151110083535","MULTILINESTRING ((-85.171555 34.9868, -85.17154 34.9868, -85.17148 34.9868, -85.17142 34.986805, -85.17136 34.98681, -85.171265 34.986816, -85.171234 34.98682, -85.1712 34.986828, -85.17117 34.98683, -85.17114 34.98684, -85.171104 34.986847, -85.171074 34.98686, -85.17104 34.986866, -85.171 34.986885, -85.17096 34.9869, -85.17093 34.98691, -85.17089 34.98693, -85.17086 34.986946, -85.17082 34.986965, -85.1707 34.987034, -85.17057 34.987106, -85.17052 34.987133, -85.170494 34.98714, -85.17047 34.98715, -85.17044 34.987156, -85.17042 34.987164, -85.170395 34.98717, -85.17036 34.98718, -85.17034 34.987183))"
"440","HAMILTON_26530","L","3925","3947","3924","3946","3924","3947",,,"Azalean","Dr",,"Azalean Dr","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","15930","4152","FID15930","20151110083535","MULTILINESTRING ((-85.25849 35.11061, -85.25839 35.110744, -85.25828 35.110912, -85.25816 35.111095, -85.25807 35.11124, -85.25796 35.111416, -85.25791 35.111485))"
"441","HAMILTON_26778","L","4407","4499","4406","4498","4406","4499",,,"Bellview","Ave",,"Bellview Ave","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","13136","4255","FID13136","20151110083535","MULTILINESTRING ((-85.19724 35.082123, -85.19718 35.082233, -85.19711 35.082355, -85.19705 35.082462, -85.19698 35.082592, -85.19693 35.08268, -85.19689 35.082752, -85.19686 35.082794, -85.19685 35.082813, -85.196846 35.08283, -85.196815 35.082863, -85.19679 35.082893))"
"442","HAMILTON_27907","L","1701","1735","1700","1734","1700","1735",,,"Moonbeam","Trl",,"Moonbeam Trl","Open Private","Private","Local Street","Road","Chattanooga","Chattanooga","22115","10395","FID22115","20151110083535","MULTILINESTRING ((-85.13409 35.010464, -85.134094 35.010464, -85.134094 35.01047, -85.1341 35.01048, -85.1341 35.010487, -85.13411 35.010494, -85.13411 35.0105, -85.13411 35.01051, -85.13411 35.01053, -85.1341 35.010544, -85.1341 35.010563, -85.134094 35.01058, -85.13409 35.010593, -85.13408 35.01061, -85.133995 35.01077, -85.13391 35.010975, -85.13385 35.01114, -85.133804 35.01126, -85.13378 35.01134))"
"443","HAMILTON_15698","L","6201","6295","6200","6294","6200","6295",,,"Laramie","Cir",,"Laramie Cir","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","19837","8527","FID19837","20151110083535","MULTILINESTRING ((-85.178986 35.05521, -85.179245 35.0553, -85.17938 35.055355, -85.17954 35.055416, -85.179726 35.05548, -85.18 35.055584, -85.1803 35.055695, -85.18061 35.055813, -85.18084 35.055897, -85.181015 35.05596, -85.1811 35.055996, -85.18112 35.056004, -85.18114 35.05601, -85.181145 35.05602, -85.18116 35.05603, -85.181175 35.05604, -85.18119 35.05605, -85.1812 35.056065, -85.18121 35.056076, -85.18122 35.056087, -85.18123 35.0561, -85.18124 35.056114, -85.181244 35.05613, -85.18125 35.05614, -85.18125 35.056152, -85.18125 35.056168, -85.18126 35.056187, -85.18126 35.056202, -85.18126 35.05622, -85.18126 35.056236, -85.18125 35.056255, -85.18125 35.05627, -85.181244 35.05629, -85.18124 35.05631, -85.181206 35.05641, -85.18117 35.056538, -85.18114 35.056637, -85.18108 35.05677, -85.181076 35.056774, -85.18107 35.05681))"
"444","HAMILTON_16373","L","1365","1369","1364","1368","1364","1369",,,"Gunbarrel","Rd",,"Gunbarrel Rd","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","9021","5422","FID9021","20151110083535","MULTILINESTRING ((-85.16462 35.013412, -85.16453 35.013573, -85.164375 35.01386, -85.16422 35.014164, -85.16418 35.014256))"
"448","HAMILTON_13646","R","5500","5598","5501","5599","5500","5599",,,"Alford Hill","Dr",,"Alford Hill Dr","Open Public","Hamilton County","Local Street","Road","Hamilton County","Hamilton County","10152","3730","FID10152","20151110083535","MULTILINESTRING ((-85.35146 35.0198, -85.35149 35.01974, -85.3515 35.019703, -85.351524 35.019665, -85.351585 35.01953, -85.35168 35.01936, -85.35173 35.019264, -85.35181 35.019115, -85.35183 35.01906, -85.35183 35.019024, -85.35183 35.018997, -85.35182 35.018963, -85.35179 35.018925, -85.35179 35.018917, -85.35178 35.018913))"
"449","HAMILTON_14317","L","2301","2399","2300","2398","2300","2399",,"E","18th Street","Pl",,"E 18th Street Pl","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","6039","5049","FID6039","20151110083535","MULTILINESTRING ((-85.27541 35.021164, -85.27529 35.02112, -85.275246 35.021103, -85.2748 35.020947, -85.27433 35.02077, -85.27408 35.020676))"
"450","HAMILTON_16086","R","1010","1248","1009","1249","1009","1249",,,"Shingle","Rd",,"Shingle Rd","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","8087","3279","FID8087","20151110083535","MULTILINESTRING ((-85.338776 35.008636, -85.33878 35.008636, -85.3388 35.008667, -85.33881 35.008686, -85.33883 35.008717, -85.338844 35.008736, -85.33885 35.008747, -85.33886 35.008755, -85.33887 35.008766, -85.33888 35.008774, -85.33889 35.008785, -85.338905 35.008793, -85.33891 35.008804, -85.33893 35.008812, -85.338936 35.00882, -85.33895 35.008827, -85.33896 35.00884, -85.338974 35.008846, -85.33898 35.008858, -85.33899 35.008865, -85.339005 35.008877, -85.33901 35.00889, -85.33902 35.0089, -85.33903 35.00891, -85.33903 35.008923, -85.339035 35.008934, -85.33904 35.008953, -85.33904 35.008972, -85.33905 35.008987, -85.33905 35.009007, -85.33906 35.00902, -85.33906 35.00904, -85.339066 35.00906, -85.339066 35.009075, -85.33907 35.009094, -85.33908 35.00911, -85.33908 35.00913, -85.33909 35.009148, -85.339096 35.009167, -85.339096 35.009186, -85.3391 35.009205, -85.33911 35.009224, -85.33912 35.009243, -85.339134 35.009262, -85.339264 35.00953, -85.33931 35.009647, -85.33932 35.009686, -85.33932 35.0097, -85.339325 35.009724, -85.33934 35.009747, -85.33936 35.009773, -85.33938 35.009796, -85.33941 35.009823, -85.339424 35.00985, -85.33947 35.009903, -85.339485 35.00994, -85.3395 35.009968, -85.339516 35.009995, -85.33952 35.01002, -85.33954 35.010048, -85.33955 35.010082, -85.33956 35.01011, -85.33957 35.010147, -85.33958 35.01018, -85.339584 35.010216, -85.3396 35.010277, -85.339615 35.010303, -85.33964 35.010353, -85.33967 35.010406, -85.3397 35.01046, -85.339714 35.010506, -85.33973 35.01054, -85.33974 35.010555, -85.33975 35.01057, -85.33977 35.010597, -85.33978 35.01062, -85.33979 35.010643, -85.33981 35.01071, -85.33983 35.01074, -85.339836 35.010754, -85.33985 35.010773, -85.33986 35.01079, -85.339874 35.01081, -85.33988 35.01083, -85.3399 35.010845, -85.339905 35.010864, -85.33992 35.010883, -85.33993 35.010902, -85.33994 35.010918, -85.33995 35.010937, -85.339966 35.010956, -85.33998 35.010967, -85.33999 35.010983, -85.340004 35.010998, -85.34002 35.011013, -85.34003 35.01103, -85.34004 35.01104, -85.34005 35.011055, -85.340065 35.01107, -85.34007 35.011086, -85.34007 35.011086, -85.34009 35.0111, -85.34009 35.011112, -85.340096 35.01112, -85.3401 35.011127, -85.3401 35.011135, -85.34011 35.011143, -85.34011 35.011154, -85.34011 35.01116, -85.34012 35.011173, -85.34012 35.01118, -85.34012 35.01119, -85.34012 35.011204, -85.34012 35.01122, -85.34012 35.01123, -85.34012 35.011246, -85.34012 35.011253, -85.3401 35.011345, -85.3401 35.011414, -85.34011 35.01152, -85.34012 35.01154, -85.34012 35.011547, -85.34015 35.011703, -85.340164 35.011784, -85.34019 35.011833, -85.3402 35.011875, -85.340256 35.011963, -85.3403 35.012016, -85.34032 35.012035, -85.34033 35.012054, -85.34034 35.012074, -85.340355 35.012093, -85.34037 35.01211, -85.340385 35.012127, -85.34039 35.012146, -85.34041 35.012165, -85.34042 35.012184, -85.34043 35.012203, -85.34045 35.012222, -85.34046 35.01224, -85.34047 35.01226, -85.340485 35.012276, -85.34049 35.01229, -85.3405 35.012306, -85.34051 35.01232, -85.340515 35.012337, -85.34052 35.012352, -85.34053 35.012367, -85.34054 35.012383, -85.34055 35.01243))"
"451","HAMILTON_30327","R","1300","1398","1301","1399","1300","1399",,,"Passenger","St",,"Passenger St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","22831","5043","FID22831","20190312153528","MULTILINESTRING ((-85.30327 35.037106, -85.30374 35.03622, -85.30386 35.036037, -85.303894 35.035995))"
"452","HAMILTON_30571","L","6811","6899","6810","6898","6800","6899",,,"Mahlon","Dr",,"Mahlon Dr","Open Public","Hamilton County","Local Street","Road","Hamilton County","Hamilton County","11988","4029","FID11988","20191001080830","MULTILINESTRING ((-85.123566 35.12014, -85.12311 35.120064, -85.12306 35.120056, -85.12302 35.12005))"
"453","HAMILTON_20384","R","800","898","801","899","800","899",,"S","Hickory","St",,"S Hickory St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","4845","5077","FID4845","20151110083535","MULTILINESTRING ((-85.279724 35.032795, -85.27984 35.03258, -85.27986 35.032536, -85.279884 35.03249, -85.27991 35.032444, -85.27993 35.032402, -85.27995 35.032356, -85.27998 35.03231, -85.28001 35.032265, -85.28003 35.032223, -85.28006 35.032177, -85.28008 35.03213, -85.280106 35.032093, -85.28013 35.03206, -85.28014 35.03202, -85.280174 35.03197))"
"454","HAMILTON_24684","R","2","98","1","99","1","99",,"W","21st","St",,"W 21st St","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","2851","5000","FID2851","20151110083535","MULTILINESTRING ((-85.30893 35.03095, -85.30901 35.030952, -85.309044 35.030956, -85.309074 35.03096, -85.309105 35.03096, -85.309135 35.030968, -85.309166 35.03097, -85.3092 35.030975, -85.30922 35.030983, -85.30925 35.03099, -85.30928 35.031, -85.30937 35.031033, -85.30946 35.03107, -85.30956 35.031105, -85.309654 35.031143, -85.309746 35.031178, -85.30984 35.03121, -85.30993 35.031246, -85.31003 35.03128, -85.31026 35.03136, -85.31027 35.031364, -85.31045 35.031403, -85.31056 35.031418, -85.310715 35.031418, -85.31086 35.031418))"
"455","HAMILTON_25240","L","3531","3539","3530","3538","3530","3539",,,"Cottonwood","Ln",,"Cottonwood Ln","Open Public","Chattanooga","Local Street","Road","Chattanooga","Chattanooga","4725","2998","FID4725","20151110083535","MULTILINESTRING ((-85.23344 35.051865, -85.23344 35.05185, -85.233406 35.05176, -85.23337 35.051678, -85.23332 35.05163, -85.233215 35.051544, -85.2331 35.05147, -85.233 35.051426, -85.23288 35.051395, -85.23276 35.051388, -85.23267 35.05139, -85.23264 35.051395, -85.232544 35.05141, -85.23243 35.05145))"
"456","HAMILTON_25364","L","447","453","446","452","446","453",,,"Isbill","Rd",,"Isbill Rd","Open Public","Chattanooga","Local Street","Major Road","Chattanooga","Chattanooga","21220","2922","FID21220","20151110083535","MULTILINESTRING ((-85.3697 35.039093, -85.369675 35.039127, -85.369644 35.03918, -85.36951 35.039387, -85.36937 35.03959, -85.3693 35.03968))"
"543","HAMILTON_18818","B","17881","17919","17880","17918","17880","17919",,,"Interstate 24",,"EB","Interstate 24 EB","Open Public","Federal","Urban Interstate","Interstate","Chattanooga","Chattanooga","21439","9939","FID21439","20140630083407","MULTILINESTRING ((-85.31421 35.030315, -85.31365 35.03013, -85.31106 35.029163, -85.30973 35.028667, -85.3074 35.027763))"
