"organization_city_agency","street_address_mailing_address","city","state","postcode","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","special_populations_served","boroughs_served","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"AHRCNYC","83Maiden Lane","New York","NY","10038","2019","785","0","0","0","Not for Profit Family Governed Organization","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Health and medicine, Human services, Justice-related, People with disabilities, Senior Services","Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.707443","-74.007607","101","1","1502","1001111","1000680007","Battery Park City-Lower Manhattan"
"Alpha Phi Alpha Senior Citizens Center","220-01 Linden Boulevard","Cambria Heights","NY","11411","2019","30","0","15","15","Community-based organization","Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Human services, Senior Services","Low-income populations, Older adults (60 or older)","QN","QUEENS","40.695105","-73.740004","413","27","596","4244354","4113210006","Cambria Heights"
"Amaya's Bookreads, Inc.","569 Academy St. Suite 2","New York","NY","10034","2019","7","2","4","2","Community-based organization","Children and youth related, Education and literacy","Low-income populations, Youth (17 or under)","MN, BX","MANHATTAN","40.863263","-73.923027","112","10","291","1064720","1022180001","Marble Hill-Inwood"
"American Alliance for Theatre & Education","718 7th St NW","Washington","DC","20001","2019","250","45","165","40","Volunteer-led group","Advocacy and organizing, Arts and culture, Children and youth related, Education and literacy","Teachers, artists, scholars","All Boroughs",,,,,,,,,
"American Red Cross of Greater New York","520 West 49th St","New York","NY","10019","2019","2904","1134","0","0","Community-based organization","Children and youth related, Emergency management and disaster response, Human services","Homeless, Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.764578","-73.993509","104","3","129","1080966","1010770043","Clinton"
"AmPark NORC Supportive Senior Services Program","98 Van Cortlandt Park South","The Bronx","NY","10463","2019","180","46","114","20","Community-based organization","Advocacy and organizing, Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Health and medicine, Human services, Legal services, Senior Services","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities","BX","BRONX","40.885015","-73.891625","208","11","281","2015482","2032520287","Van Cortlandt Village"
"Annette Julien Trust","65 East 54Th Street","Brooklyn","NY","11203","2019","20","5","4","0","Community-based organization, Faith-based institution, Hospital, Volunteer-led group","Children and youth related, Civic engagement (voting, voter registration), Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Health and medicine, Human rights, Human services, People with disabilities, Senior Services","Homeless, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK","BROOKLYN","40.657608","-73.927091","317","41","866","3100340","3046240052","Rugby-Remsen Village"
"Arab American Association of NY","7111 5TH AVE","Brooklyn","NY","11209","2019","32","0","10","3","Community-based organization","Advocacy and organizing, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Health and medicine, Human services, Immigrants and/or refugees, Justice-related, Legal services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Women, Youth (17 or under)","BK","BROOKLYN","40.63238","-74.021444","310","43","130","3146649","3058930010","Bay Ridge"
"ARC XVI FORT WASHINGTON","4111 BROADWAY","New York","NY","10035","2019","60","10","40","10","Senior center- non profit","Senior Services","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities","MN","MANHATTAN","40.845128","-73.938763","112","10","263","1063501","1021420133","Washington Heights South"
"Art and Resistance Through Education (ARTE)","PO Box 82","Brooklyn","NY","11211","2019","20","0","20","0","Community-based organization","Arts and culture, Children and youth related, Human rights, Justice-related","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Youth (17 or under)","BK",,,,,,,,,
"Artists Striving To End Poverty","165 W 46th Street, Suite 1310","New York","NY","10036","2019","29","0","29","0","Community-based organization","Arts and culture, Children and youth related, Education and literacy, Homeless and shelter, Human rights, Human services, Immigrants and/or refugees, Justice-related, LGBTQIA+, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Women, Youth (17 or under)","BK, MN, BX","MANHATTAN","40.758116","-73.983948","105","4","125","1022661","1009990003","Midtown-Midtown South"
"ArtistYear","P.O. Box 2223","Southern Pines","NC","28388","2019","1","0","0","1","Community-based organization","Arts and culture","Low-income populations, Youth (17 or under)","QN",,,,,,,,,
"Asian Americans for Equality","3535 Union St","Flushing","NY","11365","2019","150","100","50","0","Community-based organization","Advocacy and organizing, Employment and workforce development, Immigrants and/or refugees","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Youth (17 or under)","MN, QN","QUEENS","40.76485","-73.827953","407","20","1161",,,"Flushing"
"Asian Community Care Management","224 West 35th Street Suite 705","New York","NY","10001","2019","5","0","5","0","Community-based organization","Health and medicine, Senior Services, Care Management","Homeless, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Youth (17 or under)","All Boroughs","MANHATTAN","40.752034","-73.991053","105","3","109","1014414","1007840060","Midtown-Midtown South"
"Association to Benefit Children","1841 Park Avenue","New York","NY","10035","2019","1000","0","0","0","Community-based organization","Advocacy and organizing, Children and youth related, Education and literacy","Homeless, Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Women, Youth (17 or under)","BK, MN, BX, QN","MANHATTAN","40.80582","-73.938463","111","9","242","1054495","1017750001","East Harlem North"
"Audubon New York","225 Varick Street 7th Floor","New York","NY","10014","2019","16","2","6","8","conservation non-profit","Children and youth related, Education and literacy, Environment and sustainability","Low-income populations, Youth (17 or under)","BK, MN, BX, QN","MANHATTAN","40.729165","-74.00525","102","3","67","1009758","1005810063","West Village"
"Avenues: The World School","259 10th Ave.","New York","NY","10001","2019","300","0","0","0","K-12 Private School","Children and youth related, Education and literacy","Low-income populations, Older adults (60 or older), Youth (17 or under)","MN","MANHATTAN","40.749065","-74.003183","104","3","99","1012384","1006970031","Hudson Yards-Chelsea-Flatiron-Union Square"
"Back on My Feet","115 W 29 Street, Suite 1101","New York","NY","10001","2019","123","0","123","0","Community-based organization","Employment and workforce development, Human services","Justice-involved individuals, Low-income populations, Military/ veteran families, Women","BK, MN","MANHATTAN","40.746965","-73.990772","105","3","95","1015145","1008050039","Midtown-Midtown South"
"Bay Ridge Center, Inc.","411 Ovington Avenue","Brooklyn","NY","11209","2019","500","150","250","100","Community-based organization","Senior Services","Low-income populations, Older adults (60 or older), People with disabilities","BK","BROOKLYN","40.633477","-74.023321","310","43","130","3145772","3058730089","Bay Ridge"
"BCA 6th Ave Neighborhood Senior Center","545 60th Street","Brooklyn","NY","11220","2019","18","0","0","18","Community-based organization","Senior Services","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities","BK","BROOKLYN","40.638869","-74.015137","307","38","102","3337343","3008640001","Sunset Park East"
"Behind the Book","216 West 135th St., Ground Floor","New York","NY","10030","2019","460","0","0","0","Community-based organization","Children and youth related, Education and literacy","Youth (17 or under)","BK, MN, BX","MANHATTAN","40.815595","-73.944411","110","9","228","1058844","1019400039","Central Harlem North-Polo Grounds"
"Bellevue Day Care Center","462 First Ave Room D-100","New York","NY","10016","2019","25","0","20","5","Community-based organization","Children and youth related","Low-income populations","MN","MANHATTAN","40.739497","-73.976624","106","4","62","1086515","1009620100","Murray Hill-Kips Bay"
"Bergen Beach Youth Organization","3000 Fillmore Avenue","Brooklyn","NY","11234","2019","8","0","0","8","Community-based organization","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.608592","-73.937467","318","46","666","3000000","3084960001","park-cemetery-etc-Brooklyn"
"Berkeley College","3 east 43rd Street","New York","NY","10017","2019","300","0","0","0","College and/or university","Animals, Children and youth related, Emergency management and disaster response, Environment and sustainability, Health and medicine, Homeless and shelter, Human services, People with disabilities, Senior Services, Women's issues","Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","BK, MN, BX","MANHATTAN","40.754014","-73.980033","105","4","94","1035356","1012780008","Midtown-Midtown South"
"Beth - Hark Christian Counseling Center, Inc.","2-26 E 120th Street","New York","NY","10035","2019","252","20","218","14","Community-based organization, Faith-based institution","Employment and workforce development, Faith-based, Human services, Emergency Food Program/Counseling","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), Working families","MN, BX, QN","MANHATTAN","40.80298","-73.944541","111","9","198","1087193","1017460002","East Harlem North"
"Big Apple Greeter","1 Centre Street","New York","NY","10007","2019","324","0","70","274","private non-profit organization","Introducing travelers to New York City","Older adults (60 or older), People with disabilities, Women","All Boroughs","MANHATTAN","40.713001","-74.004181","101","1","29","1001394","1001210001","Chinatown"
"Big Brothers Big Sisters of NYC","40 Rector St. 11th Floor","New York","NY","10006","2019","5131","0","5040","91","Community-based organization","Children and youth related, Education and literacy, LGBTQIA+","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Youth (17 or under)","All Boroughs","MANHATTAN","40.708356","-74.014814","101","1","13","1088750","1000557501","Battery Park City-Lower Manhattan"
"Bigs & Littles NYC Mentoring","137 East 2nd Street","New York","NY","10009","2019","251","0","251","0","Community-based organization","Children and youth related, Human services","Immigrants and/or refugees, Low-income populations, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.723247","-73.986359","103","2","3002","1005745","1004290029","East Village"
"Birch Family Services","104 West 29th Street","New York","NY","10001","2019","70","0","55","15","Community-based organization","Advocacy and organizing, Children and youth related, Education and literacy, Employment and workforce development, Human services, People with disabilities","Low-income populations, Older adults (60 or older), People with disabilities, Youth (17 or under)","BK, MN, BX, QN","MANHATTAN","40.746866","-73.990581","105","3","95","1015125","1008040044","Midtown-Midtown South"
"Bloomingdale Aging in Place","P.O. Box 497","New York","NY","10025","2019","200","0","15","185","Volunteer-led group","Senior Services","Older adults (60 or older)","MN",,,,,,,,,
"Blue Engine, Inc.","142 West 57th Street 11th Floor","New York","NY","10019","2019","15","0","0","0","Community-based organization","Education and literacy","Low-income populations, Youth (17 or under)","BX, QN","MANHATTAN","40.765131","-73.979145","105","4","137","1085969","1010097501","Midtown-Midtown South"
"Bonnie Youth Club (aka Bonnie Boys Club)","1221 Church Avenue","Brooklyn","NY","11218","2019","75","20","40","15","Community-based organization","Children and youth related, Sandlot Baseball (5 years to 21 year)/ Education","Low-income populations, Youth (17 or under), 18-21 years old","All Boroughs","BROOKLYN","40.647446","-73.968177","314","40","506","3116396","3050730035","Flatbush"
"Boys & Girls Club of Harlem","521 W 145th St","New York","NY","10031","2019","445","40","350","55","Community-based organization","Children and youth related, Education and literacy","Low-income populations, Youth (17 or under)","MN","MANHATTAN","40.825579","-73.948403","109","7","229","1061933","1020777501","Hamilton Heights"
"Breakthrough New York","123 William Street, 4th Floor","New York","NY","10038","2019","177","0","0","0","Community-based organization","Children and youth related, Education and literacy","Low-income populations, Youth (17 or under)","BK, MN, BX, QN","MANHATTAN","40.709112","-74.006893","101","1","1502","1079063","1000780004","Battery Park City-Lower Manhattan"
"Bridge Street Development Corp","460 Nostrand Ave","Brooklyn","NY","11216","2019","30","0","0","0","Community-based organization","Children and youth related, Employment and workforce development, Senior Services, housing","Low-income populations, Older adults (60 or older), 16-24","BK","BROOKLYN","40.68316","-73.950143","303","36","245","3338711","3018320046","Bedford"
"Bridgefield Civic League, Inc.","3551 Laconia Avenue","The Bronx","NY","10469","2019","30","8","22","5","Community-based organization","Civic engagement (voting, voter registration), Education and literacy, Health and medicine, Women's issues","Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","BX","BRONX","40.875212","-73.854997","212","12","368","2059268","2046940073","Williamsbridge-Olinville"
"Bronx House Weinberg Neighborhood Center","990, PELHAM PARKWAY SOUTH","The Bronx","NY","10461","2019","5","0","0","5","Community-based organization","Senior Services","Low-income populations, Older adults (60 or older)","BX",,,,,,,,,
"Bronx River Alliance","1 Bronx River Parkway","The Bronx","NY","10462","2019","1003","0","0","0","Community-based organization, Public/ Private Partnership","Environment and sustainability","Low-income populations","BX","BRONX","40.847238","-73.87133","227","15","334","2101002","2043330001","park-cemetery-etc-Bronx"
"Bronx Rockets","1711 Townsend Ave","The Bronx","NY","10453","2019","25","0","20","5","Community-based organization","Advocacy and organizing, Human services, Senior Services, Wellness And Fitness","Diversity community","BX","BRONX","40.846524","-73.912051","205","14","22701","2008183","2028490033","Mount Hope"
"Bronx Sole","2719 Sedgwick Ave., APT 2E","The Bronx","NY","10468","2019","10","4","6","0","Community-based organization","Advocacy and organizing, Animals, Arts and culture, Children and youth related, Education and literacy, Environment and sustainability, Human rights, LGBTQIA+, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","BX","BRONX","40.870253","-73.902908","208","14","273","2092455","2032530063","Van Cortlandt Village"
"Brookdale University Hospital Medical Center","One Brookdale Plaza","Brooklyn","NY","11212","2019","695","0","0","0","Hospital","Health and medicine","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), ALL","BK",,,,,,,,,
"Brooklyn Bar Association Volunteer Lawyers Project","44 Court Street","Brooklyn","NY","11201","2019","258","0","251","7","legal services organization","Justice-related, Legal services, Senior Services","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK","BROOKLYN","40.692591","-73.990963","302","33","9","3002242","3002550001","Brooklyn Heights-Cobble Hill"
"Brooklyn Botanic Garden","1000 Washington Ave.","Brooklyn","NY","11225","2019","1044","0","0","0","Cultural Institution","Arts and culture, Children and youth related, Environment and sustainability","People with disabilities, Youth (17 or under)","BK","BROOKLYN","40.667533","-73.96179","355","35","177","3337842","3011830001","park-cemetery-etc-Brooklyn"
"Brooklyn Bridge Park Conservancy","334 Furman Street","Brooklyn","NY","11201","2019","814","0","0","0","Non Profit","Arts and culture, Environment and sustainability, People with disabilities","People with disabilities, Youth (17 or under)","BK","BROOKLYN","40.693999","-73.999196","302","33","301","3423338","3002450015","Brooklyn Heights-Cobble Hill"
"Brooklyn College","2900 BEDFORD AVE.","Brooklyn","NY","11214","2019","187","0","187","0","College and/or university","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Homeless and shelter, Immigrants and/or refugees","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, People with disabilities","BK","BROOKLYN","40.631691000000004","-73.952656","314","45","772","3347326","3075520100","Flatbush"
"Brooklyn Community Services","151 Lawrence Street, Fl. 4","Brooklyn","NY","11201","2019","474","0","0","0","Community-based organization","Children and youth related, Education and literacy, Employment and workforce development, Homeless and shelter, Human services, People with disabilities","Homeless, Low-income populations, People with disabilities, Women, Youth (17 or under)","BK","BROOKLYN","40.691506","-73.986297","302","33","11","3000404","3001520006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Brooklyn Public Library","10 Grand Army Plaza","Brooklyn","NY","11238","2019","2031","0","0","0","Nonprofit Organization","Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Homeless and shelter, Immigrants and/or refugees, People with disabilities, Senior Services","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK","BROOKLYN","40.672833","-73.969069","355","35","177","3029665","3011830002","park-cemetery-etc-Brooklyn"
"Brooks Senior Center","143-22 109th ave,","Jamaica","NY","11435","2019","24","0","0","24","Community-based organization","Arts and culture, Education and literacy, Senior Services","Older adults (60 or older)","QN","QUEENS","40.688564","-73.803554","412","28","196","4257866","4119330001","South Jamaica"
"Buddhist Tzu Chi Foundation","137-77 Northern Blvd.","Flushing","NY","11354","2019","850","100","200","550","Faith-based institution","Advocacy and organizing, Arts and culture, Education and literacy, Emergency management and disaster response, Environment and sustainability, Faith-based, Health and medicine, Human services, Immigrants and/or refugees, People with disabilities, Senior Services","Immigrants and/or refugees, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","QUEENS","40.763855","-73.828522","407","20","869","4112180","4049610005","Flushing"
"buildOn","8 West 126th St","New York","NY","10027","2019","3019","0","0","0","Non-profit",,"LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BX","MANHATTAN","40.80734","-73.942384","110","9","200","1089797","1017230031","Central Harlem South"
"Bushwick Hylan","50 Humboldt Street, Bushwick Hylan Community Center","Brooklyn","NY","11206","2019","15","0","3","12","Community-based organization","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.703179","-73.940761","301","34","489","3338434","3031290001","Bushwick South"
"Business United in Investing Lending and Development (Build)","1460 Broadway","New York","NY","10022","2019","329","0","0","0","Community-based organization","Children and youth related, Education and literacy, Career Development","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Youth (17 or under)","BK, MN, SI, BX","MANHATTAN","40.754946","-73.986161","105","4","113","1022573","1009947504","Midtown-Midtown South"
"CAMBA","1720 Church Avenue","Brooklyn","NY","11209","2019","2000","0","0","0","Community-based organization","Education and literacy, Employment and workforce development, Health and medicine, Human rights, Human services, Immigrants and/or refugees, LGBTQIA+, Legal services, People with disabilities, Women's issues, HIV+ Individuals","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Women, Youth (17 or under)","All Boroughs","BROOKLYN","40.649339","-73.963307","314","40","512","3341487","3050970085","Flatbush"
"Canaan Senior Service Center","1428 Fifth Avenue","New York","NY","10035","2019","10","0","1","9","Senior Center","Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Environment and sustainability, Health and medicine, Human services, People with disabilities, Senior Services, Women's issues, Technology","Older adults (60 or older)","MN, BX","MANHATTAN","40.80115","-73.946121","110","9","190","1051430","1016000021","Central Harlem South"
"Catholic Charities - Glenwood Senior Center","5701 Avenue H","Brooklyn","NY","11234","2019","32","0","0","32","Senior Center","Advocacy and organizing, Arts and culture, Education and literacy, Senior Services","Low-income populations, Older adults (60 or older)","BK","BROOKLYN","40.633288","-73.921555","318","45","94402","3331006","3079780001","Flatlands"
"Catholic Charities Brooklyn And Queens - Catholic Charities Neighborhood Services","191 Joralemon Street","Brooklyn","NY","11201","2019","400","10","310","90","Community-based organization, Faith-based institution","Advocacy and organizing, Children and youth related, Education and literacy, Emergency management and disaster response, Employment and workforce development, Faith-based, Health and medicine, Homeless and shelter, Human rights, Human services, Immigrants and/or refugees, Justice-related, Legal services, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK, QN","BROOKLYN","40.692671","-73.991785","302","33","9","3002244","3002550008","Brooklyn Heights-Cobble Hill"
"Catholic Charities Community Services","1011 First Avenue, 11th Floor","New York","NY","10022","2019","2674","0","0","0","Faith-based institution","We serve all New Yorkers in need","We serve all New Yorkers in need","MN, SI, BX","MANHATTAN","40.757271","-73.963692","106","5","108","1039972","1013480023","Turtle Bay-East Midtown"
"CCNS Seaside Senior Center","320 Beach 94th Street","Rockaway Beach","NY","11693","2019","80","40","20","20","Community-based organization","Advocacy and organizing, Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Employment and workforce development, Faith-based, Human services, Immigrants and/or refugees, Justice-related, LGBTQIA+, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","QN","QUEENS","40.5877","-73.817309","414","32","94202","4303571","4161260004","Hammels-Arverne-Edgemere"
"CCNS St. Charles Jubilee Senior Center","55 Pierrepont St","Brooklyn","NY","11201","2019","20","3","2","15","Community-based organization","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.695783","-73.995117","302","33","501","3001825","3002367502","Brooklyn Heights-Cobble Hill"
"Center for Family Life - SCO Family of Services","443 - 39th Street, Suite #3","Brooklyn","NY","11232","2019","600","450","125","25","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Environment and sustainability, Human rights, Human services, Immigrants and/or refugees, Justice-related, Legal services","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Youth (17 or under)","BK",,,,,,,,,
"Center for Independence of the Disabled, NY","841 Broadway, Suite 301","New York","NY","10003","2019","15","1","14","0","Community-based organization","Advocacy and organizing, Human rights, People with disabilities","Justice-involved individuals, LGBTQIA+, Low-income populations, People with disabilities, Women","BK, MN, SI, QN","MANHATTAN","40.734243","-73.990896","102","2","61","1080132","1005650015","West Village"
"CenterLight Health System, Inc.","1525 Unionport Rd, apt ME","The Bronx","NY","10462","2019","15","1","1","13","Community-based organization","Senior Services","Older adults (60 or older)","BX","BRONX","40.836585","-73.856898","209","18","212","2096653","2039387501","Parkchester"
"Central Park Conservancy","14 East 60th Street","New York","NY","10022","2019","3809","1080","0","0","Not-for-Profit Organization","Promoting Stewardship of the Park","Our Volunteers help all visitors to the Park","MN","MANHATTAN","40.76438","-73.971362","108","4","11401","1040763","1013740060","Upper East Side-Carnegie Hill"
"Chai Lifeline","151 W 30th Street","New York","NY","10001","2019","3777","0","0","0","Community-based organization, Volunteer-led group","Children and youth related, Health and medicine, Human services, People with disabilities","People with disabilities, Youth (17 or under)","All Boroughs","MANHATTAN","40.74789","-73.991053","105","3","101","1015157","1008060006","Midtown-Midtown South"
"Change For Kids","110 East 23rd Street, 5th Floor","New York","NY","10010","2019","300","0","0","0","Non-profit","Children and youth related, Education and literacy, Agency for Youth","Homeless, Low-income populations, Youth (17 or under)","All Boroughs","MANHATTAN","40.739913","-73.985732","105","2","68","1080807","1008780069","Gramercy"
"CHAZAQ","141-24 Jewel Ave","Flushing","NY","11367","2019","65","0","0","0","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Faith-based, Immigrants and/or refugees, Senior Services, Women's issues","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","QN","QUEENS","40.729843","-73.824045","408","24","77902","4143179","4066160036","Kew Gardens Hills"
"Chelsea Film Festival","115 Norfolk Street, Apt 504","New York","NY","10002","2019","100","0","100","0","Film Festival","Animals, Arts and culture, Environment and sustainability, LGBTQIA+, Women's issues","LGBTQIA+, Women","MN","MANHATTAN","40.719143","-73.986984","103","1","18","1088708","1003537503","Chinatown"
"Chhaya Community Development Corporation","3743 77th St Fl 2","Jackson Heights","NY","11372","2019","50","3","47","0","Community-based organization","Advocacy and organizing, Civic engagement (voting, voter registration), Human services, Immigrants and/or refugees","Immigrants and/or refugees, Low-income populations","QN","QUEENS","40.747993","-73.888827","403","25","287","4029909","4012880059","Jackson Heights"
"Children of Promise, NYC","54 MacDonough St","Brooklyn","NY","11216","2019","231","10","6","215","Community-based organization","Children and youth related, Health and medicine","Youth (17 or under)","BK","BROOKLYN","40.680929","-73.944383","303","36","269","3053461","3018540025","Bedford"
"Children's Aid","711 Third Avenue, Suite 700","New York","NY","10017","2019","495","0","0","0","Community-based organization","Children and youth related, Education and literacy, Employment and workforce development, Health and medicine, Human services, poverty","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, People with disabilities, Youth (17 or under)","MN, SI, BX","MANHATTAN","40.752374","-73.973266","106","4","90","1037568","1013180001","Turtle Bay-East Midtown"
