"providertype","dfta_id","programname","sponsorname","programaddress","programcity","programstate","programzipcode","borough","programphone","dfta_funded","monhouropen","monhourclose","tuehouropen","tuehourclose","wedhouropen","wedhourclose","thuhouropen","thuhourclose","frihouropen","frihourclose","sathouropen","sathourclose","sunhouropen","sunhourclose","latitude","longitude","communityboard","councildist","censustract","bin","bbl","nta","location1"
"SENIOR CENTER CONTRACTS","43501","JSPOA Friendship Neighborhood Senior Center","JAMAICA SERVICE PROGRAM FOR OLDER ADULTS INC","92-33 170TH STREET","JAMAICA","NY","11433","QUEENS","718-657-6540","Y",,,,,,,,,,,,,,,"40.706193","-73.789136","412","27","444","4457492","4102120033","Jamaica","POINT (-73.789136 40.706193)"
"SENIOR CENTER CONTRACTS","3AP01","SAGE HARLEM","SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND","220 WEST 143RD STREET","NEW YORK","NY","10030","MANHATTAN","646-660-8951","Y",,,,,,,,,,,,,,,"40.8208","-73.94113","110","09","232","1086084","1020280016","Central Harlem North-Polo Grounds","POINT (-73.94113 40.8208)"
"SENIOR CENTER CONTRACTS","28701","CYPRESS HILLS FULTON ST NBH SR CTZ CTR","CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC","3208 FULTON STREET","BROOKLYN","NY","11208","BROOKLYN","7182350064","Y",,,,,,,,,,,,,,,"40.682337","-73.876771","305","37","1178","3092631","3041400013","Cypress Hills-City Line","POINT (-73.876771 40.682337)"
"ELDER ABUSE SERVICES CONTRACTS","3E201","CARTER BURDEN ELDER ABUSE","CARTER BURDEN NETWORK INC.","1484 FIRST AVENUE","NEW YORK","NY","10021","MANHATTAN","212-879-7400","Y",,,,,,,,,,,,,,,,,"108","05",,"1081248","1014720003",,
"SENIOR CENTER CONTRACTS","15G01","BronxWorks Innovative Senior Center","BRONXWORKS INC","80 EAST 181ST STREET","BRONX","NY","10453","BRONX","718-933-5300","Y",,,,,,,,,,,,,,,"40.855076","-73.904199","205","14","241","2013953","2031780032","Mount Hope","POINT (-73.904199 40.855076)"
"CAREGIVER SERVICES CONTRACTS","2K401","HEIGHTS AND HILL CAREGIVER PROGRAM","HEIGHTS AND HILLS INC.","81 WILLOUGHBY STREET","BROOKLYN","NY","11201","BROOKLYN","718-596-8789","Y",,,,,,,,,,,,,,,,,"302","33",,"3000350","3001480046",,
"SENIOR CENTER CONTRACTS","32B01","UNIVERSITY SETTLEMENT NSC","UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK","189 ALLEN STREET","NEW YORK","NY","10002","MANHATTAN","212-473-8217","Y",,,,,,,,,,,,,,,"40.722133","-73.988964","103","01","3601","1005537","1004170001","Chinatown","POINT (-73.988964 40.722133)"
"SENIOR CENTER CONTRACTS","43U01","SAMUEL FIELD NEIGHBORHOOD SENIOR CENTER","SAMUEL FIELD YM & YWHA INC","58-20 LITTLE NECK PARKWAY","FLUSHING","NY","11362","QUEENS","718-225-6750","Y",,,,,,,,,,,,,,,"40.761577","-73.723122","411","23","152902","4173029","4083520051","Douglas Manor-Douglaston-Little Neck","POINT (-73.723122 40.761577)"
"CASE MANAGEMENT SERVICES CONTRACTS","4ME01","SELFHELP PROJECT QUEENS","SELFHELP COMMUNITY SERVICES INC","45-25 KISSENA BOULEVARD","FLUSHING","NY","11355","QUEENS","718-321-8194","Y",,,,,,,,,,,,,,,"40.751765","-73.820331","407","20","1205","4117390","4052000052","East Flushing","POINT (-73.820331 40.751765)"
"SENIOR CENTER CONTRACTS","10M02","SUE GINSBURG SENIOR CENTER","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","975 WARING AVENUE","BRONX","NY","10469","BRONX","718-881-1758","Y",,,,,,,,,,,,,,,"40.861211","-73.859709","211","13","324","2093415","2044440001","Bronxdale","POINT (-73.859709 40.861211)"
"SENIOR CENTER CONTRACTS","44U01","BROOKVILLE NSC","SERVICES NOW FOR ADULT PERSONS INC","133-33 BROOKVILLE BOULEVARD","JAMAICA","NY","11422","QUEENS","718-525-8899","Y",,,,,,,,,,,,,,,"40.674396","-73.732749","413","31","61602","4279577","4129800001","Rosedale","POINT (-73.732749 40.674396)"
"SENIOR CENTER CONTRACTS","30A03","Ralph J. Rangel Social Club","COTHOA LUNCHEON CLUB INC","159-36 HARLEM RIVER DRIVE","NEW YORK","NY","10039","MANHATTAN","646-918-7570","Y",,,,,,,,,,,,,,,"40.833365","-73.935456","110","09","24302","1084184","1021060320","Central Harlem North-Polo Grounds","POINT (-73.935456 40.833365)"
"SENIOR CENTER CONTRACTS","64901","SAGE Innovative Senior Center","SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND","305 SEVENTH AVENUE","NEW YORK","NY","10001","MANHATTAN","212-741-2247","Y",,,,,,,,,,,,,,,"40.746817","-73.993655","105","03","95","1015060","1008037502","Midtown-Midtown South","POINT (-73.993655 40.746817)"
"SENIOR CENTER CONTRACTS","28G01","Ridgewood Bushwick Innovative Senior Center","RISEBORO COMMUNITY PARTNERSHIP INC","9 NOLL STREET","BROOKLYN","NY","11206","BROOKLYN","718-782-3601","Y",,,,,,,,,,,,,,,"40.700163","-73.935675","304","34","391","3387594","3031450100","Bushwick South","POINT (-73.935675 40.700163)"
"SENIOR CENTER CONTRACTS","32Y02","DOUGLAS SOCIAL CLUB","WEST SIDE FEDERATION FOR SENIOR AND SUPPORTIVE HOUSING INC","868 AMSTERDAM AVENUE","NEW YORK","NY","10025","MANHATTAN","646-214-2560","Y",,,,,,,,,,,,,,,"40.798169","-73.967371","107","07","191","1079429","1018740029","Upper West Side","POINT (-73.967371 40.798169)"
"SENIOR CENTER CONTRACTS","20203","SETH LOW SOCIAL CLUB","FORT GREENE COUNCIL","137 BELMONT AVENUE","BROOKLYN","NY","11212","BROOKLYN","718-485-4991","Y",,,,,,,,,,,,,,,"40.669205","-73.905172","316","41","908","3327015","3037270001","Brownsville","POINT (-73.905172 40.669205)"
"SENIOR CENTER CONTRACTS","44001","BROOKDALE NSC","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","131 BEACH 19TH STREET","FAR ROCKAWAY","NY","11691","QUEENS","718-471-3200","Y",,,,,,,,,,,,,,,"40.593761","-73.753207","414","31","99802","4301622","4158100055","Far Rockaway-Bayswater","POINT (-73.753207 40.593761)"
"SENIOR CENTER CONTRACTS","20Q01","INDEPENDENCE NEIGHBORHOOD SENIOR CENTER","BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU","114 TAYLOR STREET","BROOKLYN","NY","11211","BROOKLYN","718-388-9242","Y",,,,,,,,,,,,,,,"40.705508","-73.963702","301","33","545","3059905","3021760001","Williamsburg","POINT (-73.963702 40.705508)"
"HOME DELIVERED MEAL SERVICE CONTRACTS","29H01","RIDGEWOOD BUSHWICK HOME DELIVERED MEALS","RISEBORO COMMUNITY PARTNERSHIP INC","565 Bushwick Avenue","BROOKLYN","NY","11206","BROOKLYN","718-782-6334","Y",,,,,,,,,,,,,,,"40.704366","-73.943775","301","34","491","3071447","3030960030","East Williamsburg","POINT (-73.943775 40.704366)"
"SENIOR CENTER CONTRACTS","43101","SELFHELP CLEARVIEW NSC","SELFHELP COMMUNITY SERVICES INC","208-11 26TH AVENUE","FLUSHING","NY","11360","QUEENS","718-224-7888","Y",,,,,,,,,,,,,,,"40.776381","-73.783798","407","19","99704","4130866","4058630250","Ft. Totten-Bay Terrace-Clearview","POINT (-73.783798 40.776381)"
"SENIOR CENTER CONTRACTS","23L01","CCNS ST CHARLES NEIGHBORHOOD SENIOR CENT","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC","55 PIERREPONT STREET","BROOKLYN","NY","11201","BROOKLYN","718-855-0326","Y",,,,,,,,,,,,,,,"40.695783","-73.995117","302","33","501","3001825","3002367502","Brooklyn Heights-Cobble Hill","POINT (-73.995117 40.695783)"
"SENIOR CENTERS HOME DELIVERED MEAL SERVICE CONTRACTS","32T04","PSS HARLEM NEIGHBORHOOD SENIOR CENTER","PRESBYTERIAN SENIOR SERVICES","18 MT. MORRIS PARK WEST","NEW YORK","NY","10027","MANHATTAN","212-222-3132","Y",,,,,,,,,,,,,,,"40.804822","-73.945457","111","09","198","1083967","1017190001","East Harlem North","POINT (-73.945457 40.804822)"
"SENIOR CENTER CONTRACTS","32P01","LENOX HILL NEIGHBORHOOD SENIOR CENTER","LENOX HILL NEIGHBORHOOD HOUSE INC","619 LEXINGTON AVENUE","NEW YORK","NY","10022","MANHATTAN","212-308-1959","Y",,,,,,,,,,,,,,,"40.758698","-73.970744","106","04","100","1036474","1013087501","Turtle Bay-East Midtown","POINT (-73.970744 40.758698)"
"SENIOR CENTER CONTRACTS","12E01","MOSHOLU MONTEFIORE NEIGHBORHOOD SR CT","CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMMUNIT","3450 DEKALB AVENUE","BRONX","NY","10467","BRONX","718-798-6601","Y",,,,,,,,,,,,,,,"40.881486","-73.881226","207","11","421","2096396","2033270001","Norwood","POINT (-73.881226 40.881486)"
"SENIOR CENTER CONTRACTS","21F01","RED HOOK NEIGHBORHOOD SENIOR CENTER","SPANISH SPEAKING ELDERLY COUNCIL RAICES INC.","120 West 9th Street","BROOKLYN","NY","11231","BROOKLYN","718-269-0519","Y",,,,,,,,,,,,,,,"40.675925","-74.001961","306","38","85","3339412","3005380001","Carroll Gardens-Columbia Street-Red Hook","POINT (-74.001961 40.675925)"
"SENIOR CENTER CONTRACTS","22T01","JAY-HARAMA NEIGHBORHOOD SENIOR CENTER","JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC","2600 OCEAN AVENUE","BROOKLYN","NY","11229","BROOKLYN","718-891-1110","Y",,,,,,,,,,,,,,,"40.598158","-73.951186","315","48","578","3199766","3073520032","Madison","POINT (-73.951186 40.598158)"
"SENIOR CENTER CONTRACTS","12M01","RAIN MT CARMEL NEIGHBORHOOD SENIOR CTR","REGIONAL AID FOR INTERIM NEEDS INC","2405 SOUTHERN BLVD","BRONX","NY","10458","BRONX","718-733-8852","Y",,,,,,,,,,,,,,,"40.853773","-73.881558","206","15","393","2013061","2031150005","Belmont","POINT (-73.881558 40.853773)"
"HOME DELIVERED MEAL SERVICE CONTRACTS","46J01","SNAP HOME DELIVERED MEALS","SERVICES NOW FOR ADULT PERSONS INC","80-45 WINCHESTER BOULEVARD","JAMAICA","NY","11427","QUEENS","718-454-2385","Y",,,,,,,,,,,,,,,"40.737685","-73.734021","413","23","1567","4537294","4078800400","Bellerose","POINT (-73.734021 40.737685)"
"CASE MANAGEMENT SERVICES CONTRACTS","4MH01","JASA CASE MANAGEMENT-QN 7","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","131 BEACH 19TH STREET","FAR ROCKAWAY","NY","11691","QUEENS","718-713-3413","Y",,,,,,,,,,,,,,,"40.593761","-73.753207","414","31","99802","4301622","4158100055","Far Rockaway-Bayswater","POINT (-73.753207 40.593761)"
"SENIOR CENTER CONTRACTS","20601","KRAKUS LUNCHEON CLUB NEIGHBORHOOD SC","POLISH & SLAVIC CENTER INC","176 JAVA STREET","BROOKLYN","NY","11222","BROOKLYN","718-383-3324","Y",,,,,,,,,,,,,,,"40.731692","-73.953577","301","33","575","3064615","3025510014","Greenpoint","POINT (-73.953577 40.731692)"
"LEGAL SERVICES CONTRACTS","40A01","JASA LEGAL SERVICES","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","97-77 QUEENS BOULEVARD","FLUSHING","NY","11374","QUEENS","718-286-1500","Y",,,,,,,,,,,,,,,"40.728721","-73.858501","406","29","71701","4050482","4020920001","Rego Park","POINT (-73.858501 40.728721)"
"SENIOR CENTER CONTRACTS","11M01","RAIN BOSTON EAST NEIGHBORHOOD SENIOR CT","REGIONAL AID FOR INTERIM NEEDS INC","3450 BOSTON ROAD","BRONX","NY","10469","BRONX","718-654-9200","Y",,,,,,,,,,,,,,,"40.876304","-73.848594","212","12","364","2060739","2047370105","Eastchester-Edenwald-Baychester","POINT (-73.848594 40.876304)"
"HOME DELIVERED MEAL SERVICE CONTRACTS","29F01","BAYRIDGE HOME DELIVERED MEALS","BAY RIDGE CENTER INC d/b/a BAY RIDGE CENTER","411 OVINGTON AVENUE","BROOKLYN","NY","11209","BROOKLYN","718-748-0650","Y",,,,,,,,,,,,,,,"40.633477","-74.023321","310","43","130","3145772","3058730089","Bay Ridge","POINT (-74.023321 40.633477)"
"SENIOR CENTER CONTRACTS","30A01","COTHOA LUNCHEON CLUB NEIGHBORHOOD SC","COTHOA LUNCHEON CLUB INC","2005 AMSTERDAM AVENUE","NEW YORK","NY","10032","MANHATTAN","212-781-6580","Y",,,,,,,,,,,,,,,"40.834326","-73.940952","112","10","245","1062531","1021090003","Washington Heights South","POINT (-73.940952 40.834326)"
"SENIOR CENTER CONTRACTS","40901","FOREST HILLS NEIGHBORHOOD SENIOR CENTER","QUEENS COMMUNITY HOUSE INC.","108-25 62ND DRIVE","FLUSHING","NY","11375","QUEENS","718-699-1010","Y",,,,,,,,,,,,,,,"40.73591","-73.850212","406","29","745","4432108","4021590002","Forest Hills","POINT (-73.850212 40.73591)"
"SENIOR CENTER CONTRACTS","20B01","SHALOM NEIGHBORHOOD SENIOR CENTER","CROWN HEIGHTS PRESERVATION CORP","483 ALBANY AVENUE","BROOKLYN","NY","11203","BROOKLYN","718-774-9213","Y",,,,,,,,,,,,,,,"40.663388","-73.939975","309","41","331","3038418","3014267501","Crown Heights South","POINT (-73.939975 40.663388)"
"LEGAL SERVICES CONTRACTS","20I01","SOUTH BROOKLYN LEGAL SERVICES INC","BROOKLYN LEGAL SERVICES INC","105 Court Street","BROOKLYN","NY","11201","BROOKLYN","646-442-3563","Y",,,,,,,,,,,,,,,"40.690793","-73.991825","302","33","9","3002702","3002710023","Brooklyn Heights-Cobble Hill","POINT (-73.991825 40.690793)"
"SENIOR CENTER CONTRACTS","32301","EAST HARLEM NEIGHBORHOOD SENIOR CENTER","EAST HARLEM COUNCIL FOR HUMAN SERVICES INC","150 EAST 121ST STREET","NEW YORK","NY","10035","MANHATTAN","212-722-2205","Y",,,,,,,,,,,,,,,"40.801704","-73.939037","111","08","196","1054378","1017690021","East Harlem North","POINT (-73.939037 40.801704)"
"SENIOR CENTER CONTRACTS","23F01","TOMPKINS PARK NEIGHBORHOOD SENIOR CENTER","WAYSIDE OUT-REACH DEVELOPMENT INC","550 GREENE AVENUE","BROOKLYN","NY","11216","BROOKLYN","718-638-3000","Y",,,,,,,,,,,,,,,"40.688666","-73.948775","303","36","251","3050417","3017980040","Bedford","POINT (-73.948775 40.688666)"
"SENIOR CENTER CONTRACTS","10I01","PSS DAVIDSON NEIGHBORHOOD SENIOR CENTE","PRESBYTERIAN SENIOR SERVICES","950 UNION AVENUE","BRONX","NY","10459","BRONX","718-328-2811","Y",,,,,,,,,,,,,,,"40.822812","-73.901821","203","17","12901","2005015","2026780001","Longwood","POINT (-73.901821 40.822812)"
"SENIOR CENTER CONTRACTS","53701","NEW LANE NEIGHBORHOOD SENIOR CENTER","COMMUNITY AGENCY FOR SENIOR CITIZENS INC","70 NEW LANE","STATEN ISLAND","NY","10305","STATEN ISLAND","718-448-5936","Y",,,,,,,,,,,,,,,"40.612811","-74.062256","501","49","6","5042254","5028320068","Stapleton-Rosebank","POINT (-74.062256 40.612811)"
"SENIOR CENTER CONTRACTS","34103","Beatrice Lewis","CENTRAL HARLEM SENIOR CITIZENS CENTERS INC.","34 WEST 134TH STREET","NEW YORK","NY","10037","MANHATTAN","212-289-9155","Y",,,,,,,,,,,,,,,"40.812702","-73.939645","110","09","212","1083984","1017300016","Central Harlem North-Polo Grounds","POINT (-73.939645 40.812702)"
"SENIOR CENTER CONTRACTS","21N01","HUGH GILROY NEIGHBORHOOD SENIOR CENTER","FORT GREENE COUNCIL","447 Kingsborough 4th Walk","BROOKLYN","NY","11233","BROOKLYN","718-756-8400","Y",,,,,,,,,,,,,,,"40.675242","-73.924931","308","41","307","3035751","3013440175","Crown Heights North","POINT (-73.924931 40.675242)"
"SENIOR CENTER CONTRACTS","17801","HOPE OF ISRAEL NEIGHBORHOOD SENIOR CTR","HOPE OF ISRAEL SENIOR CITIZENS CENTER INC","1068 GERARD AVENUE","BRONX","NY","10452","BRONX","718-665-8400","Y",,,,,,,,,,,,,,,"40.832289","-73.922123","204","16","195","2002944","2024780007","West Concourse","POINT (-73.922123 40.832289)"
"SENIOR CENTER CONTRACTS","25901","PENN WORTMAN NEIGHBORHOOD SENIOR CENTER","BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION DBA MILLENNIU","895 PENNSYLVANIA AVENUE","BROOKLYN","NY","11207","BROOKLYN","347-318-3770","Y",,,,,,,,,,,,,,,"40.655966","-73.888652","305","42","1104","3324011","3043690001","East New York","POINT (-73.888652 40.655966)"
"SENIOR CENTER CONTRACTS","33703","UJC Extended Services","UNITED JEWISH COUNCIL OF THE EAST SIDE INC","465 Grand Street","NEW YORK","NY","10002","MANHATTAN","212-233-6037","Y",,,,,,,,,,,,,,,"40.715133","-73.984031","103","01","1401","1004056","1003150070","Lower East Side","POINT (-73.984031 40.715133)"
"SENIOR CENTER CONTRACTS","33701","UJC ADULT LUNCHEON CLUB NSC","UNITED JEWISH COUNCIL OF THE EAST SIDE INC","15 BIALYSTOKER PLACE","NEW YORK","NY","10002","MANHATTAN","212-673-9328","Y",,,,,,,,,,,,,,,"40.71566","-73.982977","103","01","12","1088884","1003360005","Lower East Side","POINT (-73.982977 40.71566)"
"HOME DELIVERED MEAL SERVICE CONTRACTS","46R01","QUEENS COMM HOUSE HOME DELIVERED MEALS","QUEENS COMMUNITY HOUSE INC.","108-25 62nd DRIVE","FLUSHING","NY","11375","QUEENS","718-592-5757","Y",,,,,,,,,,,,,,,"40.73591","-73.850212","406","29","745","4432108","4021590002","Forest Hills","POINT (-73.850212 40.73591)"
"SENIOR CENTER CONTRACTS","1A601","PSS HIGHBRIDGE NEIGHBORHOOD SENIOR CENTE","PRESBYTERIAN SENIOR SERVICES","1181 NELSON AVENUE","BRONX","NY","10452","BRONX","718-588-3004","Y",,,,,,,,,,,,,,,"40.837232","-73.925706","204","16","199","2003301","2025160051","Highbridge","POINT (-73.925706 40.837232)"
"SENIOR CENTER CONTRACTS","26401","SHOREFRONT NEIGHBORHOOD SENIOR CENTER","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","3300 CONEY ISLAND AVENUE","BROOKLYN","NY","11235","BROOKLYN","718-646-1444","Y",,,,,,,,,,,,,,,"40.575607","-73.959463","313","48","36002","3326880","3086930001","Brighton Beach","POINT (-73.959463 40.575607)"
"SENIOR CENTER CONTRACTS","22B01","SUNSET PARK NEIGHBORHOOD SENIOR CENTER","SUNSET PARK HEALTH COUNCIL INC d/b/a FAMILY HEALTH CENTERS A","4520 4TH AVENUE","BROOKLYN","NY","11220","BROOKLYN","718-210-1050","Y",,,,,,,,,,,,,,,"40.649111","-74.009845","307","38","80","3324373","3007460039","Sunset Park West","POINT (-74.009845 40.649111)"
"SENIOR CENTER CONTRACTS","31J01","JEFFERSON HOUSES NSC","UNION SETTLEMENT ASSOCIATION","2205 FIRST AVENUE","NEW YORK","NY","10029","MANHATTAN","212-828-6104","Y",,,,,,,,,,,,,,,"40.794319","-73.93665","111","08","180","1081091","1016840001","East Harlem North","POINT (-73.93665 40.794319)"
"SENIOR CENTER CONTRACTS","43Q01","HOLLISWOOD NSC","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","86-25 FRANCIS LEWIS BOULEVARD","JAMAICA","NY","11427","QUEENS","718-454-6157","Y",,,,,,,,,,,,,,,"40.724948","-73.765107","408","23","492","4226088","4106000019","Jamaica Estates-Holliswood","POINT (-73.765107 40.724948)"
"SENIOR CENTER CONTRACTS","21401","CCNS NORTHSIDE NEIGHBORHOOD SENIOR CTR","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC","179 NORTH 6TH STREET","BROOKLYN","NY","11211","BROOKLYN","718-387-2316","Y",,,,,,,,,,,,,,,"40.716685","-73.957339","301","33","553","3062100","3023280025","North Side-South Side","POINT (-73.957339 40.716685)"
"SENIOR CENTER CONTRACTS","41601","THE YOUNG ISRAEL OF FOREST HILLS NSC","YOUNG ISRAEL PROGRAMS INC","68-07 BURNS STREET","FLUSHING","NY","11375","QUEENS","718-520-2305","Y",,,,,,,,,,,,,,,"40.721357","-73.851655","406","29","711","4077448","4032340089","Forest Hills","POINT (-73.851655 40.721357)"
"SENIOR CENTER CONTRACTS","32N01","JOHN PAUL II FRIENDSHIP NEIGHBORHOOD SC","POLISH & SLAVIC CENTER INC","103 EAST 7TH STREET","NEW YORK","NY","10009","MANHATTAN","212-673-7704","Y",,,,,,,,,,,,,,,"40.726683","-73.985016","103","02","32","1005851","1004350049","East Village","POINT (-73.985016 40.726683)"
"SENIOR CENTER CONTRACTS","44301","ROCKAWAY PARK NSC","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","106-20 Shore Front Parkway","FAR ROCKAWAY","NY","11694","QUEENS","718-634-3044","Y",,,,,,,,,,,,,,,"40.580723","-73.826713","414","32","938","4303818","4161770035","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel","POINT (-73.826713 40.580723)"
"SENIOR CENTER CONTRACTS","24A01","ROUNDTABLE NEIGHBORHOOD SENIOR CENTER","RISEBORO COMMUNITY PARTNERSHIP INC","1175 GATES AVENUE","BROOKLYN","NY","11221","BROOKLYN","718-443-1903","Y",,,,,,,,,,,,,,,"40.691707","-73.919907","304","34","399","3076253","3033310025","Bushwick South","POINT (-73.919907 40.691707)"
"SENIOR CENTER CONTRACTS","29101","COUNCIL CENTER FOR SENIOR CITIZENS NSC","BROOKLYN SECTION NATIONAL COUNCIL OF JEWISH WOMEN INC.","1001 QUENTIN ROAD","BROOKLYN","NY","11223","BROOKLYN","718-627-7680","Y",,,,,,,,,,,,,,,"40.607755","-73.962822","315","44","420","3176314","3066420045","Homecrest","POINT (-73.962822 40.607755)"
