"fiscal_year_2","source_2","council_member_2","legal_name_2","ein_2","status_2","amount_2","agency_2","program_name_2","street_address_1_2","street_address_2_2","zip_code_2","purpose_of_funds_2","fiscal_conduit_name_2","fc_ein_2","location_1_2","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"2011","Local","Rose","Friends of Alice Austen House, Inc. (Alice Austen House Museum)","13-3248928","Cleared","5000.00","DCA",,"2 Hyland Boulevard",,"10305","To fund their photography education programs. ",,,"2 Hyland Boulevard
Staten Island, NY 10305
(40.5989999996504, -74.07516999999535)",,,,,,,,,
"2012","Council of School Supervisors and Administrators",,"Council of School Supervisors and Administrators","112024569-","Cleared","300000.00","DOE",,,,,,,,,,,,,,,,,
"2011","Local","Lander","Outstanding Renewal Enterprises, Inc.","13-3320984","Cleared","3500.00","DSNY",,"PO Box 20488",,"10009","To implement electronic waste recycling events.",,,"PO Box 20488
New York, NY 10009
(40.72911866927737, -73.97160493090007)",,,,,,,,,
"2010","CASA","Katz","Queens Museum of Art","11-2278998","Pending","20000.00","DCA","Public School 144Q","Flushing Meadows Corona Park ","93-02 69th Avenue, Forest Hills, NY 11375","11368-3398",,,,"Flushing Meadows Corona Park
Queens, NY 11368-3398
(40.74605999956947, -73.85822999981451)",,,,,,,,,
"2012","Structural Deficit - Child Care Classroom Restoration",,"Administration for Children Services","136400434-","Government","12024000.00","ACS",,,,,,,,,,,,,,,,,
"2011","FY2011 Partial PEG Restoration-Cultural Institutions",,"Department of Cultural Affairs","13-6400434","Cleared","914253.78","DCA",,,,,,,,,,,,,,,,,
"2011","Youth","Mealy","SCO Family of Services","11-2777066","Cleared","14714.00","DYCD","Parent-Child","1 Alexander Place",,"11542","Early literacy and school readiness that prepare children ages 2-3.",,,"1 Alexander Place
Glen Cove, NY 11542
(40.85753781623558, -73.61990106346302)",,,,,,,,,
"2011","FY2011 Partial PEG Restoration-Cultural Institutions",,"Department of Cultural Affairs","13-6400434","Cleared","249372.11","DCA",,,,,,,,,,,,,,,,,
"2011","Youth","Koslowitz","Songs of Love Foundation","11-3314191","Cleared","1500.00","DYCD",,"PO Box 750809",,"11375","To provide funds for operating expenses.",,,"PO Box 750809
Forest Hills, NY 11375
(40.73106065351027, -73.8423029476636)",,,,,,,,,
"2011","Local","Chin","LES Creative People in Action, Inc.","27-2188237","Cleared","3500.00","DYCD",,"P.O. Box 810",,"10002","To host a free outdoor concert for the community in the summer of 2010.",,,"P.O. Box 810
New York, NY 10002
(40.71463479306344, -73.97672980779132)",,,,,,,,,
"2011","FY2011 Partial PEG Restoration-Cultural Institutions",,"Department of Cultural Affairs","13-6400434","Cleared","208304.71","DCA",,,,,,,,,,,,,,,,,
"2011","Local","Jackson","Outstanding Renewal Enterprises, Inc.","13-3320984","Cleared","3500.00","DSNY",,"P.O. Box 20488",,"10009","Requesting funds to hold electronic waste collection events in various neighborhoods and districts throughout the city.",,,"P.O. Box 20488
New York, NY 10009
(40.72911866927737, -73.97160493090007)",,,,,,,,,
"2011","Youth","Mendez","Arts Connection, Inc.","13-2953240","Cleared","3500.00","DYCD",,"520 Eigtht Avenue,  #321",,"10018","Prorgams in dance, theater and visual arts for public school students grades K-12.",,,"520 Eigtht Avenue, #321
New York, NY 10018
(40.75341000037139, -73.98900999991139)",,,,,,,,,
"2011","FY2011 Partial PEG Restoration-Cultural Institutions",,"Department of Cultural Affairs","13-6400434","Cleared","273297.79","DCA",,,,,,,,,,,,,,,,,
"2011","FY2011 Partial PEG Restoration-Cultural Institutions",,"Department of Cultural Affairs","13-6400434","Cleared","679499.43","DCA",,,,,,,,,,,,,,,,,
"2011","Elected Officials",,"Borough President-Bronx","13-6400434","Cleared","1406030.00","BXBP",,,,,,,,,,,,,,,,,
"2011","Elected Officials",,"District Attorney-Queens","13-6400434","Cleared","333777.00","DAQN","Prosecutor Funding",,,,,,,,,,,,,,,,
"2012","Local","Levin","Public School  31K, Samuel F. Dupont Magnet School for the Arts and Humanities","136400434-","Cleared","3500.00","DOE",,,,,"To provide afterschool programs such as Movement and Music, Go Green Arts Class; Table Tennis, Digital Photography; Dance; Guitar; Healthy Cooking and Music",,,,,,,,,,,,
"2012","Sexual Assualt Initiative ",,"Kingsbridge Heights Community Center (Bronx) ","132813809-","Cleared","50000.00","OCJC",,,,,,,,,,,,,,,,,
"2011","Child Protective Staffing",,"Child Protective Staffing","13-6400434","Cleared","5897000.00","ACS",,,,,,,,,,,,,,,,,
"2011","Fire Company Restoration",,"Fire Company Restoration","13-6400434","Cleared","35964958.00","FDNY",,,,,,,,,,,,,,,,,
"2011","Primary Care Initiative",,"Greenpoint Community Health Center","13-6400434","Cleared","270000.00","HHC",,,,,,,,,,,,,,,,,
"2011","FY2011 Partial PEG Restoration-MR/DD HHC",,"HHC Kings County Hospital Developmental Evalutaion Clinics - PEG Restoration","13-6400434","Cleared","400000.00","HHC",,,,,,,,,,,,,,,,,
"2011","DoVE",,"Korean American Family Service Center (KAFSC)","13-3609811","Cleared","31250.00","MISC",,"P.O. Box 541429",,"11354",,,,"P.O. Box 541429
Flushing, NY 11354
(40.76829350343268, -73.83694873618492)",,,,,,,,,
"2011","Out-of-School Time",,"Out-of-School Time (OST) Option II","13-6400434","Cleared","9000000.00","DYCD",,,,,,,,,,,,,,,,,
"2011","Respect for All Anti-Bias Curriculum",,"Respect for All Anti-Bias Curriculum",,"Cleared","300000.00","DOE",,,,,,,,,,,,,,,,,
"2011","HIV/AIDS Communities of Color",,"AIDS Center of Queens County, Inc.","11-2837894","Cleared","39441.91","DOHMH",,,,,,,,,,,,,,,,,
"2011","Injection Drug Users Health Alliance",,"After Hours Project, Inc.","33-1007278","Cleared","81348.26","DOHMH",,"1232 Broadway",,"11221",,,,"1232 Broadway
Brooklyn, NY 11221
(40.69166401383239, -73.925989832851)","BROOKLYN ","40.691703","-73.925944","3","41","387","3347167","3016180022","Stuyvesant Heights                                                         "
"2011","CASA","Ignizio","Intrepid Museum Foundation, Inc.","13-3062419","Cleared","20000.00","DCA","Intermediate School 72R",,"33 Ferndale Ave, Staten Island, NY 10312",,,,,"NY
(42.82699999955048, -75.54396999981549)",,,,,,,,,
"2011","Food Pantries","Bronx","1600 Sedgwick Avenue Tenant Association",,"Pending","5000.00","DYCD",,"1600 Sedgwick Avenue",,,"To support the local food pantry.",,,"1600 Sedgwick Avenue
Bronx, NY
(40.84932250861419, -73.923144124884)",,,,,,,,,
"2011","Food Pantries","Brooklyn","End Times Pentecostal Church",,"Pending","9500.00","DYCD",,"1299 Greene Avenue",,,"To support the local food pantry.",,,"1299 Greene Avenue
Brooklyn, NY
(40.69817345514974, -73.91944791134358)",,,,,,,,,
"2011","Food Pantries","Manhattan","Our Lady of Sorrows","13-3743218","Pending","8888.00","DYCD",,"213 Stanton Street",,,"To support the local food pantry.",,,"213 Stanton Street
New York, NY
(40.71954134656596, -73.98232850763219)",,,,,,,,,
"2011","Food Pantries","Citywide","City Harvest, Inc.","13-3170676","Cleared","5523.34","DYCD","Administration Fee",,,,"Administration Fee",,,,,,,,,,,,
"2011","HIV/AIDS Faith Based Initiative",,"House of Peace, Inc.","453131894-","Cleared","6400.00","DOHMH",,"1958 Fulton St. ",,"11236",,,,"1958 Fulton St.
Brooklyn, NY 11236
(40.6787660857575, -73.9201493825264)","BROOKLYN ","40.678793","-73.920384","3","41","301","3042090","3015480019","Ocean Hill                                                                 "
"2011","HIV/AIDS Faith Based Initiative",,"Powerful Praise Tabernacle","06-1530040","Cleared","6400.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","HIV/AIDS Communities of Color (Prevention & Education)",,"After Hours Project, Inc.","331007278-","Cleared","28800.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","HIV Prevention and Health Literacy for Seniors",,"AIDS Community Research Initiative of America, The","133632234-","Cleared","400000.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","Cancer Initiative",,"American Cancer Society","160743902-","Cleared","1000000.00","DOHMH",,"2 Lyon Place",,"10314",,,,"2 Lyon Place
Staten Island, NY 10314
(40.61714946248544, -74.14791537738083)","STATEN IS","40.617286","-74.147833","1","50","251",,,"Port Richmond                                                              "
"2012","HIV/AIDS Faith Based Initiative",,"Amethyst Women's Project, Inc.","113505513-","Cleared","6400.00","DOHMH",,"1907 Mermaid Ave.",,"11224",,,,"1907 Mermaid Ave.
Brooklyn, NY 11224
(40.57648619136518, -73.98615062625674)","BROOKLYN ","40.576497","-73.986036","13","47","326","3189002","3070190046","Seagate-Coney Island                                                       "
"2012","Autism Awareness",,"Association for Metroarea Autistic Children","131974582-","Cleared","63546.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","Asthma Control Program",,"Asthma Control Program","136400434-","CBO Defunded","0.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","Local","CC","Baruch College/Research Foundation","237039817-","Cleared","80000.00","CUNY",,,,,"To enhance the ability of Baruch College to provide for the educational needs of the student body.",,,,,,,,,,,,
"2011","Aging","Garodnick","Stanley M. Isaacs Neighborhood Center, Inc.","13-2572034","Cleared","30000.00","DFTA",,"415 93rd street",,"10128","Funding will support the Stanley Isaacs Senior Center meal, education, social and health and wellness programs. ",,,"415 93rd street
New York, NY 10128
(40.78126040826671, -73.94577667379394)",,,,,,,,,
"2012","Coalition of Theaters of Color",,"Black Spectrum Theatre Company, Inc.","510135262-","Cleared","80000.00","DCA",,,,,,,,,,,,,,,,,
"2011","DoVE",,"Jericho Road, Inc.","11-3463615","Pending","31250.00","MISC",,"130 Watkins Street",,"11212",,,,"130 Watkins Street
Brooklyn, NY 11212
(40.66968293326153, -73.90790061648732)","BROOKLYN ","40.669674","-73.907868","16","41","906","3081105","3035240019","Brownsville                                                                "
"2012","NORC Supportive Service Program",,"BronxWorks, Inc. -- Citizens Advice Bureau NORC","133254484-","Cleared","74808.00","DFTA",,,,,,,,,,,,,,,,,
"2012","Dropout Prevention and Intervention",,"El Puente","112614265-","Cleared","33000.00","DOE",,,,,,,,,,,,,,,,,
"2012","Anti Eviction and SRO Legal Services",,"Brooklyn Legal Services Corporation A","132605599-","Cleared","83074.00","HPD",,,,,,,,,,,,,,,,,
"2012","Elder Abuse Programs -- PEG Restoration",,"Carter Burden Center for the Aging, Inc., The","237129499-","Cleared","91520.00","DFTA",,,,,,,,,,,,,,,,,
"2012","Local","CC","CBO Training",,"Cleared","50000.00","MAYOR",,,,,,,,,,,,,,,,,
"2012","Food Pantries-DYCD","Queens","St. Theresas",,"Cleared","5000.00","DYCD",,"50-20 45th Street ",,"11377",,,,"50-20 45th Street
Woodside, NY 11377
(40.73696121427349, -73.92092279947161)","QUEENS   ","40.73693","-73.920903","2","26","187","4053169","4022940050","Hunters Point-Sunnyside-West Maspeth                                       "
"2012","Children under Five Initiative",,"Children under Five Initiative","136400434-","CBO Defunded","0.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","Mental Hygiene Contracted Services Partial PEG Restoration - Chemical Dependency/ADUPCT",,"Child Center of NY, Inc., The","111733454-","Cleared","37400.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","CUNY Nursing Program",,"City University of New York","136400434-","Government","500000.00","CUNY",,,,,,,,,,,,,,,,,
"2012","Local","Oddo","College of Staten Island","136400434-","Cleared","5000.00","CUNY",,,,"10314","The funds would be used to provide support for the Staten Island Project.",,,"SI, NY 10314
(40.60455999974437, -74.1459599999539)",,,,,,,,,
"2012","Citywide Homeless Prevention Fund",,"Coalition for the Homeless","133072967-","Cleared","150000.00","DHS",,,,,,,,,,,,,,,,,
"2012","Local","Wills","Community Baptist Church, Inc","112890143-","Cleared","3500.00","DYCD",,"111 08 141st St",,,"To support progammatic costs for  community programs within 28 Council District.",,,"111 08 141st St
South Ozone Park, NY
(40.675420000232975, -73.81124000022567)",,,,,,,,,
"2012","CONNECT, Inc. Community Empowerment Program",,"CONNECT","020694269-","Cleared","270000.00","ACS",,,,,,,,,,,,,,,,,
"2012","Cultural After-School Adventure (CASA) ",,"Cultural After-School Adventure (CASA) ","136400434-","CBO Defunded","0.00","DCA",,,,,,,,,,,,,,,,,
"2012","Local","Oddo","DOE-District 31, Region 7","136400434-","Cleared","30000.00","DOE",,,,"10301","$5,000 each for books for PS 41,48,50, 52, 60. In addition $5,000 will be used for Academic Intervention Services at PS 11.",,,"SI, NY 10301
(40.631469999640956, -74.09150999988645)",,,,,,,,,
"2012","Food Pantries-DYCD","Brooklyn","End Times Pentecostal Church",,"Pending","9500.00","DYCD",,"1299 Greene Avenue",,,"To support the local food pantry.",,,"1299 Greene Avenue
Brooklyn, NY
(40.69817345514974, -73.91944791134358)",,,,,,,,,
"2012","Food Pantries-DYCD",,"Food Pantries-DYCD","136400434-","CBO Defunded","0.00","DYCD",,,,,,,,,,,,,,,,,
"2012","Housing Preservation Initiative",,"Fifth Avenue Committee ","112475743-","Cleared","50000.00","HPD",,,,,,,,,,,,,,,,,
"2012","Food Pantries-HRA",,"Food Bank for New York City","133179546-","Cleared","800000.00","HRA",,,,,,,,,,,,,,,,,
"2011","DoVE",,"North Brooklyn Coalition Against Family Violence","11-3431280","Cleared","62500.00","MISC",,"256 Broadway",,"11211",,,,"256 Broadway
Brooklyn, NY 11211
(40.70893080386201, -73.9595690267963)","BROOKLYN ","40.708962","-73.95948","1","33","525",,,"North Side-South Side                                                      "
"2011","CASA","Koslowitz","Queens Museum of Art","11-2278998","Cleared","20000.00","DCA","Public School 99Q","New York City Building / Flushing Meadows Park","82-37 Kew Gardens Road, Kew Gardens, NY 11415","11368",,,,"New York City Building / Flushing Meadows Park
Corona, NY 11368
(40.74605999956947, -73.85822999981451)",,,,,,,,,
"2011","Local","Palma","Quality Services for the Autism Community (QSAC), Inc.","11-2482974","Cleared","5000.00","DOHMH",,"1968 Eastchester Road",,"11103","These funds will help support outreach to children and adults with autism in Council District 18.  ",,,"1968 Eastchester Road
Bronx, NY 11103
(40.85283885774879, -73.843248355801)",,,,,,,,,
"2012","Domestic Violence and Empowerment (DoVE) Initiative",,"Good Shepherd Services, Inc","135598710-","Cleared","15625.00","MISC",,,,,,,,,,,,,,,,,
"2012","Local","CC","Grace International, Inc.","200934854-","Cleared","15000.00","DYCD",,"2010 Fulton Street",,"11233-2323","Funds to support the food pantry.
",,,"2010 Fulton Street
Brooklyn, NY 11233-2323
(40.67864018067337, -73.91778416558935)",,,,,,,,,
"2012","Aging","Gonzalez","Harbor Hill Housing","113152691-","Pending","10000.00","DFTA",,"5613 Second Avenue",,,"Exercise classes, musical entertainment, computer classes, trips and operational supplies",,,"5613 Second Avenue
Brooklyn, NY
(40.64560326231075, -74.02046381613847)",,,,,,,,,
"2013","Local","Van Bramer","Dutch Kills Civic Association","112806214","Cleared","6000.00","DYCD",,"41-20 29th Street",,,"Our Association provides a Childrens Summer Entertainment Series during the summer, which includes shows and concerts.",,,"41-20 29th Street
Long Island, NY
(40.750783206519344, -73.9370969871826)",,,,,,,,,
"2012","Rapid HIV Testing",,"Health and Hospitals Corporation","136400434-","Cleared","2000000.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","HHC Developmental Evaluation Clinic Funding",,"HHC Developmental Evaluation Clinic Funding","136400434-","Cleared","1817000.00","HHC",,,,,,,,,,,,,,,,,
"2012","Mental Hygiene Contracted Services Partial PEG Restoration - Mental Health Providers",,"Institute for Community Living, Inc.","133306195-","Cleared","244369.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","HASA Money Management Services PEG Restoration",,"Human Resources Administration","136400434-","Government","200000.00","HRA",,,,,,,,,,,,,,,,,
"2012","Cultural After-School Adventure (CASA) ","Quinn","Intrepid Museum Foundation, Inc.","133062419-","Cleared","20000.00","DCA","Public School 33","One Intrepid Square",,"10036",,,,"One Intrepid Square
NY, NY 10036
(40.75912999974986, -73.98824999993741)",,,,,,,,,
"2012","Youth","Weprin","Jamaica Estates Holliswood Little League, Inc.","112482609-","Pending","7500.00","DYCD",,"P.O. Box 656539",,"11365","N/A",,,"P.O. Box 656539
Fresh Meadows, NY 11365
(40.7386543434476, -73.80729356727339)",,,,,,,,,
"2012","Senior Center Closures -- PEG Restoration",,"Jewish Association for Services for the Aged (JASA) - Dreiser Senior Center","132620896-","Cleared","150000.00","DFTA",,,,,,,,,,,,,,,,,
"2012","Anti Eviction and SRO Legal Services",,"Legal Aid Society / Civil Division- Staten Island","135562265-","Cleared","68750.00","HPD",,,,,,,,,,,,,,,,,
"2012","Unemployment/SSI Program",,"Legal Services NYC ","132600199-","Cleared","500000.00","OCJC",,,,,,,,,,,,,,,,,
"2012","Citywide Civil Legal Services",,"Legal Services NYC ","132600199-","Cleared","750000.00","OCJC",,,,,,,,,,,,,,,,,
"2012","Local","Ulrich","Lindenwood Community Volunteer Ambulance Corps, Inc. ","237295865-","Cleared","5000.00","FDNY",,"POBox 170191","94-10 133rd avenue","11417","We provide emergency ambulatory services to the public.",,,"POBox 170191
Ozone Park New York, NY 11417
(40.67624999983781, -73.84435999961414)",,,,,,,,,
"2011","CASA","Dickens","Community Works, Inc.","13-3580813","Cleared","20000.00","DCA","Public School 241M","55 West End Avenue",,"10023",,,,"55 West End Avenue
New York, NY 10023
(40.7742182588904, -73.98863653792989)","MANHATTAN","40.774058","-73.988681","7","6","151","1087719","1011710063","Lincoln Square                                                             "
"2012","Mental Hygiene Contracted Services Partial PEG Restoration - Mental Health Providers",,"Mental Health Association of NYC, The","132637308-","Cleared","38045.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","Mental Health Contracts",,"Mental Health Contracts","136400434-","CBO Defunded","0.00","DOHMH",,,,,,,,,,,,,,,,,
"2012","HIV/AIDS Faith Based Initiative",,"Memorial Baptist Church, Inc.","132574792-","Cleared","6400.00","DOHMH",,"141 Bishop Preston R. Washington Place",,"10026",,,,"141 Bishop Preston R. Washington Place
Manhattan, NY 10026
(40.80249000011361, -73.9532199997031)",,,,,,,,,
"2012","Sexual Assualt Initiative ",,"Mt. Sinai Sexual Assualt & Violence Intervention Program (Queens)","136171197-","Cleared","50000.00","OCJC",,,,,,,,,,,,,,,,,
"2012","Community Consultants",,"Mount Hope Housing Company, Inc., The","133419970-","CBO Defunded","0.00","HPD",,,,,,,,,,,,,,,,,
"2012","Autism Awareness",,"My Time, Inc.","680646329-","Cleared","42364.00","DOHMH",,"1312 East 84th Street",,"11236",,,,"1312 East 84th Street
Brooklyn, NY 11236
(40.63051745888555, -73.90275649447977)","BROOKLYN ","40.630452","-73.902652","18","46","1004","3227247","3080740040","Canarsie                                                                   "
"2012","Youth","Wills","Mt Zion Baptist Church","112911165-","Pending","6000.00","DYCD",,"106-60 Union Hall",,"11433-2109","Computer literacy classes; Summer camp; community outreach programs,(GED; preparation for job training;planned parenthood and general counseling.)",,,"106-60 Union Hall
Jamaica, NY 11433-2109
(40.69814999982282, -73.78821000029114)",,,,,,,,,
"2012","Community Consultants",,"Neighborhood Initiatives Development Corporation (NIDC)","133110811-","Cleared","10000.00","HPD",,,,,,,,,,,,,,,,,
"2012","Coalition of Theaters of Color",,"New Federal Theatre, Inc.","132814763-","Cleared","70000.00","DCA",,,,,,,,,,,,,,,,,
"2011","Community Consultants",,"Strycker's Bay Neighborhood Council, Inc.","13-1943516","Cleared","5488.00","HPD",,"61 West 87th Street",,"10024",,,,"61 West 87th Street
New York, NY 10024
(40.78699949198375, -73.9711949009095)","MANHATTAN","40.786667","-73.970479","7","6","173","1031445","1012010004","Upper West Side                                                            "
"2012","Food Pantries-HRA",,"New York City Coalition Against Hunger","133471350-","Cleared","100000.00","HRA",,,,,,,,,,,,,,,,,
"2010","IOI","Bronx","Legal Aid Society","13-5562265","Pending","87500.00","DYCD",,"199 Water Street",,"10038","Immigrant Related Legal Services",,,"199 Water Street
New York, NY 10038
(40.707112716121, -74.00453276853563)","MANHATTAN","40.70727","-74.004314","1","1","1502","1001162","1000747501","Battery Park City-Lower Manhattan                                          "
"2012","New York Junior Tennis League",,"New York Junior Tennis League","237442256-","Cleared","800000.00","DYCD",,,,,,,,,,,,,,,,,
"2012","NYPL - Research Subsidy Restoration",,"New York Public Library - Research","136400434-","Government","4270000.00","NYPL-R",,,,,,,,,,,,,,,,,
"2012","Community Consultants",,"North Brooklyn Development Corporation","112555446-","Cleared","18264.00","HPD",,,,,,,,,,,,,,,,,
"2012","Local","Oddo","NYPD - Patrol Borough Staten Island","136400434-","Cleared","1000.00","NYPD",,,,"10306","New raincoats for auxiliary officers",,,"SI, NY 10306
(40.5695100003864, -74.1172299997645)",,,,,,,,,
"2012","Local","CC","Our Lady of Perpetual Help Soccer League",,"Cleared","5000.00","DYCD",,,,,,,,,,,,,,,,,
"2012","HIV/AIDS Faith Based Initiative",,"Christ Church","133076051-","Cleared","6400.00","DOHMH",,"860 Forest Avenue",,"10456",,,,"860 Forest Avenue
Bronx, NY 10456
(40.82097587825069, -73.90501379277327)","BRONX    ","40.820858","-73.905097","1","17","77","2004693","2026570003","Melrose South-Mott Haven North                                             "
"2012","Injection Drug Users Health Alliance (IDUHA)",,"Positive Health Project","133845305-","Cleared","49750.00","DOHMH",,"301 West 37th Street",,"10018",,,,"301 West 37th Street
Manhattan, NY 10018
(40.75417710436868, -73.99212726415118)","MANHATTAN","40.754279","-73.9925","4","3","111","1013620","1007610031","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"2012","Local","Arroyo","Pregones Touring Puerto Rican Theater Collection, Inc.","133266893-","Cleared","17875.00","DCA",,"571-575 Walton Avenue",,"10451-3297","For the  implementation of its 32nd performing arts season in FY12.",,,"571-575 Walton Avenue
The Bronx, NY 10451-3297
(40.822179999807304, -73.92096000040357)",,,,,,,,,
"2012","Local","Dilan","Public School  65K","136400437-","Cleared","5000.00","DOE",,,,,"Buses for School Trips",,,,,,,,,,,,
