"hmp_index","mitigation_actions_title","mitigation_actions_description","hazard_addressed","lead_agency","schedule_phase","action_category","support_agency","funding_source","cost_estimate","overall_start","overall_finish","additional_info","goals_objectives","priority","website","notes","mapped"
"CB.P.007","Environmental Project Information Center (EPIC)","Develop this online public environmental communication portal and cleanup project tracking database for developers, industry, and community to speed projects while also hosting a public document repository, information-sharing portal, bulletin boards, dialogue centers, and other community resources.","CBRN","Office of Environmental Remediation","Completed","Education and Awareness","Department of Information Technology and Telecommunications","City Expense,Other","400000",,"2016-10-01T00:00:00.000",,"5.1,5.2,5.3","N/A",,,"Not Mapped"
"CE.2018.001","Marsh Migration Modeling","SLAMM modeling of how coastal wetlands may move or change under future sea level rise.","Coastal Erosion","New York State Energy Research and Development Authority","Completed","Education and Awareness",,"Ratepayers","480000",,,,"1.1,4.1,5.2","N/A","http://warrenpinnacle.com/prof/SLAMM/NYSERDA/http://slammview.org/  http://warrenpinnacle.com/prof/SLAMM/NYSERDA2015/index.html",,"Not Mapped"
"CE.C.001","Beach restoration","Reconstruct dunes and shoreline protection in DPR beaches damaged by Hurricane Sandy.","Coastal Erosion,Coastal Storms","Department of Parks and Recreation","Completed","Coastal/Natural Resource Protection",,,"52000000",,,,"2.1,2.7,4.3","N/A",,,"Not Mapped"
"CE.E.001","Protection of Rikers shorelines","Rebuild and mitigate shorelines.","Coastal Erosion","Department of Correction","Existing","Coastal/Natural Resource Protection",,"City Capital,FEMA","25000000","2013-01-01T00:00:00.000","2022-03-22T00:00:00.000",,"1.1,2.1,2.7","N/A",,,"Points"
"CE.E.002","Rikers Island north shore administrative modular units","Relocate modular units currently located in a low-lying area on the north shore, which was affected by Hurricane Sandy. Due to proximity to shoreline and temporary nature of construction, Rikers Island trailers are vulnerable to extreme weather events.","Coastal Erosion","Department of Correction","Existing","Property Protection",,"City Capital,FEMA","19000000","2013-01-01T00:00:00.000","2019-12-30T00:00:00.000","This project must be implemented in conjunction with the rehabilitation of the north shoreline.","1.1,2.1,2.2,2.7","N/A",,,"Points"
"CE.P.003","Renourishment of Orchard Beach, Bronx","Periodically renourish Orchard Beach to prevent greater erosion and protect infrastructure.  (USACE classifies this project as ""Recreational"" and not for flood damage reduction.)","Coastal Erosion","Department of Parks and Recreation,U.S. Army Corps of Engineers","Completed","Coastal/Natural Resource Protection","New York State Department of Environmental Conservation","USACE","1000000","2010-01-04T00:00:00.000",,"Schedule TBD; 3 years;","4.1,4.3,4.4","N/A","http://www.nan.usace.army.mil/Media/Fact-Sheets/Fact-Sheet-Article-View/Article/487413/fact-sheet-orchard-beach","Nourishment cycle dependent on project surveys and available funding","Not Mapped"
"CS.2018.003","Build It Back - home elevations","Assist single-family owners with elevating homes after damage from Hurricane Sandy","Coastal storms","Mayor's Office of Housing Recovery Operations","Existing","Property Protection","Department of Design and Construction,Housing Preservation and Development","CDBG",,"2013-01-01T00:00:00.000","2019-01-31T00:00:00.000",,"1.1,2.4,2.9","N/A",,,"Not Mapped"
"CS.2018.006","Training Program for ADA Coordinators in the Shelter Command Center","The Disability, Access and Functional Needs Administrator (DAFN Admin) is a technical specialists position developed in 2017 by the New York City Mayors Office for People (MOPD) with Disabilities, New York City Emergency Management (NYCEM) and Department of Social Services (DSS). The DAFN Admin will work in the Shelter Command Center to oversee the implementation of physical accessibility modifications as well as programmatic accommodations throughout the coastal storm shelter system. By working with Fulfillment Officers and Branch Directors as they call down to specific evacuation centers and hurricane shelters the DAFN Admin will track the staffing of DAFN Coordinators throughout the system, the completion of general and site specific accessibility checklists at each facility, as well as the provisioning of specific accommodations such as sign language interpretation. The DAFN Admin will also be a resource for ADA accommodation issues escalated up from the shelters and evacuation centers. NYCEM in collaboration with MOPD provide DAFN Admin training during the summer. The primary audience of the training is the citys Disability Service Facilitators (DSFs). DSFs are appointed to each city agency and coordinate efforts to comply with and carry out its responsibilities under the ADA and other laws and regulations concerning accessibility for people with disabilities. These individuals are liaisons to New Yorkers with disabilities, connecting people with disabilities to city government.","Coastal storms","Mayor's Office for People with Disabilities","Existing","Emergency Services","New York City Emergency Management","City Expense",,,,"Ongoing","1.1,1.4,1.5,3.1,4.2,4.4","N/A",,,"Not Mapped"
"CS.2018.007","Open-Source Tropical Cyclone Risk Modeling for NYS","Develop and implement an open-source model for estimating New York State tropical-cyclone risk under present and future climate conditions","Coastal storms","New York State Energy Research and Development Authority","Existing","Education and Awareness",,"Other State","300000",,"2019-12-31T00:00:00.000",,"4.1,5.1,5.2,5.3","N/A",,,"Not Mapped"
"CS.2018.008","Nassau County Back Bays, NY","Nassau County Back Bays, NY - will investigate the feasibility of potential ways to reduce the risk to people and critical infrastructure caused by coastal storms.  The study will investigate the feasibility of a number of measures, which includes but is not limited to storm surge barriers, bulkheads, floodwalls, levees, seawalls, shoreline stabilization, stormwater improvements, beach nourishment, living shorelines, wetland restoration, and the elevation, floodproofing, and/or relocation of structures.","Coastal storms","U.S. Army Corps of Engineers","Existing","Infrastructure Project",,,,"2016-01-01T00:00:00.000","2021-01-01T00:00:00.000","Study is ongoing","2.1,4.1,4.3","N/A","http://www.nan.usace.army.mil/Media/Fact-Sheets/Fact-Sheet-Article-View/Article/1098572/nassau-county-back-bay-csrm-study-ny","Project is located in Queens, Nassau County, Suffok County","Not Mapped"
"CS.2018.010","Dock Repair and hardening of Harbor Charlie","Increase dock float height","Coastal storms","New York City Police Department","Completed","Property Protection",,"FEMA","51840",,"2013-06-30T00:00:00.000",,"2.1,2.7,2.8","N/A",,,"Points"
"CS.2018.011","Dock repair and hardening - Harbor George","Increase dock float height","Coastal storms","New York City Police Department","Completed","Property Protection",,"FEMA","52856",,"2013-06-01T00:00:00.000",,"2.1,2.7,2.8","N/A",,,"Points"
"CS.2018.012","Dock repair and hardening - Launch Repair Shop","Increase dock float height","Coastal storms","New York City Police Department","Completed","Property Protection",,"FEMA",,,"2013-06-30T00:00:00.000",,"2.1,2.8,2.9","N/A",,,"Points"
"CS.2018.013","East Harlem Resiliency Study","Study climate change impacts in East Harlem and develop integrated recommendations for reducing risk and increasing community resilience in the face of sea level rise, increased precipitation, storm surge, and extreme heat events.","Coastal storms,Extreme temperatures,Severe weather","Department of Parks and Recreation","Existing","Prevention and Policy","DOT,Department of Environmental Protection,Mayor's Office of Resiliency","CDBG-DR","1000000","2017-10-01T00:00:00.000","2019-02-01T00:00:00.000",,"1.4,1.5,2.4,4.1,4.2,4.3,4.4","N/A","https://www.nycgovparks.org/planning-and-building/planning/neighborhood-development/east-harlem-resiliency",,"Not Mapped"
"CS.2018.031","Marine Company 1 Wave Screens","Conduct feasibility study of repair/mitigation or replacing the structure","Coastal storms,Flooding","Fire Department of the City of New York","Existing","Property Protection",,"FEMA","75705","2019-07-01T00:00:00.000","2020-12-31T00:00:00.000",,"1.1,2.1,2.7,2.8,2.9","N/A",,,"Points"
"CS.2018.014","Cloudburst Resiliency Planning Study","Assess risk, prioritize response, develop neighborhood-based solutions, and assign costs and benefits for managing extreme rain events, or ""cloudbursts"" using Southeast Queens as a focus area.","Coastal storms,Flooding","Department of Environmental Protection","Existing","Prevention and Policy","Department of Design and Construction,New York City Department of Transportation,New York City Housing Authority",,,"2015-09-01T00:00:00.000",,,"2.7,4.1,4.2,4.3,4.4","N/A","http://www.nyc.gov/html/dep/pdf/climate/nyc-cloudburst-study.pdf",,"Polygon"
"CS.2018.015","Build It Back - Storm Repair and Rehabilitation","Assist single family homeowners with repair and rehabilitation of Hurricane Sandy damaged homes.","Coastal storms,Flooding","Mayor's Office of Housing Recovery Operations","Existing","Property Protection",,"CDBG-DR",,"2013-01-01T00:00:00.000","2019-01-01T00:00:00.000",,"2.2,2.6,2.7,2.9","N/A",,,"Not Mapped"
"CS.2018.021","Flood Hazard Mapper","The NYC Flood Hazard Mapper provides a comprehensive overview of the coastal flood hazards that threaten the city today, as well as how these hazards are likely to increase in the future with climate change. It is intended to enable more informed decision-making by residents, property and business owners, architects and engineers, and policy-makers.","Coastal storms,Flooding","Department of City Planning","Existing","Education and Awareness",,"Unknown",,"2016-06-01T00:00:00.000",,"This tool was publicly released in 2017, but will be updated on an ongoing basis to include latest climate change data and other improvements.","4.1,5.1,5.2,5.3","N/A","http://dcp.maps.arcgis.com/apps/webappviewer/index.html?id=1c37d271fba14163bbb520517153d6d5",,"Not Mapped"
"CS.2018.022","Flood Hazard Mapper","The NYC Flood Hazard Mapper provides a comprehensive overview of the coastal flood hazards that threaten the city today, as well as how these hazards are likely to increase in the future with climate change. It is intended to enable more informed decision-making by residents, property and business owners, architects and engineers, and policy-makers.","Coastal storms,Flooding","Department of City Planning","Existing","Education and Awareness",,"Unknown",,"2016-06-01T00:00:00.000",,"This tool was publicly released in 2017, but will be updated on an ongoing basis to include latest climate change data and other improvements.","2.6,2.7,5.2,5.3","N/A","http://dcp.maps.arcgis.com/apps/webappviewer/index.html?id=1c37d271fba14163bbb520517153d6d5",,"Not Mapped"
"CS.2018.023","Resilient Retail Study and Resilient Art Spaces","Studies of a range of retail corridors and art-related businesses to identify building-scale resiliency strategies, and provide zoning recommendations.","Coastal storms,Flooding","Department of City Planning","Completed","Prevention and Policy",,"CDBG",,,"2016-01-01T00:00:00.000",,"2.1,2.4,2.5,3.3,3.4,3.5","N/A","https://www1.nyc.gov/site/planning/plans/resilient-retail/resilient-retail.page https://www1.nyc.gov/assets/planning/download/pdf/plans-studies/resilient-neighborhoods/west-chelsea/gallery-guide-102015.pdf",,"Not Mapped"
"CS.2018.024","First Floor Elevation Analysis","This is a pilot project to assess the elevation of the ground floor of buildings in portions of NYC's floodplain.","Coastal storms,Flooding","Department of City Planning","Existing","Prevention and Policy","Mayor's Office of Resiliency","CDBG","41064",,,"Project start date is TBD.","2.1,2.3,2.4,2.5","N/A",,,"Not Mapped"
"CS.2018.025","WRP Policy 6.2 Materials","The Waterfront Revitalization Programs (WRP) Climate Change Adaptation Guidance Manual and Flood Elevation Worksheet were developed to assist applicants and agencies in reviewing projects for consistency with WRP Policy 6.2. Policy 6.2 requires integration of considerations of the latest New York City projections of climate change and sea level rise into the planning and design of all projects in the Citys Coastal Zone.","Coastal storms,Flooding","Department of City Planning","Completed","Prevention and Policy",,"CDBG",,"2017-01-01T00:00:00.000","2017-12-31T00:00:00.000",,"2.1,2.4,2.5,2.6,2.7,4.1,4.3","N/A","http://www1.nyc.gov/site/planning/applicants/wrp/wrp.page",,"Not Mapped"
"CS.2018.026","Flood Resilience Poster","Document created in order to disseminate information to the public about flood risk in New York City as well as related topics including  flood insurance, flood resilient construction, and flood resilient zoning.","Coastal storms,Flooding","Department of City Planning","Completed","Education and Awareness",,"CDBG",,"2018-04-01T00:00:00.000","2018-08-01T00:00:00.000",,"4.1,5.1,5.2,5.3","N/A","https://www1.nyc.gov/assets/planning/download/pdf/plans-studies/flood-resiliency-update/poster.pdf",,"Not Mapped"
"CS.2018.027","Resiliency Video","This video was created as part of an extensive public outreach campaign to share information on flood risk and flood resistant construction requirements. The goal of this video is to reach a broad audience and to help solicit input on how to modify these zoning rules to remove regulatory barriers to resiliency investments.","Coastal storms,Flooding","Department of City Planning","Completed","Education and Awareness",,"CDBG",,"2018-08-01T00:00:00.000","2018-09-01T00:00:00.000",,"2.6,4.1,4.2,5.1,5.2,5.3","N/A","https://www1.nyc.gov/site/planning/plans/climate-resiliency/climate-resiliency.page",,"Not Mapped"
"CS.2018.028","Resiliency Newsletters","Through distributing newsletters focused on resiliency topics,  DCP has been connecting with the public in order to address comments heard during our outreach process through 2017. Newsletters are distributed via e-mail, posted on our website, and mailed to each Community Board.","Coastal storms,Flooding","Department of City Planning","Existing","Education and Awareness",,"CDBG",,"2018-01-01T00:00:00.000",,,"1.5,4.2,5.1,5.2,5.3","N/A","http://www1.nyc.gov/site/planning/plans/climate-resiliency/climate-resiliency.page?tab=2",,"Not Mapped"
"CS.2018.029","East Side Coastal Resiliency","The ESCR Project is an integrated coastal protection system that will reduce the risk of flooding and facilitate access to the waterfront, creating improved public spaces and enhanced natural areas. Stretching from Montgomery Street to East 23rd Street, the ESCR Project will strengthen 2.2 miles of urban floodplain against floods and rising sea levels, while providing social and environmental benefits to the community the other ninety-nine percent of the time. The project is broken down into two Project Areas due their distinct technical conditions. Project Area 1 extends from Montgomery Street to East 14th Street, while Project 2 runs from East 14th Street to East 23rd Street.","Coastal storms,Flooding","Mayor's Office of Resiliency","Existing","Infrastructure Project",,"CDBG-DR,City Capital","1450000000","2014-05-22T00:00:00.000","2023-09-30T00:00:00.000",,"1.1,2.8,2.9,4.3","N/A",,,"Polygon"
"CS.2018.030","Project Open House","Removes architectural barriers in the homes of people with permanent disabilities. The program is designed to increase independence in the activities of the daily living, thus helping people with disabilities remain a part of their communities.","Coastal storms,Flooding","Mayor's Office for People with Disabilities","Existing","Prevention and Policy",,"CDBG",,,,"Ongoing grant funded program. The grant depends on the city planning budget.  96,000 FY18, does not include on employee payroll.","1.1,1.3,1.4,2.4,2.5,4.4","N/A","https://www1.nyc.gov/site/mopd/initiatives/project-open-house.page",,"Not Mapped"
"CS.2018.032","Marine Company 6 - Facility and Fire Boat","Replace damaged wire with ""wet rating"" wire, which is water-resistant and approved for damp and wet locations.","Coastal storms,Flooding","Fire Department of the City of New York","Existing","Property Protection",,"FEMA","3218","2019-07-01T00:00:00.000","2020-12-31T00:00:00.000",,"1.1,2.1,2.9","N/A",,,"Points"
"CS.2018.033","Marine 9 - Wave Attenuator","Construct and install three new berthing monopiles with rubber fenders.  This provides the most protection for the Fire Fighter II (FF II), Fire House, berthing of the FFII, ramps and decking.","Coastal storms,Flooding","Fire Department of the City of New York","Completed","Property Protection",,"FEMA","110383","2014-07-01T00:00:00.000","2015-06-30T00:00:00.000",,"1.1,2.1,2.7,2.8,2.9","N/A",,,"Points"
"CS.2018.034","EMS 4 Flood Protection","raise utilities, wet floodproof building, raise generator on platform.","Coastal storms,Flooding","Fire Department of the City of New York","Existing","Property Protection",,"FEMA","2500000","2018-06-01T00:00:00.000","2020-12-31T00:00:00.000",,"1.1,2.1,2.7,2.8,2.9","N/A",,,"Points"
"CS.2018.037","Borden Avenue Veterans' Residence Flood Mitigation","Construction of a flood wall/barrier system to prevent floodwaters from entering the facility.","Coastal storms,Flooding","Department of Social Services","Existing","Property Protection","New York City Emergency Management","FEMA-HMGP","2279025",,,,"1.1,2.1,2.7","N/A",,,"Points"
"CS.2018.038","Building Electrical Protections 100 Pct","Relocate existing electrical distribution in NYPD buildings to floors above the 1 percent annual floodplain.","Coastal storms,Flooding","New York City Police Department","Existing","Property Protection",,"FEMA","1256998","2015-01-25T00:00:00.000",,,"2.1,2.7,2.8","N/A",,,"Points"
"CS.2018.039","DOC Shooting Range","DOC Shooting Range- Adams Range:  Elevate platform for where ammunication is stored.","Coastal storms,Flooding","Department of Correction","Existing","Property Protection",,"FEMA","166000","2018-11-15T00:00:00.000","2020-03-30T00:00:00.000",,"2.2,2.8","N/A",,,"Points"
"CS.2018.040","VCBC Power Distribution Center","Hazard Mitigation proposal calls for the demolition and elevation of vents 1.8 ft above determined flood level, these vents are used to keep electrical equipment in the electrical room cool, wall penetrations for feeder conduits to be sealed, doors to the electrical room are to be replaced with flood doors.","Coastal storms,Flooding","Department of Correction","Existing","Property Protection",,"FEMA","863773","2017-05-15T00:00:00.000","2021-12-30T00:00:00.000",,"2.7,2.8","N/A",,,"Points"
"CS.2018.041","Electrical upgrades for Police Museum","Elevate critical electrical equipment.","Coastal storms,Flooding","New York City Police Department","Existing","Property Protection",,"FEMA","2701212","2012-07-01T00:00:00.000",,"Conduit repairs pending","2.1,2.7,2.8","N/A",,,"Points"
"CS.2018.042","Electrical Conduit Replaced and Upgraded - 60th Pct","Electrical Conduit Replaced and Upgraded 60th PCT","Coastal storms,Flooding","New York City Police Department","Existing","Property Protection","New York City Police Department","FEMA","422473",,,"TBD","2.1,2.7,2.8","N/A",,"90% FEMA funded","Points"
"CS.2018.043","Interim Flood Protection Measures","Deploy semi-permanent flood protection measures (HESCO barriers, Tiger Dams, and flood logs) in low-laying neighborhoods and critical facilities.","Coastal storms,Flooding","New York City Emergency Management","Existing","Emergency Services","Department of Design and Construction,Department of Environmental Protection,Department of Parks and Recreation,Economic Development Corporation,NYC Law Department,New York City Department of Transportation","City Expense","22000000","2016-06-01T00:00:00.000","2021-06-30T00:00:00.000",,"1.1,2.1,2.7","N/A",,,"Points"
"CS.2018.046","Resiliency Innovations for a Stronger Economy (RISE) NYC","RISE : NYC provides small businesses affected by Superstorm Sandy with free resiliency improvements to help them prepare for future storms and the impacts of climate change.","Coastal storms,Flooding","Economic Development Corporation","Existing","Property Protection","Mayor's Office of Resiliency,Office of Management and Budget","CDBG-DR","30000000","2014-01-01T00:00:00.000","2020-01-30T00:00:00.000",,"1.1,2.1,3.1,3.2,3.3,3.4","N/A","https://www.nycedc.com/program/rise-nyc",,"Not Mapped"
"CS.2018.047","Lower Manhattan Coastal Resiliency - Battery","Install an integrated flood protection system in Lower Manhattan, including the battery.","Coastal storms,Flooding","Economic Development Corporation","Existing","Coastal/Natural Resource Protection","Mayor's Office of Resiliency","CDBG-Rebuild By Design,City Capital","8000000",,,"TBD","1.1,2.1,2.7,2.8","N/A",,,"Points"
"CS.2018.048","New Brighton Comfort Station Reconstruction","The installation of a modular comfort station to replace the previous New Brighton comfort station, which was damaged beyond repair by Super Storm Sandy and subsequently demolished","Coastal storms,Flooding","Department of Parks and Recreation","Completed","Infrastructure Project",,"FEMA-406","2000000",,"2018-06-01T00:00:00.000",,"2.8,2.9","N/A",,,"Not Mapped"
"CS.2018.049","North 5th Street Bulkhead Reconstruction (Hurricane Sandy)","This project will reconstruct the North 5th Street bulkhead in Brooklyn, which was damaged by Hurricane Sandy.","Coastal storms,Flooding","Department of Parks and Recreation","Completed","Infrastructure Project",,"FEMA-406,Mayoral","1771000","2013-10-01T00:00:00.000","2018-09-01T00:00:00.000",,"2.8,2.9","N/A","https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/6156",,"Polygon"
"CS.2018.050","Tiffany Street Pier Reconstruction (Hurricane Sandy)","This project will reconstruct the fishing pier that was damaged by Hurricane Sandy.","Coastal storms,Flooding","Department of Parks and Recreation","Completed","Infrastructure Project",,"FEMA-406,Mayoral","1915000","2013-08-01T00:00:00.000","2018-04-01T00:00:00.000",,"2.8,2.9","N/A","https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/6119",,"Line"
"CS.2018.051","Joe Michael's Mile Reconstruction (Hurricane Sandy)","This project will reconstruct the southern portion of Joe Michael's Mile.","Coastal storms,Flooding","Department of Parks and Recreation","Completed","Infrastructure Project",,"Borough President,FEMA-406","1445000","2014-06-01T00:00:00.000","2018-08-01T00:00:00.000",,"2.8,2.9","N/A","https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/6257",,"Points"
"CS.2018.052","Sandpiper Playground Reconstruction","This project will reconstruct Sandpiper Playground.","Coastal storms,Flooding","Department of Parks and Recreation","Existing","Infrastructure Project",,"Borough President,City Council,FEMA-406,Mayoral","5860000","2015-01-01T00:00:00.000","2019-06-01T00:00:00.000",,"2.8,2.9","N/A","https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/6478",,"Line"
"CS.2018.053","Mannahatta Fountain Reconstruction","This project will reconstruct the fountain and lighting damaged by Hurricane Sandy in Mannahatta Park.","Coastal storms,Flooding","Department of Parks and Recreation","Existing","Infrastructure Project",,"FEMA-406,Mayoral",,"2016-06-01T00:00:00.000","2020-04-01T00:00:00.000","Between $1 million and $3 million","2.8,2.9","N/A","https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/6275",,"Polygon"
"F.E.080","Sea Gate oceanfront protections","Call on and work with the USACE to study additional protections in Sea Gate.","Flooding","Mayor's Office of Resiliency","Existing","Infrastructure Project",,"Unknown","0",,,"TBD","2.2,2.7","N/A",,,"Polygon"
"CS.2018.054","New Dorp Center Interior Reconstruction (Hurricane Sandy)","This project will reconstruct the first floor of the New Dorp Center in Staten Island due to damage from Hurricane Sandy.","Coastal storms,Flooding","Department of Parks and Recreation","Existing","Infrastructure Project",,"FEMA-406,Mayoral","2127000","2014-04-01T00:00:00.000","2019-09-01T00:00:00.000",,"2.8,2.9","N/A","https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/6318",,"Points"
"CS.2018.055","World's Fair Marina Reconstruction","This project will reconstruct the deteriorated fixed piers, floating docks, bulkhead, and related components, including Sandy-damaged elements.","Coastal storms,Flooding","Department of Parks and Recreation","Existing","Infrastructure Project",,"FEMA-406,Mayoral","2782000","2017-08-01T00:00:00.000","2019-04-01T00:00:00.000",,"2.8,2.9","N/A","https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/8551",,"Polygon"
"CS.2018.056","Bayside Marina Reconstruction","This contract will replace electrical equipment, conduits and cable damaged by Hurricane Sandy at Bayside Marina.","Coastal storms,Flooding","Department of Parks and Recreation","Existing","Infrastructure Project",,"FEMA-406,Mayoral","411000","2014-07-01T00:00:00.000","2018-12-01T00:00:00.000",,"2.8,2.9","N/A","https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/6652",,"Points"
"CS.2018.057","Beach 24th/25th Ramps","This project will construct a ramp to the Rockaway Beach Boardwalk at Beach 24th-25th Streets.","Coastal storms,Flooding","Department of Parks and Recreation","Existing","Infrastructure Project",,"FEMA-406",,"2018-04-01T00:00:00.000","2019-10-01T00:00:00.000","Between $1 milllion an d$3 million","2.8,2.9","N/A","https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/8972",,"Line"
"CS.2018.058","Beach 88th Street Park Construction (Baybreeze Park)","This project will construct Bay Breeze Park.","Coastal storms,Flooding","Department of Parks and Recreation","Existing","Infrastructure Project",,"FEMA-406",,"2018-04-01T00:00:00.000","2019-10-01T00:00:00.000","Between $5 million and $10 million","2.8,2.9","N/A","https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/8970",,"Not Mapped"
