"agency","mbpo_organization_dfta_fy_14","brief_program_description","new_applicant","requested_funding","recommended_funding","program_name","address","city","state","zip","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"DOHMH","Sakhi for South Asian Women","Sakhi seeks funding to support it's Economic Empowerment Program, which provides over 300 survivors of violance a year with opportunities to build skills that strengthen their capacity to be financially independent.","No","10000.00","0.00","Economic Empowerment Program","P.O. Box 20208","New York","NY","10001",,,,,,,,,
"DOHMH","S.L.E. Lupus Foundation, Inc.","The main goal of the LCNY  is to increase Lupus diagnosis and treatment, awareness, education, support, and advocacy in NYC underserved neighborhoods.","Yes","15000.00","4000.00","Lupus Cooperative of New York (LCNY)","330 Seventh Avenue, Suite 1701","New York","NY","10001","MANHATTAN","40.747549","-73.993143","5","3","95","1014264","1007780043","Midtown-Midtown South                                                      "
"DOHMH","The Alpha Workshops","Alpha Workshops Studio School provides classes in decorative arts and painted finishes exclusively to HIV Positive adults residing in the (5) Boroughs who are physically and psychologically ready to return to employmenty, but require targeted help. ","No","7500.00","3500.00","Advanced Training in the Decorative Arts","245 West 29th Street, 14th Fl.","New York","NY","10001","MANHATTAN","40.748417","-73.994222","5","3","95","1014282","1007790013","Midtown-Midtown South                                                      "
"DFTA","Eldridge Street Project, Inc. ","Building upon our past five years of offering Free Mondays, this project will provide free admission to up to 1,500 seniors (and 2,000 adults and families) to visit the Museum at Eldridge street on 52 Mondays year-round (with the exclusion of major legal and Jewish holidays). Last year, we served 1,047 seniors.","No","10000.00","3000.00","Free Mondays (Admission) at Eldridge Street","12 Eldridge Street","New York","NY","10002","MANHATTAN","40.714733","-73.993713","3","1","16","1003778","1002930003","Chinatown                                                                  "
"DFTA","Hamilton-Madison House","Hamilton-Madison House's Senior Services ESL/Ctizenship classes conticue to be an integral part of the senior curriculum. During the program year, a total of 80 seniors take part in classes which were held at the House's 3 senior centers.","No","15000.00","10000.00","Hamilton-Madison House ESL/Citizenship Classes","253 South Street","New York","NY","10002","MANHATTAN","40.710001","-73.990553","3","1","6","1085945","1002480015","Lower East Side                                                            "
"DFTA","Hamilton-Madison House","HMH's Social Adult Day Program's goal is to improve the quality of life for seniors with memory loss, while providing support and education to caregivers/family. The program provides independence, social interaction and involvement in a home-like environment.","No","15000.00","7500.00","Hamilton-Madison House Social Adult Day Program","253 South Street","New York","NY","10002","MANHATTAN","40.710001","-73.990553","3","1","6","1085945","1002480015","Lower East Side                                                            "
"DFTA","Henry Street Settlement","The Good Companion Senior Center is located within the Vladeck Houses complex. It includes a computer lab, a library, case management services, discussion groups, full recreational programming and congregate meals. ","No","20000.00","7000.00","Good Companions Senior Center","265 Henry Street","New York","NY","10002","MANHATTAN","40.713857","-73.984532","3","1","202","1079627","1002880078","Lower East Side                                                            "
"DFTA","Indochina Sino-American Community Center","The target population is unemployed adults of Vietnamese and Chinese refugees and immigrants in Manhattan, Bronx, and other boroughs in New York City. This application proposes two Computer Training for Employment Classes with a total 24 students in one year. Its total funding requested is $13,004, and ISACC will contribute $4,104 in support of this program. THere will be two 20-week semesters with 12 students in each class.","Yes","13004.00","0.00","Computer Training for Emploment","170 Forsyth Street, 2nd Fl.","New York","NY","10002","MANHATTAN","40.721238","-73.991385","3","1","3601","1075911","1004217502","Chinatown                                                                  "
"DFTA","United Jewish Council of the East Side, Inc.","UJC operated two senior centers at Blalystoker Place and Lillian Wald Senior Center. Together the two centers average daily enrollments of 200 people. Five days a week, a hot, kosher and nutritious meal is served to everyone. Additionally, another 160 frail homebound elderly have a meal delivered to their home. ","Yes","14000.00","3000.00","UJC Adult Luncheon Club and Lillian Wald Senior Center","235 East Broadway","New York","NY","10002","MANHATTAN","40.714359","-73.986509","3","1","201","1003732","1002860033","Lower East Side                                                            "
"DFTA","University Settlement Society of New York, Inc.","University Settlement operates an extensive and dynamic Older Adults Program. The core of the program is our full-service Senior Center, which has served older adults living in the Lower East Side, Chinatown and adjacent neighborhoods since 1971. It is a lively and active community space, and approximately 150 seniors a day, out of 837 active members, take advantage of the many resources we offer.","No","15000.00","7500.00","Promoting the Health of Older Adults","184 Eldridge Street","New York","NY","10002","MANHATTAN","40.720653","-73.990674","3","1","18","1005483","1004150018","Chinatown                                                                  "
"DFTA","University Settlement Society of New York, Inc.","University Settlement, the Visiting Nurse Service of New York (VNSNY) and the Tenant Board of Confucius Plaza have established a special collaboration to increase the resources available to the large volume of vulnerable senior living in Manhattan's Chinatown, where there is a high incidence of poverty, isolation and risk for negative health, housing and other outcomes among Chinese immigrant seniors.","No","15000.00","7000.00","Healthy Living @ Confucius Plaza","184 Eldridge Street","New York","NY","10002","MANHATTAN","40.720653","-73.990674","3","1","18","1005483","1004150018","Chinatown                                                                  "
"DOE","A Place for Kids, Inc. ","APKF provides after-school and summer programming for 103 underserved students in K-5th grades. Additionally, the program support 20+ volunteer high school and college students by providing them informal training. Major activities include homework aid, literacy arts, and multicultural workshops. ","No","4950.00","0.00","Literacy Arts and Multicultural Curriculum","111 Division Street","New York","NY","10002","MANHATTAN","40.714398","-73.992299","3","1","6","1003612","1002830094","Lower East Side                                                            "
"DOE","Arts for Art","Music is Mine is a high quality after-school program currently based at the Campos Plaza Community Center. Professional artists conduct workshops, lecture demonstrations, coachings, and mentorships with children ages 6-16. ","No","5000.00","0.00","Music is Mine","107 Suffolk Street, #3.5","New York","NY","10002","MANHATTAN","40.718943","-73.986122","3","1","1402","1004301","1003530054","Lower East Side                                                            "
"DOE","Dynamic Forms Inc.","Our program in Year 11 at PS 15, introduces in 32 weeks the whole school of 200 PreK-5 students, 25 teachers, and 30 support staff to dance (movement, body, patterns, kinesthetic and visual communication) and literacy connections. We will teach all 8 classes for 20 lessons during the school day and 2 classes after school for 48 lessons.","No","6000.00","3000.00","Partnerships in Literacy through Dance & Creativity with PS 15 Roberto Clemente","107 Suffolk Street, Suite 310","New York","NY","10002","MANHATTAN","40.718943","-73.986122","3","1","1402","1004301","1003530054","Lower East Side                                                            "
"DOE","Lower East Side Tenement Museum","The Tenement Museum's education programs utilize history as a means to understand the past and illuminate the present, and encourage meaningful dialogue about the enduring issues that have affected historic and present-day immigrant communities.","No","5000.00","3000.00","Tenement Museum Education Program","91 Orchard Street","New York","NY","10002","MANHATTAN","40.718252","-73.990181","3","1","18","1079706","1004140059","Chinatown                                                                  "
"DPR","Arts for Art","A total of 30 concerns, ten concerts in each of the following gardens gardens: 6BC Botanical Garden, Children's Magical Garden, First Street Green. ","No","5000.00","4000.00","In Gardens","107 Suffolk Street, M RM 3.5","New York","NY","10002","MANHATTAN","40.718943","-73.986122","3","1","1402","1004301","1003530054","Lower East Side                                                            "
"DOE","The Paper Bag Players","New York City Theater For All provides free and low-cost tickets to school children in grades pre-K through Third for The Paper Bag Players school time performances in all five boroughs. Our goal is that any child who wants to see The Paper Bag Players can. The $5000 we are requeseting from the Borough President Stringer will support this program at four shows at harlem Stage/Marian Anderson Theater.","No","5000.00","0.00","NYXC Theater For All (support for shows at Harlem Stage/Marian Anderson Theater)","185 East Broadway","New York","NY","10002","MANHATTAN","40.714154","-73.98902","3","1","6","1003618","1002840018","Lower East Side                                                            "
"DOHMH","Two Bridges Neighborhood Council, Inc. ","Two Bridges operates Community programs focusing on health and wellness, arts and culture, ans science education in the community room of Two brodges Tower a mixed income affordable housing in the two Bridges neighborhood.","No","8400.00","4000.00","Two Bridges Fitness Program","275 Cherry Street, Grnd Fl.","New York","NY","10002","MANHATTAN","40.711351","-73.988558","3","1","6","1077590","1002470001","Lower East Side                                                            "
"DPR","Henry Street Settlement","The Boys and Girls Republic community center's evening program for teens offers high-quality recreational and educational programming to low-income youth from Alphabet City. ","No","10000.00","5000.00","Boys and Girls Republic (BGR)","265 Henry Street","New York","NY","10002","MANHATTAN","40.713857","-73.984532","3","1","202","1079627","1002880078","Lower East Side                                                            "
"DPR","Hester Street Collaborative, Inc. ","1. HSC will work with local youth to design and install the 7th annual Lunar New Year lantern display at Sara D. Roosevelt Park.                                      2. HSC will engage youth in building and maintaining public art installations as well as steward the plant life on Pier 42. ","No","5000.00","3000.00","Youth and Community Engagement in Lower Manhattan Parks","113 Hester Street","New York","NY","10002","MANHATTAN","40.716589","-73.993153","3","1","16","1003973","1003060038","Chinatown                                                                  "
"DFTA","Open Channels New York, Inc.","Since 2001, DP has been providing free artistic workshops through the Citizen Seniors Component of our on-going cultural education and community outreach program.  Through our community partner Sirovich Senior Center in the East Village, we provide the opportunity for elders to create original work based on thier own lives and experiences.","Yes","5000.00","3000.00","Citizens Senior","161A Chrystie Street, Ground Fl.","New York","NY","10,002.00",,,,,,,,,
"DFTA","AARP Foundation -Manhattan Tax Aide","Manhattan Tax Aide is a volunteer-run tax return preparation service absoultely free to low and middle income elderly residents of Manhattan. In 2013 we prepared and efiled over 5,500 federal/state returns and had over 160 volunteers. ","No","5000.00","5000.00","Manhattan Tax Aide","c/o Elizabeth Mindlin - 130 East 18th Street","New York","NY","10003",,,,,,,,,
"DFTA","Cooper Square Community Development Committee","The Cooper Square Committee wants to create a Senior Health, Advocacy and Recreation Program (SHARP) for a Naturally Occuring Retirement Community (NORC) in a 20 block area, located between East 5th Street and Stanton Street, from the Bowery to 1st Avenue. ","Yes","10000.00","3000.00","Senior Health, Advocacy and Recreation Project (SHARP)","61 East 4th Street","New York","NY","10003","MANHATTAN","40.726755","-73.990735","3","2","38","1082642","1004600056","East Village                                                               "
"DFTA","New York Theatre Workshop","MIND THE GAP was created by NYTW in 2009 and since that time has grown from a pilot project to a full-fledged, year-round program. For each workshop, NYTW assembles a committed group of 7 seniors (or elders) and 7 high school students interested in and comfortable with the goals of the program. Beyond the vast age range of 13 to late 80s, NYTW assembles groups of participants that bring with them a mixture of ethnicities, skill levels, personal experiences and economic situation.","No","5000.00","3000.00","Mind the Gap","79 East 4th Street","New York","NY","10003","MANHATTAN","40.726483","-73.990096","3","2","38","1006601","1004600046","East Village                                                               "
"DOE","Art for Progress, Inc.","Alternative Arts Workshops involve introductory and customized lessons in alternative art forms i.e. photography, fashion, visual art, musical instruments, and DJ instruction. The prgram currently serves over 300 Manhattan public school students. ","Yes","5000.00","0.00","Alternative Arts Workshops","151 First Avenue, #26","New York","NY","10003","MANHATTAN","40.728387","-73.984717","3","2","40","1075923","1004510036","East Village                                                               "
"DOE","Ballet Tech Foundation, Inc.","The After-School Program provides an educational environment for 4th-8th graders enrolled at Ballet Tech school. The program intergrates pre-professional dance training with academic instruction for 150 NYC public school students, all tuition-free. ","No","10000.00","0.00","The Ballet Tech School After-School Program","890 Broadway","New York","NY","10003","MANHATTAN","40.73859","-73.989911","5","2","52","1016163","1008487502","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"DOE","GO Project","The GO Project serves 567 low-income students in grades K-8 who are performing below grade level, with a focus on those attending under-resourced schools in Lower Manhattan's school district1. GO Summer is a rigorous five-week summer program with a staff of certified teachers and specialists, enrichment teachers, teaching assistants, student teachers/techer candidates and skilled volunteer.","Yes","10000.00","5000.00","GO Summer: Avoiding the Summer Learning Loss","86 Fourth Avenue ","New York","NY","10003","MANHATTAN","40.731674","-73.990305","2","2","61","1008997","1005570001","West Village                                                               "
"DOE","Greenwich Village Society for Historic Preservation","""History and Historic Preservation"" has used New York City as a living classroom for students to explore and learn more about how history an be found - and preserved - in their physical surroundings.","No","5000.00","0.00","History and Historic Preservation: A Student Education Program","232 East 11th Street","New York","NY","10003","MANHATTAN","40.730817","-73.987433","3","2","40","1006817","1004660025","East Village                                                               "
"DOE","Youth Service Opportunities Project, Inc. ","YSOP programs introduce students to volunteer service with homeless and hungry people. In our programs, students spend a day serving in soup kitchens, drop-in centers, food pantries, a clothing bank, a furniture distribution center, and in recreational programs for homeless children.","No","5000.00","0.00","YSOP Service Days","15 Rutherford Place","New York","NY","10003","MANHATTAN","40.733652","-73.985051","6","2","48","1082121","1008970016","Gramercy                                                                   "
"DOHMH","AIDS Service Center of Lower Manhattan, Inc.","ASCNYC proposes to augment its urban farm at ASCNYC's Casa Washington Heights Community Center, which produces organiz vegetables and herbs our Food & Nutrition Program throught the addition of a nutrition education/organic farming group.","No","10694.00","4000.00","CASA Washington Heights Urban Farm","41 East 11th Street, 5th Fl.","New York","NY","10003","MANHATTAN","40.733164","-73.99296","2","2","61","1009127","1005630001","West Village                                                               "
"DOHMH","Fourth Arts Block Inc.","The FAB Festival will include outdoor movement workshops with experienced educators, healthy & organic food vendors, the local food co-op's bike-powered smoothie station and a bike valet courtesy of TA.","No","3500.00","0.00","FAB! Festival","61 East 4th Street","New York","NY","10003","MANHATTAN","40.726755","-73.990735","3","2","38","1082642","1004600056","East Village                                                               "
"DOHMH","Police Athletic League, Inc.","In partnership with NYC family Court and Dept. of Probation, Youthlink provides services to youth who get in trouble with the law at an early age.","No","5000.00","3000.00","PAL Youth Link","34 1/2 East 12th Street","New York","NY","10003","MANHATTAN","40.733809","-73.992549","2","2","61","1009129","1005630020","West Village                                                               "
"DOHMH","Resources for Children with Special Needs, Inc. ","The camp fair is about connecting families with community resources and opportunities.  For low-income families, we provide links to public sector family re-imbursement programs, religious and fraternal organizations, and camps anf charities that provides scholarships for needy campers.","No","7550.00","5000.00","Special Camp Fair 2014","116 East 16th Street","New York","NY","10003","MANHATTAN","40.73548","-73.98828","5","2","50","1017815","1008710070","Gramercy                                                                   "
"DPR","New York City Community Garden Coalition","The festival is a celebration of life on the Lower East Side, 24 LES community gardens participated in the event. The festival allowed for residents to visit gardens for the first time. Hundred of artist participated including dance companies and musicians from around the world, comedians, theater companies, etc. ","Yes","5000.00","3000.00","LAFF Lungs Arts Fall Festival","232 East 11th Street","New York","NY","10003","MANHATTAN","40.730817","-73.987433","3","2","40","1006817","1004660025","East Village                                                               "
"DOE","Child Abuse Prevention Program, Inc. ","Child Safety Workshop is targeted to elementary school children and their families. The workshop uses life-size puppets to teach children how to recognize, resist, and report physical and sexual abuse. ","No","5000.00","5000.00","Child Safety Workshop","5 Hanover Square, 15th Fl.","New York","NY","10004","MANHATTAN","40.704923","-74.009046","1","1","7","1000832","1000280005","Battery Park City-Lower Manhattan                                          "
"DFTA","New York Mortgage Coalition","The objective of Financial Literacy for Seniors is to empower New York City's senior population (65 and older) with the financial literacy and tools they need to protect their financial assets, make informed economic decisions, and avoid the scam artists that prey upon our vulnerable populations, particularly the aging.","Yes","9500.00","5000.00","Financial Literacy for Seniors","50 Broad Street - Suite 1125","New York","NY","10004",,,,,,,,,
"DFTA","The Women's Center for Education and Career (Fiscal Conduit: Fund for the City of New York)","WORKERDAY is a tuition-free career preparation program that will make it possible fgor 120 NYC low-income women of color, middle aged and older, to succeed in today's competitive, global job market. It provides the support and opportunity needed to become successful workers and offers concrete skills and strategies to help women move into better paying careers.","Yes","10000.00","5000.00","WORKREADY","11 Broadway, Suite 450","New York","NY","10004","MANHATTAN","40.705354","-74.013731","1","1","13","1000044","1000130005","Battery Park City-Lower Manhattan                                          "
"DOE","Community- Word Project, Inc.","Community-Word Project's Collaborative Arts Residency Program integrates creative writing and art-making in order to inspire New York City public school students to learn powerful ways to express their own stories and learn critical literacy and life skills.","Yes","10000.00","3000.00","Collaborative Arts Residency Program","11 Broadway, Suite 508","New York","NY","10004","MANHATTAN","40.705354","-74.013731","1","1","13","1000044","1000130005","Battery Park City-Lower Manhattan                                          "
"DOE","National Museum of the American Indian","The request is towards testing of pilot programs for imagiNATIONS, the museum's upcoming new education center. The request will wupport research and development of education programs intended for students and teachers from New York City public schools.","No","5000.00","0.00","imagiNATIONS: Expanding Learning Opportunities for Youth","One Bowling Green","New York","NY","10004",,,,,,,,,
"DOE","PowerPlay NYC, Inc.","The PowerPlay STARS after school and summer programs promote physical activity, healthy living, wellness and life-skills, learning for girls in underserved communities. ","Yes","10000.00","0.00","STARS Program","42 Broadway, 20th Floor","New York","NY","10004","MANHATTAN","40.70627","-74.012909","1","1","9","1000812","1000220020","Battery Park City-Lower Manhattan                                          "
"DOHMH","The Coalition of Behavoral Health Agencies","The Coalition plans to provide Manhattan's behaviorial health agencies with the best and most up to date information on behavioral health policy reforms using direct training and consultation on managed care and other mandatory changes and opportunities.","Yes","25000.00","5500.00","Preparing for Managed Care and Beyond","90 Broad Street","New York","NY","10004","MANHATTAN","40.703954","-74.011592","1","1","9","1000025","1000100016","Battery Park City-Lower Manhattan                                          "
"DOHMH","Mental Health Association of New York City, Inc.","MHA-NYC's YES program is a unique, integrated, year-round program that combines education and vocational programming with mental health services and life-skills training for a high-risk population of poor, minority youth with serious emotional disturbance (SED).","No","6500.00","4000.00","Manhattan Adolescant Skills Center Youth Employment Services (YES) Internship Program","50 Broadway, 19th Fl.","New York","NY","10004","MANHATTAN","40.706449","-74.012761","1","1","9","1000813","1000220024","Battery Park City-Lower Manhattan                                          "
"DOHMH","New York Asian Women's Center, Inc.","NYAWC's Innovative Drawing and Truth/Mentoring (DAT) Program engages youth (12-21) years old through digital art therapy and mentorship to recover from the trauma of witnessing domestiv violence and/or being abused themselves.","No","8000.00","4000.00","Drawing and Truth/Mentoring (DAT)","32 Broadway, 10th Fl.","New York","NY","10004","MANHATTAN","40.706045","-74.013096","1","1","9","1078979","1000220017","Battery Park City-Lower Manhattan                                          "
"DOHMH","New York City Alliance Against Sexual Assault","The New York City Alliance Against Sexuakl Assault seeks funding to support an ongoing participatory action research study on the barriers immigrant women residing throughout the five Boroughs of NYC face in seeking support and treatment for sexual assault and intimate partner violence. ","No","10000.00","0.00","Researching Immigrant Women SV/IPV Victims' Help-Seeking Behaviors & Outcome","32 Broadway, Suite 1101","New York","NY","10004","MANHATTAN","40.706045","-74.013096","1","1","9","1078979","1000220017","Battery Park City-Lower Manhattan                                          "
"DOHMH","New York City Coalition Against Hunger","Funding will support the Farm Fresh Initiatives, an innovative and highly successful community supported agriculture program that primarily serves low-income households in NYC communities.  Funding will support the West Harlem site.","No","10000.00","4000.00","Farm Fresh Initiative: West Harlem","50 Braod Street, Suite 1520","New York","NY","10004",,,,,,,,,
"DOHMH","New York Legal Assistance Group, Inc.","NYLAG prioritizes legal services to victims of domestic violence and works to ensure that they are given access to the justice system.  DVCC assists clients in Manhattan in obtaining orders-of-protection to provide representation in custody and visitstion matters in family court.","No","10000.00","4000.00","Domestic Violence Prevention Project","7 Hanover Square, 18th Fl.","New York","NY","10004","MANHATTAN","40.70447","-74.009406","1","1","9","1000855","1000300019","Battery Park City-Lower Manhattan                                          "
"DPR","Battery Conservancy","Battery Urban Farm is a one-acre organic farm at Battery Park. The program includes a comprehensive educational programming and two free community festivals. The program serves children City-wide, but mostly downtown schools. For FY 14 BUF will pilot two new programs. ","No","5000.00","0.00","Battery Urban Farm","One Whitehall Street, 17th Fl.","New York","NY","10004",,,,,,,,,
"DPR","Center for Employment Opportunities, Inc.","Program participants are given a five-day job readiness course and are subsequently employed at a transitional job site. These jobs establish a bridge to private sector employment by fostering behaviours and skills needed for joining the permanent workforce. ","No","10000.00","5000.00","Transitional Jobs to Clean marcus Garvey Park","32 Broadway, 15th Fl.","New York","NY","10004","MANHATTAN","40.706045","-74.013096","1","1","9","1078979","1000220017","Battery Park City-Lower Manhattan                                          "
"DPR","Citizens Committee for New York City","A partnership that supports innovative vonlunteer-led iniatives in Manhattan led by everyday New Yorkers of all ages, predominantly people living in underserved neighborhoods. Project examples include new community gardens, composting initiatives, rainwater harversting, etc. ","No","10000.00","3000.00","New Yorkers for Better Neighborhoods","77 Water Street, Suite 202","New York","NY","10005","MANHATTAN","40.704275","-74.008681","1","1","7","1000863","1000330001","Battery Park City-Lower Manhattan                                          "
"DPR","The New York City Police Museum","The Annual Vintage Police Car Shows held on and around Old Slip Park in lower Manhattan on June 7, 2014. This annual one day free event brings together over 40 vintage police vehicles from around the country and from a variety of eras.","No","5000.00","0.00","The Annual Vintage Police Car Show","100 Ols Slip","New York","NY","10005",,,,,,,,,
"DFTA","Church Street School for Music and Art, Inc."," Church Street School for Music and Art's Seniors Chorus Program plays a key role in the artistic and cultural lives of Lower Manhattan's residents of advanced age. The seniors Chorus Program provides the opportunity for senior citizens to socialize with one another through a collaborative artistic process that expands their cultural horizons and helps support their physical and mental health. ","No","7500.00","4000.00","Seniors Chorus Program","74 Warren Street","New York","NY","10007","MANHATTAN","40.715081","-74.009952","1","1","21","1082033","1001370001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DFTA","MFY Legal Services, Inc. ","NFY's Manhattan Seniors Project provides a broad range of high quality civil legal services to seniors, including housing, benefits, health care, consumer, and abuse issues, priortizing those at risk of losing their housing and independence. The project is also part of an assigned counsel program in partnership with the New York City Department for the Aging to defend seniors who are facing imminent eviction and who need both legal and social work help to resolve their housing problem.","No","20000.00","10000.00","Manhattan Seniors Project","299 Broadway, 4th Fl.","New York","NY","10007","MANHATTAN","40.715046","-74.005591","1","1","33","1001648","1001500031","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DFTA","New York Foundation for Senior Citizens, Inc.","New York Foundation for Senior Citizens has been successfully administering its Manhattan Home Sharing and Respite Care Program, the only service of its type in New York City, since 1982. Home sharing matches prospective adult ""hosts"" who have private bedrooms available within their homes with appropriate adult ""guests"" to share their living spaces. One of the ""matchmates"" must be age 60 or over","No","35000.00","8000.00","Home Sharing and Respite Care Program","11 Park Place, Suite 1416","New York","NY","10007","MANHATTAN","40.712828","-74.008296","1","1","21","1001399","1001240004","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DOE","Council on the Environment, Inc. ","GrowNYC proposes to engage 300 students (grade 5 - 12) from approximately four Manhattan schools in meaningful service-learning based environmental education and activities that explore energy use and conservation, climate change and habitat restoration through its Environmental Education program (EE).","No","5000.00","0.00","Hands-on Environmental Education for Manhattan School Children","51 Chambers  Street, Rm. 228","New York","NY","10007","MANHATTAN","40.713797","-74.005494","1","1","31","1079216","1001530018","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DOE","The Anne Frank Center USA","The Anne Frank Center USA (AFC) presents exhibits and programs that teach students about the dangers of intolerance, hatred and discrimination against other because of race, religion, ethnicity, and sexual orientation. Sadly there are many powerful stories that illustrate the history and contemporary face of intolerance. AFC would like to present a series of short-term special exhibits that will broaden the subject matter available for school groups.","No","7500.00","0.00","Confronting Intolerance: Special Exhibits at The Anne Frank Center","44 Park Place ","New York","NY","10007","MANHATTAN","40.713306","-74.009389","1","1","21","1001409","1001250020","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"DOE","Urban Dove","The Net Gain program currently serves 13 Manhattan public high schools, all of which lack their own gym facilities and are unable to provide after-school athletics to their students. Urban Dove provides free court time to these schools so that they may join the Department of Education's Public School Athletic League (PSAL) and compete in a varsity basketball season.","No","10000.00","0.00","Net Gain","Church Street Station PO Box 305","New York","NY","10008",,,,,,,,,
"DFTA","Good Old Lower East Side, Inc.","Launched in 2011, GHAP is designed to increase GOLES' capacity to provide comprehensive supportive health and social services to seniors, with a dedicated community organizer who engages seniors in program development, addresses their immdediate needs, and works to increase their involvement in community issues. Through GHAP, Lower East Side seniors participate in seekly Health and well-being seminars, tax clinics, and workshops on diverse issues, from financial empowerment to environmental justice","No","10000.00","7000.00","GOLES Healthy Aging Program (GHAP)","169 Avenue B","New York","NY","10009","MANHATTAN","40.727253","-73.979612","3","2","28","1004875","1003930006","Lower East Side                                                            "
"DOE","Movement Research, Inc. ","Acollaboration with NYC public school communities, Dance Makers in the Schools creates educational opportunities in which working dance artists teach childrenn and share their own creative processes.","No","5000.00","0.00","Dance Makers in the Schools","55 Avenue C","New York","NY","10009","MANHATTAN","40.722431","-73.980075","3","2","2601","1004645","1003870037","Lower East Side                                                            "
