"bronx_cooperatives_comparable_properties_boro_block_lot","bronx_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","bronx_cooperatives_comparable_properties_neighborhood","bronx_cooperatives_comparable_properties_building_classification","bronx_cooperatives_comparable_properties_total_units","bronx_cooperatives_comparable_properties_year_built","bronx_cooperatives_comparable_properties_gross_sqft","bronx_cooperatives_comparable_properties_est_gross_income","bronx_cooperatives_comparable_properties_gross_income_per_sqft","bronx_cooperatives_comparable_properties_full_market_value","bronx_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"2-02732-0021","850 SOUTHERN BOULEVARD
Bronx, NY 
(40.817723033952, -73.89473420663)","2","10459","40.817698","-73.89478","2","17","89","2005844","2027320021","Hunts Point                                                                ","MORRISANIA/LONGWOOD","C6-WALK-UP","58","1923","41874","318242","7.6","899000","21.47","2-02532-0033","1343 MERRIAM AVENUE
Bronx, NY 
(40.841456634676, -73.92573290369)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","61","1917","66399","505005","7.61","1550000","23.34","2.3","2-02427-0001","391 168 STREET
Bronx, NY 
(40.832463162195, -73.910076878871)","MELROSE/CONCOURSE","C7-WALK-UP","16","1923","11055","116955","10.58","395000","35.7","1.35"
"2-03396-0021","4265 WEBSTER AVENUE
Bronx, NY 
(40.897991048131, -73.862487867703)","2","10470","40.89793","-73.862482","12","11","45101","2019775","2033960021","Woodlawn-Wakefield                                                         ","WOODLAWN","D4-ELEVATOR","53","1955","62015","663560","10.7","2240000","36.1","2-03256-0020","201 KINGSBRIDGE ROAD
Bronx, NY 
(40.866095430305, -73.894130937368)","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","54","1998","67084","780543","11.64","2750000","41","2.7","2-04365-0064","1135 PELHAM PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","PELHAM PARKWAY NORTH","D1-ELEVATOR","53","1955","57000","600820","10.54","2030000","35.6","2.65"
"2-03165-0022","2414 CRESTON AVENUE
Bronx, NY 
(40.860783349709, -73.899149540539)","2","10468","40.860764","-73.899205","5","14","23703","2013793","2031650022","Fordham South                                                              ","FORDHAM","C6-WALK-UP","30","1914","23250","218550","9.4","617000","26.5","2-03088-0003","2310 BELMONT AVENUE
Bronx, NY 
(40.85290268676, -73.887000226716)","BELMONT","C1-WALK-UP","28","1910","22000","217800","9.9","736000","33.5","0.8","2-03091-0003","655 189 STREET
Bronx, NY 
(40.856675749029, -73.884491063189)","BELMONT","C1-WALK-UP","27","1912","20250","184627","9.12","609000","30.1","0.8"
"2-05873-1042","6601 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10471","40.908486","-73.896579","8","11","343","2085341","2058731042","North Riverdale-Fieldston-Riverdale                                        ","RIVERDALE","D4-ELEVATOR","72","1958","92640","1019040","11","3590000","38.8","2-05787-0137","3220 NETHERLAND AVENUE
Bronx, NY 
(40.883961568175, -73.911511205264)","RIVERDALE","D1-ELEVATOR","85","1954","100498","1155727","11.5","4070000","40.5","1.8","2-05814-1195","6141 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","FIELDSTON","D1-ELEVATOR","86","1962","90000","813493","9.04","2680000","29.8","1"
"2-04252-0017","1910 PELHAM PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10461","40.855675","-73.829012","10","13","300","2047829","2042520017","Pelham Bay-Country Club-City Island                                        ","SCHUYLERVILLE/PELHAM BAY","D4-ELEVATOR","52","1964","44329","338673","7.64","1040000","23.46","2-04246-0020","2025 CONTINENTAL AVENUE
Bronx, NY 
(40.852503424205, -73.829825319969)","SCHUYLERVILLE/PELHAM BAY","D1-ELEVATOR","55","1963","57840","485856","8.4","1600000","27.7","0.15",,,,,,,,,,,,
"2-03293-0052","274 194 STREET
Bronx, NY 
(40.864814857741, -73.892478126009)","2",,,,,,,,,,"FORDHAM","C6-WALK-UP","20","1912","18500","178525","9.65","504000","27.2","2-03278-0016","2720 DECATUR AVENUE
Bronx, NY 
(40.865354961532, -73.888197336997)","BEDFORD PARK/NORWOOD","C1-WALK-UP","26","1915","24080","248264","10.31","839000","34.8","0.3","2-03287-0001","301 193 STREET
Bronx, NY 
(40.864045790411, -73.892408701401)","FORDHAM","C1-WALK-UP","12","1910","14220","127767","8.99","421000","29.6","0.05"
"2-02869-0143","2015 GRAND AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10453","40.853351","-73.91","5","14","243","2008611","2028690143","University Heights-Morris Heights                                          ","HIGHBRIDGE/MORRIS HEIGHTS","C6-WALK-UP","31","1924","25000","226500","9.06","640000","25.6","2-02829-0030","55 179 STREET
Bronx, NY 
(40.852197110553, -73.907498623411)","MOUNT HOPE/MOUNT EDEN","C1-WALK-UP","33","1923","29655","279943","9.44","923000","31.1","0.25","2-02867-0013","1662 GRAND AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","27","1925","17674","153233","8.67","505000","28.6","0.35"
"2-02615-0055","1225 BOSTON ROAD
Bronx, NY 
(40.829927670252, -73.901905456962)","2","10456","40.830039","-73.901727","3","16","149","2004311","2026150055","Morrisania-Melrose                                                         ","MORRISANIA/LONGWOOD","C6-WALK-UP","25","1905","24930","206919","8.3","584000","23.43","2-02669-0042","991 UNION AVENUE
Bronx, NY 
(40.823777854374, -73.901469427661)","MORRISANIA/LONGWOOD","C1-WALK-UP","21","1905","20855","198540","9.52","561000","26.9","0.45","2-02399-0006","652 COURTLANDT AVENUE
Bronx, NY 
(40.819036917852, -73.918383917852)","MELROSE/CONCOURSE","C7-WALK-UP","47","1926","38875","414976","10.67","1400000","36","1.15"
"2-02878-0061","1641 ANDREWS AVENUE
Bronx, NY 
(40.848267885988, -73.919415392994)","2","10453","40.848236","-73.919411","5","14","21501","2009001","2028780061","University Heights-Morris Heights                                          ","HIGHBRIDGE/MORRIS HEIGHTS","C6-WALK-UP","61","1925","55750","490600","8.8","1390000","24.93","2-02865-0032","1566 MACOMBS ROAD
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","56","1925","60000","527550","8.79","1620000","27","0.35","2-02879-0080","1834 PHELAN PLACE
Bronx, NY 
(40.853071904671, -73.916562723999)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","60","1926","55700","462867","8.31","1530000","27.5","0.35"
"2-03106-0044","1961 MAPES AVENUE
Bronx, NY 
(40.84434329928, -73.887537986259)","2","10460","40.843956","-73.887824","6","17","36501","2012938","2031060044","East Tremont                                                               ","EAST TREMONT","C6-WALK-UP","24","1910","23550","197820","8.4","559000","23.74","2-03118-0029","2095 MOHEGAN AVENUE
Bronx, NY 
(40.845371224015, -73.883621843594)","EAST TREMONT","C7-WALK-UP","27","1911","22750","262990","11.56","927000","40.7","0.2","2-03091-0001","2480 BELMONT AVENUE
Bronx, NY 
(40.856736348154, -73.884574112538)","BELMONT","C7-WALK-UP","24","1912","20250","172732","8.53","530000","26.2","0.9"
"2-03145-0026","2279 TIEBOUT AVENUE
Bronx, NY 
(40.856291140695, -73.897487267605)","2","10457","40.856313","-73.897448","5","15","38301","2013410","2031450026","Fordham South                                                              ","FORDHAM","C6-WALK-UP","16","1925","10032","123393","12.3","349000","34.8","2-03145-0025","2283 TIEBOUT AVENUE
Bronx, NY 
(40.856378494868, -73.897432319013)","FORDHAM","C1-WALK-UP","16","1925","9424","127387","13.52","360000","38.2","0","2-03145-0028","2273 TIEBOUT AVENUE
Bronx, NY 
(40.856160109475, -73.897569690469)","FORDHAM","C1-WALK-UP","16","1925","10032","101570","10.12","287000","28.6","0"
"2-04317-0006","2160 BRONX PARK
Bronx, NY 
(40.854668775875, -73.869485173014)","2","10467","40.856629","-73.875725","27","15","334",,,"park-cemetery-etc-Bronx                                                    ","PELHAM PARKWAY SOUTH","D4-ELEVATOR","61","1938","64291","561260","8.73","1850000","28.8","2-04317-0040","2185 BOLTON STREET
Bronx, NY 
(40.856254677536, -73.868683134224)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","67","1935","70704","546205","7.73","1680000","23.76","0","2-04317-0046","2165 BOLTON STREET
Bronx, NY 
(40.855821549924, -73.868695611151)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","67","1935","70230","683418","9.73","2310000","32.9","0"
"2-05845-1863","5425 VALLES AVENUE
Bronx, NY 
(40.901688988553, -73.899737484959)","2","10471","40.901943","-73.899617","8","11","345","2084745","2058451863","North Riverdale-Fieldston-Riverdale                                        ","RIVERDALE","D4-ELEVATOR","108","1965","110000","1210000","11","4270000","38.8","2-05746-0567","2675 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","78","1951","92782","1016704","10.96","3580000","38.6","1.7","2-05787-0137","3220 NETHERLAND AVENUE
Bronx, NY 
(40.883961568175, -73.911511205264)","RIVERDALE","D1-ELEVATOR","85","1954","100498","1155727","11.5","4070000","40.5","1.35"
"2-04319-0015","2186 CRUGER AVENUE
Bronx, NY 
(40.856169805382, -73.866617620992)","2","10462","40.856002","-73.866635","11","13","22403","2049405","2043190015","Pelham Parkway                                                             ","PELHAM PARKWAY SOUTH","D4-ELEVATOR","73","1930","70812","692541","9.78","2340000","33","2-04319-0045","2157 HOLLAND AVENUE
Bronx, NY 
(40.85510987047, -73.865776406203)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","73","1930","73842","722189","9.78","2440000","33","0",,,,,,,,,,,,
"2-03281-0001","325 201 STREET
Bronx, NY 
(40.870477494828, -73.883145603291)","2",,,,,,,,,,"BEDFORD PARK/NORWOOD","D4-ELEVATOR","73","1950","96250","962500","10","3250000","33.8","2-03308-0051","253 202 STREET
Bronx, NY 
(40.872917301805, -73.88514514725)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","101","1965","94600","1043895","11.03","3680000","38.9","0.2","2-03320-0044","222 BEDFORD PARK
Bronx, NY 
(40.825576999979, -73.918448999722)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","63","1939","71250","651937","9.15","2150000","30.2","0.25"
"2-02967-0006","1574 BOSTON ROAD
Bronx, NY 
(40.835732215568, -73.891405855244)","2","10460","40.835744","-73.891484","3","17","153","2010300","2029670006","Crotona Park East                                                          ","CROTONA PARK","D4-ELEVATOR","54","1929","50000","550000","11","1550000","31","2-02453-0030","1210 SHERMAN AVENUE
Bronx, NY 
(40.833944618593, -73.915758651694)","MELROSE/CONCOURSE","D7-ELEVATOR","56","1938","53000","657311","12.4","2470000","46.6","1.25","2-03197-0001","2280 GRAND AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","KINGSBRIDGE HTS/UNIV HTS","D7-ELEVATOR","55","1927","53662","589184","10.98","2080000","38.8","1.8"
"2-02290-0001","401 145 STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,"MOTT HAVEN/PORT MORRIS","C6-WALK-UP","13","1910","10789","99151","9.19","280000","26","2-02550-0007","218 ST ANN'S AVENUE
Bronx, NY 
(40.806352785531, -73.917771344834)","MOTT HAVEN/PORT MORRIS","C7-WALK-UP","16","1910","13440","103987","7.74","319000","23.74","0.5",,,,,,,,,,,,
"2-05737-0061","640 231 STREET
Bronx, NY 
(40.883259768082, -73.914657656949)","2",,,,,,,,,,"RIVERDALE","D4-ELEVATOR","61","1953","72800","837200","11.5","2950000","40.5","2-05874-1028","6629 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","84","1962","76009","895893","11.79","3160000","41.6","2.05","2-05793-0467","3555 OXFORD AVENUE
Bronx, NY 
(40.88632086694, -73.908793797665)","RIVERDALE","D1-ELEVATOR","57","1960","72553","779281","10.74","2630000","36.2","0.35"
"2-05909-0977","4525 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10471","40.891386","-73.908483","8","11","30701","2085807","2059090977","North Riverdale-Fieldston-Riverdale                                        ","RIVERDALE","D4-ELEVATOR","145","1953","201511","2450373","12.16","8640000","42.9","2-05909-0163","3950 BLACKSTONE AVENUE
Bronx, NY 
(40.890261642548, -73.911362719053)","RIVERDALE","D1-ELEVATOR","176","1959","237000","2694049","11.37","9500000","40.1","0","2-05920-0687","699 239 STREET
Bronx, NY 
(40.889952051174, -73.915197373288)","RIVERDALE","D1-ELEVATOR","132","1962","160000","2155015","13.47","8100000","51","0.2"
"2-03263-0085","3900 BAILEY AVENUE
Bronx, NY 
(40.885139255638, -73.896235152543)","2","10463","40.885301","-73.8954","8","11","279","2016021","2032630085","Van Cortlandt Village                                                      ","KINGSBRIDGE/JEROME PARK","D4-ELEVATOR","188","1963","247530","2722830","11","7690000","31.1","2-03670-0001","950 UNDERHILL AVENUE
Bronx, NY 
(40.824713393806, -73.860838048888)","SOUNDVIEW","D3-ELEVATOR","209","1966","216650","1778511","8.21","5460000","25.2","4.45","2-05909-0163","3950 BLACKSTONE AVENUE
Bronx, NY 
(40.890261642548, -73.911362719053)","RIVERDALE","D1-ELEVATOR","176","1959","237000","2694049","11.37","9500000","40.1","0.95"
"2-03280-0013","2962 DECATUR AVENUE
Bronx, NY 
(40.86829433307, -73.883727818096)","2","10458","40.868371","-73.883629","7","11","415","2016434","2032800013","Bedford Park-Fordham North                                                 ","BEDFORD PARK/NORWOOD","D4-ELEVATOR","74","1940","43195","452683","10.48","1530000","35.4","2-03297-0001","2929 BAINBRIDGE AVENUE
Bronx, NY 
(40.870190987252, -73.885584709637)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","55","1955","59085","639948","10.83","2260000","38.2","0.2",,,,,,,,,,,,
"2-03111-0004","2120 MAPES AVENUE
Bronx, NY 
(40.847241299303, -73.884964707681)","2","10460","40.847123","-73.885094","6","15","36501","2012994","2031110004","East Tremont                                                               ","EAST TREMONT","C6-WALK-UP","29","1914","27495","261202","9.5","738000","26.8","2-03091-0003","655 189 STREET
Bronx, NY 
(40.856675749029, -73.884491063189)","BELMONT","C1-WALK-UP","27","1912","20250","184627","9.12","609000","30.1","0.7","2-03111-0009","814 181 STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","EAST TREMONT","C1-WALK-UP","35","1931","33250","325974","9.8","1100000","33.1","0"
"2-03316-0050","2685 CRESTON AVENUE
Bronx, NY 
(40.867471440749, -73.894874165406)","2","10468","40.867449","-73.894842","7","14","40304","2017481","2033160050","Van Cortlandt Village                                                      ","BEDFORD PARK/NORWOOD","D4-ELEVATOR","73","1940","77850","709992","9.12","2340000","30.1","2-03320-0044","222 BEDFORD PARK
Bronx, NY 
(40.825576999979, -73.918448999722)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","63","1939","71250","651937","9.15","2150000","30.2","0.45","2-03320-0037","2940 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","BEDFORD PARK/NORWOOD","D7-ELEVATOR","66","1923","75121","658811","8.77","2170000","28.9","0.45"
"2-02876-0001","1600 NELSON AVENUE
Bronx, NY 
(40.846072427991, -73.919670483572)","2","10453","40.846403","-73.919327","5","14","21502","2008793","2028760001","University Heights-Morris Heights                                          ","HIGHBRIDGE/MORRIS HEIGHTS","C6-WALK-UP","32","1912","26650","241449","9.06","682000","25.6","2-02876-0065","1592 DR
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","32","1922","29315","265552","9.06","875000","29.8","0.05","2-02876-0067","1600 DR
Bronx, NY 
(40.825576999979, -73.918448999722)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","32","1922","29315","265552","9.06","875000","29.8","0.05"
"2-05902-0193","3515 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10463","40.886399","-73.912823","8","11","30701","2085774","2059020193","North Riverdale-Fieldston-Riverdale                                        ","RIVERDALE","D4-ELEVATOR","79","1954","104000","1352000","13","5080000","48.8","2-05903-0283","3611 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D3-ELEVATOR","123","1951","134000","1745168","13.02","6560000","49","0.05","2-05796-0129","3660 OXFORD AVENUE
Bronx, NY 
(40.887600254178, -73.90868609313)","RIVERDALE","D3-ELEVATOR","77","1967","106934","1184173","11.07","4170000","39","0.25"
"2-05713-0107","290 232 STREET
Bronx, NY 
(40.881736548268, -73.906890975151)","2",,,,,,,,,,"KINGSBRIDGE/JEROME PARK","D4-ELEVATOR","117","1966","122000","1403000","11.5","3960000","32.5","2-03143-0036","2180 FOLIN STREET
Bronx, NY 
(40.854549288043, -73.897739252095)","FORDHAM","D1-ELEVATOR","120","1972","125685","1621667","12.9","4580000","36.4","1.95","2-03136-0001","2008 BRYANT AVENUE
Bronx, NY 
(40.840123918002, -73.882055711337)","EAST TREMONT","D3-ELEVATOR","204","1973","222060","2344833","10.56","6620000","29.8","3.1"
"2-03313-0069","3184 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,"BEDFORD PARK/NORWOOD","D4-ELEVATOR","64","1963","80811","737693","9.13","2430000","30.1","2-03308-0051","253 202 STREET
Bronx, NY 
(40.872917301805, -73.88514514725)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","101","1965","94600","1043895","11.03","3680000","38.9","0.25","2-03297-0001","2929 BAINBRIDGE AVENUE
Bronx, NY 
(40.870190987252, -73.885584709637)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","55","1955","59085","639948","10.83","2260000","38.2","0.45"
"2-02473-0067","660 WALTON AVENUE
Bronx, NY 
(40.821907385804, -73.927117568424)","2","10451","40.82262","-73.926809","4","8","63","2000000","2024670001","West Concourse                                                             ","MELROSE/CONCOURSE","D4-ELEVATOR","83","1936","119500","912980","7.64","2800000","23.43","2-02465-0034","114 168 STREET
Bronx, NY 
(40.83626325682, -73.918019794455)","MELROSE/CONCOURSE","D1-ELEVATOR","59","1927","70000","462386","6.61","1420000","20.29","0.9","2-02520-0028","1372 NELSON AVENUE
Bronx, NY 
(40.841492586084, -73.922633495587)","HIGHBRIDGE/MORRIS HEIGHTS","D1-ELEVATOR","25","1936","21600","179111","8.29","590000","27.3","1.2"
"2-03083-0001","661 181 STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,"EAST TREMONT","D4-ELEVATOR","281","1959","272000","2904960","10.68","8200000","30.1","2-03138-0001","999 180 STREET
Bronx, NY 
(40.843235160415, -73.879194673825)","EAST TREMONT","D1-ELEVATOR","237","1974","276135","3148678","11.4","8890000","32.2","0.65","2-03140-0007","2082 BOSTON ROAD
Bronx, NY 
(40.842123449388, -73.878441701991)","EAST TREMONT","D1-ELEVATOR","169","1974","200529","2233479","11.14","6310000","31.5","0.75"
"2-03219-0201","2471 UNIVERSITY AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10468","40.864671","-73.90374","7","14","263","2014819","2032190201","Kingsbridge Heights                                                        ","KINGSBRIDGE HTS/UNIV HTS","C6-WALK-UP","20","1915","21750","214237","9.85","605000","27.8","2-03219-0216","117 FATHER ZEISER PLACE
Bronx, NY 
(40.864210848706, -73.904697343779)","KINGSBRIDGE HTS/UNIV HTS","C1-WALK-UP","27","1916","22000","212644","9.67","719000","32.7","0","2-03219-0086","2432 WEBB AVENUE
Bronx, NY 
(40.864757341628, -73.906488235863)","KINGSBRIDGE HTS/UNIV HTS","C1-WALK-UP","28","1922","22500","228493","10.16","753000","33.5","0.1"
