"appeal_type","appeal_subtype","agency","status","date_filed","date_closed","exam_no","title","expiration","extension","acronym"
"Section 50","Character","Department of Correction - DOC","Closed","2017-11-06T00:00:00.000","2017-11-29T00:00:00.000","7320","Correction Officer","2021-01-11T00:00:00.000",,"DOC"
"Other",,"Police Department - NYPD","Closed","2017-11-02T00:00:00.000","2017-11-03T00:00:00.000",,,,,"NYPD"
"Section 50","Medical","Police Department - NYPD","Closed","2017-11-01T00:00:00.000","2017-11-14T00:00:00.000","3318","Police Officer","2019-12-17T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-10-27T00:00:00.000","2017-11-27T00:00:00.000","8003","Clerical Associate",,,"DCAS"
"Waiting for Appeal Request",,"MTA New York City Transit - NYCT","Closed","2017-10-27T00:00:00.000","2017-12-08T00:00:00.000",,,,,"NYCT"
"Waiting for Appeal Request",,"Police Department - NYPD","Closed","2017-10-27T00:00:00.000","2017-12-08T00:00:00.000",,,,,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-10-26T00:00:00.000","2017-10-27T00:00:00.000","6042","Construction Project Manager",,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-10-25T00:00:00.000","2017-11-29T00:00:00.000","7003","Computer Associate (Technical Support)",,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-10-25T00:00:00.000","2017-12-18T00:00:00.000","6033","Maintenance Worker","2021-05-10T00:00:00.000",,"DCAS"
"Section 50",,"Police Department - NYPD","Closed","2017-10-24T00:00:00.000","2017-10-31T00:00:00.000","4307","School Safety Agent","2020-01-07T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Transit Authority - NYCTA","Closed","2017-10-23T00:00:00.000","2017-12-08T00:00:00.000",,,,,"NYCTA"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-10-23T00:00:00.000","2017-12-08T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-10-20T00:00:00.000","2017-11-20T00:00:00.000","7303","Traffic Enforcement Agent","2021-03-08T00:00:00.000",,"NYPD"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2017-10-20T00:00:00.000","2017-10-20T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Fire Department - FDNY","Closed","2017-10-20T00:00:00.000","2017-10-23T00:00:00.000","4004","Emerg.Med.Spec.-EMT","2018-02-19T00:00:00.000",,"FDNY"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-10-18T00:00:00.000","2017-12-15T00:00:00.000","6012","Auto Mechanic","2021-09-06T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-10-18T00:00:00.000","2017-10-31T00:00:00.000","4335","Police Communications Technician","2017-11-14T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-10-17T00:00:00.000","2017-10-17T00:00:00.000","4314","School Safety Agent","2020-01-08T00:00:00.000",,"DCAS"
"Waiting for Appeal Request",,"Transit Authority - NYCTA","Closed","2017-09-22T00:00:00.000","2017-10-19T00:00:00.000",,,,,"NYCTA"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-10-17T00:00:00.000","2017-11-29T00:00:00.000","6012","Auto Mechanic","2021-09-06T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-10-16T00:00:00.000","2017-12-11T00:00:00.000","7003","Computer Associate (Technical Support)",,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-10-16T00:00:00.000","2017-11-17T00:00:00.000","6502","Promotional Police Officer","2020-06-22T00:00:00.000",,"NYPD"
"Section 50","Eligibility","Department of Citywide Administrative Services - DCAS","Closed","2017-10-16T00:00:00.000","2017-10-31T00:00:00.000","7544","Promotion to Captain (Police)",,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-10-13T00:00:00.000","2017-12-13T00:00:00.000","6033","Maintenance Worker","2021-05-10T00:00:00.000",,"DCAS"
"Section 50","Medical","Department of Correction - DOC","Closed","2017-10-13T00:00:00.000","2017-11-02T00:00:00.000","7320","Correction Officer","2021-01-11T00:00:00.000",,"DOC"
"Section 50","Medical","Department of Correction - DOC","Closed","2017-10-12T00:00:00.000","2017-11-14T00:00:00.000","6029","Probation Officer","2020-09-14T00:00:00.000",,"DOC"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-10-10T00:00:00.000","2017-11-29T00:00:00.000","7003","Computer Associate (Technical Support)",,,"DCAS"
"Section 50","Eligibility","Department of Citywide Administrative Services - DCAS","Closed","2017-10-10T00:00:00.000","2017-10-31T00:00:00.000","7544","Promotion to Captain (Police)",,,"DCAS"
"Duplicate Filing",,"Department of Citywide Administrative Services - DCAS","Closed","2017-10-10T00:00:00.000","2017-10-23T00:00:00.000",,,,,"DCAS"
"Waiting for Appeal Request",,"Department of Citywide Administrative Services - DCAS","Closed","2017-10-10T00:00:00.000","2017-12-08T00:00:00.000",,,,,"DCAS"
"Section 50","Eligibility","Department of Citywide Administrative Services - DCAS","Closed","2017-10-10T00:00:00.000","2017-10-31T00:00:00.000","7544","Promotion to Captain (Police)",,,"DCAS"
"Section 50","Eligibility","Department of Citywide Administrative Services - DCAS","Closed","2017-10-06T00:00:00.000","2017-10-31T00:00:00.000","7544","Promotion to Captain (Police)",,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-10-06T00:00:00.000","2017-11-08T00:00:00.000","6502","Promotional Police Officer","2020-06-22T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-10-05T00:00:00.000","2017-11-02T00:00:00.000",,,,,"DCAS"
"Other",,"Police Department - NYPD","Closed","2017-10-04T00:00:00.000","2017-10-05T00:00:00.000",,,,,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-10-03T00:00:00.000","2017-10-20T00:00:00.000","6033","Maintenance Worker","2021-05-10T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-10-03T00:00:00.000","2017-11-28T00:00:00.000","2302","Police Officer","2018-04-30T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-10-02T00:00:00.000","2017-11-27T00:00:00.000","7004","Computer Programmer Analyst",,,"DCAS"
"Section 50","Education and Experience","MTA New York City Transit - NYCT","Closed","2017-10-02T00:00:00.000","2017-11-27T00:00:00.000","6617","Revenue Equipment Maintainer",,,"NYCT"
"Section 50","Eligibility","Department of Citywide Administrative Services - DCAS","Closed","2017-10-02T00:00:00.000","2017-10-31T00:00:00.000","7544","Promotion to Captain (Police)",,,"DCAS"
"Waiting for DQ",,"Police Department - NYPD","Closed","2017-09-29T00:00:00.000","2017-11-02T00:00:00.000",,,,,"NYPD"
"Section 50","Eligibility","Department of Citywide Administrative Services - DCAS","Closed","2017-09-29T00:00:00.000","2017-10-31T00:00:00.000","7544","Promotion to Captain (Police)",,,"DCAS"
"Section 50","Medical","Fire Department - FDNY","Closed","2017-09-29T00:00:00.000","2017-10-19T00:00:00.000","5003","Emergency Medical Specialist - EMT","2019-02-18T00:00:00.000",,"FDNY"
"Duplicate Filing",,"Department of Citywide Administrative Services - DCAS","Closed","2017-09-27T00:00:00.000","2017-09-28T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-09-27T00:00:00.000","2017-12-15T00:00:00.000","2326","Police Officer","2018-07-02T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2017-09-27T00:00:00.000","2017-12-20T00:00:00.000","2344","Police Officer","2019-06-19T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-09-27T00:00:00.000","2017-12-29T00:00:00.000","6012","Auto Mechanic","2021-09-06T00:00:00.000",,"DCAS"
"Section 76",,"Department of Buildings - DOB","Closed","2017-09-22T00:00:00.000","2017-09-27T00:00:00.000",,,,,"DOB"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-09-22T00:00:00.000","2017-09-22T00:00:00.000",,,,,"DCAS"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2017-09-22T00:00:00.000","2017-10-11T00:00:00.000",,,,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-09-21T00:00:00.000","2017-11-02T00:00:00.000",,,,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2017-09-21T00:00:00.000","2017-11-08T00:00:00.000","4300","Police Officer","2019-12-22T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-09-20T00:00:00.000","2017-11-02T00:00:00.000",,,,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-09-20T00:00:00.000","2017-09-21T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-09-18T00:00:00.000","2017-10-13T00:00:00.000","5307","School Safety Agent","2020-08-17T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-09-18T00:00:00.000","2017-11-02T00:00:00.000",,,,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-09-18T00:00:00.000","2017-11-02T00:00:00.000",,,,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-09-18T00:00:00.000","2017-10-12T00:00:00.000","8098","Train Operator","2017-09-19T00:00:00.000",,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-09-18T00:00:00.000","2017-11-21T00:00:00.000","7002","Computer Associate (Software)",,,"DCAS"
"Section 76","Suspension","Department of Correction - DOC","Closed","2017-09-18T00:00:00.000","2017-12-21T00:00:00.000",,,,,"DOC"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-09-15T00:00:00.000","2017-11-02T00:00:00.000",,,,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-09-15T00:00:00.000","2017-11-21T00:00:00.000","6014","Auto Mechanic (Diesel)",,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-09-15T00:00:00.000","2017-11-27T00:00:00.000","6012","Auto Mechanic","2021-09-06T00:00:00.000",,"DCAS"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2017-09-14T00:00:00.000","2017-09-14T00:00:00.000",,,,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2017-09-14T00:00:00.000","2017-10-23T00:00:00.000","4313","Police Officer","2020-06-23T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Police Department - NYPD","Closed","2017-09-13T00:00:00.000","2017-11-02T00:00:00.000",,,,,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-09-12T00:00:00.000","2017-12-12T00:00:00.000","7035","Administrative Director of Social Services","2021-07-19T00:00:00.000",,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-09-11T00:00:00.000","2017-11-02T00:00:00.000",,,,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-09-11T00:00:00.000","2017-10-10T00:00:00.000","7003","Computer Associate (Technical Support)",,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2017-09-11T00:00:00.000","2017-11-03T00:00:00.000","4300","Police Officer","2019-12-22T00:00:00.000",,"NYPD"
"Waiting for DQ",,"MTA New York City Transit - NYCT","Closed","2017-09-11T00:00:00.000","2017-11-02T00:00:00.000",,,,,"NYCT"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2017-09-08T00:00:00.000","2017-09-08T00:00:00.000",,,,,"DCAS"
"Section 76","Suspension","Department of Correction - DOC","Closed","2017-09-08T00:00:00.000","2017-12-21T00:00:00.000",,,,,"DOC"
"Section 50","Psych","Police Department - NYPD","Closed","2017-09-08T00:00:00.000","2017-11-28T00:00:00.000","3322","School Safety Agent","2018-05-28T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-09-07T00:00:00.000","2017-09-06T00:00:00.000","6016","High Pressure Plant Tender","2020-12-21T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-09-07T00:00:00.000","2017-09-22T00:00:00.000","4335","Police Communications Technician","2017-11-14T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Police Department - NYPD","Closed","2017-09-07T00:00:00.000","2017-11-02T00:00:00.000",,,,,"NYPD"
"Other",,"Police Department - NYPD","Closed","2017-09-06T00:00:00.000","2017-09-07T00:00:00.000",,,,,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-09-05T00:00:00.000","2017-10-25T00:00:00.000","7004","Computer Programmer Analyst",,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-09-05T00:00:00.000","2017-12-06T00:00:00.000","7035","Administrative Director of Social Services","2021-07-19T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2017-08-18T00:00:00.000","2017-12-15T00:00:00.000","4310","Police Officer","2019-12-28T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-09-01T00:00:00.000","2017-12-11T00:00:00.000","7263","Associate Public Records Officer","2018-08-30T00:00:00.000",,"DCAS"
"Waiting for DQ",,"MTA New York City Transit - NYCT","Closed","2017-09-01T00:00:00.000","2017-11-02T00:00:00.000",,,,,"NYCT"
"Waiting for DQ",,"Police Department - NYPD","Closed","2017-08-31T00:00:00.000","2017-10-05T00:00:00.000",,,,,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-08-31T00:00:00.000","2017-10-04T00:00:00.000","6012","Auto Mechanic",,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-08-30T00:00:00.000","2017-10-03T00:00:00.000","6012","Auto Mechanic",,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-08-30T00:00:00.000","2017-09-27T00:00:00.000","6012","Auto Mechanic",,,"DCAS"
"Section 50","Eligibility","Department of Citywide Administrative Services - DCAS","Closed","2017-08-30T00:00:00.000","2017-11-02T00:00:00.000","6033","Maintenance Worker","2021-05-10T00:00:00.000",,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-08-30T00:00:00.000","2017-10-31T00:00:00.000","7002","Computer Associate (Software)",,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-08-29T00:00:00.000","2017-10-16T00:00:00.000","5331","Police Communications Technician","2020-09-28T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2017-08-28T00:00:00.000","2017-12-22T00:00:00.000","3308","Police Officer","2019-06-22T00:00:00.000",,"NYPD"
"Section 50","Medical","Police Department - NYPD","Closed","2017-08-25T00:00:00.000","2017-11-14T00:00:00.000","5311","Police Officer","2021-04-12T00:00:00.000",,"NYPD"
"Duplicate Filing",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-25T00:00:00.000","2017-08-25T00:00:00.000",,,,,"DCAS"
"Duplicate Filing",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-25T00:00:00.000","2017-08-25T00:00:00.000",,,,,"DCAS"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-25T00:00:00.000","2017-08-25T00:00:00.000",,,,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-24T00:00:00.000","2017-08-24T00:00:00.000",,,,,"DCAS"
"Waiting for Appeal Request",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-24T00:00:00.000","2017-09-08T00:00:00.000",,,,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2017-08-24T00:00:00.000","2017-10-27T00:00:00.000","4310","Police Officer","2019-12-28T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2017-08-24T00:00:00.000","2017-11-29T00:00:00.000","3327","School Safety Agent","2019-09-10T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2017-08-23T00:00:00.000","2017-12-01T00:00:00.000","4315","Traffic Enforcement Agent","2018-08-23T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-22T00:00:00.000","2017-08-24T00:00:00.000",,,,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-08-22T00:00:00.000","2017-10-27T00:00:00.000","5022","Education Officer",,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-21T00:00:00.000","2017-09-27T00:00:00.000",,,,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2017-08-21T00:00:00.000","2017-11-13T00:00:00.000","2053","Police Officer","2019-06-17T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-08-21T00:00:00.000","2017-10-30T00:00:00.000","7002","Computer Associate (Software)",,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2017-08-21T00:00:00.000","2017-09-06T00:00:00.000","5305","Police Officer","2021-03-02T00:00:00.000",,"NYPD"
"Waiting for Appeal Request",,"Police Department - NYPD","Closed","2017-08-21T00:00:00.000","2017-09-27T00:00:00.000",,,,,"NYPD"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-21T00:00:00.000","2017-08-29T00:00:00.000",,,,,"DCAS"
"Waiting for DQ",,"Department of Education - DOE","Closed","2017-08-18T00:00:00.000","2017-09-27T00:00:00.000",,,,,"DOE"
"Section 50","Character","Police Department - NYPD","Closed","2017-08-18T00:00:00.000","2017-12-27T00:00:00.000","4059","Police Administrative Aide","2019-08-05T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-08-18T00:00:00.000","2017-11-09T00:00:00.000","6012","Auto Mechanic","2021-09-06T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-08-18T00:00:00.000","2017-10-25T00:00:00.000","6012","Auto Mechanic",,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-17T00:00:00.000","2017-09-27T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-08-17T00:00:00.000","2017-08-21T00:00:00.000","3521","Police Officer","2017-12-11T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-08-17T00:00:00.000","2017-11-03T00:00:00.000","6012","Auto Mechanic",,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-17T00:00:00.000","2017-09-27T00:00:00.000",,,,,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-08-17T00:00:00.000","2017-12-05T00:00:00.000","6012","Auto Mechanic","2021-09-06T00:00:00.000",,"DCAS"
"Section 50",,"Fire Department - FDNY","Closed","2017-08-16T00:00:00.000","2017-08-17T00:00:00.000",,,,,"FDNY"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-08-16T00:00:00.000","2017-08-17T00:00:00.000","7002","Computer Associate (Software)",,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2017-08-16T00:00:00.000","2017-10-27T00:00:00.000","4306","Police Officer","2019-12-23T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2017-08-16T00:00:00.000","2017-10-19T00:00:00.000","4310","Police Officer","2019-12-28T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2017-08-16T00:00:00.000","2017-08-28T00:00:00.000","4335","Police Communications Technician","2017-11-14T00:00:00.000",,"NYPD"
"Section 50","Medical","Department of Correction - DOC","Closed","2017-08-16T00:00:00.000","2017-12-18T00:00:00.000","7320","Correction Officer","2021-01-11T00:00:00.000",,"DOC"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-15T00:00:00.000","2017-09-13T00:00:00.000",,,,,"DCAS"
"Section 50","Education and Experience","MTA New York City Transit - NYCT","Closed","2017-08-14T00:00:00.000","2017-09-29T00:00:00.000","7600","Structure Maintainer Group G",,,"NYCT"
"Jurisdictional Issue",,"Police Department - NYPD","Closed","2017-08-14T00:00:00.000","2017-08-16T00:00:00.000",,,,,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-08-14T00:00:00.000","2017-08-17T00:00:00.000","5011","Administrative Staff Analyst","2020-09-28T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2017-08-13T00:00:00.000","2017-10-24T00:00:00.000","6012","Auto Mechanic",,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-08-11T00:00:00.000","2017-10-17T00:00:00.000","5022","Education Officer","2021-07-05T00:00:00.000",,"DCAS"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Closed","2017-08-11T00:00:00.000","2017-09-07T00:00:00.000","7000","Emergency Medical Specialist - EMT (Fire)","2021-03-29T00:00:00.000",,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-10T00:00:00.000","2017-08-31T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-08-10T00:00:00.000","2017-08-30T00:00:00.000","4335","Police Communications Technician","2017-11-14T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-09T00:00:00.000","2017-08-29T00:00:00.000",,,,,"DCAS"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-08T00:00:00.000","2017-08-08T00:00:00.000",,,,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-08-08T00:00:00.000","2017-11-08T00:00:00.000","6043","Construction Project Manager Intern",,,"DCAS"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2017-08-07T00:00:00.000","2017-08-07T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-08-07T00:00:00.000","2017-12-15T00:00:00.000","3316","Police Officer","2019-12-14T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Department of Probation - DOP","Closed","2017-08-07T00:00:00.000","2017-09-13T00:00:00.000",,,,,"DOP"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-08-04T00:00:00.000","2017-10-05T00:00:00.000","7003","Computer Associate (Technical Support)",,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2017-08-03T00:00:00.000","2017-10-18T00:00:00.000","2311","Police Officer","2018-05-01T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-08-03T00:00:00.000","2017-11-21T00:00:00.000","7004","Computer Programmer Analyst",,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-08-03T00:00:00.000","2017-08-23T00:00:00.000","6527","Associate Fraud Investigator (PROM)","2021-05-17T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","MTA New York City Transit - NYCT","Closed","2017-08-03T00:00:00.000","2017-09-28T00:00:00.000","7600","Structure Maintainer Group G",,,"NYCT"
"Section 50","Education and Experience","MTA New York City Transit - NYCT","Closed","2017-08-03T00:00:00.000","2017-09-05T00:00:00.000","7600","Structure Maintainer Group G",,,"NYCT"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-08-03T00:00:00.000","2017-10-17T00:00:00.000","6033","Maintenance Worker","2021-05-10T00:00:00.000",,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2017-08-02T00:00:00.000","2017-08-22T00:00:00.000","7002","Computer Associate (Software)",,,"DCAS"
"Section 76","Termination","Housing Authority - NYCHA","Closed","2017-08-02T00:00:00.000","2017-10-17T00:00:00.000",,,,,"NYCHA"
"Section 50","Psych","Police Department - NYPD","Closed","2017-08-01T00:00:00.000","2017-10-24T00:00:00.000","3314","Police Officer","2019-12-09T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2017-07-31T00:00:00.000","2017-11-28T00:00:00.000","4310","Police Officer","2019-12-28T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","MTA New York City Transit - NYCT","Closed","2017-07-31T00:00:00.000","2017-10-10T00:00:00.000","7600","Structure Maintainer Group G",,,"NYCT"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2017-07-31T00:00:00.000","2017-09-06T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2017-07-28T00:00:00.000","2017-10-23T00:00:00.000","4310","Police Officer","2019-12-28T00:00:00.000",,"NYPD"
