"borough","ntaname","site","address","number","street","categoriesaccepted","categoriesavailable","additionalmaterialinformation","pickupstatus","hours","website","phone","email","partnerstatus","borocd","councildist","ct2010","bbl","bin","latitude","longitude","police_precinct","point_1"
"STATEN IS","Mariner's Harbor-Arlington-Port Ivory-Graniteville","Person Centered Care Services","150 Granite Ave, Staten Island, NY 10303, USA","150","GRANITE AVENUE","Arts/Crafts, Books/Media, Clothing/Personal Accessories, Electronics, Household Furniture/Furnishings, Kitchen Items, HealthCare, Musical Instruments, Office Supplies/Stationary, Footwear, Sports Equipment, Toys/Games, Baby Care, Cleaning Products, Food/",,"Pickup service M-F 10am-2pm, call Gabriella Nuara at 718-354-5858 to schedule pickup.","Pickup","Monday 10:00 AM-02:00 PM, Tuesday 10:00 AM-02:00 PM, Wednesday 10:00 AM-02:00 PM, Thursday 10:00 AM-02:00 PM, Friday 10:00 AM-02:00 PM, Saturday Closed, Sunday Closed","http://www.pccsny.org/","(718) 370-1088","nmolinell@pccsny.org","Partner","501","49","239","5011610150","5090047","40.633567","-74.148677","121","POINT (-74.1486770002443 40.6335670001202)"
"BROOKLYN","Bushwick South","Human Head","168 Johnson Ave, Brooklyn, NY 11206, USA","168","JOHNSON AVENUE",,"Books/Media, Electronics","Call ahead.  We work with you to coordinate.  We also pick up vinyl related equipment.  Turntables, receivers, speakers","Pickup","Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM, Sunday 12:00 PM-08:00 PM","http://humanheadnyc.com","(347) 987-3362","humanheadnyc@gmail.com",,"301","34","493","3030710009","3071291","40.706501","-73.942748","090","POINT (-73.9427479997214 40.7065010000243)"
"MANHATTAN","SoHo-TriBeCa-Civic Center-Little Italy","NOLITA","21 Prince Street, New York, NY 10012, USA","21","PRINCE STREET",,"Clothing/Personal Accessories, Footwear",,,"Sunday 12:00 PM-07:00 PM, Monday 12:00 PM-08:00 PM, Tuesday 12:00 PM-08:00 PM, Wednesday 12:00 PM-08:00 PM, Thursday 12:00 PM-08:00 PM, Friday 12:00 PM-08:00 PM, Saturday 12:00 PM-08:00 PM","http://www.inanyc.com","(212) 334-9048","inanolita@inanyc.com",,"102","01","43","1005087503","1082462","40.722944","-73.994347","005","POINT (-73.9943469996153 40.7229440001687)"
"QUEENS","Murray Hill","Mordes Antiques","41-17 162nd Street, Flushing, NY 11358, USA","41-17","162 STREET",,"Household Furniture/Furnishings",,,"Monday 09:30 AM-03:30 PM, Tuesday 09:30 AM-03:30 PM, Wednesday 09:30 AM-03:30 PM, Thursday 09:30 AM-03:30 PM, Friday 09:30 AM-03:30 PM, Saturday Closed, Sunday Closed",,"(718) 539-7019","noemail@email.com",,"407","20","1171","4053360042","4120480","40.760832","-73.803621","109","POINT (-73.8036209996104 40.760832)"
"MANHATTAN","Clinton","Covenant House","460 W 41st St, New York, NY 10036, USA","460","WEST   41 STREET","Arts/Crafts, Clothing/Personal Accessories, Footwear","Clothing/Personal Accessories, Footwear","24/7 Shelter open for walk-in donations. Preferred times are Mon- Fri 10am-6pm, please call ahead for specifics on donations accepted at that time. Please Note: Currently, we only accept unused items. Appointment needed. No furniture accepted.",,"Monday 10:00 AM-06:00 PM, Tuesday 10:00 AM-06:00 PM, Wednesday 10:00 AM-06:00 PM, Thursday 10:00 AM-06:00 PM, Friday 10:00 AM-06:00 PM, Saturday Closed, Sunday Closed","https://ny.covenanthouse.org/crisis-center","(212) 613-0300","inkinddonations@covenanthouse.org",,"104","03","115","1010500001","1080924","40.758453","-73.996004","010","POINT (-73.9960039995859 40.7584530000091)"
"BROOKLYN","Carroll Gardens-Columbia Street-Red Hook","Food First, Inc.","165 Conover Street, Brooklyn, NY 11231, USA","165","CONOVER STREET","Food/Beverage","Food/Beverage","Accepts non-perishable and unexpired food.",,"Monday 09:00 AM-07:00 PM, Tuesday 09:00 AM-07:00 PM, Wednesday Closed, Thursday 09:00 AM-07:00 PM, Friday Closed, Saturday Closed, Sunday Closed","http://www.foodfirstinc.com","(718) 624-1950","hr@foodfirstinc.com",,"306","38","53","3005650001","3008580","40.678272","-74.013704","076","POINT (-74.0137040001405 40.6782719995563)"
"MANHATTAN","Midtown-Midtown South","PAWS NY","134 W 29th St, New York, NY 10001, USA","134","WEST   29 STREET","Pet Care/Food",,"Unopened and unexpired pet food. Please note: Due to the COVID-19 pandemic, PAWS NY is not able to accept in-kind donations at this time. We encourage you to support our other donateNYC partners with your donations for now. Thank you!",,"Monday 09:00 AM-05:00 PM, Tuesday 09:00 AM-05:00 PM, Wednesday 09:00 AM-05:00 PM, Thursday 09:00 AM-05:00 PM, Friday 09:00 AM-05:00 PM, Saturday Closed, Sunday Closed","http://pawsny.org","(212) 203-4760","info@pawsny.org","Partner","105","03","95","1008040059","1015129","40.747123","-73.991777","013","POINT (-73.9917769998097 40.7471230000296)"
"STATEN IS","Stapleton-Rosebank","United Church of Praise International Ministries","32 Sands Street, Staten Island, NY, USA","32","SANDS STREET","Automotive, Building Products, Clothing/Personal Accessories, Electronics, Food/Beverage, Appliances, Household Furniture/Furnishings, Kitchen Items, Footwear, Sports Equipment, Baby Care, Cleaning Products, HealthCare, Lawn/Garden Supplies, Musical Inst","Building Products, Clothing/Personal Accessories, Electronics, Food/Beverage, Appliances, Household Furniture/Furnishings, Kitchen Items, Footwear, Sports Equipment, Baby Care, Cleaning Products, HealthCare, Lawn/Garden Supplies, Musical Instruments, Off","Food pantry M-F 1:00pm-3:00pm Donations 10:00am-3:00pm M-F. We accept small/large appliances, household goods, home building supplies, bedding, electronics, children's products, bicycles, and more. Will travel up to 10 miles to pickup.","Pickup","Monday 1:00 PM-03:00 PM, Tuesday 1:00 PM-03:00 PM, Wednesday 1:00 PM-03:00 PM, Thursday 1:00 PM-03:00 PM, Friday 1:00 PM-03:00 PM, Saturday Closed, Sunday Closed, Monday 10:00 AM-3:00 PM, Tuesday 10:00 AM-3:00 PM, Wednesday 10:00 AM-3:00 PM, Thursday 10:","http://unitedchurchint.com/welcome_23.html","(718) 314-8779","unitedchurchofpraiseintmin@gmail.com","Partner","501","49","21","5004900004","5113073","40.629032","-74.076112","120","POINT (-74.0761120002696 40.6290319996303)"
"BROOKLYN","Seagate-Coney Island","Our Lady of Solace Shrine","2866 W 17th St, Brooklyn, NY 11224, USA","2866","WEST   17 STREET","Food/Beverage","Food/Beverage","Monday 9:30am-1:30pm. Call ahead to schedule food donation drop-off.",,"Monday 09:30 AM-01:30 PM, Tuesday Closed, Wednesday Closed, Thursday Closed, Friday Closed, Saturday Closed, Sunday Closed",,"(718) 726-9790","JENNIFER.SMITH@ccbq.org",,"313","47","326","3070200039","3329329","40.576803","-73.985253","060","POINT (-73.9852530002267 40.5768030003614)"
"BRONX","Kingsbridge Heights","Uprising","2401 Davidson Ave, Bronx, NY 10468, USA","2401","DAVIDSON AVENUE","Arts/Crafts, Books/Media, Electronics, Food/Beverage, Musical Instruments, Office Supplies/Stationary, Sports Equipment, Toys/Games",,"Materials for arts and crafts activities, books for youth, tech equipment for videography, photography, music production, laptops/tablets, park activities, games, snacks and drinks, are accepted. Appointment only.","Pickup","Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday 9:00 AM-5:00 PM, Saturday Closed, Sunday Closed","https://uprisingbronx.org/","(408) 966-8725","uprisingbx@gmail.com",,"207","14","253","2031990038","2014312","40.861882","-73.903336","052","POINT (-73.9033359997576 40.8618819996577)"
"BROOKLYN","Bedford","Bedford Galleries","1167 Bedford Avenue, Brooklyn, NY 11216, USA","1167","BEDFORD AVENUE",,"Household Furniture/Furnishings, Kitchen Items",,,"Monday 09:00 AM-06:30 PM, Tuesday 09:00 AM-06:30 PM, Wednesday 09:00 AM-06:30 PM, Thursday 09:00 AM-06:30 PM, Friday 09:00 AM-06:30 PM, Saturday 09:00 AM-06:30 PM, Sunday 12:00 PM-06:00 PM","http://bedfordgalleries.com","(718) 230-1298","bgalleries@optimum.net",,"303","36","245","3018270010","3051837","40.683486","-73.953582","079","POINT (-73.9535820002101 40.6834859998822)"
"MANHATTAN","Clinton","The Salvation Army Times Square Corps","315 W 47th St, New York, NY 10036, USA","315","WEST   47 STREET","Food/Beverage","Food/Beverage","Food pantry is by appointment only. Please call ahead a schedule an appointment to pick up. Recipients of the food pantry must live within the zip code.","Pickup","Friday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Monday 9:00 AM-5:00 PM, Sunday Closed, Wednesday Closed, Friday Closed, Thursday Closed, Saturday Closed, Tuesday Closed, Monday Closed, Saturday Closed","http://newyork.salvationarmy.org/who-we-are/locations/#","(212) 975-9988","noemail@callphone.com",,"104","03","127","1010380023","1088176","40.76092","-73.988261","018","POINT (-73.9882610004458 40.7609199995615)"
"QUEENS","Hunters Point-Sunnyside-West Maspeth","Saint Teresa Church - Saint Vincent Depaul Society","50-20 45th St, Woodside, NY 11377, USA","50-20","45 STREET","Food/Beverage","Food/Beverage","Office hours M-F 9am-8pm. Call ahead, make drop-off on Tuesday. Pantry open Tuesday 6pm-7pm.",,"Monday 09:00 AM-08:00 PM, Tuesday 09:00 AM-7:00 PM, Wednesday 09:00 AM-08:00 PM, Thursday 09:00 AM-08:00 PM, Friday 09:00 AM-08:00 PM, Saturday Closed, Sunday Closed",,"(718) 784-2123","schichi7@aol.com",,"402","26","187","4022940050","4053169","40.737333","-73.921332","108","POINT (-73.9213319995731 40.7373330000212)"
"MANHATTAN","East Village","East Village Thrift","186 2nd Avenue, New York, NY 10003, USA","186","2 AVENUE","Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Toys/Games","Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Toys/Games",,,"Monday 10:00 AM-08:00 PM, Tuesday 10:00 AM-08:00 PM, Wednesday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Friday 10:00 AM-08:00 PM, Saturday 10:00 AM-08:00 PM, Sunday 10:00 AM-08:00 PM",,"(212) 375-8585","magdyraz@yahoo.com",,"103","02","40","1004530007","1006475","40.730741","-73.985834","009","POINT (-73.98583400004 40.7307410000003)"
"MANHATTAN","West Village","Bowery","302 Bowery, New York, NY 10012, USA","302","BOWERY",,"Building Products, Household Furniture/Furnishings, Kitchen Items","https://ogtstore.com/ogt-purchasing/","Pickup","Monday 10:00 AM-07:00 PM, Tuesday 10:00 AM-06:30 PM, Wednesday 10:00 AM-07:00 PM, Thursday 10:00 AM-07:00 PM, Friday 10:00 AM-07:00 PM, Saturday 11:00 AM-07:00 PM, Sunday 11:00 AM-07:00 PM","http://ogtstore.com","(212) 498-9922","mail@oldegoodthings.com",,"102","01","5502","1005210081","1008205","40.72473","-73.992759","009","POINT (-73.9927590001287 40.7247299997928)"
"STATEN IS","Westerleigh","Monkey Girlz Treasures","565 Manor Road, Staten Island, NY 10314, USA","565","MANOR ROAD","Clothing/Personal Accessories, Footwear","Clothing/Personal Accessories, Footwear, Household Furniture/Furnishings","Close at 6 or 6:30. Accept clothing donations for the nonprofit Suit Up. By appointment only.",,"Monday Closed, Tuesday 11:30 AM-06:00 PM, Wednesday 11:30 AM-06:00 PM, Thursday 11:30 AM-06:00 PM, Friday 11:30 AM-06:00 PM, Saturday Closed, Sunday Closed","http://www.monkeygirlz.com/","(718) 981-0706","mkygirlz@gmail.com",,"501","50","147","5003500012","5106749","40.613489","-74.122413","120","POINT (-74.1224129995613 40.6134889996208)"
"QUEENS","Flushing","St. Michael","136-76 41st Ave, NY, New York 11355, USA","136-76","41 AVENUE","Food/Beverage","Food/Beverage","Food pantry open for times listed. Call ahead to schedule food donation drop-off.",,"Monday Closed, Tuesday 10:00 AM-12:00 PM, Wednesday 09:00 AM-12:00 PM, Thursday 09:00 AM-12:00 PM, Friday Closed, Saturday Closed, Sunday Closed, Monday 9:00 AM-5:00 PM, Tuesday 9:00 AM-5:00 PM, Wednesday 9:00 AM-5:00 PM, Thursday 9:00 AM-5:00 PM, Friday",,"(718) 961-0295","JENNIFER.SMITH@ccbq.org",,"407","20","853","4050440047","4114288","40.759363","-73.826347","109","POINT (-73.8263469999151 40.7593629997059)"
"STATEN IS","Mariner's Harbor-Arlington-Port Ivory-Graniteville","Castellanos House of Music","1013 Richmond Ave, Staten Island, NY 10314, USA","1013","RICHMOND AVENUE",,"Musical Instruments",,,"Monday 12:00 PM-07:00 PM, Tuesday 12:00 PM-07:00 PM, Wednesday 12:00 PM-07:00 PM, Thursday 12:00 PM-07:00 PM, Friday 12:00 PM-07:00 PM, Saturday 11:00 AM-06:00 PM, Sunday Closed","http://www.castellanoshouseofmusic.com/#about-marquee","(718) 982-8548","info@castellanoshouseofmusic.com",,"501","49","30301","5014780001","5029215","40.622397","-74.149537","121","POINT (-74.1495370003333 40.6223970003245)"
"BROOKLYN","Dyker Heights","Vincentian Charities Auto Donation Program of Broo","7911 7th Avenue, Brooklyn, NY 11228, USA","7911","7 AVENUE","Automotive",,"Accepts all vehicles, running or not.","Pickup","Monday 09:00 AM-04:00 PM, Tuesday 09:00 AM-04:00 PM, Wednesday 09:00 AM-04:00 PM, Thursday 09:00 AM-04:00 PM, Friday 09:00 AM-04:00 PM, Saturday Closed, Sunday Closed","https://www.svdpauto-brooklynqueens.org/","(718) 491-2525","svdpauto@gmail.com",,"310","43","140","3059830006","3328842","40.623118","-74.019105","068","POINT (-74.0191050000966 40.6231180002987)"
"MANHATTAN","Upper East Side-Carnegie Hill","Unique Boutique","1674, 3rd Avenue   , New York, NY, 10128, USA","1674","3 AVENUE",,"Books/Media, Clothing/Personal Accessories, Household Furniture/Furnishings, Kitchen Items, Footwear, Toys/Games",,,"Friday 10:00 AM-08:00 PM, Monday 10:00 AM-08:00 PM, Saturday 10:00 AM-08:00 PM, Sunday 10:00 AM-08:00 PM, Thursday 10:00 AM-08:00 PM, Tuesday 10:00 AM-08:00 PM, Wednesday 10:00 AM-08:00 PM",,,"magdyraz@yahoo.com",,"108","05","15801","1015220039","1048399","40.783739","-73.950407","019","POINT (-73.9504070003837 40.7837389996583)"
