"dfta_id","provider_name","sponsor_name","site_type","address1","address2","city","postcode","from_date","to_date","comminuty_board","council_district","sunday","monday","tuesday","wednesday","thursday","friday","saturday","contract_amt","expense_amt","full_time","part_time","personnel_amt","fiscal_year_amount","months_in_hhs","total_fy20_budget","total_fy20_personnel_budget","total_fy20_reimbursement","average_daily_participant","actual_ytd_meals","kosher_budget","nonkosher_budget","total_meals_budget","total_meals_cost","in_house_meal_prep","meal_prep1","prep_for_others","prep_for_others1","expenditures_for_information_and_assistance_education_and_recreation_health_promotion","comb_cost_per_person","ultilization","borough","latitude","longitude","census_tract","bin","bbl","nta"
"15E03","SOUNDVIEW HOUSE SOCIAL CLUB","THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC.","SENIOR CENTER","1674 SEWARD AVENUE",,"BRONX","10473","2019-07-01T00:00:00.000","2020-06-30T00:00:00.000","209","18","00:00 AM - 00:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","00:00 AM - 00:00PM","190509.00","608816.77","0","4","105680.06","1641067.00","12","190509.00","105680.06","96512.01",,"6667","0.00","47983.27","47983.27","7.20","-","NULL","-","NULL","48528.74",,"100%+","BRONX","40.818255","-73.869832","20","2092638","2035510001","Soundview-Castle Hill-Clason Point-Harding Park"
"15601","RAIN PARKCHESTER NEIGHBORHOOD SENIOR C","REGIONAL AID FOR INTERIM NEEDS, INC.","NEIGHBORHOOD SENIOR CENTERS","1380 METROPOLITAN AVENUE",,"BRONX","10462","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","209","18","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","679671.43","330713.31","7","0","376289.59","742542.00","7","679671.43","376289.59","428553.86",,"35002","0.00","266542.49","266542.49","7.62","Meal Prep on-site","Meal Prep on-site","No","No","212043.70",,"100%+","BRONX","40.835141","-73.861061","212","2096674","2039387501","Parkchester"
"15602","RAIN ONE STOP SERVICES FOR ELDERLY","REGIONAL AID FOR INTERIM NEEDS, INC.","NEIGHBORHOOD SENIOR CENTERS","1380 METROPOLITAN AVENUE",,"BRONX","10462","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","209","18","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","588114.86","384695.17","10","0","479947.35","742542.00","7","588114.86","479947.35","330713.31",,"0","0.00","0.00","0.00","0.00","-","NULL","-","NULL","390782.36",,"100%+","BRONX","40.835141","-73.861061","212","2096674","2039387501","Parkchester"
"17601","HEIGHTS NEIGHBORHOOD SENIOR CENTER","BRONXWORKS, INC.","NEIGHBORHOOD SENIOR CENTERS","200 WEST TREMONT AVENUE",,"BRONX","10453","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","205","14","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","571976.57","107832.50","2","6","365472.57","450460.00","7","571976.57","365472.57","362909.38",,"42600","0.00","265568.72","265568.72","6.23","Meal Prep on-site","Meal Prep on-site","Yes","Yes","94195.61",,"100%+","BRONX","40.851984","-73.916804","20502","2008966","2028770522","University Heights-Morris Heights"
"17602","SEDGWICK HOUSES SOCIAL CLUB","BRONXWORKS, INC.","NEIGHBORHOOD SENIOR CENTERS","1553 UNIVERSITY AVENUE",,"BRONX","10453","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","205","14","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","200240.57","509225.38","0","4","130534.29","450460.00","7","200240.57","130534.29","107832.50",,"3646","0.00","16244.32","16244.32","4.46","-","NULL","-","NULL","46657.97",,"100%+","BRONX","40.846111","-73.921662","20501","2092105","2028770001","University Heights-Morris Heights"
"17801","HOPE OF ISRAEL NEIGHBORHOOD SENIOR CTR","HOPE OF ISRAEL SENIOR CITIZENS CENTER, INC.","NEIGHBORHOOD SENIOR CENTERS","1068 GERARD AVENUE",,"BRONX","10452","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","204","16","00:00 AM - 00:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","00:00 AM - 00:00PM","610868.57","396005.57","7","0","295181.67","356340.00","7","610868.57","295181.67","509225.38",,"18751","0.00","250679.33","250679.33","13.37","Catered","Catered","No","No","269545.06",,"100%+","BRONX","40.83213","-73.922213","195","2002944","2024780007","West Concourse"
"18201","MELROSE MOTT HAVEN NEIGHBORHOOD SR CTR","EAST SIDE HOUSE, INC.","NEIGHBORHOOD SENIOR CENTERS","372 EAST  152 STREET",,"BRONX","10455","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","201","8","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","533496.00","50050.75","7","1","406402.99","351987.00","7","533496.00","406402.99","396005.57",,"25001","0.00","272063.39","272063.39","10.88","Meal Prep on-site","Meal Prep on-site","Yes","Yes","100077.78",,"100%+","BRONX","40.818516","-73.91793","67","2090413","2023980014","Melrose South-Mott Haven North"
"18202","PATTERSON HOUSES SENIOR CENTER","EAST SIDE HOUSE, INC.","NEIGHBORHOOD SENIOR CENTERS","308 EAST  145 STREET",,"BRONX","10451","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","204","16","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","69910.29","732507.36","0","1","45752.52","351987.00","7","69910.29","45752.52","50050.75",,"6218","0.00","51353.12","51353.12","8.26","Catered","Catered","No","No","0.00",,"100%+","BRONX","40.815197","-73.922179","51","2091115","2023240001","Mott Haven-Port Morris"
"18401","NORTHEAST BRONX NEIGHBORHOOD SENIOR CT","NORTHEAST BRONX SENIOR CITIZENS, INC.","NEIGHBORHOOD SENIOR CENTERS","2968 BRUCKNER BLVD.",,"BRONX","10465","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","210","13","00:00 AM - 00:00PM","09:00 AM - 04:00PM","09:00 AM - 04:00PM","09:00 AM - 04:00PM","09:00 AM - 04:00PM","09:00 AM - 04:00PM","00:00 AM - 00:00PM","769824.00","967018.39","0","10","413551.42","449064.00","7","769824.00","413551.42","732507.36",,"34999","0.00","451690.17","451690.17","12.91","Meal Prep on-site","Meal Prep on-site","No","No","180322.83",,"100%+","BRONX","40.833889","-73.826264","164","2097558","2054200002","Schuylerville-Throgs Neck-Edgewater Park"
"18801","RIVERDALE NEIGHBORHOOD SENIOR CENTER","RIVERDALE SENIOR SERVICES, INC.","NEIGHBORHOOD SENIOR CENTERS","2600 NETHERLAND AVENUE",,"BRONX","10463","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","208","10","00:00 AM - 00:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","00:00 AM - 00:00PM","982014.86","439388.23","7","6","527976.60","572842.00","7","982014.86","527976.60","967018.39",,"27384","0.00","447438.81","447438.81","16.34","Meal Prep on-site","Meal Prep on-site","No","No","347386.17",,"100%+","BRONX","40.878744","-73.915679","29302","2083247","2057220475","Spuyten Duyvil-Kingsbridge"
"18901","SEBCO NEIGHBORHOOD SENIOR CENTER","SEBCO DEVELOPMENT INC.","NEIGHBORHOOD SENIOR CENTERS","887 SOUTHERN BOULEVARD",,"BRONX","10459","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","203","17","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","776501.14","376274.43","9","1","374064.00","399399.00","7","776501.14","374064.00","439388.23",,"25001","0.00","195992.50","195992.50","7.84","Catered","Catered","No","No","153127.45",,"100%+","BRONX","40.818913","-73.89355","89","2005752","2027220040","Hunts Point"
"20201","GRACE AGARD HAREWOOD NEIGHBORHOOD SENIOR","FORT GREENE COUNCIL, INC.","NEIGHBORHOOD SENIOR CENTERS","966 FULTON STREET",,"BROOKLYN","11238","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","302","35","00:00 AM - 00:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 07:00PM","09:00 AM - 07:00PM","09:00 AM - 05:00PM","00:00 AM - 00:00PM","907635.17","148476.00","15","0","579157.51","871174.00","7","907635.17","579157.51","701685.62",,"31399","0.00","360638.66","360638.66","11.49","Meal Prep on-site","Meal Prep on-site","No","No","225086.47",,"100%+","BROOKLYN","40.682487","-73.962178","201","3057638","3020140026","Clinton Hill"
"20202","MARCUS GARVEY SOCIAL CLUB","FORT GREENE COUNCIL, INC.","NEIGHBORHOOD SENIOR CENTERS","1440 EAST NEW YORK AVENUE",,"BROOKLYN","11212","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","316","42","00:00 AM - 00:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","00:00 AM - 00:00PM","279221.14","116713.01","7","0","148165.61","871174.00","7","279221.14","148165.61","148476.00",,"10001","0.00","56493.87","56493.87","5.65","Catered","Catered","No","No","67195.35",,"100%+","BROOKLYN","40.670654","-73.914575","902","3080727","3034960013","Brownsville"
"20203","SETH LOW SOCIAL CLUB","FORT GREENE COUNCIL, INC.","NEIGHBORHOOD SENIOR CENTERS","137 BELMONT AVENUE",,"BROOKLYN","11212","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","316","42","00:00 AM - 00:00PM","09:30 AM - 04:30PM","09:30 AM - 04:30PM","09:30 AM - 04:30PM","09:30 AM - 04:30PM","09:30 AM - 04:30PM","00:00 AM - 00:00PM","310093.71","724614.86","7","0","171338.91","871174.00","7","310093.71","171338.91","116713.01",,"8750","0.00","62416.15","62416.15","7.13","Catered","Catered","No","No","63407.42",,"100%+","BROOKLYN","40.669205","-73.905172","908","3327015","3037270001","Brownsville"
"20601","KRAKUS LUNCHEON CLUB NEIGHBORHOOD SC","POLISH AND SLAVIC CENTER, INC","NEIGHBORHOOD SENIOR CENTERS","176 JAVA STREET",,"BROOKLYN","11222","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","301","33","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","724614.86","124968.00","11","0","439518.70","495590.00","7","724614.86","439518.70","724614.86",,"33751","0.00","443385.50","443385.50","13.14","Meal Prep on-site","Meal Prep on-site","Yes","Yes","242215.49",,"100%+","BROOKLYN","40.731692","-73.953577","575","3064615","3025510014","Greenpoint"
"20602","POLISH AND SLAVIC EXTENDED SOCIAL SERVICES","POLISH AND SLAVIC CENTER, INC","NEIGHBORHOOD SENIOR CENTERS","176 JAVA STREET",,"BROOKLYN","11222","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","301","33","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","124968.00","658625.08","2","0","101449.49","495590.00","7","124968.00","101449.49","124968.00",,"0","0.00","0.00","0.00","0.00","-","NULL","-","NULL","123550.35",,"100%+","BROOKLYN","40.731692","-73.953577","575","3064615","3025510014","Greenpoint"
"21301","CCNS THE LODGE NEIGHBORHOOD SR CTR","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","NEIGHBORHOOD SENIOR CENTERS","7711 18 AVENUE",,"BROOKLYN","11214","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","311","44","00:00 AM - 00:00PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","00:00 AM - 00:00PM","561061.71","467210.35","6","3","214374.31","327286.00","7","561061.71","214374.31","426893.81",,"22500","0.00","190350.91","190350.91","8.46","Catered","Catered","No","No","255903.84",,"100%+","BROOKLYN","40.612087","-73.997288","274","3161485","3062490006","Bensonhurst West"
"21401","CCNS NORTHSIDE NEIGHBORHOOD SENIOR CTR","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","NEIGHBORHOOD SENIOR CENTERS","179 NORTH    6 STREET",,"BROOKLYN","11211","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","301","33","00:00 AM - 00:00PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","00:00 AM - 00:00PM","495010.29","365417.78","10","0","306945.14","288756.00","7","495010.29","306945.14","467210.35",,"16249","0.00","214949.35","214949.35","13.23","Meal Prep on-site","Meal Prep on-site","Yes","Yes","230179.14",,"100%+","BROOKLYN","40.716685","-73.957339","553","3062100","3023280025","North Side-South Side"
"21601","RAICES TIMES PLAZA NEIGHBORHOOD SENIOR CENTER","SPANISH SPEAKING ELDERLY COUNCIL - RAICES, INC.","NEIGHBORHOOD SENIOR CENTERS","460 ATLANTIC AVENUE",,"BROOKLYN","11217","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","302","33","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","547419.43","146815.56","1","13","361542.86","665208.00","7","547419.43","361542.86","365417.78",,"32501","0.00","236739.25","236739.25","7.28","Meal Prep on-site","Meal Prep on-site","No","No","155874.45",,"100%+","BROOKLYN","40.686296","-73.983223","41","3000937","3001840025","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"21602","FARRAGUT SENIOR CENTER","SPANISH SPEAKING ELDERLY COUNCIL - RAICES, INC.","NEIGHBORHOOD SENIOR CENTERS","228 YORK STREET",,"BROOKLYN","11201","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","302","33","00:00 AM - 00:00PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","08:30 AM - 04:30PM","00:00 AM - 00:00PM","182691.43","80696.25","0","4","113276.57","665208.00","7","182691.43","113276.57","146815.56",,"6250","0.00","118438.81","118438.81","18.95","Catered","Catered","No","No","20497.51",,"100%+","BROOKLYN","40.701304","-73.981762","23","3325909","3000710001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"21603","RAICES GOWANUS SENIOR CENTER","SPANISH SPEAKING ELDERLY COUNCIL - RAICES, INC.","NEIGHBORHOOD SENIOR CENTERS","420 BALTIC STREET",,"BROOKLYN","11217","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","302","33","00:00 AM - 00:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","09:00 AM - 05:00PM","00:00 AM - 00:00PM","84113.14","318033.62","0","1","58717.71","665208.00","7","84113.14","58717.71","80696.25",,"6300","0.00","61321.89","61321.89","9.73","Catered","Catered","No","No","24661.23",,"100%+","BROOKLYN","40.683646","-73.988783","71","3336072","3004040001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"21604","RAICES","SPANISH SPEAKING ELDERLY COUNCIL - RAICES, INC.","NEIGHBORHOOD SENIOR CENTERS","460 ATLANTIC AVENUE",,"BROOKLYN","11217","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","302","33","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","326132.57","393708.51","0","6","281780.57","665208.00","7","326132.57","281780.57","318033.62",,"0","0.00","0.00","0.00","0.00","-","NULL","-","NULL","309826.83",,"100%+","BROOKLYN","40.686296","-73.983223","41","3000937","3001840025","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"21801","BORO PARK Y NEIGHBORHOOD SENIOR CENTER","YOUNG MEN'S YOUNG WOMEN'S HEBREW ASSOCIATION OF BORO PARK, INC.","NEIGHBORHOOD SENIOR CENTERS","4912 14 AVENUE",,"BROOKLYN","11219","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","312","44","00:00 AM - 00:00PM","09:00 AM - 04:30PM","09:00 AM - 04:30PM","09:00 AM - 04:30PM","09:00 AM - 04:30PM","09:00 AM - 04:30PM","00:00 AM - 00:00PM","465324.00","521684.40","5","0","239425.42","271439.00","7","465324.00","239425.42","393708.51",,"27501","0.00","231159.40","231159.40","8.41","Catered","Catered","No","No","103981.43",,"100%+","BROOKLYN","40.63357","-73.99006","236","3328617","3056420042","Borough Park"
"22401","OCEAN PARKWAY NEIGHBORHOOD SENIOR CENTER","JEWISH COMMUNITY COUNCIL OF GREATER CONEY ISLAND INC.","NEIGHBORHOOD SENIOR CENTERS","1960 EAST    7 STREET",,"BROOKLYN","11223","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","315","44","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","685393.71","414207.89","16","0","378822.94","399813.00","7","685393.71","378822.94","529078.39",,"33372","0.00","291242.96","291242.96","8.73","Meal Prep on-site","Meal Prep on-site","Yes","Yes","252596.28",,"100%+","BROOKLYN","40.603084","-73.965083","418","3178703","3066820045","Homecrest"
"22501","MIDWOOD NEIGHBORHOOD SENIOR CENTER","BERGEN BASIN COMMUNITY DEVELOPMENT CORPORATION D/B/A MILLENNIUM DEVELOPMENT","NEIGHBORHOOD SENIOR CENTERS","2164 RALPH AVENUE",,"BROOKLYN","11234","2019-12-01T00:00:00.000","2020-06-30T00:00:00.000","318","45","00:00 AM - 00:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","08:00 AM - 04:00PM","00:00 AM - 00:00PM","720091.42","175050.07","1","4","258833.13","637423.00","7","720091.42","258833.13","414207.89",,"26043","0.00","249017.02","249017.02","9.56","Catered","Catered","No","No","197287.65",,"100%+","BROOKLYN","40.625065","-73.917858","692","3218178","3078390001","Flatlands"
