"oer_project_numbers","project_name","street_number","street_name","borough","bbl","oer_program","class","phase","project_specific_document","latitude","longitude","zip_code","community_district","city_council_district","census_tract_2010","building_identification_number","nta_name"
"20TMP0008K,20EH-A151K,20CVCP049K","169 LORIMER STREET","169","LORIMER STREET","Brooklyn","3022420045","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/11292/docrepository","40.703474","-73.948869","1","33","509","3000000","3022420045","Williamsburg"
"18TMP0462K,18EHAZ178K,18CVCP047K","137 FROST STREET","137","FROST STREET","Brooklyn","3027340035,3027340038","VCP (Enrolled), E/RD (Review)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/5040/docrepository","40.717979","-73.945986","1","34","497","3068096","3027340035","East Williamsburg"
"16TMP0174X,16EHAN173Q,19CVCP016Q","70-65 Queens Boulevard","70-65","Queens Blvd","Queens","4013520131","VCP (Enrolled), E/RD (Review)","Active (A)","Closure","https://a002-epic.nyc.gov/app/workspace/3285/docrepository","40.739550","-73.892042","2","26","485","4032013","4013520131","Elmhurst-Maspeth"
"11TMP0348M,11RHAZ348M,12CBCP026M","Ennis Francis Houses 2070 7th Ave.","2070","7th Avenue","Manhattan","1019290017,1019290057,1019290156,1019290056,1019290054,1019290053,1019290049,1019290048,1019290047,1019290045,1019290041,1019290040,1019290039,1019290038","VCP (Withdrawn), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/870/docrepository","40.807961","-73.949077","10","9","222","1088475","1019290029","Central Harlem South"
"11TMP0012K,11EH-N012K,13CVCP109K","490 Myrtle Avenue","484","Myrtle Avenue","Brooklyn","3019050019,3019057502","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/731/docrepository","40.693445","-73.965684","2","35","193","3054893","3019057502","Clinton Hill"
"17TMP0793M,21EHAN017M","440 WEST 33RD STREET (NW TOWER)","440","WEST 33RD STREET","Manhattan","1007290060,1007290061","E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/4436/docrepository","40.753281","-73.998145","4","3","103","1000000","1007290061","Hudson Yards-Chelsea-Flatiron-Union Square"
"12TMP0275M,12EH-N275M,14CVCP204M","461 West 34th Street (AKA 436 10th Ave)","461","West 34th Street","Manhattan","1007320001","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/1302/docrepository","40.754351","-73.998585","4","3","111","1012856","1007320001","Hudson Yards-Chelsea-Flatiron-Union Square"
"18TMP0998Q,18EHAZ348Q,19CVCP004Q","37-29 32 STREET","37-29","32 STREET","Queens","4003740008","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/5576/docrepository","40.754135","-73.930624","1","26","55","4436764","4003740008","Queensbridge-Ravenswood-Long Island City"
"18TMP0332M,18EHAN137M","137 VARICK STREET","137","VARICK STREET","Manhattan","1005790047,1005790060,1005790068,1005790070,1005790074","E/RD (Review)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/4910/docrepository","40.725789","-74.005773","2","3","37","1009745","1005790047","SoHo-TriBeCa-Civic Center-Little Italy"
"16TMP0053K,16EH-N048Q","108-01 Atlantic Avenue","108-01","Atlantic Avenue","Queens","4093150023,4093150030","E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/3402/docrepository","40.691406","-73.837410","9","32","12601","4195452","4093150023","Richmond Hill"
"22TMP0917K,22EHAZ218K","524 BALTIC STREET","524","BALTIC STREET","Brooklyn","3004060018","E/RD (Review)","Active (A)","Approved Remedial Plan","https://a002-epic.nyc.gov/app/workspace/32364/docrepository","40.682015","-73.984569","6","33","127","3395579","3004060018","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"18TMP1369K,19ENOS059K","428 WYTHE AVENUE","428","WYTHE AVENUE","Brooklyn","3024690016,3024690019,3024690020,3024690021","E/RD (No Cleanup)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/6946/docrepository","40.711210","-73.966534","1","33","549","3063648","3024690016","North Side-South Side"
"12TMP0484K,12EH-A484K,13CVCP074K","16 Bartlett Street","16","BARTLETT STREET","Brooklyn","3022720004,3022720003,3022727502","VCP (Enrolled)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/937/docrepository","40.700671","-73.947151","1","33","507","3422361","3022720003","Bedford"
"18TMP1129K,18EH-A407K,19CVCP002K","142-150 SOUTH PORTLAND AVE","142-150","SOUTH PORTLAND AVE","Brooklyn","3020030037","VCP (Enrolled), E/RD (Review)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/5707/docrepository","40.684941","-73.974173","2","35","35","3057480","3020030037","Fort Greene"
"13TMP0185X,13EH-N185X,13CVCP129X","2999 Webster Avenue Webster I","2997","Webster Avenue","Bronx","2032800039","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/1783/docrepository","40.868145","-73.882190","7","11","415","2129005","2032800039","Bedford Park-Fordham North"
"21TMP0702X,21EH-N148X,22CVCP017X","1600 Macombs Road","1600","MACOMBS ROAD","Bronx","2028650134,2028650160","VCP (Enrolled), E/RD (Review)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/21510/docrepository","40.845745","-73.917105","5","14","217","2008433","2028650134","University Heights-Morris Heights"
"15TMP0083K,15EH-N083K,17CVCP033K","Greenpoint Landing F1","41","Blue Slip","Brooklyn","3024720050,3024720045","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/2836/docrepository","40.735784","-73.959416","1","33","563","3418262","3024720050","Greenpoint"
"13TMP0215Q,13ENOS215Q","49-18 Vernon Boulevard (DOB Job No: 420602324)","49-18","Vernon Blvd","Queens","4000320001","E/RD (No Cleanup)","Active (A)","Closure","https://a002-epic.nyc.gov/app/workspace/1886/docrepository","40.743228","-73.953945","2","26","7","4000000","4000320001","Hunters Point-Sunnyside-West Maspeth"
"10TMP0232X,10EHAZ232X","445 East 163rd Street","445","East 163rd Street","Bronx","2023850003,2023850007,2023850011,2023850015,2023850030,2023850033,2023850034,2023850035,2023850036,2023850044,2023850045,2023850050,2023850051,2023850053,2023850055,2023850059,2023850001,2023850057","E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/348/docrepository","40.824796","-73.911100","3","17","185","2128877","2023850001","Morrisania-Melrose"
"12TMP0385M,12RHAZ385M","3595 Broadway","3593","Broadway","Manhattan","1020940036,1020947503","E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/1405/docrepository","40.828116","-73.949235","9","7","233","1083034","1020947503","Hamilton Heights"
"14TMP0487Q,14EHAN487Q,15CVCP079Q","38-11 31st Street","38-19","31st Street","Queens","4003820011,4003827502","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/2108/docrepository","40.753478","-73.932260","1","26","31","4311879","4003827502","Queensbridge-Ravenswood-Long Island City"
"15TMP0082K,15EH-N082K,16CVCP065K","Greenpoint Landing G1","1","BLUE SLIP","Brooklyn","3024720100,3024720080,3024720050,3024720045,3024720090,3024720055","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/2835/docrepository","40.735562","-73.959806","1","33","563","3418101","3024720100","Greenpoint"
"20TMP0240K,20EHAN049K,20CVCP059K","381 Chester Street","401","CHESTER STREET","Brooklyn","3035890021","VCP (Enrolled), E/RD (Review)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/11524/docrepository","40.661740","-73.909671","16","42","916","3000000","3035890021","Brownsville"
"12TMP0390K,12EH-N390K","333 Schermerhorn Street","333","Schermerhorn Street","Brooklyn","3001670013","E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/149/docrepository","40.687144","-73.981243","2","33","37","3418263","3001670013","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"14TMP0238M,14EA-N238M","62 Wooster Street - DOB Job No. 121327395","62","Wooster Street","Manhattan","1004860036","E/RD (No Cleanup)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/1939/docrepository","40.723256","-74.001883","2","1","49","1007300","1004860036","SoHo-TriBeCa-Civic Center-Little Italy"
"19TMP1997M,19RH-A429M,20CVCP032M","206 West 124th Street","206","W 124TH","Manhattan","1019290017,1019290057,1019290029","VCP (Enrolled), E/RD (Review)","Active (A)","Closure","https://a002-epic.nyc.gov/app/workspace/11095/docrepository",,,,,,,,
"18TMP0238X,18ENOS098X","3545 WHITE PLAINS ROAD","3545","WHITE PLAINS ROAD","Bronx","2046430048","E/RD (No Cleanup)","Active (A)","Closure","https://a002-epic.nyc.gov/app/workspace/4816/docrepository","40.878666","-73.865714","12","12","378","2000000","2046430048","Williamsbridge-Olinville"
"16TMP0350M,16EH-N257M,17CVCP047M","500 West 25th Street","500","West 25th Street","Manhattan","1006960037,1006960038","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/3455/docrepository","40.749002","-74.003328","4","3","99","1000000","1006960038","Hudson Yards-Chelsea-Flatiron-Union Square"
"15TMP0396Q,15EHAN396Q,16CVCP002Q","31-07 38th Avenue","31-07","38th Avenue","Queens","4003730001,4003730002","VCP (Enrolled), E/RD (Review)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/2696/docrepository","40.753713","-73.931866","1","26","51","4436763","4003730002","Queensbridge-Ravenswood-Long Island City"
"14TMP0048K,14EHAN048K","1066-1070 Myrtle Avenue","1066","Myrtle Avenue","Brooklyn","3015850031,3015850032,3015850033","E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/2006/docrepository","40.696566","-73.938791","3","36","283","3000000","3015850031","Stuyvesant Heights"
"16TMP0224K,16EHAZ222K,17CVCP018K","74-76 Ainslie Street","74","Ainslie Street","Brooklyn","3023750010","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/3359/docrepository","40.712580","-73.951957","1","34","513","3062550","3023750010","North Side-South Side"
"13TMP0069Q,13EH-N069Q,13CVCP102Q","43-25 Hunter Street","43-25","Hunter Street","Queens","4004330038,4004330039,4004330012,4004330031,4004330035,4004330036,4004330037,4004337501","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/1748/docrepository","40.747892","-73.942595","2","26","19","4617191","4004337501","Hunters Point-Sunnyside-West Maspeth"
"13TMP0526K,13EH-A243K,13CVCP116K","683-691 Marcy Ave. (aka 168 Kosciusko St)","683","Marcy Avenue","Brooklyn","3017850001,3017850001,3017850003,3017850003,3017850005,3017850005","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/1452/docrepository","40.690864","-73.948298","3","36","261","3000000","3017850001","Bedford"
"15TMP0347K,15EH-N347K,16CVCP035K","2150 Mill Avenue","2150","Mill Avenue","Brooklyn","3084701095,3084701096","VCP (Enrolled)","Active (A)","Construction","https://a002-epic.nyc.gov/app/workspace/2882/docrepository","40.614557","-73.912915","18","46","698","3334404","3084701096","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"15TMP0009Q,15EH-A009Q,15CVCP065Q","45-35 11th Street and 11-22 45th Road","11-22","45th Road","Queens","4000540013,4000540020","VCP (Terminated), E/RD (Review), State BCP","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/2603/docrepository","40.746954","-73.949351","2","26","7","4000000","4000540150","Hunters Point-Sunnyside-West Maspeth"
"13TMP0079K,13EH-N079K,14CVCP167K","1225 Atlantic Avenue","1225","Atlantic Avenue","Brooklyn","3018660023,3018660026","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/1752/docrepository","40.678500","-73.950359","3","36","247","3053933","3018660023","Crown Heights North"
"20TMP1040Q,20EHAN213Q,20CVCP086Q","38-03 31ST STREET","38-03","31ST STREET","Queens","4003820015","VCP (Withdrawn), E/RD (Review)","Active (A)","Approved Remedial Plan","https://a002-epic.nyc.gov/app/workspace/14322/docrepository","40.753604","-73.932159","1","26","31","4004595","4003820015","Queensbridge-Ravenswood-Long Island City"
"13TMP0239K,13EHAN239K,13CVCP108K","588 Myrtle Avenue - DOB Job No. NB - 320508688","588","Myrtle Avenue","Brooklyn","3019100023,3019100024","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/1536/docrepository","40.694028","-73.960870","3","33","193","3054910","3019100023","Clinton Hill"
"13TMP0357K,13EHAZ357K,14CVCP165K","219-223 North 8th Street (230 North 9th Street) - DOB Job No. NB - 320576989, 320577247 and 340125616","230","North 9th Street","Brooklyn","3023130011,3023130013","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/1687/docrepository","40.717579","-73.954363","1","33","519","3425126","3023130013","North Side-South Side"
"16TMP0384X,16CVCP073X,16CVCP073X","972-976 Leggett Avenue","972","Leggett Avenue","Bronx","2026840068","VCP (Enrolled)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/3185/docrepository","40.814922","-73.900052","2","17","83","2005098","2026840068","Longwood"
"14TMP0430M,14EH-N430M","Related Tower D and Culture Shed - 545 West 30th Street","545","West 30th Street","Manhattan","1007020004","E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/2395/docrepository","40.753017","-74.003227","4","3","99","1089411","1007027502","Hudson Yards-Chelsea-Flatiron-Union Square"
"17TMP0448M,17CVCP046M,18EHAZ216M","3896 10TH AVENUE - Inwood Charter School","3896","10TH AVENUE","Manhattan","1022230016","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/4091/docrepository","40.865184","-73.918407","12","10","293","1064788","1022230016","Marble Hill-Inwood"
"11TMP0163K,11EHAZ163K","160-162 North 12th Street","160","North 12th Street","Brooklyn","3022900005,3022900010,3022900013,3022900028","E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/666/docrepository","40.721010","-73.955428","1","33","517","3061538","3022900010","North Side-South Side"
"16TMP0209Q,16ENOS197M","91 Attorney Street","91","Attorney Street","Manhattan","1003480066,1003480064","E/RD (No Cleanup)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/3524/docrepository","40.718235","-73.984557","3","1","1402","1090483","1003480064","Lower East Side"
"15TMP0098K,15EHAZ098K,15CVCP044K","26 West Street","26","West Street","Brooklyn","3025710001","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/2741/docrepository","40.727000","-73.958783","1","33","561","3424986","3025710001","Greenpoint"
"19TMP0663K,19ENOS193K","1623 CONEY ISLAND AVENUE","1623","CONEY ISLAND AVENUE","Brooklyn","3067310056,3067317501","E/RD (No Cleanup)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/8762/docrepository","40.617895","-73.963857","14","44","768","3180577","3067310056","Midwood"
"19TMP2096Q,19EHAZ456Q,20CVCP025Q","38-35 CRESCENT STREET","38-35","CRESCENT STREET","Queens","4003870002","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/11194/docrepository","40.755379","-73.936174","1","26","31","4004694","4003870002","Queensbridge-Ravenswood-Long Island City"
"15TMP0183K,15EH-A183K,15CVCP031K","153 Lorimer Street","153","Lorimer Street","Brooklyn","3022420053","VCP (Enrolled), E/RD (Review)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/2610/docrepository","40.703238","-73.949237","1","33","509","3413489","3022420053","Williamsburg"
"13TMP0240Q,13EH-A240Q,13CVCP143Q","32-04 38th Avenue - DOB Job No. 420648106 (NB)","32-04","38th Avenue","Queens","4003810009","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/1451/docrepository","40.753296","-73.931119","1","26","31","4619472","4003810009","Queensbridge-Ravenswood-Long Island City"
"16TMP0273K,17CVCP008X,17CVCP008X","230-240 East 174th Street","230","East 174th Street","Bronx","2027920037","VCP (Enrolled)","Completed (C)","Site Management","https://a002-epic.nyc.gov/app/workspace/3641/docrepository","40.844720","-73.907427","4","15","22902","2007368","2027920037","Mount Hope"
"15TMP0541K,15EHAZ541K,15CVCP168K","148 West Street","148","West Street","Brooklyn","3025310003","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/2822/docrepository","40.732101","-73.959624","1","33","563","3064230","3025310003","Greenpoint"
"16TMP0239Q,16EH-A219K,16CVCP078K","391 Meeker Avenue","391","Meeker Avenue","Brooklyn","3027230033","VCP (Enrolled), E/RD (Review)","Active (A)","Closure","https://a002-epic.nyc.gov/app/workspace/3248/docrepository","40.718685","-73.947032","1","33","499","3067912","3027230033","Greenpoint"
"16TMP0004Q,16EH-N001K,16CVCP015K","1989 Coney Island Avenue","1989","Coney Island Avenue","Brooklyn","3067740057,3067740059,3067740061","VCP (Enrolled), E/RD (Review)","Completed (C)","Completed","https://a002-epic.nyc.gov/app/workspace/3395/docrepository","40.608790","-73.962137","15","48","554","3409253","3067740059","Homecrest"
