"bronx_condominium_property_boro_block_lot","bronx_condominium_property_condo_section","bronx_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","bronx_condominium_property_neighborhood","bronx_condominium_property_building_classification","bronx_condominium_property_total_units","bronx_condominium_property_year_built","bronx_condominium_property_gross_sqft","bronx_condominium_property_est_gross_income","bronx_condominium_property_gross_income_per_sqft","bronx_condominium_property_full_market_value","bronx_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"2-05606-7502","56-R1","195 BALCOM AVENUE
Bronx, New York 
(40.814060137279, -73.821646875504)","2","10465","40.81421","-73.821723","10","13","132","2090597","2056067502","Schuylerville-Throgs Neck-Edgewater Park                                   ","THROGS NECK","R2-WALK-UP","20","1997","19080","324360","17","1319994","69","2-05786-0240","3205 OXFORD AVENUE
Bronx, New York 
(40.884672613798, -73.909349893762)","RIVERDALE","C1-WALK-UP","12","1985","6260","108560","17.34","442000","71","6.7","2-05798-0101","3615 OXFORD AVENUE
Bronx, New York 
(40.886877804886, -73.908631585139)","RIVERDALE","C1-WALK-UP","15","1980","7550","143532","19.01","584000","77","6.8"
"2-03929-7501","23-R1","99 METROPOLITAN OVAL
Bronx, New York 
(40.838927058597, -73.861164029973)","2","10462","40.838382","-73.860664","9","18","21602","2096606","2039377501","Parkchester                                                                ","PARKCHESTER","R4-ELEVATOR","128","1933","109764","1007633","9.18","3319981","30.2","2-03925-0018","1565 THIERIOT AVENUE
Bronx, New York 
(40.839624421712, -73.865901165801)","PARKCHESTER","D1-ELEVATOR","120","1930","130500","1198097","9.18","3950000","30.3","0.45","2-03932-0050","2022 BENEDICT AVENUE
Bronx, New York 
(40.834369260106, -73.857194385368)","PARKCHESTER","D1-ELEVATOR","92","1928","103284","902271","8.74","2770000","26.8","0.25"
"2-02703-7501","74-R1","950 WESTCHESTER AVENUE
Bronx, New York 
(40.822397655937, -73.896298700637)","2","10459","40.822388","-73.896326","2","17","87","2114693","2027037501","Longwood                                                                   ","MORRISANIA/LONGWOOD","R4-ELEVATOR","111","2006","112935","1275036","11.29","4490000","39.8","2-02372-0041","3463 3 AVENUE
Bronx, New York 
(40.825576999979, -73.918448999722)","MORRISANIA/LONGWOOD","D7-ELEVATOR","119","2005","144730","1550058","10.71","5240000","36.2","0.8","2-03797-0001","2001 BRUCKNER BOULEVARD
Bronx, New York 
(40.825576999979, -73.918448999722)","CASTLE HILL/UNIONPORT","D3-ELEVATOR","118","1964","112507","1296917","11.53","4570000","40.6","2.2"
"2-03432-7501","33-R6","301 ADMIRAL LANE
Bronx, New York 
(40.807219940817, -73.854258663914)","2","10473","40.807073","-73.854206","9","18","4","2099266","2034327501","Soundview-Castle Hill-Clason Point-Harding Park                            ","SOUNDVIEW","R2-WALK-UP","28","1989","34516","440079","12.75","1650000","47.8","2-03802-0028","2040 GLEASON AVENUE
Bronx, New York 
(40.831187938107, -73.85635222471)","CASTLE HILL/UNIONPORT","C1-WALK-UP","33","1964","20971","279547","13.33","1050000","50","1.65","2-05371-0060","3080 TREMONT AVENUE
Bronx, New York 
(40.838890343941, -73.835981548445)","SCHUYLERVILLE/PELHAM BAY","C9-WALK-UP","27","1962","16507","172550","10.45","583000","35.3","2.35"
"2-05780-7501","40-R1","3900 GREYSTONE AVENUE
Bronx, New York 
(40.88950389842, -73.904451506606)","2","10463","40.889453","-73.904475","8","11","335","2084041","2057800940","North Riverdale-Fieldston-Riverdale                                        ","RIVERDALE","R4-ELEVATOR","78","1928","95061","1045671","11","3689993","38.8","2-03219-0055","2400 WEBB AVENUE
Bronx, New York 
(40.863590585737, -73.907486698741)","KINGSBRIDGE HTS/UNIV HTS","D1-ELEVATOR","75","1963","79000","886375","11.22","3120000","39.5","1.65","2-05787-0137","3220 NETHERLAND AVENUE
Bronx, New York 
(40.883961568175, -73.911511205264)","RIVERDALE","D1-ELEVATOR","85","1954","100498","1155727","11.5","4070000","40.5","0.45"
"2-04284-7501","70-R1","2040 WHITE PLAINS ROAD
Bronx, New York 
(40.851280197433, -73.867773653195)","2","10462","40.851139","-73.867794","11","15","230","2114768","2042847501","Van Nest-Morris Park-Westchester Square                                    ","MORRIS PARK/VAN NEST","R9-CONDOPS","100","2005","108100","1061542","9.82","3590000","33.2","2-04253-0080","1975 BIRCHALL AVENUE
Bronx, New York 
(40.848752989602, -73.868542246411)","MORRIS PARK/VAN NEST","D1-ELEVATOR","90","2002","87902","863246","9.82","2920000","33.2","0.25","2-04253-0084","678 SAGAMORE STREET
Bronx, New York 
(40.848874545955, -73.868133849088)","MORRIS PARK/VAN NEST","D1-ELEVATOR","90","2002","82015","698346","8.51","2300000","28","0.25"
"2-03432-7501","33-R4","232 FLEET COURT
Bronx, New York 
(40.806775500111, -73.852311904978)","2","10473","40.806972","-73.85214","9","18","4","2099281","2034327501","Soundview-Castle Hill-Clason Point-Harding Park                            ","SOUNDVIEW","R2-WALK-UP","18","1989","22199","283037","12.75","1059999","47.7","2-03802-0028","2040 GLEASON AVENUE
Bronx, New York 
(40.831187938107, -73.85635222471)","CASTLE HILL/UNIONPORT","C1-WALK-UP","33","1964","20971","279547","13.33","1050000","50","1.65","2-05844-1935","5431 SYLVAN AVENUE
Bronx, New York 
(40.902340245832, -73.898609426903)","RIVERDALE","C1-WALK-UP","24","1972","18756","236069","12.59","887000","47.3","7"
"2-03432-7501","33-R1","228 NEPTUNE COURT
Bronx, New York 
(40.807682339437, -73.853276902534)","2","10473","40.807654","-73.853341","9","18","4","2099271","2034327501","Soundview-Castle Hill-Clason Point-Harding Park                            ","SOUNDVIEW","R2-WALK-UP","40","1989","47376","658526","13.9","2610009","55","2-05907-0348","3725 BLACKSTONE AVENUE
Bronx, New York 
(40.888932645311, -73.911592854676)","RIVERDALE","D1-ELEVATOR","42","1968","41803","582915","13.94","2310000","55","6.4","2-05851-2105","6425 BROADWAY
Bronx, New York 
(40.825576999979, -73.918448999722)","RIVERDALE","D3-ELEVATOR","55","1974","48100","746149","15.51","3030000","63","7"
"2-05723-7501","84-R1","2287 JOHNSON AVENUE
Bronx, New York 
(40.877977567321, -73.919247710483)","2","10463","40.877629","-73.91905","8","11","29302","2083257","2057237501","Spuyten Duyvil-Kingsbridge                                                 ","RIVERDALE","R4-ELEVATOR","73","1983","99590","1195080","12","4209998","42.3","2-05787-0137","3220 NETHERLAND AVENUE
Bronx, New York 
(40.883961568175, -73.911511205264)","RIVERDALE","D1-ELEVATOR","85","1954","100498","1155727","11.5","4070000","40.5","0.6","2-05904-0267","600 239 STREET
Bronx, New York 
(40.889579457198, -73.911174785847)","RIVERDALE","D1-ELEVATOR","90","1956","98681","1187061","12.03","4180000","42.4","0.85"
"2-04307-7501","27-R1","1144 LYDIG AVENUE
Bronx, New York 
(40.855486860448, -73.855153367389)","2","10461","40.855549","-73.855086","11","13","288","2087163","2043077501","Pelham Parkway                                                             ","PELHAM PARKWAY SOUTH","R4-ELEVATOR","48","1964","56000","649600","11.6","2290010","40.9","2-04322-0043","2179 MATTHEWS AVENUE
Bronx, New York 
(40.856133797363, -73.862912097751)","PELHAM PARKWAY SOUTH","C9-WALK-UP","48","1948","35960","418199","11.63","1470000","40.9","0.45","2-04324-0001","2126 MULINER AVENUE
Bronx, New York 
(40.855072774713, -73.861940377721)","PELHAM PARKWAY SOUTH","C9-WALK-UP","38","1950","28979","364290","12.57","1370000","47.3","0.35"
"2-03083-7501","90-R1","2135 CROTONA AVENUE
Bronx, New York 
(40.849112484231, -73.888021553165)","2","10457","40.849226","-73.887801","6","15","373","2115776","2030837501","East Tremont                                                               ","EAST TREMONT","R2-WALK-UP","16","2006","14200","284000","20","1269992","89","2-05786-0240","3205 OXFORD AVENUE
Bronx, New York 
(40.884672613798, -73.909349893762)","RIVERDALE","C1-WALK-UP","12","1985","6260","108560","17.34","442000","71","2.65","2-05798-0101","3615 OXFORD AVENUE
Bronx, New York 
(40.886877804886, -73.908631585139)","RIVERDALE","C1-WALK-UP","15","1980","7550","143532","19.01","584000","77","2.8"
"2-04668-7501","76-R1","724 221 STREET
Bronx, New York 
(40.884965532286, -73.862027346087)","2","10467","40.884683","-73.861109","12","12","396","2114032","2046687501"," Williamsbridge-Olinville","WILLIAMSBRIDGE","R2-WALK-UP","24","2005","29320","348686","11.89","1230001","42","2-04753-0029","3333 BRUNER AVENUE
Bronx, New York 
(40.877389917419, -73.840619187159)","BAYCHESTER","D1-ELEVATOR","23","2000","30000","354600","11.82","1250000","41.7","1.15","2-05047-0006","4360 FURMAN AVENUE
Bronx, New York 
(40.897127541215, -73.854169824041)","WAKEFIELD","C1-WALK-UP","27","1931","26280","258624","9.84","874000","33.3","1"
"2-04163-7501","12-R1","1725 EDISON AVENUE
Bronx, New York 
(40.84569734589, -73.832677608421)","2","10461","40.845857","-73.832637","10","13","26602","2045932","2041637501","Pelham Bay-Country Club-City Island                                        ","SCHUYLERVILLE/PELHAM BAY","R4-ELEVATOR","35","1965","27316","341450","12.5","1280009","46.9","2-04249-0042","2023 BURR AVENUE
Bronx, New York 
(40.853632383399, -73.827409685429)","SCHUYLERVILLE/PELHAM BAY","D1-ELEVATOR","37","1963","31125","387617","12.45","1460000","46.9","0.6",,,,,,,,,,,,
"2-05604-7501","16-R1","2718 SCHURZ AVENUE
Bronx, New York 
(40.813597200421, -73.821724941795)","2","10465","40.813601","-73.821775","10","13","132","2096854","2056047501","Schuylerville-Throgs Neck-Edgewater Park                                   ","THROGS NECK","R4-ELEVATOR","52","1984","63416","982948","15.5","4000024","63","2-03142-0200","1937 WEBSTER AVENUE
Bronx, New York 
(40.848882305038, -73.900406021079)","FORDHAM","D1-ELEVATOR","99","1972","94682","1728310","18.25","4880000","52","4.85","2-05851-2105","6425 BROADWAY
Bronx, New York 
(40.825576999979, -73.918448999722)","RIVERDALE","D3-ELEVATOR","55","1974","48100","746149","15.51","3030000","63","7.4"
"2-05771-7501","41-R1","3636 FIELDSTON ROAD
Bronx, New York 
(40.886850149315, -73.906501602504)","2","10463","40.888148","-73.906021","8","11","295","2083983","2057717501","Spuyten Duyvil-Kingsbridge                                                 ","RIVERDALE","R9-CONDOPS","106","1962","132000","1283040","9.72","4340000","32.9","2-05732-0924","2700 HENRY HUDSON PARKWAY
Bronx, New York 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","78","1955","108955","1108732","10.18","3750000","34.4","0.6","2-05798-0086","3640 JOHNSON AVENUE
Bronx, New York 
(40.887904997599, -73.909348380681)","RIVERDALE","D1-ELEVATOR","84","1954","120650","1097204","9.09","3620000","30","0.15"
"2-02742-7501","72-R1","951 HOE AVENUE
Bronx, New York 
(40.822104510466, -73.890364889052)","2","10459","40.822088","-73.89034","2","17","119","2113353","2027427501","Hunts Point                                                                ","MORRISANIA/LONGWOOD","R9-CONDOPS","300","2005","279904","3078944","11","10900000","38.9","2-02406-0021","827 MELROSE AVENUE
Bronx, New York 
(40.823241597919, -73.914391183117)","MELROSE/CONCOURSE","D1-ELEVATOR","80","2003","66000","739399","11.2","2090000","31.7","1.3","2-02386-0144","1011 WASHINGTON AVENUE
Bronx, New York 
(40.825576999979, -73.918448999722)","MORRISANIA/LONGWOOD","D1-ELEVATOR","136","2004","126284","1262238","10","4270000","33.8","1.05"
"2-03318-7501","48-R1","2805A CRESTON AVENUE
Bronx, New York 
(40.870134970336, -73.892610472518)","2","10468","40.870197","-73.892502","7","14","40303","2097012","2033187501","Van Cortlandt Village                                                      ","BEDFORD PARK/NORWOOD","R2-WALK-UP","18","1993","16638","207309","12.46","778995","46.8","2-03296-0047","2875 BAINBRIDGE AVENUE
Bronx, New York 
(40.869085621621, -73.887078980251)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","38","1965","31133","426093","13.69","1690000","54","0.3","2-03319-0113","2871 GRAND
Bronx, New York 
(40.825576999979, -73.918448999722)","BEDFORD PARK/NORWOOD","C1-WALK-UP","21","1916","20250","275559","13.61","1090000","54","0.2"
"2-05904-7501","63-R1","3800 BLACKSTONE AVENUE
Bronx, New York 
(40.889232471884, -73.911487178489)","2","10463","40.889239","-73.911513","8","11","30701","2116335","2059047501","North Riverdale-Fieldston-Riverdale                                        ","RIVERDALE","R4-ELEVATOR","12","2004","20280","314340","15.5","1280002","63","2-03118-0036","2079 MOHEGAN AVENUE
Bronx, New York 
(40.844927295928, -73.884005635235)","EAST TREMONT","D1-ELEVATOR","21","1925","19265","273276","14.19","1080000","56","3.3","2-03123-0046","2090 MOHEGAN AVENUE
Bronx, New York 
(40.845230393445, -73.883657649539)","EAST TREMONT","D1-ELEVATOR","24","1925","22580","330006","14.61","1310000","58","3.35"
"2-05529-7501","83-R1","24 PENNYFIELD AVENUE
Bronx, New York 
(40.809371426104, -73.802555644605)","2","10465","40.809437","-73.802793","10","13","118","2124419","2055297501","Schuylerville-Throgs Neck-Edgewater Park                                   ","THROGS NECK","R2-WALK-UP","15","2000","12624","170424","13.5","641001","51","2-03802-0028","2040 GLEASON AVENUE
Bronx, New York 
(40.831187938107, -73.85635222471)","CASTLE HILL/UNIONPORT","C1-WALK-UP","33","1964","20971","279547","13.33","1050000","50","3.1","2-05430-0052","835 THROGS NECK
Bronx, New York 
(40.825576999979, -73.918448999722)","THROGS NECK","C1-WALK-UP","14","1989","8792","84900","9.66","287000","32.6","1.6"
"2-02748-7501","46-R1","1010 FAILE STREET
Bronx, New York 
(40.823510926478, -73.889483789199)","2","10459","40.823682","-73.889517","2","17","119","2006083","2027487501","Hunts Point                                                                ","MORRISANIA/LONGWOOD","R2-WALK-UP","78","1930","93600","1029600","11","3639447","38.9","2-02427-0001","391 168 STREET
Bronx, New York 
(40.832463162195, -73.910076878871)","MELROSE/CONCOURSE","C7-WALK-UP","16","1923","11055","116955","10.58","395000","35.7","1.2","2-02457-0044","1278 GRAND
Bronx, New York 
(40.825576999979, -73.918448999722)","MELROSE/CONCOURSE","C7-WALK-UP","51","1928","48000","492463","10.26","1660000","34.6","1.55"
"2-05725-7501","11-R1","2600 HENRY HUDSON PARKWAY
Bronx, New York 
(40.825576999979, -73.918448999722)","2","10463","40.880845","-73.917535","8","11","29302","2083283","2057257501","Spuyten Duyvil-Kingsbridge                                                 ","RIVERDALE","R4-ELEVATOR","24","1941","35000","460250","13.15","1730004","49.4","2-05716-0287","2475 PALISADE AVENUE
Bronx, New York 
(40.880092839955, -73.92234413928)","RIVERDALE","D1-ELEVATOR","25","1932","31098","472245","15.19","1920000","62","0.3","2-05781-1100","3900 HENRY HUDSON PARKWAY
Bronx, New York 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","37","1928","37962","396156","10.44","1340000","35.3","0.8"
"2-03929-7501","23-R2","1469 WEST AVENUE
Bronx, New York 
(40.83691693606, -73.861467982661)","2","10462","40.836939","-73.861448","9","18","21602","2096629","2039377501","Parkchester                                                                ","PARKCHESTER","R4-ELEVATOR","2121","1933","1867373","15910017","8.52","52400174","28.1","2-03925-0018","1565 THIERIOT AVENUE
Bronx, New York 
(40.839624421712, -73.865901165801)","PARKCHESTER","D1-ELEVATOR","120","1930","130500","1198097","9.18","3950000","30.3","0.25","2-04286-0022","2100 BRONX PARK
Bronx, New York 
(40.853699684387, -73.869138050698)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","157","1929","168990","1651470","9.77","5580000","33","1.2"
"2-03324-7501","36-R1","75 GUN HILL ROAD
Bronx, New York 
(40.881832610139, -73.879801951136)","2","10467","40.881827","-73.879833","7","11","431","2017815","2033280128","Norwood                                                                    ","BEDFORD PARK/NORWOOD","R9-CONDOPS","87","1932","87502","988772","11.3","2627980","30","2-03156-0009","2070 GRAND
Bronx, New York 
(40.825576999979, -73.918448999722)","FORDHAM","D7-ELEVATOR","93","1925","87156","884894","10.15","2990000","34.3","2.25","2-03271-0125","3815 PUTNAM AVENUE
Bronx, New York 
(40.884737507079, -73.898873689852)","KINGSBRIDGE/JEROME PARK","D7-ELEVATOR","92","2000","111620","2321696","20.8","10400000","93","0.85"
"2-05777-7501","79-R1","3816 WALDO AVENUE
Bronx, New York 
(40.887539907691, -73.903736838364)","2","10463","40.887742","-73.90362","8","11","285","2084024","2057777501","Spuyten Duyvil-Kingsbridge                                                 ","KINGSBRIDGE/JEROME PARK","R4-ELEVATOR","25","2004","59005","796567","13.5","2989992","51","2-03328-0108","3555 BAINBRIDGE AVENUE
Bronx, New York 
(40.882201492532, -73.87814692676)","BEDFORD PARK/NORWOOD","D7-ELEVATOR","68","1959","62000","807536","13.02","3040000","49","1.35","2-04332-0005","1130 PELHAM PARKWAY
Bronx, New York 
(40.825576999979, -73.918448999722)","PELHAM PARKWAY SOUTH","D7-ELEVATOR","58","1956","51600","705172","13.67","2800000","54","3.25"
"2-03432-7501","33-R3","124 NEPTUNE LANE
Bronx, New York 
(40.806886442536, -73.852493556862)","2","10473","40.807041","-73.852837","9","18","4","2099280","2034327501","Soundview-Castle Hill-Clason Point-Harding Park                            ","SOUNDVIEW","R2-WALK-UP","14","1989","15972","191664","12","676000","42.3","2-05371-0060","3080 TREMONT AVENUE
Bronx, New York 
(40.838890343941, -73.835981548445)","SCHUYLERVILLE/PELHAM BAY","C9-WALK-UP","27","1962","16507","172550","10.45","583000","35.3","2.35","2-05844-1935","5431 SYLVAN AVENUE
Bronx, New York 
(40.902340245832, -73.898609426903)","RIVERDALE","C1-WALK-UP","24","1972","18756","236069","12.59","887000","47.3","7"
"2-04340-7501","14-R1","610 WARING AVENUE
Bronx, New York 
(40.861375906182, -73.870308044297)","2","10467","40.861391","-73.870243","11","15","33201","2049754","2043407501","Bronxdale                                                                  ","BRONXDALE","R4-ELEVATOR","122","1960","116200","764596","6.58","2350042","20.22","2-04338-0012","660 THWAITES PLACE
Bronx, New York 
(40.858845897175, -73.869087756)","BRONXDALE","D1-ELEVATOR","108","1954","137350","904026","6.58","2780000","20.24","0.15","2-04337-0064","620 REISS PLACE
Bronx, New York 
(40.858184477605, -73.870607879687)","BRONXDALE","D1-ELEVATOR","74","1959","86527","623376","7.2","1910000","22.07","0.15"
"2-03929-7501","23-R4","14 METROPOLITAN OVAL
Bronx, New York 
(40.838622659221, -73.859094150894)","2","10462","40.838289","-73.859143","9","18","21002","2096693","2039437501","Parkchester                                                                ","PARKCHESTER","R4-ELEVATOR","3378","1933","3364977","28669604","8.52","94500028","28.1","2-03925-0018","1565 THIERIOT AVENUE
Bronx, New York 
(40.839624421712, -73.865901165801)","PARKCHESTER","D1-ELEVATOR","120","1930","130500","1198097","9.18","3950000","30.3","0.4","2-04286-0022","2100 BRONX PARK
Bronx, New York 
(40.853699684387, -73.869138050698)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","157","1929","168990","1651470","9.77","5580000","33","1"
