"file","law_number","type","status","final_action","title"
"Res 0516-2014",,"Resolution","Committee",,"Resolution calling on the Mayor, the Mayor’s Office of Environmental Coordination, the New York City Planning Commission, the New York City Department of City Planning, and all other relevant City agencies to re-examine the standards in the CEQR regulations and the Technical Manual for assessing when a possible adverse impact on a neighborhood’s character or socioeconomic status requires a detailed analysis and possible mitigation, and calling on the relevant agencies, when such significant adverse impacts are identified, consistently to seek mitigation or development alternatives that provide"
"Int 0599-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to posting of information and warnings regarding anabolic steroids and human growth hormone in locker rooms."
"Res 0520-2014",,"Resolution","Committee",,"Resolution calling on the New York State Assembly to pass A.7823-A, the New York State Senate to pass S.5810, and the Governor to sign such legislation, which would provide a property tax exemption for privately-owned vacant land while such property is being used for the public benefit."
"Int 0590-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to allowing parking at missing or broken muni-meters up to the maximum time permitted in that parking meter zone."
"Res 0518-2014",,"Resolution","Committee",,"Resolution calling upon the New York State Legislature to pass and the Governor to enact an amendment to the New York State Charter Schools Act requiring charter schools to fill any vacancies created by departing students, at any grade level, if students remain on the charter school’s wait-list, or alternatively, to pass legislation allowing New York City to enact such a law locally."
"Res 0517-2014",,"Resolution","Committee",,"Resolution calling upon the New York State Legislature to pass, and the Governor to enact, an amendment to the State Education Law that mandates a firm, common deadline for all charter school applications and a common lottery date for any charter schools using lottery admissions, or alternatively, to pass legislation allowing New York City to enact such a law locally."
"Int 0598-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to inspections, reinspections and penalties concerning violations relating to rodents."
"Int 0593-2014",,"Introduction","Committee",,"A Local Law to amend the New York city charter, in relation to early voting in municipal elections."
"Int 0607-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to the creation of a police officer body-worn camera task force."
"Res 0528-2014",,"Resolution","Adopted","2014-12-17T00:00:00.000","RESOLUTION APPROVING THE ELECTION BY THE COUNCIL OF THE HON. BEN KALLOS AS A MEMBER OF THE NEW YORK CITY COMMISSION ON PUBLIC INFORMATION AND COMMUNICATION."
"Res 0530-2014",,"Resolution","Adopted","2014-12-17T00:00:00.000","RESOLUTION APPROVING THE DESIGNATION BY THE COUNCIL OF THE HON. DEBORAH ROSE AS A MEMBER OF THE NEW YORK CITY WATERFRONT MANAGEMENT ADVISORY BOARD."
"Res 0529-2014",,"Resolution","Adopted","2014-12-17T00:00:00.000","RESOLUTION APPROVING THE DESIGNATION BY THE COUNCIL OF BARBARA A. LOWE AS A CANDIDATE FOR APPOINTMENT BY THE MAYOR TO THE NEW YORK CITY HEALTH AND HOSPITALS CORPORATION."
"Res 0524-2014",,"Resolution","Adopted","2014-12-17T00:00:00.000","Resolution approving an exemption from real property taxes for property located at (Block 2419, p/o Lot 28 (to be known as Lot 1002)) the Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 163)."
"Res 0523-2014",,"Resolution","Adopted","2014-12-17T00:00:00.000","Resolution approving an exemption from real property taxes for property located at (Block 2419, p/o Lot 28 (to be known as Lot 1001)) the Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 162)."
"Res 0521-2014",,"Resolution","Adopted","2014-12-17T00:00:00.000","Resolution approving a partial exemption from real property taxes for property located at (Block 246, Lot 1) Manhattan, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 160)."
"Res 0522-2014",,"Resolution","Adopted","2014-12-17T00:00:00.000","Resolution approving an exemption from real property taxes for property located at (Block 2494, p/o Lot 1, also known as 31 Eagle Street) Brooklyn, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 161)."
"Res 0527-2014",,"Resolution","Adopted","2014-12-17T00:00:00.000","Application No. 20155248 HAM submitted by the New York City Department of Housing Preservation and Development pursuant to Section 577 of the Private Housing Finance Law for a real property tax exemption for properties located at 538-548 West 53rd Street (Block 1081, part of Lot 1), Borough of the Manhattan, Community Board 4, Council District 3."
"Res 0526-2014",,"Resolution","Adopted","2014-12-17T00:00:00.000","Application No. C 110122 ZMR, submitted by the Estate of Letizia Sollazzo pursuant to Sections 197-c and 201 of the Charter for the amendment of the Zoning Map, Section No. 20d, eliminating a C1-1 District from within an existing R3-2 District and establishing a C1-2 within an existing R3-2 District, in between Mariner’s Harbor and Elm Park areas, Borough of Staten Island, Community Board 1, Council District 49."
"Res 0525-2014",,"Resolution","Adopted","2014-12-17T00:00:00.000","Application No. 20155176 HAM, submitted by the New York City Department of Housing Preservation and Development for approval of an amendment to a previously approved tax exemption pursuant to Section 577 of the Private Housing Finance Law (PHFL) for a property located at 304-306 East 8th Street, Block 390, Lot 9, Borough of Manhattan, Community Board 3, Council District 2."
"Int 0588-2014",,"Introduction","Enacted (Mayor's Desk for Signature)",,"A Local Law in relation to the date of submission by the mayor of a preliminary management report and the date prior to which the council shall conduct public hearings and the date by which the council shall submit a report or reports pertaining thereto, the date of submission by the director of management and budget and the director of city planning of a draft ten-year capital strategy, the date of submission by the city planning commission of a report on the draft ten-year capital strategy, the date of submission by the mayor of the preliminary certificate regarding debt and reserves and app"
"LU 0162-2014",,"Land Use Application","Adopted","2014-12-17T00:00:00.000","3160 Park Avenue – Low Income Project, Block 2419, p/o Lot 28 (to be known as Lot 1001); the Bronx, Community District No. 3, Council District No. 17."
"LU 0160-2014",,"Land Use Application","Adopted","2014-12-17T00:00:00.000","Lands End I, Block 246, Lot 1; Manhattan, Community District No. 3, Council District No. 1."
"LU 0161-2014",,"Land Use Application","Adopted","2014-12-17T00:00:00.000","Green Point Landing – Site E3, Block 2494, p/o Lot 1, also known as 31 Eagle Street; Brooklyn, Community District No. 1, Council District No. 33."
"Res 0519-2014",,"Resolution","Adopted","2014-12-17T00:00:00.000","Resolution approving the new designation and changes in the designation of certain organizations to receive funding in the Expense Budget."
"M 0211-2014",,"Communication","Adopted","2014-12-17T00:00:00.000","Council Member Ben Kallos, candidate for election by the Council to the New York City Commission on Public Information and Communication."
"M 0213-2014",,"Communication","Adopted","2014-12-17T00:00:00.000","Council Member Deborah Rose, candidate for designation by the Council to the New York City Waterfront Management Advisory Board."
"M 0212-2014",,"Communication","Adopted","2014-12-17T00:00:00.000","Barbara A. Lowe, MS., R.N., candidate for designation by the Council and subsequent appointment by the Mayor to the New York City Health and Hospitals Corporation Board of Directors."
"Int 0580-2014",,"Introduction","Committee",,"A Local Law in relation to an infrastructure task force."
"Int 0578-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to limiting nighttime illumination for certain buildings."
"Res 0506-2014",,"Resolution","Committee",,"Resolution calling upon the New York State Legislature to pass and the Governor to sign, A.8763-A/S.7242 legislation that would establish a task force on arts and music education in elementary and secondary schools to study and make recommendations on the curriculum and funds spent on arts and music education in the New York State elementary and secondary school system."
"LU 0159-2014",,"Land Use Application","Adopted","2014-12-17T00:00:00.000","Application No. 20155248 HAM submitted by the New York City Department of Housing Preservation and Development pursuant to Section 577 of the Private Housing Finance Law for a real property tax exemption for properties located at 538-548 West 53rd Street (Block 1081, part of Lot 1), Borough of the Manhattan, Community Board 4, Council District 3."
"LU 0158-2014",,"Land Use Application","Laid Over in Committee",,"Application No. 20155247 PNK pursuant to §1301 (2) (f) of the New York City Charter concerning a proposed maritime lease between the New York City Department of Small Business Services and the New York City Economic Development Corporation for approximately 72 acres of City-owned land, known as the South Brooklyn Marine Terminal, located at 81 39th Street (Block 662, Lots 136 and parts of Lots 1, 130 and 155), Borough of Brooklyn, Community Board 7, Council District 38."
"Int 0573-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to the operation of horse drawn cabs, displaced worker training and payment of HAIL license fees for accessible vehicles, and to repeal subdivisions c, o, p, q and r of section 17-330, relating to regulations for working carriage horses; subdivision a of section 17-334, relating to construction of subchapter 3 of chapter 3 of title 17, concerning carriage horses; section 17-334.1, relating to training and examination of horse drawn carriage drivers; section 19-174, relating to passengers boarding horse drawn cabs"
"Res 0504-2014",,"Resolution","Committee",,"Resolution calling upon the Governor and Mayor to approve a fourth “New York/New York Agreement” to create permanent supportive housing."
"T2014-2177",,"Oversight","Filed","2014-12-15T00:00:00.000","Oversight - Examining the Operations of New York City’s Summons Courts."
"Int 0576-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to the disclosure of information regarding buyout agreements."
"Res 0502-2014",,"Resolution","Committee",,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, legislation to ensure an equal number of employers and union representatives on the New York City Deferred Compensation Board."
"Int 0581-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to including 311 reports as official notice to the City of unsafe street or sidewalk conditions."
"Int 0571-2014",,"Introduction","Laid Over in Committee",,"A Local Law to amend the New York city charter, in relation to the early intervention program."
"Int 0579-2014",,"Introduction","Laid Over in Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to reporting on the racial and gender makeup of firefighter examination applicants, eligible lists, academy admissions and graduation statistics."
"Res 0505-2014",,"Resolution","Committee",,"Resolution calling upon the Public School Athletic League (PSAL) to provide a medical professional and an ambulance for High School Football games as well as practices in New York City."
"Res 0501-2014",,"Resolution","Committee",,"Resolution declaring Youth Day in New York City, to be held annually each year on August 12th, coinciding with International Youth Day."
"Int 0577-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to speed limits in New York city parks."
"Int 0583-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring reporting on crime statistics in shelters."
"Res 0503-2014",,"Resolution","Committee",,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, A.2819, which would establish a hospitality gift fund for the homeless."
"Res 0478-2014",,"Resolution","Committee",,"Resolution recognizing the contributions of the members of Shorewalkers, Inc. which promotes and preserves New York City’s shores and wetlands, and recognizing the first Saturday in May each year as “The Great Saunter Day.”"
"Res 0500-2014",,"Resolution","Committee",,"Resolution calling upon the State of New York to include in its curriculum requirements, swimming lessons and water safety education to all students in public schools from kindergarten through 12th grade where appropriate and swimming-related instruction, such as water safety and dry land strokes to all students in public schools from kindergarten through 12th grade when their school does not have a pool in the building or is not within 10 miles of a pool where appropriate."
"Res 0499-2014",,"Resolution","Committee",,"Resolution calling for the establishment of a commission to study the potential creation of a national Lesbian, Gay, Bisexual and Transgender History Museum."
"Int 0584-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to providing e-mail and text message notifications regarding major transportation projects."
"Int 0582-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to transferring administration of the senior citizen rent increase exemption (SCRIE) and disability rent increase exemption (DRIE) programs to the department of finance."
"Int 0572-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of homeless services to post daily shelter census data by borough."
"Int 0574-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring a universal mobile application to enable customers to electronically hail taxicabs and street hail livery vehicles."
"Res 0507-2014",,"Resolution","Committee",,"Resolution declaring January 15th - 22nd of each year as Peace Week in the City of New York."
"Int 0575-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring certain city contractors to implement workplace violence prevention programs."
"M 0210-2014",,"Communication","Committee",,"Communication from the Taxi & Limousine Commission – Submitting its approval of an application for a change of ownership base station license JLJ Car Service Corp., Council District 27, pursuant to Section 19-511(i), of the administrative code of the city of New York."
"M 0209-2014",,"Communication","Committee",,"Communication from the Taxi & Limousine Commission – Submitting its approval of an application for a change of location base station license GTA Car & Limo Service LLC., Council District 47, pursuant to Section 19-511(i), of the administrative code of the city of New York."
"M 0208-2014",,"Communication","Committee",,"Communication from the Taxi & Limousine Commission – Submitting its approval of an application for a renewal base station license City Car Service Corp., Council District 42, pursuant to Section 19-511(i), of the administrative code of the city of New York."
"M 0207-2014",,"Communication","Committee",,"Communication from the Taxi & Limousine Commission – Submitting its approval of an application for a renewal base station license 7 Star Car & Limousine Inc., Council District 26, pursuant to Section 19-511(i), of the administrative code of the city of New York."
"M 0206-2014",,"Communication","Committee",,"Communication from the Taxi & Limousine Commission – Submitting its approval of an application for a new base station license Ideal Limo And Ambulette Service Inc., Council District 40, pursuant to Section 19-511(i), of the administrative code of the city of New York."
"M 0205-2014",,"Communication","Committee",,"Communication from the Taxi & Limousine Commission – Submitting its approval of an application for a new base station license G.A.D. Trans Inc., Council District 9, pursuant to Section 19-511(i), of the administrative code of the city of New York."
"M 0204-2014",,"Communication","Committee",,"Communication from the Taxi & Limousine Commission – Submitting its approval of an application for a new base station license Foxx Car & Limo Service Inc., Council District 23, pursuant to Section 19-511(i), of the administrative code of the city of New York."
"M 0203-2014",,"Communication","Committee",,"Communication from the Taxi & Limousine Commission – Submitting its approval of an application for a new base station license EZCAR, LLC., Council District 38, pursuant to Section 19-511(i), of the administrative code of the city of New York."
"M 0202-2014",,"Communication","Committee",,"Communication from the Department of Small Business Services – Transmitting proposed maritime lease between the New York City Department of Small Business Services and the New York City Economic Development Corporation, for approximately 72 acres of the South Brooklyn Marine Terminal, pursuant to Section 1301(2)(f) of the City Charter."
"Res 0512-2014",,"Resolution","Adopted","2014-12-08T00:00:00.000","Resolution approving an exemption from real property taxes for property located at (Block 375, Lot 30) Manhattan, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 157)."
"Res 0511-2014",,"Resolution","Adopted","2014-12-08T00:00:00.000","Resolution approving a partial exemption from real property taxes for property located at (Block 3737, Lots 49, 54, 58, 62, 66 & 70) the Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 156)."
"Res 0510-2014",,"Resolution","Adopted","2014-12-08T00:00:00.000","Resolution approving a partial exemption from real property taxes for property located at (Block 3010, Lots 12 & 17) the Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 155)."
"Res 0509-2014",,"Resolution","Adopted","2014-12-08T00:00:00.000","Resolution approving a partial exemption from real property taxes for property located at (Block 2940, Lots 11 & 32) the Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 154)."
"Res 0508-2014",,"Resolution","Adopted","2014-12-08T00:00:00.000","Resolution approving a partial exemption from real property taxes for property located at (Block 2762, Lot 1; Block 2946, Lot 1) the Bronx, pursuant to Section 577 of the Private Housing Finance Law (Preconsidered L.U. No. 153)."
"Res 0514-2014",,"Resolution","Adopted","2014-12-08T00:00:00.000","Resolution approving the leasing of a parcel of land on the Metropolitan Hospital Center Campus, located at 1918 First Avenue, Borough of Manhattan (20155169 HHM; L.U. No. 138)."
"Res 0515-2014",,"Resolution","Adopted","2014-12-08T00:00:00.000","Resolution approving the application submitted by the New York City Department of Housing Preservation and Development (“HPD”) and the decision of the City Planning Commission, ULURP No. C 140411 HAK, approving the designation of property located at 695 Grand Street (Block 2782, Lot 36), Borough of Brooklyn, as an Urban Development Action Area, approving the Urban Development Action Area Project, and approving the disposition of the property located at 695 Grand Street (Block 2782, Lot 36), Borough of Brooklyn, to a developer selected by HPD (L.U. No. 152; C 140411 HAK)."
"Res 0513-2014",,"Resolution","Filed","2014-12-08T00:00:00.000","Resolution approving a motion to file pursuant to withdrawal of the decision of the City Planning Commission on ULURP No. C 140360 PSK (L.U. No. 135), for the site selection of property located at 444 Thomas S. Boyland Street (Block 3496, Lot 4) for use as a Community Justice Center in Community District 16, Borough of Brooklyn."
"T2014-2208",,"Oversight","Filed","2014-12-16T00:00:00.000","Oversight - The State of Natural Areas Under the Care of the Parks Department."
"LU 0157-2014",,"Land Use Application","Adopted","2014-12-08T00:00:00.000","The Mascot Flats HDFC, Block 375, Lot 30; Manhattan, Community District No. 3, Council District No. 2."
"LU 0156-2014",,"Land Use Application","Adopted","2014-12-08T00:00:00.000","Evergreen Estates HDFC, Block 3737, Lots 49, 54, 58, 62, 66, and 70; Bronx, Community District No. 9, Council District No. 17."
"LU 0155-2014",,"Land Use Application","Adopted","2014-12-08T00:00:00.000","Longfellow Avenue HDFC, Block 3010, Lots 12 and 17; Bronx, Community District No. 3, Council District No. 17."
"LU 0154-2014",,"Land Use Application","Adopted","2014-12-08T00:00:00.000","Crotona Estates HDFC, Block 2940, Lots 11 and 32; Bronx, Community District No. 3, Council District No. 17."
"LU 0153-2014",,"Land Use Application","Adopted","2014-12-08T00:00:00.000","Pio/VIP HDFC, Block 2762, Lot 1; Block 2946, Lot 1; Bronx, Community District No. 2, Council District No. 17."
"T2014-2188",,"Oversight","Filed","2014-12-15T00:00:00.000","Oversight – An Examination of the Department of Finance’s outreach efforts to senior citizens regarding the senior citizen rent increase exemption program."
"T2014-2181",,"Oversight","Filed","2014-12-15T00:00:00.000","Oversight: - Examine Lessons Learned and Recommendations for Improving New York City's Management of Large Information Technology Contracts."
"T2014-2168",,"Oversight","Filed","2014-12-10T00:00:00.000","Oversight - Evaluating the Structure and Content of the Mayor’s Management Report."
"T2014-2167",,"Oversight","Filed","2014-12-10T00:00:00.000","Oversight - Examining Ways to Increase the Number of FDNY Female Firefighters."
"T2014-2166",,"Oversight","Filed","2014-12-16T00:00:00.000","Oversight: The Relationship between Lighting and Safety in the Wake of the Akai Gurley Shooting."
"T2014-2161",,"Oversight","Filed","2014-12-11T00:00:00.000","Oversight - Diversity in New York City Schools"
"T2014-2160",,"Oversight","Filed","2014-12-10T00:00:00.000","Oversight - New York City Public Library Systems’ Capital Needs & Planning."
"Res 0485-2014",,"Resolution","Adopted","2014-11-25T00:00:00.000","Resolution approving a real property tax exemption pursuant to Section 577 of the Private Housing Finance Law (PHFL), for the Exemption Area located on Block 2426, Lots 4, 8 and 12; Block 2432, Lot 5; Block 2433, Lots 23, 28 and 36; Block 2434, Lot 47; Block 2447, Lots 51 and 56; Block 2450, Lots 29 and 31; Block 2453, Lot 55; Block 2457, Lot 50; Block 2456, Lot 51; Block 2816, Lots 1 and 70 and Block 2831, Lot 32 in Community District 4, Borough of the Bronx (L.U. No. 140; 20155171 HAX)."
"Res 0481-2014",,"Resolution","Committee",,"Resolution calling on the New York City Human Resources Administration to explore obtaining state, federal and private funds for the Teen Relationship Abuse Prevention Program."
"Int 0570-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to eliminating the prearrangement and passenger manifest requirements for commuter vans, repealing the requirement that commuter vans renew their license every six years, and repealing subdivision k of section 19-504.2."
"Res 0479-2014",,"Resolution","Committee",,"Resolution calling upon the New York State Legislature to introduce and pass, and the Governor to sign, legislation establishing a property tax credit for Class 2 cooperative and condominium buildings that are designated safe after a Façade Inspection Safety Program inspection."
"Int 0569-2014",,"Introduction","Committee",,"A Local Law in relation to the creation of a taskforce to study improving safety in homeless shelters."
"Int 0566-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring muni-meters receipts that can be affixed to motorcycles."
"Int 0567-2014",,"Introduction","Committee",,"A Local Law to amend the New York city charter, in relation to informing parent teacher associations, community education councils, and principals of instructional arts education requirements."
"Int 0568-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the police department to submit to the council reports relating to motor vehicle stops."
"Int 0565-2014",,"Introduction","Committee",,"A Local Law to amend the New York city charter, in relation to evaluating the fiscal impact of rules."
"Int 0562-2014",,"Introduction","Laid Over in Committee",,"A Local Law in relation to the creation of a Hurricane Sandy community groups and houses of worship recovery task force."
"Int 0563-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to repealing the call up provision following the granting of base station licenses."
"Int 0561-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to posting public notices in multiple languages."
"Int 0560-2014",,"Introduction","Committee",,"A Local Law to amend the New York city charter, in relation to clarifying that independent expenditures are not authorized by candidates."
"Int 0564-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to online submission of city business permits, licenses and applications."
"Int 0559-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to agreements between livery base stations."
"Res 0477-2014",,"Resolution","Committee",,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, A.8702/S.6716, which would create the Empire State Music Production Credit."
"Int 0558-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to an annual report on compliance with the Americans with disabilities act by the department of parks and recreation."
"Int 0556-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting for hire vehicles from charging excessive rates."
"Int 0557-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the city to repair damage to sidewalks caused by trees owned by the city."
"Int 0553-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to requiring bilingual after-school programs."
"Res 0475-2014",,"Resolution","Committee",,"Resolution declaring the last day in February as Rare Disease Day in New York City."
"Res 0473-2014",,"Resolution","Committee",,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, A.2342/S.6900, to create a property tax abatement for homeowners and a water and sewer charge abatement for not-for-profit entities that install a sewer line check valve."
"Int 0552-2014",,"Introduction","Committee",,"A Local Law to amend the New York city charter, in relation to collecting and reporting data related to sexual orientation and gender identity."
"Int 0554-2014",,"Introduction","Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to training for certain employees of the city of New York on runaway and homeless youth and sexually exploited children."
"Res 0474-2014",,"Resolution","Committee",,"Resolution calling upon the Legislature to pass, and for the Governor to sign, legislation that would create parity among the different pension tiers for employees of the uniformed services."
"Res 0472-2014",,"Resolution","Committee",,"Resolution calling on the state and federal governments to amend their official forms and databases to accommodate multiracial identification in all instances where racial identification is required."
"Int 0551-2014",,"Introduction","Committee",,"A Local Law to amend the New York city charter, in relation to requiring city agencies to amend their official forms and databases to accommodate multiracial identification where racial identification is required."
"Int 0555-2014",,"Introduction","Laid Over in Committee",,"A Local Law to amend the administrative code of the city of New York, in relation to the senior citizen rent increase exemption."
"LU 0152-2014",,"Land Use Application","Adopted","2014-12-08T00:00:00.000","Application No. C 140411 HAK, submitted by the Department of Housing Preservation and Development, pursuant to Article 16 of the General Municipal Law and Section 197-c of the Charter, for an Urban Development Action Area Project located at 695 Grand Street (Block 2782, Lot 36), and the disposition of such property to a developer to be selected by HPD, Borough of Brooklyn, Community Board 1, Council District 34."
"LU 0151-2014",,"Land Use Application","Adopted","2014-12-17T00:00:00.000","Application No. C 110122 ZMR, submitted by the Estate of Letizia Sollazzo pursuant to Sections 197-c and 201 of the Charter for the amendment of the Zoning Map, Section No. 20d, eliminating a C1-1 District from within an existing R3-2 District and establishing a C1-2 within an existing R3-2 District, in between Mariner’s Harbor and Elm Park areas, Borough of Staten Island, Community Board 1, Council District 49."
"T2014-2157",,"Oversight","Filed","2014-12-09T00:00:00.000","Oversight - NYC’s E-Waste Policy: How the City is Ramping Up its Efforts in Light of the 2015 Disposal Ban."
"T2014-2156",,"Oversight","Filed","2014-12-09T00:00:00.000","Oversight - Providing Support to New York City’s Caregivers."
