"community_advisory_board","last","first","representative_or_appointee","term_of_office","term_effective","term_expiring","voting"
"Woodhull Hospital Community Advisory Board","Burgos","Luz","Secretary, Executive Director","3 Years",,"2016-08-31T00:00:00.000","Voting"
"Woodhull Hospital Community Advisory Board","Lee","Yvonne","Member-at-large","3 Years",,"2016-08-31T00:00:00.000","Voting"
"Woodhull Hospital Community Advisory Board","Lebron","Irene","Executive Director","3 Years",,"2015-08-31T00:00:00.000","Voting"
"Woodhull Hospital Community Advisory Board","Fernandez","Victoria","Executive Director","3 Years",,"2016-08-31T00:00:00.000","Voting"
"Woodhull Hospital Community Advisory Board","Viera","Maria","2nd Vice Chairperson/Parliamentarian","3 years",,"2016-08-31T00:00:00.000",
"Woodhull Hospital Community Advisory Board","Brinkley","Carole","Executive Director",,,"2015-08-31T00:00:00.000",
"Woodhull Hospital Community Advisory Board","Roberts","James","Executive Director",,,"2015-08-31T00:00:00.000",
"Woodhull Hospital Community Advisory Board","Torres","Tommy","Executive Director",,,"2015-08-31T00:00:00.000",
"Woodhull Hospital Community Advisory Board","Wright","Dorothy","Executive Director","3 Years",,"2017-08-31T00:00:00.000",
"Woodhull Hospital Community Advisory Board","Herrera","Julissa","BP Appointee","3 Years",,"8/2016","Voting"
"Woodhull Hospital Community Advisory Board","Echevarria","Ricarte","BP Appointee","3 Years",,"8/2016","Voting"
"Woodhull Hospital Community Advisory Board","Perez","Richard","BP Appointee","3 Years",,"8/2016","Voting"
"Woodhull Hospital Community Advisory Board","Rodriguez","Benita","BP Appointee","3 Years",,"8/2016","Voting"
"Woodhull Hospital Community Advisory Board","Staton","Celeste","BP Appointee","3 Years",,"8/2015","Voting"
"Woodhull Hospital Community Advisory Board","Webster","Milton","BP Appointee","3 Years",,"8/2016","Voting"
"Woodhull Hospital Community Advisory Board","Schlesinger","Victor","BP Appointee","3 Years",,"8/2015","Voting"
"East New York Diagnostic and Treatment Community Advisory Board",,,,,,,
"East New York Diagnostic and Treatment Community Advisory Board","Ludwig","Jones","Executive Director",,,"8/2018",
"East New York Diagnostic and Treatment Community Advisory Board","Taylor","Olivia","Exceutive Director",,,"8/2018",
"East New York Diagnostic and Treatment Community Advisory Board","De Danzine","Vanessa V.","Executive Director",,,"8/2018",
"East New York Diagnostic and Treatment Community Advisory Board","Jones","Trina","Appointee","3 Years","2018-09-04T00:00:00.000","2021-09-01T00:00:00.000","Yes"
"East New York Diagnostic and Treatment Community Advisory Board","Wright","Lennington E.","Appointee","3 Years","2018-09-04T00:00:00.000","2021-09-01T00:00:00.000","Yes"
"East New York Diagnostic and Treatment Community Advisory Board","Muhammad","Bro. Paul","Executive Director",,,"8/2018",
"East New York Diagnostic and Treatment Community Advisory Board","Taylor","Lillie","Executive Director",,,"8/2018",
"East New York Diagnostic and Treatment Community Advisory Board","Der Taulian","Zaum","Executive Director",,,"8/2018",
"East New York Diagnostic and Treatment Community Advisory Board","Wright","Lenny","Executive Director",,,"8/2018",
"East New York Diagnostic and Treatment Community Advisory Board","Hughes","Kenyatta","Executive Director",,,"8/2018",
