"queens_cooperatives_comparable_properties_boro_block_lot","queens_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","queens_cooperatives_comparable_properties_neighborhood","queens_cooperatives_comparable_properties_building_classification","queens_cooperatives_comparable_properties_total_units","queens_cooperatives_comparable_properties_year_built","queens_cooperatives_comparable_properties_gross_sqft","queens_cooperatives_comparable_properties_est_gross_income","queens_cooperatives_comparable_properties_gross_income_per_sqft","queens_cooperatives_comparable_properties_full_market_value","queens_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"4-05311-0001","190 05 39 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11358","40.761755","-73.79161","11","19","1139","4454864","4053110001","Auburndale                                                                 ","FLUSHING-NORTH","C6-WALK-UP","20","1952","26933","377000","14","1170000","43.4","4-06595-0010","137 02 JEWEL AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","24","1949","20920","294887","14.1","918000","43.9","2.95","4-06595-0032","139 06 JEWEL AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","24","1949","20920","294887","14.1","918000","43.9","2.95"
"4-04374-0035","31 50 140 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11354","40.769992","-73.82864","7","20","88901","4433327","4043740035","Flushing                                                                   ","FLUSHING-NORTH","D4-ELEVATOR","136","1957","176611","2160000","12.23","6070000","34.4","4-04995-0001","34 15 PARSONS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","172","1956","191330","2287192","11.95","6430000","33.6","0.45","4-04995-0064","144 45 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","120","1957","129650","1618729","12.49","4550000","35.1","0.45"
"4-02100-0029","98 50 63 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11374","40.731331","-73.857565","6","29","71701","4431974","4021000029","Rego Park                                                                  ","REGO PARK","D4-ELEVATOR","144","1949","141920","1986880","14","6190000","43.6","4-02138-0011","103 26 68 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D7-ELEVATOR","105","1942","97200","1757567","18.08","6570000","68","0.6","4-02139-0026","68 64
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","112","1941","132960","2467803","18.56","9230000","69","0.65"
"4-06631-0001","141 24 78 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11367","40.719623","-73.819696","8","24","77903","4451275","4066310001","Kew Gardens Hills                                                          ","FLUSHING-SOUTH","C6-WALK-UP","181","1940","151869","1924180","12.67","5990000","39.4","4-05210-0007","46 06 BOWNE STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","C1-WALK-UP","20","1931","15750","235305","14.94","796000","51","2.2","4-05307-0006","189 15 37 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","C1-WALK-UP","18","1932","19160","234390","12.23","659000","34.4","3.3"
"4-01472-0065","37 23 84 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"JACKSON HEIGHTS","C6-WALK-UP","18","1921","17240","234464","13.6","730000","42.3","4-01743-0047","35 15 102 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","CORONA","C1-WALK-UP","20","1926","15752","209276","13.29","652000","41.4","0.95","4-01532-0016","45 26 80 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","C1-WALK-UP","16","1933","14952","216520","14.48","732000","49","0.6"
"4-16227-0037","117 12
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"ROCKAWAY PARK","D4-ELEVATOR","79","1963","81900","1244000","15.19","4200000","51","4-10681-0056","212 29 HILLSIDE AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","QUEENS VILLAGE","D1-ELEVATOR","180","1963","144995","2262821","15.61","7650000","53","11.1","4-10821-0018","91 35 193 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","HOLLIS","D1-ELEVATOR","81","1959","72791","988045","13.57","3080000","42.3","10"
"4-01560-0006","44 10 KETCHAM STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11373","40.742941","-73.879467","4","25","469","4039013","4015600006","Elmhurst                                                                   ","ELMHURST","D4-ELEVATOR","65","1940","71196","825873","11.6","2320000","32.6","4-01566-0001","42 07 WHITNEY AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D1-ELEVATOR","74","1959","69000","888105","12.87","2770000","40.1","0.35","4-01567-0040","92 01 LAMONT AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D1-ELEVATOR","98","1962","82700","1078841","13.05","3360000","40.6","0.3"
"4-09755-0050","155 01 90 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11432","40.704594","-73.802104","12","24","240","4208834","4097550050","Jamaica                                                                    ","JAMAICA","D4-ELEVATOR","114","1941","119900","1460000","12.18","4100000","34.2","4-09710-0037","139 60 85 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","130","1951","114000","1601610","14.05","4990000","43.8","0.7","4-09715-0146","141 30 PERSHING CRESCENT
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","108","1949","109500","1450635","13.25","4520000","41.3","0.9"
"4-00579-0042","31 23 CRESCENT STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11106","40.76506","-73.926801","1","22","75","4007112","4005790042","Astoria                                                                    ","ASTORIA","D4-ELEVATOR","26","1971","16800","238224","14.18","742000","44.2","4-00578-0013","30 91 CRESCENT STREET
Queens, NY 
(40.749436300045, -73.797299799846)","ASTORIA","D1-ELEVATOR","72","1956","73600","998555","13.57","3110000","42.3","0.15","4-00576-0036","27 10 30 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","ASTORIA","D1-ELEVATOR","66","1963","50850","810693","15.94","2740000","54","0.3"
"4-01227-0001","39 76 57 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"WOODSIDE","D4-ELEVATOR","60","1963","41808","526780","12.6","1480000","35.4","4-01567-0040","92 01 LAMONT AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","ELMHURST","D1-ELEVATOR","98","1962","82700","1078841","13.05","3360000","40.6","1.7","4-09236-0033","120 07 85 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","KEW GARDENS","D1-ELEVATOR","57","1962","46692","580000","12.42","1630000","34.9","5"
"4-00178-0025","48 10 43 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"SUNNYSIDE","D4-ELEVATOR","262","1937","235000","3207750","13.65","9990000","42.5","4-00186-0001","41 43 39 PLACE
Queens, NY 
(40.749436300045, -73.797299799846)","SUNNYSIDE","D1-ELEVATOR","84","1939","84000","1186373","14.12","3690000","43.9","0.55","4-00189-0019","43 09 40 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","SUNNYSIDE","D1-ELEVATOR","77","1932","66714","1084929","16.26","3670000","55","0.4"
"4-11446-0050","84 40 153 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11414","40.66638","-73.849957","10","32","6201","4434873","4114460050","Lindenwood-Howard Beach                                                    ","HOWARD BEACH","D4-ELEVATOR","172","1964","158600","1925000","12.14","5410000","34.1","4-10499-0075","190 05 HILLSIDE AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","HOLLISWOOD","D1-ELEVATOR","110","1960","100116","1280000","12.79","3990000","39.9","5.3","4-12311-0030","155 15 NORTH CONDUIT AVEN
Queens, NY 
(40.749436300045, -73.797299799846)","SPRINGFIELD GARDENS","D1-ELEVATOR","160","1969","106946","1893333","17.7","7080000","66","3.65"
"4-06632-0001","141 48 78 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11367","40.719005","-73.81915","8","24","77903","4451295","4066320001","Kew Gardens Hills                                                          ","FLUSHING-SOUTH","C6-WALK-UP","180","1940","151869","1875915","12.35","5270000","34.7","4-05307-0006","189 15 37 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","C1-WALK-UP","18","1932","19160","234390","12.23","659000","34.4","3.35","4-05385-0003","42 45 155 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","C1-WALK-UP","16","1926","12920","160890","12.45","452000","35","2.9"
"4-03275-0083","72 14 BURNS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.718325","-73.842416","6","29","737","4078346","4032750083","Forest Hills                                                               ","FOREST HILLS","D4-ELEVATOR","44","1930","53400","891800","16.7","3020000","57","4-03258-0023","72 25 AUSTIN STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D7-ELEVATOR","50","1920","48000","801480","16.7","2710000","56","0.1","4-03175-0001","104 20 QUEENS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D3-ELEVATOR","1327","1960","1741458","31096281","17.86","116000000","67","0.55"
"4-09837-0044","87 15 165 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11432","40.710217","-73.798415","8","24","454","4210437","4098370044","Briarwood-Jamaica Hills                                                    ","JAMAICA","D4-ELEVATOR","86","1958","54991","724000","13.17","2250000","40.9","4-09660-0135","82 08 135 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","72","1952","53600","960000","17.91","3590000","67","1.35","4-09666-0052","135 09 82 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","96","1952","73524","1168687","15.9","3950000","54","1.2"
"4-03169-0031","99 44 67 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.724481","-73.854055","6","29","71305","4075095","4031690031","Forest Hills                                                               ","REGO PARK","D4-ELEVATOR","56","1961","49300","737000","14.95","2490000","51","4-03117-0017","89 10 63 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","36","1957","23100","344846","14.93","1170000","51","0.6","4-03105-0028","61 61 WOODHAVEN BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","101","1960","73770","1081693","14.66","3660000","49.6","0.9"
"4-03337-0060","82 40 AUSTIN STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11415","40.710096","-73.830493","9","29","775","4079715","4033370060","Kew Gardens                                                                ","KEW GARDENS","D4-ELEVATOR","63","1953","55146","788600","14.3","2670000","48.4","4-03171-0001","101 01 BOOTH STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","62","1954","61242","876046","14.3","2960000","48.3","1.55","4-03321-0018","83 10 118 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","KEW GARDENS","D1-ELEVATOR","79","1954","74118","1067498","14.4","3320000","44.8","0.35"
"4-01946-0001","99 06 58 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11368","40.737783","-73.859463","4","21","43702","4431751","4019460001","Corona                                                                     ","CORONA","D4-ELEVATOR","225","1962","235440","3296160","14","10300000","43.7","4-01918-0045","96 04 57 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","CORONA","D6-ELEVATOR","220","1962","254600","3129924","12.29","8800000","34.6","0.2","4-01909-0001","55 15 99 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","CORONA","D1-ELEVATOR","138","1961","156048","2958457","18.96","6270000","40.2","0.1"
"4-03205-0004","68 12 BURNS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.721263","-73.851453","6","29","711","4076629","4032050004","Forest Hills                                                               ","FOREST HILLS","D4-ELEVATOR","24","1920","24408","398000","16.31","1350000","55","4-03205-0024","68 50 BURNS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","20","1931","24408","396813","16.26","1340000","55","0","4-03234-0051","68 09 BURNS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","228","1929","174480","3404125","19.51","12700000","73","0.1"
"4-09714-0138","141 30 84 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11435","40.712666","-73.816656","8","24","22002","4207806","4097140138","Briarwood-Jamaica Hills                                                    ","BRIARWOOD","D4-ELEVATOR","59","1957","46942","570000","12.14","1600000","34.1","4-09710-0094","139 21 86 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","60","1959","38394","648468","16.89","2420000","63","0.25","4-09712-0151","141 40 84 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","72","1952","55722","849192","15.24","2870000","52","0.2"
"4-00196-0027","41 12 47 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11104","40.741623","-73.923221","2","26","18502","4002641","4001960027","Hunters Point-Sunnyside-West Maspeth                                       ","SUNNYSIDE","D4-ELEVATOR","48","1937","42232","576466","13.65","1790000","42.4","4-00195-0044","45 36 39 PLACE
Queens, NY 
(40.749436300045, -73.797299799846)","SUNNYSIDE","D1-ELEVATOR","70","1931","51108","670536","13.12","2090000","40.9","0.2","4-00196-0022","47 07 41 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","SUNNYSIDE","D1-ELEVATOR","59","1937","63492","955960","15.06","3230000","51","0"
"4-01276-0019","35 28 77 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"JACKSON HEIGHTS","C6-WALK-UP","11","1921","13289","146179","11","379000","28.5","4-01286-0027","37 17 75 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","C1-WALK-UP","27","1923","17080","228587","13.38","712000","41.7","0.15","4-01290-0061","37 27 79 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","C1-WALK-UP","23","1927","32200","341672","10.61","886000","27.5","0.2"
"4-07670-0002","223 02 65 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11364","40.746751","-73.753651","11","23","1377","4440495","4076700002","Oakland Gardens                                                            ","OAKLAND GARDENS","C6-WALK-UP","188","1949","147700","1972000","13.35","6140000","41.6","4-07452-0033","201 01
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","C9-WALK-UP","14","1948","12785","170648","13.35","531000","41.5","1.15","4-07453-0033","202 01
Queens, NY 
(40.827777078143, -72.939210978884)","BAYSIDE","C9-WALK-UP","14","1948","12785","170648","13.35","531000","41.5","1.15"
"4-09209-0049","83 84 116 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11418","40.704156","-73.835687","9","29","134","4192308","4092090049","Kew Gardens                                                                ","KEW GARDENS","D4-ELEVATOR","58","1930","66600","755000","11.34","1960000","29.4","4-09677-0167","147 28 90 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","JAMAICA","D1-ELEVATOR","54","1928","61000","733000","12.02","2060000","33.8","1.5","4-10461-0057","88 73 193 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","HOLLIS","D1-ELEVATOR","62","1939","53200","578000","10.86","1500000","28.2","3.7"
"4-05291-0040","35 05 167 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11358","40.764668","-73.798669","7","19","1175","4119656","4052910040","Murray Hill                                                                ","FLUSHING-NORTH","C6-WALK-UP","18","1932","18654","263000","14.1","819000","43.9","4-05423-0028","43 23 165 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","C1-WALK-UP","16","1927","13281","187423","14.11","584000","44","0.5","4-05385-0011","42 33 155 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","C1-WALK-UP","17","1926","12920","184460","14.28","624000","48.3","0.65"
"4-03179-0020","68 20 SELFRIDGE STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.713233","-73.856687","6","29","707","4075327","4031790020","Forest Hills                                                               ","FOREST HILLS","D4-ELEVATOR","89","1966","74243","1040000","14.01","3240000","43.6","4-03148-0035","85 25 68 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","51","1969","36246","507240","13.99","1580000","43.6","0.25","4-03097-0038","64 85 WETHEROLE STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","56","1952","50400","708197","14.05","2210000","43.8","1"
"4-16131-0001","1 50 BEACH 84 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11693","40.59231","-73.809872","14","31","94202","4454142","4161100044","Hammels-Arverne-Edgemere                                                   ","HAMMELS","D4-ELEVATOR","687","1964","830280","12200000","14.69","25900000","31.2","4-15780-0100","20 28 SEAGIRT BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","FAR ROCKAWAY","D7-ELEVATOR","260","1952","220201","3174794","14.42","10700000","48.6","3","4-15815-0220","20 55 SEAGIRT BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","FAR ROCKAWAY","D1-ELEVATOR","402","1952","322584","4500530","13.95","14000000","43.4","2.95"
"4-05185-0054","140 65 BEECH AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11355","40.754665","-73.822969","7","20","859","4117143","4051850054","Flushing                                                                   ","FLUSHING-NORTH","D4-ELEVATOR","101","1959","81923","1134650","13.85","3530000","43.1","4-05145-0024","44 15 COLDEN STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","138","1963","119818","1657994","13.84","5160000","43.1","0.25","4-05145-0001","44 35 COLDEN STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","71","1962","60338","868814","14.4","2940000","48.7","0.25"
"4-02134-0050","102 25 67 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.727008","-73.851538","6","29","71303","4432049","4021340050","Forest Hills                                                               ","FOREST HILLS","D4-ELEVATOR","144","1952","127416","1815678","14.25","6140000","48.2","4-02113-0034","99 60 64 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","132","1952","119985","1583151","13.19","4450000","37.1","0.3","4-02121-0051","102 45 62 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","122","1956","103400","1515611","14.66","5120000","49.5","0.6"
"4-10212-0033","92 33 170 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11433","40.706193","-73.789136","12","27","444","4457492","4102120033","Jamaica                                                                    ","JAMAICA","D4-ELEVATOR","216","1972","142583","1910000","13.4","4050000","28.4","4-12311-0030","155 15 NORTH CONDUIT AVEN
Queens, NY 
(40.749436300045, -73.797299799846)","SPRINGFIELD GARDENS","D1-ELEVATOR","160","1969","106946","1893333","17.7","7080000","66","2.7","4-10681-0056","212 29 HILLSIDE AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","QUEENS VILLAGE","D1-ELEVATOR","180","1963","144995","2262821","15.61","7650000","53","2.25"
