"objectid","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","location","number","street","on_street","to_street","from_street","borough","type","partner","xcoordin","ycoordin","femafldz","femafldt","hrcevac","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"16","3","Brooklyn","301","34","53","18","12","Leonard","81","Devoe Street","Devoe St","Lorimer St","Leonard St","Brooklyn","Sidewalk Seating","Brooklyn Public Library","998689","199212","X","AREA OF MINIMAL FLOOD HAZARD",,"40.713456","-73.947916","1","34","503","3068818","3027620021","East Williamsburg"
"17","3","Brooklyn","303","36","56","25","8","Macon1Library","361","Lewis Avenue","Lewis Ave","Macon St","Halsey St","Brooklyn","Sidewalk Seating","Brooklyn Public Library","1002257","188177","X","AREA OF MINIMAL FLOOD HAZARD",,"40.683161","-73.935075","3","36","295","3046408","3016650001","Stuyvesant Heights"
"18","3","Brooklyn","312","44","48","17","10","Mapleton Library","1702","60th Street","60th St","17th Ave","18th Ave","Brooklyn","Sidewalk Seating","Brooklyn Public Library","987268","166304","X","AREA OF MINIMAL FLOOD HAZARD",,"40.623142","-73.989128","12","44","244","3132091","3055180004","Borough Park"
"19","3","Brooklyn","303","36","56","25","8","Marcy Branch Library","617","DeKalb Avenue","DeKalb Ave","Nostrand Ave","Marcy Ave","Brooklyn","Sidewalk Seating","Brooklyn Public Library","997829","191184","X","AREA OF MINIMAL FLOOD HAZARD",,"40.691423","-73.951034","3","36","253","3049472","3017740081","Bedford"
"20","3","Brooklyn","305","42","60","19","8","New Lots Branch Library","665","New Lots Avenue","New Lots Ave","Schenck Ave","Barbey St","Brooklyn","Sidewalk Seating","Brooklyn Public Library","1015935","181594","X","AREA OF MINIMAL FLOOD HAZARD","4","40.665054","-73.885789","5","42","1124","3090726","3040900001","East New York"
"21","3","Brooklyn","315","48","45","23","9","Sheepshead Bay Branch Library?","2636","E 14th St","E. 14th St","Shore Pkwy","Avenue Z","Brooklyn","Sidewalk Seating","Brooklyn Public Library","996725","153083","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1","40.586845","-73.955086","15","48","606","3204896","3074580020","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"22","3","Brooklyn","302","35","57","25","8","Walt Whitman Branch Library","93","Saint Edwards Street","Saint Edwards St","Auburn Pl","Park Ave","Brooklyn","Curbside","Brooklyn Public Library","990352","192303","X","AREA OF MINIMAL FLOOD HAZARD","5","40.694502","-73.977995","2","35","2901","3058036","3020390001","Fort Greene"
"23","3","Brooklyn","302","33","52","25","8","Lawrence Street","158","Lawrence Street","Lawrence Street","Fulton St","Willoughby St","Brooklyn","Curbside","Downtown Brooklyn Partnership","988047","191290","X","AREA OF MINIMAL FLOOD HAZARD",,"40.691723","-73.986308","2","33","11","3000376","3001510001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"24","3","Brooklyn","302","33","52","25","8","Dekalb Market","445","Albee Square West","Albee Square West","Fulton St","Willoughby St","Brooklyn","Curbside","Downtown Brooklyn Partnership","988839","190966","X","AREA OF MINIMAL FLOOD HAZARD",,"40.690833","-73.983452","2","33","15","3397861","3001497501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"25","3","Brooklyn","304","34","54","18","7","DeKalb Library","790","Bushwick Ave","Bushwick Ave.","Dekalb Ave","Kosciusko St","Brooklyn","Sidewalk Seating","Brooklyn Public Library","1004174","192507","X","AREA OF MINIMAL FLOOD HAZARD",,"40.695042","-73.92815","4","34","393","3073751","3032410018","Bushwick South"
"26","3","Brooklyn","309","35","43","20","9","Eastern Parkway Library","1044","Eastern Parkway","Eastern Parkway","Schenectady Ave","Utica Ave","Brooklyn","Sidewalk Seating","Brooklyn Public Library","1002718","182988","X","AREA OF MINIMAL FLOOD HAZARD",,"40.668918","-73.933427","9","35","351","3037543","3013960006","Crown Heights North"
"27","3","Brooklyn","315","47","45","22","11","Gravesend Branch Library","303","Avenue X","Ave. X","Stryker St","W. 1st St","Brooklyn","Sidewalk Seating","Brooklyn Public Library","992112","154374","X","AREA OF MINIMAL FLOOD HAZARD","3","40.590394","-73.971693","15","47","386","3194486","3071740096","Gravesend"
"28","3","Brooklyn","315","48","41","19","9","Kings Bay Branch Library","3650","Nostrand Ave","Nostrand Ave","Avenue X","Avenue W","Brooklyn","Sidewalk Seating","Brooklyn Public Library","1000678","156046","X","AREA OF MINIMAL FLOOD HAZARD","3","40.594972","-73.940846","15","48","59402","3202630","3074050920","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"29","3","Brooklyn","315","47","45","22","11","Kings Highway Branch Library","2115","Ocean Pkwy","Ocean Ave","Kings Hwy","Wuentin Rd","Brooklyn","Sidewalk Seating","Brooklyn Public Library","993867","156892","X","AREA OF MINIMAL FLOOD HAZARD","3","40.597304","-73.96537","15","47","392","3193079","3071330062","Homecrest"
"30","3","Brooklyn","310","43","49","22","11","McKinley Park Branch Library","6802","Ft Hamilton Pkwy","Fort Hamilton Parkway","68th St","Bay Ridge Ave","Brooklyn","Sidewalk Seating","Brooklyn Public Library","981043","168471","X","AREA OF MINIMAL FLOOD HAZARD",,"40.62909","-74.011554","10","43","12801","3143032","3057710012","Dyker Heights"
"31","3","Brooklyn","318","46","59","21","8","Paerdegat Branch Library","850","E 59th St","E. 59th","Paerdegat Ave S","Flatlands Ave","Brooklyn","Sidewalk Seating","Brooklyn Public Library","1006546","169740","X","AREA OF MINIMAL FLOOD HAZARD","3","40.632546","-73.919672","18","46","722","3214944","3077620053","Flatlands"
"32","3","Brooklyn","316","41","55","19","9","Stone Avenue Library","581","Mother Gaston Blvd","Mother Gaston Blvd","Dumont Ave","Livonia Ave","Brooklyn","Sidewalk Seating","Brooklyn Public Library","1010458","181397","X","AREA OF MINIMAL FLOOD HAZARD",,"40.664531","-73.905532","16","41","910","3084596","3037940018","Brownsville"
"33","3","Brooklyn","307","39","44","21","9","Windsor Terrace Library","160","E 5th St","E. 5th Street","Ft. Hamilton Pkwy","Caton Ave","Brooklyn","Sidewalk Seating","Brooklyn Public Library","990751","175705","X","AREA OF MINIMAL FLOOD HAZARD",,"40.648944","-73.976572","7","39","500","3124000","3053180010","Windsor Terrace"
"34","3","Brooklyn","302","33","52","25","8","Temple Square","378","Schermerhorn St","Schermerhorn St.","Lafayette Ave","Flatbush Ave","Brooklyn","Curbside + Sidewalk Seating","Downtown Brooklyn Partnership","989986","189341","X","AREA OF MINIMAL FLOOD HAZARD",,"40.686373","-73.979318","2","33","39","3000000","3001740013","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"35","2","Bronx","207","11","80","36","13","Jerome Ave","3494","Jerome Ave","Jerome Ave","East Gun Hill Road","E. 208th St","Bronx","Curbside","Jerome Gun Hill BID","1016981","260767","X","AREA OF MINIMAL FLOOD HAZARD",,"40.882359","-73.881633","7","11","421","2017774","2033270109","Norwood"
"36","1","Manhattan","104","3","66","27","10","Chelsea Market","75","Ninth Ave","W. 16th","Ninth Ave","Tenth Ave","Manhattan","Curbside","Jamestown Management","982944","209562","X","AREA OF MINIMAL FLOOD HAZARD","3","40.741876","-74.004713","4","3","83","1012541","1007130001","Hudson Yards-Chelsea-Flatiron-Union Square"
"37","1","Manhattan","103","1","65","26","12","Essex Market","220","Broome Street","Broome Street","Essex St","Norfolk","Manhattan","Curbside","Lower East Side Partnership","987491","200699","X","AREA OF MINIMAL FLOOD HAZARD",,"40.717549","-73.988308","3","1","18","1090554","1003527501","Chinatown"
"38","1","Manhattan","102","3","66","27","10","King Street","375","Hudson Street","King Street","Hudson St","Greenwich St","Manhattan","Curbside","Hines","982268","204665","X","AREA OF MINIMAL FLOOD HAZARD","3","40.728435","-74.007151","2","3","37","1010379","1005990064","SoHo-TriBeCa-Civic Center-Little Italy"
