"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","IS 8 - R. S. Grossley Junior High School","Jamaica","SQPA-NY Southern Queens Park Association NY","(718) 276-4630","16+","108 35 167th Street
Jamaica, NEW YORK 11432
(40.71311535449, -73.792820999789)","4","11433","40.69719","-73.787192","412","27","258","4216655","4101780001","South Jamaica                                                              "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","IS 126 - Astoria Intermediate School","Astoria","Jacob A Riis Neighborhood Settlement House","(718) 784-7447 x 112","16+","31 51 21st Street
Astoria, NEW YORK 11106
(40.761699790013, -73.931663252957)","4","11106","40.766264","-73.930709","401","22","77","4006382","4005530001","Astoria                                                                    "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Latin American Integration Center","Staten Island","Make the Road New York","(718) 418-7690 x 211","16+","479 Port Richmond Avenue Staten Island
NEW YORK,  10302
(40.630934529097, -74.139014649681)","5","10302","40.630818","-74.139187","501","49","213","5024824","5010490005","Port Richmond                                                              "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","The Arab American Family Support Center","Brooklyn","The Arab American Family Support Center","(718) 643-8000 x 19","16+","150 Court Street
Brooklyn, NEW YORK 11201
(40.68880789426, -73.992831836639)","3","11201","40.688806","-73.992806","306","39","45","3003069","3002920026","Carroll Gardens-Columbia Street-Red Hook                                   "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Queens Community House","Jackson Heights","Queens Community House","(718) 898-7461","16+","74 09 37 Avenue Jackson Heights
NEW YORK,  11372
(40.751630739367, -73.883612545283)","4","11372","40.748992","-73.891561","403","25","289","4029563","4012740035","Jackson Heights                                                            "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","IS 204 - Oliver W. Holmes School","Long Island City","HANAC, INC.","(212) 996-3949 x 12","16+","36 41 28 Street
Long Island City, NEW YORK 11106
(40.761699790013, -73.931663252957)","4","11106","40.757065","-73.932664","401","26","51","4004156","4003430001","Queensbridge-Ravenswood-Long Island City                                   "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","(718) 891-0264","16+","3300 Coney Island Avenue
Brooklyn, NEW YORK 11235
(40.575793969704, -73.959507450797)","3","11235","40.575607","-73.959463","313","48","36002","3326880","3086930001","Brighton Beach                                                             "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Catholic Charities Neighborhood Services","Long Island City","Catholic Charities Neighborhood Services","(718) 726-9790 x 128","16+","25 63 22nd Street
Long Island City, NEW YORK 11106
(40.761699790013, -73.931663252957)","4","11102","40.772689","-73.924579","401","22","69","4430191","4008840012","Old Astoria                                                                "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","CAMBA","Brooklyn","CAMBA","(718) 940-1737 x 424","16+","885 Flatbush Avenue
Brooklyn, NEW YORK 11226
(40.6503755945, -73.958664777259)","3","11226","40.650229","-73.958658","314","40","794","3117223","3051030028","Erasmus                                                                    "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Catholic Charities Neighborhood Services","Astoria","Catholic Charities Neighborhood Services","(718) 726-9790 x 128","16+","9 18 27th Avenue
Astoria, NEW YORK 11102
(40.771524024514, -73.926435450735)","4","11102","40.77381","-73.930535","401","22","83","4005573","4005100006","Old Astoria                                                                "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Catholic Charities Neighborhood Services","Corona","Catholic Charities Neighborhood Services","(718) 726-9790 x 128","16+","35 33 104th Street
Corona, NEW YORK 11368
(40.749678220374, -73.853040688577)","4","11368","40.75468","-73.864138","403","21","379","4437217","4017460027","North Corona                                                               "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","SoBRO","Bronx","SoBRO","(718) 292-3113 x 7611","16+","555 Bergen Avenue
Bronx, NEW YORK 10455
(40.815944415254, -73.916415911483)","2","10455","40.815959","-73.916354","201","17","71","2097027","2022940002","Melrose South-Mott Haven North                                             "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Davidson Community Center","Bronx","Citizens Advice Bureau","(718) 508-3132","16+","2038 Davidson Avenue
Bronx, NEW YORK 10453
(40.853748378517, -73.908539967339)","2","10453","40.853537","-73.908741","205","14","243","2008399","2028630028","University Heights-Morris Heights                                          "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Union Settlement Association","Manhattan","Union Settlement Association","(212) 828-6298","16+","237 104th Street
Manhattan, NEW YORK 10029
(40.789924588094, -73.944769131203)","1",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","387 Kingston Avenue
Brooklyn, NEW YORK 11225
(40.665762628592, -73.942503354999)","3","11225","40.665708","-73.942532","309","35","333","3034315","3013000010","Crown Heights South                                                        "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","4608 13th Avenue
Brooklyn, NEW YORK 11219
(40.636670213094, -73.990459280846)","3","11219","40.636595","-73.990502","312","44","222","3328605","3056220038","Borough Park                                                               "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Latin American Integration Center","Woodside","Make the Road New York","(718) 418-7690 x 211","16+","46 09 Skillman Avenue
Woodside, NEW YORK 11377
(40.745193764481, -73.90484714408)","4","11104","40.746551","-73.91782","402","26","169",,,"Hunters Point-Sunnyside-West Maspeth                                       "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Chinese American Planning Council","Brooklyn","Chinese American Planning Council","(212) 941-0041 x 302","16+","4101 8th Avenue
Brooklyn, NEW YORK 11232
(40.646131503325, -73.998442705929)","3","11232","40.64607","-73.998544","312","38","92","3018218","3009230009","Sunset Park East                                                           "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","283 Prospect Avenue
Brooklyn, NEW YORK 11215
(40.663275576211, -73.989051867805)","3","11215","40.663323","-73.989165","307","39","141","3337801","3010530073","Park Slope-Gowanus                                                         "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","African Services Committee, Inc.","New York","African Services Committee, Inc.","(212) 222-3882","16+","429 127 Street
New York, NEW YORK 10027
(40.813196742697, -73.95433261286)","1",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Inwood Community Services, Inc.","New York","Inwood Community Services, Inc.","(212) 942-0043 x 126","16+","651 Academy Street
New York, NEW YORK 10034
(40.866018005307, -73.924772644837)","1","10034","40.866001","-73.924777","112","10","291","1081917","1022340001","Marble Hill-Inwood                                                         "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Opportunities for a Better Tomorrow","Brooklyn","Opportunities for a Better Tomorrow","(718) 369-0303","16+","25 Thornton Street
Brooklyn, NEW YORK 11206
(40.700912589288, -73.943900574878)","3","11206","40.701018","-73.943699","301","33","507","3061498","3022750021","Bedford                                                                    "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","3049 Brighton 6th Street
Brooklyn, NEW YORK 11235
(40.578431288323, -73.961743706863)","3","11235","40.578435","-73.961751","313","48","362","3397165","3086767501","Brighton Beach                                                             "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","PS 225 - Eileen E Zaglin School","Brooklyn","Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.","(718) 891-0264","16+","1075 Oceanview Avenue
Brooklyn, NEW YORK 11235
(40.579791094425, -73.956433505479)","3","11235","40.579737","-73.956329","313","48","61004","3245498","3087120056","Brighton Beach                                                             "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Brooklyn Chinese-American Association","Brooklyn","Brooklyn Chinese-American Association","(718) 438-0008","16+","5006 8th Avenue
Brooklyn, NEW YORK 11220
(40.641074069955, -74.003795118627)","3","11220","40.641014","-74.003834","307","38","108","3013419","3007940041","Sunset Park East                                                           "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Lutheran Family Health Centers Adult & Family Education","Brooklyn","Lutheran Family Health Centers Adult & Family Education","(718) 630-7150 x 4070","16+","6025 6th Avenue
Brooklyn, NEW YORK 11220
(40.637992703156, -74.014094988895)","3","11220","40.637961","-74.014149","307","38","118","3143523","3057840001","Sunset Park East                                                           "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","2600 Ocean Avenue
Brooklyn, NEW YORK 11229
(40.598089925354, -73.951269838066)","3","11229","40.598158","-73.951186","315","48","578","3199766","3073520032","Madison                                                                    "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","1081 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.631085769962, -73.966320469543)","3","11230","40.631068","-73.966441","314","45","528","3178916","3066860076","Flatbush                                                                   "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","The Jewish Community Center of Staten Island","Staten Island","The Jewish Community Center of Staten Island","(718) 508-3881","16+","285 Vanderbilt Avenue Staten Island
NEW YORK,  10304
(40.618099835029, -74.080725068218)","5","10304","40.618105","-74.08066","501","49","29","5014183","5005560019","Stapleton-Rosebank                                                         "
