"bronx_cooperatives_comparable_properties_boro_block_lot","bronx_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","bronx_cooperatives_comparable_properties_neighborhood","bronx_cooperatives_comparable_properties_building_classification","bronx_cooperatives_comparable_properties_total_units","bronx_cooperatives_comparable_properties_year_built","bronx_cooperatives_comparable_properties_gross_sqft","bronx_cooperatives_comparable_properties_estimated_gross_income","bronx_cooperatives_comparable_properties_gross_income_per_sqft","bronx_cooperatives_comparable_properties_estimated_expense","bronx_cooperatives_comparable_properties_expense_per_sqft","bronx_cooperatives_comparable_properties_net_operating_income","bronx_cooperatives_comparable_properties_full_market_value","bronx_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"2-04291-0014","2105 WALLACE AVENUE
Bronx, NY 
(40.853344856539, -73.864888411996)","2","10462","40.853354","-73.864858","11","13","22404","2048822","2042910014","Pelham Parkway                                                             ",,,,,"220000","2580600","11.73","1148400","5.22","1432200","9158000","41.63","2-04291-0024","2131 WALLACE AVENUE
Bronx, NY 
(40.854141610891, -73.864860937708)","PELHAM PARKWAY SOUTH","D7-ELEVATOR","187","1929","178126","2141075","12.02","1156038","6.49","985037","5181000","29.09","0","2-04292-0024","2132 WALLACE AVENUE
Bronx, NY 
(40.854201470271, -73.864786369012)","PELHAM PARKWAY SOUTH","D7-ELEVATOR","184","1929","175806","2117376","12.04","839386","4.77","1277990","5643000","32.1","0.05","2-04286-0022","2100 BRONX PARK EAST","PELHAM PARKWAY SOUTH","D1-ELEVATOR","157","1929","168,990","1,982,253","11.73","1,089,986","6.45","892,267","5,269,000","31.18","0.17"
"2-05726-0673","2750 JOHNSON AVENUE
Bronx, NY 
(40.879603218091, -73.912411560798)","2","10463","40.879943","-73.912213","8","11","295","2083312","2057260673","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"93060","1073912","11.54","479259","5.15","594653","3520000","37.83","2-05754-0090","225 232 STREET
Bronx, NY 
(40.88038240123, -73.904333150882)","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","96","1929","87510","1031120","11.78","466325","5.33","564795","2156000","24.64","0.38","2-05732-0924","2700 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","78","1955","108955","1229714","11.29","539876","4.96","689838","3432000","31.5","0.25",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03788-0021","1041 PUGSLEY AVENUE
Bronx, NY 
(40.827774511927, -73.856422614038)","2","10472","40.827716","-73.856386","9","18","4001","2025666","2037880021","Soundview-Bruckner                                                         ",,,,,"151155","1845603","12.21","1179009","7.8","666594","4232000","28","2-03138-0001","999 180 STREET
Bronx, NY 
(40.843235160415, -73.879194673825)","EAST TREMONT","D1-ELEVATOR","237","1974","276135","3521878","12.75","2141678","7.76","1380200","9228000","33.42","1.52","2-03129-0029","2131 VYSE AVENUE
Bronx, NY 
(40.844716333166, -73.879765134106)","EAST TREMONT","D1-ELEVATOR","20","1931","26700","302025","11.31","173297","6.49","128728","828000","31.01","1.67",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-02461-0045","940 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,,,"145728","1419391","9.74","922458","6.33","496933","2943000","20.2","2-02461-0090","1000 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","MELROSE/CONCOURSE","D8-ELEVATOR","103","1935","131600","1281457","9.74","832975","6.33","448482","2656000","20.18","0.08","2-02461-0001","910 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","MELROSE/CONCOURSE","D7-ELEVATOR","95","1937","129555","1199099","9.26","815410","6.29","383689","2282000","17.61","0.07","2-02455-0053","201 EAST 164 STREET","MELROSE/CONCOURSE","D7-ELEVATOR","133","1927","135,202","1,392,730","10.3","821,766","6.08","570,964","3,554,000","26.29","0.11"
"2-05800-0001","3616 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10463","40.887266","-73.911646","8","11","297","2091883","2058000001","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"207100","2329875","11.25","1232245","5.95","1097630","7069000","34.13","2-05795-0537","3555 NETHERLAND AVENUE
Bronx, NY 
(40.886372374526, -73.910726409353)","RIVERDALE","D1-ELEVATOR","55","1939","60792","714186","11.75","298924","4.92","415262","1969000","32.39","0.07","2-05780-0940","3900 GREYSTONE AVENUE
Bronx, NY 
(40.88950389842, -73.904451506606)","RIVERDALE","D1-ELEVATOR","127","1928","134703","1515163","11.25","801013","5.95","714150","4599000","34.14","0.37","2-05787-0154","3300 NETHERLAND AVENUE","RIVERDALE","D7-ELEVATOR","67","1941","81,880","791,275","9.66","508,865","6.21","282,410","1,674,000","20.44","0.19"
"2-02723-0028","906 SIMPSON STREET
Bronx, NY 
(40.820034697964, -73.893652413355)","2","10459","40.820123","-73.893605","2","17","89","2005761","2027230028","Hunts Point                                                                ",,,,,"34875","342124","9.81","199509","5.72","142615","844000","24.2","2-04833-0058","636 231 STREET
Bronx, NY 
(40.883224074985, -73.914535548986)","WILLIAMSBRIDGE","C1-WALK-UP","31","1929","32710","321008","9.81","194627","5.95","126381","748000","22.87","5.24","2-03301-0066","2821 BRIGGS AVENUE
Bronx, NY 
(40.868564581596, -73.88967303563)","BEDFORD PARK/NORWOOD","C1-WALK-UP","31","1916","30780","401679","13.05","216691","7.04","184988","1199000","38.95","3.35",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03083-0045","2167 CROTONA AVENUE
Bronx, NY 
(40.849700660634, -73.88726549386)","2","10457","40.849667","-73.887251","6","15","373","2012404","2030830045","East Tremont                                                               ",,,,,"21000","150097","7.15","92799","4.42","57298","340000","16.19","2-03111-0010","2125 SOUTHERN BOULEVARD
Bronx, NY 
(40.846768928149, -73.88384038006)","EAST TREMONT","C7-WALK-UP","41","1931","31190","312306","10.01","198350","6.36","113956","694000","22.25","0.28","2-03111-0065","2159 SOUTHERN BOULEVARD
Bronx, NY 
(40.847213945682, -73.883496108745)","EAST TREMONT","C1-WALK-UP","46","1924","46000","435533","9.47","297300","6.46","138233","821000","17.85","0.25","2-03114-0071","2359 SOUTHERN BOULEVARD","BELMONT","C1-WALK-UP","20","1931","19,030","178,933","9.4","121,214","6.37","57,719","343,000","18.02","0.34"
"2-02471-0036","1015 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,,,"75000","846000","11.28","448500","5.98","397500","1518000","20.24","2-02471-0024","1035 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","MELROSE/CONCOURSE","D7-ELEVATOR","52","1939","46623","525679","11.28","278617","5.98","247062","1474000","31.62","0","2-02477-0034","1005 WALTON AVENUE
Bronx, NY 
(40.830183959391, -73.922374771057)","MELROSE/CONCOURSE","D1-ELEVATOR","72","1926","70961","750180","10.57","502609","7.08","247571","1537000","21.66","0.05","2-02471-0011","1020 WALTON AVENUE","MELROSE/CONCOURSE","D1-ELEVATOR","61","1928","48,369","619,752","12.81","371,829","7.69","247,923","1,656,000","34.24","0"
"2-02727-0039","1111 SOUTHERN BOULEVARD
Bronx, NY 
(40.825929563903, -73.891991861798)","2","10459","40.826341","-73.891926","2","17","12701","2005804","2027270039","Hunts Point                                                                ",,,,,"21917","187610","8.56","87668","4","99942","433000","19.76","2-02699-0048","993 INTERVALE AVENUE
Bronx, NY 
(40.822960584514, -73.896908557146)","MORRISANIA/LONGWOOD","C7-WALK-UP","25","1925","21995","188365","8.56","87947","4","100418","600000","27.28","0.32","2-02740-0004","889 HUNTS POINT AVENUE
Bronx, NY 
(40.819088370262, -73.889566131832)","HUNTS POINT","C7-WALK-UP","25","1925","22070","275877","12.5","143454","6.5","132423","888000","40.24","0.54",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-05716-0500","2500 JOHNSON AVENUE
Bronx, NY 
(40.877230807923, -73.917899032971)","2","10463","40.877162","-73.917861","8","11","29302","2083245","2057160500","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"466400","5974584","12.81","2322672","4.98","3651912","21780000","46.7","2-05703-0197","3045 GODWIN TERRACE
Bronx, NY 
(40.878720293559, -73.906325297435)","KINGSBRIDGE/JEROME PARK","D7-ELEVATOR","74","1940","68610","880115","12.83","368300","5.37","511815","3417000","49.8","0.77","2-05703-0192","3063 GODWIN TERRACE
Bronx, NY 
(40.879285259289, -73.905927434245)","KINGSBRIDGE/JEROME PARK","C7-WALK-UP","70","1925","64490","824827","12.79","445626","6.91","379201","2533000","39.28","0.77",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03293-0052","274 194 STREET
Bronx, NY 
(40.864814857741, -73.892478126009)","2",,,,,,,,,,,,,,"18500","211085","11.41","122470","6.62","88615","570000","30.81","2-03293-0050","260 194 STREET
Bronx, NY 
(40.864923345953, -73.892648255251)","FORDHAM","C1-WALK-UP","16","1913","16320","170218","10.43","98736","6.05","71482","444000","27.21","0","2-03293-0056","2605 BAINBRIDGE AVENUE
Bronx, NY 
(40.864211299205, -73.892396705983)","FORDHAM","C1-WALK-UP","11","1912","13600","155176","11.41","90032","6.62","65144","348000","25.59","0","2-03293-0043","2608 BRIGGS AVENUE","FORDHAM","C1-WALK-UP","11","1913","13,600","157,216","11.56","89,624","6.59","67,592","433,000","31.84","0"
"2-02966-0017","1500 BOSTON ROAD
Bronx, NY 
(40.834951561901, -73.894045951257)","2","10460","40.834973","-73.894052","3","17","153","2010278","2029660017","Crotona Park East                                                          ",,,,,"30000","327900","10.93","181263","6.04","146637","907000","30.23","2-02683-0043","567 SOUTHERN BOULEVARD
Bronx, NY 
(40.812418761421, -73.903245924986)","MORRISANIA/LONGWOOD","C7-WALK-UP","41","1907","25926","222094","8.57","144369","5.57","77725","465000","17.94","1.58","2-03974-0004","1410 ROWLAND STREET
Bronx, NY 
(40.837896997441, -73.845761558019)","WESTCHESTER","C1-WALK-UP","39","1928","32000","352320","11.01","193600","6.05","158720","981000","30.66","2.45",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-02992-0018","1898 DALY AVENUE
Bronx, NY 
(40.840901476535, -73.884417621199)","2","10460","40.840393","-73.884744","6","17","359","2099916","2029920018","East Tremont                                                               ",,,,,"15840","260251","16.43","133821","8.45","126430","916000","57.83","2-03077-0050","2463 HUGHES AVENUE
Bronx, NY 
(40.856473248628, -73.885857632554)","BELMONT","C1-WALK-UP","16","2004","13520","237761","17.59","74546","5.51","163215","1177000","87.06","1.12","2-03199-0007","2392 GRAND AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","KINGSBRIDGE HTS/UNIV HTS","C1-WALK-UP","16","2005","15712","315811","20.1","135799","8.64","180012","1295000","82.42","1.78","2-05798-0101","3615 OXFORD AVENUE","RIVERDALE","C1-WALK-UP","15","1980","7,550","174,490","23.11","78,802","10.44","95,688","643,000","85.17","3.47"
"2-02962-0044","1409 PROSPECT AVENUE
Bronx, NY 
(40.832306534799, -73.896661017471)","2","10459","40.832348","-73.896625","3","16","151","2010202","2029620044","Morrisania-Melrose                                                         ",,,,,"14175","165139","11.65","103228","7.28","61911","398000","28.08","2-02709-0009","834 BECK STREET
Bronx, NY 
(40.817827871472, -73.897139867008)","MORRISANIA/LONGWOOD","C1-WALK-UP","12","1907","10110","142532","14.1","64538","6.38","77994","445000","44.02","1.01","2-03237-0107","2635 SEDGWICK AVENUE
Bronx, NY 
(40.869164531836, -73.905129127229)","KINGSBRIDGE HTS/UNIV HTS","C1-WALK-UP","11","1916","13690","134467","9.82","84052","6.14","50415","298000","21.77","2.51",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03263-0225","75 238 STREET
Bronx, NY 
(40.882253491449, -73.897027479712)","2",,,,,,,,,,,,,,"77000","809270","10.51","469700","6.1","339570","2109000","27.39","2-05907-0352","3800 INDEPENDENCE AVENUE
Bronx, NY 
(40.889028698943, -73.912978481492)","RIVERDALE","D1-ELEVATOR","72","1970","84925","1137030","13.39","497219","5.85","639811","3718000","43.78","1","2-03287-0031","2670 BAINBRIDGE AVENUE
Bronx, NY 
(40.865494989354, -73.891424437396)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","70","1959","81315","764898","9.41","435174","5.35","329724","1958000","24.08","1.22","2-05047-0014","4382 FURMAN AVENUE","WAKEFIELD","D1-ELEVATOR","72","1931","75,630","677,958","8.96","433,489","5.73","244,469","1,457,000","19.26","2.38"
"2-03173-0013","2420 MORRIS AVENUE
Bronx, NY 
(40.86117304681, -73.90010446152)","2","10468","40.861182","-73.900159","5","14","23703","2013904","2031730013","Fordham South                                                              ",,,,,"75010","781604","10.42","514569","6.86","267035","1661000","22.14","2-03173-0041","2435 CRESTON AVENUE
Bronx, NY 
(40.861152041422, -73.899030186287)","FORDHAM","D1-ELEVATOR","85","1927","83413","874340","10.48","545897","6.54","328443","2041000","24.47","0","2-03164-0011","2320 CRESTON AVENUE
Bronx, NY 
(40.858430575659, -73.900499517695)","FORDHAM","D1-ELEVATOR","43","1936","39654","398895","10.06","232915","5.87","165980","986000","24.87","0.18","2-03173-0005","2390 MORRIS AVENUE","FORDHAM","D1-ELEVATOR","71","1930","73,734","727,339","9.86","459,872","6.24","267,467","1,583,000","21.47","0"
"2-02826-0024","110 176 STREET
Bronx, NY 
(40.848163388182, -73.909428878429)","2",,,,,,,,,,,,,,"28100","312191","11.11","193047","6.87","119144","735000","26.16","2-02791-0044","1707 TOPPING AVENUE
Bronx, NY 
(40.844230629079, -73.905852752565)","MOUNT HOPE/MOUNT EDEN","C7-WALK-UP","33","1924","30653","344162","11.23","194058","6.33","150104","967000","31.55","0.3","2-02869-0034","45 TREMONT AVENUE
Bronx, NY 
(40.851401170486, -73.90846852967)","HIGHBRIDGE/MORRIS HEIGHTS","C7-WALK-UP","51","1926","56849","471744","8.3","277624","4.88","194120","1054000","18.54","0.33","2-02889-0018","1705 ANTHONY AVENUE","MOUNT HOPE/MOUNT EDEN","C7-WALK-UP","23","1913","19,620","217,896","11.11","134,703","6.87","83,193","513,000","26.15","0.37"
"2-03281-0001","325 201 STREET
Bronx, NY 
(40.870477494828, -73.883145603291)","2",,,,,,,,,,,,,,"96250","941325","9.78","450450","4.68","490875","2906000","30.19","2-03285-0019","2976 MARION AVENUE
Bronx, NY 
(40.869575835091, -73.883264102385)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","62","1950","67930","748512","11.02","376775","5.55","371737","2145000","31.58","0.12","2-03281-0029","2995 MARION AVENUE
Bronx, NY 
(40.869917562262, -73.88282500767)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","44","1937","46162","436074","9.45","223766","4.85","212308","1243000","26.93","0","2-03281-0077","400 EAST MOSHOLU PARKWAY","BEDFORD PARK/NORWOOD","D7-ELEVATOR","82","1925","88,440","864,560","9.78","413,731","4.68","450,829","2,101,000","23.76","0.12"
"2-05920-0510","679 239 STREET
Bronx, NY 
(40.88988744006, -73.914311278005)","2",,,,,,,,,,,,,,"125526","1638114","13.05","782027","6.23","856087","5702000","45.42","2-05796-0129","3660 OXFORD AVENUE
Bronx, NY 
(40.887600254178, -73.90868609313)","RIVERDALE","D3-ELEVATOR","77","1967","106934","1415876","13.24","765281","7.16","650595","4322000","40.42","0.39","2-05798-0077","545 236 STREET
Bronx, NY 
(40.886549999277, -73.908922599141)","RIVERDALE","D7-ELEVATOR","64","1939","90025","1137489","12.64","554033","6.15","583456","3531000","39.22","0.36","2-05793-0467","3555 OXFORD AVENUE","RIVERDALE","D1-ELEVATOR","57","1960","72,553","888,992","12.25","335,602","4.63","553,390","2,772,000","38.21","0.42"
