"business_name","address","industry_group","type","telephone","cross_streets","zip_code","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Muldoons Irish Pub","692 Third Ave","Food & Drink","Bars & Lounges","212-599-2750","between 43rd - 44th St","10017","MANHATTAN","40.751817","-73.973696","6","4","92","1036173","1012980136","Turtle Bay-East Midtown                                                    "
"In Build-out","694 Third Ave ","In Build-out","In Build-out",,"between 43rd - 44th St","10017","MANHATTAN","40.751856","-73.973667","6","4","92","1036166","1012980037","Turtle Bay-East Midtown                                                    "
"696 Deli","696 Third Ave ","Food & Drink","Quick-Serve Eatery",,"between 43rd - 44th St","10017","MANHATTAN","40.751897","-73.973638","6","4","92","1036167","1012980038","Turtle Bay-East Midtown                                                    "
"Khawaja News","700 Third Ave ","Misc. Retail","Newsstand","212-286-9667","between 43rd - 44th St","10017","MANHATTAN","40.751977","-73.97358","6","4","92","1036168","1012980040","Turtle Bay-East Midtown                                                    "
"Uptown Communications/AT&T Wireless","700 Third Ave","Misc. Retail","Elec. & Telecom.","212-286-2700","between 43rd - 44th St","10017","MANHATTAN","40.751977","-73.97358","6","4","92","1036168","1012980040","Turtle Bay-East Midtown                                                    "
"Juice Bar Plus","700 Third Ave","Food & Drink","Specialty Food","212-867-0887","between 43rd - 44th St","10017","MANHATTAN","40.751977","-73.97358","6","4","92","1036168","1012980040","Turtle Bay-East Midtown                                                    "
"44st Pizza","168 East 44th St","Food & Drink","Quick-Serve Eatery","212-490-2874","between 43rd - 44th St","10017","MANHATTAN","40.752303","-73.974093","6","4","92","1036168","1012980040","Turtle Bay-East Midtown                                                    "
"TD Bank","685 Third Ave ","Financial Services","Full-Service Branch","212-599-2322","between 43rd - 44th St","10017","MANHATTAN","40.751617","-73.973819","6","4","88","1037555","1013170001","Turtle Bay-East Midtown                                                    "
"Starbucks","685 Third Ave ","Food & Drink","Quick-Serve Eatery","646-865-1250","between 43rd - 44th St","10017","MANHATTAN","40.751617","-73.973819","6","4","88","1037555","1013170001","Turtle Bay-East Midtown                                                    "
"Liz Russell Aveda Lifestyle Salon","685 Third Ave ","Pers. & Prof. Services","Hair Salon","212-557-0005","between 43rd - 44th St","10017","MANHATTAN","40.751617","-73.973819","6","4","88","1037555","1013170001","Turtle Bay-East Midtown                                                    "
"Hale & Hearty Soups","685 Third Ave ","Food & Drink","Quick-Serve Eatery","212-681-6460","between 43rd - 44th St","10017","MANHATTAN","40.751617","-73.973819","6","4","88","1037555","1013170001","Turtle Bay-East Midtown                                                    "
"5th Ave Chocolatiere","685 Third Ave ","Misc. Retail","Speciality Food Store","212-935-5454","between 43rd - 44th St","10017","MANHATTAN","40.751617","-73.973819","6","4","88","1037555","1013170001","Turtle Bay-East Midtown                                                    "
"Da Minc Jewelers","685 Third Ave ","AA&F","Acc., Jewelry & Watches","212-682-7797","between 43rd - 44th St","10017","MANHATTAN","40.751617","-73.973819","6","4","88","1037555","1013170001","Turtle Bay-East Midtown                                                    "
"Visual Images Ltd.","685 Third Ave ","Misc. Retail","Art & Photography Supplies","212-687-4088","between 43rd - 44th St","10017","MANHATTAN","40.751617","-73.973819","6","4","88","1037555","1013170001","Turtle Bay-East Midtown                                                    "
"Cosi Downtown","685 Third Ave ","Food & Drink","Quick-Serve Eatery","212-697-8329","between 43rd - 44th St","10017","MANHATTAN","40.751617","-73.973819","6","4","88","1037555","1013170001","Turtle Bay-East Midtown                                                    "
"Le Pain Quotidien","708 Third Ave ","Vacant","Restaurant","212-286-5500","between 44th-45th","10017","MANHATTAN","40.752328","-73.973324","6","4","92","1036177","1012990033","Turtle Bay-East Midtown                                                    "
"Hello Pasta","708 Third Ave ","Vacant","Quick-Serve Eatery",,"between 44th-45th St","10017","MANHATTAN","40.752328","-73.973324","6","4","92","1036177","1012990033","Turtle Bay-East Midtown                                                    "
"Boi Sandwich","708 Third Ave ","Food & Drink","Quick-Serve Eatery",,"between 44th-45th St","10017","MANHATTAN","40.752328","-73.973324","6","4","92","1036177","1012990033","Turtle Bay-East Midtown                                                    "
"Hudson News ","42nd Street Passage","Misc. Retail","Newsstand",,"Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Blarney Stone","710 Third Ave ","Food & Drink","Bars & Lounges","212-490-0457","between 44th-45th","10017","MANHATTAN","40.752383","-73.973284","6","4","92","1036178","1012990037","Turtle Bay-East Midtown                                                    "
"Pastafina","712 Third Ave ","Food & Drink","Quick-Serve Eatery","212-867-4888 ","between 44th-45th St","10017","MANHATTAN","40.752438","-73.973244","6","4","92","1036179","1012990038","Turtle Bay-East Midtown                                                    "
"Hofbrau Bierhaus NYC","712 Third Ave (2nd Floor)","Food & Drink","Restaurant","646-580-2437","between 44th - 45th St ","10017","MANHATTAN","40.752438","-73.973244","6","4","92","1036179","1012990038","Turtle Bay-East Midtown                                                    "
"Vacant","714 Third Ave ","Vacant","Vacant",,"between 44th-45th St","10017","MANHATTAN","40.752492","-73.973205","6","4","92","1036179","1012990038","Turtle Bay-East Midtown                                                    "
"Subway","716 Third Ave ","Food & Drink","Quick-Serve Eatery",,"between 44th-45th St","10017","MANHATTAN","40.752545","-73.973165","6","4","92","1036180","1012990040","Turtle Bay-East Midtown                                                    "
"Ameritel","716 Third Ave ","Misc. Retail","Elec. & Telecom.",,"between 44th-45th St","10017","MANHATTAN","40.752545","-73.973165","6","4","92","1036180","1012990040","Turtle Bay-East Midtown                                                    "
"Avenue","711 Third Ave ","AA&F","Women's Apparel","212-983-7127","between 44th - 45th St","10017","MANHATTAN","40.752374","-73.973266","6","4","90","1037568","1013180001","Turtle Bay-East Midtown                                                    "
"Sovereign Bank","711 Third Ave ","Financial Services","Full-Service Branch","212-949-1320","between 44th - 45th St","10017","MANHATTAN","40.752374","-73.973266","6","4","90","1037568","1013180001","Turtle Bay-East Midtown                                                    "
"Men's Wearhouse","730 Third Ave ","AA&F","Men's Apparel",,"between 45th - 46th St","10017","MANHATTAN","40.753104","-73.972757","6","4","92","1036195","1013000033","Turtle Bay-East Midtown                                                    "
"Citibank","734 Third Ave","Financial Services","Full-Service Branch","212-682-8524","between 45th - 46th St","10017","MANHATTAN","40.753228","-73.972667","6","4","92","1036195","1013000033","Turtle Bay-East Midtown                                                    "
"Capital One Bank","750 Third Ave ","Financial Services","Full-Service Branch","212-450-9725","between 46th - 47th St","10017","MANHATTAN","40.753722","-73.972309","6","4","92","1036207","1013010033","Turtle Bay-East Midtown                                                    "
"TIAA-CREF Financial Center","750 Third Ave ","Financial Services","Full-Service Branch",,"between 46th - 47th St","10017","MANHATTAN","40.753722","-73.972309","6","4","92","1036207","1013010033","Turtle Bay-East Midtown                                                    "
"Fed Ex Kinkos Ship Center","750 Third Ave ","Pers. & Prof. Services","Printing/Shipping","212-753-7778","between 46th - 47th St","10017","MANHATTAN","40.753722","-73.972309","6","4","92","1036207","1013010033","Turtle Bay-East Midtown                                                    "
"Bank of America","750 Third Ave ","Financial Services","Full-Service Branch","212-271-4030","between 46th - 47th St","10017","MANHATTAN","40.753722","-73.972309","6","4","92","1036207","1013010033","Turtle Bay-East Midtown                                                    "
"Starbucks ","360 Lexington Ave ","Food & Drink","Quick-Serve Eatery","212-953-1662","between 40th - 41st St","10017","MANHATTAN","40.750429","-73.9768","5","4","80","1036145","1012950017","Murray Hill-Kips Bay                                                       "
"Alfangi Salon on Lex","360 Lexington Ave","Pers. & Prof. Services","Hair Salon","212-687-9116","between 40th - 41st St","10017","MANHATTAN","40.750429","-73.9768","5","4","80","1036145","1012950017","Murray Hill-Kips Bay                                                       "
"American Airlines","360 Lexington Ave","Pers. & Prof. Services","Travel Services",,"between 40th - 41st St","10017","MANHATTAN","40.750429","-73.9768","5","4","80","1036145","1012950017","Murray Hill-Kips Bay                                                       "
"Blooming Nails","360 Lexington Ave","Pers. & Prof. Services","Nail Salon","212-922-9204","between 40th - 41st St","10017","MANHATTAN","40.750429","-73.9768","5","4","80","1036145","1012950017","Murray Hill-Kips Bay                                                       "
"ProHealth Pharmacy","370 Lexington Ave","Misc. Retail","Pharmacy","212-286-8400","between 40th - 41st St","10017","MANHATTAN","40.750646","-73.976641","5","4","80","1036150","1012950058","Murray Hill-Kips Bay                                                       "
"Nooi Pasta","370 Lexington Ave","Food & Drink","Quick-Serve Eatery",,"between 40th - 41st St","10017","MANHATTAN","40.750646","-73.976641","5","4","80","1036150","1012950058","Murray Hill-Kips Bay                                                       "
"Dunkin' Donuts","370 Lexington Ave","Food & Drink","Quick-Serve Eatery","212-682-4210","between 40th - 41st St","10017","MANHATTAN","40.750646","-73.976641","5","4","80","1036150","1012950058","Murray Hill-Kips Bay                                                       "
"Café Metro","370 Lexington Ave","Food & Drink","Quick-Serve Eatery","212-867-1090","between 40th - 41st St","10017","MANHATTAN","40.750646","-73.976641","5","4","80","1036150","1012950058","Murray Hill-Kips Bay                                                       "
"Chase Bank","355 Lexington Ave ","Financial Services","Full-Service Branch","212-370-0110","between 40th - 41st St","10017","MANHATTAN","40.750245","-73.976909","6","4","80","1036147","1012950023","Murray Hill-Kips Bay                                                       "
"Bistro Caterers","369 Lexington Ave","Food & Drink","Quick-Serve Eatery","212- 983-2200","between 40th - 41st St","10017","MANHATTAN","40.750583","-73.976663","6","4","80","1036146","1012950020","Murray Hill-Kips Bay                                                       "
"Sophie's Cuban Cuisine","369 Lexington Ave","Food & Drink","Quick-Serve Eatery","212-922-3576","between 40th - 41st St","10017","MANHATTAN","40.750583","-73.976663","6","4","80","1036146","1012950020","Murray Hill-Kips Bay                                                       "
"Everyday Gourmet Deli","373 Lexington Ave","Food & Drink","Quick-Serve Eatery","212-986-0500 ","between 40th - 41st St","10017","MANHATTAN","40.750682","-73.976594","6","4","80","1036146","1012950020","Murray Hill-Kips Bay                                                       "
"Pret A Manger","122 East 42nd St","Food & Drink","Quick-Serve Eatery","212-871-6274",,"10168","MANHATTAN","40.751601","-73.97645","5","4","80","1036152","1012960014","Murray Hill-Kips Bay                                                       "
"GNC","122 East 42nd St","Misc. Retail","Health & Beauty","212-661-8556   ",,"10168","MANHATTAN","40.751601","-73.97645","5","4","80","1036152","1012960014","Murray Hill-Kips Bay                                                       "
"Stop N' Go Wireless (Verizon)","122 East 42nd St","Misc. Retail","Elec. & Telecom.",,,"10168","MANHATTAN","40.751601","-73.97645","5","4","80","1036152","1012960014","Murray Hill-Kips Bay                                                       "
"Barami","375 Lexington Ave ","AA&F","Women's Apparel","212-682-2550","between 41st - 42nd St","10017","MANHATTAN","40.750871","-73.976454","6","4","80","1036153","1012967502","Murray Hill-Kips Bay                                                       "
"Delmonico Gourmet Food Market","375 Lexington Ave ","Food & Drink","Quick-Serve Eatery","212-661-0150","between 41st - 42nd St","10017","MANHATTAN","40.750871","-73.976454","6","4","80","1036153","1012967502","Murray Hill-Kips Bay                                                       "
"Chase","405 Lexington Ave                  ","Financial Services","Full-Service Branch","212-661-3089","between 42nd - 43rd St     ","10017","MANHATTAN","40.751823","-73.97576","6","4","92","1036156","1012970023","Turtle Bay-East Midtown                                                    "
"Express Graphics","405 Lexington Ave (indoors) ","Pers. & Prof. Services","Printing/Shipping","212-949-0203","between 42nd - 43rd St","10017","MANHATTAN","40.751823","-73.97576","6","4","92","1036156","1012970023","Turtle Bay-East Midtown                                                    "
"ALCO Lock & Safe Inc","405 Lexington Ave (indoors)","Pers. & Prof. Services","Locksmith","212-867-3377 ","between 42nd - 43rd St","10017","MANHATTAN","40.751823","-73.97576","6","4","92","1036156","1012970023","Turtle Bay-East Midtown                                                    "
"Chrysler Cleaners","405 Lexington Ave (indoors) ","Pers. & Prof. Services","Dry Cleaning","212-856-9602","between 42nd - 43rd St","10017","MANHATTAN","40.751823","-73.97576","6","4","92","1036156","1012970023","Turtle Bay-East Midtown                                                    "
"Madison Ave Eye Care","405 Lexington Ave (indoors)","Pers. & Prof. Services","Optical/Eyewear","212-687-2054","between 42nd - 43rd St","10017","MANHATTAN","40.751823","-73.97576","6","4","92","1036156","1012970023","Turtle Bay-East Midtown                                                    "
"Midtown Barber","405 Lexington Ave (indoors) ","Pers. & Prof. Services","Barber Shop","212-986-0716","between 42nd - 43rd St","10017","MANHATTAN","40.751823","-73.97576","6","4","92","1036156","1012970023","Turtle Bay-East Midtown                                                    "
"Shoe Solution, Inc.","405 Lexington Ave (indoors) ","Pers. & Prof. Services","Shoe Care/Repair","212-697-7066 ","between 42nd - 43rd St","10017","MANHATTAN","40.751823","-73.97576","6","4","92","1036156","1012970023","Turtle Bay-East Midtown                                                    "
"Lexler Deli","405 Lexington Ave (indoors) ","Food & Drink","Quick-Serve Eatery",,"between 42nd - 43rd St","10017","MANHATTAN","40.751823","-73.97576","6","4","92","1036156","1012970023","Turtle Bay-East Midtown                                                    "
"Starbucks","Grand Central Terminal","Food & Drink","Quick-Serve Eatery",,"Lexington Passage","10017","MANHATTAN","40.752521","-73.977305","5","4","92","1035381","1012800001","Turtle Bay-East Midtown                                                    "
"Vacant","420 Lexington Ave ","Vacant","Vacant",,"between 43rd - 44th St","10170","MANHATTAN","40.752262","-73.975464","5","4","92","1035385","1012807501","Turtle Bay-East Midtown                                                    "
"Crumbs Bake Shop","420 Lexington Ave ","Food & Drink","Specialty Food Store",,"between 43rd - 44th St","10170","MANHATTAN","40.752262","-73.975464","5","4","92","1035385","1012807501","Turtle Bay-East Midtown                                                    "
"De Janeiro","420 Lexington Ave ","AA&F","Women's Apparel","212-983-8933","between 43rd - 44th St","10170","MANHATTAN","40.752262","-73.975464","5","4","92","1035385","1012807501","Turtle Bay-East Midtown                                                    "
"Equinox","420 Lexington Ave ","Pers. & Prof. Services","Fitness Club","212-953-2499","between 43rd - 44th St","10170","MANHATTAN","40.752262","-73.975464","5","4","92","1035385","1012807501","Turtle Bay-East Midtown                                                    "
"City Chow","420 Lexington Ave","Food & Drink","Quick-Serve Eatery",,"between 43rd - 44th St","10170","MANHATTAN","40.752262","-73.975464","5","4","92","1035385","1012807501","Turtle Bay-East Midtown                                                    "
"Body Shop","420 Lexington Ave ","Misc. Retail","Health & Beauty","212- 682-3502","between 43rd - 44th St","10170","MANHATTAN","40.752262","-73.975464","5","4","92","1035385","1012807501","Turtle Bay-East Midtown                                                    "
"Spectrum News","420 Lexington Ave (indoors)","Misc. Retail","Newsstand","212-986-1270","between 43rd - 44th St","10170","MANHATTAN","40.752262","-73.975464","5","4","92","1035385","1012807501","Turtle Bay-East Midtown                                                    "
"Lunchbox Diner","420 Lexington Ave (indoors)","Food & Drink","Restaurant",,"between 43rd - 44th St","10170","MANHATTAN","40.752262","-73.975464","5","4","92","1035385","1012807501","Turtle Bay-East Midtown                                                    "
"Bank of America","425 Lexington Ave ","Financial Services","Full-Service Branch","212-949-2050","between 43rd - 44th St","10017","MANHATTAN","40.752424","-73.97532","6","4","92","1036162","1012980023","Turtle Bay-East Midtown                                                    "
"AT&T","425 Lexington Ave ","Misc. Retail","Elec. & Telecom.","212-867-0806","between 43rd - 44th St","10017","MANHATTAN","40.752424","-73.97532","6","4","92","1036162","1012980023","Turtle Bay-East Midtown                                                    "
"Pret-A-Manger","425 Lexington Ave ","Food & Drink","Quick-Serve Eatery",,"between 43rd - 44th St","10017","MANHATTAN","40.752424","-73.97532","6","4","92","1036162","1012980023","Turtle Bay-East Midtown                                                    "
"Lens Crafters","425 Lexington Ave ","Pers. & Prof. Services","Optical/Eyewear","212-922-2929","between 43rd - 44th St","10017","MANHATTAN","40.752424","-73.97532","6","4","92","1036162","1012980023","Turtle Bay-East Midtown                                                    "
"Starbucks","450 Lexington Ave ","Food & Drink","Quick-Serve Eatery","212- 682-5139","between 44th - 45th St","10017","MANHATTAN","40.753102","-73.974854","5","4","92","1085671","1012800090","Turtle Bay-East Midtown                                                    "
"Bath & Body Works","441 Lexington Ave ","Misc. Retail","Health & Beauty","212-687-1231","between 44th - 45th St","10017","MANHATTAN","40.752726","-73.974793","6","4","92","1036174","1012990022","Turtle Bay-East Midtown                                                    "
"HSBC","441 Lexington Ave ","Financial Services","Full-Service Branch","212-867-3281","between 44th - 45th St","10017","MANHATTAN","40.752726","-73.974793","6","4","92","1036174","1012990022","Turtle Bay-East Midtown                                                    "
"Development Project","451 Lexington Ave ","Development Project","Development Project","212 687 7855","between 44th - 45th St","10017","MANHATTAN","40.753138","-73.974803","6","4","92","1036183","1012997501","Turtle Bay-East Midtown                                                    "
"Development Project","451 Lexington Ave ","Development Project","Development Project","212 661 1685","between 44th - 45th St","10017","MANHATTAN","40.753138","-73.974803","6","4","92","1036183","1012997501","Turtle Bay-East Midtown                                                    "
"Development Project","451 Lexington Ave ","Development Project","Development Project",,"between 44th - 45th St","10017","MANHATTAN","40.753138","-73.974803","6","4","92","1036183","1012997501","Turtle Bay-East Midtown                                                    "
"Development Project","451 Lexington Ave ","Development Project","Development Project",,"between 44th - 45th St","10017","MANHATTAN","40.753138","-73.974803","6","4","92","1036183","1012997501","Turtle Bay-East Midtown                                                    "
"Development Project","451 Lexington Ave ","Development Project","Development Project",,"between 44th - 45th St","10017","MANHATTAN","40.753138","-73.974803","6","4","92","1036183","1012997501","Turtle Bay-East Midtown                                                    "
"Papyrus","42nd Street Passage","Misc. Retail","Greeting Cards & Stationary","212-490-9894","Grand Central Terminal",,"MANHATTAN","40.752101","-73.977604","5","4","92",,"1012800001","Turtle Bay-East Midtown"
"Chase","466 Lexington Ave ","Financial Services","Full-Service Branch","212-599-6999 ","between 45th - 46th St","10017","MANHATTAN","40.753654","-73.974449","5","4","92","1036186","1013000014","Turtle Bay-East Midtown                                                    "
"Bistro Catering","466 Lexington Ave ","Food & Drink","Quick-Serve Eatery","212-808-4200","between 45th - 46th St","10017","MANHATTAN","40.753654","-73.974449","5","4","92","1036186","1013000014","Turtle Bay-East Midtown                                                    "
"JAM Paper & Envelope","466 Lexington Ave ","Misc. Retail","Greeting Cards & Stationary",,"between 45th - 46th St","10017","MANHATTAN","40.753654","-73.974449","5","4","92","1036186","1013000014","Turtle Bay-East Midtown                                                    "
"Hallmark Cards","466 Lexington Ave ","Misc. Retail","Greeting Cards & Stationary","212-687-3038","between 45th - 46th St","10017","MANHATTAN","40.753654","-73.974449","5","4","92","1036186","1013000014","Turtle Bay-East Midtown                                                    "
"Café Metro","466 Lexington Ave ","Food & Drink","Quick-Serve Eatery","212-697-7200","between 45th - 46th St","10017","MANHATTAN","40.753654","-73.974449","5","4","92","1036186","1013000014","Turtle Bay-East Midtown                                                    "
"Ray's Jewelers","459 Lexington Ave","AA&F","Acc., Jewelry & Watches","212 682 7222"," between 45th - 46th St","10017","MANHATTAN","40.753459","-73.974569","6","4","92","1036189","1013000023","Turtle Bay-East Midtown                                                    "
"Hair Salon","459 Lexington Ave ","Pers. & Prof. Services","Hair Salon",,"between 45th - 46th St","10017","MANHATTAN","40.753459","-73.974569","6","4","92","1036189","1013000023","Turtle Bay-East Midtown                                                    "
"Midtown Comics","459 Lexington Ave (2nd Floor)","Misc. Retail","Bookstore","212 302 8192","between 45th - 46th St                     ","10017","MANHATTAN","40.753459","-73.974569","6","4","92","1036189","1013000023","Turtle Bay-East Midtown                                                    "
"Dante Zeller Tuxedo","459 Lexington Ave (3rd Floor) ","AA&F","Men's Apparel","212-572-8372 ","between 45th - 46th St                     ","10017","MANHATTAN","40.753459","-73.974569","6","4","92","1036189","1013000023","Turtle Bay-East Midtown                                                    "
"Grand Central Star Café","463 Lexington Ave ","Food & Drink","Quick-Serve Eatery","212 682 0185","between 45th - 46th St","10017","MANHATTAN","40.753569","-73.974489","6","4","92","1036188","1013000021","Turtle Bay-East Midtown                                                    "
"New Romantic Nail","463 Lexington Ave (2nd Floor)","Pers. & Prof. Services","Nail Salon",,"between 45th - 46th St","10017","MANHATTAN","40.753569","-73.974489","6","4","92","1036188","1013000021","Turtle Bay-East Midtown                                                    "
"Vacant","465 Lexington Ave ","Vacant","Vacant","212 983 0033","between 45th - 46th St","10017","MANHATTAN","40.753624","-73.974449","6","4","92","1036187","1013000020","Turtle Bay-East Midtown                                                    "
"Baja Fresh Mexican Grill","465 Lexington Ave ","Food & Drink","Quick-Serve Eatery","212-5992252","between 45th - 46th St","10017","MANHATTAN","40.753624","-73.974449","6","4","92","1036187","1013000020","Turtle Bay-East Midtown                                                    "
