"agency","dataset","dataset_description","update_frequency","original_plan_date","latest_plan_date","release_status","release_date","url1","u_id","agency_notes","from_the_2021_open_data_plan_"
"Commission to Combat Police Corruption (CCPC)","CCPC’s Analysis of Selected NYPD Internal Affairs Bureau Investigative Trends.","CCPC’s satisfaction rate with specific aspects of NYPD Internal Affairs Bureau investigations in cases reviewed by CCPC for its 17th, 18th, and 19th Annual Reports.","Historical Data","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","Categories of NYPD Disciplinary Cases","Disciplinary cases, as categorized by CCPC, and the NYPD's findings for cases that were adjudicated between October 2018 and September 2019.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","Categories of NYPD Internal Affairs Bureau’s Closed Cases Reviewed by CCPC","Categories of NYPD Internal Affairs Bureau cases reviewed by CCPC during the 2019 calendar year.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","Categories of NYPD Disciplinary Cases","Disciplinary cases, as categorized by CCPC, and the NYPD's findings for cases that were adjudicated between October 2018 and September 2019.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","Categories of NYPD Internal Affairs Bureau’s Closed Cases Reviewed by CCPC","Categories of NYPD Internal Affairs Bureau cases reviewed by CCPC during the 2019 calendar year.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","Termination of Members of Service from NYPD","Reflects, by case type, the number of members of service who were terminated from the Department and whose administrative cases were adjudicated by NYPD between October 2018 and September 2019.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","CCPC’s Analysis of Selected NYPD Internal Affairs Bureau Investigative Trends.","CCPC’s satisfaction rate regarding specific aspects of NYPD Internal Affairs Bureau investigations in closed cases for the 2018 and 2019 calendar years.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","CCPC’s Analysis of Selected NYPD Internal Affairs Bureau Investigative Trends.","CCPC’s satisfaction rate regarding specific aspects of NYPD Internal Affairs Bureau investigations in closed cases for the 2018 and 2019 calendar years.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","Separation of Members of the Service from the NYPD","Reflects, by case type, the number of members of service separated from the NYPD as a result of the administrative disciplinary cases adjudicated by the NYPD between October 2018 and September 2019.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","Separation of Members of the Service from the NYPD","Reflects, by case type, the number of members of service separated from the NYPD as a result of the administrative disciplinary cases adjudicated by the NYPD between October 2018 and September 2019.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","NYPD Members of Service with Cases Disposed of as Charges Filed","Reflects, by case type, the number of members of service whose administrative cases were adjudicated by the NYPD and disposed of as charges filed between October 2018 and September 2019.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","NYPD Members of Service with Cases Disposed of as Charges Filed","Reflects, by case type, the number of members of service whose administrative cases were adjudicated by the NYPD and disposed of as charges filed between October 2018 and September 2019.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","Termination of Members of Service from NYPD","Reflects, by case type, the number of members of service who were terminated from the Department and whose administrative cases were adjudicated by NYPD between October 2018 and September 2019.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","CCPC Agreement with NYPD Disciplinary Cases","CCPC agreement rate with penalties in NYPD disciplinary cases.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","CCPC Agreement with NYPD Disciplinary Cases","CCPC agreement rate with penalties in NYPD disciplinary cases.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","NYPD Members of the Service Penalized with Dismissal Probation","Reflects, by case type, the number of members of service placed on dismissal probation in administrative cases adjudicated by NYPD between October 2018 and September 2019.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","CCPC’s Analysis of Selected NYPD Internal Affairs Bureau Investigative Trends.","CCPC’s satisfaction rate with specific aspects of NYPD Internal Affairs Bureau investigations in cases reviewed by CCPC for its 17th, 18th, and 19th Annual Reports.","Historical Data","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","Complaints/Requests Received by CCPC","Complaints and requests received by CCPC for the 2020 calendar year.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","Complaints/Requests Received by CCPC","Complaints and requests received by CCPC for the 2020 calendar year.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Commission to Combat Police Corruption (CCPC)","NYPD Members of the Service Penalized with Dismissal Probation","Reflects, by case type, the number of members of service placed on dismissal probation in administrative cases adjudicated by NYPD between October 2018 and September 2019.","Annually","2021-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-03T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/20th-Annual-Report-of-the-Commission/acvt-i9fr","acvt-i9fr",,"Y"
"Department of Buildings (DOB)","Incident Database","Instances of construction-related incidents","Annually","2024-12-31T00:00:00.000","2024-12-31T00:00:00.000","Scheduled for release",,,,,"Y"
"Department of Buildings (DOB)","Inspections - Elevator","Elevator device inspections","Annually","2024-06-30T00:00:00.000","2024-06-30T00:00:00.000","Scheduled for release",,,,,"Y"
"Department of Buildings (DOB)","DOB NOW: Safety Elevator Compliance Filings","All Elevator Compliance Filings in DOB NOW.","Daily","2022-01-31T00:00:00.000","2023-06-30T00:00:00.000","Scheduled for release",,,,"DOB and DOITT have been making requested improvements to several existing data sets to enhance usability and transparency. The release of new datasets requires additional time for implementation.","Y"
"Department of Buildings (DOB)","DOB NOW: Build PA/TPA","All Place of Assembly (PA)/Temporary Place of Assembly (TPA) filings in DOB NOW.","Daily","2021-01-31T00:00:00.000","2022-06-30T00:00:00.000","Scheduled for release",,,,"DOB and DOITT have been making requested improvements to several existing data sets to enhance usability and transparency. The release of new datasets requires additional time for implementation.","Y"
"Department of Buildings (DOB)","Required Items","Items required for filing","Annually","2026-06-30T00:00:00.000","2026-06-30T00:00:00.000","Scheduled for release",,,,,"Y"
"Department of Buildings (DOB)","Elevator Device Lookup","Elevator device records","Annually","2023-12-31T00:00:00.000","2023-12-31T00:00:00.000","Scheduled for release",,,,,"Y"
"Department of Buildings (DOB)","DOB NOW: Build LAA","All Limited Alteration Application (LAA) filings in DOB NOW.","Daily","2020-09-30T00:00:00.000","2021-12-31T00:00:00.000","Released","2021-12-31T00:00:00.000","https://data.cityofnewyork.us/dataset/xxbr-ypig","xxbr-ypig","DOB and DOITT have been making requested improvements to several existing data sets to enhance usability and transparency. The release of new datasets requires additional time for implementation.","Y"
"Department of Buildings (DOB)","DOB NOW: Licensing","All applications for a professional license in DOB NOW.","Daily","2021-11-30T00:00:00.000","2022-12-31T00:00:00.000","Scheduled for release",,,,"DOB and DOITT have been making requested improvements to several existing data sets to enhance usability and transparency. The release of new datasets requires additional time for implementation.","Y"
"Department of Buildings (DOB)","Gas Certification","Gas certification details","Annually","2025-06-30T00:00:00.000","2025-06-30T00:00:00.000","Scheduled for release",,,,,"Y"
"Department of Buildings (DOB)","BIS Lookup Tables","Tables for looking up BIS information","Annually","2025-12-31T00:00:00.000","2025-12-31T00:00:00.000","Scheduled for release",,,,,"Y"
"Department of City Planning (DCP)","Future Floodplain 2100 (100 yr)","future floodplains in the 2100s based on a layering of high estimates for SLR by NPCC on top of the 2013 PFIRM BFEs for the 1% annual chance floodplain","As Needed","2020-12-31T00:00:00.000","2022-08-31T00:00:00.000","Scheduled for release",,,,"We are continuing to work through a back log of open data to publish. There are not enough resources (personnel) to release this on time and lower priority than other datasets.","Y"
"Department of City Planning (DCP)","Limit of Moderate Wave Action (LiMWA) - 2015 PFIRMs","The LiMWA identifies areas that will be affected by waves with a 1.5 foot wave height or greater within the coastal A zone. While FEMA does not require special floodplain management standards based on LiMWA delineations, it is likely that properties and structures within the LiMWA will receive substantial damage from wave action during a 1%-annual-chance flood event.","As Needed","2020-12-31T00:00:00.000","2022-08-31T00:00:00.000","Scheduled for release",,,,"We are continuing to work through a back log of open data to publish. There are not enough resources (personnel) to release this on time and lower priority than other datasets.","Y"
"Department of City Planning (DCP)","Supermarket Needs Index (SNI)","The Index, comprised of a set of important factors – concentration of stores, walkability, access to car, presence of families with children in poverty -- helps communities, food policy researchers and supermarket operators assess the number of additional stores necessary to meet the needs of the area.","As Needed","2021-12-31T00:00:00.000","2022-12-31T00:00:00.000","Scheduled for release",,,,"We are continuing to work through a back log of open data to publish. There are not enough resources (personnel) to release this on time and lower priority than other datasets. New publication date target is by the end of the year deadline.","Y"
"Department of City Planning (DCP)","Community District Profile Indicators","Socio-economic, demographic and other indicators for each Community District of NYC","As Needed","2021-07-31T00:00:00.000","2022-12-31T00:00:00.000","Scheduled for release",,,,"Changes to the application altered what data would be included in the app. This set us back as well as the back log of open data to publish. There are not enough resources (personnel) to release this on time. New publication date target is by the end of the year deadline.","Y"
"Department of City Planning (DCP)","Census Block Equivalency, 1990 to 2000 NYC","New York City 1990 to 2000 Census Block Equivalency","Historical Data","2020-12-31T00:00:00.000","2022-08-31T00:00:00.000","Scheduled for release",,,,"We are continuing to work through a back log of open data to publish. There are not enough resources (personnel) to release this on time and lower priority than other datasets.","Y"
"Department of City Planning (DCP)","Base Flood Elevation - 2015 PFIRMS (Elevation Above Grade)","The height of the 2015 PFIRM BFEs above ground elevation based on the 2010 NYC Digital Elevation Model.","As Needed","2020-12-31T00:00:00.000","2022-08-31T00:00:00.000","Scheduled for release",,,,"We are continuing to work through a back log of open data to publish. There are not enough resources (personnel) to release this on time and lower priority than other datasets.","Y"
"Department of City Planning (DCP)","2010 Census Demographic Profile 2010 (NYC/Borough level)","Demographic profile of 2010 census data at city and borough level","Historical Data","2020-12-31T00:00:00.000","2021-12-31T00:00:00.000","Removed from the plan",,,,"2010 specific, no longer updated as DCP has shifted to using Population Fact Finder","Y"
"Department of City Planning (DCP)","2010 Census Demographic Profile 2000-2010 (NYC/Borough level)","Demographic profile comparing 2000-2010 census data at city and borough level","Historical Data","2020-12-31T00:00:00.000","2021-12-31T00:00:00.000","Removed from the plan",,,,"2010 specific, no longer updated as DCP has shifted to using Population Fact Finder","Y"
"Department of City Planning (DCP)","Future Floodplain 2080 (100 yr)","future floodplains in the 2080s based on a layering of high estimates for SLR by NPCC on top of the 2013 PFIRM BFEs for the 1% annual chance floodplain","As Needed","2020-12-31T00:00:00.000","2022-08-31T00:00:00.000","Scheduled for release",,,,"We are continuing to work through a back log of open data to publish. There are not enough resources (personnel) to release this on time and lower priority than other datasets.","Y"
"Department of City Planning (DCP)","ZAP Search data","Data related to filed Land Use Applications, both ULURP & Non-ULURP. Data includes project name, project status, project description, project geography and other general project info.","Monthly","2020-06-30T00:00:00.000","2022-06-30T00:00:00.000","Scheduled for release",,,,"Release date is rescheduled due to other agency priorities and reduced staff.","Y"
"Department of Citywide Administrative Services (DCAS)","Solar Thermal Report","This report will list all City facilities that are capable of hosting solar thermal systems.","Historical Data","2021-12-31T00:00:00.000","2021-12-31T00:00:00.000","Removed from the plan",,,,"After further review, data not classified as public dataset because contracted data model generated by NREL and applies for exclusions 5 and 6 in NYC §23-501(g).","Y"
"Department of Citywide Administrative Services (DCAS)","Pre-Qualified List ","The Office of Citywide Procurement established a list of pre-qualified general contractors for furnishing all labor, materials and equipment, necessary and required to perform energy efficient work on various capital and expense funded projects throughout the City.","As needed","2020-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-10-07T00:00:00.000","https://data.cityofnewyork.us/City-Government/Pre-Qualified-List/5hsa-dfq5","5hsa-dfq5","OCP had shift in priority due to the COVID-19 Emergency and was a key player in sourcing/distriubution of COVID PPE.","Y"
"Department of Citywide Administrative Services (DCAS)","Workforce Profile Report","A broad overview of the employment status and demographic makeup of employees across NYC agencies","Annually","2021-12-31T00:00:00.000","2022-12-31T00:00:00.000","Scheduled for release",,,,"DCAS will delay the publication of this data from 12/31/2021 to 12/31/2022 with the publication of Fiscal Year 2020 data as the report is expected to be published in a new format.","Y"
"Department of Citywide Administrative Services (DCAS)","Combined Heat and Power Report","An inventory of all City facilities with peak demand of >500kW that are able to adopt Combined Heat and Power/Distributed Generation as a form of on-site power generation capability.","Every 5 years","2023-12-31T00:00:00.000","2023-12-31T00:00:00.000","Scheduled for release",,,,,"Y"
"Department of Citywide Administrative Services (DCAS)","Real World Fuel Efficiency","A report of city vehicles and actual MPG compared to EPA estimated MPG","Historical Data","2020-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-11-30T00:00:00.000","https://data.cityofnewyork.us/Environment/Real-World-Fuel-Efficiency/mn2p-34if","mn2p-34if","Did not get posted to open data portal due to administrative error","Y"
"Department of Citywide Administrative Services (DCAS)","Building Auditing Report","This report reviews annual progress implementingthe audit and retro-commissioning requirements ofLL87 of 2009","Annually","2020-12-31T00:00:00.000","2022-12-31T00:00:00.000","Scheduled for release",,,,"Subject to change as a result of internal city review which must precede publication to Open Data","Y"
"Department of Citywide Administrative Services (DCAS)","Energy Storage Report","This report will list all City facilities that are capable of hosting energy storage systems.","Historical Data","2021-12-31T00:00:00.000","2021-12-31T00:00:00.000","Removed from the plan",,,,"After further review, data not classified as public dataset because contracted data model generated by NREL and applies for exclusions 5 and 6 in NYC §23-501(g).","Y"
"Department of Citywide Administrative Services (DCAS)","Solar PV Readiness Report","An inventory of current solar PV installations on City facilities. This dataset also shows City facilities that have the potential to adopt solar PV.","Biennially","2020-12-31T00:00:00.000","2022-12-31T00:00:00.000","Scheduled for release",,,,"Subject to change as a result of internal city review which must precede publication to Open Data","Y"
"Department of Citywide Administrative Services (DCAS)","Local Law 45 of 2018 Report","This report details  annual electricity and fossil fuel usage, real-time metering, and assessments of or improvements made to the envelopes of covered facilities for four years from the effective date of the law. This is the second of the four reports.","Annually","2020-12-31T00:00:00.000","2022-12-31T00:00:00.000","Scheduled for release",,,,"Subject to change as a result of internal city review which must precede publication to Open Data","Y"
"Department of Citywide Administrative Services (DCAS)","Upcoming Opportunities for M/WBEs under the M/WBE Non-Competitive Small Purchase Method for City-Certified M/WBEs","The vital NYC Minority and Women-Owned Business Enterprise program (M/WBE) is designed to promote City government contracting and subcontracting opportunities for businesses certified as minority and women-owned with a real and substantial presence in New York City and surrounding counties","As needed","2020-11-30T00:00:00.000","2021-11-30T00:00:00.000","Released","2021-09-16T00:00:00.000","https://data.cityofnewyork.us/City-Government/M-WBE-Upcoming-Procurement/ww83-bcks","ww83-bcks","OCP had shift in priority due to the COVID-19 Emergency and was a key player in sourcing/distribution of COVID PPE.","Y"
"Department of Consumer and Worker Protection (DCWP)","Historical License Applications","A list of historical License Applications that were not migrated from the decommissioned CAMIS system into the current enterprise system.","Historical Data","2021-12-31T00:00:00.000","2021-12-31T00:00:00.000","Scheduled for release",,,,,"Y"
"Department of Consumer and Worker Protection (DCWP)","Neighborhood Financial Health Index","An online data visualization tool created to better understand New York City neighborhoods by looking at the relative differences between neighbrohoods across several measures of financial health and how measures of financial health relate to economic and demographic factors such as race and income.","Historical Data","2021-12-31T00:00:00.000","2021-12-31T00:00:00.000","Released","2022-06-24T00:00:00.000","https://data.cityofnewyork.us/Business/Neighborhood-Financial-Health-Digital-Mapping-and-/r3dx-pew9","r3dx-pew9",,"Y"
"Department of Consumer and Worker Protection (DCWP)","Labor Policy and Standards Enforcement Matters","Enforcement matters taken up by DCA's Office of Labor Policy and Standards on behalf of New York City workers.","Monthly","2020-12-31T00:00:00.000","2021-12-31T00:00:00.000","Released","2022-04-08T00:00:00.000","https://data.cityofnewyork.us/Business/Office-of-Labor-Policy-Standards-Enforcement-Matte/c292-vzrn","c292-vzrn","This dataset was delayed due to the complexities of identifying which cases cannot be made public due to confidentiality concerns.  As there is no systematic way to identify which cases cannot be made public we have had to reevaluate the amount and type of information that can be released without compromising individual's confidentiality.","Y"
"Department of Consumer and Worker Protection (DCWP)","Historical Licenses","A list of DCWP-issued licenses that were not migrated from the decommissioned CAMIS system into the current enterprise system.","Historical Data","2021-12-31T00:00:00.000","2021-12-31T00:00:00.000","Scheduled for release",,,,,"Y"
"Department of Consumer and Worker Protection (DCWP)","Language Line Interpretation Services","List of all Language Line calls made by DCA to provide translation services.","Monthly","2020-12-31T00:00:00.000","2021-10-31T00:00:00.000","Released","2022-01-24T00:00:00.000","https://data.cityofnewyork.us/dataset/DCWP-Language-Line-Interpretation-Services/wapz-jfhq","wapz-jfhq","This dataset was delayed due to automation challenges but will be released befor ethe end of the 2021 calendar year.","Y"
"Department of Consumer and Worker Protection (DCWP)","Labor Policy and Standards Intake Records","Intake records created in response to inquiries and complaints received by DCA's Office of Labor Policy and Standards","Monthly","2020-12-31T00:00:00.000","2021-12-31T00:00:00.000","Released","2022-04-08T00:00:00.000","https://data.cityofnewyork.us/Business/Office-of-Labor-Policy-Standards-Workplace-Inquiri/2z24-2htf","2z24-2htf","This dataset was delayed due to the complexities of identifying which cases cannot be made public due to confidentiality concerns.  As there is no systematic way to identify which cases cannot be made public we have had to reevaluate the amount and type of information that can be released without compromising individual's confidentiality.","Y"
"Department of Correction (DOC)","Security Indicators Report","Information pertaining to use of force and violent incidents","Quarterly","2021-11-14T00:00:00.000","2021-11-14T00:00:00.000","Scheduled for release",,,,"DOC will provide these reports in dataset format on the aggregate-level.","Y"
"Department of Correction (DOC)","Alternative Housing Unit Waiting List Report","Information on individuals awaiting restrictive housing placement","Bi-Monthly","2021-09-18T00:00:00.000","2021-09-18T00:00:00.000","Scheduled for release",,,,"DOC will provide these reports in dataset format on the aggregate-level.","Y"
"Department of Correction (DOC)","Punitive Segregation Report","Information pertaining to punitive and restrictive housing","Quarterly","2021-10-20T00:00:00.000","2021-10-20T00:00:00.000","Scheduled for release",,,,"DOC will provide these reports in dataset format on the aggregate-level.","Y"
"Department of Correction (DOC)","Visitation Report","Information pertaining to visitation statistics and denials","Quarterly","2021-10-30T00:00:00.000","2021-10-30T00:00:00.000","Released","2021-12-15T00:00:00.000","https://data.cityofnewyork.us/Public-Safety/LL85-Quarterly-Report/b3eu-nmy6","b3eu-nmy6","DOC will provide these reports in dataset format on the aggregate-level.","Y"
"Department of Correction (DOC)","Sexual Abuse Allegations and Incidents Report","Information pertaining to sexual abuse allegations and incidents in incarcerated people and staff","Annually","2022-07-01T00:00:00.000","2022-07-01T00:00:00.000","Scheduled for release",,,,"DOC will provide these reports in dataset format on the aggregate-level.","Y"
"Department of Correction (DOC)","Educational Programming for Adolescents and Young Adults Report","Information pertaining to adolescents and young adults located in a Department of Education facility that offers educational programming to incarcerated individuals","Annually","2021-09-24T00:00:00.000","2021-09-24T00:00:00.000","Scheduled for release",,,,"DOC will provide these reports in dataset format on the aggregate-level.","Y"
