"company_name","company_contact","company_email","company_phone","address","city","state","zip","industry","industry_descr","company_type","current_fulltime","job_created","job_retain","effective_date","total_savings","savings_from_beginning","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"25 Broadway (Ldmk)","David Neiburg","Eskoblo@energyspec.com","7186779077","1114 Avenue J","Brooklyn","NY","11230","Commercial","22 story building","LMEP","2342",,,"2015-07-02T00:00:00.000","436145.14","2274391.35","Brooklyn","40.624784","-73.96492","314","44","534","3179818","3067130006","Midwood"
"4Over4.com","Anastasio Panagiotopolous","taso@4over4.com","7189322700","19-41 46th Street","Long Island City","NY","11105","Manufacturing","Printer","ECSP","14",,,"2008-04-09T00:00:00.000","4922.25","184923.14","Queens","40.77494","-73.896804","401","22","12301","4441806","4007740017","Steinway"
"538-540 West 35 Corp","Richard Silver","tankman220@aol.com","2127366618","11-42 46th Road","Queens","NY","11101","Manufacturing","steel, wood & cement tanks","ECSP","16",,,"2010-06-07T00:00:00.000","4853.46","56744.11","Queens","40.74551","-73.949497","402","26","7","4436616","4000560047","Hunters Point-Sunnyside-West Maspeth"
"55 Water, LLC","Jermy Frenkel","info@MEQS.com","2127260700","51 Water Street","Brooklyn","NY","11201","Commercial","Management company","ECSP","5",,,"2017-08-04T00:00:00.000","7438.51","10657.15","Brooklyn","40.703304","-73.992156","302","33","21","3000000","3000260050","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"72andSunny Partners LLC","Mitchell Gendel","Rlegati@mdc-partners.com","2129931300","55 Water Street","Brooklyn","NY","11201","Commercial","Advertising","ECSP","70",,,"2017-07-06T00:00:00.000","15473.37","30061.25","Brooklyn","40.703301","-73.992047","302","33","21","3000019","3000260050","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"75 Broad Street","David Neiburg","Eskoblo@energyspec.com","7186779077","1114  Ave J","Brooklyn","NY","11230","Commercial",,"LMEP","466",,,"2012-01-01T00:00:00.000","543391.98","6699791.27","Brooklyn","40.624784","-73.96492","314","44","534","3179818","3067130006","Midwood"
"A & L Scientific Corp.","Anthony Vicari","service@alscientific.com","7187568100","88-05 76th Avenue","Queens","NY","11385","Manufacturing","fabricates and services biotech medical equipment","ECSP","13",,,"2011-09-19T00:00:00.000","3426.70","35540.16","Queens","40.707402","-73.862139","405","30","637","4094396","4038560156","Glendale"
"A.K.S. International, Inc","Tomislav nNgalo","tnogalo@aksinternational.com","332313","37-04 19th Avenue","Queens","NY","11105","Manufacturing","metal contracting & fabricator of metal products","ECSP","45",,,"2015-07-06T00:00:00.000","3629.27","20691.63","Queens","40.779184","-73.900755","401","22","12301","4436970","4008120043","Steinway"
"ABEL CINE TECH, INC.","Rich Abel","rich@abelcine.com","6469339992","88 35th St, 4th Fl","Brooklyn","NY","11232","Commercial","Rental, resale and service motion picture cameras and accessories","ECSP","86",,,"2020-04-02T00:00:00.000","5268.09","16944.18","Brooklyn","40.656475","-74.006484","307","38","18","3336903","3006910001","Sunset Park West"
"ABIGAL PRESS, INC.","Salvatore Stratis","sps@abigal.com","7186415350","97-35 133rd Ave","Ozone Park","NY","11417","Manufacturing","PRINTER AND ENGRAVER","ECSP","102",,,"2008-06-30T00:00:00.000","3447.21","162866.29","Queens","40.676351","-73.839512","410","32","86","4247976","4114900090","Ozone Park"
"Accenture LLP","Tracy Lesnau","tracy.lesnau@accenture.com","9259745848","219 36th Street","Brooklyn","NY","11232","Commercial","Global consulting firm","ECSP","63",,,"2019-04-03T00:00:00.000","11789.99","16571.14","Brooklyn","40.656077","-74.007331","307","38","18","3345565","3006910001","Sunset Park West"
"Achieve Beyond, Inc. (Formerly Bilinguals, Inc.)","Julia  Matuza","jmatuza@bilingualsino.com","7187627633","70-00 Austin Street","Forest Hills","NY","11375","Commercial","Back Office Space","ECSP","200",,,"2012-12-24T00:00:00.000","7324.68","114665.69","Queens","40.720892","-73.846811","406","29","711","4000000","4032340150","Forest Hills"
"Action Carting Environmental Services, Inc","Ronald S. Bergamini","ggalietti@actioncarting.com","9736237600","1221 East Bay Ave.","Brooklyn","NY","10474","Manufacturing","Manufacturer and wholesaler of a material recovery facility that carts, sorts, bundles and sells recyclable material","ECSP","40",,,"2010-10-01T00:00:00.000","2247.82","207593.05","Brooklyn",,,,,,,,
"ADP Oak Point LLC","Peter Latta","platta@aduiepyle.com","6103503006","500 Oak Point  Avenue","Bronx","NY","10474","Commercial",,"ECSP","0",,,"2018-03-06T00:00:00.000","23372.88","71277.45","Bronx","40.80901","-73.894096","202","17","93","2128941","2026060002","Hunts Point"
"AECOM Technical Services Inc","Sarah Robinson","sarah.robinson1@consultant.aecom.com","2128960109","220 36th St, Suite 2-5-A","Brooklyn","NY","11232","Commercial","design and construction management","ECSP","27",,,"2020-05-01T00:00:00.000","1868.34","8412.79","Brooklyn","40.656061","-74.007334","307","38","2","3398687","3006950020","Sunset Park West"
"Aesthetonics, Inc.","EILEEN NEYMAN","eileen@remains.com","6467232477","21-29 Belvidere Street","Brooklyn,","NY","11206","Manufacturing",,"ECSP","32",,,"2009-03-12T00:00:00.000","6393.98","128478.96","Brooklyn","40.698747","-73.936863","304","34","389","3071776","3031350036","Bushwick South"
"AFC INDUSTRIES, INC.","ANAT ROTLEVI","anrotlevi@afcindustries.com","7187470237","13-16 133RD PLACE","College Point","NY","11356","Manufacturing","MFG. COMPUTER FURNI.","ECSP","41","10","82","2004-03-05T00:00:00.000","4026.73","34483.56","Queens","40.786469","-73.834527","407","19","945","4445908","4040120029","Whitestone"
"African Services Committee, Inc.","Muna Hamouie","munah@africanservices.com","2122223882","423-429 W 127th Street","New YOrk","NY","10027","Commercial","Provider of Social Services","ECSP","32",,,"2011-12-09T00:00:00.000","2508.11","18387.23","New York","40.812964","-73.953759","109","7","21303","1084105","1019670060","Manhattanville"
"Aids Vaccine Advocacy Coalition","Marie Semmelbeck","marie@avac.org","6463691476","423-429 W 127th Street","New York","NY","10027","Commercial","Provides information, education and advocacy for HIV /AIDS prevention.","ECSP","13",,,"2011-11-07T00:00:00.000","1467.64","13929.45","New York","40.812964","-73.953759","109","7","21303","1084105","1019670060","Manhattanville"
"ALADDIN BAKERS, INC/Bread Head, LLC.","Joseph Ayoub","guzzi@aladdinbakery.com","7184991818","236-238 25TH STREET","New York","NY","11232","Manufacturing","COMM. BAKER","ECSP","100",,,"2009-04-14T00:00:00.000","96010.85","837573.38","New York",,,,,,,,
"Albert Einstein College of Medicine R&D","Jack Zencheck","mwinkle1@yu.edu","7184308977","1196 Pierce Avenue","Bronx","NY","10461","Other","Research facility","ECSP","222",,,"2020-02-18T00:00:00.000","75096.36","263184.07","Bronx","40.848176","-73.846583","211","13","286","2044325","2040900019","Van Nest-Morris Park-Westchester Square"
"Albert Einstein College of Medicine R&D","Jack Zencheck","mwinkle1@yu.edu","7184308977","1196 Pierce Avenue","Bronx","NY","10461","Other","Research facility","ECSP","2614",,,"2015-07-02T00:00:00.000","985418.13","5779327.33","Bronx","40.848176","-73.846583","211","13","286","2044325","2040900019","Van Nest-Morris Park-Westchester Square"
"Alchemy Paintworks LLC","Heather Kelly","heather@alchemypaintworks.com","7184840214","1102 Atlantic Avenue, Unit 1C","Brooklyn","NY","11238","Commercial","Provides spray coatings for art and industry, specializing in paint finishing for metal sculpture as well as repair and restoration","ECSP","2",,,"2016-01-21T00:00:00.000","2112.96","12030.29","Brooklyn","40.679518","-73.956819","308","35","305","3027572","3011260029","Crown Heights North"
"All City Metal, Inc.","Frank Buccola","Johnmd@allcitymetal.com","7184725700","54-35 46th Street","Long Island City","NY","11101","Manufacturing","Sheet Metal design and fabrication","ECSP","65",,,"2015-05-15T00:00:00.000","25418.76","118916.37","Queens","40.730657","-73.922148","402","30","205","4058877","4025460001","Hunters Point-Sunnyside-West Maspeth"
"ALLE PROCESSING CORP.","Sam HOLLANDER","halbycpa@alleprocessing.com","7188942000","54-58 56TH DR. & 5820-5880  MAURICE","Queens","NY","11378","Manufacturing","MANUFACTURER","ECSP","494","60","2964","2007-06-28T00:00:00.000","8886.14","3645626.13","Queens",,,,,,,,
"ALLIED SAMPLE CARDS CO., INC.","MARC TRAGER","alliedsamplecard@netzero.net","7182380523","140 58th St, Bldg A, Suite 3M","Brooklyn","NY","11220","Manufacturing","MGF OF FOLDERS, FBR BKS","ECSP","17",,,"2014-07-03T00:00:00.000","512.84","14654.07","Brooklyn","40.645338","-74.022864","307","38","18","3414976","3057780001","Sunset Park West"
"Allison Eden Studios","Garry Goldstein","garry@allisoneden.comP","2122439944","164 Cook Street","Brooklyn","NY","11206","Manufacturing","Installer of wood cabinets","ECSP","6",,,"2017-12-05T00:00:00.000","1586.41","4103.81","Brooklyn","40.70288","-73.936405","301","34","485","3071626","3031230015","Bushwick South"
"Allstate Medical Supplies LLC","Martin Weiss","martinw@allstatemedical.com","7183697100","34 35th Street, Unit B530","Brooklyn","NY","11232","Wholesale/Warehouse/Distribution","medical supplies for facilities","ECSP","24",,,"2020-02-21T00:00:00.000","1538.23","6121.13","Brooklyn","40.657","-74.007356","307","38","18","3336903","3006910001","Sunset Park West"
"ALRUE IMPORT COPR.","Avi Shaul","avi@alrue.com","7183928877","10-40 45TH AVENUE","Long Island City","NY","11101","Manufacturing","Mfg. of Jewelry Setting","ECSP","6",,,"2011-06-07T00:00:00.000","7448.69","78631.89","Queens","40.748053","-73.951224","402","26","7","4000411","4000500017","Hunters Point-Sunnyside-West Maspeth"
"Amazon Corporate LLC","Ben Weisfuse","bweisfuse@amazon.com","2065775490","35 Kent Avenue","Brooklyn","NY","11249","Manufacturing","photo shoots for products presented on their media","ECSP","47",,,"2015-07-06T00:00:00.000","24483.37","103975.89","Brooklyn","40.722996","-73.958833","301","33","557","3335590","3022880001","North Side-South Side"
"American Bridge Company","Kwadwo Osi-Akoto","Amarkarian@americanbridge.net","5107742198","21-07 41st Avenue","Lond Island City","NY","11101","Commercial","Engineering construction for bridges","ECSP","15",,,"2019-06-04T00:00:00.000","11592.42","12463.99","Queens","40.7539","-73.942228","401","26","33","4004973","4004100046","Queensbridge-Ravenswood-Long Island City"
"American Folk Art Museum","Anne-Imelda Radice","areilly@folkartmuseum.org","2122651040","32-23 48th Avenue","Long Island City","NY","11101","Wholesale/Warehouse/Distribution","Fine Art Storage & Collection","ECSP","5",,,"2015-03-10T00:00:00.000","8115.63","39891.42","Queens","40.740913","-73.93324","402","26","199","4003446","4002520001","Hunters Point-Sunnyside-West Maspeth"
"American Torque, Inc.","Robert McCarthy","Amtorq@gmail.com","7185262433","105-22 150th Street","Queens","NY","11435","Manufacturing","mfg torque converters and related parts","ECSP","8",,,"2011-01-19T00:00:00.000","6643.63","73037.27","Queens","40.696796","-73.801885","412","28","204","4589555","4100620010","Jamaica"
"American Transit Insurance Co","Edward T McGettigan Jr.","cryan@american-transit.com","2128578200","One MetroTech Center","Brooklyn","NY","11201","Commercial","Insurance","ECSP","330",,,"2012-08-02T00:00:00.000","44169.37","331784.18","Brooklyn","40.694059","-73.985741","302","33","11","3000000","3001420100","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"AMY SCHERBER, INC.","AMY SCHERBER","amy@amysbread.com","2124622038","48-09 34th St.","Long Island City","NY","11101","Manufacturing","WHOLESALE BAKERY","ECSP","130",,,"2013-01-07T00:00:00.000","33292.12","219841.25","Queens","40.740357","-73.93158","402","26","199","4003452","4002540036","Hunters Point-Sunnyside-West Maspeth"
"ANHEUSER BUSH","ED FITZMAURICE","steve.hunter@anhuser-busch.com","7183495805","500 Food Center Drive","Bronx","NY","10456","Wholesale/Warehouse/Distribution","Dist. of beers and ales","ECSP","294",,,"2009-07-06T00:00:00.000","44334.30","861679.67","Bronx","40.805781","-73.871164","202","17","117",,,"Hunts Point"
"Apex Logistics International (JFK), Inc","Sheik  Ahamad","sheika@apexglobe.com","5166402851","145-68 228th St, Unit 3","Queens","NY","11413","Wholesale/Warehouse/Distribution","Freight forwarding and warehousing","ECSP","9",,,"2015-06-16T00:00:00.000","4968.04","26925.20","Queens","40.660713","-73.752361","413","31","690","4612085","4134750016","Springfield Gardens South-Brookville"
"Apple Bank for Savings","Mitchell W Jocobs","mjacobs@apple-bank.com","2122246486","122 East 42nd St, 9th Fl","New York","NY","10168","Commercial","BSA Unit","ECSP","62",,,"2018-10-03T00:00:00.000","4840.28","8529.21","New York","40.751601","-73.97645","105","4","80","1036152","1012960014","Murray Hill-Kips Bay"
"Approved Oil Co. of Brooklyn, Inc.","Vincent Theures","vincenttheures@approvedoil.com","7182381050","202-224 64th Street","Brooklyn","NY","11220","Commercial","Dist. of Heating Oil","ECSP","140",,,"2010-10-14T00:00:00.000","2691.22","23570.39","Brooklyn","40.641028","-74.024841","307","38","22","3144127","3058160006","Sunset Park West"
"APTHORP CLEANERS, INC.","Debra Kravet","apthorpcleaners@gmail.com","7188661240","882 EAST 149TH STREET","BRONX","NY","10455","Commercial","Dry cleaner for drop stores","ECSP","21",,,"2007-12-03T00:00:00.000","2297.44","96501.05","Bronx","40.81097","-73.903312","201","8","31","2004102","2026000206","Mott Haven-Port Morris"
"Arista Coffee, Inc.","Stephen Vouvoudakis","tom@aristacoffee.com","3474086012","59-01 55th Street","Maspeth","NY","11318","Commercial","Company is a roaster of coffee beans","ECSP","40",,,"2016-10-28T00:00:00.000","12209.80","41763.52","Queens","40.716759","-73.913146","405","30","535","4059082","4026300001","Maspeth"
"Armada New York LLC","Cory Watson","cory@armadany.com","2677335445","141 Flushing Ave, Bldg 77, Unit 404","Brooklyn","NY","11205","Manufacturing","wood furniture","ECSP","10",,,"2019-05-20T00:00:00.000","4385.80","7810.11","Brooklyn","40.697863","-73.971138","302","33","543","3335143","3020230001","park-cemetery-etc-Brooklyn"
"ARROW LINEN SUPPLY CO.","Frank Park","FPark@arrowlinen.com","7187882000","467 PROSPECT AVENUE","Brooklyn","NY","11215","Commercial","IND. COMM. LAUNDRY SRVC.","ECSP","175",,,"2012-05-11T00:00:00.000","78573.32","627202.14","Brooklyn","40.65943","-73.982725","307","39","169","3330617","3011130061","Windsor Terrace"
"Asymptote Architecture, PLLC","Lise Anne Couture","admin@asymptote.net","2123437333","1145-46 AVE","Queens","NY","11101","Manufacturing","Architectural design","ECSP","57",,,"2009-04-08T00:00:00.000","3425.82","105697.92","Queens",,,,,,,,
"B. Thayer Associates","Barbara  Thayer","bthayer@bthayerassociates.com","7189423320","37-18 Northern Blvd","Long Island City","NY","11101","Other","Landscape Architect","ECSP","4",,,"2015-01-02T00:00:00.000","1244.62","6519.95","Queens","40.752096","-73.925887","401","26","171","4003103","4002140040","Hunters Point-Sunnyside-West Maspeth"
"B.C.S. International Corporation","Dae Hyun  Yoo","david@bcsroyal.com","7183923355","47-15 33rd St","Queens","NY","11101","Wholesale/Warehouse/Distribution","Groceries","ECSP","12",,,"2007-12-06T00:00:00.000","4462.17","317144.12","Queens","40.742197","-73.932167","402","26","199","4311535","4002510015","Hunters Point-Sunnyside-West Maspeth"
"B.P. AIR CONDITIONING CORP/","Bill  Chrietzberg","bchrietzberg@bpair.com","2127320606","84-00 73RD ST.","QUEENS","NY","11385","Commercial","distributor HVAC systems","ECSP","112",,,"2009-04-21T00:00:00.000","9524.45","249267.21","Queens",,,,,,,,
"BACO ENTERPRISES, INC.","BARRY COHEN","eric@blindbuildersusa.com","7185896225","1190 LONGWOOD AVENUE","BRONX","NY","10474","Manufacturing","MFG. STEEL PRODUCTS","ECSP","106",,,"2019-12-04T00:00:00.000","6425.63","10434.16","Bronx","40.813344","-73.891232","202","17","93","2006590","2027650056","Hunts Point"
"BALDOR SPECIALTY FOOD","Eileen Manitsas","eileen@baldorfood.com","7183044507","155 Food Center Drive","Bronx","NY","10474","Wholesale/Warehouse/Distribution","DST OF FRUITS & VEGGIES","ECSP","579",,,"2008-12-03T00:00:00.000","132446.92","1776963.94","Bronx","40.809733","-73.872648","202","17","117","2101319","2027810500","Hunts Point"
"BANNER SMOKED FISH, INC.","Alan  Levitz","alanlevitz@gmail.com","7184491400","2715 WEST 15TH STREET","Brooklyn","NY","11224","Manufacturing","PROCESSOR FISH PRODUCTS","ECSP","41",,,"2010-12-28T00:00:00.000","37985.16","420333.89","Brooklyn","40.581105","-73.983443","313","47","348","3329317","3069970042","Seagate-Coney Island"
"BARK FRAMEWORKS, INC.","Jared  Bark","jbark@barkframeworks.com","7187521919","21-24 44TH AVENUE","Queens","NY","11101","Manufacturing","MFG. (WOOD PRODUCTS)","ECSP","53",,,"2015-06-08T00:00:00.000","18951.44","103539.43","Queens","40.74942","-73.946282","402","26","19","4005191","4004390027","Hunters Point-Sunnyside-West Maspeth"
"BARONE STEEL FABRICATORS, INC.","NICK BARONE","nbarone@baronesteel.com","7188324705","128 44th Street","BROOKLYN","NY","11232","Manufacturing","Fabricator and erector of structural steel","ECSP","57",,,"2008-02-12T00:00:00.000","3283.98","167921.50","Brooklyn","40.65331","-74.014866","307","38","18","3320138","3007350050","Sunset Park West"
"Barry X. Ball Studio, Inc.","Barry Ball","lilla@barryxball.com","7187822319","193 Banker Street","Brooklyn","NY","11222","Manufacturing",,"ECSP","15",,,"2018-08-01T00:00:00.000","19006.75","29709.76","Brooklyn","40.725029","-73.955523","301","33","561","3065495","3026160045","Greenpoint"
"BCGA Concept Corporation","Terry Tang","terry@bcga.com","2124880661","465 Johnson Avenue","Brooklyn","NY","11237","Manufacturing","beverage mfg and bottling","ECSP","33",,,"2019-12-05T00:00:00.000","15081.15","36814.35","Brooklyn","40.708212","-73.929482","301","34","449","3331486","3029740159","East Williamsburg"
"Belmont Metals","Jeffrey Behrendt","jbehrendt@belomtmetals.com","7183424900","330 Belmont Avenue","Brooklyn","NY","11207","Manufacturing","Non-Ferrous metals and alloy manufacturer","ECSP","85",,,"2008-10-20T00:00:00.000","30990.92","850478.53","Brooklyn","40.670294","-73.897731","305","42","1156","3326970","3037520002","East New York (Pennsylvania Ave)"
"BENSON MILLS, INC.","GABE LEVY","gabe@bensonmills.com","7185321401","140 58TH ST. BLDG. A UNIT 7J","Brooklyn","NY","11220","Manufacturing","MANUFACTURING","ECSP","15",,,"2009-10-02T00:00:00.000","1152.62","31675.14","Brooklyn","40.645338","-74.022864","307","38","18","3414976","3057780001","Sunset Park West"
"Bermuda Motor Car Renting Co.","Robert A. Verdi","peter@bermudalimo.com","2122432591","21-30 44th Road","Long Island City","NY","11101","Commercial","Back Office","ECSP","90",,,"2012-06-08T00:00:00.000","4879.42","39328.71","Queens","40.748624","-73.945972","402","26","19","4005184","4004380026","Hunters Point-Sunnyside-West Maspeth"
"BEST CASE & ACCESSORIES, INC.","MURRAY DANA","MDANA@BESTCASECELLULAR.COM","8003468746","140 58TH STREET","Brooklyn","NY","11220","Wholesale/Warehouse/Distribution","DISB. CELLULAR PHONES","ECSP","20",,,"2015-05-15T00:00:00.000","4717.77","30851.48","Brooklyn","40.645338","-74.022864","307","38","18","3414976","3057780001","Sunset Park West"
"Best Choice Trading Corp","Lee Fung Fong","bestchoiceseafood@yahoo.com","7183662999","146 Stewart Avenue","Brooklyn","NY","11237","Wholesale/Warehouse/Distribution","Fresh, cured, or frozen fish and seafood","ECSP","24",,,"2010-03-09T00:00:00.000","18965.75","304143.90","Brooklyn","40.711043","-73.926734","301","34","449","3258604","3029640044","East Williamsburg"
"Best Mounting Corp.","Amir Rotlevi","anrotlevi@bestmounting.com","9178423783","130-11 Atlantic Avenue","Jamaica","NY","11418","Manufacturing","Mfg. of switchgears","ECSP","3",,,"2010-09-28T00:00:00.000","7906.48","52121.66","Queens","40.695926","-73.818689","409","28","14202","4196970","4093750285","Richmond Hill"
"Bestec Concept, Inc.","Peter Kim","maxivision@msn.com","7189375848","140 58th Street, Bldg B #8D","Brookln","NY","11220","Manufacturing","Dress uniforms","ECSP","140",,,"2016-09-01T00:00:00.000","22853.53","89502.63","Brooklyn","40.645338","-74.022864","307","38","18","3414976","3057780001","Sunset Park West"
"Bigheavy Studios","Andrew Barnes","andrew@bigheavystudios.com","3472953222","1102 Atlantic Avenue","Brooklyn","NY","11238","Manufacturing","Manufacturer of visual displays for store windows","ECSP","8",,,"2016-03-15T00:00:00.000","978.13","3684.20","Brooklyn","40.679518","-73.956819","308","35","305","3027572","3011260029","Crown Heights North"
"BILLIE-ANN PLASTICS PKGING CORP","Bill  Rubinstein","billieannplastics.com","7184975555","360 AND 372 TROUTMAN STREET","Brooklyn","NY","11237","Manufacturing","Plastic moldings","ECSP","21",,,"2007-09-28T00:00:00.000","738.83","101981.15","Brooklyn",,,,,,,,
"BIMMY'S LLC","ELLIOT FREAD","elliot@bimmys.com","7183613144","47-00 33rd Street","Long Island City","NY","11101","Manufacturing","MANUFACTURER","ECSP","192",,,"2017-03-09T00:00:00.000","31803.62","96057.08","Queens","40.742386","-73.932148","402","26","199","4003447","4002520018","Hunters Point-Sunnyside-West Maspeth"
"Birns Telecommunication, Inc.","Sol Birnbaum",,"2123257304","925-931 McDonald Avenue","Brooklyn","NY","11218","Commercial","Telecommunication system","ECSP","36",,,"2011-12-07T00:00:00.000","15107.27","117757.83","Brooklyn","40.631548","-73.977306","314","44","478","3127550","3054080059","Borough Park"
"Bjork Carle Woodworking, Inc.","Deirdre   Jones Bjork","bjorkcarle@earthlink.net","7184842347","1102 Atlantic Avenue, Unit 1A","Brooklyn","NY","11238","Manufacturing","cabinetry and architectural milwork","ECSP","6",,,"2016-04-25T00:00:00.000","4232.34","22690.93","Brooklyn","40.679518","-73.956819","308","35","305","3027572","3011260029","Crown Heights North"
"Blumberg Excelsior, Inc.","Robert Blumberg","RB@blumb.com","2124315000","16 Court Street","Brooklyn","NY","11241","Manufacturing","Print & distribute legal form, supplies, form LLCs, etc","ECSP","48",,,"2013-07-08T00:00:00.000","13202.43","81968.29","Brooklyn","40.693445","-73.990577","302","33","9","3002108","3002500044","Brooklyn Heights-Cobble Hill"
"Bo Bo Poultry Market, Inc.","Anita Lee","bobopoultry@gmail.com","7184170016","1311 Grand Street","Brooklyn","NY","11211","Manufacturing","Manufacture of poultry products and poultry processing plant","ECSP","32",,,"2013-02-01T00:00:00.000","29983.97","210971.06","Brooklyn","40.715927","-73.924917","301","34","449",,,"East Williamsburg"
"BoyceTechnologies, Inc.","Charles Boyce","nmenon@boycetech.com","718685252","47-22 Pearson Place","Long Island City","NY","11101","Manufacturing","Life Saving Communication Devices","ECSP","73",,,"2017-03-09T00:00:00.000","90699.74","273099.33","Queens","40.742724","-73.942538","402","26","1","4000743","4000990010","Hunters Point-Sunnyside-West Maspeth"
"Breuckelen Distilling Co., Inc.","Bradford Estabrooke","info@brkdistilling.com","3477254985","75-77 19th St, 1A First Floor","Brooklyn","NY","11232","Manufacturing","Distiller of Spirits","ECSP","1",,,"2010-03-16T00:00:00.000","1242.38","27719.74","Brooklyn","40.665937","-73.997971","307","38","18","3336793","3006320004","Sunset Park West"
"BRIDGE PLAZA ASSOCIATES LLC","GARY KESNER","gkesner@silvercupstudios.com","7187843390","21-21 43RD AVE.","QUEENS","NY","11101","Manufacturing","Film Studio","ECSP","51",,,"2019-02-06T00:00:00.000","20274.39","25201.79","Queens","40.750158","-73.944653","402","26","19","4005071","4004270011","Hunters Point-Sunnyside-West Maspeth"
