"development","tds","building","borough","house","street","address","city","state","zip_code","bin","block","lot","borough_block_lot","census_tract_2010","neighborhood_tabulation_area","neighborhood_tabulation_area_1","community_district","city_council_district","state_assembly_district","state_senate_district","us_congressional_district","latitude","longitude"
"ADAMS","118","7","BRONX","815","EAST 152ND STREET","815 EAST 152ND STREET","BRONX","NY","10455","2091989","2665","1","2026650001","79","BX34","Melrose South-Mott Haven North","1","17","84","29","15","40.8155647261195","-73.9047541032249"
"ALBANY","31","1","BROOKLYN","180","TROY AVENUE","180 TROY AVENUE","BROOKLYN","NY","11213","3324615","1352","80","3013520080","343","BK61","Crown Heights North","8","36","56","25","9","40.673284989107","-73.9366065164134"
"ALBANY","31","2","BROOKLYN","1191","PARK PLACE","1191 PARK PLACE","BROOKLYN","NY","11213","3324614","1352","80","3013520080","343","BK61","Crown Heights North","8","36","56","25","9","40.6729151765196","-73.9376833037005"
"ALBANY","31","3","BROOKLYN","205","ALBANY AVENUE","205 ALBANY AVENUE","BROOKLYN","NY","11213","3324613","1352","80","3013520080","343","BK61","Crown Heights North","8","36","56","25","9","40.6733901057667","-73.9386875840905"
"ALBANY","31","4","BROOKLYN","193","ALBANY AVENUE","193 ALBANY AVENUE","BROOKLYN","NY","11213","3324612","1352","80","3013520080","343","BK61","Crown Heights North","8","36","56","25","9","40.673981923661","-73.9386321672676"
"ALBANY","31","5","BROOKLYN","1008","SAINT MARKS AVENUE","1008 SAINT MARKS AVENUE","BROOKLYN","NY","11213","3324616","1352","80","3013520080","343","BK61","Crown Heights North","8","36","56","25","9","40.6743471738462","-73.9375499848183"
"ALBANY","31","6","BROOKLYN","162","TROY AVENUE","162 TROY AVENUE","BROOKLYN","NY","11213","3324617","1352","80","3013520080","343","BK61","Crown Heights North","8","36","56","25","9","40.6738676035482","-73.9365460147708"
"ALBANY II","85","7","BROOKLYN","1400","BERGEN STREET","1400 BERGEN STREET","BROOKLYN","NY","11213","3324611","1352","1","3013520001","343","BK61","Crown Heights North","8","36","56","25","9","40.6750956166958","-73.9381508647761"
"ALBANY II","85","8","BROOKLYN","1414","BERGEN STREET","1414 BERGEN STREET","BROOKLYN","NY","11213","3324609","1352","1","3013520001","343","BK61","Crown Heights North","8","36","56","25","9","40.6750191105007","-73.9374939048228"
"ALBANY II","85","9","BROOKLYN","1430","BERGEN STREET","1430 BERGEN STREET","BROOKLYN","NY","11213","3324610","1352","1","3013520001","343","BK61","Crown Heights North","8","36","56","25","9","40.6750231707439","-73.9368258324241"
"AMSTERDAM","22","1","MANHATTAN","40","AMSTERDAM AVENUE","40 AMSTERDAM AVENUE","NEW YORK","NY","10023","1081771","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.771974058902","-73.9868957773471"
"AMSTERDAM","22","1","MANHATTAN","50","AMSTERDAM AVENUE","50 AMSTERDAM AVENUE","NEW YORK","NY","10023","1081771","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.772157960425","-73.9867061301354"
"AMSTERDAM","22","2","MANHATTAN","60","AMSTERDAM AVENUE","60 AMSTERDAM AVENUE","NEW YORK","NY","10023","1082575","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7726055457248","-73.9864602082401"
"AMSTERDAM","22","2","MANHATTAN","70","AMSTERDAM AVENUE","70 AMSTERDAM AVENUE","NEW YORK","NY","10023","1082575","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7727931257525","-73.9862763033274"
"AMSTERDAM","22","3","MANHATTAN","80","AMSTERDAM AVENUE","80 AMSTERDAM AVENUE","NEW YORK","NY","10023","1082576","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.773234470772","-73.9860028741829"
"AMSTERDAM","22","3","MANHATTAN","90","AMSTERDAM AVENUE","90 AMSTERDAM AVENUE","NEW YORK","NY","10023","1082576","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7734146929436","-73.9858189678118"
"AMSTERDAM","22","4","MANHATTAN","216","WEST 62ND STREET","216 WEST 62ND STREET","NEW YORK","NY","10023","1082577","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7727590946562","-73.987133135988"
"AMSTERDAM","22","5","MANHATTAN","217","WEST 62ND STREET","217 WEST 62ND STREET","NEW YORK","NY","10023","1082578","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7729744915159","-73.9869742298043"
"AMSTERDAM","22","5","MANHATTAN","216","WEST 63RD STREET","216 WEST 63RD STREET","NEW YORK","NY","10023","1082578","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.77324667418","-73.986770953511"
"AMSTERDAM","22","6","MANHATTAN","217","WEST 63RD STREET","217 WEST 63RD STREET","NEW YORK","NY","10023","1082579","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7733933762295","-73.9866635250483"
"AMSTERDAM","22","6","MANHATTAN","210","WEST 64TH STREET","210 WEST 64TH STREET","NEW YORK","NY","10023","1082579","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7736324474473","-73.9864118674577"
"AMSTERDAM","22","6","MANHATTAN","216","WEST 64TH STREET","216 WEST 64TH STREET","NEW YORK","NY","10023","1082579","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7738678634549","-73.9863682713873"
"AMSTERDAM","22","7","MANHATTAN","228","WEST 62ND STREET","228 WEST 62ND STREET","NEW YORK","NY","10023","1082580","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.773016370351","-73.9876031820327"
"AMSTERDAM","22","8","MANHATTAN","229","WEST 62ND STREET","229 WEST 62ND STREET","NEW YORK","NY","10023","1082581","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7731490941777","-73.9874994742281"
"AMSTERDAM","22","8","MANHATTAN","228","WEST 63RD STREET","228 WEST 63RD STREET","NEW YORK","NY","10023","1082581","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7734470271069","-73.987291355865"
"AMSTERDAM","22","9","MANHATTAN","242","WEST 62ND STREET","242 WEST 62ND STREET","NEW YORK","NY","10023","1082583","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7732326273255","-73.988110152189"
"AMSTERDAM","22","10","MANHATTAN","241","WEST 62ND STREET","241 WEST 62ND STREET","NEW YORK","NY","10023","1082582","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7733657808643","-73.9880210690687"
"AMSTERDAM","22","10","MANHATTAN","242","WEST 63RD STREET","242 WEST 63RD STREET","NEW YORK","NY","10023","1082582","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7736600336103","-73.9877887591009"
"AMSTERDAM","22","11","MANHATTAN","249","WEST 61ST STREET","249 WEST 61ST STREET","NEW YORK","NY","10023","1082584","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7727934211922","-73.9891193515327"
"AMSTERDAM","22","11","MANHATTAN","250","WEST 61ST DRIVE","250 WEST 61ST DRIVE","NEW YORK","NY","10023","1082584","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7730619300242","-73.9889257626589"
"AMSTERDAM","22","12","MANHATTAN","247","WEST 61ST DRIVE","247 WEST 61ST DRIVE","NEW YORK","NY","10023","1082585","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7731680270531","-73.9887745461808"
"AMSTERDAM","22","12","MANHATTAN","248","WEST 62ND STREET","248 WEST 62ND STREET","NEW YORK","NY","10023","1082585","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.7734365352906","-73.9885809548277"
"AMSTERDAM","22","13","MANHATTAN","249","WEST 62ND STREET","249 WEST 62ND STREET","NEW YORK","NY","10023","1082586","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.773603427033","-73.9885240157272"
"AMSTERDAM","22","13","MANHATTAN","250","WEST 63RD STREET","250 WEST 63RD STREET","NEW YORK","NY","10023","1082586","1154","101","1011540101","151","MN14","Lincoln Square","7","6","67","31","10","40.773875613386","-73.9883304214535"
"AMSTERDAM ADDITION","187","1","MANHATTAN","240","WEST 65TH STREET","240 WEST 65TH STREET","NEW YORK","NY","10023","1030340","1156","20","1011560020","151","MN14","Lincoln Square","7","6","67","31","10","40.7748423318432","-73.9868736210036"
"ASTORIA","26","1","QUEENS","43942","ASTORIA BOULEVARD","4-21 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430788","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.773119353785","-73.9330095352537"
"ASTORIA","26","2","QUEENS","28-02","8TH STREET","28-02 8TH STREET","ASTORIA","NY","11102","4430778","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7734401362978","-73.9326755978597"
"ASTORIA","26","3","QUEENS","27-10","8TH STREET","27-10 8TH STREET","ASTORIA","NY","11102","4430777","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7739283211622","-73.9324334174097"
"ASTORIA","26","4","QUEENS","4-10","27TH AVENUE","4-10 27TH AVENUE","ASTORIA","NY","11102","4430782","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7741657413718","-73.9330782102657"
"ASTORIA","26","5","QUEENS","4-03","ASTORIA BOULEVARD","4-03 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430787","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7734195814161","-73.9338651342169"
"ASTORIA","26","6","QUEENS","3-20","27TH AVENUE","3-20 27TH AVENUE","ASTORIA","NY","11102","4430781","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7741095039989","-73.9339693762371"
"ASTORIA","26","7","QUEENS","3-04","27TH AVENUE","3-04 27TH AVENUE","ASTORIA","NY","11102","4430780","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7745779814886","-73.9343298879265"
"ASTORIA","26","8","QUEENS","2-10","27TH AVENUE","2-10 27TH AVENUE","ASTORIA","NY","11102","4430779","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7744442204616","-73.9350889876803"
"ASTORIA","26","9","QUEENS","1-25","ASTORIA BOULEVARD","1-25 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430786","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.773963464985","-73.9357406653971"
"ASTORIA","26","10","QUEENS","27-05","1ST STREET","27-05 1ST STREET","ASTORIA","NY","11102","4430783","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7751190148222","-73.9359868136737"
"ASTORIA","26","11","QUEENS","27-25","1ST STREET","27-25 1ST STREET","ASTORIA","NY","11102","4430784","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7747928197575","-73.936164471545"
"ASTORIA","26","12","QUEENS","1-05","ASTORIA BOULEVARD","1-05 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430785","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7740887216992","-73.936508021557"
"ASTORIA","26","13","QUEENS","4-24","ASTORIA BOULEVARD","4-24 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430799","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7726458658895","-73.9330937266517"
"ASTORIA","26","15","QUEENS","3-02","ASTORIA BOULEVARD","3-02 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430796","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.773044551875","-73.9347501794208"
"ASTORIA","26","16","QUEENS","3-06","ASTORIA BOULEVARD","3-06 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430797","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7725971423178","-73.9348792066908"
"ASTORIA","26","17","QUEENS","3-10","ASTORIA BOULEVARD","3-10 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430798","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.772135147106","-73.9350417168434"
"ASTORIA","26","18","QUEENS","2-10","ASTORIA BOULEVARD","2-10 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430795","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7724518887568","-73.9361265406547"
"ASTORIA","26","19","QUEENS","2-06","ASTORIA BOULEVARD","2-06 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430793","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7728644524625","-73.9358169494797"
"ASTORIA","26","20","QUEENS","2-04","ASTORIA BOULEVARD","2-04 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430792","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.773255135679","-73.9355023367158"
"ASTORIA","26","21","QUEENS","1-20","ASTORIA BOULEVARD","1-20 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430791","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7728337633881","-73.9368043520446"
"ASTORIA","26","22","QUEENS","1-10","ASTORIA BOULEVARD","1-10 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430790","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7732156723818","-73.9371240582242"
"ASTORIA","26","23","QUEENS","1-04","ASTORIA BOULEVARD","1-04 ASTORIA BOULEVARD","ASTORIA","NY","11102","4430789","490","101","4004900101","87","QN71","Old Astoria","1","22","37","12","12","40.7736941876291","-73.9372455794814"
"ATLANTIC TERMINAL SITE 4B","256","1","BROOKLYN","487","CARLTON AVENUE","487 CARLTON AVENUE","BROOKLYN","NY","11238","3057520","2007","1","3020070001","179","BK68","Fort Greene","2","35","57","25","8","40.6829912064431","-73.9702356565683"
"AUDUBON","125","1","MANHATTAN","1909","AMSTERDAM AVENUE","1909 AMSTERDAM AVENUE","NEW YORK","NY","10032","1061681","2068","46","1020680046","23501","MN04","Hamilton Heights","9","7","71","30","13","40.8311196845247","-73.9430356003667"
"BAILEY AVENUE-WEST 193RD STREET","202","1","BRONX","2663","HEATH AVENUE","2663 HEATH AVENUE","BRONX","NY","10463","2092440","3239","4","2032390004","269","BX30","Kingsbridge Heights","7","14","86","33","13","40.8702683562971","-73.9063281311958"
"BAISLEY PARK","91","1","QUEENS","164-01","FOCH BOULEVARD","164-01 FOCH BOULEVARD","JAMAICA","NY","11434","4435294","12335","44","4123350044","278","QN76","Baisley Park","12","28","32","14","5","40.6849414667049","-73.782305404418"
"BAISLEY PARK","91","2","QUEENS","163-11","FOCH BOULEVARD","163-11 FOCH BOULEVARD","JAMAICA","NY","11434","4435293","12335","44","4123350044","278","QN76","Baisley Park","12","28","32","14","5","40.6848197203693","-73.7828152728814"
"BAISLEY PARK","91","3","QUEENS","116-80","GUY BREWER BOULEVARD","116-80 GUY BREWER BOULEVARD","JAMAICA","NY","11434","4435282","12235","22","4122350022","278","QN76","Baisley Park","12","28","32","10","5","40.6845215286736","-73.7836695430867"
"BAISLEY PARK","91","4","QUEENS","116-40","GUY BREWER BOULEVARD","116-40 GUY BREWER BOULEVARD","JAMAICA","NY","11434","4435280","12235","22","4122350022","278","QN76","Baisley Park","12","28","32","10","5","40.6853500243736","-73.7841470390425"
"BAISLEY PARK","91","5","QUEENS","116-30","GUY BREWER BOULEVARD","116-30 GUY BREWER BOULEVARD","JAMAICA","NY","11434","4529903","12235","22","4122350022","278","QN76","Baisley Park","12","28","32","10","5","40.685827817771","-73.7845266698237"
"BARUCH","60","1","MANHATTAN","605","FDR DRIVE","605 FDR DRIVE","NEW YORK","NY","10002","1078027","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7182430408996","-73.975402908457"
"BARUCH","60","1","MANHATTAN","595","FDR DRIVE","595 FDR DRIVE","NEW YORK","NY","10002","1078027","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7180683200015","-73.9754392317962"
"BARUCH","60","2","MANHATTAN","577","FDR DRIVE","577 FDR DRIVE","NEW YORK","NY","10002","1078028","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7174442527032","-73.9759106958717"
"BARUCH","60","2","MANHATTAN","571","FDR DRIVE","571 FDR DRIVE","NEW YORK","NY","10002","1078028","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7172878992285","-73.9758261470035"
"BARUCH","60","3","MANHATTAN","555","FDR DRIVE","555 FDR DRIVE","NEW YORK","NY","10002","1078029","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.716804635518","-73.9762304832416"
"BARUCH","60","3","MANHATTAN","549","FDR DRIVE","549 FDR DRIVE","NEW YORK","NY","10002","1078029","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7166436805026","-73.9761278070402"
"BARUCH","60","4","MANHATTAN","525","FDR DRIVE","525 FDR DRIVE","NEW YORK","NY","10002","1078030","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7159179900428","-73.9766685474715"
"BARUCH","60","4","MANHATTAN","521","FDR DRIVE","521 FDR DRIVE","NEW YORK","NY","10002","1078030","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7157524386238","-73.9765719161274"
"BARUCH","60","5","MANHATTAN","64","BARUCH DRIVE","64 BARUCH DRIVE","NEW YORK","NY","10002","1078031","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.716391143906","-73.9774763342272"
"BARUCH","60","5","MANHATTAN","60","BARUCH DRIVE","60 BARUCH DRIVE","NEW YORK","NY","10002","1078031","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7161842232737","-73.9774461892916"
"BARUCH","60","6","MANHATTAN","308","DELANCEY STREET","308 DELANCEY STREET","NEW YORK","NY","10002","1083421","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7162764069284","-73.9781904909203"
"BARUCH","60","6","MANHATTAN","312","DELANCEY STREET","312 DELANCEY STREET","NEW YORK","NY","10002","1083421","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.716106281967","-73.9782207614135"
"BARUCH","60","7","MANHATTAN","72","BARUCH DRIVE","72 BARUCH DRIVE","NEW YORK","NY","10002","1078032","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7172266362973","-73.9780402821056"
"BARUCH","60","7","MANHATTAN","70","BARUCH DRIVE","70 BARUCH DRIVE","NEW YORK","NY","10002","1078032","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7170748800714","-73.977943640892"
"BARUCH","60","8","MANHATTAN","90","BARUCH DRIVE","90 BARUCH DRIVE","NEW YORK","NY","10002","1078033","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7179186514213","-73.9774036223878"
"BARUCH","60","8","MANHATTAN","80","BARUCH DRIVE","80 BARUCH DRIVE","NEW YORK","NY","10002","1078033","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7177577010491","-73.9773190709805"
"BARUCH","60","9","MANHATTAN","120","BARUCH DRIVE","120 BARUCH DRIVE","NEW YORK","NY","10002","1078034","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7188282611084","-73.9771032447365"
"BARUCH","60","9","MANHATTAN","110","BARUCH DRIVE","110 BARUCH DRIVE","NEW YORK","NY","10002","1078034","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7186627332937","-73.9771274743899"
"BARUCH","60","10","MANHATTAN","105","BARUCH DRIVE","105 BARUCH DRIVE","NEW YORK","NY","10002","1078035","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7186542199522","-73.9778228898787"
"BARUCH","60","10","MANHATTAN","95","BARUCH DRIVE","95 BARUCH DRIVE","NEW YORK","NY","10002","1078035","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7184840948793","-73.9778471192095"
"BARUCH","60","11","MANHATTAN","79","BARUCH DRIVE","79 BARUCH DRIVE","NEW YORK","NY","10002","1078036","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7177652124095","-73.9784739840157"
"BARUCH","60","11","MANHATTAN","75","BARUCH DRIVE","75 BARUCH DRIVE","NEW YORK","NY","10002","1078036","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7175950826623","-73.9784740389627"
"BARUCH","60","12","MANHATTAN","296","DELANCEY STREET","296 DELANCEY STREET","NEW YORK","NY","10002","1078037","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7168558753309","-73.9787101654729"
"BARUCH","60","12","MANHATTAN","298","DELANCEY STREET","298 DELANCEY STREET","NEW YORK","NY","10002","1078037","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7167409258688","-73.9787283312581"
"BARUCH","60","13","MANHATTAN","288","DELANCEY STREET","288 DELANCEY STREET","NEW YORK","NY","10002","1078038","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7165995943127","-73.9794517066471"
"BARUCH","60","13","MANHATTAN","292","DELANCEY STREET","292 DELANCEY STREET","NEW YORK","NY","10002","1078038","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7164294571608","-73.9794154999501"
"BARUCH","60","14","MANHATTAN","60","COLUMBIA STREET","60 COLUMBIA STREET","NEW YORK","NY","10002","1078039","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.716864363381","-73.9800881732974"
"BARUCH","60","14","MANHATTAN","50","COLUMBIA STREET","50 COLUMBIA STREET","NEW YORK","NY","10002","1078039","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.716712629809","-73.9801123907078"
"BARUCH","60","15","MANHATTAN","90","COLUMBIA STREET","90 COLUMBIA STREET","NEW YORK","NY","10002","1078040","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7181868611451","-73.9793203035927"
"BARUCH","60","15","MANHATTAN","80","COLUMBIA STREET","80 COLUMBIA STREET","NEW YORK","NY","10002","1078040","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.718035123422","-73.9793203506732"
"BARUCH","60","16","MANHATTAN","120","COLUMBIA STREET","120 COLUMBIA STREET","NEW YORK","NY","10002","1078041","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.718856639266","-73.9789550505894"
"BARUCH","60","16","MANHATTAN","110","COLUMBIA STREET","110 COLUMBIA STREET","NEW YORK","NY","10002","1078041","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7187048882775","-73.9788825777307"
"BARUCH","60","17","MANHATTAN","140","COLUMBIA STREET","140 COLUMBIA STREET","NEW YORK","NY","10002","1078042","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7193320233042","-73.9787073541654"
"BARUCH","60","17","MANHATTAN","130","COLUMBIA STREET","130 COLUMBIA STREET","NEW YORK","NY","10002","1078042","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7191894636871","-73.9786107054288"
"BARUCH HOUSES ADDITION","198","18","MANHATTAN","72","COLUMBIA STREET","72 COLUMBIA STREET","NEW YORK","NY","10002","1078043","323","1","1003230001","1002","MN28","Lower East Side","3","2","74","26","7","40.7170773996465","-73.9792112941287"
"BAY VIEW","92","1","BROOKLYN","2045","ROCKAWAY PARKWAY","2045 ROCKAWAY PARKWAY","BROOKLYN","NY","11236","3331421","8329","225","3083290225","1034","BK50","Canarsie","18","46","59","19","8","40.633382859274","-73.8883010687994"
"BAY VIEW","92","2","BROOKLYN","2055","ROCKAWAY PARKWAY","2055 ROCKAWAY PARKWAY","BROOKLYN","NY","11236","3331422","8329","225","3083290225","1034","BK50","Canarsie","18","46","59","19","8","40.63372754984","-73.8875954577444"
"BAY VIEW","92","3","BROOKLYN","9910","SEAVIEW AVENUE","9910 SEAVIEW AVENUE","BROOKLYN","NY","11236","3331425","8329","225","3083290225","1034","BK50","Canarsie","18","46","59","19","8","40.6343178538384","-73.8869668499415"
