"sr","request_date","site_street_address","borocode","community_board","block","lot","violation","permit","homeowner_contractor","attempt","violation_issue_date","assigned_date","inspection_date","pass_fail","reason_for_failure","car_needed_y_n","date_results_are_mailed","expedited","vdd","postcode","borough","latitude","longitude","council_district","census_tract","bin","bbl","nta"
"phone call","2019-09-09T00:00:00.000","10309 89TH ST.","4","10","9109","33","89461","Q042019249A03","C","1","2019-03-05T00:00:00.000","2019-09-23T00:00:00.000","2019-10-01T00:00:00.000","Fail – 4+ Family/Commercial","1,3","false","2019-10-16T00:00:00.000","true",,"11417","QUEENS","40.68068","-73.850073","32","54","4189474","4091090033","Ozone Park"
"email","2019-09-09T00:00:00.000","4609 AVENUE L.","3","18","7826","6","90014","B042019182A21","H","1","2017-08-15T00:00:00.000","2019-10-02T00:00:00.000","2019-10-02T00:00:00.000","Pass",,"false","2019-10-28T00:00:00.000","true",,"11234","BROOKLYN","40.623342","-73.931052","45","676","3217533","3078260006","Flatlands"
"311-00589915","2019-09-09T00:00:00.000","8508 91ST AVE.","4","9","8979","4","90145","Q042019238A27","H","1","2019-04-24T00:00:00.000","2019-11-14T00:00:00.000","2019-11-14T00:00:00.000","Pass",,"false","2019-11-21T00:00:00.000","false",,"11421","QUEENS","40.687793","-73.857229","32","8","4185979","4089790004","Woodhaven"
"311-00591998","2019-09-09T00:00:00.000","8846 DORAN AVE.","4","5","3853","85","90283","Q042019233A02","C","1","2019-05-03T00:00:00.000","2019-11-14T00:00:00.000","2019-11-20T00:00:00.000","Pass",,"false","2019-12-03T00:00:00.000","false",,"11385","QUEENS","40.709934","-73.863107","30","637","4094271","4038530085","Glendale"
"311-00586770","2019-09-09T00:00:00.000","9860 QUEENS BLVD.","4","6","3086","34","90578","Q042019216A00","C","1","2019-05-21T00:00:00.000","2019-11-14T00:00:00.000","2019-11-20T00:00:00.000","Pass",,"false","2019-12-03T00:00:00.000","false",,"11374","QUEENS","40.727796","-73.855992","29","71306","4072163","4030860034","Forest Hills"
"311-00591736","2019-09-09T00:00:00.000","414 78TH ST.","3","10","5970","14","93049","B042019241A28","C","1","2018-05-07T00:00:00.000","2019-11-23T00:00:00.000","2019-12-06T00:00:00.000","Pass",,"false","2019-12-10T00:00:00.000","false",,"11209","BROOKLYN","40.628292","-74.025362","43","136","3150340","3059700014","Bay Ridge"
"311-00589670","2019-09-09T00:00:00.000","98 VANDERBILT AVE.","3","2","2046","66","94556","B042019247A24","C","1","2018-09-04T00:00:00.000","2019-11-07T00:00:00.000","2019-11-07T00:00:00.000","Pass",,"false","2019-11-29T00:00:00.000","false",,"11205","BROOKLYN","40.694679","-73.970148","35","187","3058161","3020460066","Fort Greene"
"311-00588204","2019-09-09T00:00:00.000","466 HART ST.","3","3","1596","36","95402","B042019247A03","C","2","2018-11-26T00:00:00.000","2019-11-23T00:00:00.000","2019-11-23T00:00:00.000","Pass",,"false","2020-05-07T00:00:00.000","false",,"11221","BROOKLYN","40.69505","-73.932424","36","287","3391303","3015960036","Stuyvesant Heights"
"311-00589812","2019-09-09T00:00:00.000","887 E. NEW YORK AVE.","3","9","1430","18","97418","B042019212A17","C","1","2019-05-14T00:00:00.000","2019-11-26T00:00:00.000","2019-12-10T00:00:00.000","Pass",,"false","2020-02-24T00:00:00.000","false",,"11203","BROOKLYN","40.662651","-73.933365","41","880","3331592","3014300018","Prospect Lefferts Gardens-Wingate"
"311-00587459","2019-09-09T00:00:00.000","503 AVENUE U.","3","15","7108","52","97629","B042019220A33","C","1","2019-05-17T00:00:00.000","2019-11-21T00:00:00.000","2019-11-22T00:00:00.000","Pass",,"false","2019-12-02T00:00:00.000","false",,"11223","BROOKLYN","40.597705","-73.966717","47","394","3191964","3071080052","Homecrest"
"311-00589223","2019-09-09T00:00:00.000","288 SUYDAM ST.","3","4","3220","16","99189","B042019241A25","C","1","2019-08-07T00:00:00.000","2019-10-22T00:00:00.000","2019-10-22T00:00:00.000","Pass",,"false",,"false",,"11237","BROOKLYN","40.702677","-73.923169","34","429","3073212","3032200016","Bushwick North"
"1-1-1615391609","2018-09-09T00:00:00.000","1419 AVENUE H","3","14","6691","75","88801","B042017180A14","C","1","2017-06-14T00:00:00.000","2018-09-24T00:00:00.000","2018-09-27T00:00:00.000","Pass",,"false","2018-10-29T00:00:00.000","false",,"11230","BROOKLYN","40.629936","-73.962619","45","528","3179078","3066910075","Flatbush"
"1-1-1458389155","2017-09-09T00:00:00.000","62-08 81 STREET","4","5","2967","13","58349","Q042017250A24","H","1","2012-01-19T00:00:00.000","2017-10-19T00:00:00.000","2017-10-19T00:00:00.000","Pass",,"false","2018-02-08T00:00:00.000","false","2018-02-08T00:00:00.000","11379","QUEENS","40.723121","-73.876562","30","663","4068292","4029670013","Middle Village"
"1-1-1458617000","2017-09-09T00:00:00.000","211 FOREST ROAD","4","11","8065","68","76289","Q042016305A22","C","1","2016-07-06T00:00:00.000","2017-10-30T00:00:00.000","2017-11-16T00:00:00.000","Pass",,"false","2017-12-04T00:00:00.000","false","2017-12-01T00:00:00.000","11363","QUEENS","40.773055","-73.749181","19","1483","4168497","4080650068","Douglas Manor-Douglaston-Little Neck"
"1-1-1458616863","2017-09-09T00:00:00.000","23-90 24 STREET","4","1","875","1","81984","Q042017244A05","C","1","2017-07-17T00:00:00.000","2017-10-30T00:00:00.000","2017-11-14T00:00:00.000","Fail – 4+ Family/Commercial","DETECTABLE WARNING TILE MISSING - SIGNS OF WEAR & TEAR","false","2017-12-22T00:00:00.000","false","2017-12-22T00:00:00.000","11105","QUEENS","40.775622","-73.919589","22","97","4019228","4008750001","Steinway"
"1-1-1458495836","2017-09-09T00:00:00.000","156-35 91 STREET","4","10","13956","50","82455","Q042017248A21","C","1","2017-07-26T00:00:00.000","2017-10-10T00:00:00.000","2017-10-11T00:00:00.000","Pass",,"false","2017-12-07T00:00:00.000","false","2017-12-07T00:00:00.000","11414","QUEENS","40.663266","-73.842856","32","892","4292449","4139560050","Lindenwood-Howard Beach"
"1-1-1458753838","2017-09-09T00:00:00.000","195 BAY 11 STREET","3","11","6429","25","83555","B042017219A14","H","1","2016-05-13T00:00:00.000","2017-10-30T00:00:00.000","2017-10-31T00:00:00.000","Pass",,"false","2017-11-21T00:00:00.000","false","2017-11-21T00:00:00.000","11228","BROOKLYN","40.606539","-74.012187","43","172","3168359","3064290025","Bath Beach"
"311-00586518","2017-09-09T00:00:00.000","16920 104TH AVE.","4","12","10226","42","90327","Q042019220A07","H","1","2019-05-14T00:00:00.000","2019-10-10T00:00:00.000","2019-10-10T00:00:00.000","Fail – 4+ Family/Commercial","joint sealer","false","2019-11-21T00:00:00.000","false",,"11433","QUEENS","40.702307","-73.78794","27","440","4217845","4102260042","South Jamaica"
"Community Outreach","2016-09-09T00:00:00.000","42 TURF COURT","5","2","2393","192","15913","S042016253A01","H","1","2016-06-06T00:00:00.000","2016-09-14T00:00:00.000","2016-09-14T00:00:00.000","Fail – 4+ Family/Commercial","No Jnt Seal","false","2016-10-07T00:00:00.000","true","2016-12-14T00:00:00.000","10314","STATEN IS","40.584456","-74.15414","50","27704","5039242","5023930192","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"1-1-1302860196","2016-09-09T00:00:00.000","477 MADISON AVENUE","1","5","1287","21","26372","M042016239A08 ; M042016239A09","C","1","2016-06-24T00:00:00.000","2016-10-20T00:00:00.000","2016-10-26T00:00:00.000","Fail – 4+ Family/Commercial","6C, Steel plate on site","false","2016-12-07T00:00:00.000","false",,"10022","MANHATTAN","40.758715","-73.974956","4","102","1035471","1012870021","Midtown-Midtown South"
"1-1-1302873872","2016-09-09T00:00:00.000","312 NEWMAN AVENUE","2","9","3476","13","26574","X042016253A04","H","1","2012-09-05T00:00:00.000","2016-11-02T00:00:00.000","2016-12-10T00:00:00.000","Fail – 4+ Family/Commercial","6C, PARTIALLY REPAIRED SDW","false","2016-12-30T00:00:00.000","false","2017-02-17T00:00:00.000","10473","BRONX","40.812094","-73.854827","18","4","2020547","2034760013","Soundview-Castle Hill-Clason Point-Harding Park"
"1-1-1302873866","2016-09-09T00:00:00.000","2052 ARTHUR AVENUE","2","6","3069","54","27289","X042016253A03","H","1","2013-06-13T00:00:00.000","2016-11-21T00:00:00.000","2016-12-02T00:00:00.000","Pass",,"false","2016-12-30T00:00:00.000","false","2016-12-30T00:00:00.000","10457","BRONX","40.848431","-73.892154","15","373","2011997","2030690054","East Tremont"
"Community Outreach","2016-09-09T00:00:00.000","288 POWERS STREET","3","1","2922","26","30228","B042015243A05","C","2","1999-07-01T00:00:00.000","2016-10-17T00:00:00.000","2016-11-25T00:00:00.000","Pass",,"false","2016-12-01T00:00:00.000","false","2016-12-01T00:00:00.000","11211","BROOKLYN","40.713051","-73.93932","34","481","3070439","3029220026","East Williamsburg"
"1-1-1302324508","2016-09-09T00:00:00.000","61-12 GATES AVENUE","4","5","3612","12","33868","Q042004128009","C","1","2003-10-09T00:00:00.000","2016-10-11T00:00:00.000","2016-10-15T00:00:00.000","Fail – 4+ Family/Commercial","1,3","false","2016-10-26T00:00:00.000","false",,"11385","QUEENS","40.709122","-73.898097","30","61301","4087622","4036120012","Ridgewood"
"Community Outreach","2016-09-09T00:00:00.000","128A NOBLE STREET","3","1","2569","27","59323","B042016130A40","H","1","2010-04-22T00:00:00.000","2016-10-17T00:00:00.000","2016-11-10T00:00:00.000","Pass",,"false","2016-11-14T00:00:00.000","true","2016-11-14T00:00:00.000","11222","BROOKLYN","40.728619","-73.955622","33","561","3064967","3025690027","Greenpoint"
"1-1-1302550458","2016-09-09T00:00:00.000","243 BALTIC STREET","3","6","307","43","67220","B042016250A19","C","1","2011-08-04T00:00:00.000","2016-10-03T00:00:00.000","2016-10-04T00:00:00.000","Pass",,"false","2016-11-04T00:00:00.000","false","2016-11-01T00:00:00.000","11201","BROOKLYN","40.686385","-73.994891","39","45","3003428","3003070043","Carroll Gardens-Columbia Street-Red Hook"
"Community Outreach","2016-09-09T00:00:00.000","409 CORNELIA STREET","3","4","3379","70","69408","B042016228A07","C","1","2012-01-06T00:00:00.000","2016-09-19T00:00:00.000","2016-09-23T00:00:00.000","Pass",,"false","2016-09-30T00:00:00.000","true","2016-09-30T00:00:00.000","11237","BROOKLYN","40.697476","-73.908382","37","439","3077429","3033790070","Bushwick North"
"Community Outreach","2016-09-09T00:00:00.000","103 KENT STREET","3","1","2550","73","71054","B042012290027","C","1","2012-04-11T00:00:00.000","2016-09-19T00:00:00.000","2016-09-23T00:00:00.000","Pass",,"false","2016-09-30T00:00:00.000","true","2016-09-30T00:00:00.000","11222","BROOKLYN","40.7307","-73.956645","33","565","3064601","3025500073","Greenpoint"
"Community Outreach","2016-09-09T00:00:00.000","73-36 197 STREET","4","8","7184","23","72824","Q042015273A69","C","1","2015-08-17T00:00:00.000","2016-10-03T00:00:00.000","2016-10-17T00:00:00.000","Pass",,"false","2016-11-29T00:00:00.000","false","2016-11-29T00:00:00.000","11366","QUEENS","40.735228","-73.774986","23","1333","4154438","4071840023","Fresh Meadows-Utopia"
"Community Outreach","2016-09-09T00:00:00.000","115 OAK STREET","3","1","2569","73","74899","B042014113013","C","1","2013-04-13T00:00:00.000","2016-10-17T00:00:00.000","2016-11-17T00:00:00.000","Pass",,"false","2016-12-15T00:00:00.000","false","2016-12-15T00:00:00.000","11222","BROOKLYN","40.727864","-73.956207","33","561","3065004","3025690073","Greenpoint"
"1-1-1302907949","2016-09-09T00:00:00.000","72-20 37 AVENUE","4","3","1283","7","75542","Q042016238A23","C","1","2016-05-25T00:00:00.000","2016-10-11T00:00:00.000","2016-10-27T00:00:00.000","Pass",,"false","2016-11-21T00:00:00.000","false","2016-11-21T00:00:00.000","11372","QUEENS","40.748785","-73.893402","25","291","4029768","4012830007","Jackson Heights"
"1-1-1302966796","2016-09-09T00:00:00.000","25-36 71 STREET","4","3","1047","30","75963","Q042016235A16","C","1","2016-06-22T00:00:00.000","2016-10-11T00:00:00.000","2016-10-21T00:00:00.000","Pass",,"false","2016-11-28T00:00:00.000","false","2016-11-28T00:00:00.000","11370","QUEENS","40.761683","-73.896901","22","30902","4022923","4010470030","Jackson Heights"
"1-1-1299959761","2016-09-09T00:00:00.000","32-16 105 STREET","4","3","1699","14","76477","Q042016222A18","H","1","2016-07-21T00:00:00.000","2016-10-11T00:00:00.000","2016-10-21T00:00:00.000","Fail – 4+ Family/Commercial","No Jnt. Seal","false","2016-11-28T00:00:00.000","false","2017-02-27T00:00:00.000","11369","QUEENS","40.759165","-73.863985","21","365","4042076","4016990014","East Elmhurst"
"1-1-1302835853","2016-09-09T00:00:00.000","295 ADELPHI STREET","3","2","2104","13","81136","B042016117A20","C","1","2015-12-28T00:00:00.000","2016-10-17T00:00:00.000","2016-11-16T00:00:00.000","Pass",,"false","2016-12-15T00:00:00.000","false","2016-12-15T00:00:00.000","11205","BROOKLYN","40.688731","-73.970969","35","181","3059066","3021040013","Fort Greene"
"1-1-1302919614","2016-09-09T00:00:00.000","430 51 STREET","3","7","799","18","83843","B042016239A21","C","1","2016-05-26T00:00:00.000","2016-10-03T00:00:00.000","2016-10-04T00:00:00.000","Pass",,"false","2016-10-28T00:00:00.000","false","2016-10-28T00:00:00.000","11220","BROOKLYN","40.645383","-74.012302","38","78","3013545","3007990018","Sunset Park West"
"1-1-1302825952","2016-09-09T00:00:00.000","2378 EAST 2 STREET","3","15","7177","33","84119","B042016175A74","C","1","2016-06-09T00:00:00.000","2016-10-17T00:00:00.000","2016-10-28T00:00:00.000","Pass",,"false","2016-12-07T00:00:00.000","false","2016-12-07T00:00:00.000","11223","BROOKLYN","40.591398","-73.968506","47","388","3194631","3071770033","Homecrest"
"1-1-1302873844","2016-09-09T00:00:00.000","4060 DEREIMER AVENUE","2","12","4983","27","999999999","X042016253A05","H","1","9999-09-09T00:00:00.000","2016-11-02T00:00:00.000","2016-12-10T00:00:00.000","Fail – 4+ Family/Commercial","IMPROPER SLOP","false","2016-12-30T00:00:00.000","false",,"10466","BRONX","40.892017","-73.842366","12","426","2067646","2049830027","Woodlawn-Wakefield"
"1-1-1150767892","2015-09-09T00:00:00.000","17 BOMBAY STREET","5","3","7035","32","8682","S042015238A00","C","1","2009-07-20T00:00:00.000","2014-11-10T00:00:00.000","2015-09-22T00:00:00.000","Pass",,"false","2015-10-09T00:00:00.000","false","2015-10-09T00:00:00.000","10309","STATEN IS","40.545678","-74.21357","51","20801","5085796","5070350032","Rossville-Woodrow"
"1-1-1150859601","2015-09-09T00:00:00.000","142-34 PERSHING CRESCENT","4","8","9715","183","12051","Q041994293007","H","1","1993-10-30T00:00:00.000","2015-11-09T00:00:00.000","2015-11-13T00:00:00.000","Pass","Reasgn","false","2015-12-16T00:00:00.000","false","2015-12-16T00:00:00.000","11435","QUEENS","40.711446","-73.814373","24","22002","4207853","4097150183","Briarwood-Jamaica Hills"
"Community Outreach","2015-09-09T00:00:00.000","183 BAY TERRACE","5","3","5030","12","15547","S042015243A01","C","1","2015-06-25T00:00:00.000","2015-09-16T00:00:00.000","2015-09-18T00:00:00.000","Pass",,"false","2015-09-24T00:00:00.000","false","2015-09-24T00:00:00.000","10306","STATEN IS","40.553237","-74.134272","51","13204","5064581","5050300012","Oakwood-Oakwood Beach"
"1-1-1150691060","2015-09-09T00:00:00.000","1481 YORK AVENUE","1","8","1473","24","17407","M042015252A01","H","3","1999-09-10T00:00:00.000","2015-09-17T00:00:00.000","2015-10-06T00:00:00.000","Pass","expedite as of 10/5/15","false","2015-10-16T00:00:00.000","true","2015-10-16T00:00:00.000","10075","MANHATTAN","40.771029","-73.950712","5","132","1046032","1014730024","Lenox Hill-Roosevelt Island"
"1-1-1150516507","2015-09-09T00:00:00.000","2807 BARKLEY AVENUE","2","10","5534","39","28043","X042015229A05","C","1","2014-04-30T00:00:00.000","2015-03-20T00:00:00.000","2015-10-23T00:00:00.000","Pass",,"false","2015-10-29T00:00:00.000","false","2015-10-29T00:00:00.000","10465","BRONX","40.829576","-73.829447","13","166","2079600","2055340039","Schuylerville-Throgs Neck-Edgewater Park"
"1-1-1150836168","2015-09-09T00:00:00.000","2881 RANDALL AVENUE","2","10","5543","168","28431","X042015243A03","H","1","2014-09-10T00:00:00.000","2015-09-21T00:00:00.000","2015-10-15T00:00:00.000","Pass",,"false","2015-10-29T00:00:00.000","false","2015-10-29T00:00:00.000","10465","BRONX","40.825887","-73.822357","13","152","2079946","2055430168","Schuylerville-Throgs Neck-Edgewater Park"
"1-1-1150890018","2015-09-09T00:00:00.000","1149 LELAND AVENUE","2","9","3756","59","29138","X042015232A09","H","1","2015-05-04T00:00:00.000","2014-06-16T00:00:00.000","2015-10-23T00:00:00.000","Pass",,"false","2015-10-29T00:00:00.000","false","2015-10-29T00:00:00.000","10472","BRONX","40.82922","-73.862895","18","70","2024405","2037560059","Soundview-Bruckner"
"1-1-1150697561","2015-09-09T00:00:00.000","55-37 MYRTLE AVENUE","4","5","3451","4","32689","Q042014105035","C","1","2003-08-18T00:00:00.000","2015-09-21T00:00:00.000","2015-10-20T00:00:00.000","Pass",,"false","2015-10-29T00:00:00.000","false","2015-10-29T00:00:00.000","11385","QUEENS","40.699995","-73.907397","34","551","4082439","4034510004","Ridgewood"
"1-1-1150858983","2015-09-09T00:00:00.000","24-25 GILLMORE STREET","4","3","1645","44","50418","Q042015217A19","H","1","2009-10-30T00:00:00.000","2015-09-21T00:00:00.000","2015-10-08T00:00:00.000","Pass",,"false","2015-10-26T00:00:00.000","false","2015-10-26T00:00:00.000","11369","QUEENS","40.766255","-73.869143","21","357","4040981","4016450044","East Elmhurst"
"1-1-1150883970","2015-09-09T00:00:00.000","52-46 LITTLE NECK PARKWAY","4","11","8252","145","70057","Q042014325A03","C","1","2014-11-03T00:00:00.000","2015-11-30T00:00:00.000","2015-12-16T00:00:00.000","Pass",,"false","2015-12-23T00:00:00.000","false","2015-12-23T00:00:00.000","11362","QUEENS","40.767359","-73.728202","19","150702","4171440","4082520145","Douglas Manor-Douglaston-Little Neck"
"1-1-1150728371","2015-09-09T00:00:00.000","84-28 LEFFERTS BOULEVARD","4","9","9234","7501","71973","Q042015236A35","H","1","2015-06-19T00:00:00.000","2015-09-21T00:00:00.000","2015-10-02T00:00:00.000","Pass",,"false","2015-10-26T00:00:00.000","false","2015-10-26T00:00:00.000","11415","QUEENS","40.703816","-73.832593","29","134","4534927","4092347501","Kew Gardens"
