"borough","community_board","neighborhoods","cb_office_address","cb_address_line_2","cb_office_phone","cb_office_fax","cb_office_email","cb_website","cb_chair","cb_district_manager","cb_board_meeting","cb_cabinet_meeting","cb_precinct_s","cb_precinct_phone_s","latitude","longitude","community_board_1","council_district","bin","bbl","census_tract","nta","postcode","locationpoint"
"Staten Island","Community Board 2","Arrochar, Bloomfield, Bulls Heads, Chelsea, Dongan Hills, Egbertville, Emerson Hill, Grant City, Grasmere, High Rock, Lighthouse Hill, Midland Beach, New Dorp, New Springville, Oakwood, Ocean Breeze, Old Town, Richmondtown, South Beach, Todt Hill, and Travis","900 South Ave Staten Island, NY 10314","Suite 28","718-568-3581","(718) 568-3595","dderrico@cb.nyc.gov","https://www1.nyc.gov/site/statenislandcb2/index.page","Robert J. Collegio","Debra Derrico","Third Tuesday, 7:30pm",,"121, 122","121 - (718) 697-8700 122 - (718) 667-2292","40.61431","-74.173997","502","50","5113281","5017250085","29102","New Springville-Bloomfield-Travis","10314","POINT (-74.173997 40.61431)"
"Brooklyn","Community Board 18","Canarsie, Bergen Beach, Mill Basin, Flatlands, Marine Park, Georgetown, and Mill Island","1097 Bergen Ave, Brooklyn, NY 11234",,"(718) 241-0422","(718) 531-3199","bk18@cb.nyc.gov","https://www1.nyc.gov/site/brooklyncb18/index.page","Michael Ien","Sue Ann Partnow","Third Wednesday, 8:00pm","Per agenda","63, 69","63 - (718) 258-4411 69 - (718) 257-6211","40.628813","-73.916196","318","46","3398350","3083380001","69601","Georgetown-Marine Park-Bergen Beach-Mill Basin","11234","POINT (-73.916196 40.628813)"
"Bronx","Community Board 2","Hunts Point, Longwood, and Morrisania","1029 E 163rd St. Bronx, NY 10459",,"(718) 328-9125","(718) 991-4974","brxcb2@optonline.net",,"Roberto Crespo","Rafael Acevedo","Last Wednesday, 6:00pm","Third Wednesday, 1:00pm","41","(718) 542-4771","40.820992","-73.891801","202","17","2005788","2027240190","159","Hunts Point","10459","POINT (-73.891801 40.820992)"
"Bronx","Community Board 7","Norwood, University Heights, and Jerome Park","229A E. 204th St. Bronx, NY 10458",,"(718) 933-5650","(718) 933-1829","ibravo@cb.nyc.gov","https://www1.nyc.gov/site/bronxcb7/index.page","Emmanuel Martinez","Ischia Bravo","4th Tuesday of the month, 7:00pm","Second Thursday, 10:00am","52","(718) 220-5811","40.874409","-73.885314","207","11","2090492","2033110152","413","Bedford Park-Fordham North","10458","POINT (-73.885314 40.874409)"
"Brooklyn","Community Board 17","East Flatbush, Remsen Village, Farragut, Rugby, Erasmus and Ditmas Village","4112 Farragut Road Brooklyn, New York 11210",,"(718) 434-3461","(718) 467-4113","bk17@cb.nyc.gov","http://cb17brooklyn.org/","Barrington Barrett","Sherif Fraser","Third Wednesday, 7:00pm","Per agenda","67","(718) 287-3211","40.636927","-73.937282","317","45","3114504","3050160035","836","East Flatbush-Farragut","11210","POINT (-73.937282 40.636927)"
"Manhattan","Community Board 9","Hamilton Heights, Manhattanville, Morningside Heights, and West Harlem","16-18 Old Broadway New York, NY 10027",,"(212) 864-6200","N/A","eprince@cb.nyc.gov","https://www.cb9m.org","Barry Weinberg","Eutha Prince","Third Thursday, 6:30PM","Second Wednesday, 10:00AM","26, 30","26: (212) 678-1311 30: (212) 690-8811","40.815433","-73.957204","109","7","1059714","1019820067","219","Manhattanville","10027","POINT (-73.957204 40.815433)"
"Brooklyn","Community Board 10","Bay Ridge, Dyker Heights, and Fort Hamilton","8119 5th Ave, Brooklyn, NY 11209",,"(718) 745-6827","(718) 836-2447","bk10@cb.nyc.gov","https://cbbrooklyn.cityofnewyork.us/cb10/","Lori Willis","Josephine Beckmann","Third Monday (fourth Monday in January and February), 7:00pm","Per agenda","68","(718) 439-4211","40.624842","-74.024525","310","43","3151756","3059990004","138","Bay Ridge","11209","POINT (-74.024525 40.624842)"
"Manhattan","Community Board 4","Clinton, Chelsea","424 West 33rd Street New York, NY","Suite #580","(212) 736-4536","(212) 947-9512","jbodine@cb.nyc.gov","https://cbmanhattan.cityofnewyork.us/cb4/","Lowell Kern","Jesse Bodine","First Wednesday, 6:30pm","Third Wednesday, 10:00am","10, 13, MSP, MNP","10: (212) 741-8211 13: (212) 477-7411 MSP: (212) 239-9811 MNP: (212) 767-8400","40.753099","-73.997704","104","3","1012841","1007290163","103","Hudson Yards-Chelsea-Flatiron-Union Square","10001","POINT (-73.997704 40.753099)"
"Bronx","Community Board 10","Co-op City, City Island, Spencer Estates, Throgs Neck, Country Club, Zerega, Westchester Square, Pelham Bay Park, Eastchester Bay, Schuylerville, Edgewater, Locust Point, and Silver Beach","3165 E Tremont Ave Bronx, NY 10461",,"(718) 892-1161",,"bx10@cb.nyc.gov","https://www1.nyc.gov/site/bronxcb10/index.page","Joseph Russo","Matthew Cruz","Third Thursday, 7:00pm","Third Tuesday, 10:00am","45","(718) 822-5411","40.837337","-73.834306","210","13","2073615","2053510019","184","Schuylerville-Throgs Neck-Edgewater Park","10461","POINT (-73.834306 40.837337)"
"Queens","Community Board 12","Jamaica, Hollis, St. Albans, Springfield Gardens, Baisley Park, Rochdale Village, and South Jamaica","90-28 161st Street, Jamaica, NY 11432",,"(718) 658-3308","(718) 739-6997","qn12@cb.nyc.gov","https://www1.nyc.gov/site/queenscb12/index.page","Carlene Thorbs","Yvonne Reddick","Third Wednesday (December; Second Wednesday), 7:00pm","Fourth Wednesday, 10:00am","103, 113","103 - (718) 657-8181 113 - (718) 712-7733","40.70519","-73.799274","412","24","4208852","4097570040","44601","Jamaica","11432","POINT (-73.799274 40.70519)"
"Brooklyn","Community Board 2","Brooklyn Heights, Fulton Mall, Boerum Hill, Fort Greene, Brooklyn Navy Yard, Fulton Ferry, and Clinton Hill","350 Jay Street Brooklyn, NY 11201","8th Floor","(718) 596-5410","(718) 852-1461","bk02@cb.nyc.gov","https://www1.nyc.gov/site/brooklyncb2/index.page","Lenny H. Singletary III","Vacant","Second Wednesday, 6:00pm","Per agenda","84, 88","84: (718) 875-6811 88: (718) 636-6511","40.69351","-73.987249","302","33","3000259","3001407501","11","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","11201","POINT (-73.987249 40.69351)"
"Manhattan","Community Board 12","Washington Heights","530 West 166th Street New York, NY 10032","6th Floor","(212) 568-8500","N/A","ebsmith@cb.nyc.gov",,"Eleazar Bueno","Ebenezer Smith","Fourth Tuesday, 6:30PM","Third Thursday, 10:00 AM","33, 34","33: (212) 927-3272 34: (212) 927-9711","40.839328","-73.939339","112","10","1062988","1021240001","251","Washington Heights South","10032","POINT (-73.939339 40.839328)"
"Bronx","Community Board 3","Crotona Park, Claremont Village, Concourse Village, Woodstock, and Morrisania","1426 Boston Rd Bronx, NY 10456",,"(718) 378-8054","(718) 378-8188","eritter@cb.nyc.gov","https://www1.nyc.gov/site/bronxcb3/index.page","Rev. Dr. Bruce C. Rivera","Vacant","Second Tuesday, 6:00pm","First Thursday, 9:30am","42","(718) 402-3887","40.833189","-73.897021","203","16","2010197","2029620030","151","Morrisania-Melrose","10456","POINT (-73.897021 40.833189)"
"Manhattan","Community Board 3","Tompkins Square, East Village, Lower East Side, Chinatown, Two Bridges","59 East 4th Street, New York, NY",,"(212) 533-5300","(212) 533-3659","mn03@cb.nyc.gov","http://www.nyc.gov/manhattancb3","Alysha Lewis-Coleman","Susan Stetzer","Fourth Tuesday, 6:30pm","Second Tuesday, 2:30pm","5; 7; 9","5: (212) 334-0711 7: (212) 477-7311 9: (212) 477-7811","40.726785","-73.990807","103","2","1082642","1004600056","38","East Village","10003","POINT (-73.990807 40.726785)"
"Manhattan","Community Board 5","Midtown","450 7th Avenue, New York, NY","Rm. 2109","(212) 465-0907","(212) 465-1628","office@cb5.org","http://www.cb5.org/","Vikki Babero","Marisa Mack","Second Thursday, 6:00pm","First Thursday at 10:00am","10, MSP, MNP","10: (212) 741-8211 MSP: (212) 239-9811 MNP: (212) 767-8400","40.751359","-73.990367","105","3","1014408","1007840041","109","Midtown-Midtown South","10123","POINT (-73.990367 40.751359)"
"Queens","Community Board 4","Corona, Corona Heights, Elmhurst, and Newtown","46-11 104th Street., Elmhurst",,"(718) 760-3142","(718) 760-5971","qn04@cb.nyc.gov","https://www1.nyc.gov/site/queenscb4/index.page","Marialena Giampino","Christian Cassagnol","Second Tuesday, 7:30 PM","Third Wednesday, 10:30 AM","110","(718) 476-9311","40.746246","-73.859814","404","21","4441122","4019900092","415","Corona","11368","POINT (-73.859814 40.746246)"
"Brooklyn","Community Board 6","Red Hook, Carroll Gardens, Park Slope, Gowanus, and Cobble Hill","250 Baltic Street, Brooklyn, NY 11201",,"(718) 643-3027","(718) 624-8410","info@brooklyncb6.org","http://www1.nyc.gov/site/brooklyncb6/index.page","Peter D. Fleming","Mike Racioppo","Second Wednesday, 6:30pm","First Wednesday of every other month, 9:30am","76, 78","76 - (718) 834-3211 78 - (718) 636-6411","40.686295","-73.994671","306","39","3003535","3003120024","45","Carroll Gardens-Columbia Street-Red Hook","11201","POINT (-73.994671 40.686295)"
"Brooklyn","Community Board 11","Bath Beach, Gravesend, Mapleton, and Bensonhurst","2214 Bath Ave, Brooklyn, NY 11214",,"(718) 266-8800","(718) 266-8821","info@brooklyncb11.org","http://www.brooklyncb11.org/","William Guarinello","Marnee Elias-Pavia","Second Thursday, 7:30pm","Per agenda","62","(718) 236-2611","40.598223","-73.996878","311","47","3169007","3064480034","294","Bensonhurst West","11214","POINT (-73.996878 40.598223)"
"Queens","Community Board 3","Jackson Heights, East Elmhurst, North Corona, and La Guardia Airport","82-11 37th Ave., Jackson Heights",,"(718) 458-2707","(718) 458-3316","communityboard@queenscb3.cityofnewyork.us","https://queenscb3.cityofnewyork.us/","Frank Taylor","Giovanna A. Reid","Third Thursday, 7:30 PM","First Friday, 10:30 AM","115","(718) 533-2002","40.749775","-73.884103","403","25","4035816","4014560041","283","Jackson Heights","11372","POINT (-73.884103 40.749775)"
"Brooklyn","Community Board 16","Brownsville and Ocean Hill","444 Thomas Boyland Street, Rm. 103 Brooklyn, NY 11212",,"(718) 385-0323","(718) 342-6714","bk16@cb.nyc.gov","https://www1.nyc.gov/site/brooklyncb16/index.page","Genese T. Morgan","Viola D. Greene-Walker","Fourth Tuesday, 7:00pm","Second Wednesday, 9:30am","73","(718) 495-5411","40.670104","-73.913812","316","41","3080726","3034960004","902","Brownsville","11212","POINT (-73.913812 40.670104)"
"Brooklyn","Community Board 1","Flushing Avenue, Williamsburg, Greenpoint, Northside, and Southside","435 Graham Avenue, Brooklyn, NY 11211",,"(718) 389-0009","(718) 389-0098","bk01@cb.nyc.gov","https://www1.nyc.gov/site/brooklyncb1/index.page","Dealice Fuller","Gerry Esposito","Second Tuesday, 6:30pm","Third Thursday, 10:30am","90, 94","90: (718) 963-5311 94: (718) 383-3879","40.718173","-73.944994","301","34","3400141","3027340027","497","East Williamsburg","11211","POINT (-73.944994 40.718173)"
"Queens","Community Board 13","Queens Village, Glen Oaks, New Hyde Park, Bellerose, Cambria Heights, Laurelton, Rosedale, Floral Park, and Brookville","219-41 Jamaica Avenue, Queens Village, NY 11428",,"(718) 464-9700","(718) 264-2739","mmcmillan@qcb13.org","https://www1.nyc.gov/site/queenscb13/index.page","Bryan Block","Mark McMillan","Fourth Monday, 7:30pm","Third Wednesday, 10:00am","105","(718) 776-9090","40.718636","-73.735032","413","23","4438815","4107240045","564","Queens Village","11428","POINT (-73.735032 40.718636)"
"Queens","Community Board 8","Fresh Meadows, Cunningham Heights, Hilltop Village, Pomonak Houses, Fresh Meadows, Jamaica Estates, Holliswood, Flushing South, Utopia, Kew Gardens Hills, and Briarwood","197-15 Hillside Avenue, Hollis, NY 11423",,"(718) 264-7895","(718) 264-7910","qn08@cb.nyc.gov","https://www1.nyc.gov/site/queenscb8/index.page","Martha Taylor","Marie Adam-Ovide","Second Wednesday, 7:30pm","First Wednesday, 9:30am","107","(718) 969-5100","40.718496","-73.765169","408","23","4224338","4105300001","478","Jamaica Estates-Holliswood","11423","POINT (-73.765169 40.718496)"
"Bronx","Community Board 8","Fieldston, Kingsbridge, Kingsbridge Heights, Marble Hill, Riverdale, Spuyten Duyvil, and Van Cortlandt Village","5676 Riverdale Ave Bronx, NY 10471",,"(718) 884-3959","(718) 796-2763","bx08@cb.nyc.gov","https://www1.nyc.gov/site/bronxcb8/index.page","Laura Spalter","Ciara Gannon","Second Tuesday, 7:30pm","First Tuesday, 9:30am","50","(718) 543-5700","40.906226","-73.904259","208","11","2085164","2058630129","337","North Riverdale-Fieldston-Riverdale","10471","POINT (-73.904259 40.906226)"
"Manhattan","Community Board 10","Central Harlem","215 West 125th Street","4th Floor","(212) 749-3105","N/A","mn10@cb.nyc.gov","https://cbmanhattan.cityofnewyork.us/cb10/","Cicely Harris","Shatic Mitchell","First Wednesday, 6:00PM","Third Wednesday, 10:00AM","28, 32","28: (212) 678-1311 32: (212) 690-8811","40.809259","-73.948979","110","9","1058659","1019310021","222","Central Harlem South","10027","POINT (-73.948979 40.809259)"
"Bronx","Community Board 4","HighBridge, Concourse, Mt. Eden, and Concourse Village","1650 Selwyn Ave.#11 Bronx, NY 10457",,"(718) 299-0800","(718) 294-7870","bx04@cb.nyc.gov","https://www1.nyc.gov/site/bronxcb4/index.page","Robert Garmendiz","Paul Philps","Fourth Tuesday, 6:00pm","Third Wednesday, 9:30am","44","(718) 590-5511","40.843248","-73.910407","204","16","2094530","2028240005","22703","Mount Hope","10457","POINT (-73.910407 40.843248)"
"Manhattan","Community Board 6","Stuyvesant Town, Tudor City, Turtle Bay, Peter Cooper Village, Murray Hill, Gramercy Park, Kips Bay, Sutton Place","211 East 43rd Street, New York, NY","Suite 1404","(212) 319-3750","N/A","info@cbsix.org","http://cbsix.org/","Kyle Athayde","Jesús Pérez","Second Wednesday, 7:00pm","Last Thursday, 10:30am","13; 17","13: (212) 477-7411 17: (212) 826-3211","40.751238","-73.973458","106","4","1037556","1013170007","88","Turtle Bay-East Midtown","10017","POINT (-73.973458 40.751238)"
"Queens","Community Board 7","Flushing, Bay Terrace, College Point, Whitestone, Malba, Beechhurst, Queensboro Hill, and Willets Point","30-50 Whitestone Expressway Flushing/Whitestone","Suite 205.","(718) 359-2800","(718) 463-3891","qn07@cb.nyc.gov","https://www1.nyc.gov/site/queenscb7/index.page","Eugene T. Kelty, Jr.","Marilyn McAndrews","Second Monday, 7:00 PM","Fourth Thursday, 9:30 AM","109","(718) 321-2250","40.770483","-73.835639","407","19","4540190","4043630100","907","College Point","11357","POINT (-73.835639 40.770483)"
"Brooklyn","Community Board 7","Sunset Park and Windsor Terrace","4201 4th Ave, Brooklyn, NY 11232",,"(718) 854-0003","(718) 436-1142","bk07@cb.nyc.gov","http://www1.nyc.gov/site/brooklyncb7/index.page","Cesar Zuniga","Jeremy Laufer","Third Wednesday, 6:30pm","Every other Month on the 2nd Tuesday of that month at 10am","72","(718) 965-6311","40.650316","-74.008166","307","38","3010833","3007240001","82","Sunset Park West","11232","POINT (-74.008166 40.650316)"
"Queens","Community Board 9","Richmond Hill, Woodhaven, Ozone Park, and Kew Gardens","Queens Borough Hall, 120-55 Queens Blvd, Kew Gardens, NY 11424","Room 310A","(718) 286-2686","(718) 286-2685","communitybd9@nyc.rr.com","https://www1.nyc.gov/site/queenscb9/index.page","Kenichi Wilson","James McClleland","Second Tuesday, 7:45pm","Third Thursday, 10:00am","102","(718) 805-3200","40.71398","-73.828838","409","29","4052812","4022740002","216","Kew Gardens","11415","POINT (-73.828838 40.71398)"
"Brooklyn","Community Board 5","East New York, Cypress Hills, Highland Park, New Lots, City Line, Starrett City, and Ridgewood","404 Pine Street Brooklyn, New York 11208","3rd Floor","(929) 221-8261","(718) 827-7374","BK05@cb.nyc.gov","https://www.brooklyncb5.org/","AT Mitchell","Melinda Perkins","Fourth Wednesday, 6:30pm","Third Wednesday, 10:00am","75","(718) 827-3511","40.67588","-73.871091","305","42","3094690","3042140001","1196","East New York","11208","POINT (-73.871091 40.67588)"
"Manhattan","Community Board 2","Greenwich Village, West Village, NoHo, SoHo, Lower East Side, Chinatown, Little Italy","3 Washington Square Village, #1A, New York, NY",,"(212) 979-2272","(212) 254-5102","bgormley@cb.nyc.gov","https://cbmanhattan.cityofnewyork.us/cb2/","Carter Booth","Bob Gormley","Fourth Tuesday, 6:00pm","Second Thursday, 10:00am","1; 5; 6; 9","1: (212) 334-0611 5: (212) 334-0711 6: (212) 741-4811 9: (212) 477-7811","40.727881","-73.998557","102","1","1077835","1005330001","5501","West Village","10012","POINT (-73.998557 40.727881)"
"Bronx","Community Board 12","Edenwald, Wakefield, Williamsbridge, Woodlawn, Norwood, Fish Bay, Eastchester, Olinville, and Baychester","4101 White Plains Rd Bronx, NY 10466",,"(718) 944-3300","(718) 944-3310","gtorres@cb.nyc.gov","https://www1.nyc.gov/site/bronxcb12/index.page","Dr. Michael Burke","George Torres","Fourth Thursday, 7:00pm","First Tuesday, 1:00pm","47","(718) 920-1211","40.89074","-73.858862","212","12","2063174","2048320009","420","Williamsbridge-Olinville","10466","POINT (-73.858862 40.89074)"
"Queens","Community Board 2","Long Island City, Woodside, and Sunnyside","43-22 50th Ave., Woodside",,"(718) 533-8773","(718) 533-8777","qn02@cb.nyc.gov","https://www1.nyc.gov/site/queenscb2/index.page","Morry Galonoy","Debra Markell Kleinert","First Thursday, 6:30 PM","Fourth Tuesday, 10:00 AM","108","(718) 784-5411","40.737749","-73.922363","402","26",,,"187","Hunters Point-Sunnyside-West Maspeth","11377","POINT (-73.922363 40.737749)"
"Manhattan","Community Board 11","East Harlem","1664 Park Avenue New York, NY 10035","Ground Floor","(212) 831-8929","N/A","chair@cb11m.org","http://www.cb11m.org","Xavier Santiago","Nilsa Orama","Third Tuesday, 6:30PM","Second Tuesday, 10:30AM","23, 25","23: (212) 860-6411 25: (212) 860-6511","40.800223","-73.942564","111","9","1051688","1016230035","184","East Harlem North","10035","POINT (-73.942564 40.800223)"
"Brooklyn","Community Board 15","Sheepshead Bay, Manhattan Beach, Kings Bay, Gerritsen Beach, Kings Highway, East Gravesend, Madison, Homecrest, and Plum Beach","Kingsboro Community College, 201 Oriental Blvd, C Cluster Brooklyn, NY 11235","Room C124,","(718) 332-3008","(718) 648-7232","bklcb15@verizon.net","http://www1.nyc.gov/site/brooklyncb15/index.page","Theresa Scavo","Laura Singer","Last Tuesday, 7:00pm","Third Thursday, 9:30am","61","(718) 627-6611","40.577904","-73.93535","315","48","3000000","3087600060","616","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","11235","POINT (-73.93535 40.577904)"
"Queens","Community Board 14","Breezy Point, Belle Harbor, Broad Channel, Neponsit, Arverne, Bayswater, Edgemere, Rockaway Park, Rockaway and Far Rockaway","1931 Mott Avenue, Far Rockaway, NY 11691",,"(718) 471-7300","(718) 868-2657","cbrock14@nyc.rr.com","https://www1.nyc.gov/site/queenscb14/index.page","Dolores Orr","Jonathan Gaska","Second Tuesday, 7:00pm","First Thursday of every other month, 9:30 am","100, 101","100 - (718) 318-4200 101 - (718) 868-3400","40.603937","-73.752344","414","31","4298263","4155610029","101001","Far Rockaway-Bayswater","11691","POINT (-73.752344 40.603937)"
"Brooklyn","Community Board 12","Boro Park, Kensington, Ocean Parkway, and Midwood","5910 13th Ave, Brooklyn, NY 11219",,"(718) 851-0800","(718) 851-4140","bk12@cb.nyc.gov","http://www.brooklyncb12.org/","Yidel Perlstein","Barry Spitzer","Fourth Tuesday, 7:00pm","Third Tuesday of every other month, 9:30am","66","(718) 851-5611","40.629302","-73.998083","312","44","3141046","3057110040","192","Borough Park","11219","POINT (-73.998083 40.629302)"
"Bronx","Community Board 9","Parkchester, Westchester Square, Unionport, Soundview, Castle Hill, Bruckner, Harding Park, and Clason Point","1967 Turnbull Ave Bronx, NY 10473","Rm. 7","(718) 823-3034","(718) 823-6461","bxbrd09@optonline.net","http://www.nyc.gov/html/bxcb9/html/home/home.shtml","Brandon Ganaishlal","William Rivera","Third Thursday, 7:00pm","Third Tuesday, 1:00pm","43","(718) 542-0888","40.823018","-73.856686","209","18","2094835","2036730001","42","Soundview-Castle Hill-Clason Point-Harding Park","10473","POINT (-73.856686 40.823018)"
"Staten Island","Community Board 3","Annadale, Arden Heights, Bay Terrace, Charleston, Eltingville, Great Kills, Greenridge, Huguenot, Pleasant Plains, Prince's Bay, Richmondtown, Richmond Valley, Rossville, Tottenville, and Woodrow","1243 Woodrow Road Staten Island, N. Y. 10309","2nd Floor","718 356-7900","(718) 966-9013","sicb3@cb.nyc.gov","http://www.nyc.gov/sicb3","Frank Morano","Charlene Wagner","Fourth Tuesday, 7:30pm",,"123","(718) 948-9311","40.541857","-74.206175","503","51","5079743","5061450013","20801","Rossville-Woodrow","10309","POINT (-74.206175 40.541857)"
"Manhattan","Community Board 7","Manhattan Valley, Upper West Side, and Lincoln Square","250 W. 87th Street, New York, NY",,"(212) 362-4008","N/A","MN07@cb.nyc.gov","http://www.nyc.gov/mcb7","Steven Brown","Michelle Booker","First Tuesday, 6:30pm","Third Wednesday, 2:00pm","20, 24, CPP","20: (212) 580-6411 24: (212) 678-1811 CPP: (212) 570-4820","40.789078","-73.976245","107","6","1076251","1012347501","175","Upper West Side","10024","POINT (-73.976245 40.789078)"
