"brooklyn_condominium_property_boro_block_lot","brooklyn_condominium_property_condo_section","brooklyn_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","brooklyn_condominium_property_neighborhood","brooklyn_condominium_property_building_classification","brooklyn_condominium_property_total_units","brooklyn_condominium_property_year_built","brooklyn_condominium_property_gross_sqft","brooklyn_condominium_property_est_gross_income","brooklyn_condominium_property_gross_income_per_sqft","brooklyn_condominium_property_full_market_value","brooklyn_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"3-01960-7501","1305-R1","430 CLINTON AVENUE
Brooklyn, New York 
(40.685444981091, -73.967319491582)","3","11238","40.685439","-73.967289","2","35","199","3055968","3019607501","Clinton Hill                                                               ","CLINTON HILL","R4-ELEVATOR","48","1930","38056","578451","15.2","2349992","62","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","5.3",,,,,,,,,,,,
"3-01171-7502","1500-R1","34 BUTLER PLACE
Brooklyn, New York 
(40.674935194792, -73.968458637923)","3","11238","40.675158","-73.968134","8","35","207","3388742","3011717502","Prospect Heights                                                           ","PROSPECT HEIGHTS","R2-WALK-UP","48","2005","32139","726341","22.6","3250006","101","3-00042-0018","254 WATER STREET
Brooklyn, New York 
(40.702970948925, -73.983701985909)","DOWNTOWN-FULTON FERRY","D8-ELEVATOR","26","2002","28358","639651","22.56","2860000","101","2.1",,,,,,,,,,,,
"3-05054-7502","670-R1","161 WOODRUFF AVENUE
Brooklyn, New York 
(40.654476743907, -73.960774978989)","3","11226","40.654523","-73.960623","14","40","50803","3115937","3050547502","Flatbush                                                                   ","FLATBUSH-CENTRAL","R9-CONDOPS","31","1929","32396","379033","11.7","1340000","41.4","3-05074-0055","15 ARGYLE ROAD
Brooklyn, New York 
(40.649183513872, -73.967803381499)","FLATBUSH-CENTRAL","C1-WALK-UP","32","1915","31496","368343","11.69","1130000","35.9","0.55",,,,,,,,,,,,
"3-00377-7501","145-R1","529 CLINTON STREET
Brooklyn, New York 
(40.67756364949, -74.000412147732)","3","11231","40.677591","-74.00044","6","39","65","3250585","3003777501","Carroll Gardens-Columbia Street-Red Hook                                   ","CARROLL GARDENS","R2-WALK-UP","15","1900","13201","199467","15.11","791000","60","3-00234-0039","8 CLARK STREET
Brooklyn, New York 
(40.698253312215, -73.99602654013)","BROOKLYN HEIGHTS","D1-ELEVATOR","42","1931","19392","304260","15.69","1240000","64","1.4",,,,,,,,,,,,
"3-08793-7501","520-R1","4050 NOSTRAND AVENUE
Brooklyn, New York 
(40.584882519954, -73.939011917451)","3","11235","40.584801","-73.938918","15","48","608","3319892","3087937501","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","SHEEPSHEAD BAY","R4-ELEVATOR","25","1994","16602","275593","16.6","1119995","67","3-08786-0029","3611 SHORE PARKWAY
Brooklyn, New York 
(42.433188999772, -78.748646000413)","SHEEPSHEAD BAY","C1-WALK-UP","16","1982","10384","172693","16.63","702000","68","0.2","3-07415-0001","2403 13 STREET
Brooklyn, New York 
(40.591887204073, -73.956954038222)","SHEEPSHEAD BAY","C1-WALK-UP","12","1975","9000","152061","16.9","618000","69","1"
"3-08720-7514","1249-R1","65 OCEANA DRIVE
Brooklyn, New York 
(40.611965818249, -74.033811091632)","3",,,,,,,,,,"BRIGHTON BEACH","R4-ELEVATOR","63","0","106063","2142472","20.2","9570003","90","3-01925-0007","213 TAAFFE PLACE
Brooklyn, New York 
(40.692126085764, -73.959746259719)","BEDFORD STUYVESANT","D1-ELEVATOR","90","1935","108000","1812951","16.79","7370000","68","7.9",,,,,,,,,,,,
"3-01429-7502","677-R1","770 LEFFERTS AVENUE
Brooklyn, New York 
(40.663274284067, -73.935550904492)","3","11203","40.663287","-73.935649","9","41","876","3346133","3014297502","Prospect Lefferts Gardens-Wingate                                          ","FLATBUSH-NORTH","R4-ELEVATOR","30","1998","50668","536867","10.6","1810020","35.7","3-02145-0018","440 BERRY STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","66","1995","58430","2208654","37.8","11100000","190","3.55",,,,,,,,,,,,
"3-00036-7503","1580-R1","57 FRONT STREET
Brooklyn, New York 
(40.702583639807, -73.991098724124)","3","11201","40.70256","-73.991218","2","33","21","3329418","3000367503","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","DOWNTOWN-FULTON FERRY","R4-ELEVATOR","31","1899","41476","875143","21.1","3910002","94","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","6.7",,,,,,,,,,,,
"3-05818-7501","324-R1","420 64 STREET
Brooklyn, New York 
(40.638236081289, -74.020257129879)","3","11220","40.638152","-74.02008","7","38","122","3256787","3058187501","Sunset Park West                                                           ","SUNSET PARK","R4-ELEVATOR","76","1990","64313","1681784","26.1","8149994","127","3-01637-0001","854 GATES AVENUE
Brooklyn, New York 
(40.688552594364, -73.930026335275)","BEDFORD STUYVESANT","D1-ELEVATOR","86","1995","24528","648825","26.5","1830000","75","5.9",,,,,,,,,,,,
"3-00280-7502","841-R1","25 BERGEN STREET
Brooklyn, New York 
(40.687467845203, -73.992273667164)","3","11201","40.687486","-73.992367","2","33","43","3002841","3002807502","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","BOERUM HILL","R4-ELEVATOR","14","1910","19388","552558","28.5","2679998","138","3-00247-0001","57 REMSEN STREET
Brooklyn, New York 
(40.694596692474, -73.996202214292)","BROOKLYN HEIGHTS","D1-ELEVATOR","14","1900","11800","362442","30.7","1760000","149","0.55","3-00226-0004","89 HICKS STREET
Brooklyn, New York 
(40.698852309567, -73.99410251315)","BROOKLYN HEIGHTS","D3-ELEVATOR","48","1940","21000","599372","28.5","2900000","138","0.75"
"3-01147-7501","1940-R1","649 WASHINGTON AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11238","40.677964","-73.963782","8","35","205","3388607","3011477501","Prospect Heights                                                           ","CROWN HEIGHTS","R0-CONDOMINIUM","16","2007","33710","0","0","1210007","35.9","3-03261-0020","420 STOCKHOLM STREET
Brooklyn, New York 
(40.705304559473, -73.916983685261)","WYCKOFF HEIGHTS","C1-WALK-UP","35","1931","28800","299520","10.4","846000","29.4","3.1","3-03395-0014","1060 HANCOCK STREET
Brooklyn, New York 
(40.688517826403, -73.914780590065)","BUSHWICK","C1-WALK-UP","27","1916","24030","249671","10.39","844000","35.1","2.65"
"3-03040-7501","1721-R1","25 MESEROLE STREET
Brooklyn, New York 
(40.707522561186, -73.949380760218)","3","11206","40.707506","-73.949381","1","34","511","3390255","3030407501","East Williamsburg                                                          ","WILLIAMSBURG-EAST","R2-WALK-UP","16","2006","8496","175867","20.7","786003","93","3-03113-0022","31 GRAHAM AVENUE
Brooklyn, New York 
(40.702363917375, -73.942420003077)","WILLIAMSBURG-EAST","C7-WALK-UP","40","1973","27480","540088","19.65","2410000","88","0.5",,,,,,,,,,,,
"3-02240-7516","1137-R1","5 UNKNOWN
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"WILLIAMSBURG-CENTRAL","R4-ELEVATOR","12","2002","28727","465377","16.2","1890001","66","3-00714-0044","4018 5 AVENUE
Brooklyn, New York 
(40.650632160367, -74.004642380768)","SUNSET PARK","C7-WALK-UP","32","1906","25600","398000","15.55","1620000","63","4.4",,,,,,,,,,,,
"3-02147-7501","21-R1","131 DIVISION AVENUE
Brooklyn, New York 
(40.707756007451, -73.963356937798)","3","11211","40.707731","-73.963195","1","33","547","3059691","3021477501","North Side-South Side                                                      ","WILLIAMSBURG-SOUTH","R4-ELEVATOR","19","1900","29440","541696","18.4","2200000","75","3-02409-0008","260 1 STREET
Brooklyn, New York 
(40.674749910327, -73.983883344356)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","24","1915","15836","289957","18.31","890000","56","0.45","3-02409-0009","262 1 STREET
Brooklyn, New York 
(40.674719477284, -73.983820062949)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","24","1915","15836","290907","18.37","893000","56","0.45"
"3-02264-7513","1284-R1","282 WALLABOUT STREET
Brooklyn, New York 
(40.700315638043, -73.951652762763)","3","11206","40.700343","-73.951605","1","33","531","3378374","3022647513","Bedford                                                                    ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","28","2003","45000","945000","21","4219993","94","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","6.2",,,,,,,,,,,,
"3-01098-7509","752-R1","438 12 STREET
Brooklyn, New York 
(40.664425200357, -73.9817673471)","3","11215","40.664459","-73.98179","6","39","151","3330612","3010987509","Park Slope-Gowanus                                                         ","PARK SLOPE","R4-ELEVATOR","34","1999","56518","861899","15.25","3510006","62","3-08688-0079","3094 BRIGHTON 5 STREET
Brooklyn, New York 
(40.577106813652, -73.962327767615)","BRIGHTON BEACH","D1-ELEVATOR","43","1929","52200","388920","7.45","1190000","22.8","6.1",,,,,,,,,,,,
"3-01734-7516","1308-R1","90 SPENCER STREET
Brooklyn, New York 
(40.696046353062, -73.955505197004)","3","11205","40.695983","-73.955467","3","33","1237","3387583","3017347516","Bedford                                                                    ","BEDFORD STUYVESANT","R4-ELEVATOR","12","2004","7297","211029","28.9","1020002","140","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","5.9",,,,,,,,,,,,
"3-01509-7501","431-R1","472 BAINBRIDGE STREET
Brooklyn, New York 
(40.682443540743, -73.91804777746)","3","11233","40.682437","-73.918213","3","41","379","3040847","3015097501","Stuyvesant Heights                                                         ","OCEAN HILL","R2-WALK-UP","60","1992","53760","672000","12.5","2529993","47.1","3-01467-0001","495 HOWARD AVENUE
Brooklyn, New York 
(40.670895280281, -73.919742682959)","OCEAN HILL","C1-WALK-UP","72","1973","72000","1035360","14.38","2920000","40.6","0.8",,,,,,,,,,,,
"3-02267-7502","983-R1","59 THROOP AVENUE
Brooklyn, New York 
(40.70249176255, -73.946528920701)","3","11206","40.702485","-73.946558","1","33","507","3348884","3022677502","Bedford                                                                    ","WILLIAMSBURG-EAST","R4-ELEVATOR","15","2002","21000","377580","17.98","1539999","73","3-04571-0001","1101 FORBELL STREET
Brooklyn, New York 
(40.663292671112, -73.860299618232)","EAST NEW YORK","C9-WALK-UP","48","2002","37765","623259","16.5","2470000","65","5.3",,,,,,,,,,,,
"3-01840-7501","376-R1","582 THROOP AVENUE
Brooklyn, New York 
(40.683245693557, -73.94102954588)","3","11216","40.683236","-73.941002","3","36","267","3052834","3018407501","Bedford                                                                    ","BEDFORD STUYVESANT","R2-WALK-UP","13","1910","11030","127948","11.6","451001","40.9","3-01647-0084","797 PUTNAM AVENUE
Brooklyn, New York 
(40.686431042972, -73.92942158566)","BEDFORD STUYVESANT","C1-WALK-UP","32","1931","18550","215328","11.61","759000","40.9","0.8",,,,,,,,,,,,
"3-00045-7501","1422-R1","70 WASHINGTON STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11201","40.702181","-73.989656","2","33","21","3388734","3000457501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","DOWNTOWN-FULTON FERRY","R4-ELEVATOR","259","1916","375000","6450000","17.2","26200008","70","3-00051-0001","65 WASHINGTON STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","DOWNTOWN-FULTON FERRY","D5-ELEVATOR","104","1914","123700","2126783","17.19","8650000","70","0.05",,,,,,,,,,,,
"3-06579-7501","1070-R1","1460 5 STREET
Brooklyn, New York 
(40.611137084464, -73.979307770786)","3",,,,,,,,,,"GRAVESEND","R4-ELEVATOR","23","2003","13257","239121","18.04","972999","73","3-06602-0045","267 AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","GRAVESEND","D1-ELEVATOR","12","2006","19300","206510","10.7","698000","36.2","0.2",,,,,,,,,,,,
"3-06405-7501","18-R1","147 BAY 20 STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11214","40.603545","-74.004138","11","43","280","3167781","3064057501","Bath Beach                                                                 ","BATH BEACH","R4-ELEVATOR","16","1985","14462","203914","14.1","808001","56","3-07058-0013","2920 21 STREET
Brooklyn, New York 
(40.575907356422, -73.987917162613)","CONEY ISLAND","D1-ELEVATOR","224","1975","230836","3261178","14.13","9210000","39.9","2.1",,,,,,,,,,,,
"3-07353-7501","1846-R1","2569 OCEAN AVENUE
Brooklyn, New York 
(40.598845408895, -73.951201848524)","3","11229","40.598704","-73.951264","15","48","578","3391180","3073537501","Madison                                                                    ","SHEEPSHEAD BAY","R4-ELEVATOR","27","2007","65764","1150870","17.5","4679993","71","3-06683-0052","1965 7 STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","379025","15.12","1070000","42.7","0.8","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, New York 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4433111","41.2","22300000","207","1.95"
"3-00958-7501","1134-R1","569 CARROLL STREET
Brooklyn, New York 
(40.675751713682, -73.98278572081)","3","11215","40.675704","-73.982735","6","39","133","3350107","3009587501","Park Slope-Gowanus                                                         ","PARK SLOPE","R4-ELEVATOR","18","2003","15740","314800","20","1410000","90","3-00964-0047","297 1 STREET
Brooklyn, New York 
(40.674339713769, -73.982895413126)","PARK SLOPE","C1-WALK-UP","20","1991","34000","497080","14.62","1970000","58","0.1",,,,,,,,,,,,
"3-01427-7501","513-R1","762 EMPIRE BOULEVARD
Brooklyn, New York 
(40.663715573091, -73.936915384716)","3","11213","40.663721","-73.93673","9","41","355","3341518","3014277501","Crown Heights South                                                        ","FLATBUSH-NORTH","R4-ELEVATOR","30","0","30360","431112","14.2","1710000","56","3-04671-0007","334 ROCKAWAY PARKWAY
Brooklyn, New York 
(40.659447637885, -73.918294118581)","FLATBUSH-NORTH","C1-WALK-UP","29","1920","30270","278181","9.19","917000","30.3","1",,,,,,,,,,,,
"3-05462-7501","182-R1","1901 51 STREET
Brooklyn, New York 
(40.625758160479, -73.979734431054)","3","11204","40.62562","-73.979545","12","44","464","3129504","3054627501","Borough Park                                                               ","BOROUGH PARK","R2-WALK-UP","26","1927","28960","431504","14.9","1710006","59","3-05608-0051","1005 45 STREET
Brooklyn, New York 
(40.641203272359, -73.996251241966)","BOROUGH PARK","C1-WALK-UP","23","1924","15000","223142","14.88","885000","59","1.4",,,,,,,,,,,,
"3-02237-7511","893-R1","118 HARRISON AVENUE
Brooklyn, New York 
(40.703355016178, -73.950756724454)","3","11206","40.703417","-73.950798","1","33","509","3061253","3022377511","Williamsburg                                                               ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","14","2001","26819","321828","12","1129997","42.1","3-01766-0052","618 MARCY AVENUE
Brooklyn, New York 
(40.693277986007, -73.948831790327)","BEDFORD STUYVESANT","D1-ELEVATOR","50","2001","30270","337813","11.16","1190000","39.3","0.65",,,,,,,,,,,,
"3-05462-7501","182-R2","1900 51 STREET
Brooklyn, New York 
(40.625715274227, -73.979779426999)","3","11204","40.625606","-73.97956","12","44","464","3256720","3054697501","Borough Park                                                               ","BOROUGH PARK","R2-WALK-UP","26","1923","25229","375912","14.9","1489996","59","3-05608-0051","1005 45 STREET
Brooklyn, New York 
(40.641203272359, -73.996251241966)","BOROUGH PARK","C1-WALK-UP","23","1924","15000","223142","14.88","885000","59","1.4",,,,,,,,,,,,
"3-01181-7502","1405-R1","225 EASTERN PARKWAY
Brooklyn, New York 
(40.671575008347, -73.961197922063)","3","11238","40.671335","-73.960977","8","35","217","3029651","3011817502","Crown Heights North                                                        ","CROWN HEIGHTS","R4-ELEVATOR","56","0","79075","1035882","13.1","3890004","49.2","3-02145-0018","440 BERRY STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","66","1995","58430","2208654","37.8","11100000","190","2.6",,,,,,,,,,,,
"3-02857-7501","1274-R1","258 RICHARDSON STREET
Brooklyn, New York 
(40.719169700888, -73.940606421101)","3","11222","40.719184","-73.940733","1","34","477","3387778","3028577501","East Williamsburg                                                          ","WILLIAMSBURG-EAST","R4-ELEVATOR","12","2002","17800","368460","20.7","1650004","93","3-03023-0013","58 TEN EYCK STREET
Brooklyn, New York 
(40.70974540972, -73.948162765383)","WILLIAMSBURG-EAST","C1-WALK-UP","14","2002","12000","249600","20.8","1120000","93","0.7",,,,,,,,,,,,
"3-02263-7504","1203-R1","721 BEDFORD AVENUE
Brooklyn, New York 
(40.699086636072, -73.957007042938)","3","11206","40.699149","-73.957044","1","33","531","3350265","3022637504","Bedford                                                                    ","WILLIAMSBURG-CENTRAL","R2-WALK-UP","12","2002","15840","212256","13.4","798001","50","3-02593-0022","114 CALYER STREET
Brooklyn, New York 
(40.727151658288, -73.956131597072)","GREENPOINT","C1-WALK-UP","11","2005","16000","230080","14.38","912000","57","1.9","3-02132-0016","158 BROADWAY
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D7-ELEVATOR","13","2002","24949","347290","13.92","1380000","55","0.8"
"3-08295-7501","272-R1","9204 AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"CANARSIE","R2-WALK-UP","12","1900","15795","150842","9.55","510001","32.3","3-08144-0020","945 94 STREET
Brooklyn, New York 
(40.64634843063, -73.907739929467)","CANARSIE","C1-WALK-UP","40","1929","36480","348229","9.55","1180000","32.3","1.15",,,,,,,,,,,,
"3-06092-7501","231-R1","106 BATTERY AVENUE
Brooklyn, New York 
(40.616604591503, -74.024037976797)","3","11209","40.616517","-74.024083","10","43","152","3154884","3060927501","Dyker Heights                                                              ","BAY RIDGE","R2-WALK-UP","11","1988","8088","221611","27.4","1069997","132","3-01149-0006","677 CLASSON AVENUE
Brooklyn, New York 
(40.677105851114, -73.959226051565)","CROWN HEIGHTS","C1-WALK-UP","16","1990","6100","166917","27.4","809000","133","5.4",,,,,,,,,,,,
"3-02234-7501","378-R2","210 LYNCH STREET
Brooklyn, New York 
(40.70406515297, -73.950877990345)","3","11206","40.704112","-73.950855","1","33","509","3319521","3022387501","Williamsburg                                                               ","WILLIAMSBURG-CENTRAL","R2-WALK-UP","21","1990","38358","631756","16.47","2570004","67","3-03511-0046","598 HOWARD AVENUE
Brooklyn, New York 
(40.667460737919, -73.919983786711)","BROWNSVILLE","C1-WALK-UP","24","1990","22959","348747","15.19","1420000","62","3.05",,,,,,,,,,,,
"3-02242-7503","1815-R1","218 MIDDLETON STREET
Brooklyn, New York 
(40.703857640653, -73.949711283372)","3","11206","40.704308","-73.949045","1","33","509","3389114","3022427503","Williamsburg                                                               ","WILLIAMSBURG-EAST","R4-ELEVATOR","18","2005","32189","531118","16.5","2160000","67","3-04571-0001","1101 FORBELL STREET
Brooklyn, New York 
(40.663292671112, -73.860299618232)","EAST NEW YORK","C9-WALK-UP","48","2002","37765","623259","16.5","2470000","65","5.5","3-06499-0013","198 FOSTER AVENUE
Brooklyn, New York 
(40.627982631936, -73.975660762721)","OCEAN PARKWAY-NORTH","C7-WALK-UP","12","1999","17520","315053","17.98","1280000","73","5.4"
"3-01526-7501","586-R1","246 SUMPTER STREET
Brooklyn, New York 
(40.680583775612, -73.914653634179)","3","11233","40.680576","-73.914826","16","41","371","3041541","3015267501","Ocean Hill                                                                 ","OCEAN HILL","R2-WALK-UP","12","0","15335","272196","17.75","1110006","72","3-00714-0044","4018 5 AVENUE
Brooklyn, New York 
(40.650632160367, -74.004642380768)","SUNSET PARK","C7-WALK-UP","32","1906","25600","398000","15.55","1620000","63","5.2",,,,,,,,,,,,
"3-00928-7503","1290-R1","393 DEAN STREET
Brooklyn, New York 
(40.682808149516, -73.978302742596)","3","11217","40.682752","-73.978194","6","39","12901","3378231","3009287503","Park Slope-Gowanus                                                         ","PARK SLOPE","R2-WALK-UP","16","2004","21829","552273","25.3","2470001","113","3-01149-0006","677 CLASSON AVENUE
Brooklyn, New York 
(40.677105851114, -73.959226051565)","CROWN HEIGHTS","C1-WALK-UP","16","1990","6100","166917","27.4","809000","133","1.15",,,,,,,,,,,,
