"organization_name","address","city","state","postcode","main_phone","discipline","council_district","community_board","borough","latitude","longitude","census_tract","bin","bbl","nta"
"ACMP Associated Chamber Music Players, Inc.","1133 Broadway, Suite 810","New York","NY","10010","(212) 645-7424","Music","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.743523","-73.989073","58","1015625","1008270049","Hudson Yards-Chelsea-Flatiron-Union Square"
"ACTIONPLAY INCORPORATED","417 Myrtle Ave. #39","Brooklyn","NY","11205","(844) 228-7529","Film/Video/Audio","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.693133","-73.969121","187","3054291","3018870095","Fort Greene"
"AFC New York, Inc.","20 Jay Street","Brooklyn","NY","11201","(718) 753-3464","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #34","Brooklyn Community Board #3","Brooklyn","40.704313","-73.986587","21","3000010","3000190001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"AGM Theater Company, Inc.","130 Malcolm X Blvd. Suite #431","New York","NY","10026","(917) 399-6964","Theater","Manhattan Council District #9","Manhattan Community Board #10","Manhattan","40.802359","-73.949425","190","1085936","1016007501","Central Harlem South"
"AHL Foundation, Inc.","420 West 23rd Street, #7A","New York","NY","10011","(516) 983-3935","Visual Arts","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.746836","-74.002162","93","1012691","1007207501","Hudson Yards-Chelsea-Flatiron-Union Square"
"AKTINA Productions, Inc.","23-50 27th Street","Astoria","NY","11105","(718) 545-1151","Music","Queens Council District #22","Queens Community Board #1","Queens","40.775041","-73.91646","97","4018140","4008540056","Steinway"
"ANDHOW! Theater Company Inc.","138 South Oxford Street, Ste. 4C","Brooklyn","NY","11217","(718) 398-3690","Theater","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.685073","-73.973221","179","3000000","3020040048","Fort Greene"
"ANONYMOUS ENSEMBLE INC","104 Montgomery St.","Brooklyn","NY","11225","(917) 701-8388","Multi-Discipline, Performing","Brooklyn Council District #35","Brooklyn Community Board #9","Brooklyn","40.66655","-73.96098","213","3029727","3011920030","Crown Heights South"
"ARC on 4th Street, Inc.","59 East 4th Street","New York","NY","10003","(212) 477-5340","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #2",,"Manhattan","40.726785","-73.990807","38","1082642","1004600056","East Village"
"ARTs East New York Inc.","534 Livonia Ave.","Brooklyn","NY","11207","(718) 676-6006 x101","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #42","Brooklyn Community Board #5","Brooklyn","40.664231","-73.897502","1130","3418180","3038197501","East New York (Pennsylvania Ave)"
"ASDT, Inc. - The American Spanish Dance Theatre","c/o Lotus Music and Dance","New York","NY","10001","(212) 674-6725","Dance","Manhattan Council District #2","Manhattan Community Board #6","Manhattan",,,,,,
"Aaccapella Light Sound Organization Plus","851A Prospect Avenue","Bronx","NY","10459","(646) 453-3535","Multi-Discipline, Non-Perform",,"Brooklyn Community Board #2","Brooklyn",,,,,,
"Aaron Davis Hall, Inc.","150 Convent Avenue","New York","NY","10031","(212) 281-9240","Multi-Discipline, Performing","Manhattan Council District #7","Manhattan Community Board #9","Manhattan","40.818329","-73.95102","21303","1086181","1019710018","Manhattanville"
"Abingdon Theatre Company","31-57 31st Street, Unit 617","Astoria","NY","11106","(212) 868-2055 x224","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan",,,,,,
"Abraham Lincoln Brigade Archives","799 Broadway, Ste. 341","New York","NY","10003","(212) 674-5398","Humanities","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.732343","-73.991315","61","1009108","1005620024","West Village"
"AbunDance Academy of the Arts, Inc.","430 Rogers Avenue","Brooklyn","NY","11225","(347) 788-1069","Multi-Discipline, Performing","Brooklyn Council District #40","Brooklyn Community Board #9","Brooklyn","40.662057","-73.953698","800","3035282","3013280044","Prospect Lefferts Gardens-Wingate"
"Abundant Waters, Inc.","400 W.43rd St. #36G","New York","NY","10036","(212) 564-2589","Multi-Discipline, Performing","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.759302","-73.992636","121","1083745","1010520001","Clinton"
"Academy of American Poets","75 Maiden Lane","New York","NY","10038","(212) 274-0343 x19","Literature","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.707657","-74.007758","1502","1001112","1000680011","Battery Park City-Lower Manhattan"
"Academy of Bosnia and Herzegovina, Inc.","55-23 31st Avenue 6D","Woodside","NY","11377","(214) 597-2789","Film/Video/Audio","Queens Council District #22","Queens Community Board #1","Manhattan",,,,,,
"Access Theater","380 Broadway","New York","NY","10013","(212) 966-1047","Theater","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.718112","-74.002958","31","1002317","1001950001","SoHo-TriBeCa-Civic Center-Little Italy"
"Actors Company Theatre","900 Broadway, Ste. 905","New York","NY","10003","(212) 645-8228","Theater","Manhattan Council District #2","Manhattan Community Board #5","Manhattan","40.739109","-73.989773","52","1016184","1008480061","Hudson Yards-Chelsea-Flatiron-Union Square"
"Actors Theatre Workshop, Inc.","145 W. 28th St., 3rd Floor","New York","NY","10001","(212) 947-1386","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.746602","-73.991829","95","1015100","1008040011","Midtown-Midtown South"
"Actors' Fund of America","729 Seventh Avenue, 10th Floor","New York","NY","10019","(212) 221-7300","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.760103","-73.983973","125","1022699","1010017501","Midtown-Midtown South"
"African American Women In Cinema","2006 Westchester Avenue","Parkchester","NY","10462","(347) 310-3445","Other","Bronx Council District #15","Bronx Community Board #12","Bronx","40.833615","-73.857136","92","2026267","2038050001","Westchester-Unionport"
"African Cultural Center, Inc.","P.O. Box 3147","New York","NY","10163","(646) 289-1877","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #9","Manhattan Community Board #10","Manhattan",,,,,,
"African Diaspora Film Festival","535 Cathedral Parkway, Ste. 14B","New York","NY","10025","(212) 864-1760","Film/Video/Audio","Manhattan Council District #8","Manhattan Community Board #9","Manhattan","40.803795","-73.965797","199","1056904","1018820008","Morningside Heights"
"African Film Festival, Inc.","154 West 18th Street, Ste. 2A","New York","NY","10011","(212) 352-1720","Film/Video/Audio","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.740493","-73.996547","81","1014671","1007930067","Hudson Yards-Chelsea-Flatiron-Union Square"
"African Services Committee, Inc.","429 W 127th Street","New York","NY","10027","(212) 222-3882","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #7","Manhattan Community Board #9","Manhattan","40.813002","-73.953849","21303","1084104","1019670060","Manhattanville"
"African Voices Communications, Inc.","325 Lafayette Avenue","Brooklyn","NY","11238","(212) 865-2982","Literature","Manhattan Council District #7","Manhattan Community Board #9","Brooklyn","40.688627","-73.962283","193","3055380","3019337501","Clinton Hill"
"Afrikan Poetry Theatre, Inc.","176-03 Jamaica Avenue","Jamaica","NY","11432","(718) 523-3312","Multi-Discipl, Perf & Non-Perf","Queens Council District #27","Queens Community Board #12","Queens","40.707941","-73.784233","468","4209975","4098120008","Jamaica"
"Afro Brazil Arts","107 Suffolk Street, Studio 307","New York","NY","10002","(212) 677-2203","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.718943","-73.986122","1402","1004301","1003530054","Lower East Side"
"Afro-Asian, Inc.","107 Suffolk Street, Apt. 213-A","New York","NY","10002","(212) 253-2280","Music","Manhattan Council District #1","Manhattan Community Board #3","Manhattan","40.718943","-73.986122","1402","1004301","1003530054","Lower East Side"
"Afro-Heritage Venture","901 Drew Street, Suite 222","Brooklyn","NY","11208","(718) 510-5575","Folk Arts","Brooklyn Council District #42","Brooklyn Community Board #5","Brooklyn","40.667414","-73.860358","1220","3323063","3045167501","East New York"
"Afrolatin Project, Inc.","11325 Seaview Ave","Brooklyn","NY","11239","(718) 414-5035","Multi-Discipl, Perf & Non-Perf","Brooklyn Council District #42","Brooklyn Community Board #5","Brooklyn","40.644788","-73.877046","105801","3343607","3044520200","Starrett City"
"After School Rocks, Inc.","187-08 Union Turnpike","Fresh Meadows","NY","11366","(718) 454-0100","Music","Queens Council District #26","Queens Community Board #9","Queens","40.728972","-73.781866","1277","4156126","4072560114","Jamaica Estates-Holliswood"
"Agudath Israel of America Community Services, Inc.","42 Broadway, 14th Floor","New York","NY","10004","(212) 797-9000 x260","Humanities","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.70627","-74.012909","9","1000812","1000220020","Battery Park City-Lower Manhattan"
"Aims of Modzawe, Inc.","187-40 Quencer Road","St. Albans","NY","11412","(347) 231-2595","Dance",,"Queens Community Board #12","Queens","40.695966","-73.767423","398","4221355","4104010119","St. Albans"
"Aks Chorale, Inc.","429 East 52nd Street","New York","NY","10022","(212) 755-4061","Music","Manhattan Council District #4","Manhattan Community Board #6","Manhattan","40.754801","-73.964447","8603","1040156","1013640034","Turtle Bay-East Midtown"
"Alarm Will Sound, Inc.","51 Wooster Street","New York","NY","10013","(773) 234-2846","Music","Manhattan Council District #1","Manhattan Community Board #2","Brooklyn",,,,,,
"Albanian Artists Association","169 east 101st street","New York","NY","10029","(212) 945-8268","Film/Video/Audio","Manhattan Council District #8","Manhattan Community Board #11","Manhattan","40.788786","-73.947936","166","1051843","1016290024","East Harlem South"
"Alchemy Theatre Company of Manhattan","412 West 42nd Street","New York","NY","10036","(212) 967-0901","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.758682","-73.993254","115","1026330","1010510029","Clinton"
"Alianza Dominicana, Inc.","2410 Amsterdam Avenue, 4th floor","New York","NY","10033","(212) 740-1960","Folk Arts","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.847177","-73.93159","261","1063604","1021520048","Washington Heights South"
"Alison Cook Beatty Dance, Inc.","170 East 87th Street","New York","NY","10128","(917) 620-2057","Dance","Manhattan Council District #5","Manhattan Community Board #8","Manhattan","40.779846","-73.954342","14802","1047961","1015157503","Upper East Side-Carnegie Hill"
"All Faiths Restoration & Beautification Program, Inc","67-29 Metropolitan Avenue","Queens","NY","11731","(718) 821-1750",,,"Queens Community Board #5","Queens","40.712348","-73.890755","60701","4062578","4027900001","Middle Village"
"All For One Theater Festival, Inc.","1650 Broadway","New York","NY","10019","(212) 398-7180","Theater","Manhattan Council District #4","Manhattan Community Board #5","Manhattan","40.761964","-73.983684","131","1024811","1010220035","Midtown-Midtown South"
"All Out Arts, Inc.","131 West 35th Street","New York","NY","10001-2111","(917) 701-9033","Multi-Discipline, Performing","Manhattan Council District #2","Manhattan Community Board #3","Manhattan","40.750999","-73.988559","109","1015225","1008110016","Midtown-Midtown South"
"Alley Pond Environmental Center, Inc.","224-65 76th Avenue","Oakland Gardens","NY","11364","(718) 229-4000 x209","Science","Queens Council District #19","Queens Community Board #11","Queens","40.739869","-73.74932","138502",,,"park-cemetery-etc-Queens"
"Alliance for Downtown New York, Inc","120 Broadway, Ste. 3340","New York","NY","10271","(212) 835-2740","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.708546","-74.011041","7","1001026","1000477501","Battery Park City-Lower Manhattan"
"Alliance for Inclusion in the Arts","1560 Broadway, Suite 1600","New York","NY","10036","(212) 730-4750","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.75886","-73.984843","125","1022661","1009990003","Midtown-Midtown South"
"Alliance for Young Artists and Writers, Inc.","557 Broadway","New York","NY","10012","(212) 343-7702","Multi-Discipline, Non-Perform","Manhattan Council District #1","Manhattan Community Board #2","Manhattan","40.723835","-73.998138","49","1088114","1004980009","SoHo-TriBeCa-Civic Center-Little Italy"
"Alliance for the Arts, Inc.","330 West 42nd Street, Ste. 1701","New York","NY","10036","(212) 947-6340","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.757661","-73.990832","115","1024926","1010320048","Clinton"
"Alliance for the Development of Theatre Artists, Inc.","520 Eighth Ave., Suite 315","New York","NY","10018","(212) 447-6309","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.753612","-73.992417","109","1083624","1007860001","Midtown-Midtown South"
"Alliance of Queens Artists, Inc.","99-10 Metropolitan Avenue","Forest Hills","NY","11375","(718) 520-9842","Visual Arts","Queens Council District #29",,"Queens","40.71086","-73.853439","645","4095202","4038940035","Forest Hills"
"Alliance of Resident Theatres / New York, Inc.","520 Eighth Avenue, Suite 319","New York","NY","10018","(212) 244-6667 x228","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.753612","-73.992417","109","1083624","1007860001","Midtown-Midtown South"
"Allied Productions, Inc.","P.O. Box 20260","New York","NY","10009","(212) 529-8815","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #2","Manhattan Community Board #3","Manhattan",,,,,,
"Alpha Omega 1-7 Theatrical Dance Company, Inc.","70 East 4th Street","New York","NY","10003","(212) 749-0095","Dance","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.726563","-73.990331","38","1077966","1004590021","East Village"
"Alpha Workshops, Inc.","245 West 29th Street, Suite 12A","New York","NY","10001","(212) 594-7320","Architecture/Design","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.748417","-73.994222","95","1014282","1007790013","Midtown-Midtown South"
"Alvin Ailey Dance Foundation, Inc.","The Joan Weill Center for Dance","New York","NY","10019","(212) 405-9015 x220","Dance","Manhattan Council District #6","Manhattan Community Board #4","Manhattan",,,,,,
"Alwan Foundation","16 Beaver Street, 4th Floor","New York","NY","10004","(212) 967-4318","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.704983","-74.012375","9","1000030","1000110007","Battery Park City-Lower Manhattan"
"Amas Musical Theatre, Inc.","257 West 52nd Street, 5th Floor","New York","NY","10019","(212) 563-2565","Theater","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.763125","-73.984182","131","1024826","1010240007","Midtown-Midtown South"
"Amaya's Bookreads Inc.","569 Academy St","New York","NY","10034","(917) 736-4311","Other","Manhattan Council District #10","Manhattan Community Board #12","Manhattan","40.863263","-73.923027","291","1064720","1022180001","Marble Hill-Inwood"
"America SCORES New York","America SCORES New York","New York","NY","10018","(646) 660-0404","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #7","Manhattan Community Board #9","Manhattan",,,,,,
"American Academy of Dramatic Arts","120 Madison Ave","New York","NY","7307","(212) 686-9244 x317","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.745402","-73.984691","74","1016957","1008600016","Midtown-Midtown South"
"American Bolero Dance Company, Inc.","42-24 9th Street","Long Island City","NY","11101","(718) 392-8888","Dance","Queens Council District #26","Queens Community Board #2","Queens","40.753508","-73.948837","19","4005310","4004620001","Hunters Point-Sunnyside-West Maspeth"
"American Center for Musical Arts, Inc.","201 West 72nd Street, Ste. 3-K","New York","NY","10023","(718) 680-1680","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.778954","-73.982412","159","1077846","1011647501","Lincoln Square"
"American Classical Orchestra, Inc.","225 West 99th Street","New York","NY","10025","(212) 362-2727","Music","Manhattan Council District #7","Manhattan Community Board #7","Manhattan","40.796267","-73.969586","187","1084035","1018710029","Upper West Side"
"American Composers Orchestra","244 West 54th Street","New York","NY","10019","(212) 977-8495 x203","Music","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.764261","-73.983037","131","1024842","1010250054","Midtown-Midtown South"
"American Dance Guild, Inc.","320 West 83rd Street, Apt. 7D","New York","NY","10024","(212) 874-6947","Dance","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.78727","-73.98012","171","1033808","1012450034","Upper West Side"
"American Dance Machine for the 21st Century Foundation, Inc.","45 East 80th Street","New York","NY","10075","(917) 570-0040","Dance","Manhattan Council District #4","Manhattan Community Board #8","Manhattan","40.776857","-73.961262","142","1076323","1014927501","Upper East Side-Carnegie Hill"
"American Documentary","20 Jay Street","Brooklyn","NY","11201","(212) 989-8121 x307","Film/Video/Audio","Brooklyn Council District #33","Brooklyn Community Board #2","Brooklyn","40.704313","-73.986587","21","3000010","3000190001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"American Folk Art Museum","47-29 32nd Place","Queens","NY","11101","(212) 265-1040 x114","Museum","Manhattan Council District #6","Manhattan Community Board #5","Queens","40.74212","-73.93313","199","4003447","4002520018","Hunters Point-Sunnyside-West Maspeth"
"American Friends of the Ludwig Foundation of Cuba","3 East 69th Street, Apt. 11B","New York","NY","10021","(212) 628-3494","Film/Video/Audio","Manhattan Council District #4","Manhattan Community Board #8","Manhattan","40.770365","-73.96806","122","1041292","1013840010","Upper East Side-Carnegie Hill"
"American Globe Theatre, Ltd.","145 West 46th Street, 3rd Floor","New York","NY","10036","(212) 869-9809","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.757946","-73.983547","125","1022665","1009990012","Midtown-Midtown South"
"American Indian Artists, Inc.","288 East 10th Street","New York","NY","10009","(212) 598-0968","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #2","Manhattan Community Board #6","Manhattan","40.728102","-73.982862","34","1005912","1004370025","East Village"
"American Indian Community House, Inc.","11 Broadway, 2nd Floor","New York","NY","10004","(212) 598-0100 x232","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #1","Manhattan Community Board #1","Manhattan","40.705354","-74.013731","13","1000044","1000130005","Battery Park City-Lower Manhattan"
"American Institute of Architects","536 LaGuardia Place","New York","NY","10012","(212) 358-0640","Architecture/Design",,,"Manhattan","40.728575","-73.998532","65","1008642","1005370026","West Village"
"American Institute of Graphic Arts","233 Broadway","New York","NY","10279","(212) 710-3125","Architecture/Design","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.712265","-74.007892","21","1087167","1001237501","SoHo-TriBeCa-Civic Center-Little Italy"
"American Jewish Historical Society","15 West 16th Street","New York","NY","10011","(212) 294-6160","Humanities","Manhattan Council District #3","Manhattan Community Board #2","Manhattan","40.737677","-73.993454","54","1080631","1008180027","Hudson Yards-Chelsea-Flatiron-Union Square"
"American Latin Association of New York","14 West 170th st.","Bronx","NY","10452","(646) 260-3382","Multi-Discipl, Perf & Non-Perf",,"Brooklyn Community Board #2","Brooklyn",,,,,,
"American Lyric Theater Center, Inc.","410 West 42nd Street","New York","NY","10036","(646) 216-8298","Music","Manhattan Council District #4","Manhattan Community Board #3","Manhattan","40.758652","-73.993185","115","1026330","1010510029","Clinton"
"American Modern Ensemble, Inc.","400 West 43rd Street, Ste. 39-S","New York","NY","10036","(212) 349-7009","Music","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.759302","-73.992636","121","1083745","1010520001","Clinton"
"American Museum of Natural History","Central Park West and 79th Street","New York","NY","10024","(212) 769-5000","Museum","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",,,,,,
"American Museum of the Moving Image","36-01 35th Avenue","Astoria","NY","11106","(718) 784-4520","Film/Video/Audio","Queens Council District #26","Queens Community Board #1","Queens","40.756206","-73.924377","57","4439074","4006440001","Astoria"
"American Music Center, Inc.","322 8th Avenue","New York","NY","10001","(212) 366-5260 x13","Music","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.747294","-73.997023","95","1014225","1007760001","Midtown-Midtown South"
"American Numismatic Society","Broadway @ 155th Street","New York","NY","10032","(212) 571-4470",,,,"Manhattan",,,,,,
"American Opera Projects, Inc.","138 South Oxford Street #3B","Brooklyn","NY","11217","(718) 398-4024","Music","Brooklyn Council District #35","Brooklyn Community Board #2","Brooklyn","40.685073","-73.973221","179","3000000","3020040048","Fort Greene"
"American Performing Arts Collaborative, Inc.","6 Hancock Place","New York City","NY","10027","(212) 665-7716","Theater","Manhattan Council District #9","Manhattan Community Board #9","Manhattan","40.81029","-73.953685","20901","1059277","1019500056","Morningside Heights"
"American Place Theatre, Inc.","266 West 37th Street, 22nd Floor","New York","NY","10018","(212) 594-4482 x11","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.753632","-73.991009","109","1083624","1007860001","Midtown-Midtown South"
"American Songbook Association Inc.","PO Box 1594","New York","NY","10025","(917) 913-6006","Multi-Discipline, Performing","Manhattan Council District #7","Manhattan Community Board #7","Manhattan",,,,,,
"American Story Project Theater Company, Inc.","PO Box 150240","Brooklyn","NY","11215","(914) 907-4041","Theater","Brooklyn Council District #39","Brooklyn Community Board #6","Manhattan",,,,,,
"American Symphony Orchestra League","33 West 60th Street, 5th Floor","New York","NY","10023","(646) 822-4039","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan","40.769303","-73.983003","145","1084277","1011130008","Lincoln Square"
"American Symphony Orchestra, Inc.","263 West 38th Street","New York","NY","10018","(212) 868-9276 x16","Music","Manhattan Council District #4","Manhattan Community Board #4","Manhattan","40.75423","-73.990468","113","1014474","1007880011","Midtown-Midtown South"
"American Tap Dance Foundation, Inc.","154 Christopher Street","New York","NY","10014","(646) 230-9564","Dance","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.73273","-74.008129","69","1010421","1006040033","West Village"
"American Theatre Wing","230 West 41st Street, Suite 1101","New York","NY","10036","(212) 765-0606 x302","Theater","Manhattan Council District #3","Manhattan Community Board #5","Manhattan","40.755802","-73.988482","113","1080830","1010120015","Midtown-Midtown South"
"American Theatre of Harlem","138 South Oxford Street","Brooklyn","NY","11217","(718) 857-2783","Multi-Discipline, Performing","Brooklyn Council District #35","Brooklyn Community Board #5","Brooklyn","40.685073","-73.973221","179","3000000","3020040048","Fort Greene"
"American Turkish Society, Inc.","3 Dag Hammarskjold Plaza","New York","NY","10017","(212) 583-7614","Film/Video/Audio","Manhattan Council District #4","Manhattan Community Board #6","Manhattan","40.752818","-73.969447","90","1038906","1013407502","Turtle Bay-East Midtown"
"American Vicarious, Inc.","200 6th St #3A","New York","NY","11215","(718) 701-6648","Multi-Discipline, Performing","Brooklyn Council District #39","Brooklyn Community Board #6","Manhattan",,,,,,
"Americas Society, Inc.","680 Park Avenue","New York","NY","10065","(212) 277-8334","Multi-Discipl, Perf & Non-Perf","Manhattan Council District #4","Manhattan Community Board #8","Manhattan","40.768739","-73.965563","122","1041265","1013830033","Upper East Side-Carnegie Hill"
"Amigos del Museo del Barrio","1230 Fifth Avenue","New York","NY","10029","(212) 831-7272","Visual Arts","Manhattan Council District #8","Manhattan Community Board #11","Manhattan","40.793072","-73.951992","168","1051499","1016100001","East Harlem South"
"Amor Artis, Inc.","PO Box 97","New York","NY","10024","(646) 771-0393","Music","Manhattan Council District #6","Manhattan Community Board #7","Manhattan",,,,,,
"Amore Opera, Inc.","P.O. Box 231368","New York","NY","10023","(917) 620-5550","Multi-Discipline, Performing","Manhattan Council District #2","Manhattan Community Board #3","Manhattan",,,,,,
"An Claidheamh Soluis, Inc.","553 West 51st Street","New York","NY","10019","(212) 757-3318 x205","Theater","Manhattan Council District #3","Manhattan Community Board #4","Manhattan","40.766183","-73.993394","135","1082282","1010800102","Clinton"
"Angel Orensanz Foundation, Inc","172 Norfolk Street","New York","NY","10002","(212) 529-7194",,,,"Manhattan","40.721174","-73.985927","3001","1004329","1003550041","Chinatown"
