"type","name","location","contact_information","postcode","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"School Garden","Midtown West (PS 212)","328 West 48th Street, New York, NY 10036","rbourke@schools.nyc.gov","10036","MANHATTAN","40.761448","-73.988019","4","3","127","1025092","1010380014","Clinton                                                                    "
"School Garden","PS 51 Elias Howe","525 W 44th St New York, NY","nbock@schools.nyc.gov","10036","MANHATTAN","40.761479","-73.995823","4","3","129","1089418","1010730014","Clinton                                                                    "
"School Garden","PS 150 Tribeca Learning Center","334 Greenwich St, New York, NY 10013","jbonnet@ps150.net","10013","MANHATTAN","40.718219","-74.010519","1","1","39","1083240","1001420025","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"School Garden","NEST+m","111 Columbia Street, New York, NY 10002","OLivani@schools.nyc.gov","10002","MANHATTAN","40.718895","-73.979308","3","2","2201","1004070","1003350001","Lower East Side                                                            "
"School Garden","The Hunter College Campus Schools","71 E 94th St, New York, NY 10128","tfisher@hccs.hunter.cuny.edu","10128","MANHATTAN","40.785602","-73.954323","8","4","16001","1047404","1015060021","Upper East Side-Carnegie Hill                                              "
"Senior Center","BRC Neighborhood Senior Center","30 Delancey Street","(212) 533-2020 or kfong@brc.org","10002","MANHATTAN","40.719792","-73.992269","3","1","18","1079081","1004200001","Chinatown                                                                  "
"Senior Center","Find Hamilton Neighborhood Senior Center","141 WEST 73RD STREET","(212) 787 7710 or phall@projectfind.org","10023","MANHATTAN","40.778624","-73.979527","7","6","157","1030011","1011450012","Lincoln Square                                                             "
"Senior Center","Gaylord White Neighborhood Senior Center","2029 SECOND AVENUE","(212)-828-6056 or mlopez@unionsettlement.org","10029","MANHATTAN","40.789473","-73.943288","11","8","170","1080669","1016540011","East Harlem South                                                          "
"Senior Center","Goddard Riverside Neighborhood Senior Center","593 COLUMBUS AVENUE","(212) 873-6600 or slara@goddard.org","10024","MANHATTAN","40.788212","-73.970904","7","6","173","1079511","1012020001","Upper West Side                                                            "
"Senior Center","Good Companions Neighborhood Senior Center","334 MADISON STREET","(212) 477 0455 or slarosa@henrystreet.org","10002","MANHATTAN","40.713266","-73.983237","3","2","202","1077526","1002600001","Lower East Side                                                            "
"Senior Center","Hudson Guild Neighborhood Senior Center","119 NINTH AVENUE","(212) 924-6710 or fmiuzzo@hudsonguild.org","10011","MANHATTAN","40.743172","-74.00376","4","3","83","1078418","1007150010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Senior Center","Independence Plaza Neighborhood Senior Center","310 GREENWICH STREET","(212)-242-4140 ext. 254 director","10013","MANHATTAN","40.717604","-74.010667","1","1","39","1083243","1001420025","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Senior Center","Jefferson Houses Neighborhood Senior Center","2205 FIRST AVENUE","(212) 828-6098 or jrichardson@unionsettlement.org","10029","MANHATTAN","40.794319","-73.93665","11","8","180","1081091","1016840001","East Harlem North                                                          "
"Senior Center","Risa Neighborhood Senior Center","546 Main Street NY, NY 10044","(212)-980-1888 or risa546@yahoo.com","10044","MANHATTAN","40.761781","-73.949762","8","5","23801","1083202","1013730030","Lenox Hill-Roosevelt Island                                                "
"Senior Center","Stanley Isaac's Neighborhood Senior Center","415 East 93rd Street NY, NY 10128","(212)-360-7620 or gmorris@isaacscenter.org","10128","MANHATTAN","40.780904","-73.945112","8","5","152","1082367","1015730001","Yorkville                                                                  "
"Senior Center","The Center at the Red Oak Neighborhood Senior Center","135 West 106th Street NY, NY 10025","(212) -749-7015","10025","MANHATTAN","40.799919","-73.964459","7","7","193","1055957","1018610010","Morningside Heights                                                        "
"Senior Center","YM YWHA Innovative Senior Center","54 Nagle Avenue NY, NY 10040","(212)-569-6200 or dkatznelson@ywashhts.org","10040","MANHATTAN","40.859993","-73.929129","12","10","285","1064146","1021720064","Washington Heights North                                                   "
"Community Garden","Marian S. Heiskell Garden","315 West 48th Street (between 8th and 9th Aves)","212-788-7900","10036","MANHATTAN","40.761344","-73.987723","4","3","127","1025138","1010390024","Clinton                                                                    "
"Community Garden","El Sitio Feliz at Union Settlement","203 East 104th Street (between 2nd and 3rd Aves)","212-360-8800","10029","MANHATTAN","40.790217","-73.94553","11","8","170","1000000","1016540005","East Harlem South                                                          "
"Community Garden","PS 76 Garden","203 W. 120th Street (between St Nicholas Ave and Adam Clayton Poweel Jr Blvd)","212-788-7900","10027","MANHATTAN","40.80598","-73.951098","10","9","220","1000000","1019260027","Central Harlem South                                                       "
"Community Garden","Fifth Street Slope Children's Garden","626-27 E. 5th Street (between Aves B and C)","212-788-7900","10009","MANHATTAN","40.723433","-73.980995","3","2","2601","1075625","1003870020","Lower East Side                                                            "
"Community Garden","Generation X Cultural Garden","270 East 4th Street (between Aves B and C)","212-788-7900","10009","MANHATTAN","40.722906","-73.981662","3","2","2601","1000000","1003860021","Lower East Side                                                            "
"Community Garden","Randall's Island Urban Farm","inside Icahn Stadium, 20 Randall's Island","212-860-1899",,,,,,,,,,
"Community Garden","Isabella Geriatric Center Garden","515 Audubon Avenue (at 190th Street)","212-342-9200","10040","MANHATTAN","40.854783","-73.927909","12","10","277","1063861","1021600001","Washington Heights North                                                   "
"Community Garden","Dorothy K. McGowan Memorial Garden","509 W. 158th Street (between Amsterdam Ave and Broadway)","212-788-7900","10032","MANHATTAN","40.833733","-73.942141","12","7","245","1062772","1021170044","Washington Heights South                                                   "
"Community Garden","Morris Jumel Community Garden","455-457 W. 162nd Street (between Edgecombe and Amsterdam Aves)","212-788-7900","10032","MANHATTAN","40.835442","-73.939039","12","10","24301","1000000","1021100057","Washington Heights South                                                   "
"Community Garden","William A. Harris Garden","153rd Street & St. Nicholas Ave","212-788-7900",,,,,,,,,,
"Community Garden","Maggie's Garden","564 W. 149th Street (between Broadway and Amsterdam Aves)","646-667-8851 or info@nysomgroup.org","10031","MANHATTAN","40.828472","-73.947418","9","7","233","1000000","1020800058","Hamilton Heights                                                           "
"Community Garden","Margrichantie Memorial Garden","155-159 W. 133rd Street","212-788-7900","10030","MANHATTAN","40.813563","-73.943564","10","9","226","1000000","1019180011","Central Harlem North-Polo Grounds                                          "
"Community Garden","Our Little Green Acres","275-277 West 122nd Street","212-788-7900","10027","MANHATTAN","40.807872","-73.951693","10","9","222","1000000","1019280105","Central Harlem South                                                       "
"Community Garden","Carrie McCracken Garden","215 W. 117th Street (at St. Nicholas Ave)","212-678-1611","10026","MANHATTAN","40.804364","-73.953111","10","9","218","1000000","1019230018","Central Harlem South                                                       "
"Community Garden","Magic Garden","1665 Park Avenue","212-788-7900","10035","MANHATTAN","40.800245","-73.942524","11","8","182","1000000","1016450003","East Harlem North                                                          "
"Community Garden","Pleasant Village Community Garden","342-353 Pleasant Ave. /502 E. 119th St","212-788-7900",,,,,,,,,,
"Community Garden","Rodale Pleasant Park Community Garden","437-39 E. 114th St./448-450 E. 115th St","212-333-2552 or info@nyrp.org",,,,,,,,,,
"Community Garden","Herb Garden","176 E. 111th Street,","212-333-2552 or info@nyrp.org","10029","MANHATTAN","40.795069","-73.943106","11","8","172","1000000","1016380142","East Harlem South                                                          "
"Community Garden","El Sitio Feliz (The Happy Place)","203 E. 104th Street,","212-788-7900","10029","MANHATTAN","40.790217","-73.94553","11","8","170","1000000","1016540005","East Harlem South                                                          "
"Community Garden","West 104th Street Garden","6-10 W. 104th Street/ 14-18 W. 104th Street","212-788-7900",,,,,,,,,,
"Community Garden","La Perla Garden","76 W. 105th","212-788-7900",,,,,,,,,,
"Community Garden","Clinton Community Garden","436 West 48th St","212-788-7900","10036","MANHATTAN","40.762717","-73.991026","4","3","127","1000000","1010570050","Clinton                                                                    "
"Community Garden","LaGuardia Corner Community Gardens","511 LaGuardia Place","sprucehous@aol.com","10012","MANHATTAN","40.727809","-73.999159","2","1","5501","1008242","1005240009","West Village                                                               "
"Community Garden","11th Street Community Garden/Chico West Garden","422 East 11th Street","212-788-7900","10009","MANHATTAN","40.729079","-73.983327","3","2","34","1000000","1004380019","East Village                                                               "
"Community Garden","El Sol Brillante Jr.","537 East 12th Street","212-788-7900","10009","MANHATTAN","40.728694","-73.980372","3","2","34","1000000","1004060046","East Village                                                               "
"Community Garden","103 Street Community Garden","105 East 103rd St","212-333-2552 or info@nyrp.org","10029","MANHATTAN","40.790817","-73.948859","11","8","166","1000000","1016310002","East Harlem South                                                          "
"Community Garden","El Catano Community Garden","171 East 110th St","212-333-2552 or info@nyrp.org","10029","MANHATTAN","40.794331","-73.943259","11","8","172","1000000","1016380032","East Harlem South                                                          "
"Community Garden","Herb Garden","176 East 111th St","212-333-2552 or info@nyrp.org","10029","MANHATTAN","40.795069","-73.943106","11","8","172","1000000","1016380142","East Harlem South                                                          "
"Community Garden","La Casita Community Garden","223 East 119th St","212-788-7900","10035","MANHATTAN","40.799606","-73.937894","11","8","194","1000000","1017840011","East Harlem North                                                          "
"Community Garden","Los Amigos Community Garden","326 Pleasant Ave","212-788-7900","10035","MANHATTAN","40.796043","-73.932422","11","8","178","1076407","1017160050","East Harlem North                                                          "
"Community Garden","Maggie's Garden","564 West 149th St.","646-667-8851 or info@nysomgroup.org","10031","MANHATTAN","40.828472","-73.947418","9","7","233","1000000","1020800058","Hamilton Heights                                                           "
"Community Garden","Target East Harlem Community Garden","415 East 117th St","212-333-2552 or info@nyrp.org","10035","MANHATTAN","40.79645","-73.934347","11","8","178","1000000","1017110008","East Harlem North                                                          "
"Community Garden","Dorothy Strelsin Memorial Community Garden","174 Suffolk St","212-333-2552 or info@nyrp.org","10002","MANHATTAN","40.720933","-73.985083","3","2","3001","1000000","1003500005","Chinatown                                                                  "
"Community Garden","Nueva Esperanza Jardin Garden","2-6 E. 110th Street, New York, NY 10029","212-788-7900","10029","MANHATTAN","40.796617","-73.948671","11","9","17401","1000000","1016157501","East Harlem South                                                          "
"Community Garden","Catano Garden","171 East 110th Street between Lexington and Third Avenues New York, NY","212-333-2552 or info@nyrp.org","10029","MANHATTAN","40.794331","-73.943259","11","8","172","1000000","1016380032","East Harlem South                                                          "
"Community Garden","Magic Garden","1665-71 Park Avenue, New York, NY 10035 United States","212-788-7900","10035","MANHATTAN","40.800245","-73.942524","11","8","182","1000000","1016450003","East Harlem North                                                          "
"Community Garden","La Plaza Cultural","Corner of 9th St & Ave C New York, NY 10009 East Village, Alphabet City","laplazamembers@gmail.com",,,,,,,,,,
"Community Garden","Earth People","8th Street between B&C or, 333-335 East 8th St.","212-788-7900",,,,,,,,,,
"Community Garden","Liz Christy Garden","110 E Houston St
New York, NY 10002
East Village, Alphabet City","Dlogg60798@aol.com","10002","MANHATTAN","40.723832","-73.991576","3","2","3602","1000000","1004560001","East Village                                                               "
"Community Garden","TRUCE community garden","215 W. 117th St.","info@harlemgarden.org","10026","MANHATTAN","40.804364","-73.953111","10","9","218","1000000","1019230018","Central Harlem South                                                       "
"Community Garden","110th Street Block Association Garden","Madison Av bet E 110 St and E 111 St",,,,,,,,,,,
"Community Garden","Jirasol Association","83 East 110th Street, New York, NY 10029","212-788-7900 or conyc@cenyc.org","10029","MANHATTAN","40.795787","-73.946761","11","8","17402","1051616","1016160034","East Harlem South                                                          "
"Community Garden","Pueblo Unido","1659 Madison Avenue, New York, NY 10029","212-788-7900 or conyc@cenyc.org","10029","MANHATTAN","40.796474","-73.9474","11","8","17402","1000000","1016160053","East Harlem South                                                          "
"Community Garden","Little Blue House","1675 Madison Avenue, New York, NY 10029","212-788-7900 or conyc@cenyc.org","10029","MANHATTAN","40.796976","-73.947034","11","8","17402","1000000","1016170122","East Harlem South                                                          "
"Community Garden","Friendly Garden","95 East 111th Street, New York, NY 10029","212-788-7900 or conyc@cenyc.org","10029","MANHATTAN","40.796245","-73.945843","11","8","17402","1000000","1016170035","East Harlem South                                                          "
"Community Garden","Villa Santurce Jardinera","74 E. 112th Street, New York, NY 10029","212-788-7900 or conyc@cenyc.org","10029","MANHATTAN","40.796895","-73.945424","11","8","17402","1000000","1016170038","East Harlem South                                                          "
"Community Garden","Chenchitas' Group","1691-93 Madison Avenue, New York, NY 10029","212-788-7900 or conyc@cenyc.org","10029","MANHATTAN","40.797308","-73.946792","11","8","17402","1000000","1016170051","East Harlem South                                                          "
"Community Garden","Young Devils Community Garden","1753 Madison Ave., New York, NY 10029","212-788-7900 or conyc@cenyc.org","10029","MANHATTAN","40.799549","-73.945154","11","8","184","1088480","1016217502","East Harlem North                                                          "
"Community Garden","La Cuevita Community Garden","71 E. 115th Street, New York, NY 10029","212-788-7900 or conyc@cenyc.org","10029","MANHATTAN","40.798797","-73.944151","11","8","184","1000000","1016210030","East Harlem North                                                          "
"Community Garden","116th St. Block Association","103 East 122nd Street, New York, NY 10035","212-788-7900 or conyc@cenyc.org","10035","MANHATTAN","40.803013","-73.940152","11","9","196","1000000","1017710005","East Harlem North                                                          "
"Community Garden","Sanidad Del Cielo","1881-83 Lexington Ave., New York, NY 10035","212-788-7900 or conyc@cenyc.org","10035","MANHATTAN","40.79944","-73.941011","11","8","182","1088805","1016457502","East Harlem North                                                          "
"Community Garden","El Gallo Social Club Inc.","1891-1895 Lexington Avenue, New York, NY 10035","212-788-7900 or conyc@cenyc.org","10035","MANHATTAN","40.799684","-73.940834","11","8","182","1000000","1016450152","East Harlem North                                                          "
"Community Garden","Mini Barrio Gardeners","1887 Lexington Avenue, New York, NY 10035","212-788-7900 or conyc@cenyc.org","10035","MANHATTAN","40.799588","-73.940903","11","8","182",,,"East Harlem North                                                          "
"Community Garden","Fountain of Living Waters Minister Church","1816-1822 Madison Avenue, New York, NY 10035","212-788-7900 or conyc@cenyc.org","10035","MANHATTAN","40.801486","-73.943766","11","9","184","1088477","1017457503","East Harlem North                                                          "
"Community Garden","United Block Association Garden","54-50 East 131st Street, New York, NY 10037","212-788-7900 or conyc@cenyc.org","10037","MANHATTAN","40.809333","-73.937441","11","9","206","1089072","1017550047","Central Harlem North-Polo Grounds                                          "
