"business_organization","business_type_other","company_name","company_description","organization_location","street_address","apt_number","borough","zipcode","business_phone","contact_name","contact_title","contact_phone","contact_fax","location","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Theater",,"Teatro Circulo, Ltd.","Teatro Circulo Ltd., is a theater company founded by a group of Puerto Rican artists with a strong academic background committed to preserving and promoting our cultural heritage through the presentation of creative, inclusive and educational theater works. It is our purpose to expose the public to the best works of Spanish and Puerto Rican playwrights, both contemporary and classical and in general, to foster an appreciation of the richness of Latin American and Iberian cultures in the context of the pluralism that characterizes NYC.","Teatro Circulo, Ltd.","59-61 East 4th Street ","6th Floor","Manhattan","10003",,"Jose Cheo Oliveras","Artistic Director","(212) 505-1808",,"59 61 East 4th Street
Manhattan, NY 10003
(40.731943947555, -73.98887214913)","40.726785","-73.990807","3","2","38","1082642","1004600056","East Village                                                               "
"Cultural Center",,"Ollantay Center for the Arts","Ollantay was founded by Pedro Monge-Rafuls in 1977.  At the time, there were no other cultural or artistic in Queens, a place where first generation Latin Americans had begun to settle. What began as a traveling theater has become a cultural organization supporting latino artists, authors and actors and has grown to include a film festival, a folklore program and a literature magazine.","Ollantay Center for the Arts","P.O. Box 720449",,"Jackson Heights","11372",,"Pedro Monge-Rafuls",,"(718) 699-6772",,"720449 Jackson Heights
NY,  11372
(40.751630739367, -73.883612545283)",,,,,,,,
"Cultural Center",,"Fruta Extrana, Inc.","Fruta Extrana Inc., is a not-for-profit organization that produces Fruta Extrana TV. The organization was created to manage and host activities that are exclusively charitable and educational. Fruta Extrana Inc. provides the Latino and Black lesbian, gay, bisexual, two spirit and transgender (LGBTST) community in New York City with health, education and cultural support. Fruta Extrana Inc. brings several different services to this broad community, serving as a link connecting individuals with necessary resources while providing a forum for discussion and education.","Fruta Extrana, Inc.","841 Barretto Street",,"Bronx","10474",,"Eric Stephen Booth","CEO","(718) 842-5223",,"841 Barretto Street
Bronx, NY 10474
(40.817722398112, -73.890438305651)","40.817647","-73.890354","2","17","93","2005939","2027390015","Hunts Point                                                                "
"Theater",,"Repertorio Espanol","Repertorio Espanol is a repertory theater with the best plays in town, in Spanish! Comedies, dramas, dance, classics from the Spanish Literature and all Latin America, we have them all! Come and spend an evening with us and then visit one of the many top-restaurants around our jewel-box theater, The Gramercy Arts. Visit our website, www.repertorio.org for a full schedule, descriptions of our plays and restaurant listings. Ticket prices are affordable and discounts are available for students and seniors.","Repertorio Espanol","138 East 27th Street ",,"Manhattan","10016",,"Jose Antonio Cruz","Director of Audience Development","(212) 889-2850 x 955",,"138 27th Street
Manhattan, NY 10016
(40.741932745189, -73.982777704928)","40.741886","-73.982599","6","2","68","1018151","1008820060","Gramercy                                                                   "
"Cultural Center",,"Multicultural Music Group, Inc.","The mission of the MMG is to provide performances, instruction and professional development in multicultural music as a tool to promote global understanding and academic achievement.  The training, presentation and instruction provide the constituents the opportunity to experience artistic growth and cultural awareness through the acquisition of specific knowledge, skills and attitudes that contribute to a more harmonious society and a better lifelong enjoyment of music.","Multicultural Music Group, Inc.","601 Walton Avenue",,"Bronx","10451",,"Luis Mojica","Executive Director","(718) 884-5495",,"601 Walton Avenue
Bronx, NY 10451
(40.820191598738, -73.927916839104)","40.820221","-73.927849","4","8","63","2001136","2023530048","West Concourse                                                             "
"Cultural Center",,"Nuyorican Poets Cafe","A non-profit organization, the Cafe has emerged as one of the country's most highly respected arts organizations and has become an acclaimed forum for innovative poetry, music, hip hop, video, visual arts, comedy and theatre. The mission of the Cafe is to create a multi-cultural venue that both nurtures artists and exhibits a variety of artistic works. Without limitation, we are dedicated to providing a stage for the arts with access for the widest public.","Nuyorican Poets Cafe","236 E. 3rd Ave.",,"Manhattan","10009",,"Rome Neal","Artistic Director","(212) 505-8183",,"236 3rd Ave
Manhattan, NY 10009
(40.722040152979, -73.981521145151)",,,,,,,,
"Cultural Center",,"Henry Street Settlement","Founded in 1893 by social work pioneer Lillian Wald and based on Manhattan's Lower East Side, the Henry Street Settlement delivers a wide range of social service and arts programming to more than 100,000 New Yorkers each year. Distinguished by a profound connection to its neighbors, a willingness to address new problems with swift and innovative solutions, and a strong record of accomplishment, Henry Street challenges the effects of urban poverty by helping families achieve better lives for themselves and their children. Henry Street's core divisions include a multidisciplinary arts center, shelter and supportive services, behavioral and health services, senior services, home care services, a workforce development center, day care centers, and after school and summer programs for neighborhood youth.","Henry Street Settlement","265 Henry Street",,"Manhattan","10002",,,,"(212) 766-9200",,"265 Henry Street
Manhattan, NY 10002
(40.713875617781, -73.984342988978)","40.713857","-73.984532","3","1","202","1079627","1002880078","Lower East Side                                                            "
"Dance Company",,"Flamenco Vivo Carlota Santana","Flamenco Vivo Carlota Santana's mission is to use the universal spirit of Flamenco to build bridges between cultures. The Company commissions new works for their annual New York Seasons at The Joyce Theater, conducts community and school programs throughout New York City and the tri-state area and tours nationally.","Flamenco Vivo Carlota Santana","481 Eighth Avenue","# 744","Manhattan","10001",,"Carlota Santana","Artistic Director","(212) 736-4499",,"481 Eighth Avenue
Manhattan, NY 10001
(40.752537471821, -73.993219297407)","40.752295","-73.993402","4","3","111","1013561","1007580037","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"Cultural Center",,"Boricua Festival Committee, Inc.","The Mission of the Boricua Festival Committee Inc. (BFC inc.) is to promote social interaction throughout the Brooklyn Latino Community by working with local community based organizations and elected officials, by fostering and maintaining the spirit of cultural advancement. ","Boricua Festival Committee, Inc.","539 59th Street",,"Brooklyn","11220",,"Patricia Ruiz",,,,"539 59th Street
Brooklyn, NY 11220
(40.639563672678, -74.014679434114)","40.639512","-74.014625","7","38","102","3016095","3008560060","Sunset Park East                                                           "
"Cultural Center",,"Cool Culture","Cool Culture connects low-income families and cultural institutions, empowering parents and guardians to take advantage of these unique educational resources. Our programs are specifically designed to help low-income families overcome the obstacles that prevent them from visiting arts and cultural institutions. Once these obstacles are removed, parents and guardians learn techniques and approaches to make their visits as beneficial for their children's learning as possible. And because we provide access to a range of cultural institutions, each with its own valuable resources, we offer year-round opportunities for families to support their children's education.","Cool Culture","80 Hanson Place","Suite 604","Brooklyn","11217",,"Gail Velez","Co-founder","(718) 230-4186",,"80 Hanson Place
Brooklyn, NY 11217
(40.685489420654, -73.974302724908)","40.685488","-73.974421","2","35","35","3057479","3020030034","Fort Greene                                                                "
"Cultural Center",,"Centro Educativo Bolivariano, Inc.","This Center was created to contribute in the formation of a new generation of children with concrete values and principles in the city of New York. Students will be submerged in an environment where they can learn not only Spanish but also art, theater, sports, etc. This center aims to work with families in order to help them create a better society.","Centro Educativo Bolivariano, Inc.","33-16 79th St.",,"Jackson Heights","11370",,"Liliana Estrella",,"(718) 396-1161",,"33 16 79th St Jackson Heights
NY,  11370
(40.75935377086, -73.8918440004)","40.754791","-73.888083","3","25","287","4437110","4012510012","Jackson Heights                                                            "
"Cultural Center",,"Bowery Arts & Science ","BAS is a non-profit organization that was founded in 1995. We are dedicated to the preservation and enhancement of the oral tradition of poetry via live readings, media creation, and to elevating the status of poetry to that of its sister arts. Our mission includes a strong educational component, introducing all manners of poetry to students of all ages; the preservation of endangered languages via the valuation of the poetry of these cultures; and the infusion and integration of poetry with other arts and into the daily life of the citizenry.","Bowery Arts & Science ","310 Bowery",,"Manhattan","10012",,"Bob Holman","Artistic Director","(212) 334-6414",,"310 Bowery
Manhattan, NY 10012
(40.724912615612, -73.992431718925)","40.724804","-73.992373","2","1","5502","1008202","1005210077","West Village                                                               "
"Theater",,"INTAR Theatre","Through an integrated program of workshops, productions of works in progress, and mainstage productions, INTAR continues to raise standards of the theater arts.  INTAR brings to the public vital and energetic voices of both promising and accomplished Latino theater professionals, replacing stereotypes while giving expression to the diversity and depth of today's Latino-American community. 
 
 
","INTAR 53","508 West 53rd Street",,"Manhattan","10019",,"Editha Rosario","Executive Director","(212) 695-6134",,"508 53rd Street
Manhattan, NY 10019
(40.766999841164, -73.991521095888)","40.766839","-73.991101","4","3","135","1087777","1010817502","Clinton                                                                    "
"Cultural Center",,"Casita Maria, Inc.","Casita Mariaâs mission is to create a gateway of opportunity through after school education in the Arts, Literacy and Job Creation while addressing critical needs for youth, families and seniors in predominantly Hispanic communities in New York City and beyond.","Casita Maria, Inc.","830 Southern Blvd., 4th Fl.","c/o Saint Athanasius School","Bronx","10459",,"Lue Ann Eldar",,"(718) 589-2230",,"830 Southern Blvd
Bronx, NY 10459
(40.817038735257, -73.895429643057)","40.81693","-73.895572","2","17","89","2005843","2027320012","Hunts Point                                                                "
"Cultural Center",,"Mano a Mano:  Mexican Culture Without Borders","Mano a Mano: Mexican Culture Without Borders is a nonprofit organization (501(c)3) in its sixth year of presenting major collaborative cultural events in the New York City area. It began as an initiative of the Center for Traditional Music and Dance in the Mexican community of New York. Composed of Mexicans and Mexican-Americans of many generations and occupations, the Mano a Mano Organizing Committee strives to present the rich range of Mexican cultural forms.","Mano a Mano:  Mexican Culture Without Borders","64 Fulton Street","#403","Manhattan","10038",,"Emily Socolov","Executive Director","(212) 587-3070",,"64 Fulton Street
Manhattan, NY 10038
(40.708866394078, -74.005171287176)","40.708769","-74.005136","1","1","1502","1001176","1000760001","Battery Park City-Lower Manhattan                                          "
"Dance Company",,"Flamenco Latino","Flamenco Latino combines flamenco dance with salsa music. The non-profit organization offers performing groups of 3 to 10 artists, has extensive experience presenting arts in education programs, offers adult classes in flamenco dance and guitar, and can provide flamenco guitarists and other musicians for background music engagements.","Flamenco Latino","250 West 54th Street","Suite 701","Manhattan","10019",,"Basilio Georges","Executive Director","(212) 399-8519",,"250 54th Street
Manhattan, NY 10019
(40.764384590839, -73.983415695905)","40.764308","-73.983145","5","3","131","1024842","1010250054","Midtown-Midtown South                                                      "
"Dance Company",,"Retumba! (Resound!)","An all women Afro-Caribbean dance and music ensemble, Retumba! brings to the audience the joy of life that can be experience through the gift of diversity in its presentation of folkloric music and dance of Puerto Rico, Cuba, Haiti, Dominican Republic, and Brazil. Retumba! demonstrates the similarities and links of Caribbean music to Africa and Europe.","Retumba! (Resound!)"," P.O. Box 7    ",,"Bronx","10464",,"Yvette Martinez","Director","(718) 885-2574",,"7 Bronx
NY,  10464
(40.875709096797, -73.812297250418)",,,,,,,,
"Theater",,"Latin American Theatre Ensemble","Founded in 1970 by Mario Pena and Margarita Toirac, the LATIN AMERICAN THEATRE ENSEMBLE/EL PORTON (LATE) is a not-for-profit theater that has been responsible for the development of dramatic and literary talent from within the Hispanic-American community of New York City, and has promoted Latin American and Spanish theater through its seasonal productions and uninterrupted workshop series.","Latin American Theatre Ensemble","P.O. Box 18, Radio City Station",,"Manhattan","10101",,"Margarita Toirac","Executive Producer",,,"18 Radio City Station
Manhattan, NY 10101
(40.763738000009, -73.985688999648)","40.760111","-73.979919","5","4","104","1083862","1012660001","Midtown-Midtown South                                                      "
"Cultural Center",,"Bread & Roses Cultural Project, Inc.","Bread and Roses is the not-for-profit cultural arm of New York's Health and Human Service Union, 1199/SEIU. Its 220,000 predominantly Latina and African American women members are employed in all job categories in health care institutions throughout the metropolitan area, New Jersey and Florida. Bread and Roses actively strives to depict artistic, cultural and historical themes and issues affecting people from many backgrounds. The New York Times has recognized us as ""the most important cultural project in the labor movement"". Bread and Roses established the only permanent union exhibition space in the nation, Gallery 1199, at the union's New York City headquarters. Because of its diverse constituency of working people, many of whom are immigrants, Bread and Roses is the national leader for collaborative work, with a union, to bring the arts to an enormous group of people largely not reached by traditional arts institutions and programs. ","Bread & Roses Cultural Project, Inc.","322 West 48th Street, 6th floor",,"Manhattan","10036",,"Esther Cohen","Executive Director","(212) 767-0025",,"322 48th Street
Manhattan, NY 10036
(40.761285091601, -73.987680830353)","40.761399","-73.987896","4","3","127","1025108","1010380043","Clinton                                                                    "
"Cultural Center",,"Point Community Development Corp.","THE POINT COMMUNITY DEVELOPMENT CORPORATION is a nonprofit organization 501 (c) (3) dedicated to youth development and the cultural and economic revitalization of the Hunts Point section of the South Bronx. We work with our neighbors to celebrate the life and art of our community, an area traditionally defined solely in terms of its poverty, crime rate, poor schools, and substandard housing. We believe the area's residents, their talents and aspirations, are The Point's greatest assets. Our mission is to encourage the arts, local enterprise, responsible ecology, and self-investment in the Hunts Point community.","Point Community Development Corp.","940 Garrison Avenue",,"Bronx","10474",,"Maria Torres","COO","(718) 542-4139",,"940 Garrison Avenue
Bronx, NY 10474
(40.818136215724, -73.890954467788)","40.818219","-73.890899","2","17","93","2005984","2027400075","Hunts Point                                                                "
"Museum/Gallery",,"Art in General","Art in General fulfills its mission through a variety of ways, including the organization and presentation of exhibitions, hosting a national and international artist residency program, and through educational in-school art training, regular public programs and membership events. Beginning in 2005, its exhibition program has focused on the commissioning of new work from artists.","Art in General","79 Walker Street",,"Manhattan","10013",,"Anne Barlow","Executive Director","(212) 219-0473",,"79 Walker Street
Manhattan, NY 10013
(40.718273302505, -74.001744870245)","40.718247","-74.001714","1","1","31","1002324","1001950009","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Cultural Center",,"The Bronx Museum of the Arts","BxMAâs permanent collection is unique in its focus on contemporary art by artists of African, Asian, and Latin American descent. Initiated in 1986, BxMA's collection policy demonstrates an ongoing commitment to exhibit, preserve, and document the work of artists not typically represented within more traditional museum collections. In 2000 it was expanded to include artists who have live(d) and/or work(ed) in the Bronx and for whom the Bronx has been critical to their artistic development. The collection is composed of more than 800 contemporary works of art in all media, conveying a broad range of modern and contemporary art practices.Â  ","The Bronx Museum of the Arts","1040 Grand Concourse at 165th St.",,"Bronx","10456",,"Antonio Sergio Bessa","Acting Director of Programs","(718) 681-6000",,"1040 Grand Concourse at 165th St
Bronx, NY 10456
(40.830436680009, -73.907765199504)","40.831063","-73.920361","4","16","18102","2002826","2024620001","East Concourse-Concourse Village                                           "
"Cultural Center",,"El Taller Latino Americano","El Taller is an arts and education organization, founded in 1979, to bridge the distance between Latin Americans and North Americans. El Taller offers a varied menu of Spanish, Portuguese and English classes, art, dance and music workshops, concerts and art exhibits that seek to gather together culturally and linguistically mixed audiences on the common ground of creativity.","El Taller Latino Americano","2710 Broadway","3rd Floor","Manhattan","10025",,"Bernardo Palombo","Artistic Director","(212)665-9460",,"2710 Broadway
Manhattan, NY 10025
(40.799563020733, -73.968182172111)","40.799558","-73.968299","7","7","191","1056574","1018750046","Upper West Side                                                            "
"Cultural Center",,"KR3TS (Keep Rising To The Top)","We have over 80 dancers from 3-35 from armatures to professionals, helping them build their self esteem & motivation to help them reach their goals in life. We do hip hop, Latin, old/new school etc.","KR3TS","119 E. 102nd St. ","#5B ","Manhattan","10029",,"Violeta Galagarza","Artistic Director","(212) 410-9426",,"119 102nd St
Manhattan, NY 10029
(40.790124065516, -73.949113308117)","40.790008","-73.948885","11","8","166","1051879","1016300010","East Harlem South                                                          "
"Cultural Center",,"PAMAR, Inc.","Pan American Musical Art Research, Inc., (PAMAR) is a 501c3 non-profit organization seeking to promote a better understanding and coexistence between the various cultures and countries of the Americas, primarily through an ongoing and vital exchange of their artistic fields including music, dance, theater, film, visual arts and literature, and through educational programs. PAMAR reaches out to people of all ages, backgrounds, and communities, to spread awareness of the richness and value of the culture of Latin America, and makes efforts to provide the underserved student population with high quality music opportunities and programs.","PAMAR, Inc.","330 East 49th Street","Suite 11-J","New York","10017","(212) 688-6862","Polly Ferman","Artistic Director","(212) 688-6862","(212) 688-6862","330 49th Street
New York, NY 10017
(40.753900488019, -73.968243121953)","40.753877","-73.968122","6","4","90","1038935","1013417501","Turtle Bay-East Midtown                                                    "
"Cultural Center",,"Young Dancers in Repertory, Inc.","YDR provides youth with a nourishing, educational environment that encourages and develops self-efficacy, skill and esteem building, and leadership qualities through dance. We offer youth between the ages of 4-18 an opportunity to realize their highest potential and fulfill their artistic goals through quality, disciplined, creative, structured, challenging, and fun-filled dance programming.  YDR provides artistic and educational experiences to youth regardless of professional intention, aptitude, previous training, or ability to pay for classes.  Through dance, YDR brings people of different cultural and economic backgrounds together in a non-threatening way to begin building bridges among people of different origins by exploring our commonalities and differences in International dance forms.","Young Dancers in Repertory, Inc.","P.O. Box 205037, Sunset Station",,"Brooklyn","11220",,"Carol Mezzacappa","Co-Founder","(718) 567-9620",,"205037 Sunset Station
Brooklyn, NY 11220
(40.641184928741, -74.016764726711)",,,,,,,,
"Cultural Center",,"Manna House Workshops","Manna House Workshops was founded in 1967 by Gloria DeNard, an alumna of the Juilliard School of Music. A handful of East Harlem residents, members of local churches, and a volunteer lawyer formed a 501 (c) 3, not-for-profit cultural center. Music lessons on a one-to-one basis and group instruction was offered at low cost to all ages and ethnicities. The mission of Manna House is to meet the needs of talented persons in an economically deprived community by providing a lifelong learning experience, primarily through America's classical music, Jazz, and the visual and performing arts. Music training gives us the discipline needed to succeed in our endeavors.","Manna House Workshops","338 E. 106 St.  ",,"Manhattan","10029",,"Gloria DeNard","Director","(212) 722-8223",,"338 106 St
Manhattan, NY 10029
(40.790205849088, -73.941521053518)","40.790012","-73.941005","11","8","170","1052766","1016770035","East Harlem South                                                          "
"Dance Company",,"Bronx Dance Theatre, Inc.","For thirty years BRONX DANCE THEATRE has been incorporating the Art form of Dance into the fabric of Bronx life.  Our students learn discipline while experiencing the joy of dance. We prepare Bronx youth to become independent and productive citizens.  Our strong emphasis on classical dance techniques distinguishes BRONX DANCE THEATRE from all the other dance programs in the Bronx. All of our students have the opportunity to participate in professionally staged shows, an experience that informs their life (and delights their families).  The BRONX DANCE THEATRE offers quality professional training in Classical Ballet (Russian technique), Lyrical and Broadway Jazz, Latin Jazz, Tap, Modern (Horton & Graham techniques), West African, Hip-Hop, Salsa, Flamenco, Yoga and Belly Dance.","Bronx Dance Theatre, Inc.","585 East 187th Street, 2nd Floor",,"Bronx","10458",,"Barbara Klein","Artistic Director","(718) 364-2725",,"585 187th Street
Bronx, NY 10458
(40.855815638196, -73.887982430806)","40.855797","-73.888003","6","15","389","2011907","2030660002","Belmont                                                                    "
"Theater",,"Pregones Touring Puerto Rican Theater","Pregones Theater is a Bronx-based ensemble whose mission is (1) to create and perform original musical theater and plays rooted in Puerto Rican/Latino cultures, and (2) to present other performing artists who share our twin commitment to the arts and civic enrichment.","Pregones Touring Puerto Rican Theater","571-575 Walton Ave.",,"Bronx","10451",,"Rosalba Rolon","Artistic Director","(718) 585-1202",,"571 575 Walton Ave
Bronx, NY 10451
(40.820696407114, -73.923841367985)","40.819393","-73.928132","4","8","63","2001107","2023520045","West Concourse                                                             "
"Cultural Center",,"Black Filmmaker Foundation","Established in 1978, The Black Filmmaker Foundation is a non-profit organization that for more than two decades has played a pivotal role in the emergence of the contemporary black film movement. BFF is the home of www.dvRepublic.org, an online community that hosts public discussion and political critiques of film and television and the BFF DV Lab, which incubates new filmmakers and new media.","Black Filmmaker Foundation","11 W. 42nd Street ",,"Manhattan","10036",,,,"(212) 253-1690",,"11 42nd Street
Manhattan, NY 10036
(40.753669752489, -73.981254175905)","40.75379","-73.981599","5","4","96","1034198","1012580021","Midtown-Midtown South                                                      "
"ResearchAcademic Center",,"La Casa de la Herencia Puertorriquena","Research center for information about Puerto Rico and other Hispanic countries, material available in English and Spanish. Special Classes available, call for more information.
","Casa de la Herencia Puertorriquena","1230 5th Avenue","#458","Manhattan","10029",,"Eli Alvarado","Interim Director","(212) 722-2600",,"1230 5th Avenue
Manhattan, NY 10029
(40.793276759748, -73.951850484059)","40.793072","-73.951992","11","8","168","1051499","1016100001","East Harlem South                                                          "
"Theater",,"Teatro TEBA","Teatro TEBA is a Brooklyn based OBIE grant winner, is a touring company founded in 1988. They are the only bilingual, experimental and avant-garde Latino theater company of Kings County. Winner of 4 Latin ACE awards, TEBA has brought the best of Latin American underground theater throughout New York's five boroughs.","Teatro TEBA "," P.O. Box 572, Coney Island Station",,"Brooklyn","11224",,"Kathy Tejada","Executive Producer","(718) 896-4702",,"572 Coney Island Station
Brooklyn, NY 11224
(40.643372295795, -73.970088161538)",,,,,,,,
"Theater",,"Teatro La Tea","Founded in 1982, La Tea is committed to fostering and preserving Latin American literature, music and the visual arts. We seek to maintain our cultural heritage and to strengthen and advance the understanding of the contribution made by Latinos in a pluralistic society.","Teatro La Tea","107 Suffolk Street","Suite 200","Manhattan","10009",,"Nelson Landrieu","Executive Director","(212) 529-1948",,"107 Suffolk Street
Manhattan, NY 10009
(40.726649358981, -73.979111485007)","40.718943","-73.986122","3","1","1402","1004301","1003530054","Lower East Side                                                            "
