"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","number_and_street_address","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Jobs & Internships, Youth Employment","Summer Youth Employment ","South Bronx Overall Economic Development Corp.","Bronx","South Bronx Overall Economic Development Corp.","718-292-3113","14 to 21","555 Bergen Avenue
Bronx, NEW YORK 10455
(40.815944415254, -73.916415911483)","555 Bergen Avenue , 3rd Fl.","10455","40.815959","-73.916354","1","17","71","2097027","2022940002","Melrose South-Mott Haven North                                             "
"Youth Employment, NDA Youth Employment","Youth Employment","Samuel J. Tilden High School - H.S. 415","Brooklyn","Church Avenue Merchants Block Association, Inc.","718.629.4523","HS","5800 Tilden Avenue
Brooklyn, NEW YORK 11203
(40.648631368632, -73.922285497256)","5800 Tilden Avenue","11203","40.648657","-73.922171","17","45","936","3104598","3047420001","Rugby-Remsen Village                                                       "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Police Athletic League, Inc. - Manhattan ","Manhattan","Police Athletic League, Inc. - Manhattan ","718-389-5309","14 to 21","441 Manhattan Avenue
Manhattan, NEW YORK 10026
(40.806694644425, -73.955618643362)","441 Manhattan Avenue","10026","40.806654","-73.955649","10","9","257","1088138","1019450051","Central Harlem South                                                       "
"Youth Employment, NDA Youth Employment","Youth Employment","SCO Family of Services","Brooklyn","SCO Family of Services","718.455.1166","HS","75 Lewis Avenue
Brooklyn, NEW YORK 11206
(40.695007999414, -73.937422302529)","75 Lewis Avenue","11206","40.694962","-73.937422","3","36","287","3379533","3015920001","Stuyvesant Heights                                                         "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Edith and Carl Marks Jewish Community House of Bensonhurst","Brooklyn","Edith and Carl Marks Jewish Community House of Bensonhurst","718-331-6800","14 to 21","7802 Bay Parkway
Brooklyn, NEW YORK 11214
(40.606424326706, -73.989192742721)","7802 Bay Parkway","11214","40.606369","-73.989235","11","44","270","3162352","3062640030","Bensonhurst West                                                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Detances Community Center","Bronx","Aspira of New York, Inc.","212-564-6880","14 to 21","545 146th Street
Bronx, NEW YORK 10455
(40.812738163622, -73.915310368294)","545 East 146th Street ","10455","40.812684","-73.915213","1","8","43","2093912","2022720038","Mott Haven-Port Morris                                                     "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Mosholu Montefiore Community Center, Inc.","Bronx","Mosholu Montefiore Community Center, Inc.","718-882-4000 ","14 to 21","3450 Dekalb Avenue
Bronx, NEW YORK 10467
(40.881106944743, -73.881708466169)","3450 Dekalb Avenue","10467","40.881486","-73.881226","7","11","421","2096396","2033270001","Norwood                                                                    "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Brownsville Beacon PAL","Brooklyn","Police Athletic League, Inc. - Brooklyn ","718-389-5309","14 to 21","985 Rockaway Ave
Brooklyn, NEW YORK 11212
(40.656451255408, -73.907322828305)","985 Rockaway Ave","11212","40.656068","-73.907245","16","42","922","3082940","3036360007","Brownsville                                                                "
"Youth Employment, NDA Youth Employment","Youth Employment","Bronx Community Resource Center","Bronx","Covenant House/Under 21","718.294. 7182","HS","81 83C Featherbed Lane
Bronx, NEW YORK 10452
(40.837724263364, -73.923332211412)"," 81-83C Featherbed Lane","10452","40.846306","-73.917755","5","14","21502","2008809","2028760037","University Heights-Morris Heights                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","PAL-Foster Laurie Center","Bronx","Police Athletic League, Inc. - Bronx ","718-389-5306","14 to 21","991 Longwood Ave
Bronx, NEW YORK 10459
(40.817260540417, -73.897738395898)","199-10 11th Ave","11412",,,,,,,,
"Youth Employment, NDA Youth Employment","Youth Employment","Project Ready Headquarters","Bronx","Mount Hope Housing Company","718.466.3600","MS/HS","55 175th Street
Bronx, NEW YORK 10453
(40.847312989377, -73.911364754436)","55 E. 175th Street","10453","40.847256","-73.911295","5","14","22701","2115885","2028500034","Mount Hope                                                                 "
"Youth Employment, NDA Youth Employment","Youth Employment","Harlem RBI (Reviving Baseball in Inner Cities)","New York","Harlem RBI (Reviving Baseball in Inner Cities)","212.722.1608","MS/HS","333 100 Street
New York, NEW YORK 10029
(40.786495147586, -73.944398806435)","333 East 100 Street","10029","40.786209","-73.943789","11","8","164","1087440","1016720017","East Harlem South                                                          "
"Youth Employment, NDA Youth Employment","Youth Employment","Intermediate School 232 - WInthrop School","Brooklyn","Sesame Flyers International, Inc.","718.693.0500","HS","905 Winthrop Street
Brooklyn, NEW YORK 11203
(40.658451422174, -73.929131359882)","905 Winthrop Street","11203","40.65843","-73.929076","17","41","880","3099733","3046060025","Prospect Lefferts Gardens-Wingate                                          "
"Youth Employment, NDA Youth Employment","Youth Employment","Mid-Bronx Council Services, Inc.","Bronx","Mid-Bronx Council Services, Inc.","718.588.8200","HS","1125 Grand
Bronx, NEW YORK 10452
(40.837724263364, -73.923332211412)","1125 Grand Concourse","10452","40.832627","-73.919398","4","16","195","2002893","2024720034","West Concourse                                                             "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Police Athletic League, Inc. - Vulnerable Youth","Manhattan","Police Athletic League, Inc. - Vulnerable Youth","718-389-5309","14 to 21","34 1 2 East 12th Street
Manhattan, NEW YORK 10003
(40.734434119371, -73.994010700793)","34 1/2 East 12th Street","10003","40.733809","-73.992549","2","2","61","1009129","1005630020","West Village                                                               "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Rockaway Development & Revitalization Corporation","Queens","Rockaway Development & Revitalization Corporation","718-327-5300 ","14 to 21","1920 Mott Avenue
Queens, NEW YORK 11691
(40.603879525424, -73.752178931552)","1920 Mott Avenue , 2nd Fl","11691","40.603907","-73.752262","14","31","103202","4457760","4155590012","Far Rockaway-Bayswater                                                     "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Childrens Arts & Science Workshops, Inc. -Man","Manhattan","Childrens Arts & Science Workshops, Inc. -Man","212-740-8170","14 to 21","686 204th Street
Manhattan, NEW YORK 10034
(40.867820783176, -73.92367507748)","686 West 204th Street","10034","40.867968","-73.923733","12","10","295","1064965","1022390021","Marble Hill-Inwood                                                         "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","St. Mary's Community Services, Inc.","Brooklyn","St. Mary's Community Services, Inc.","718-230-0827 ","14 to 21","230 Classon Avenue
Brooklyn, NEW YORK 11205
(40.692595753924, -73.960848293137)","230 Classon Avenue","11205","40.692769","-73.960824","2","35","193","3054909","3019090053","Clinton Hill                                                               "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Community Counseling & Mediation","Brooklyn","Community Counseling & Mediation","718-875-7751","14 to 21","1 Hoyt Street
Brooklyn, NEW YORK 11201
(40.690518508188, -73.985068505069)","1 Hoyt Street , 7th Fl","11201","40.690419","-73.98519","2","33","37","3332518","3001570009","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","The Lucile Palmaro Clubhouse","Bronx","Kips Bay Boys & Girls Club","718-893-8600","14 to 21","1930 Randall Avenue
Bronx, NEW YORK 10473
(40.81782677019, -73.856685373362)","1930 Randall Avenue","10473","40.817841","-73.856704","9","18","16","2090508","2035280017","Soundview-Castle Hill-Clason Point-Harding Park                            "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Jacob A. Riis Neighborhood Settlement, Inc.","Queens","Jacob A. Riis Neighborhood Settlement, Inc.","718-784-7447 ","14 to 21","10 25 41st Avenue
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","10-25 41st Avenue","11101","40.755488","-73.945328","1","26","25","4433386","4004700100","Queensbridge-Ravenswood-Long Island City                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Woodycrest Center For Human Development","Bronx","Woodycrest Center For Human Development","718-992-4256","14 to 21","153 165th Street
Bronx, NEW YORK 10452
(40.83108457688, -73.920857534442)","153 West 165th Street","10452","40.834544","-73.928932","4","8","193","2003478","2025260034","Highbridge                                                                 "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Sat. Community Partnership Center.","Manhattan","Ecumenical Community Development Organization","212-531-3211 ","14 to 21","413 125th Street
Manhattan, NEW YORK 10027
(40.811706778839, -73.954731383002)","413 West 125th Street,","10027","40.81168","-73.954703","9","7","20901","1059548","1019660066","Morningside Heights                                                        "
"Youth Employment, NDA Youth Employment","Youth Employment","Concord Family Services, Inc.","Brooklyn","Concord Family Services, Inc.","718.398.3499","HS","583 593 Vermont Street
Brooklyn, NEW YORK 11207
(40.670802431187, -73.893841150049)","583-593 Vermont Street","11207","40.664807","-73.892065","5","42","1126","3400390","3038250021","East New York (Pennsylvania Ave)                                           "
"Youth Employment, NDA Youth Employment","Youth Employment","Junior High School 258 (K) - David Ruggles School ","Brooklyn","Vannguard Urban Improvement Association, Inc.","718.453.3330","MS/HS","141 Macon Street
Brooklyn, NEW YORK 11216
(40.681569834988, -73.945596139676)","141 Macon Street","11216","40.681572","-73.945446","3","36","269","3053075","3018450001","Bedford                                                                    "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Chinatown Manpower Project, Inc.","Manhattan","Chinatown Manpower Project, Inc.","212-571-1690","14 to 21","70 Mulberry Street
Manhattan, NEW YORK 10013
(40.716141909295, -73.999172809241)","70 Mulberry Street 3rd flr","10013","40.716092","-73.999203","3","1","29","1066494","1002000001","Chinatown                                                                  "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Helen's House & Youth Center","Manhattan","Henry Street Settlement, Inc. - Manhattan ","212-254-3100  ","14 to 21","301 Henry Street
Manhattan, NEW YORK 10002
(40.71399949306, -73.983398773047)","301 Henry Street ,","10002","40.714054","-73.982797","3","1","202","1003737","1002880021","Lower East Side                                                            "
"Youth Employment, NDA Youth Employment","Youth Employment","Police Athletic League PAL-Webster Center ","Bronx","Police Athletic League, Inc.","212.477.9450",,"2255 Webster Avenue
Bronx, NEW YORK 10457
(40.855630916719, -73.896023210038)","2255 Webster Avenue","10457","40.855656","-73.895978","5","15","38302","2013329","2031430203","Fordham South                                                              "
"Youth Employment, NDA Youth Employment","Youth Employment","Intermediate School 43 ","Queens","Federation Employment & Guidance Services (FEGS)","212.366.8401","MS/HS","160 Beach 29th Street
Queens, NEW YORK 11691
(40.594515128003, -73.761826540295)","160 Beach 29th Street","11691","40.593834","-73.76174","14","31","99802","4467711","4158200001","Far Rockaway-Bayswater                                                     "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Goodwill Industries of Greater New York","Queens","Goodwill Industries of Greater New York","718-278-9667 ","14 to 21","4 21 27th Avenue
Queens, NEW YORK 11102
(40.771524024514, -73.926435450735)","4-21 27th Avenue","11102","40.774582","-73.932957","1","22","87","4020648","4009090001","Old Astoria                                                                "
"Youth Employment, NDA Youth Employment","Youth Employment","Project Care of Brooklyn, Inc","Brooklyn","Project Care of Brooklyn, Inc","718.387.4500","HS","164 Clymer Street
Brooklyn, NEW YORK 11211
(40.706632200839, -73.963450637046)","164 Clymer Street","11211","40.706902","-73.963077","1","33","535","3059866","3021730016","Williamsburg                                                               "
"Youth Employment, NDA Youth Employment","Youth Employment","Bnos Yakov Educational Center","Brooklyn","Bnos Yakov Educational Center","718.963.1212","MS/HS","62 Harrison Avenue
Brooklyn, NEW YORK 11211
(40.705097775655, -73.952713601158)","62 Harrison Avenue","11211","40.704892","-73.952445","1","33","529","3060902","3022200038","Williamsburg                                                               "
"Youth Employment, NDA Youth Employment","Youth Employment","St. Stephen Outreach","Brooklyn","St. Stephen Outreach","718.384.8854","All grades","874 Myrtle Avenue
Brooklyn, NEW YORK 11206
(40.695576730553, -73.947239332629)","874 Myrtle Avenue","11206","40.695579","-73.947375","3","36","25901","3048641","3017550032","Bedford                                                                    "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Childrens Arts & Science Workshops, Inc. -Bx","Bronx","Childrens Arts & Science Workshops, Inc. -Bx","718-220-4444","14 to 21","229 204th Street
Bronx, NEW YORK 10458
(40.874474725772, -73.88509666649)","229 East 204th Street","10458","40.874409","-73.885314","7","11","413","2090492","2033110152","Bedford Park-Fordham North                                                 "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Same as Agency Name","Brooklyn","Colony South Brooklyn Houses","718-643-2930","14 to 21","297 Dean Street
Brooklyn, NEW YORK 11217
(40.684294153023, -73.982115834364)","297 Dean Street","11217","40.684309","-73.982192","2","33","39","3001188","3001910041","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Youth Employment, NDA Youth Employment","Youth Employment","Intermediate School 68 - Isaac Bildersee School","Brooklyn","Sesame Flyers International, Inc.","718.693.0500","HS","956 82nd Street
Brooklyn, NEW YORK 11236
(40.635491677837, -73.910761051161)","956 East 82nd Street","11236","40.635553","-73.91079","18","46","956","3224947","3080180001","Canarsie                                                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Alianza Mosaic Beacon","Bronx","Alianza Dominicana, Inc.","212-740-1960","14 to 21","1257 Ogden Avenue
Bronx, NEW YORK 10452
(40.839270545805, -73.925788279798)","1257 Ogden Avenue","10452","40.839378","-73.925714","4","16","201","2003519","2025290081","Highbridge                                                                 "
"Youth Employment, NDA Youth Employment","Youth Employment","East NY Development Corporation","Brooklyn","East NY Development Corporation","718.566.2127","HS","2644 Atlantic Avenue
Brooklyn, NEW YORK 11207
(40.675655262304, -73.896752975273)","2644 Atlantic Avenue","11207","40.675744","-73.896644","5","37","1198","3326728","3036870012","East New York                                                              "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Council of Jewish Organizations of Flatbush, Inc.","Brooklyn","Council of Jewish Organizations of Flatbush, Inc.","718-252-4446","14 to 21","1550 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.619697574375, -73.964314154293)","1550 Coney Island Avenue","11230","40.619517","-73.964188","12","44","454","3171988","3065460011","Ocean Parkway South                                                        "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Chinese American Planning Council - Brooklyn ","Brooklyn","Chinese American Planning Council - Brooklyn ","718-492-0409 ","14 to 21","41 08 8th Avenue
Brooklyn, NEW YORK 11232
(40.654511617018, -74.000033929122)","41-08 8th Avenue","11232","40.646048","-73.998595","7","38","92","3018181","3009220036","Sunset Park East                                                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","El Barrio's Operation Fightback, Inc.","Manhattan","El Barrio's Operation Fightback, Inc.","212-410-7900","14 to 21","320 Pleasant Avenue
Manhattan, NEW YORK 10035
(40.795839827532, -73.932604992632)","320 Pleasant Avenue","10035","40.795824","-73.932581","11","8","178","1053170","1017160001","East Harlem North                                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Harlem Commonwealth Council Inc - Vulnerable Youth","Manhattan","Harlem Commonwealth Council Inc - Vulnerable Youth","212-749-0900 ","14 to 21","361 125 St
Manhattan, NEW YORK 10027
(40.810931028148, -73.952894165867)","361 West 125 St","10027","40.810952","-73.953005","9","9","20901","1059308","1019520009","Morningside Heights                                                        "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","PAL-Foster Laurie Center","Queens","Police Athletic League, Inc. - Queens ","718-389-5309","14 to 21","199 10 11th Ave
Queens, NEW YORK 11412
(40.698127117473, -73.759235198346)","991 Longwood Ave","10459","40.817185","-73.897667","2","17","87","2100984","2027090001","Longwood                                                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Inwood Community Services, Inc.","Manhattan","Inwood Community Services, Inc.","212-942-0043 ","14 to 21","651 Academy Street
Manhattan, NEW YORK 10034
(40.866018005307, -73.924772644837)","651 Academy Street , Top Flr","10034","40.866001","-73.924777","12","10","291","1081917","1022340001","Marble Hill-Inwood                                                         "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Chinese American Planning Council - Manhattan ","Manhattan","Chinese American Planning Council - Manhattan ","212-334-0083 ","14 to 21","165 Eldridge Street
Manhattan, NEW YORK 10013
(40.721242188776, -74.008889000227)","165 Eldridge Street","10013","40.720074","-73.990996","3","1","18","1075907","1004200068","Chinatown                                                                  "
"Youth Employment, NDA Youth Employment","Youth Employment","Youth for Education and Sports","Brooklyn","Youth for Education and Sports","718.941.7532",,"681 Ocean Avenue
Brooklyn, NEW YORK 11226
(40.646187680826, -73.960236131048)","681 Ocean Avenue","11226","40.646286","-73.960274","14","40","51001","3117624","3051240026","Flatbush                                                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","United Activities Unlimited, Inc.","Staten Island","United Activities Unlimited, Inc.","718-448-4834","14 to 21","485 Clawson Street Staten Island
NEW YORK,  10306
(40.567946680992, -74.115353626012)","485 Clawson Street","10306","40.567873","-74.115373","2","50","134","5107621","5042440001","New Dorp-Midland Beach                                                     "
"Youth Employment, NDA Youth Employment","Youth Employment","Miccio Center ","Brooklyn","Police Athletic League, Inc.","212.477.9450",,"110 9th Street
Brooklyn, NEW YORK 11231
(40.67578212491, -74.001523292383)","110 West 9th Street","11231","40.676024","-74.002318","6","38","85","3339411","3005380001","Carroll Gardens-Columbia Street-Red Hook                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","PS 35/1232","Brooklyn","Sesame Flyers International, Inc.","718-221-8880 ","14 to 21","905 Winthrop Street
Brooklyn, NEW YORK 11203
(40.658451422174, -73.929131359882)","905 Winthrop Street Rm 127","11203","40.65843","-73.929076","17","41","880","3099733","3046060025","Prospect Lefferts Gardens-Wingate                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Pulse High School","Bronx","Wildcat Service Corporation","718-294-0230","14 to 21","560 179th Street
Bronx, NEW YORK 10457
(40.848594211674, -73.893692127627)","560 E. 179th  Street ","10457","40.8486","-73.893654","6","15","37504","2011844","2030610055","East Tremont                                                               "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Vannguard Urban Improvement Association, Inc. - ","Brooklyn","Vannguard Urban Improvement Association, Inc. - ","718-453-3330 ","14 to 21","613 619 Throop Avenue
Brooklyn, NEW YORK 11216
(40.680758670876, -73.949267750906)","613-619 Throop Avenue , 3rd Fl.","11216","40.680919","-73.940518","3","36","273","3053556","3018560001","Stuyvesant Heights                                                         "
"Youth Employment, NDA Youth Employment","Youth Employment","Public School 217 - Col. David Marcus Elementary School ","Brooklyn","Flatbush Development Corporation","718.859.3800","MS/HS","1100 Newkirk Avenue
Brooklyn, NEW YORK 11230
(40.633960964399, -73.966505506315)","1100 Newkirk Avenue","11230","40.63398","-73.966558","14","40","526","3121072","3052320001","Flatbush                                                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Southern Queens Park Association","Queens","Southern Queens Park Association","718-276-4630 ","14 to 21","177 01 Baisley Boulevard
Queens, NEW YORK 11434
(40.676945262114, -73.775306901692)","177-01 Baisley Boulevard ,","11434","40.686284","-73.768455","12","27","426","4268835","4124060180","St. Albans                                                                 "
"Youth Employment, NDA Youth Employment","Youth Employment","Police Athletic League PAL\Harlem Center ","New York","Police Athletic League, Inc.","212.665.8699","MS/HS","441 Manhattan Avenue
New York, NEW YORK 10026
(40.806694644425, -73.955618643362)","441 Manhattan Avenue","10026","40.806654","-73.955649","10","9","257","1088138","1019450051","Central Harlem South                                                       "
"Youth Employment, NDA Youth Employment","Youth Employment","Police Athletic League (Brownsville Beacon)","Brooklyn","Police Athletic League, Inc.","212.477.9450",,"985 Rockaway Avenue
Brooklyn, NEW YORK 11212
(40.656451255408, -73.907322828305)","985 Rockaway Avenue","11212","40.656068","-73.907245","16","42","922","3082940","3036360007","Brownsville                                                                "
"Youth Employment, NDA Youth Employment","Youth Employment","Riverdale Neighborhood House, Inc.","Bronx","Riverdale Neighborhood House, Inc.","718.549.8100","HS","5521 Mosholu Avenue
Bronx, NEW YORK 10471
(40.902965724328, -73.9038424045)","5521 Mosholu Avenue","10471","40.903039","-73.90375","8","11","337","2119685","2058501585","North Riverdale-Fieldston-Riverdale                                        "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","East NY Development Corporation","Brooklyn","East NY Development Corporation","718-566-2129","14 to 21","2644 Atlantic Avenue
Brooklyn, NEW YORK 11207
(40.675655262304, -73.896752975273)","2644 Atlantic Avenue","11207","40.675744","-73.896644","5","37","1198","3326728","3036870012","East New York                                                              "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Queens Workforce 1","Queens","Henry Street Settlement, Inc. - Queens ","718-557-8861","14 to 21","168 25 Jamaica Avenue
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","168-25 Jamaica Avenue","11432","40.706582","-73.791811","12","27","460","4209641","4097990001","Jamaica                                                                    "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","CAB Community Center","Bronx","Citizens Advice Bureau, Inc. ","718-508-3193","14 to 21","1130 Grand
Bronx, NEW YORK 10456
(40.831694143639, -73.916041046959)","1130 Grand Concourse","10456","40.832331","-73.91959","4","16","18102","2002833","2024620042","East Concourse-Concourse Village                                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Italian American Civil Rights League","Brooklyn","Italian American Civil Rights League","718-642-2180 ","14 to 21","1460 Pennsylvania Avenue
Brooklyn, NEW YORK 11239
(40.646077795287, -73.879950181902)","1460 Pennsylvania Avenue 1B","11239","40.646068","-73.879786","5","42","105804","3340241","3044520020","Starrett City                                                              "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Cypress Hills Local Development Corporation","Brooklyn","Cypress Hills Local Development Corporation","718-235-1521 ","14 to 21","999 Jamaica Avenue
Brooklyn, NEW YORK 11208
(40.690728527416, -73.870165673629)","999 Jamaica Avenue","11208","40.691146","-73.868328","5","37","1180","3090738","3040940001","park-cemetery-etc-Brooklyn                                                 "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","East Harlem Employment Services, Inc. STRIVE","Manhattan","East Harlem Employment Services, Inc. STRIVE","212-360-1100","14 to 21","240 123rd Street
Manhattan, NEW YORK 10035
(40.801631007365, -73.935035566046)","240 East 123rd Street, 3rd FL","10035","40.801647","-73.935017","11","8","194","1054629","1017870080","East Harlem North                                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","All City Leadership School","Brooklyn","Ridgewood Bushwick Senior Citizens Council","718-381-9653 ","14 to 21","1474 Gates Avenue
Brooklyn, NEW YORK 11237
(40.697840308647, -73.913832482461)","1474 Gates Avenue","11237","40.697788","-73.913906","4","37","433","3387654","3033440016","Bushwick North                                                             "
"Youth Employment, NDA Youth Employment","Youth Employment","BCA Education Center ","Brooklyn","Brooklyn Chinese American Association","718.438.9312","MS/HS","5000 8th Avenue
Brooklyn, NEW YORK 11220
(40.641104606526, -74.003759923935)","5000 8th Avenue","11220","40.641036","-74.003809","7","38","108","3013418","3007940039","Sunset Park East                                                           "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Youth Education Thru Sports","Manhattan","New York City Mission Society","212-368-8400","14 to 21","646 Malcolm X Blvd
Manhattan, NEW YORK 10037
(40.818574610432, -73.937465443105)","646 Malcolm X Blvd","10037","40.818813","-73.937414","10","9","214","1081458","1017400001","Central Harlem North-Polo Grounds                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Greater Ridgewood Youth Council, Inc.","Queens","Greater Ridgewood Youth Council, Inc.","718-456-5437 ","14 to 21","62 04 Myrtle Avenue
Queens, NEW YORK 11385
(40.701224891615, -73.88334858437)","62-04 Myrtle Avenue","11385","40.700894","-73.893211","5","30","577","4437849","4035930001","Glendale                                                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","The Children's Aid Society","Manhattan","The Children's Aid Society","212-949-4800","14 to 21","105 22nd Street
Manhattan, NEW YORK 10010
(40.73943216627, -73.986562604958)","105 East 22nd Street","10010","40.739265","-73.986215","5","2","68","1018010","1008780001","Gramercy                                                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","New York City Department of Education","Manhattan","New York City Department of Education","212-374-2498  ","14 to 21","52 Chambers Street
Manhattan, NEW YORK 10007
(40.713695753375, -74.00528819904)","52 Chambers Street","10007","40.713814","-74.00557","1","1","31","1079146","1001220001","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Alianza Dominicana, Inc. Manhattan","Manhattan","Alianza Dominicana, Inc.","212-740-1960","14 to 21","2410 Amsterdam Avenue
Manhattan, NEW YORK 10033
(40.847155142524, -73.931588758739)","2410 Amsterdam Avenue , 4th Fl","10033","40.847177","-73.93159","12","10","261","1063604","1021520048","Washington Heights South                                                   "
