"datasetinformation_agency","uid","name","description","type","category","legislativecompliance_datasetfromtheopendataplan","url","update_datemadepublic","update_updatefrequency","last_data_updated_date","legislativecompliance_candatasetfeasiblybeautomated","update_automation","legislativecompliance_hasdatadictionary","legislativecompliance_containsaddress","legislativecompliance_geocoded","legislativecompliance_existsexternallyll1102015","legislativecompliance_externalfrequencyll1102015","legislativecompliance_removedrecords","visits","row_count","column_count","parent_uid","derived_view"
"Department for the Aging (DFTA)","5sq4-wrrm","Department for the Aging (DFTA) Reported Service Units by Month of Senior Center Contracted Providers","Reported Units of Service by Month of registered and contracted agencies providing Senior Center Services.","dataset","Social Services","YES","https://data.cityofnewyork.us/d/5sq4-wrrm","3/6/2019","Monthly","2020-10-28T11:22:07.000","Yes","Yes","Yes","No","N/A","No","N/A","Yes","235","28339","9",,"false"
"Department of Education (DOE)","budf-qanm","2014-2015 Arts Survey Data","The Annual Arts in Schools Report includes data about arts teachers, arts budgeting, space for the arts, partnerships with arts and cultural organizations and parent involvement for elementary, middle and high schools. These reports help school administrators, parents, and students understand how their schools are progressing towards offering universal arts education to all students.","dataset","Education","No","https://data.cityofnewyork.us/d/budf-qanm","March 13, 2018","Historical data","2018-03-13T18:35:21.000","No","No","Yes","No","N/A","No","N/A","No","289","1564","315",,"false"
"Department of Finance (DOF)","956m-xy24","DOF: Condominium Comparable Rental Income –Manhattan – FY 2008/2009","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually","dataset","Housing & Development","No","https://data.cityofnewyork.us/d/956m-xy24","10/11/2011","Historical data","2017-09-11T17:33:50.000","No","No","Yes","Yes","Yes","Yes","Annually","No","692","1025","58",,"false"
"Department of Education (DOE)","ycfm-qijh","2019-20 Demographic Snapshot - Citywide","Student and demographic citywide data. 
Enrollment counts are based on the October 31st Audited Register for each school year.","dataset","Education","Yes","https://data.cityofnewyork.us/d/ycfm-qijh","September 15, 2020","Annually","2020-09-15T20:52:19.000","No","No","Yes","No","No","N/A","N/A","No","770","5","37",,"false"
"School Construction Authority (SCA)","mpg8-b8s5","Class Size Reduction Projects","Class Size Reduction Projects","dataset","Education","NO","https://data.cityofnewyork.us/d/mpg8-b8s5","12/15/2017","Every 6 months","2022-01-10T17:51:14.000","No","No","Yes","No","N/A","Yes","As-Needed","No","338","2","14",,"false"
"Department of Probation (DOP)","jmr8-fdbz","DOP Adult Early Discharges by Calendar Year","Adult supervision cases that have had an early discharge request filed with a local court during the reporting period. Categorized by: new early discharge (ED) requests submitted; ED requests approved; ED requests disapproved. Based on carryover of pending early discharge requests from month-to-month, the number of approvals plus disapprovals may not equal the number of requests per year.","dataset","City Government","Yes","https://data.cityofnewyork.us/d/jmr8-fdbz","7/17/2014","Annually","2022-03-24T18:00:52.000","No","No","Yes","No","N/A","No","N/A","No","432","240","4",,"false"
"Mayor’s Office to End Domestic and Gender-Based Violence","rghe-gkg2","Annual Report on Outreach to and Training of Cosmetologists (Historical)","This data is from an annual report to be provided in compliance of Local Law 39 of 2019, covering the time period July 1 through October 15. The data set includes:  a summary of outreach efforts to the cosmetology community, including the number of trainings provided for cosmetologists, disaggregated by borough.

For Data Dictionary, please refer to this <a href=""https://docs.google.com/spreadsheets/d/1P0b17twfrYTBfGN7J3jFV-pVV_H3nlkLITVz_8GmmNc/edit#gid=0"">link</a>.","dataset","Social Services","YES","https://data.cityofnewyork.us/d/rghe-gkg2","11/6/2019","Historical data","2019-11-04T18:52:18.000","No","No","Yes","No","N/A","Yes","Historical","No","229","6","6",,"false"
"Department of Education (DOE)","hafw-ruje","2015-2016 Suspension Report NYPD Contacts - Date Of Birth","Suspensions reported by Student in Temporary Housing (STB), Student with Disabilities, Race, Gender, English Language Learner (ELL), Date of Birth, Grade Level","dataset","Education","Yes","https://data.cityofnewyork.us/d/hafw-ruje","04/05/2018","Historical data","2018-04-02T16:10:40.000","No","No","Yes","No","N/A","No","N/A","No","262","1743","22",,"false"
"Department of Education (DOE)","rc2t-8fid","Test Assessing Secondary Completion (TASC) for NYCHA Residents - Local Law 163","This dataset contains information about NYCHA residents who passed the <a href=""https://www1.nyc.gov/nyc-resources/service/1763/ged-or-tasc-test"">Test Assessing Secondary Completion</a> (TASC) exam, exams that assess if an exam-taker has the required knowledge to receive a high school equivalency certification. Each row in the dataset represents the number of public housing residents on a Borough-level who receive or utilize this service.

For datasets related to other services provided to NYCHA residents, view the data collection “Services available to NYCHA Residents - Local Law 163”.","dataset","Social Services","NO","https://data.cityofnewyork.us/d/rc2t-8fid","5/17/2019","Annually","2021-12-10T17:12:48.000","No","No","Yes","No","N/A","No","N/A","No","269","20","3",,"false"
"Department of Education (DOE)","t3w8-49gp","2015 - 2016 Biannual Report July","2015- 2016 Biannual Report July Pursuant to Local Law 93 of 2015, the Department of Education is required to provide reports on student discipline data (suspension data) to the City Council twice a year (October 31 and March 31). The March reporting requires citywide suspension data by month for the first half of the academic year, July through December. Per the legislation and in accordance with the Family Educational Rights and Privacy Act or FERPA, any value from zero (0) to five (5) has been redacted.","file","Education","Yes","https://data.cityofnewyork.us/d/t3w8-49gp","June 28 2019","Historical data","2019-06-28T19:38:02.000","No","No","Yes","N/A","N/A","N/A","Historical","No","83",,,,"false"
"Department of Education (DOE)","jkyj-m87c","2017-2018 Class Size Report City K-8 Class Size Distribution","2017-2018 Class Size Report City K-8 Class Size Distribution","dataset","Education","No","https://data.cityofnewyork.us/d/jkyj-m87c","04/20/2018","Historical data","2018-04-20T14:01:57.000","No","No","Yes","No","N/A","No","N/A","No","257","223","6",,"false"
"Department of Parks and Recreation (DPR)","ac9y-je94","Directory of Concessions","Approximately 500 concessions currently operate in parks. They generally fall into two categories: food service and recreation. The food service concessions range from pushcarts selling hot dogs and pretzels to full restaurants. Recreational concessions include ice rinks, indoor tennis bubbles, stables, marinas, and much more.","href","Housing & Development","NO","https://data.cityofnewyork.us/d/ac9y-je94","10/11/2011","As needed","2011-09-28T20:42:03.000","Yes","No","Yes","No","N/A","Yes","As-Needed","Yes","1150",,,,"false"
"Mayor's Office of Operations (OPS)","fxdy-q85h","FY2015 MMR Agency Performance Indicators","NYC agency performance indicators from the Mayor's Management Report (MMR)
<i>Use ‘CSV for Excel’ when downloading this dataset and then sort in alphabetical order by Agency.<i>","dataset","City Government","NO","https://data.cityofnewyork.us/d/fxdy-q85h","11/25/2015","Historical data","2017-03-28T15:57:57.000","No","No","Yes","No","N/A","Yes","Historical","No","662","1617","13",,"false"
"Department of Education (DOE)","hrn4-5ast","2018 Kindergarten Directory - Staten Island","2018 Staten Island Kindergarten Directory","file","Education","No","https://data.cityofnewyork.us/d/hrn4-5ast","10/2/2018","Annually","2018-10-02T15:36:26.000","No","No","Yes","No","N/A","Yes","Annually","No","184",,,,"false"
"Mayor's Office of Contract Services (MOCS)","64vf-hxyb","Construction Pipeline","Listing of upcoming construction opportunities","href","City Government","NO","https://data.cityofnewyork.us/d/64vf-hxyb","2/18/2015","Annually","2015-02-18T20:07:15.000","No","No","N/A","No","N/A","No","N/A","No","1017",,,,"false"
"Department of Education (DOE)","nfkx-wd79","2016 - 2017 SQS PK","Metric values contained in Pre-kindergarten School Quality Reports","dataset","Education","Yes","https://data.cityofnewyork.us/d/nfkx-wd79","02/12/2018","Historical data","2019-02-26T20:49:31.000","No","No","Yes","Yes","No","No","N/A","No","1180","1983","54",,"false"
"Department of Education (DOE)","cwx7-agsh","2005 - 2017 Quality Review Ratings","The Quality Review is a process that evaluates how well schools are organized to support student learning and teacher practice. It was developed to assist New York City Department of Education (NYCDOE) schools in raising student achievement by looking behind a school’s performance statistics to ensure that the school is engaged in effective methods of accelerating student learning.","dataset","Education","Yes","https://data.cityofnewyork.us/d/cwx7-agsh","11/20/2017","Historical data","2017-11-20T15:52:48.000","No","No","Yes","No","N/A","No","N/A","No","515","8064","45",,"false"
"Mayor's Office of Contract Services (MOCS)","3ups-txji","Small Purchase Report","On or before September thirtieth, two thousand and three, and on or before the last day of every quarter thereafter, the mayor or his or her designee shall submit to the council and the comptroller a report detailing each small purchase award made pursuant to this section during the quarter that ended three months before such report is due and for which information is required to be contained in the computerized data base maintained pursuant to subdivision a of section 6-116.2 of the administrative code.","dataset","City Government","YES","https://data.cityofnewyork.us/d/3ups-txji","4/22/2016","Quarterly","2016-04-22T21:11:30.000","No","No","Yes","No","N/A","No","N/A","Yes","479","323","8",,"false"
"Department of Education (DOE)","szgz-ysuz","2017 - 2018 School Quality Report - High School Transfer","New York City Department of Education 2017 - 2018 School Quality Report Results for High School Transfer. 
The Quality Review is a process that evaluates how well schools are organized to support student learning and teacher practice. It was developed to assist New York City Department of Education (NYCDOE) schools in raising student achievement by looking behind a school’s performance statistics to ensure that the school is engaged in effective methods of accelerating student learning.","dataset","Education","Yes","https://data.cityofnewyork.us/d/szgz-ysuz","July 23, 2020","Annually","2020-07-23T17:50:39.000","No","No","Yes","No","N/A","N/A","N/A","No","240","52","45",,"false"
"Department of Education (DOE)","szn6-bbuk","2017 - 2018 November2017 Avg Class Size School PTR - Open Data Portal","Pupil Teacher Ratio","dataset","Education","No","https://data.cityofnewyork.us/d/szn6-bbuk","11/28/2017","Historical data","2017-11-28T14:33:03.000","No","No","Yes","No","N/A","No","N/A","No","301","1536","3",,"false"
"Department of Education (DOE)","gsjx-zx9n","2017- 2018 Class Size Report District K-8 Class Size Distribution","2017- 2018 Class Size Report District K-8 Class Size Distribution","dataset","Education","No","https://data.cityofnewyork.us/d/gsjx-zx9n","04/20/2018","Historical data","2018-04-20T13:55:05.000","No","No","Yes","No","N/A","No","N/A","No","186","5110","7",,"false"
"Department of Education (DOE)","9add-idv3","2015 - 2016 School Closure Discharge Reporting Borough Ethnicity","New York City public schools closed for poor performance. This report provides data regarding students enrolled in these schools during the school year, according to the guidelines set by Local Law 043","dataset","Education","No","https://data.cityofnewyork.us/d/9add-idv3","02/20/2018","Historical data","2018-02-20T20:38:14.000","No","No","Yes","No","N/A","No","N/A","No","180","393","15",,"false"
"Department of Education (DOE)","54k3-2wtq","2013-2017 Citywide ELA Results - Economic","","dataset","Education","Yes","https://data.cityofnewyork.us/d/54k3-2wtq","9/25/2017","Historical data","2017-09-25T14:30:49.000","No","No","Yes","No","N/A","No","N/A","No","200","70","15",,"false"
"Department for the Aging (DFTA)","ddcy-y5zn","Department for the Aging (DFTA) Reported Service Units by Month of NORC Contracted Providers","Reported Units of Service by Month of registered and contracted agencies providing NORC Services.","dataset","Social Services","YES","https://data.cityofnewyork.us/d/ddcy-y5zn","3/6/2019","Monthly","2020-10-28T11:19:35.000","Yes","Yes","Yes","No","N/A","No","N/A","Yes","199","2699","9",,"false"
"School Construction Authority (SCA)","gshi-yqza","Transportable Classroom Units- Buildings & Schools","Transportable Classroom Units- Buildings & Schools","dataset","Education","YES","https://data.cityofnewyork.us/d/gshi-yqza","3/2/2015","Annually","2019-12-20T15:55:48.000","No","No","Yes","No","N/A","No","N/A","No","662","1398","9",,"false"
"Department of Education (DOE)","dtfq-bfpc","2006 - 2011 NYS Math Test Results By Grade - Boro - By Gender","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.","dataset","Education","No","https://data.cityofnewyork.us/d/dtfq-bfpc","10/11/2011","Historical data","2011-10-05T22:24:46.000","No","No","Yes","No","N/A","No","N/A","No","334","420","16",,"false"
"Department of Education (DOE)","ywiv-5gyw","2012 D75 School Survey Data","To understand the perceptions of families, students, and teachers regarding their school.  School leaders use feedback from the survey to reflect and make improvements to schools and programs. Also, results from the survey used to help measure school quality. 
Each year, all parents, teachers, and students in grades 6-12 take the NYC School Survey. The survey is aligned to the DOE's Framework for Great Schools. It is designed to collect important information about each school's ability to support student success.","dataset","Education","Yes","https://data.cityofnewyork.us/d/ywiv-5gyw","1/31/2019","Historical data","2019-01-31T14:49:59.000","No","No","Yes","No","N/A","Yes","Historical","No","235","56","9",,"false"
"Department of Information Technology & Telecommunications (DoITT)","tqh4-y786","2002 Bronx, Brooklyn, Queens Orthoimagery Tile Index","This 2002 Orthoimagery Tile Index file can be used to geo-reference the individual image tiles across the City. This tile index is used in conjunction with the 2002 Orthoimagery by individual Borough download. Full metadata on the Aerial & Orthoimagery can be found at: https://github.com/CityOfNewYork/nyc-geo-metadata/blob/master/Metadata/Metadata_AerialImagery.md","file","City Government","NO","https://data.cityofnewyork.us/d/tqh4-y786","11/3/2017","Historical data","2017-11-02T19:23:13.000","No","No","Yes","No","N/A","No","N/A","No","131",,,,"false"
"Mayor's Office of Contract Services (MOCS)","294z-97kb","Environmentally Preferable Procurements","Summary of environmentally preferable procurements","file","City Government","YES","https://data.cityofnewyork.us/d/294z-97kb","10/24/2014","As needed","2014-10-24T00:39:01.000","No","No","Yes","No","N/A","Yes","Annually","No","200",,,,"false"
"Department of Information Technology & Telecommunications (DoITT)","kvfi-kxcq","2008 Orthoimagery Bronx","The Department of Information Technology and Telecommunications, GIS Unit, is providing the raw orthoimagery for download. This orthoimagery is used to create the Aerial Photography Tile Layer services described in further detail here: https://maps.nyc.gov/tiles/. Full metadata on the Aerial & Orthoimagery can be found at: https://github.com/CityOfNewYork/nyc-geo-metadata/blob/master/Metadata/Metadata_AerialImagery.md 
The 2008 Orthoimagery Tile Index can be used to geo-reference the individual image tiles across the City (https://data.cityofnewyork.us/City-Government/2008-Orthos-Tile-Index/dy62-2n2g)","href","City Government","NO","https://data.cityofnewyork.us/d/kvfi-kxcq","8/3/2017","Historical data","2017-08-03T14:27:44.000","No","No","Yes","No","N/A","No","N/A","No","110",,,,"false"
"Department of Education (DOE)","ezaf-3uhs","2015-16 Class Size Report - MS And HS Average","","dataset","Education","Yes","https://data.cityofnewyork.us/d/ezaf-3uhs","8/3/2017","Historical data","2017-08-02T17:43:27.000","No","No","Yes","No","N/A","No","N/A","No","210","18794","9",,"false"
"Department of Information Technology & Telecommunications (DoITT)","2cxm-sdq3","2012 Orthoimagery Staten Island","The Department of Information Technology and Telecommunications, GIS Unit, is providing the raw orthoimagery for download. This orthoimagery is used to create the Aerial Photography Tile Layer services described in further detail here: https://maps.nyc.gov/tiles/. Full metadata on the Aerial & Orthoimagery can be found at: https://github.com/CityOfNewYork/nyc-geo-metadata/blob/master/Metadata/Metadata_AerialImagery.md 
The 2012 Orthoimagery Tile Index can be used to geo-reference the individual image tiles across the City (https://data.cityofnewyork.us/City-Government/2012-Orthoimagery-Tile-Index/aajk-7hbr)","href","City Government","NO","https://data.cityofnewyork.us/d/2cxm-sdq3","8/1/2017","Historical data","2017-08-01T15:44:06.000","No","No","Yes","No","N/A","No","N/A","No","121",,,,"false"
"Department of Education (DOE)","tph5-57et","2013-2017 Borough Math Results - Ethnic","","dataset","Education","Yes","https://data.cityofnewyork.us/d/tph5-57et","9/25/2017","Historical data","2017-09-25T14:10:47.000","No","No","Yes","No","N/A","No","N/A","No","176","700","16",,"false"
"Department of Education (DOE)","uchs-jqh4","2015-16 Class Size Report - Pupil To Teacher Ratio","","dataset","Education","Yes","https://data.cityofnewyork.us/d/uchs-jqh4","8/3/2017","Historical data","2017-08-02T17:51:18.000","No","No","Yes","No","N/A","No","N/A","No","263","1571","3",,"false"
"Mayor's Office of Contract Services (MOCS)","7kc8-z939","FCRC Annual Concession Plan","The Mayor’s Office of Contract Services oversees and certifies agency compliance with the applicable laws and regulations for franchises and concessions. In certain circumstances, franchises and concessions are also subject to the approval of the Franchise and Concession Review Committee (FCRC).

Franchises are grants of the right to occupy or to use the City’s inalienable property, such as streets or parks, for a public service, e.g., transportation or telecommunications.
Concessions are grants for the private use of city-owned property such as for food sales or recreational activity, with the City’s compensation typically tied to the concessionaire’s revenue. Concessions are also subject to the City's Concession Rules as codified in Title 12 of the Rules of the City of New York.","dataset","City Government","YES","https://data.cityofnewyork.us/d/7kc8-z939","4/22/2016","Annually","2016-04-22T22:03:20.000","No","No","Yes","No","N/A","Yes","Annually","No","558","514","18",,"false"
"Department of Education (DOE)","nmtq-hr8h","2015-2016 Elem MS School Quality Reports","New York City Department of Education 2015 - 2015 Elementary, Middle School Quality Reports.
 The Quality Review is a process that evaluates how well schools are organized to support student learning and teacher practice. It was developed to assist New York City Department of Education (NYCDOE) schools in raising student achievement by looking behind a school’s performance statistics to ensure that the school is engaged in effective methods of accelerating student learning.","file","Education","Yes","https://data.cityofnewyork.us/d/nmtq-hr8h","May 6 2019","Annually","2019-05-06T15:13:44.000","Yes","No","No","N/A","N/A","N/A","N/A","No","90",,,,"false"
"Administration for Children's Services (ACS)","n5e5-z493","Government-Issued Personal Identification for Youth in Foster Care","Statistics on government-issued personal identification for  youth in foster care reported in compliance with Local Law 48 passed by City Council in 2014","file","Social Services","Yes","https://data.cityofnewyork.us/d/n5e5-z493","2/1/2016","Annually","2016-02-01T18:29:11.000","No","No","Yes","No","N/A","Yes","Quarterly","No","385",,,,"false"
"Department of Education (DOE)","hv77-qnda","2006 - 2011 NYS Math Test Results by Grade - Citywide - Proficiency Status","New York City Results on the New York State Mathematics Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
In 2006, NYSED treated District 75 students as a distinct geographic district. For 2007-2011, District 75 students are represented in their home districts and boroughs. Spreadsheets for District and Borough do not include District 75 students in 2006.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.","dataset","Education","No","https://data.cityofnewyork.us/d/hv77-qnda","10/11/2011","Historical data","2011-10-05T21:41:13.000","No","No","Yes","No","N/A","No","N/A","No","342","84","15",,"false"
"Department of Information Technology & Telecommunications (DoITT)","snt7-jkiu","2014 Orthoimagery Bronx","The Department of Information Technology and Telecommunications, GIS Unit, is providing the raw orthoimagery for download. This orthoimagery is used to create the Aerial Photography Tile Layer services described in further detail here: https://maps.nyc.gov/tiles/. Full metadata on the Aerial & Orthoimagery can be found at: https://github.com/CityOfNewYork/nyc-geo-metadata/blob/master/Metadata/Metadata_AerialImagery.md 
The 2014 Orthoimagery Tile Index can be used to geo-reference the individual image tiles across the City (https://data.cityofnewyork.us/City-Government/2014-Orthoimagery-Tile-Index/jxmq-5dde)","href","City Government","NO","https://data.cityofnewyork.us/d/snt7-jkiu","8/1/2017","Historical data","2017-08-01T14:54:42.000","No","No","Yes","No","N/A","No","N/A","No","156",,,,"false"
"Department of Education (DOE)","rq2f-42ua","2006 - 2012 English Language Arts (ELA) Test Results - District - SWD","Latest available data and trends in the state assessment results of English Language Arts for grades 3 through 8. Data are disaggregated by district and disability status.","dataset","Education","No","https://data.cityofnewyork.us/d/rq2f-42ua","2/21/2013","Historical data","2013-02-20T22:06:23.000","No","No","Yes","No","N/A","No","N/A","No","376","3136","16",,"false"
"City Council (NYCC)","q2ni-ztsb","New York City Council Discretionary Funding (2013)","The dataset reflects applications for discretionary funding to be allocated by the New York City Council in the upcoming fiscal year (July 1 - June 30)","dataset","City Government","No","https://data.cityofnewyork.us/d/q2ni-ztsb","6/8/2012","Historical data","2017-09-16T14:42:57.000","No","No","Yes","Yes","Yes","No","N/A","No","3641","19236","26",,"false"
"Other","ivb7-t7a7","Teach for America School List","Data to help Teach for America Solve their Big Idea.","href","NYC BigApps","No","https://data.cityofnewyork.us/d/ivb7-t7a7","5/7/2014","As needed","2014-05-06T16:31:30.000","","No","N/A","N/A","N/A","","","","327",,,,"false"
"Mayor's Office of Climate Resiliency","mzds-2cdc","2100s Mean Monthly High Water","Future Mean Monthly High Water (MMHW) projections released by the NPCC March 2019.","file","Environment","YES","https://data.cityofnewyork.us/d/mzds-2cdc","4/8/2019","As needed","2019-04-04T21:09:53.000","No","No","Yes","No","N/A","No","N/A","No","500",,,,"false"
"Department of Finance (DOF)","r4s5-tb2g","DOF: Cooperative Comparable Rental Income – Queens – FY 2010/2011","The Department of Finance (DOF) is required by NY State law to value condominiums or cooperatives as if they were residential rental apartment buildings.   DOF uses income information from rental properties similar in physical features and location to the condominiums or cooperatives. DOF applies this income data to the condominium or cooperative and determine its value in the same way DOF values rental apartment buildings.
Update Frequency: Annually","dataset","Housing & Development","No","https://data.cityofnewyork.us/d/r4s5-tb2g","10/11/2011","Historical data","2017-09-16T14:16:00.000","No","No","Yes","Yes","Yes","Yes","Annually","No","338","960","57",,"false"
"Department of Finance (DOF)","j7yn-nvq9","DOF: Summary of Neighborhood Sales in Queens for Class 1-, 2- and 3-Family homes - 2006","The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2- and 3-Family homes in Queens in 2006.

This list includes all sales of 1-, 2-, and 3-Family Homes' from January 1st, 2006 to December 31, 2006, whose sale price is equal to or more than $150,000.  The Building Class Category for Sales is based on the Building Class at the time of the sale.","dataset","Housing & Development","No","https://data.cityofnewyork.us/d/j7yn-nvq9","10/11/2011","Historical data","2013-06-26T17:03:49.000","Yes","No","Yes","No","N/A","Yes","Annually","No","569","162","7",,"false"
"Department of Education (DOE)","xijd-ubiu","2012 NYC Community Schools Survey","2012 NYC Community Schools Survey - (See attached file for full results)","dataset","Education","YES","https://data.cityofnewyork.us/d/xijd-ubiu","11/21/2018","Historical data","2018-11-21T17:40:00.000","No","No","Yes","No","N/A","Yes","Historical","No","190","1668","10",,"false"
"Department of Environmental Protection (DEP)","7ppc-iii7","DEP Demand Management Projects","DEP’s Water Demand Management Plan identifies six key strategies for managing water demand in New York City, and details specific initiatives to be implemented between now and 2022 in order to achieve targeted water demand reductions.  This dataset contains projects that have been funded to date through DEP’s Demand Management Programs and associated water savings.  Water savings are in gallons per day (GPD)","file","Environment","No","https://data.cityofnewyork.us/d/7ppc-iii7","6/14/2018","As needed","2018-06-14T17:58:28.000","No","No","Yes","No","N/A","No","N/A","No","363",,,,"false"
