"program_site_name","address","borough","contact_number","notes","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"GED Plus at Sunset GED Center  ","360 36th Street, PS 371  ","Brooklyn","718-788-7608, ext. 3319  ",,"11232","40.654796","-74.005244","7","38","84","3337060","3006960031","Sunset Park West                                                           "
"GED Plus at Susan Smith McKinney Nursing and Rehab Center","594 Albany Avenue ","Brooklyn","718-245-7061  ",,"11203","40.659968","-73.939733","9","40","808","3327674","3048120001","Prospect Lefferts Gardens-Wingate                                          "
"GED Plus Evening at Lincoln High School  ","2800 Ocean Parkway ","Brooklyn","718-557-2590  ",,"11235","40.581681","-73.967308","13","47","354","3196293","3072540001","West Brighton                                                              "
"GED Plus Evening at Boys & Girls High School ","1700 Fulton Street","Brooklyn","718-557-2590",,"11213","40.67944","-73.932407","3","36","271","3047996","3017010001","Crown Heights North                                                        "
"GED Plus at Alternative Education Complex Referral Center/HUB","500 8th Avenue","Manhattan","212-244-1274","ELL Services:ESL, Early literacy","10018","40.752943","-73.992904","5","3","109","1014421","1007850001","Midtown-Midtown South                                                      "
"GED Plus at 29","40 East 29th Street","Manhattan","212-889-7567",,"10016","40.744422","-73.984778","5","2","74","1016915","1008580049","Midtown-Midtown South                                                      "
"GED Plus at Chelsea Hudson Guild  ","441 West 26th Street","Manhattan","212-760-9800","2nd floor","10001","40.749196","-74.001815","4","3","97","1012827","1007240010","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"GED Plus at Co-op Tech  ","321 East 96th Street","Manhattan","212-369-8800, ext1464",,"10128","40.783638","-73.945626","11","8","15602","1083927","1016680001","East Harlem South                                                          "
"GED Plus at Harlem Renaissance High School ","22 East 128th Street","Manhattan","212-996-3795",,"10035","40.807987","-73.940061","11","9","206","1054159","1017520059","Central Harlem North-Polo Grounds                                          "
"GED Plus at Jeffrey C. Tenzer ","198 Forsyth Street","Manhattan","212-673-8254","ELL Services, ESL, Bilingual Program, Spanish","10002","40.72252","-73.990728","3","1","3601","1005626","1004220072","Chinatown                                                                  "
"GED Plus at Manhattan Learning Center ","317 West 52nd Street","Manhattan","212-247-4307, ext 1081",,"10019","40.763866","-73.985939","4","3","133","1025241","1010430022","Clinton                                                                    "
"GED Plus at Manhattan Youth Build ","4 West 125th Street","Manhattan","646-442-6536",,"10027","40.806531","-73.942555","10","9","200","1053467","1017220040","Central Harlem South                                                       "
"GED Plus at PHASE: Piggy Back, Inc.  ","262 West 145th Street","Manhattan","212-694-0107",,"10039","40.822356","-73.940796","10","9","232","1060467","1020300057","Central Harlem North-Polo Grounds                                          "
"GED Plus at Stanley Isaacs Neighborhood ","1792 First Avenue","Manhattan","212-360-7625",,"10128","40.781149","-73.946242","8","5","152","1076333","1015730020","Yorkville                                                                  "
"GED Plus at The Door  ","55 Broome Street","Manhattan","212-941-9090, ext 3252",,,,,,,,,,
"GED Plus at Youth Action and Homes Program  ","206 East 118th Street","Manhattan","212-860-8170, ext 16",,"10035","40.799066","-73.938624","11","8","188","1079303","1016670043","East Harlem North                                                          "
"GED Plus at 29","40 East 29th Street","Manhattan","212-889-7567",,"10016","40.744422","-73.984778","5","2","74","1016915","1008580049","Midtown-Midtown South                                                      "
"GED Plus at Jamaica Learning Referral Center/Hub","162-02 Hillside Avenue","Queens","718-739-2100",,"11432","40.70848","-73.800065","12","24","44602","4209031","4097680022","Jamaica                                                                    "
"GED Plus at Adams Academy  ","101-02 Rockaway Boulevard  ","Queens","347-886-1720  ",,"11417","40.679692","-73.837654","10","32","864","4202849","4095400002","South Ozone Park                                                           "
"GED Plus at Astoria Community Center ","23-40 Astoria Boulevard ","Queens","718-726-9790, ext. 130  ",,"11102","40.771582","-73.92375","1","22","69","4439576","4005420008","Old Astoria                                                                "
"GED Plus at Elmcor Youth & Adult Activities, Inc.  ","107-20 Northern Boulevard  ","Queens","718-651-0096, ext. 248  ",,"11368","40.757795","-73.861637","3","21","381","4311969","4017220005","North Corona                                                               "
"GED Plus at Jamaica Hospital Dental Assistant Program","134-20 Jamaica Avenue","Queens","718-206-6890  ",,"11418","40.70236","-73.818531","9","29","14202","4196414","4093420007","Richmond Hill                                                              "
"GED Plus at LaGuardia Community College : CUNY CATCH","29-10 Thompson Avenue ","Queens","718-482-5128  ",,"11101","40.745216","-73.937602","2","26","1","4003516","4002730001","Hunters Point-Sunnyside-West Maspeth                                       "
"GED Plus at LaGuardia Community College:Workforce Educational Center","29-10 Thompson Avenue  ","Queens","718-482-5399  ",,"11101","40.745216","-73.937602","2","26","1","4003516","4002730001","Hunters Point-Sunnyside-West Maspeth                                       "
"GED Plus at Ocean Bay ","57-10 Beach Channel Drive  ","Queens","718-945-2156  ",,"11692","40.59476","-73.787436","14","31","97203","4436449","4160020001","Hammels-Arverne-Edgemere                                                   "
"GED Plus at Queens Youth Build ","138-46 Northern Boulevard ","Queens","718-961-6880, ext. 146 ",,"11354","40.764119","-73.827142","7","20","865","4113292","4050100038","Flushing                                                                   "
"GED Plus at St. Albans V.A. Medical Center ","179th Street & Linden Boulevard ","Queens","718-526-1000, ext. 2298  ",,,,,,,,,,
"GED Plus at The LaGuardia Marriott  ","102-05 Ditmars Boulevard  ","Queens","718-533-3098, ext. 6635  ",,"11369","40.768801","-73.868315","3","21","357","4040899","4016410001","East Elmhurst                                                              "
"GED Plus at Visiting Nurse Service of NY  ","86-01 Rockaway Beach Boulevard","Queens","718-318-7720 ","2nd floor","11693","40.587539","-73.811387","14","32","94203","4303596","4161310010","Hammels-Arverne-Edgemere                                                   "
"GED Plus at York College  ","94-20 Guy Brewer Boulevard ","Queens","718-262-2084  ",,"11433","40.702532","-73.795578","12","27","246","4215630","4101040043","Jamaica                                                                    "
"GED Plus Evening at John Adams High School ","101-01 Rockaway Boulevard","Queens","718-557-2590 ",,"11417","40.679639","-73.837298","10","32","864","4202849","4095400002","South Ozone Park                                                           "
"GED Plus at St. George Referral Center/Hub ","450 St. Marks Place ","Staten Island","718-273-3225 ",,"10301","40.638946","-74.077273","1","49","3","5000161","5000160007","West New Brighton-New Brighton-St. George                                  "
"GED Plus at Port Richmond High School  ","85 St. Joseph's Avenue  ","Staten Island","718-420-2100, ext. 8472 ",,"10302","40.634573","-74.141818","1","49","213","5026076","5011210001","Port Richmond                                                              "
"GED Plus at Sanitation, Staten Island   ","66 Swan Street  ","Staten Island","718-442-0071 ",,"10301","40.634782","-74.077312","1","49","21","5013317","5005040049","Stapleton-Rosebank                                                         "
"GED Plus at Wagner High School  ","1200 Manor Road  ","Staten Island","718-698-4200, ext. 5431 ",,"10314","40.596803","-74.124227","2","50","181","5146639","5009550100","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
