"providertype","dfta_id","programname","sponsorname","programaddress","programcity","programstate","programzipcode","borough","programphone","dfta_funded","monhouropen","monhourclose","tuehouropen","tuehourclose","wedhouropen","wedhourclose","thuhouropen","thuhourclose","frihouropen","frihourclose","sathouropen","sathourclose","sunhouropen","sunhourclose","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","geocoded_column"
"CASE MANAGEMENT SERVICES CONTRACTS","4MH01","JASA CASE MANAGEMENT-QN 7","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","131 BEACH 19TH STREET","FAR ROCKAWAY","NY","11691","QUEENS","718-713-3413","Y","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","00:00","00:00","00:00","00:00","40.593761","-73.753207","414","31","99802","4301622","4158100055","Far Rockaway-Bayswater","
,  
(40.593761, -73.753207)"
"CASE MANAGEMENT SERVICES CONTRACTS","3MA01","LENOX HILL CASE MANAGEMENT MN-3","LENOX HILL NEIGHBORHOOD HOUSE INC","331 EAST 70TH STREET","NEW YORK","NY","10021","MANHATTAN","212-218-0506","Y","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","00:00","00:00","00:00","00:00","40.766925","-73.95795","108","5","126","1044838","1014450014","Lenox Hill-Roosevelt Island","
,  
(40.766925, -73.95795)"
"CASE MANAGEMENT SERVICES CONTRACTS","1M901","NEIGHBORHOOD SHOPP CASE MANAGEMENT BX-1","THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT INC","910 EAST 172ND STREET","BRONX","NY","10460","BRONX","718-542-0006","Y","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","00:00","00:00","00:00","00:00","40.834198","-73.890157","203","17","155","2010507","2029770103","Crotona Park East","
,  
(40.834198, -73.890157)"
"CASE MANAGEMENT SERVICES CONTRACTS","2ME01","HEIGHTS AND HILLS CASE MANAGEMENT BK-02","HEIGHTS AND HILLS INC.","57 WILLOUGHBY STREET","BROOKLYN","NY","11201","BROOKLYN","718-596-8789","Y","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","00:00","00:00","00:00","00:00","40.692217","-73.986665","302","33","11","3000338","3001470036","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","
,  
(40.692217, -73.986665)"
"CASE MANAGEMENT SERVICES CONTRACTS","2MK01","JASA CASE MANAGEMENT BK-7","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","161 CORBIN PLACE","BROOKLYN","NY","11235","BROOKLYN","718-934-4295","Y","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","00:00","00:00","00:00","00:00","40.578026","-73.954127","315","48","61004","3245719","3087190073","Brighton Beach","
,  
(40.578026, -73.954127)"
"CASE MANAGEMENT SERVICES CONTRACTS","4MD01","QUEENS COMM. HOUSE CASE MANAGEMENT QNS-3","QUEENS COMMUNITY HOUSE INC.","107-20 71ST ROAD","FLUSHING","NY","11375","QUEENS","718-896-8511","Y","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","00:00","00:00","00:00","00:00","40.720067","-73.843469","406","29","737","4533735","4032577501","Forest Hills","
,  
(40.720067, -73.843469)"
"CASE MANAGEMENT SERVICES CONTRACTS","4ME01","SELFHELP PROJECT QUEENS","SELFHELP COMMUNITY SERVICES INC","45-25 KISSENA BOULEVARD","FLUSHING","NY","11355","QUEENS","718-321-8194","Y","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","00:00","00:00","00:00","00:00","40.751765","-73.820331","407","20","1205","4117390","4052000052","East Flushing","
,  
(40.751765, -73.820331)"
"CASE MANAGEMENT SERVICES CONTRACTS","2ME01","HEIGHTS AND HILLS CASE MANAGEMENT BK-02","HEIGHTS AND HILLS INC.","57 WILLOUGHBY STREET","BROOKLYN","NY","11201","BROOKLYN","718-596-8789","Y","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","00:00","00:00","00:00","00:00",,,"302","33",,"3000338","3001470036",,
"CASE MANAGEMENT SERVICES CONTRACTS","2MP01","RIDGEWOOD BUSHWICK CASE MANAGEMENT BK-01","RISEBORO COMMUNITY PARTNERSHIP INC","1175 Gates Avenue","BROOKLYN","NY","11221","BROOKLYN","929-251-6626","Y","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","00:00","00:00","00:00","00:00","40.691707","-73.919907","304","34","399","3076253","3033310025","Bushwick South","
,  
(40.691707, -73.919907)"
"CASE MANAGEMENT SERVICES CONTRACTS","3M801","NEW YORK FOUNDATION CASE MANAGEMENT MN-1","NEW YORK FOUNDATION FOR SENIOR CITIZENS INC","11 PARK PLACE","NEW YORK","NY","10007","MANHATTAN","212-962-7817","Y","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","9 :00","5 :00","00:00","00:00","00:00","00:00","40.712828","-74.008296","101","1","21","1001399","1001240004","SoHo-TriBeCa-Civic Center-Little Italy","
,  
(40.712828, -74.008296)"
"CASE MANAGEMENT SERVICES CONTRACTS","2MH01","BENSON RIDGE CASE MANAGEMENT BK-5","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC","6823 FIFTH AVENUE","BROOKLYN","NY","11220","BROOKLYN","718-680-3530","Y","8 :30","4 :30","8 :30","4 :30","8 :30","4 :30","8 :.0","4 :30","8 :00","4 :30","00:00","00:00","00:00","00:00","40.633953","-74.020799","310","43","130","3145313","3058650001","Bay Ridge","
,  
(40.633953, -74.020799)"
"CASE MANAGEMENT SERVICES CONTRACTS","2MG01","JASA CASE MANAGEMENT BK-4","THE JEWISH ASSOCIATION FOR SERVICES FOR THE AGED","1090 CONEY ISLAND AVENUE","BROOKLYN","NY","11230","BROOKLYN","718-934-4294","Y","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","09:00","05:00","00:00","00:00","00:00","00:00","40.630999","-73.966444","314","40","460","3170238","3064980024","Flatbush","
,  
(40.630999, -73.966444)"
"CASE MANAGEMENT SERVICES CONTRACTS","3M901","SELFHELP PROJECT CASE MANAGEMENT MN-2","SELFHELP COMMUNITY SERVICES INC","520 EIGHTH AVENUE","NEW YORK","NY","10018","MANHATTAN","212-787-8106","Y","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","8 :00","4 :00","00:00","00:00","00:00","00:00","40.753612","-73.992417","105","3","109","1083624","1007860001","Midtown-Midtown South","
,  
(40.753612, -73.992417)"
