"id","name_of_business","short_description","address","city","state","zip","phone_number","which_type_of_business_is_this","business_website_or_other_url","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"29","Tiny Treasures Nanny Agency","""Wonderful mom owned Botique Nanny agency.  Reliable & professional""","300 Park Avenue","New York","NY","10022","(646) 290-5566","Service","https://www.tinytreasuresnyc.com","MANHATTAN","40.756802","-73.974271","5","4","102","1081146","1012850036","Midtown-Midtown South                                                      "
"30","Terry's Cleaners","""EST.1969 Plant on Premises Quality Dry Cleaning expert""","257 East Burnside Avenue","Bronx","NY","10417","(718) 731-6262","Service","https://www.facebook.com/pages/Terrys-Dry-Cleaners/116349948426111","BRONX    ","40.851547","-73.902426","5","15","381","2013679","2031560092","Mount Hope                                                                 "
"31","Sofia and Grace Cookie Company","Cookie Shop","163 Ralph Avenue","Brooklyn","NY","11233","(718) 450-8034","Food and Beverage","http://Sgcookieco.com","BROOKLYN ","40.684372","-73.922991","3","41","377","3040058","3014930075","Stuyvesant Heights                                                         "
"32","Lanka Grocery","""Supermarket with Sri Lankan, Albanian, and Mexican food""","344 Victory Blvd","Staten Island","NY","10301","(718) 390-0052","Food and Beverage","http://lankagrocery.com/","STATEN IS","40.633626","-74.086004","1","49","33","5113141","5005790033","Grymes Hill-Clifton-Fox Hills                                              "
"33","BaZnGa CaFe","""Snack Café""","426 Amsterdam Avenue","New York","NY","10024","(212) 362-7386","Food and Beverage","https://www.facebook.com/BaZnGaCaFeNYC/","MANHATTAN","40.784127","-73.977623","7","6","167","1032666","1012280032","Upper West Side                                                            "
"34","JP Hogan Sawing & Coring Co.","Contractor","680 Gulf Avenue","Staten Island","NY","10314","(718) 761-7014","Service","http://www.888jphogan.com","STATEN IS","40.613048","-74.180614","2","50","29102","5123406","5017600110","New Springville-Bloomfield-Travis                                          "
"35","Mabi Deli","Bodega","141 Evergreen Avenue","Brooklyn","NY","11206","(718) 628-6428","Retail",,"BROOKLYN ","40.698801","-73.930552","4","34","425","3072232","3031720001","Bushwick South                                                             "
"36","National  Vision Center","Optical retail store","820 Flatbush Avenue","Brooklyn","NY","11226","(718) 693-5994","Retail",,"BROOKLYN ","40.652672","-73.959283","14","40","50801","3116567","3050820012","Flatbush                                                                   "
"37","Nomad Cycle","Bicycle repair and sales","36-58 37th Street","Long Island City","NY","11101","(718) 786-5600","Retail","http://www.nomadcycle.com","QUEENS   ","40.753268","-73.925839","1","26","55","4534374","4006360053","Queensbridge-Ravenswood-Long Island City                                   "
"38","West Side Judaica","""Jewish-focused bookstore with religious gifts & items, such as menorahs & mezuzahs""","2412 Broadway","New York","NY","10024","(212) 362-7846","Retail",,"MANHATTAN","40.789967","-73.975187","7","6","175","1033301","1012360044","Upper West Side                                                            "
"39","Palace Chicken & Grill","""Fast food, fried chicken and burgers""","4445 21st Street","Long Island City","NY","11101","(718) 433-1661","Food and Beverage","http://www.palacechickenandgrill.com/menu.html","QUEENS   ","40.748218","-73.947308","2","26","19","4005183","4004380021","Hunters Point-Sunnyside-West Maspeth                                       "
"40","LIC Kids Gymnastics","""Gymnastics facility""","502 50th Avenue","Long Island City","NY","11101","(718) 392-5437","Service","http://www.lickids.com","QUEENS   ","40.743103","-73.956092","2","26","7","4000167","4000337501","Hunters Point-Sunnyside-West Maspeth                                       "
"41","Juquila Kitchen and Bar","Mexican Restaurant","39-05 29th Street","Long Island City","NY","11101","(718) 707-3700","Food and Beverage","https://www.juquilarestaurants.com/","QUEENS   ","40.753298","-73.934664","1","26","31","4538549","4003990017","Queensbridge-Ravenswood-Long Island City                                   "
"42","M&G Shoe Repair","Shoe Repair","423 9th Avenue","New York","NY","10001","(212) 967-8744","Service","http://www.mgcobblerandcleaners.com/","MANHATTAN","40.753108","-73.996521","4","3","103","1012849","1007310048","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"43","Larb Ubol","Thai Restaurant","480 9th Avenue","New York","NY","10018","(212) 564-1822","Food and Beverage","http://www.larbubol.com","MANHATTAN","40.755163","-73.995001","4","3","111","1013609","1007600074","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"44","Katz Pharmacy","""In the area for many years. They are caring, and involved in the retail district""","76 Graham Avenue","Brooklyn","NY","11206","(718) 388-4588","Retail","http://www.katzpharmacy.com/","BROOKLYN ","40.703589","-73.942575","1","34","491","3071513","3031060007","East Williamsburg                                                          "
"45","Flash Exterminating","""Rat and roach exterminator""","310 Montgomery Street","Brooklyn","NY","11206","(888) 752-0584","Service","http://www.flashexterminating.com","BROOKLYN ","40.665587","-73.954528","9","35","323","3034416","3013040118","Crown Heights South                                                        "
"46","Baker Street Pub","Bar & Restaurant","1152 1st Avenue","New York","NY","10065","(212) 688-9663","Food and Beverage","http://www.bakerstreetnyc.com","MANHATTAN","40.762254","-73.960021","8","5","10602","1045377","1014587504","Lenox Hill-Roosevelt Island                                                "
"47","Peque Vinos & Tapas","Tapas wine bar and restaurant","231 West 145th Street","New York","NY","10039","(917) 751-0055","Food and Beverage","http://Peque Vinos & Tapas facebook page","MANHATTAN","40.822103","-73.940153","10","9","232","1060477","1020310014","Central Harlem North-Polo Grounds                                          "
"48","Broadway Café","Bodega/Grocery","4109 Broadway","Astoria","NY","11103","(718) 406-9477","Food and Beverage",,"QUEENS   ","40.758439","-73.917838","1","22","155","4011160","4006790005","Astoria                                                                    "
"49","Florama Carpet Discount Center","""Local owners who work hard to make their customers happy""","100 Graham Avenue","Brooklyn","NY","11206","(718) 384-7242","Retail","http://floramacarpetdiscount.com/","BROOKLYN ","40.704643","-73.942751","1","34","493","3071409","3030890002","Bushwick South                                                             "
"50","Caps Unlimited","""Fantastic cap shop...very popular in the area""","88 Graham Avenue","Brooklyn","NY","11206","(718) 388-4143","Retail","http://www.ecapsunlimited.com/","BROOKLYN ","40.704121","-73.942665","1","34","491","3071452","3030970005","East Williamsburg                                                          "
"51","Super Furniture","""In the nabe many years. Very helpful/fantastic prices for solid furniture needs""","130 Graham Avenue","Brooklyn","NY","11206",,"Retail","http://eximil.com/","BROOKLYN ","40.705782","-73.942937","1","34","493","3071352","3030800008","Bushwick South                                                             "
"52","Party Glitters","Very involved in the community plus a great store for party items","3 Debevoise Street","Brooklyn","NY","11206",,"Retail","https://www.partyglittersonline.com/","BROOKLYN ","40.701555","-73.94301","1","34","491","3071606","3031190037","East Williamsburg                                                          "
"53","Laughing River Dojo","Jujitsu, Tai Chi, Mediation, RG8T, ASP","94-17 41st Avenue","Elmhurst","NY","11373","(718) 397-9111","Other",,"QUEENS   ","40.746849","-73.871513","4","21","465","4039619","4015870034","Elmhurst                                                                   "
"54","Ajoy Management Enterprise","Accounting and Tax Services","42 West 129th Street","New York","NY","10027","(646) 535-2459","Service","http://www.ajoymgmt.com/","MANHATTAN","40.809673","-73.942119","10","9","208","1053708","1017260057","Central Harlem North-Polo Grounds                                          "
"55","The Source Unltd Print & Copy Shop","Printing and Copies","331 East 9th Street","New York","NY","10003","(212) 473-7833","Service","http://www.sourceunltd.com","MANHATTAN","40.728827","-73.986373","3","2","40","1006422","1004510046","East Village                                                               "
"56","Gramercy Orthodontics","Orthodontist","200 East 15th Street","New York","NY","10003","(212) 777-9177","Service","http://gramercyorthodontics.com","MANHATTAN","40.733921","-73.986566","6","2","48","1019522","1008960048","Gramercy                                                                   "
"57","Bottom Line Construction & Development, LLC","General Contracting and Real Estate Development Company","104-106 East 126th Street","New York","NY","10035","(212) 281-3800","Service","https://bottomlineconstructiondevelopment.com/","MANHATTAN","40.805518","-73.938066","11","9","196","1054493","1017740067","East Harlem North                                                          "
"58","Sunny Eyes","Optical Shop","284 Driggs Avenue","Brooklyn","NY","11222","(718) 349-1205","Retail","http://www.sunnyeyeshop.com/","BROOKLYN ","40.722566","-73.948944","1","33","571","3327002","3026810042","Greenpoint                                                                 "
"59","Angelina Cafe","Cafe/Restaurant","37 Avenue A","New York","NY","10009","(212) 533-7183","Food and Beverage","http://angelinacafenyc.com","MANHATTAN","40.723439","-73.98545","3","2","3002","1077955","1004300010","East Village                                                               "
"60","Civil Service Bookstore","Bookstore specialty in Civil service test prep materials","34 Carmine Street","New York","NY","10014","(917) 930-4932","Retail",,"MANHATTAN","40.730131","-74.003056","2","3","67","1008363","1005270064","West Village                                                               "
"61","Krypton Neon LLC","Neon Art, FX, and Signs","526 46th Avenue","Long Island City","NY","11101","(718) 728-4450","Other","http://www.neonshop.com","QUEENS   ","40.747252","-73.954685","2","26","7","4439102","4000270005","Hunters Point-Sunnyside-West Maspeth                                       "
"62","An Choi","""Vietnamese Eatery""","85 Orchard Street","New York","NY","10002","(212) 226-3700","Food and Beverage","https://www.instagram.com/anchoinyc/","MANHATTAN","40.717873","-73.990375","3","1","18","1005447","1004130043","Chinatown                                                                  "
"63","The Soap Box","Laundry & Dry Cleaning Services","110 Saratoga Avenue","Brooklyn","NY","11233","(718) 803-3110","Service","http://soapbox.nyc/","BROOKLYN ","40.682963","-73.91721","3","41","377","3040592","3015050036","Stuyvesant Heights                                                         "
"64","Elan Flowers","Florist","26 Grand Street","New York","NY","10013","(212) 240-9033","Retail","https://elanflowers.com/","MANHATTAN","40.722869","-74.004777","2","1","47","1077736","1004760045","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"65","Es La Vida","Shoe Store","5402 5th Avenue","Brooklyn","NY","11220","(718) 567-0918","Retail","http://www.eslavidany.com","BROOKLYN ","40.642778","-74.012752","7","38","76","3014605","3008230040","Sunset Park West                                                           "
"66","Puerto Rico Perfume","""Small perfume shop with upscale products for less""","95 Moore Street","Brooklyn","NY","11206",,"Retail",,"BROOKLYN ","40.703838","-73.941861","1","34","491","3071466","3030970033","East Williamsburg                                                          "
"67","Princesa Bakery","Great Bakery and small eattery","94 Graham Avenue","Brooklyn","NY","11206","(718) 388-3399","Food and Beverage",,"BROOKLYN ","40.704308","-73.942693","1","34","491","3071455","3030970108","East Williamsburg                                                          "
"68","Florama Hardware","""Neighborhood fixture. Very helpful and really nice folks""","98 Graham Avenue","Brooklyn","NY","11206","(718) 782-6514","Retail","http://floramahardware.com/","BROOKLYN ","40.70458","-73.94274","1","34","493","3325952","3030890001","Bushwick South                                                             "
"69","Sherman Orthodontics","""Children and Adult orthodontists specializing in Invisalign""","157 East 81st Street","New York","NY","10028","(646) 370-3768","Service","http://www.facebook.com/ShermanOrthodontics","MANHATTAN","40.776051","-73.957381","8","5","140","1047565","1015100027","Upper East Side-Carnegie Hill                                              "
"70","Porteno","Argentine Restaurant","299 10th Avenue","New York","NY","10001","(212) 695-9694","Food and Beverage","http://portenorestaurant.com/","MANHATTAN","40.750368","-74.00223","4","3","99","1012413","1006990031","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"71","Junior's Deli & Grocery","""The Cheers of Delis - You're greeted by name!""","1102 8th Avenue","Brooklyn","NY","11215","(718) 768-4070","Food and Beverage",,"BROOKLYN ","40.664458","-73.980312","6","39","151","3026290","3010960038","Park Slope-Gowanus                                                         "
"72","Bravest","Bar and restaurant","700 Second Avenue","New York","NY","10016",,"Food and Beverage","https://www.facebook.com/bravestnyc/","MANHATTAN","40.747201","-73.974102","6","4","78","1021918","1009430059","Murray Hill-Kips Bay                                                       "
"73","The Art of Becoming","""Wonderful individual/couple/ group/ family counseling services""","3664 White Plains Road","Bronx","NY","10467","(347) 346-9987","Other","http://www.theartofbecoming.org/","BRONX    ","40.880748","-73.864394","12","12","390","2057890","2046630004","Williamsbridge-Olinville                                                   "
"74","Sunnyside Pet Healthcare Center","Veterinarian, Animal Clinic","47-04 Greenpoint Avenue","Sunnyside","NY","11104","(718) 472-4600","Service","http://sunnysidevet.com","QUEENS   ","40.742552","-73.917691","2","26","235","4001513","4001510028","Hunters Point-Sunnyside-West Maspeth                                       "
"75","Green Kite Realty Group Inc.","Real Estate Office","1231 Lafayette Avenue","Bronx","NY","10474","(646) 479-7873","Service","http://www.greenkiterealty.com","BRONX    ","40.816486","-73.890277","2","17","93","2005939","2027390015","Hunts Point                                                                "
"76","Harlem Doggie Day Spa","Pet facility","734 Saint Nicholas Avenue","New York","NY","10031",,"Service","http://harlemdoggiedayspa.com","MANHATTAN","40.825113","-73.943959","9","9","231","1061137","1020530062","Hamilton Heights                                                           "
"77","Zeff's Pizzeria","Pizza Shop","312 South 3rd Street","Brooklyn","NY","11211","(718) 599-0545","Food and Beverage","http://www.zeffspizzeriamenu.com/","BROOKLYN ","40.709693","-73.954819","1","34","527","3063334","3024360012","North Side-South Side                                                      "
"78","Promises Fulfilled","Toy Store","1592 2nd Avenue","New York","NY","10028",,"Retail","http://www.promisesnyc.com","MANHATTAN","40.77566","-73.953344","8","5","138","1049910","1015450052","Yorkville                                                                  "
"79","Veggie Castle","""Vegetarian food/smoothie store""","13209 Liberty Avenue","Richmond Hill","NY","11419","(718) 641-8342","Food and Beverage","http://veggiecastle2.com/contact/","QUEENS   ","40.690668","-73.813958","10","28","15801","4204064","4095690041","South Ozone Park                                                           "
"80","Van Nest Lanes","""Bowling center""","1756 Bronxdale Avenue","Bronx","NY","10462","(718) 792-2220","Other","https://m.facebook.com/pages/Van-Nest-Bowling-Alley/175570635805813","BRONX    ","40.846098","-73.859104","11","13","244","2044481","2040940036","Van Nest-Morris Park-Westchester Square                                    "
"81","Salon 804","Beauty Salon","2311 Adam Clayton Powell Jr. Blvd","New York","NY","10030","(212) 690-1212","Service","https://www.facebook.com/Salon804/","MANHATTAN","40.815663","-73.943428","10","9","228","1058299","1019200064","Central Harlem North-Polo Grounds                                          "
"82","ooh la la hair artists","Hair Salon","1894 Victory Blvd","Staten Island","NY","10314","(718) 727-2694","Service","https://www.facebook.com/oohlalahairartistry/","STATEN IS","40.612727","-74.127271","1","50","18701","5018120","5007160008","Westerleigh                                                                "
"83","Fat Cat Kitchen","Sandwich Shop / Bakery / Coffee Shop","223 East 14th Street","New York","NY","10003","(212) 235-1994","Food and Beverage","http://fatcatkitchen.com","MANHATTAN","40.73301","-73.986487","6","2","48","1019504","1008960011","Gramercy                                                                   "
"84","Lola's Hair","""Hair extensions and salon""","52 West 125th Street","New York","NY","10027","(646) 833-7029","Retail","http://www.lolashair.com","MANHATTAN","40.807226","-73.944205","10","9","200","1053476","1017220057","Central Harlem South                                                       "
"85","Alchemy","Pub","56th 5th Avenue","Brooklyn","NY","11217",,"Food and Beverage","http://www.alchemybrooklyn.com",,,,,,,,,
"86","Cousin John's","bakery and cafe","70 7th Avenue","Brooklyn","NY","11217",,"Food and Beverage","http://www.cousinjohnsbakery.com/","BROOKLYN ","40.675362","-73.974861","6","39","159","3019643","3009510046","Park Slope-Gowanus                                                         "
"87","LaserCutZ","""Laser Cutting, Engraving, Prototyping, Signs and Fabrication Shop""","2323 East 12th Street","Brooklyn","NY","11235","(212) 203-1670","Service","http://www.laser-cutz.com","BROOKLYN ","40.593399","-73.959294","15","48","584","3201734","3073960066","Homecrest                                                                  "
"88","A Taste of Seafood","""Fish and chips et al""","Frederick Douglass Blvd","New York","NY","10030",,"Food and Beverage","http://www.atasteofseafood.com/",,,,,,,,,
"89","Oasis Jimma Juice Bar","""Smoothie & Juice Bar""","3163 Broadway","New York","NY","10027","(646) 590-0685","Food and Beverage","http://oasisjjb.com/","MANHATTAN","40.814654","-73.959058","9","7","211","1059858","1019930092","Morningside Heights                                                        "
"90","Salamander Sauce Company","""Hot Sauce Producer""","331 61st Street","Brooklyn","NY","11220","(347) 451-5139","Other","http://www.salamandersauce.com","BROOKLYN ","40.640966","-74.020171","7","38","72","3143404","3057810059","Sunset Park West                                                           "
"91","Harlem Natural Hair Salon","""Hair Salon dedicated to those embracing the natural hair movement""","751 St Nicholas Avenue","New York","NY","10031","(212) 694-6593","Service","http://www.harlemnaturalhair.com","MANHATTAN","40.825741","-73.943528","9","9","231","1061453","1020620034","Hamilton Heights                                                           "
"92","Love Hair Studio","Hair salon","1299 Richmond Road","Staten Island","NY","10304","(718) 980-4247","Service","http://Lovehairstudiony.com","STATEN IS","40.596141","-74.095358","2","50","177","5022206","5008530089","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
"93","Beacon Paint and Hardware","Paint and Hardware store","371 Amsterdam Avenue","New York","NY","10024","(212) 787-1090","Retail","http://beaconpaint.com/","MANHATTAN","40.78226","-73.978963","7","6","161","1030226","1011490063","Upper West Side                                                            "
"94","BZ Grill","Gyro and Souvlaki Sandwich Shop","27-02 Astoria Boulevard","Astoria","NY","11102","(718) 932-7858","Food and Beverage","http://bzgrill.com","QUEENS   ","40.77082","-73.920924","1","22","69","4006810","4005730044","Old Astoria                                                                "
"95","Babata New York, LLC","""The maker of Babata Handmade Soap""","244 5th Avenue","New York","NY","10001","(800) 827-8584","Retail","http://www.babata.nyc","MANHATTAN","40.744521","-73.987427","5","2","58","1015690","1008290040","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"96","sundays nail studio","Nail salon","51 East 25th Street","New York City","NY","10010","(646) 998-5711","Service","http://www.dearsundays.com","MANHATTAN","40.74196","-73.986594","5","2","56","1016750","1008557501","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"97","Brooklyn SolarWorks LLC","Solar System Installation","200 6th Street","Brooklyn","NY","11213","(347) 474-7144","Service","http://www.brooklynsolarworks.com/","BROOKLYN ","40.67355","-73.990108","6","39","119","3339454","3009910031","Park Slope-Gowanus                                                         "
"98","Kelly's Fashion Optical","Retail optical store","529 East 138th Street","Bronx","NY","10454","(718) 618-7543","Retail","https://www.facebook.com/kellysfashionoptical","BRONX    ","40.807279","-73.918536","1","8","39","2000069","2022660037","Mott Haven-Port Morris                                                     "
"99","Tugboat","Coffee Shop","546 Flatbush Avenue","Brooklyn","NY","11225","(929) 234-3210","Food and Beverage","https://www.tugboatbk.com/","BROOKLYN ","40.660737","-73.960767","9","40","79802","3114594","3050260065","Prospect Lefferts Gardens-Wingate                                          "
"100","Sutton Clock Shop","Clock Shop - Sales and Repairs - Antique and New","218 East 82nd Street","New York","NY","10028","(212) 758-2260","Retail","http://Suttonclocks.com","MANHATTAN","40.775968","-73.955247","8","5","138","1048576","1015270040","Yorkville                                                                  "
"101","A to Z Pharmacy","Pharmacy","9407 5th Avenue","Brooklyn","NY","11209","(347) 517-4040","Retail",,"BROOKLYN ","40.616359","-74.030616","10","43","162","3155643","3061180010","Bay Ridge                                                                  "
"102","La Panineria","Sandwich shop","1 west 8th street","New York","NY","10011",,"Food and Beverage","http://www.lapanineria.com","MANHATTAN","40.732366","-73.996594","2","3","63","1009432","1005720044","West Village                                                               "
"103","Astound.Media","Media Agency","686 West 204th Street","New York","NY","10034",,"Other","http://Https://astound.media","MANHATTAN","40.867968","-73.923733","12","10","295","1064965","1022390021","Marble Hill-Inwood                                                         "
"104","Comic Book Jones","Comic Shop","2220 Forest Avenue","Staten Island","NY","10303","(718) 448-1234","Retail","http://ComicbookJones.com","STATEN IS","40.626815","-74.16319","1","49","30302","5141910","5016850090","Mariner's Harbor-Arlington-Port Ivory-Graniteville                         "
"105","Kellys Fashion Optical","Optical shop","529 East 138th Street","Bronx","NY","10454","(718) 618-7543","Retail","http://facebook.com/kellysfashionoptical","BRONX    ","40.807279","-73.918536","1","8","39","2000069","2022660037","Mott Haven-Port Morris                                                     "
"106","Ox Verte","""Plant-forward food company working to reinvent office lunch""","63A Reade Street","New York","NY","10007","(347) 949-8671","Food and Beverage","http://www.oxverte.com","MANHATTAN","40.714972","-74.006551","1","1","21","1001625","1001490003","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"107","Superior Late Nite Deli","Corner bodega","1402 Cortelyou Road","Brooklyn","NY","11226","(718) 282-3377","Food and Beverage",,"BROOKLYN ","40.640883","-73.965153","14","40","520","3118671","3051570001","Flatbush                                                                   "
"108","Sneakerbar","Sneaker shop","762 East 149th Street","Bronx","NY","10455","(917) 792-4815","Retail","http://www.sneakerbarnewyork.com","BRONX    ","40.812928","-73.90763","1","8","35","2003945","2025800018","Mott Haven-Port Morris                                                     "
"109","Tenares Hardware Inc","""Local hardware store with amazing service, and they donate to local schools""","1348 St Nicholas Avenue","New York","NY","10033","(212) 795-8836","Retail",,"MANHATTAN","40.847014","-73.935403","12","10","261","1063233","1021330063","Washington Heights South                                                   "
"110","Grill and Height Deli","""Dedicated family owned Deli with sandwiches, coffee, breakfast""","508 West 181st Street","New York","NY","10033","(212) 923-3354","Food and Beverage","http://grillandheight.com/print.php","MANHATTAN","40.848321","-73.931379","12","10","269","1063616","1021520072","Washington Heights North                                                   "
