"borough","ntaname","food_scrap_drop_off_site","location","hosted_by","open_months","operation_day_hours","notes","website","borocd","councildist","ct2010","bbl","bin","latitude","longitude","precinct","object_id","point"
"New York","Hudson Yards-Chelsea-Flatiron-Union Square","Hudson River Park's 14th Street Park at 10th Ave.","14th Street Park at southwest corner of 15th St. and 10th Ave","Staff at Hudson River Park","Year Round","Every day 7:00 am - 7:00pm","Not accepted: meat, bones, or dairy","https://hudsonriverpark.org/the-park/sustainability/community-compost-program/","104","3",,,,"40.742827","-74.0078384",,"33","POINT (-74.007838400001 40.7428270000032)"
"New York","West Village","Christopher Park","West 4th Street b/w Christopher St and Grove St., west side of Christopher Park","NYC Compost Project Hosted by LES Ecology Center","Year Round","Wednesdays 9:00AM - 2:00PM","Not accepted: meat, bones, or dairy","https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/","102","3",,,,"40.733536","-74.002663",,"65","POINT (-74.002663000001 40.7335360000032)"
"New York","East Harlem South","Maggie's Magic Garden","1574 Lexington Ave, New York, NY 10029","Maggie's Magic Garden","Year Round","24/7","Not accepted: meat, bones, or dairy. BPI Certified Products. Dog and cat feces.",,"111","8",,,,"40.7889577","-73.9492012",,"165","POINT (-73.949201200001 40.7889577000032)"
"New York","Battery Park City-Lower Manhattan","Battery Park City Authority Headquarters","75 Battery Place","Battery Park City Authority","Year Round","24/7","Not accepted: cooked foods, bread, grains, meat, or dairy","https://bpca.ny.gov/nature-and-sustainability/sustainability/","101","1","31704","1000167517","1087842","40.7067584","-74.0171557","1","109","POINT (-74.017155700001 40.7067584000032)"
"Kings","East New York","CLOSED FOR THE SEASON: UCC Youth Farm","613 New Lots Avenue","East New York Farms","June - November","24/7","Not accepted: meat, bones, or dairy","https://ucceny.org/enyf/","305","42","1124","3040890025","3090717","40.66547","-73.88668","75","121","POINT (-73.886680000001 40.6654700000032)"
"Queens","Jackson Heights","JH Scraps","35-20 69th Street, Jackson Heights, NY 11372","Volunteers at JH Scraps","Year Round","Saturdays, 11:00 AM-01:00 PM",,"https://www.jhbg.org/2020/07/28/jh-scraps-reopens","402","26",,,,"40.750278","-73.89678",,"5","POINT (-73.896780000001 40.7502780000032)"
"Bronx","Schuylerville-Throgs Neck-Edgewater Park","CLOSED FOR THE SEASON: The Garden at Preston","2780 Schurz Ave, The Bronx, NY 10465 (Intersection of Schurz Avenue and Huntington Avenue)","Northeast Bronx Farmers Market Project","Year Round","Tuesdays 4 PM - 7 PM","Not accepted: meat, bones, or dairy","https://www.facebook.com/northeastbronxcommunityfarmersmarket/","210","13",,,,"40.8139813","-73.8190803",,"104","POINT (-73.8190803000009 40.8139813000032)"
"New York","Lower East Side","Corlears Hook Park","397 FDR Dr, New York, NY 10002 (Southeast corner of Cherry Street and Jackson Street)","NYC Compost Project Hosted by LES Ecology Center","Year Round","Thursdays 9 AM - 2 PM","Not accepted: meat, bones, or dairy","https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/","103","2",,,,"40.712164","-73.980547",,"168","POINT (-73.980547000001 40.7121640000032)"
"Kings","Bushwick South","Moffat Street Community Garden","9 Moffat St, Brooklyn, NY 11207","Moffat St Community Garden","Year Round","Saturdays 10:30 AM - 12:30 PM","No meat, fish, dairy. No BPI-certified Products.",,"304","37",,,,"40.6843646","-73.9107326",,"182","POINT (-73.910732600001 40.6843646000032)"
"Kings","Carroll Gardens-Columbia Street-Red Hook","Carroll Gardens Greenmarket","Smith St and 1st Pl","GrowNYC","Year Round","Sundays 8:00AM - 12:00PM","Not accepted: meat, bones, or dairy",,"306","39",,,,"40.679954","-73.99517",,"50","POINT (-73.995170000001 40.6799540000032)"
"Queens","Astoria","Astoria Pug: Broadway","32-11 31st St, Queens, NY 11106","Astoria Pug","Year Round","Saturdays 9:00AM - 3:00PM","Not accepted: meat, bones, dairy, or oil","https://www.instagram.com/astoriapug/?hl=en","401","22",,,,"40.761472","-73.925611",,"22","POINT (-73.9256110000009 40.7614720000032)"
"Queens","Ridgewood","WEATHER CLOSURE 1/29: Ridgewood Food Scrap Drop-off","Myrtle Ave & Cypress Ave","GrowNYC","Year Round","Saturdays, 9:30AM-1:30PM","No meat or BPI- Certified Products.","https://www.grownyc.org/compost","405","34",,,,"40.7003","-73.906675",,"153","POINT (-73.906675000001 40.7003000000032)"
"Queens","South Jamaica","CLOSED FOR THE SEASON: Paradise Garden","107-31 Inwood St, Queens, NY 11435","Paradise Garden","Year Round","Saturdays 9:30 AM - 2:00PM","Not accepted: meat, bones, or dairy",,"412","28",,,,"40.69056","-73.80395",,"94","POINT (-73.803950000001 40.6905600000032)"
"New York","West Village","Hudson River Park's Pier 51 at Horatio St.","Pier 51 at Horatio St. near playground","Staff at Hudson River Park","Year Round","Every day 7:00AM - 7:00PM","Not accepted: meat, bones, or dairy","https://hudsonriverpark.org/the-park/sustainability/community-compost-program/","102","3",,,,"40.738228","-74.0104549",,"37","POINT (-74.010454900001 40.7382280000032)"
"Bronx","Claremont-Bathgate","CLOSED FOR THE SEASON: La Familia Verde Farmer's Market","Tremont Ave between LaFontaine and Arthur Ave (Tremont Park)","Volunteers at La Familia Verde Farmers Market","July- November 16 2021","Thursdays 8 AM - 2 PM","Not accepted: meat, bones, or dairy. Visit the Center Farm stand to drop off your food scraps.","http://www.lafamiliaverde.org/","206","15",,,,"40.846468","-73.894107",,"69","POINT (-73.894107000001 40.8464680000032)"
"Richmond","Port Richmond","Venture House","1442 Castleton Avenue, 10302","Snug Harbor Youth","Year Round","Fridays 10:30 AM - 2:30 PM","Not accepted: meat, bones, or dairy","snug-harbor.org","501","49","207","5010300069","5106982","40.634203","-74.131071","121","185","POINT (-74.131071000001 40.6342030000032)"
"New York","Hamilton Heights","145th St Food Scrap Drop-off","145th St & Edgecombe Ave","GrowNYC","Year Round","Thursdays, 7:30-12PM","No Meat, Fish, and Dairy. No BPI-Certified Compostable Plastic Products","grownyc.org/compost","110","9",,,,"40.823692","-73.943764",,"200","POINT (-73.943764000001 40.8236920000032)"
"Queens","Hunters Point-Sunnyside-West Maspeth","45th Street Composters","41-12 45th Street (45th St & Skillman Ave, Queens, NY 11104)","Volunteers at 45th Street Composters","Year Round","Sundays 10:30AM-1:00PM","Not accepted: meat, bones, or dairy","https://linktr.ee/45thstreetcomposters","402","26",,,,"40.746199","-73.919118",,"133","POINT (-73.919118000001 40.7461990000032)"
"Queens","Astoria","Astoria Pug: Most Precious Blood","32-23 36th St, Queens, NY 11106","Astoria Pug","Year Round","24/7","Not accepted: meat, bones, dairy, or oil","https://www.instagram.com/astoriapug/?hl=en","401","22",,,,"40.75914","-73.92146",,"89","POINT (-73.921460000001 40.7591400000032)"
"Kings","Bushwick South","Wilson Ave Food Scrap Drop-off","Wilson Ave & Moffat St (near L train)","GrowNYC","Year Round","Thursdays, 9AM-1PM","No meat, fish, dairy. No BPI Certified Products.","grownyc.org/compost","304","37",,,,"40.688793","-73.904826",,"150","POINT (-73.904826000001 40.6887930000032)"
"Kings","Bushwick North","CLOSED FOR THE SEASON: Bushwick Grows! Community Garden","1474 Gates Ave, Brooklyn, NY 11237","Volunteers at Bushwick Grows!","Seasonal, May-November","Saturdays, 10:00 AM-1:00 PM",,"https://www.riseboro.org","304","37",,,,"40.697523","-73.913913",,"1","POINT (-73.913913000001 40.6975230000032)"
"Bronx","Van Cortlandt Village","CLOSED FOR THE SEASON: Van Cortlandt Park Alliance Farm Stand","Orloff Avenue and Gale Place","Van Cortlandt Park Alliance","Closed for the Season","Closed for the Season","Remove all plastic, stickers and zip ties before dropping off food scraps. Not accepted: grains, dairy, or meat","vancortlandt.org","208","11","281",,,"40.884517","-73.8898591","50","126","POINT (-73.889859100001 40.8845170000032)"
"New York","West Village","Hudson River Park Pier 46 at Charles St","Pier 46 at Charles St","Staff at Hudson River Park","Year Round","Every day 7:00AM - 7:00PM","Not accepted: meat, bones, or dairy","https://hudsonriverpark.org/the-park/sustainability/community-compost-program/","102","3","75",,,"40.734225","-74.010722","6","57","POINT (-74.010722000001 40.7342250000032)"
"Kings","Brighton Beach","Brighton Beach Avenue and Ocean Parkway","Southeast corner of Brighton Beach Avenue and Ocean Parkway (Same corner as Big Bazaar Supermarket)","NYC Compost Project Hosted by LES Ecology Center","Year Round","Wednesday 10:00 AM- 2:00 PM",,"https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/","313","48",,,,"40.576146381447835","-73.96819460245472",,"172","POINT (-73.968194602001 40.5761463810032)"
"Bronx","Van Cortlandt Village","Kingsbridge Heights Community Center:","3101 Kingsbridge Terrace, Bronx NY 10463","Staff at Kingsbridge Heights Community Center","Year Round","Wednesdays 12:00PM - 2:00PM","There will be a wheelbarrow/table in the upper garden for collection. Not accepted: meat, bones, dairy, or grains.","www.khcc-nyc.org","208","14",,,,"40.877299","-73.900709",,"40","POINT (-73.9007090000009 40.8772990000032)"
"New York","Battery Park City-Lower Manhattan","Bowling Green Greenmarket","Broadway at Battery Place, New York, NY 10004","NYC Compost Project Hosted by Earth Matter NY","Year Round","Tuesdays 8:00AM - 11:00 AM","Accepted: All organics except pet waste",,"101","1",,,,"40.7046367","-74.0137794",,"62","POINT (-74.013779400001 40.7046367000032)"
"Kings","Brighton Beach","Brighton Beach Avenue at Coney Island Avenue","South of Brighton Beach Avenue, between Coney Island Avenue and Brighton 11th Street","NYC Compost Project Hosted by LES Ecology Center","Year Round","Wednesdays 10 AM - 2 PM","Not accepted: meat, bones, or dairy","https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/","313","48",,,,"40.5780034","-73.9591672",,"178","POINT (-73.959167200001 40.5780034000032)"
"Richmond","West New Brighton-New Brighton-St. George","WEATHER CLOSURE 1/28: West Brighton","Alaska Street and Henderson Avenue","Snug Harbor Youth","Year Round","Fridays 4:00 PM - 5:30 PM",,"snug-harbor.org","501","49","13301",,,"40.636758","-74.119727","120","157","POINT (-74.119727000001 40.6367580000032)"
"New York","park-cemetery-etc-Manhattan","Governors Island Soissons Ferry Landing","Adjacent to Soissons Landing and Taco Vista","NYC Compost Project Hosted by Earth Matter NY","Year Round","When the island is open to the public (Check ferry schedule)","Accepted: All organics except pet waste","www.earthmatter.org","101","1",,,,"40.69281","-74.0148306",,"18","POINT (-74.014830600001 40.6928100000032)"
"New York","Lenox Hill-Roosevelt Island","Roosevelt Island Farmers Market","543 Main St, New York, NY 10044 (Good Shepherd Plaza)","Haki Compost Collective","Year Round","Saturdays 9:00AM - 2:00PM","Not accepted: meat, bones, and dairy","https://www.instagram.com/hakicompost/","108","5",,,,"40.761833","-73.950139",,"25","POINT (-73.950139000001 40.7618330000032)"
"Kings","Park Slope-Gowanus","Old Stone House Brooklyn","336 3rd St, Brooklyn, NY 11215","Old Stone House Brooklyn","Year Round","Everyday, 24/7","Meat and BPI certified items accepted.","https://theoldstonehouse.org/","306","39",,,,"40.6727118","-73.984731",,"189","POINT (-73.984731000001 40.6727118000032)"
"Kings","Brownsville","CLOSED FOR THE SEASON: Howard Garden","750 Howard Avenue","Howard Garden","April - October","Fridays 9:00AM - 10:00AM","Not accepted: grains, bread, meat, bones, or dairy",,"316","41","892","3035500043","3000000","40.6636288","-73.9190362","73","101","POINT (-73.9190362000009 40.6636288000032)"
"Queens","Forest Hills","Forest Hills Greenmarket","MacDonald Park: Queens Blvd and 70th Ave","GrowNYC and the Forest Hills Green Team","Year Round","Sundays, 9AM-1PM",,"grownyc.org/compost","406","29",,,,"40.7218986","-73.8463811",,"204","POINT (-73.846381100001 40.7218986000032)"
"Queens","Queensbridge-Ravenswood-Long Island City","Commuter Composting at 21 St-Queensbridge F","NW Corner of 21st street at 41st Ave","NYC Compost Project Hosted by Big Reuse","Year Round","Tuesdays 8:00AM - 11:00AM","Not accepted: meat, bones, or dairy","https://www.bigreuse.org/service/compost/","401","26",,,,"40.7536858","-73.9422838",,"82","POINT (-73.942283800001 40.7536858000032)"
"Queens","Flushing","Queens Botanical Garden Public Food Scrap Drop-Off","Parking Garden at QBG 42-80 Crommelin Avenue, Flushing, NY 11355","NYC Compost Project Hosted by Queens Botanical Garden","Year Round","Every day 8:00AM - 5:00PM","Not accepted: meat, bones, or dairy",,"407","20",,,,"40.75159","-73.82981",,"72","POINT (-73.8298100000009 40.7515900000032)"
"Kings","Borough Park","Rappaport Playground","NW corner of Fort Hamilton Pkwy and 53rd Street","NYC Compost Project Hosted by LES Ecology Center","Year Round","Tuesdays 10 AM - 2 PM","Not accepted: meat, bones, or dairy","https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/","312","38",,,,"40.636583","-74.000556",,"129","POINT (-74.000556000001 40.6365830000032)"
"Kings","Crown Heights North","CLOSED FOR THE SEASON: Walt L Shamel Community Garden","1097 Dean St, Brooklyn, NY 11216","Volunteers at Walt L. Shamel Community Garden","mid-March - end of January","Saturdays and Sundays 12:00PM - 2:00PM","No potting soil, meat, or dairy","https://www.facebook.com/WaltLShamelCommunityGarden/","308","35",,,,"40.67744","-73.953657",,"13","POINT (-73.953657000001 40.6774400000032)"
"Kings","Sunset Park West","Los Colibríes Community Garden","219 34th Street, Brooklyn 11232","Los Colibríes Community Garden","Year Round","Sundays 11 AM - 4 PM","Not accepted: meat, bones, dairy","https://www.facebook.com/jardin34/","307","38",,,,"40.6547305","-74.0018481",,"114","POINT (-74.001848100001 40.6547305000032)"
"Kings","Rugby-Remsen Village","WEATHER CLOSURE 1/29: Wyckoff Farmhouse Museum","5816 Clarendon Rd, Brooklyn, NY 11203","Staff at Wyckoff Farmhouse Museum","Year Round (except February)","Everyday, Dawn-Dusk",,"Wyckoff Farmhouse Museum","317","45",,,,"40.64451","-73.92038",,"77","POINT (-73.920380000001 40.6445100000032)"
"Richmond","Grymes Hill-Clifton-Fox Hills","Grymes Hill Wagner College","1 Campus Rd, Staten Island, NY 10301","Wagner College","September - June","Tuesdays and Thursdays 2:30 PM - 4 PM","Not accepted: grains, meat, or dairy","wagner.edu","501","49",,,,"40.613444","-74.095028",,"161","POINT (-74.095028000001 40.6134440000032)"
"Kings","Kensington-Ocean Parkway","WEATHER CLOSURE 1/29: Kensington Food Scrap Drop-off","McDonald Ave & Albemarle Rd","GrowNYC","Year Round","Saturdays 8:30 AM 11:30 AM","No Meat, Fish, and Dairy or BPI-Certified Compostable Plastic Products.","grownyc.org/compost","312","39",,,,"40.645958","-73.980102",,"193","POINT (-73.980102000001 40.6459580000032)"
"Kings","North Side-South Side","WEATHER CLOSURE 1/29: McCarren Park Greenmarket","N 12th St and Driggs Ave","GrowNYC","Year Round","Saturdays 8:00AM - 12:00PM","Not accepted: meat, bones, or dairy","https://www.grownyc.org/greenmarket/brooklyn/greenpoint-sa","301","33","515",,,"40.71974","-73.953394","94","45","POINT (-73.953394000001 40.7197400000032)"
"Bronx","West Concourse","CLOSED FOR THE SEASON: New Settlement- 170 Farm Stand","Corner of East 170th Street and Townsend Avenue","New Settlement's Community Food Action Program","July 14th - November 24th","Wednesday, 2:30-5:00pm","Remove all plastic, stickers, and zip ties before dropping off food scraps","www.newsettlement.org","204","16",,,,"40.840005","-73.916636",,"140","POINT (-73.916636000001 40.8400050000032)"
"Queens","Hunters Point-Sunnyside-West Maspeth","WEATHER CLOSURE 1/29: Sunnyside Greenmarket","Skillman Ave & 42nd St","GrowNYC","Year Round","Saturdays, 9:00AM-1:00PM","No meat, fish, dairy. No BPI Certified Products.","https://www.grownyc.org/compost","402","26",,,,"40.747109","-73.921961",,"146","POINT (-73.9219610000009 40.7471090000032)"
"New York","Lower East Side","East Broadway & Rutgers Street","East side of Rutgers St b/w East Broadway & Canal St, on the west side of Straus Sq","NYC Compost Project Hosted by LES Ecology Center","Year Round","Fridays 9:00AM - 2:00PM","Not accepted: meat, bones, or dairy","https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/","103","1",,,,"40.714243","-73.990163",,"30","POINT (-73.9901630000009 40.7142430000032)"
"Kings","Georgetown-Marine Park-Bergen Beach-Mill Basin","Genovesi Environmental Study Center","7151 Avenue T, Brooklyn, NY 11234","Genovesi Environmental Study Center","Year Round","Mondays - Fridays 9 AM - 3 PM","Not accepted: meat, bones, or dairy","https://www.schools.nyc.gov/learning/student-journey/experiential-learning/genovesi-environmental-study-center","318","46",,,,"40.6221465","-73.9084944",,"118","POINT (-73.9084944000009 40.6221465000032)"
"New York","Stuyvesant Town-Cooper Village","CLOSED FOR THE SEASON: 9C Community Garden Composting","E 9th St & Ave C - NE corner, next to Citibike station","9C Community Garden Composting","Year Round","Tuesdays 9:00AM - 11:00AM; Saturdays 12:00PM - 3:00PM","Not accepted: meat, bones, dairy, bread, or grains.","https://www.instagram.com/lescompost/","106","4",,,,"40.7288659","-73.9742968",,"97","POINT (-73.9742968000009 40.7288659000032)"
"New York","East Harlem North","Pleasant Village Community Garden","342 Pleasant Ave., New York, NY 10035","Volunteers at Pleasant Village Community Garden","Year Round","Everyday, Dawn-Dusk",,"http://facebook.com/pleasantvillagecommunitygarden","111","8",,,,"40.79667","-73.93172",,"86","POINT (-73.931720000001 40.7966700000032)"
"Bronx","Crotona Park East","Bronx River House / Starlight Park","1490 Sheridan Blvd","www.bronxriver.org","Year Round","Fridays 9 AM - 11 AM","Not accepted: meat, bones, or dairy","Bronx River Alliance","209","17",,,,"40.8328527","-73.8830803",,"125","POINT (-73.8830803000009 40.8328527000032)"
"Kings","Bay Ridge","4th Avenue Presbyterian Church","6753 4th Avenue, Brooklyn, NY 11220","4th Avenue Presbyterian Church","Year Round","24/7","Not accepted: meat, bones, or dairy",,"310","43",,,,"40.635514","-74.022767",,"108","POINT (-74.022767000001 40.6355140000032)"
