"business_name","business_category","street_address","phone","website","hours_mon_fri","hours_sat","hours_sun","location_1","borough","postocde","latitude","longitide","community_board","council_district","census_tract","bin","bbl","nta"
"Downtown Ale House","Food Service","121 Livingston Street","347-457-5404","www.downtownalehouse.com",,,,"(40.69084, -73.988861)","3","11201","40.69084","-73.988861","2","33","37","3000433","3001547501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Exclusive Eyewear","Medical/Dental/Optical","362 Livingston Street","718-596-9393","www.exclusiveeyewear.com","M-Th 10am -7pm; F 10am - 8pm","11am - 9pm","Closed","(40.687696, -73.980778)","3","11217","40.687696","-73.980778","2","33","37","3335900","3001670016","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Dunkin Donuts","Food Service","56 Court Street","718-625-2068","www.dunkindonuts.com","M 12am - 5pm, 6:30am - 7:30pm","6:30am - 7:30pm","closed","(40.692171, -73.991172)","3","11201","40.692171","-73.991172","2","33","9","3397831","3002657502","Brooklyn Heights-Cobble Hill                                               "
"Psychic Readings","Psychic","123 Livingston Street","347-529-4164",,,,,"(40.69082, -73.988811)","3","11201","40.69082","-73.988811","2","33","37","3000432","3001547501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Tio Pio","Food Service","119 Court Street","718-403-0044",,,,,"(40.690442, -73.991995)","3","11201","40.690442","-73.991995","2","33","9",,,"Brooklyn Heights-Cobble Hill                                               "
"Verizon Wireless","Electronics","105 Court Street","718-625-7772","www.verizonwireless.com",,,,"(40.690793, -73.991825)","3","11201","40.690793","-73.991825","2","33","9","3002702","3002710023","Brooklyn Heights-Cobble Hill                                               "
"Barnes and Noble","Book Stores","106 Court Street","718-246-4996","www.barnesandnoble.com","9am - 11pm","9am - 11pm","10am - 10pm","(40.69056, -73.991962)","3","11201","40.69056","-73.991962","2","33","9","3378157","3002700001","Brooklyn Heights-Cobble Hill                                               "
"Hero Shop","Food Service","119 Livingston Street","718-834-8572",,,,,"(40.690859, -73.988915)","3","11201","40.690859","-73.988915","2","33","37","3000433","3001547501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Central Parking","Transportation","300 Livingston Street","718-852-7317",,"6am - 11pm","6am - 11pm","10am - 7pm","(40.688355, -73.982468)","3","11217","40.688355","-73.982468","2","33","37","3000503","3001660001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"C's Beauty World Salon","Beauty Services","305 Livingston Street","718-624-7739",,,,,"(40.688053, -73.98165)","3","11217","40.688053","-73.98165","2","33","37","3000472","3001610054","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Gold's Gym","Health & Fitness","85 Livingston Street","718-845-4653","www.goldsgym.com",,,,"(40.69143, -73.990826)","3","11201","40.69143","-73.990826","2","33","9","3002556","3002660012","Brooklyn Heights-Cobble Hill                                               "
"Hanover  Place Learning Center","Child Care","15 Hanover Place","718-246-1479","www.hanoverchildcare.com",,,,"(40.688827, -73.982454)","3","11201","40.688827","-73.982454","2","33","37","3000462","3001610003","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Esquire Bank","Banking","64 Court Street","718-222-5066","www.esquirebank.com","8:30am - 4:00pm","closed","Closed","(40.691982, -73.991266)","3","11201","40.691982","-73.991266","2","33","9","3002552","3002657501","Brooklyn Heights-Cobble Hill                                               "
"Brooklyn Martial Arts","Health & Fitness","289 Livingston Street","718-403-9026",,,,,"(40.688231, -73.982108)","3","11217","40.688231","-73.982108","2","33","37","3000480","3001610062","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Lucy Hot Dog and Donuts ","Newsstands & Delis","330 Livingston Street","347-221-9471",,"8am - 7:30pm","8am - 7:30pm","Closed","(40.688036, -73.981654)","3","11217","40.688036","-73.981654","2","33","37","3000514","3001660035","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Paramount Tailors","Dry Cleaners / Tailors","312 Livingston Street","718-852-4489",,"9am - 7pm","9am - 7pm","Closed","(40.688226, -73.982144)","3","11217","40.688226","-73.982144","2","33","37","3000508","3001660027","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"H&R Block","Tax Services","287 Livingston Street","718-625-1988","www.hrblock.com",,,,"(40.688253, -73.982166)","3","11217","40.688253","-73.982166","2","33","37","3000481","3001610063","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Bail Bonds","Bail Bonds","21 Smith Street, 2nd floor","718-681-5933",,,,,"(40.690897, -73.987642)","3","11201","40.690897","-73.987642","2","33","37","3335898","3001550005","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Gourd-Chips, Inc.","Apparel & Footwear","113A Court Street","718-797-5236","www.gourdchips.com",,,,"(40.690593, -73.991923)","3","11201","40.690593","-73.991923","2","33","9","3339392","3002710020","Brooklyn Heights-Cobble Hill                                               "
"Arimed","Medical/Dental/Optical","302 Livingston Street","(718) 875-8754","www.arimed.com","8am - 5pm","Closed","Closed","(40.688333, -73.982414)","3","11217","40.688333","-73.982414","2","33","37","3000504","3001660021","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Afrik Elegance","Beauty Services","310 Livingston Street","718-260-8050",,,,,"(40.688248, -73.982198)","3","11217","40.688248","-73.982198","2","33","37","3000507","3001660025","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Jake's Wayback Burger","Food Service","125 Livingston Street","718-935-9888",,,,,"(40.690801, -73.98876)","3","11201","40.690801","-73.98876","2","33","37","3000431","3001547501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Patty Plus","Food Service","324 Livingston Street","718-522-7565",,"8am - 8pm","8am - 8pm","Closed","(40.688099, -73.981816)","3","11217","40.688099","-73.981816","2","33","37","3000512","3001660033","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Ynobee Studio 05","Beauty Services","346 Livingston Street","718-522-3901",,"10am - 7pm","10am - 7pm","Closed","(40.6878, -73.981048)","3","11217","40.6878","-73.981048","2","33","37","3000000","3001670013","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Gothic Cabinet Furniture","Furniture","31 Smith Street","718-625-2333","www.gothiccabinetcraft.com","10am - 7pm","10am - 7pm","11am - 6pm","(40.690694, -73.987754)","3","11201","40.690694","-73.987754","2","33","37","3000435","3001550001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Mama Senalgese Braiding","Beauty Services","255 Livingston Street",,,,,,"(40.688745, -73.983438)","3","11217","40.688745","-73.983438","2","33","37","3000455","3001600001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Designer Nail Salon","Beauty Services","344 Livingston Street","718-243-1864","no website ","M-Th 9am - 7:30pm; F 9am - 8pm","9am - 8pm","11am - 6pm","(40.687814, -73.981084)","3","11217","40.687814","-73.981084","2","33","37","3000524","3001670009","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"My Little Pizzeria","Food Service","114 Court Street","718-643-6120",,,,,"(40.690184, -73.992139)","3","11201","40.690184","-73.992139","2","33","9","3002797","3002760044","Brooklyn Heights-Cobble Hill                                               "
"Brooklyn Ballet","Nonprofit","160 Schermerhorn Street","718-246-0146",,,,,"(40.689525, -73.987452)","3","11201","40.689525","-73.987452","2","33","43","3394335","3001700015","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Honey Cosmetics","Beauty Services","310 Livingston Street","718-855-7287",,"M-Th 10am - 7:30pm; F 10am - 8pm","10am - 8pm","11am - 6pm","(40.688248, -73.982198)","3","11217","40.688248","-73.982198","2","33","37","3000507","3001660025","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"NYC Explorers","Child Care","110 Schermerhorn Street",,,,,,"(40.690162, -73.989182)","3","11201","40.690162","-73.989182","2","33","43","3000533","3001690009","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"24 Hour Lotto","Newsstands & Delis","33 Smith Street",,,,,,"(40.690653, -73.987779)","3","11201","40.690653","-73.987779","2","33","37","3000435","3001550001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Smith Food Express","Newsstands & Delis","21 Smith Street",,,,,,"(40.690897, -73.987642)","3","11201","40.690897","-73.987642","2","33","37","3335898","3001550005","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Carver Federal Savings","Banking","111 Livingston Street","718-230-2900","www.carverbank.com",,,,"(40.691144, -73.98981)","3","11201","40.691144","-73.98981","2","33","9","3002555","3002660001","Brooklyn Heights-Cobble Hill                                               "
"Chase Bank","Banking","101 Court Street","718-643-0048","www.chase.com","F 8am - 10:30pm; 8am - 9:30pm","10am - 10:30pm","12pm - 8pm","(40.690895, -73.991778)","3","11201","40.690895","-73.991778","2","33","9","3002702","3002710023","Brooklyn Heights-Cobble Hill                                               "
"Black Elegance","Beauty Services","46 Hoyt Street","347-471-8805",,,,,"(40.689212, -73.986038)","3","11201","40.689212","-73.986038","2","33","37","3000491","3001640039","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Official Lotto Newsstand","Newsstands & Delis","155 Livingston Street",,,,,,"(40.690403, -73.9877)","3","11201","40.690403","-73.9877","2","33","37","3000435","3001550001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Lean On Me BodyWorks","Health & Fitness","85 Livingston Street","718-222-8713","www.leanonmebodyworks.com",,,,"(40.69143, -73.990826)","3","11201","40.69143","-73.990826","2","33","9","3002556","3002660012","Brooklyn Heights-Cobble Hill                                               "
"Little Gym of Brooklyn Heights","Health & Fitness","221 Atlantic Avenue","718-488-7744","www.thelittlegym.com","9am -6pm","9am - 12pm","9am - 12pm ","(40.689533, -73.991869)","3","11201","40.689533","-73.991869","2","33","9","3388736","3002777501","Brooklyn Heights-Cobble Hill                                               "
"Jado's Pizza","Food Service","90 Livingston Street","718-855-0110",,,,,"(40.691386, -73.990725)","3","11201","40.691386","-73.990725","2","33","9","3002653","3002690036","Brooklyn Heights-Cobble Hill                                               "
"Checkers","Food Service","111 Court Street","718-797-5333","www.checkers.com","F 11am - 2am; 11am - 12am","11m - 2am","11am - 12am","(40.690642, -73.991897)","3","11201","40.690642","-73.991897","2","33","9","3002701","3002710020","Brooklyn Heights-Cobble Hill                                               "
"Streamline Pilates Studio","Health & Fitness","196 State Street","718-488-8688","www.streamlinepilates.com","by appointment","by appointment","by appointment","(40.690469, -73.992532)","3","11201","40.690469","-73.992532","2","33","9","3002796","3002760043","Brooklyn Heights-Cobble Hill                                               "
"GNC","Health & Fitness","58 Court Street","718-852-7625","www.gnc.com",,,,"(40.692124, -73.991194)","3","11201","40.692124","-73.991194","2","33","9","3002552","3002657501","Brooklyn Heights-Cobble Hill                                               "
"Jackson Hewitt","Tax Services","364 Livingston Street","877-580-1040","www.jacksonhewitt.com","9am - 9pm","9am - 9pm","9am - 7pm","(40.687682, -73.980741)","3","11217","40.687682","-73.980741","2","33","37","3335901","3001670016","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Fulton (Viva) Beauty Supply","Beauty Services","8 Nevins Street","718-522-7475 ",,"9:30am-7:30pm","9:30am-7:30pm","closed","(40.68847, -73.981055)","3","11217","40.68847","-73.981055","2","33","37","3329440","3001610047","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"3 In 1 Deli","Newsstands & Delis","50 Hoyt Street",,,,,,"(40.689116, -73.986103)","3","11201","40.689116","-73.986103","2","33","37","3000493","3001640041","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Super Runner Shop","Apparel & Footwear","123 Court Street","718-858-8550","www.superrunnersshop.com",,,,"(40.690178, -73.992121)","3","11201","40.690178","-73.992121","2","33","9","3388736","3002777501","Brooklyn Heights-Cobble Hill                                               "
"Cosmetic & General Dentistry","Medical/Dental/Optical","226 Livingston Street","718-596-0066","no website ",,,,"(40.689376, -73.985101)","3","11201","40.689376","-73.985101","2","33","37","3000498","3001650015","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Stur-Dee Health Foods","Health & Fitness","222 Livingston Street","718-852-7600",,,,,"(40.689423, -73.985223)","3","11201","40.689423","-73.985223","2","33","37","3000496","3001650013","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Nu Expressions Hair salon","Beauty Services","314 Livingston Street","718-237-9991",,"10am - 6:30pm","10am - 6:30pm","Closed","(40.688206, -73.98209)","3","11217","40.688206","-73.98209","2","33","37","3000509","3001660028","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Wendy's","Food Service","291 Livingston Street",,"www.wendys.com",,,,"(40.688209, -73.98205)","3","11217","40.688209","-73.98205","2","33","37","3000479","3001610061","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Livingston Dental Care","Medical/Dental/Optical","366 Livingston Street","718-722-7700",,"10am - 7pm","10am - 4pm","Closed","(40.687671, -73.980709)","3","11217","40.687671","-73.980709","2","33","37","3335902","3001670016","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Edison Park Fast","Transportation","134 Schermerhorn Street","718-246-0367",,,,,"(40.68995, -73.988558)","3","11201","40.68995","-73.988558","2","33","43","3000534","3001690017","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Bridge Cleaners & Tailors","Dry Cleaners / Tailors","204 Livingston Street","718-625-1446","www.bridgecleaners.com",,,,"(40.689755, -73.986078)","3","11201","40.689755","-73.986078","2","33","37","3000487","3001640034","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Mikey's Smoke Shop","Gifts","60 Schermerhorn Street","718-875-1139",,"9:30am - 6pm","9am- 5pm","closed","(40.690821, -73.991227)","3","11201","40.690821","-73.991227","2","33","9","3002702","3002710023","Brooklyn Heights-Cobble Hill                                               "
"Queen Restaurant","Food Service","84 Court Street","718-596-5954","www.queenrestaurant.com","M, T - 11:30am - 10pm; W, Th - 11:30am - 10:30pm; F 11:30am - 11pm","4pm - 11pm","2:30pm - 10pm","(40.691298, -73.991605)","3","11201","40.691298","-73.991605","2","33","9","3002638","3002680050","Brooklyn Heights-Cobble Hill                                               "
"Poison Lady","Apparel & Footwear","293 Livingston Street","718-522-1751",,,,,"(40.688187, -73.981993)","3","11217","40.688187","-73.981993","2","33","37","3000478","3001610060","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Rite Aid (Store# 10571)","Pharmacies","120 Court Street","718-643-2146","www.riteaid.com","7:30am-10pm","8am - 9pm","9am - 9pm","(40.689989, -73.992233)","3","11201","40.689989","-73.992233","2","33","9","3002800","3002760047","Brooklyn Heights-Cobble Hill                                               "
"Edison Park Fast","Transportation","160 Livingston Street","718-403-0046",,,,,"(40.690373, -73.987668)","3","11201","40.690373","-73.987668","2","33","37","3255604","3001640001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"The Court Street Jewelers","Jewelery & Accessories","60 Court Street","718-834-8940",,,,,"(40.692078, -73.991219)","3","11201","40.692078","-73.991219","2","33","9","3002552","3002657501","Brooklyn Heights-Cobble Hill                                               "
"GGMC Parking","Transportation","189 Schermerhorn Street",,,"24 hours","24 hours","24 hours","(40.689165, -73.986503)","3","11201","40.689165","-73.986503","2","33","37","3392981","3001647502","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"RE/MAX Metro","Real Estate","85 Livingston Street","718-243-2999","www.remax-metro-brooklyn-ny.com",,,,"(40.69143, -73.990826)","3","11201","40.69143","-73.990826","2","33","9","3002556","3002660012","Brooklyn Heights-Cobble Hill                                               "
"Sleepy's ","Furniture","268 Livingston Street","718-246-7957","www.sleepys.com","10am - 8pm","10am - 8pm","10am - 7pm","(40.688879, -73.983835)","3","11201","40.688879","-73.983835","2","33","37","3329446","3001650029","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Brooklyn Fare","Food Service","200-1 Schermerhorn Street","718-243-0050","www.brooklynfare.com","7am - 10pm","7am - 10pm","8am - 9pm","(40.688822, -73.985674)","3","11201","40.688822","-73.985674","2","33","41","3000541","3001710001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Campos Brokerage & Travel","Travel","30 Nevins Street, 2nd Floor","718-834-0231",,"10am - 6pm","By appointment","closed","(40.687858, -73.981473)","3","11217","40.687858","-73.981473","2","33","37","3000515","3001660037","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Heads Up Barber Shop","Beauty Services","18 Nevins Street","718-246-2550",,,,,"(40.688267, -73.981196)","3","11217","40.688267","-73.981196","2","33","37","3000470","3001610052","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Brooklyn Federal Savings","Banking","81 Court Street","718-855-8500","www.brooklynbank.com","F 8:30am - 6pm, 8:30am - 3:30pm","8:30am - 1pm","closed","(40.691504, -73.991483)","3","11201","40.691504","-73.991483","2","33","9","3002650","3002690027","Brooklyn Heights-Cobble Hill                                               "
"YMCA","Health & Fitness","225 Atlantic Avenue","718-625-3136","www.ymcanyc.org","5:30am - 11pm","7am - 8pm","7am - 8pm","(40.6895, -73.991771)","3","11201","40.6895","-73.991771","2","33","9","3388736","3002777501","Brooklyn Heights-Cobble Hill                                               "
"MS Store","Newsstands & Delis","24 Nevins Street",,,"10am - 6pm","10am-6pm","closed","(40.688143, -73.981279)","3","11217","40.688143","-73.981279","2","33","37","3000471","3001610053","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"Banco Popular","Banking","66 Court Street","718-596-1352","www.mypopularbanking.com","Th 9am 6pm, 9am - 3pm","closed","Closed","(40.691935, -73.991291)","3","11201","40.691935","-73.991291","2","33","9","3002543","3002650001","Brooklyn Heights-Cobble Hill                                               "
