"project_name","project_received_date","project_id_number_op","project_description_type","impacted_park_id_s","impacted_park_name_s","address_intersection","borough","multisite_project","sponsoring_agency_entity","primary_scope_of_work","impacted_parks_division_s","park_impact_type","contract_value_op","current_phase","scoping_initiated_kick_off_op","scoping_response_due_date_op","design_consultant_op","public_design_commission_approval_required","preliminary_public_design_commission_approval","final_public_design_commission_approval","mass_mailing_1_received_date","mass_mailing_2_received_date","mass_mailing_3_received_date","design_completion_date_op","construction_manager_op","construction_manager_company_op","construction_kickoff_op","expected_construction_end_date_op","actual_construction_end_date_op","contractor_for_construction_permit_firm_name","construction_permit_request_received_date","construction_permit_id","latest_site_visit","forestry_permit_status","forestry_permit_id_number","construction_permit_special_conditions","borough_approval_date","permit_issuance_date","permit_start_date","original_permit_expiration_date","latest_permit_extension_amendment_request_date","latest_permit_extension_amendment_issuance_date","latest_permit_expiration_date","permit_amendment_content","exploratory_permit_id","substantial_completion_date_op","final_inspection_date","latest_inspection_site_visit","punchlist_generated","conditional_letter_issued","final_acceptance_of_park_by_borough","final_acceptance_letter_date","created","modified","coordinates"
"Electrical Upgrades at the RFK Facility","2020-02-05T00:00:00.000","RK-66","Electrical Upgrades at the RFK Facility","M104;","Randall's Island Park;","Bronx Shore Road","Manhattan","Single Site","MTA B&T",,"5-Boro Project;#Borough Forestry","Staging;#Excavation",,"Construction",,,,,,,,,,,,,,,,"E-J Electric Installation Company","2020-08-18T00:00:00.000","CNYG.20200818",,,,,"2020-09-01T00:00:00.000",,"2020-09-04T00:00:00.000","2020-12-31T00:00:00.000","2021-04-22T00:00:00.000","2021-04-23T00:00:00.000","2021-06-30T00:00:00.000","Cable demolition scope above new operations compound",,,,,,,,,"2020-08-18T16:38:00.000","2021-04-23T16:56:00.000","40.798461, -73.922279"
"Development of Sidewalk Porous Pavement Prototypes Task 7","2017-06-05T00:00:00.000","84113MBAD720","Porous pavers in sidewalks next to parks. Task 007 is Remsen Plg, Chester Plg, and Howard Pool","B260A;B360;B362;","Howard Pool;Remsen Playground;Chester Playground;",,"Brooklyn","Multi Site","CDOT","Resiliency","Borough Operations;#Central Forestry","Sidewalk Closure",,"Permitting",,,,"No",,,,,,"2019-11-27T00:00:00.000",,,,,,,,,,,,,"2017-07-24T00:00:00.000",,,,,,,,,,,,,,,,"2020-12-04T12:03:00.000","2021-04-23T15:53:00.000",
"Replacement of Six (6) Traction Elevators at 181st and 190th Street Stations","2021-03-10T00:00:00.000","E-34029","Replacement of Six (6) Traction Elevators at 181st and 190th Street Stations","M029;","Fort Tryon Park;","Cabrini Blvd at Washington Ave","Manhattan","Single Site","MTA NYCT",,"Borough Operations;#Borough Forestry","Staging","28345000","Construction",,,,,,,,,,,,,,,,"Forte Construction Corp","2021-03-25T00:00:00.000","M029.20210422","2021-03-16T00:00:00.000",,,,"2021-04-21T00:00:00.000",,"2021-04-26T00:00:00.000","2021-08-31T00:00:00.000",,,,,,,,,,,,,"2021-04-22T12:55:00.000","2021-05-03T12:33:00.000","40.859143, -73.934036"
"Pedestrian Ramps in Staten Island","2020-06-10T00:00:00.000","HWPR19R","Replacement-in-kind of existing pedestrian ramps.","R017;R119;R005;","Freshkills Park;Blue Heron Park;Clove Lakes Park;","Clove Road and Cheshire Place","Staten Island","Multi Site","DDC","Pedestrian Safety","Borough Operations;#Borough Forestry","Sidewalk Closure",,"Construction",,,,,,,,,,,"Project Manager, Pedestrian Ramp Program","DOT",,,,"SAFECO Construction Corp.","2021-04-20T00:00:00.000","R005.20210422",,"Not Required",,"i. Coordinate with Parks on Parks’ work on stair at Clove Road and Cheshire Place.","2021-04-21T00:00:00.000",,"2021-04-22T00:00:00.000","2021-07-31T00:00:00.000",,,,,,,,,,,,,"2020-06-10T12:41:00.000","2021-04-22T16:34:00.000","40.618159, -74.105238"
"Rehabilitation of Henry Hudson Parkway Viaduct from 72nd to 96th Street - Painting","2019-04-01T00:00:00.000","HBM1173 HBM1172","Temporary staging for painting subcontractor in Riverside Park. Completion and restoration expected Spring/Summer 2020.","M071;","Riverside Park;","Riverside Drive and West 95th Street","Manhattan","Single Site","CDOT","Bridge Component Rehabilitation","Borough Operations;#Conservancy","Staging;#Partial Park Closure",,"Final-Accepted (Closed Out)",,,,,,,,,,,"RE","Hardesty & Hanover",,"2020-06-30T00:00:00.000",,"Ahern Painting Contractors","2019-08-01T00:00:00.000","M071.20190906","2019-08-14T00:00:00.000",,,,"2019-08-28T00:00:00.000",,"2019-09-16T00:00:00.000","2020-06-16T00:00:00.000",,,,,,,,"2021-01-12T00:00:00.000","2021-01-12T00:00:00.000",,"2021-04-05T00:00:00.000","2021-04-16T00:00:00.000","2019-10-08T11:09:00.000","2021-04-21T17:32:00.000","40.795858, -73.976103"
"Cunningham Park Comfort Station Gas Meter Upgrade","2021-04-13T00:00:00.000",,"Minor excavation to facilitate the upgrade of existing gas service to a park comfort station","Q021;","Cunningham Park;",,"Queens","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations","Excavation",,"Construction",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2021-04-13T00:00:00.000","Q021.20210420",,"Not Required",,"N/A","2021-04-14T00:00:00.000",,"2021-04-21T00:00:00.000","2021-04-30T00:00:00.000",,,,,,,,,,,,,"2021-04-20T12:09:00.000","2021-05-03T12:37:00.000","40.739230, -73.765136"
"EDC Newtown Barge","2021-02-22T00:00:00.000",,"Repair of an existing sea rail gate","B135;","Newtown Barge Playground;",,"Brooklyn","Single Site","EDC","Park Improvement/New Park","Capital Projects","Other",,"Construction",,,,,,,,,,,,,,,,"Galvin Bros., Inc./ Madhue Contracting, Inc. JV","2021-02-22T00:00:00.000","B135.20210407",,"Not Required",,,,,"2021-04-21T00:00:00.000","2021-10-29T00:00:00.000",,,,,,,,,,,,,"2021-04-20T11:35:00.000","2021-05-03T12:29:00.000","40.736143, -73.960601"
"Ocean Breeze Athletic Complex","2021-03-29T00:00:00.000","850 BREEZE","Post-construction exploratory work by DDC to investigate ongoing water infiltration and other issues associated with the building since it was constructed by DDC in 2015.","R149;","Ocean Breeze Park;","625 Father Capodanno Boulevard","Staten Island","Single Site","DDC","Public Building","Borough Operations;#Borough Forestry","Staging;#Other",,"Construction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R149.E.20210419",,,,,,,,"2021-04-01T11:30:00.000","2021-04-19T10:52:00.000","40.583026, -74.075202"
"RFK East River Suspension Spans Stringer Rehab. Prototype (Proj. RK‐19 Phase IB)","2021-01-20T00:00:00.000","GFM-516 W.O. 42","RFK East River Suspension Spans Stringer Rehab. Prototype (Proj. RK‐19 Phase IB)","M107;","Wards Island Park;",,"Manhattan","Multi Borough","MTA B&T","Bridge Component Rehabilitation",,,"4213500","Construction",,,,,,,,,,,,,,,,"Ahern Painting Contractors, Inc.","2021-03-18T00:00:00.000","CNYG.20210408","2021-03-16T00:00:00.000",,,,,,"2021-04-12T00:00:00.000","2022-04-12T00:00:00.000",,,,,,,,,,,,,"2021-04-08T17:17:00.000","2021-04-09T10:21:00.000",
"Rehabilitation of the Anchorages at the Verrazano Narrows Bridge","2021-03-03T00:00:00.000","VN-10","Rehabilitation of the Anchorages at the Verrazano Narrows Bridge (including underdeck protection at JJ Carty Park)","B210W;","John J Carty Park;","Fort Hamilton Parkway between 101 St and 97 St.","Brooklyn","Single Site","MTA B&T","Bridge Component Rehabilitation","Borough Operations","Partial Park Closure",,"Construction",,,,,,,,,,,,,,,,"EE Cruz & Company, Inc.","2021-03-29T00:00:00.000","B210W.20210402","2021-04-02T00:00:00.000","Not Required",,,"2021-04-02T00:00:00.000",,"2021-04-06T00:00:00.000","2021-04-30T00:00:00.000",,,,,,,,,,,,,"2021-04-02T16:35:00.000","2021-04-06T11:01:00.000","40.612306, -74.031006"
"Historic Richmond Town Paving Project & Utility Upgrades","2013-06-27T00:00:00.000","PVC 341-M","Utilities and full depth reconstruction with distinctive paving on roads in the heart of this Cultural Afffairs park property. Included sewers and undergrounding of overhead electric service, allowing the historic property to eliminate power poles. In 2020, the ""epoxy resin with granite chip overlay"" of asphalt roadways failed and DDC/DCLA needs PDC permission to fix/leave it as stanfard asphalt.","R013;","LaTourette Park & Golf Course;",,"Staten Island","Single Site","DCulA","Roadway Reconstruction","Other","Excavation;#Sidewalk Closure;#Park Improvement",,"Conditional-Accepted (Subst. Compl.)",,,,,,,,,,,,,,,,"JR Cruz",,"R-18-15NF",,"Approved",,,,,,"2017-10-31T00:00:00.000",,,,,,"2019-06-01T00:00:00.000",,,,,,,"2021-04-01T11:13:00.000","2021-04-02T10:14:00.000","40.571049, -74.146018"
"Retrofit/Repair of Skewbacks, Approach Concrete Piers and North Abutment at Henry Hudson Bridge","2014-03-18T00:00:00.000","HH-89","Design/Build rehabilitation of the existing concrete skewbacks, which are supporting the arch span, and the north and south viaduct concrete pedestals at each side of the arch span.","M042;X090;","Inwood Hill Park;Spuyten Duyvil Shorefront Park;",,"Bronx;#Manhattan","Multi Borough","MTA B&T","Bridge Reconstruction (Major)","Borough Operations;#Borough Forestry;#Natural Resources Group (NRG)","Staging;#Excavation;#Partial Park Closure",,"Construction",,,,,,,,,,,,,,,,"Tutor Perini Corporation","2017-09-05T00:00:00.000","CNYG.20171020",,,,"Upon issuance, this permit is valid only for investigative work in Spuyten Duyvil Shorefront Park in the Borough of The Bronx. Future work and work in additional locations can be added by written amendment.","2017-10-12T00:00:00.000","2017-10-20T00:00:00.000","2017-10-27T00:00:00.000","2019-10-27T00:00:00.000","2021-01-04T00:00:00.000","2021-04-01T00:00:00.000","2021-04-30T00:00:00.000","Permittee is authorized to construct a temporary pedestrian walkway to facilitate necessary repair work, and associated maintenance, removal, and restoration of the walkway.
Erosion control protection will be installed as needed on the slope to prevent the migration of sediment from outside of the construction limits.
Permittee is responsible for convening a site visit to inspect the path and to ensure it will provide satisfactory access for Park operations before the lower path is closed to vehicular traffic.
Inspection of the paved upper path to Parks' sole satisfaction is required before any closures or work necessitating closures of the lower path can commence.
The following conditions generally apply to ongoing work in Inwood Hill Park
Permittees are required to install tree guards on all trees along the pathway with the guardrail, from their parking lot service gate, northward to active work zones.
Permittees to install silt fencing at pathway edge to reduce impact/compaction on land adjacent to pathways
Permittees to develop signage to install at the approach to the lower path to prevent vehicles from entering the interim pedestrian pathway.
Permittees to develop signage directing service/emergency vehicles to use the upper path and note that the lower pathway is closed, as well as signs indicating the same for those approaching the lower path from the Shorakapok Rock area.
Permittees are responsible for edge-of-woods restoration along the pedestrian path used for construction access and repair of damaged guardrail as directed by Parks.",,,,,,,,,"2016-07-11T16:55:00.000","2021-04-01T17:43:00.000",
"Bruckner Viaduct Deck Replacements","2018-12-06T00:00:00.000","X731.45 D900040","Major rehabilitation/bridge deck replacement project that addresses
structural and roadway deficiencies on the following BINs: 1066669, 106666A, 106666B, 106666, 1066660, 1066730",,,"Bruckner Blvd & E 134 St","Bronx","Single Site","SDOT","Bridge Component Rehabilitation","CDOT Arterial Maintenance","No Parkland Impact","204107000","Final-Accepted (Closed Out)",,,"HNTB",,,,,,,,"Project Engineer","Posillico","2018-01-30T00:00:00.000","2020-04-15T00:00:00.000","2020-08-18T00:00:00.000","Tully - Posillico JV",,,,,,,,,,,,,,,,,,,,,,,"2018-12-06T10:32:00.000","2021-03-26T10:52:00.000","40.803337, -73.916715"
"PS 1M Retaining Wall and Ramp Reconstruction","2019-07-23T00:00:00.000",,"Establishment of a temporary work and safety zone to facilitate the
reconstruction of an existing ramp, retaining wall, and egress stairs","M196;","Playground One;",,"Manhattan","Single Site","SCA","Park Improvement/New Park","Borough Operations;#Capital Projects","Other",,"Construction",,,,,,,,,,,,,,,,"ABC Construction Contracting Inc.",,"M196.20210304",,,,,,,"2021-03-16T00:00:00.000","2021-12-31T00:00:00.000","2019-08-05T00:00:00.000","2019-08-08T00:00:00.000","2019-08-12T00:00:00.000",,"M196.E.20190724",,,,,,,,"2019-07-24T10:21:00.000","2021-03-24T15:58:00.000","40.712378, -73.997438"
"Hunts Point Interstate Access Improvement - Phase 2","2020-04-09T00:00:00.000","X731.64","This contract involves deck  replacement of the Bruckner viaduct, two new ramps from and to Leggett Ave from the Bruckner Expwy viaduct above, removal of the exit ramp to 138th St, numerous improvements to the Bruckner Blvd below including new signalized intersections, several intersection improvements, new shared use paths, lighting, etc. The viaduct will be widened to accommodate the new exit and entrance ramps at Leggett Ave. DESIGN-BUILD.","X139;X139-XZ396;XZ53;XZ232;","Gouverneur Morris Triangle;Gouverneur Morris Triangle;GREENSTREET;GREENSTREET;",,"Bronx","Multi Site","SDOT","Parkway/Arterial Improvement","Borough Horticulture;#Central Forestry","Park Improvement",,"Permitting",,,"AECOM; Dewberry; MNLA",,,,,,,,,,,,,"El Sol / Defoe JV",,,,"Not Received",,,,,,,,,,,,,,,,,,,"2020-04-09T13:35:00.000","2021-03-23T15:26:00.000","40.804685, -73.912750"
"2847 Frederick Douglas Blvd – Repairs to building façade","2021-02-03T00:00:00.000","M377","2847 Frederick Douglas Blvd – Scaffolding Repairs to building façade and structure work","M377;","Garden;",,"Manhattan","Single Site","Private Developer","Private Development","Greenthumb","Other",,"Construction",,,,,,,,,,,,,,,,"Moon Construction Inc","2021-02-03T00:00:00.000","M377.20210318",,,,"i.	Contractor will clean-up and remedy community garden to existing conditions, restore garden to its former state, and remove all the construction debris. 
ii.	Any impact to community garden soil must be remedied or replaced with soil according to GreenThumb specifications. 
iii.	No gaps or egresses may be allowed along the property line. If gaps or egresses are left as a result of construction along the property they must be fenced off according to GreenThumb fence specifications. 
iv.	Any structure, rain water harvesting system, planting beds, composting bins and sheds that has to be moved by contractor must be placed back to its original position and any damage is the responsibility of the contractor. 
v.	All damaged plants, bush and trees must be replaced with its equivalent. 
vi.	All impacts to shrubs or plants must be replaced in kind or for their full monetary value. 
vii.	All impacts to garden pathways and topsoil must be restored or remedied according to Parks specifications.  
viii.	No more than 5’ft for interior scaffolding and fabric mesh must be used to counter construction dust and debris. -Contractor will not store building materials and supplies inside the garden. -Contractor will not keep port-o-san/port-o-potty inside garden.","2021-03-05T00:00:00.000",,"2021-03-23T00:00:00.000","2021-04-30T00:00:00.000",,,,,,,,,,,,,"2021-03-23T11:41:00.000","2021-03-29T09:53:00.000",
"Replacement of Combined Sewers and Water Mains in Pelham Pkwy S and Burr Avenue Area","2018-06-15T00:00:00.000","SEX20047","Abandonment and construction of water mains and sewers. Work involves manhole removal within Pelham Parkway landscapes, technically part of the Hutch ROW.","X101;","Hutchinson River Parkway;","St Paul Ave. & Pelham Pkwy S","Bronx","Single Site","DDC","Sewer/Water Main","Borough Operations;#Borough Forestry","Excavation;#Partial Park Closure",,"Construction",,,,"No",,,"2018-07-16T00:00:00.000","2018-12-19T00:00:00.000",,,"Resident Engineer","Liro Group","2020-08-28T00:00:00.000","2022-07-19T00:00:00.000",,"Maspeth Supply Co., LLC","2020-07-31T00:00:00.000","X101.20210322","2019-04-03T00:00:00.000","Approved","BX-234",,"2021-03-17T00:00:00.000",,"2021-03-22T00:00:00.000","2022-07-31T00:00:00.000",,,,,,,,,,,,,"2018-12-20T13:34:00.000","2021-03-22T13:05:00.000","40.855701, -73.830463"
"Overhead Sign Structure Replacements","2019-09-10T00:00:00.000","XM15.42","Maintenance of Overhead sign structures citywide","X002;Q084A;MZ12;","Bronx Park;Grand Central Parkway Extension;GREENSTREET;","Bronx River Parkway & Burke Ave","Bronx;#Brooklyn;#Manhattan;#Queens;#Staten Island","Multi Borough","SDOT","Parkway/Arterial Improvement","CDOT Arterial Maintenance","Excavation","11717436.19","Construction",,,"Dewberry","No",,,"2020-08-18T00:00:00.000",,,,,"New York State Department of Transportation","2021-05-04T00:00:00.000","2023-08-07T00:00:00.000",,"Westmoreland Construction Inc",,"CNYG.20201005","2020-01-07T00:00:00.000","Pending",,,,,"2021-04-12T00:00:00.000","2023-04-11T00:00:00.000",,,,,,,,,,,,,"2019-10-07T17:15:00.000","2021-03-17T13:09:00.000","40.709902, -74.001283"
"Bridge Joint Repair and Replacement","2018-07-20T00:00:00.000","XM18.55 D263919","Expansion joint repair and replacement on state highway bridges citywide.","Q357B;Q021;X101;X094;Q084A;M037;Q001;M028;Q099;X150H;X150G;","Real Good Park;Cunningham Park;Hutchinson River Parkway;Bridge Park;Grand Central Parkway Extension;Highbridge Park;Alley Pond Park;Fort Washington Park;Flushing Meadows Corona Park;Crescent Park;Siren Slope;",,"Bronx;#Brooklyn;#Manhattan;#Queens;#Staten Island","Multi Borough","SDOT","Bridge Component Rehabilitation","Borough Operations","Access-Only","17817148","Construction",,,,"No",,,,,,,"EIC","NYSDOT","2019-06-25T00:00:00.000","2022-02-18T00:00:00.000",,"El Sol","2018-07-20T00:00:00.000",,,"Not Required",,"i.	The following listed bridges cross features internal to publicly used areas of City Parks. In accessing these bridges, Permittee is therefore likely to enter publicly used areas of the park and may be in conflict with park patrons, and is advised to take additional caution in these areas.
One month in advance of needing access to the following bridges, Permittee must send notification to interagency@parks.nyc.gov, referencing the BIN and its associated Park Location Note below:",,,,,,,,,,,,,,,,,"2018-08-03T14:06:00.000","2021-03-16T15:09:00.000","40.868694, -73.931098"
